time,Phoenix,pts.away,score,pts.home,Milwaukee
4:53.0,D. Booker makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,11-14,,
4:39.0,,,11-14,,K. Middleton misses 2-pt shot from 14 ft
4:38.0,Defensive rebound by D. Booker,,11-14,,
4:29.0,A. Williams misses 2-pt shot from 1 ft,,11-14,,
4:26.0,,,11-14,,Defensive rebound by K. Middleton
4:23.0,,,11-14,,Turnover by G. Antetokounmpo (traveling)
4:23.0,,,11-14,,M. Teletovic enters the game for K. Middleton
4:10.0,E. Bledsoe makes 2-pt shot from 5 ft,2,13-14,,
3:41.0,,,13-16,2,T. Snell makes 2-pt shot from 16 ft (assist by M. Brogdon)
3:25.0,,,13-16,,Personal foul by M. Brogdon (drawn by J. Dudley)
3:18.0,Turnover by J. Dudley (bad pass; steal by G. Antetokounmpo),,13-16,,
3:11.0,,,13-19,3,T. Snell makes 3-pt shot from 26 ft (assist by M. Brogdon)
3:09.0,Phoenix full timeout,,13-19,,
2:58.0,,,13-19,,Personal foul by M. Brogdon (drawn by E. Bledsoe)
2:47.0,A. Williams makes 2-pt shot from 7 ft (assist by J. Dudley),2,15-19,,
2:28.0,,,15-19,,M. Brogdon misses 2-pt shot from 19 ft
2:26.0,Defensive rebound by A. Williams,,15-19,,
2:03.0,Turnover by Team (bad pass),,15-19,,
2:03.0,T. Ulis enters the game for E. Bledsoe,,15-19,,
2:03.0,,,15-19,,M. Beasley enters the game for G. Antetokounmpo
1:50.0,,,15-21,2,G. Monroe makes 2-pt shot from 16 ft (assist by T. Snell)
1:37.0,T. Warren makes 2-pt shot from 8 ft (assist by A. Williams),2,17-21,,
1:24.0,,,17-21,,G. Monroe misses 2-pt shot from 16 ft
1:23.0,Defensive rebound by A. Williams,,17-21,,
1:19.0,Shooting foul by M. Teletovic (drawn by D. Booker),,17-21,,
1:19.0,D. Booker makes free throw 1 of 2,1,18-21,,
1:19.0,D. Booker misses free throw 2 of 2,,18-21,,
1:18.0,,,18-21,,Defensive rebound by G. Monroe
0:59.0,,,18-21,,T. Snell misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by T. Warren,,18-21,,
0:50.0,A. Williams makes 2-pt shot from 8 ft (assist by J. Dudley),2,20-21,,
0:32.0,,,20-21,,M. Teletovic misses 2-pt shot from 1 ft (block by J. Dudley)
0:31.0,Defensive rebound by D. Booker,,20-21,,
0:31.0,Turnover by D. Booker (lost ball),,20-21,,
0:23.0,,,20-21,,M. Teletovic misses 3-pt shot from 26 ft
0:22.0,Defensive rebound by A. Williams,,20-21,,
0:01.0,J. Dudley makes 3-pt shot from 26 ft (assist by A. Williams),3,23-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by T. Ulis (lost ball; steal by G. Monroe),,23-21,,
11:41.0,,,23-21,,Turnover by M. Beasley (bad pass; steal by A. Williams)
11:41.0,,,23-21,,Personal foul by M. Beasley (drawn by A. Williams)
11:40.0,Turnover by D. Jones (bad pass; steal by M. Beasley),,23-21,,
11:38.0,,,23-23,2,M. Beasley makes 2-pt shot from 2 ft
11:38.0,,,23-23,,Shooting foul by D. Jones (drawn by M. Beasley)
11:38.0,,,23-24,1,M. Beasley makes free throw 1 of 1
11:25.0,Turnover by J. Dudley (bad pass),,23-24,,
11:10.0,,,23-26,2,G. Monroe makes 2-pt shot from 4 ft
10:58.0,A. Williams makes 2-pt shot from 9 ft (assist by T. Ulis),2,25-26,,
10:39.0,,,25-28,2,M. Beasley makes 2-pt shot from 1 ft (assist by G. Monroe)
10:23.0,L. Barbosa makes 2-pt shot from 13 ft (assist by J. Dudley),2,27-28,,
10:02.0,,,27-30,2,M. Beasley makes 2-pt shot from 1 ft (assist by M. Dellavedova)
9:52.0,T. Ulis misses 2-pt shot from 18 ft,,27-30,,
9:51.0,,,27-30,,Defensive rebound by M. Dellavedova
9:45.0,,,27-30,,Turnover by M. Beasley (bad pass)
9:23.0,T. Ulis misses 3-pt shot from 25 ft,,27-30,,
9:22.0,,,27-30,,Defensive rebound by Team
9:10.0,,,27-32,2,M. Beasley makes 2-pt shot from 1 ft (assist by M. Dellavedova)
8:42.0,T. Ulis misses 2-pt shot from 15 ft,,27-32,,
8:41.0,Offensive rebound by A. Williams,,27-32,,
8:33.0,L. Barbosa misses 2-pt shot from 3 ft,,27-32,,
8:32.0,Offensive rebound by A. Williams,,27-32,,
8:32.0,A. Williams misses 2-pt shot from 1 ft,,27-32,,
8:30.0,Offensive rebound by A. Williams,,27-32,,
8:29.0,L. Barbosa misses 2-pt shot from 3 ft,,27-32,,
8:27.0,,,27-32,,Defensive rebound by G. Monroe
8:10.0,,,27-34,2,G. Monroe makes 2-pt shot from 1 ft
8:09.0,Phoenix full timeout,,27-34,,
7:45.0,J. Dudley misses 3-pt shot from 28 ft,,27-34,,
7:45.0,,,27-34,,Defensive rebound by Team
7:45.0,Loose ball foul by A. Williams (drawn by G. Monroe),,27-34,,
7:38.0,,,27-36,2,M. Beasley makes 2-pt shot from 16 ft (assist by J. Terry)
7:13.0,T. Ulis misses 2-pt shot from 3 ft,,27-36,,
7:13.0,,,27-36,,Defensive rebound by Team
6:56.0,,,27-36,,Turnover by G. Monroe (lost ball; steal by D. Jones)
6:55.0,,,27-36,,Personal take foul by M. Dellavedova (drawn by D. Jones)
6:55.0,T. Warren enters the game for J. Dudley,,27-36,,
6:55.0,E. Bledsoe enters the game for T. Ulis,,27-36,,
6:55.0,,,27-36,,K. Middleton enters the game for M. Teletovic
6:37.0,A. Williams misses 2-pt shot from 2 ft (block by M. Beasley),,27-36,,
6:33.0,,,27-36,,Defensive rebound by G. Monroe
6:26.0,,,27-36,,Offensive charge foul by M. Beasley
6:26.0,,,27-36,,Turnover by M. Beasley (offensive foul)
6:26.0,,,27-36,,G. Antetokounmpo enters the game for M. Beasley
6:02.0,E. Bledsoe misses 2-pt shot from 15 ft,,27-36,,
6:01.0,Offensive rebound by A. Williams,,27-36,,
5:58.0,A. Williams makes 2-pt shot at rim,2,29-36,,
5:38.0,,,29-36,,Turnover by G. Monroe (lost ball; steal by A. Williams)
5:16.0,L. Barbosa makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,31-36,,
5:16.0,,,31-36,,Milwaukee full timeout
5:16.0,D. Booker enters the game for D. Jones,,31-36,,
5:16.0,,,31-36,,T. Maker enters the game for G. Monroe
4:59.0,,,31-36,,T. Maker misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by L. Barbosa,,31-36,,
4:52.0,A. Williams makes 2-pt shot at rim (assist by L. Barbosa),2,33-36,,
4:29.0,,,33-36,,T. Maker misses 2-pt shot from 3 ft (block by A. Williams)
4:27.0,Defensive rebound by E. Bledsoe,,33-36,,
4:27.0,,,33-36,,Personal foul by J. Terry (drawn by E. Bledsoe)
4:13.0,Turnover by E. Bledsoe (bad pass; steal by J. Terry),,33-36,,
4:09.0,,,33-36,,Offensive charge foul by G. Antetokounmpo
4:09.0,,,33-36,,Turnover by G. Antetokounmpo (offensive foul)
3:54.0,A. Williams makes 2-pt shot from 10 ft (assist by L. Barbosa),2,35-36,,
3:39.0,,,35-38,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
3:28.0,Turnover by E. Bledsoe (bad pass; steal by M. Dellavedova),,35-38,,
3:28.0,,,35-38,,Turnover by M. Dellavedova (bad pass)
3:28.0,,,35-38,,Technical foul by Team
3:28.0,Technical foul by E. Bledsoe,,35-38,,
3:11.0,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,38-38,,
2:59.0,Personal foul by D. Booker (drawn by K. Middleton),,38-38,,
2:59.0,Official timeout,,38-38,,
2:59.0,,,38-38,,Technical foul by K. Middleton
2:59.0,Technical foul by D. Booker (drawn by K. Middleton),,38-38,,
2:59.0,,,38-38,,G. Monroe enters the game for T. Maker
2:59.0,,,38-38,,T. Snell enters the game for J. Terry
2:58.0,Personal foul by T. Warren,,38-38,,
2:48.0,,,38-38,,K. Middleton misses 3-pt shot from 28 ft
2:47.0,Defensive rebound by A. Williams,,38-38,,
2:24.0,D. Booker misses 2-pt shot from 19 ft,,38-38,,
2:23.0,,,38-38,,Defensive rebound by K. Middleton
2:16.0,,,38-38,,M. Dellavedova misses 2-pt shot from 15 ft
2:15.0,Defensive rebound by T. Warren,,38-38,,
2:02.0,A. Williams makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,40-38,,
2:02.0,Shooting foul by G. Monroe (drawn by A. Williams),,40-38,,
2:02.0,A. Williams makes free throw 1 of 1,1,41-38,,
1:48.0,,,41-38,,Shooting foul by L. Barbosa (drawn by G. Monroe)
1:48.0,,,41-39,1,G. Monroe makes free throw 1 of 2
1:48.0,,,41-40,1,G. Monroe makes free throw 2 of 2
1:34.0,T. Warren makes 2-pt shot from 13 ft,2,43-40,,
1:18.0,,,43-42,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
1:03.0,L. Barbosa makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,45-42,,
0:41.0,,,45-42,,M. Dellavedova misses 2-pt shot from 1 ft
0:39.0,Defensive rebound by A. Williams,,45-42,,
0:28.0,Turnover by L. Barbosa (bad pass),,45-42,,
0:06.0,,,45-42,,M. Dellavedova misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by Team,,45-42,,
0:00.0,T. Warren makes 2-pt shot from 10 ft (assist by A. Williams),2,47-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Chriss makes 2-pt shot at rim (assist by D. Booker),2,49-42,,
11:45.0,Shooting foul by K. Middleton (drawn by M. Chriss),,49-42,,
11:45.0,M. Chriss misses free throw 1 of 1,,49-42,,
11:43.0,Offensive rebound by A. Len,,49-42,,
11:40.0,A. Len misses 2-pt shot from 4 ft,,49-42,,
11:39.0,,,49-42,,Defensive rebound by T. Maker
11:27.0,,,49-42,,Turnover by K. Middleton (bad pass; steal by E. Bledsoe)
11:27.0,,,49-42,,Personal foul by K. Middleton (drawn by E. Bledsoe)
11:09.0,E. Bledsoe misses 3-pt shot from 27 ft,,49-42,,
11:08.0,,,49-42,,Defensive rebound by T. Snell
11:04.0,,,49-42,,Shooting foul by E. Bledsoe (drawn by G. Antetokounmpo)
11:04.0,,,49-43,1,G. Antetokounmpo makes free throw 1 of 2
11:04.0,,,49-44,1,G. Antetokounmpo makes free throw 2 of 2
10:59.0,,,49-44,,Personal block foul by K. Middleton (drawn by E. Bledsoe)
10:48.0,T. Warren misses 2-pt shot from 13 ft,,49-44,,
10:46.0,,,49-44,,Defensive rebound by G. Antetokounmpo
10:34.0,,,49-44,,Turnover by K. Middleton (bad pass; steal by A. Len)
10:24.0,D. Booker misses 2-pt shot from 9 ft,,49-44,,
10:23.0,Offensive rebound by M. Chriss,,49-44,,
10:23.0,M. Chriss misses 2-pt shot at rim,,49-44,,
10:20.0,,,49-44,,Defensive rebound by G. Antetokounmpo
10:13.0,,,49-47,3,T. Snell makes 3-pt shot from 25 ft (assist by T. Maker)
9:55.0,T. Warren misses 2-pt shot from 15 ft,,49-47,,
9:54.0,Offensive rebound by A. Len,,49-47,,
9:46.0,A. Len misses 2-pt shot from 1 ft,,49-47,,
9:43.0,Offensive rebound by A. Len,,49-47,,
9:42.0,A. Len makes 2-pt shot from 1 ft,2,51-47,,
9:30.0,,,51-49,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
9:18.0,M. Chriss misses 2-pt shot from 13 ft,,51-49,,
9:17.0,,,51-49,,Defensive rebound by K. Middleton
9:09.0,,,51-49,,Turnover by G. Antetokounmpo (bad pass; steal by E. Bledsoe)
9:09.0,,,51-49,,Personal foul by G. Antetokounmpo (drawn by E. Bledsoe)
9:00.0,E. Bledsoe makes 2-pt shot from 4 ft,2,53-49,,
8:41.0,,,53-51,2,K. Middleton makes 2-pt shot from 13 ft (assist by G. Antetokounmpo)
8:22.0,T. Warren makes 2-pt shot from 15 ft (assist by E. Bledsoe),2,55-51,,
8:07.0,,,55-51,,Turnover by G. Antetokounmpo (lost ball; steal by A. Len)
8:00.0,D. Booker makes 2-pt shot from 23 ft (assist by E. Bledsoe),2,57-51,,
7:47.0,,,57-53,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
7:47.0,,,57-53,,Shooting foul by A. Len (drawn by G. Antetokounmpo)
7:47.0,,,57-54,1,G. Antetokounmpo makes free throw 1 of 1
7:34.0,A. Len misses 2-pt shot at rim (block by G. Antetokounmpo),,57-54,,
7:31.0,,,57-54,,Defensive rebound by K. Middleton
7:30.0,,,57-54,,Shooting foul by M. Chriss (drawn by G. Antetokounmpo)
7:30.0,,,57-55,1,G. Antetokounmpo makes free throw 1 of 2
7:30.0,,,57-56,1,G. Antetokounmpo makes free throw 2 of 2
7:30.0,J. Dudley enters the game for M. Chriss,,57-55,,
7:21.0,,,57-56,,Personal foul by T. Maker (drawn by E. Bledsoe)
7:21.0,E. Bledsoe makes free throw 1 of 2,1,58-56,,
7:21.0,E. Bledsoe makes free throw 2 of 2,1,59-56,,
6:59.0,,,59-56,,T. Maker misses 2-pt shot from 9 ft
6:58.0,Defensive rebound by D. Booker,,59-56,,
6:40.0,D. Booker misses 2-pt shot from 13 ft,,59-56,,
6:39.0,,,59-56,,Defensive rebound by T. Snell
6:26.0,,,59-56,,M. Dellavedova misses 3-pt shot from 23 ft
6:25.0,Defensive rebound by A. Len,,59-56,,
6:20.0,T. Warren makes 2-pt shot from 1 ft,2,61-56,,
6:06.0,,,61-56,,Turnover by K. Middleton (bad pass; steal by D. Booker)
6:06.0,,,61-56,,Personal foul by G. Antetokounmpo (drawn by D. Booker)
6:06.0,D. Booker makes free throw 1 of 2,1,62-56,,
6:06.0,D. Booker makes free throw 2 of 2,1,63-56,,
6:06.0,,,62-56,,M. Brogdon enters the game for T. Maker
6:06.0,,,62-56,,G. Monroe enters the game for M. Dellavedova
5:54.0,Def 3 sec tech foul by A. Len,,63-56,,
5:54.0,,,63-56,,Milwaukee full timeout
5:54.0,,,63-57,1,K. Middleton makes technical free throw
5:48.0,,,63-57,,Shooting foul by E. Bledsoe (drawn by M. Brogdon)
5:48.0,,,63-58,1,M. Brogdon makes free throw 1 of 2
5:48.0,,,63-59,1,M. Brogdon makes free throw 2 of 2
5:31.0,J. Dudley misses 2-pt shot from 16 ft,,63-59,,
5:29.0,Offensive rebound by A. Len,,63-59,,
5:25.0,Offensive charge foul by D. Booker,,63-59,,
5:25.0,Turnover by D. Booker (offensive foul),,63-59,,
5:08.0,,,63-59,,Turnover by G. Monroe (lost ball)
5:04.0,E. Bledsoe makes 2-pt shot from 2 ft,2,65-59,,
5:04.0,Shooting foul by M. Brogdon (drawn by E. Bledsoe),,65-59,,
5:04.0,E. Bledsoe makes free throw 1 of 1,1,66-59,,
4:54.0,,,66-59,,T. Snell misses 2-pt shot from 20 ft
4:53.0,Defensive rebound by A. Len,,66-59,,
4:47.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,68-59,,
4:27.0,,,68-61,2,G. Antetokounmpo makes 2-pt shot from 1 ft
4:13.0,A. Len misses 2-pt shot from 4 ft,,68-61,,
4:12.0,,,68-61,,Defensive rebound by G. Monroe
4:01.0,,,68-63,2,G. Antetokounmpo makes 2-pt shot from 18 ft
3:55.0,Phoenix full timeout,,68-63,,
3:55.0,A. Williams enters the game for A. Len,,68-63,,
3:55.0,,,68-63,,M. Beasley enters the game for K. Middleton
3:42.0,D. Booker misses 2-pt shot from 14 ft,,68-63,,
3:40.0,,,68-63,,Defensive rebound by M. Beasley
3:25.0,,,68-65,2,M. Brogdon makes 2-pt shot from 1 ft
3:07.0,A. Williams misses 2-pt shot from 5 ft (block by G. Monroe),,68-65,,
3:05.0,,,68-65,,Defensive rebound by G. Monroe
2:53.0,,,68-67,2,M. Brogdon makes 2-pt shot from 21 ft (assist by G. Antetokounmpo)
2:24.0,E. Bledsoe misses 2-pt shot from 17 ft,,68-67,,
2:22.0,,,68-67,,Defensive rebound by G. Monroe
2:04.0,,,68-69,2,M. Brogdon makes 2-pt shot from 12 ft (assist by G. Antetokounmpo)
1:52.0,E. Bledsoe misses 2-pt shot from 14 ft,,68-69,,
1:51.0,,,68-69,,Defensive rebound by G. Antetokounmpo
1:38.0,,,68-69,,Shooting foul by E. Bledsoe (drawn by G. Monroe)
1:38.0,,,68-71,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Brogdon)
1:38.0,,,68-71,,G. Monroe misses free throw 1 of 1
1:38.0,T. Ulis enters the game for E. Bledsoe,,68-71,,
1:37.0,Defensive rebound by J. Dudley,,68-71,,
1:21.0,T. Warren makes 3-pt shot from 24 ft (assist by D. Booker),3,71-71,,
0:59.0,,,71-71,,G. Monroe misses 2-pt shot at rim
0:57.0,Defensive rebound by T. Warren,,71-71,,
0:51.0,Offensive foul by A. Williams,,71-71,,
0:51.0,Turnover by A. Williams (offensive foul),,71-71,,
0:39.0,,,71-73,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
0:34.0,Turnover by D. Booker (lost ball; steal by G. Monroe),,71-73,,
0:32.0,,,71-73,,Shooting foul by D. Booker (drawn by G. Monroe)
0:32.0,,,71-74,1,G. Monroe makes free throw 1 of 2
0:32.0,,,71-75,1,G. Monroe makes free throw 2 of 2
0:19.0,T. Warren makes 2-pt shot from 15 ft,2,73-75,,
0:03.0,,,73-77,2,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
0:00.0,T. Ulis misses 3-pt shot from 37 ft,,73-77,,
0:00.0,Offensive rebound by Team,,73-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,73-77,,G. Monroe misses 2-pt shot from 17 ft
11:43.0,Defensive rebound by A. Williams,,73-77,,
11:19.0,Turnover by D. Jones (lost ball; steal by M. Brogdon),,73-77,,
11:04.0,,,73-77,,Turnover by M. Beasley (lost ball; steal by J. Dudley)
10:48.0,T. Ulis makes 2-pt shot from 20 ft,2,75-77,,
10:35.0,,,75-80,3,M. Brogdon makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
10:12.0,J. Dudley misses 3-pt shot from 23 ft,,75-80,,
10:10.0,Offensive rebound by A. Williams,,75-80,,
10:09.0,A. Williams misses 2-pt shot from 14 ft,,75-80,,
10:09.0,Offensive rebound by Team,,75-80,,
10:00.0,L. Barbosa misses 2-pt shot from 19 ft,,75-80,,
9:58.0,,,75-80,,Defensive rebound by G. Antetokounmpo
9:49.0,,,75-80,,G. Monroe misses 2-pt shot from 6 ft (block by D. Jones)
9:47.0,Defensive rebound by J. Dudley,,75-80,,
9:40.0,D. Jones makes 2-pt shot at rim (assist by L. Barbosa),2,77-80,,
9:25.0,,,77-82,2,M. Brogdon makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:15.0,,,77-82,,Personal foul by G. Monroe (drawn by A. Williams)
9:10.0,Shooting foul by M. Beasley (drawn by A. Williams),,77-82,,
9:10.0,A. Williams makes free throw 1 of 2,1,78-82,,
9:10.0,A. Williams makes free throw 2 of 2,1,79-82,,
8:53.0,,,79-85,3,J. Terry makes 3-pt shot from 24 ft (assist by G. Monroe)
8:36.0,Turnover by D. Jones (bad pass; steal by G. Monroe),,79-85,,
8:26.0,Personal foul by T. Ulis (drawn by M. Beasley),,79-85,,
8:26.0,Official timeout,,79-85,,
8:26.0,T. Warren enters the game for D. Jones,,79-85,,
8:18.0,,,79-87,2,M. Brogdon makes 2-pt shot from 22 ft
8:04.0,J. Dudley makes 3-pt shot from 24 ft (assist by T. Ulis),3,82-87,,
7:46.0,,,82-87,,M. Brogdon misses 3-pt shot from 26 ft
7:45.0,Defensive rebound by T. Ulis,,82-87,,
7:30.0,Turnover by T. Ulis (bad pass; steal by M. Beasley),,82-87,,
7:22.0,,,82-89,2,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by M. Brogdon)
6:58.0,T. Ulis misses 2-pt shot from 4 ft (block by G. Monroe),,82-89,,
6:57.0,,,82-89,,Defensive rebound by G. Antetokounmpo
6:57.0,Personal take foul by J. Dudley (drawn by G. Antetokounmpo),,82-89,,
6:57.0,E. Bledsoe enters the game for T. Ulis,,82-89,,
6:45.0,,,82-89,,G. Antetokounmpo misses 2-pt shot from 19 ft
6:44.0,Defensive rebound by A. Williams,,82-89,,
6:34.0,E. Bledsoe makes 2-pt shot from 4 ft (assist by J. Dudley),2,84-89,,
6:23.0,Personal foul by T. Warren,,84-89,,
6:12.0,,,84-91,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
5:41.0,T. Warren misses 2-pt shot from 18 ft,,84-91,,
5:40.0,Offensive rebound by A. Williams,,84-91,,
5:34.0,L. Barbosa misses 3-pt shot from 27 ft,,84-91,,
5:33.0,,,84-91,,Defensive rebound by Team
5:33.0,Personal foul by A. Williams (drawn by M. Beasley),,84-91,,
5:33.0,,,84-91,,Milwaukee full timeout
5:33.0,D. Booker enters the game for J. Dudley,,84-91,,
5:33.0,M. Chriss enters the game for L. Barbosa,,84-91,,
5:33.0,,,84-91,,T. Snell enters the game for G. Antetokounmpo
5:33.0,,,84-91,,K. Middleton enters the game for J. Terry
5:33.0,,,84-91,,G. Antetokounmpo enters the game for K. Middleton
5:30.0,,,84-91,,K. Middleton enters the game for G. Antetokounmpo
5:16.0,,,84-93,2,M. Beasley makes 2-pt shot from 18 ft
5:03.0,Turnover by E. Bledsoe (step out of bounds),,84-93,,
4:45.0,,,84-93,,Turnover by M. Brogdon (bad pass; steal by A. Williams)
4:41.0,Turnover by E. Bledsoe (lost ball; steal by M. Brogdon),,84-93,,
4:29.0,,,84-93,,G. Monroe misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by T. Warren,,84-93,,
4:26.0,,,84-93,,Personal foul by G. Monroe (drawn by A. Williams)
4:13.0,A. Williams misses 2-pt shot from 1 ft,,84-93,,
4:11.0,,,84-93,,Defensive rebound by M. Beasley
3:48.0,,,84-93,,M. Brogdon misses 3-pt shot from 29 ft (block by E. Bledsoe)
3:48.0,,,84-93,,Offensive rebound by Team
3:48.0,,,84-93,,Turnover by Team (shot clock)
3:29.0,T. Warren makes 2-pt shot from 1 ft (assist by M. Chriss),2,86-93,,
3:14.0,,,86-93,,T. Snell misses 3-pt shot from 26 ft
3:13.0,,,86-93,,Offensive rebound by G. Monroe
3:11.0,,,86-93,,G. Monroe misses 2-pt shot from 2 ft (block by E. Bledsoe)
3:08.0,Defensive rebound by E. Bledsoe,,86-93,,
3:05.0,Turnover by T. Warren (step out of bounds),,86-93,,
2:49.0,,,86-95,2,M. Beasley makes 2-pt shot from 8 ft
2:41.0,D. Booker makes 2-pt shot from 5 ft,2,88-95,,
2:26.0,,,88-95,,M. Beasley misses 2-pt shot from 2 ft
2:25.0,,,88-95,,Offensive rebound by G. Monroe
2:25.0,,,88-95,,G. Monroe misses 2-pt shot from 1 ft
2:24.0,,,88-95,,Offensive rebound by M. Beasley
2:24.0,,,88-97,2,M. Beasley makes 2-pt shot at rim
2:24.0,Phoenix full timeout,,88-97,,
2:10.0,T. Warren makes 2-pt shot from 4 ft,2,90-97,,
1:52.0,,,90-97,,Turnover by M. Brogdon (bad pass; steal by M. Chriss)
1:48.0,M. Chriss makes 2-pt shot at rim,2,92-97,,
1:34.0,,,92-97,,M. Beasley misses 2-pt shot from 1 ft
1:33.0,Defensive rebound by E. Bledsoe,,92-97,,
