time,Memphis,pts.away,score,pts.home,Toronto
2:47.0,,,50-43,,Defensive rebound by J. Valanciunas
2:34.0,,,50-45,2,K. Lowry makes 2-pt shot from 6 ft
2:21.0,T. Allen misses 2-pt shot from 5 ft,,50-45,,
2:20.0,Offensive rebound by Team,,50-45,,
2:20.0,,,50-45,,Toronto full timeout
2:20.0,,,50-45,,C. Joseph enters the game for D. Carroll
2:20.0,,,50-45,,N. Powell enters the game for P. Siakam
2:20.0,,,50-45,,P. Patterson enters the game for K. Lowry
2:10.0,M. Gasol misses 2-pt shot from 12 ft,,50-45,,
2:10.0,Offensive rebound by T. Allen,,50-45,,
2:08.0,T. Allen makes 2-pt shot from 1 ft,2,52-45,,
1:54.0,,,52-45,,Shooting foul by T. Allen (drawn by D. DeRozan)
1:54.0,,,52-47,2,D. DeRozan makes 2-pt shot from 17 ft
1:54.0,,,52-47,,D. DeRozan misses free throw 1 of 1
1:54.0,Defensive rebound by J. Green,,52-47,,
1:47.0,,,52-47,,Personal foul by P. Patterson (drawn by J. Green)
1:47.0,J. Green makes free throw 1 of 2,1,53-47,,
1:47.0,J. Green makes free throw 2 of 2,1,54-47,,
1:35.0,,,54-50,3,N. Powell makes 3-pt shot from 26 ft (assist by D. DeRozan)
1:17.0,Shooting foul by N. Powell (drawn by A. Harrison),,54-50,,
1:17.0,A. Harrison makes free throw 1 of 2,1,55-50,,
1:17.0,A. Harrison makes free throw 2 of 2,1,56-50,,
1:06.0,,,56-53,3,P. Patterson makes 3-pt shot from 22 ft (assist by D. DeRozan)
0:54.0,,,56-53,,Personal foul by N. Powell (drawn by A. Harrison)
0:54.0,A. Harrison misses free throw 1 of 2,,56-53,,
0:54.0,Offensive rebound by Team,,56-53,,
0:54.0,A. Harrison makes free throw 2 of 2,1,57-53,,
0:33.0,,,57-53,,C. Joseph misses 2-pt shot from 10 ft
0:33.0,,,57-53,,Offensive rebound by D. DeRozan
0:30.0,,,57-53,,P. Siakam enters the game for J. Valanciunas
0:29.0,Jump ball: D. DeRozan vs. J. Green (N. Powell gains possession),,,,Jump ball: D. DeRozan vs. J. Green (N. Powell gains possession)
0:27.0,,,57-53,,Toronto full timeout
0:11.0,,,57-53,,Shooting foul by M. Gasol (drawn by D. DeRozan)
0:11.0,,,57-54,1,D. DeRozan makes free throw 1 of 2
0:11.0,,,57-55,1,D. DeRozan makes free throw 2 of 2
0:08.0,Memphis full timeout,,57-55,,
0:08.0,T. Daniels enters the game for W. Baldwin,,57-55,,
0:03.0,A. Harrison misses 3-pt shot from 22 ft,,57-55,,
0:02.0,Offensive rebound by T. Allen,,57-55,,
0:00.0,T. Allen misses 2-pt shot from 5 ft,,57-55,,
0:00.0,,,57-55,,Defensive rebound by P. Patterson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,57-57,2,J. Valanciunas makes 2-pt shot at rim (assist by P. Siakam)
11:17.0,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol),2,59-57,,
11:05.0,,,59-60,3,K. Lowry makes 3-pt shot from 26 ft
10:49.0,J. Green misses 2-pt shot from 15 ft,,59-60,,
10:48.0,,,59-60,,Defensive rebound by J. Valanciunas
10:41.0,Personal foul by T. Allen (drawn by D. DeRozan),,59-60,,
10:34.0,,,59-62,2,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry)
10:34.0,Memphis full timeout,,59-62,,
10:23.0,A. Harrison misses 2-pt shot from 1 ft (block by J. Valanciunas),,59-62,,
10:22.0,,,59-62,,Defensive rebound by D. DeRozan
10:22.0,Personal foul by T. Allen (drawn by D. DeRozan),,59-62,,
10:09.0,,,59-62,,D. Carroll misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by J. Green,,59-62,,
9:45.0,A. Harrison makes 3-pt shot from 25 ft (assist by M. Gasol),3,62-62,,
9:25.0,,,62-62,,Turnover by D. DeRozan (dbl dribble)
9:07.0,A. Harrison makes 2-pt shot from 1 ft,2,64-62,,
8:57.0,,,64-62,,Turnover by J. Valanciunas (step out of bounds)
8:48.0,,,64-62,,Shooting block foul by K. Lowry (drawn by J. Green)
8:48.0,J. Green makes free throw 1 of 2,1,65-62,,
8:48.0,J. Green makes free throw 2 of 2,1,66-62,,
8:31.0,,,66-62,,Turnover by P. Siakam (bad pass; steal by A. Harrison)
8:30.0,,,66-62,,Personal block foul by K. Lowry (drawn by A. Harrison)
8:20.0,Turnover by T. Allen (lost ball),,66-62,,
8:03.0,,,66-64,2,K. Lowry makes 2-pt shot from 3 ft
7:40.0,Turnover by T. Williams (bad pass),,66-64,,
7:33.0,,,66-67,3,K. Lowry makes 3-pt shot from 26 ft
7:22.0,Turnover by T. Allen (traveling),,66-67,,
7:11.0,,,66-67,,Turnover by P. Siakam (lost ball; steal by J. Green)
7:01.0,T. Williams misses 3-pt shot from 23 ft,,66-67,,
7:01.0,,,66-67,,Defensive rebound by J. Valanciunas
7:01.0,Personal foul by T. Allen (drawn by J. Valanciunas),,66-67,,
6:45.0,,,66-67,,Turnover by D. DeRozan (bad pass; steal by J. Green)
6:40.0,T. Williams makes 2-pt shot at rim (assist by A. Harrison),2,68-67,,
6:38.0,,,68-67,,Toronto full timeout
6:38.0,,,68-67,,P. Patterson enters the game for P. Siakam
6:23.0,,,68-69,2,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry)
6:04.0,,,68-69,,Personal foul by D. DeRozan (drawn by M. Gasol)
5:50.0,A. Harrison misses 2-pt shot from 18 ft,,68-69,,
5:50.0,Offensive rebound by M. Gasol,,68-69,,
5:43.0,T. Allen misses 2-pt shot at rim,,68-69,,
5:43.0,Offensive rebound by T. Allen,,68-69,,
5:39.0,T. Allen makes 2-pt shot from 2 ft,2,70-69,,
5:15.0,,,70-69,,Turnover by J. Valanciunas (lost ball; steal by J. Green)
5:06.0,T. Williams misses 3-pt shot from 26 ft,,70-69,,
5:06.0,,,70-69,,Defensive rebound by P. Patterson
5:02.0,,,70-69,,Shooting foul by T. Williams (drawn by D. Carroll)
5:02.0,,,70-70,1,D. Carroll makes free throw 1 of 2
5:02.0,,,70-71,1,D. Carroll makes free throw 2 of 2
5:02.0,J. Martin enters the game for J. Green,,70-70,,
5:02.0,W. Baldwin enters the game for A. Harrison,,70-70,,
4:45.0,Turnover by W. Baldwin (lost ball; steal by K. Lowry),,70-71,,
4:40.0,,,70-74,3,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry)
4:12.0,M. Gasol makes 2-pt shot from 3 ft,2,72-74,,
3:56.0,,,72-74,,J. Valanciunas misses 2-pt shot from 3 ft
3:55.0,Defensive rebound by M. Gasol,,72-74,,
3:50.0,T. Williams misses 2-pt shot from 4 ft,,72-74,,
3:50.0,Offensive rebound by T. Allen,,72-74,,
3:49.0,T. Allen makes 2-pt shot from 1 ft,2,74-74,,
3:49.0,Shooting foul by D. DeRozan (drawn by T. Allen),,74-74,,
3:49.0,T. Allen makes free throw 1 of 1,1,75-74,,
3:49.0,,,74-74,,C. Joseph enters the game for D. Carroll
3:49.0,,,74-74,,T. Ross enters the game for K. Lowry
3:49.0,,,74-74,,L. Nogueira enters the game for J. Valanciunas
3:49.0,T. Daniels enters the game for T. Williams,,74-74,,
3:49.0,D. Davis enters the game for M. Gasol,,74-74,,
3:31.0,,,75-74,,T. Ross misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by D. Davis,,75-74,,
3:22.0,D. Davis misses 2-pt shot from 21 ft,,75-74,,
3:21.0,,,75-74,,Defensive rebound by P. Patterson
3:11.0,,,75-74,,Shooting foul by D. Davis (drawn by D. DeRozan)
3:11.0,,,75-75,1,D. DeRozan makes free throw 1 of 2
3:11.0,,,75-76,1,D. DeRozan makes free throw 2 of 2
2:52.0,Turnover by T. Daniels (bad pass; steal by P. Patterson),,75-76,,
2:33.0,,,75-76,,P. Patterson misses 3-pt shot from 26 ft
2:33.0,,,75-76,,Offensive rebound by C. Joseph
2:33.0,,,75-76,,Shooting foul by D. Davis (drawn by C. Joseph)
2:33.0,Memphis full timeout,,75-76,,
2:33.0,,,75-77,1,C. Joseph makes free throw 1 of 2
2:33.0,,,75-78,1,C. Joseph makes free throw 2 of 2
2:31.0,Turnover by J. Martin (bad pass),,75-78,,
2:22.0,,,75-78,,P. Patterson misses 2-pt shot from 6 ft
2:22.0,,,75-78,,Offensive rebound by P. Patterson
2:21.0,,,75-80,2,P. Patterson makes 2-pt shot from 2 ft
2:10.0,,,75-80,,Personal foul by T. Ross (drawn by T. Daniels)
2:10.0,T. Daniels makes free throw 1 of 2,1,76-80,,
