time,Indiana,pts.away,score,pts.home,New York
9:37.0,K. Seraphin makes 2-pt shot from 21 ft (assist by R. Stuckey),2,31-26,,
9:23.0,,,31-26,,Turnover by W. Hernangomez (bad pass; steal by R. Christmas)
9:20.0,Shooting foul by K. Porzingis (drawn by G. Robinson),,31-26,,
9:20.0,G. Robinson makes free throw 1 of 2,1,32-26,,
9:20.0,G. Robinson misses free throw 2 of 2,,32-26,,
9:19.0,,,32-26,,Defensive rebound by W. Hernangomez
8:59.0,,,32-26,,Turnover by W. Hernangomez (lost ball; steal by M. Ellis)
8:53.0,Turnover by M. Ellis (lost ball; steal by W. Hernangomez),,32-26,,
8:52.0,Personal foul by M. Ellis (drawn by W. Hernangomez),,32-26,,
8:52.0,Official timeout,,32-26,,
8:45.0,,,32-26,,Turnover by R. Baker (lost ball; steal by M. Ellis)
8:24.0,G. Robinson makes 3-pt shot from 24 ft (assist by M. Ellis),3,35-26,,
7:57.0,,,35-29,3,J. Holiday makes 3-pt shot from 23 ft (assist by W. Hernangomez)
7:42.0,M. Ellis makes 2-pt shot from 18 ft,2,37-29,,
7:33.0,,,37-29,,Shooting foul by R. Christmas (drawn by C. Randle)
7:33.0,,,37-30,1,C. Randle makes free throw 1 of 2
7:33.0,,,37-31,1,C. Randle makes free throw 2 of 2
7:33.0,P. George enters the game for K. Seraphin,,37-30,,
7:33.0,T. Young enters the game for G. Robinson,,37-30,,
7:33.0,,,37-30,,L. Thomas enters the game for W. Hernangomez
7:18.0,M. Ellis misses 2-pt shot from 17 ft,,37-31,,
7:17.0,,,37-31,,Defensive rebound by L. Thomas
7:08.0,,,37-31,,K. Porzingis misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by R. Stuckey,,37-31,,
6:57.0,R. Stuckey misses 2-pt shot from 9 ft,,37-31,,
6:56.0,Offensive rebound by Team,,37-31,,
6:56.0,,,37-31,,Loose ball foul by C. Randle (drawn by R. Christmas)
6:56.0,M. Turner enters the game for R. Christmas,,37-31,,
6:56.0,,,37-31,,D. Rose enters the game for C. Randle
6:47.0,T. Young makes 2-pt shot at rim (assist by M. Turner),2,39-31,,
6:25.0,,,39-33,2,D. Rose makes 2-pt shot from 19 ft (assist by K. Porzingis)
6:14.0,P. George makes 3-pt shot from 25 ft,3,42-33,,
5:58.0,,,42-35,2,D. Rose makes 2-pt shot from 18 ft
5:47.0,M. Turner makes 2-pt shot at rim (assist by M. Ellis),2,44-35,,
5:40.0,,,44-35,,New York full timeout
5:40.0,,,44-35,,C. Anthony enters the game for R. Baker
5:40.0,J. Teague enters the game for R. Stuckey,,44-35,,
5:22.0,,,44-35,,Turnover by K. Porzingis (lost ball; steal by M. Turner)
5:15.0,Turnover by J. Teague (bad pass; steal by K. Porzingis),,44-35,,
4:56.0,,,44-35,,L. Thomas misses 3-pt shot from 25 ft
4:55.0,,,44-35,,Offensive rebound by J. Holiday
4:43.0,,,44-38,3,K. Porzingis makes 3-pt shot from 24 ft (assist by D. Rose)
4:26.0,M. Ellis misses 2-pt shot from 19 ft,,44-38,,
4:25.0,,,44-38,,Defensive rebound by D. Rose
4:17.0,,,44-38,,D. Rose misses 2-pt shot from 19 ft
4:16.0,Defensive rebound by M. Ellis,,44-38,,
4:03.0,Turnover by P. George (step out of bounds),,44-38,,
3:50.0,,,44-38,,Turnover by K. Porzingis (offensive goaltending)
3:50.0,,,44-38,,C. Lee enters the game for J. Holiday
3:36.0,P. George makes 2-pt shot from 16 ft (assist by T. Young),2,46-38,,
3:23.0,,,46-38,,K. Porzingis misses 2-pt shot from 21 ft
3:22.0,Defensive rebound by P. George,,46-38,,
3:11.0,J. Teague misses 3-pt shot from 25 ft,,46-38,,
3:10.0,,,46-38,,Defensive rebound by C. Lee
2:53.0,,,46-38,,K. Porzingis misses 2-pt shot from 4 ft
2:53.0,Defensive rebound by M. Turner,,46-38,,
2:48.0,Turnover by J. Teague (traveling),,46-38,,
2:48.0,Indiana full timeout,,46-38,,
2:48.0,,,46-38,,W. Hernangomez enters the game for K. Porzingis
2:48.0,C. Miles enters the game for M. Ellis,,46-38,,
2:36.0,,,46-38,,D. Rose misses 3-pt shot from 25 ft
2:35.0,,,46-38,,Offensive rebound by W. Hernangomez
2:31.0,,,46-38,,C. Anthony misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by M. Turner,,46-38,,
2:24.0,,,46-38,,Shooting block foul by W. Hernangomez (drawn by M. Turner)
2:24.0,M. Turner makes free throw 1 of 2,1,47-38,,
2:24.0,M. Turner misses free throw 2 of 2,,47-38,,
2:23.0,,,47-38,,Defensive rebound by W. Hernangomez
2:06.0,,,47-38,,L. Thomas misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by Team,,47-38,,
1:48.0,P. George misses 3-pt shot from 25 ft,,47-38,,
1:47.0,,,47-38,,Defensive rebound by W. Hernangomez
1:42.0,,,47-38,,Shooting foul by M. Turner (drawn by D. Rose)
1:42.0,,,47-39,1,D. Rose makes free throw 1 of 2
1:42.0,,,47-40,1,D. Rose makes free throw 2 of 2
1:42.0,R. Christmas enters the game for M. Turner,,47-39,,
1:24.0,P. George makes 2-pt shot from 2 ft,2,49-40,,
1:10.0,,,49-40,,C. Anthony misses 2-pt shot at rim
1:09.0,Defensive rebound by R. Christmas,,49-40,,
1:02.0,Turnover by J. Teague (bad pass),,49-40,,
0:43.0,,,49-40,,C. Anthony misses 2-pt shot from 15 ft
0:42.0,Defensive rebound by J. Teague,,49-40,,
0:34.0,C. Miles makes 3-pt shot from 25 ft (assist by P. George),3,52-40,,
0:21.0,,,52-40,,C. Anthony misses 2-pt shot from 20 ft
0:19.0,,,52-40,,Offensive rebound by W. Hernangomez
0:19.0,,,52-42,2,W. Hernangomez makes 2-pt shot at rim
0:01.0,C. Miles misses 3-pt shot from 23 ft,,52-42,,
0:00.0,Offensive rebound by R. Christmas,,52-42,,
0:00.0,T. Young misses 2-pt shot at rim,,52-42,,
0:00.0,Offensive rebound by Team,,52-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,52-42,,C. Anthony misses 2-pt shot from 17 ft
11:42.0,Defensive rebound by C. Miles,,52-42,,
11:28.0,M. Turner misses 2-pt shot from 19 ft,,52-42,,
11:27.0,,,52-42,,Defensive rebound by L. Thomas
11:16.0,,,52-42,,C. Lee misses 3-pt shot from 23 ft
11:15.0,Defensive rebound by C. Miles,,52-42,,
11:10.0,Turnover by J. Teague (traveling),,52-42,,
10:53.0,,,52-44,2,D. Rose makes 2-pt shot from 21 ft (assist by K. Porzingis)
10:38.0,P. George makes 2-pt shot from 19 ft,2,54-44,,
10:21.0,,,54-44,,Turnover by C. Anthony (bad pass)
10:08.0,C. Miles makes 3-pt shot from 24 ft (assist by J. Teague),3,57-44,,
9:58.0,,,57-46,2,C. Lee makes 2-pt shot at rim (assist by K. Porzingis)
9:40.0,C. Miles misses 2-pt shot from 1 ft (block by K. Porzingis),,57-46,,
9:39.0,,,57-46,,Defensive rebound by C. Lee
9:32.0,Personal foul by M. Turner (drawn by K. Porzingis),,57-46,,
9:21.0,,,57-46,,K. Porzingis misses 2-pt shot from 7 ft
9:20.0,Defensive rebound by M. Turner,,57-46,,
9:17.0,P. George misses 2-pt shot from 3 ft (block by K. Porzingis),,57-46,,
9:16.0,Offensive rebound by Team,,57-46,,
9:08.0,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague),2,59-46,,
8:43.0,,,59-48,2,K. Porzingis makes 2-pt shot from 7 ft
8:23.0,Offensive foul by P. George,,59-48,,
8:23.0,Turnover by P. George (offensive foul),,59-48,,
8:14.0,,,59-48,,Turnover by C. Lee (bad pass)
7:56.0,M. Turner misses 2-pt shot from 14 ft,,59-48,,
7:55.0,,,59-48,,Defensive rebound by C. Anthony
7:49.0,,,59-50,2,D. Rose makes 2-pt shot from 18 ft
7:35.0,J. Teague misses 2-pt shot from 9 ft,,59-50,,
7:34.0,,,59-50,,Defensive rebound by C. Anthony
7:24.0,,,59-50,,K. Porzingis misses 2-pt shot from 9 ft
7:23.0,Defensive rebound by P. George,,59-50,,
7:16.0,C. Miles misses 3-pt shot from 24 ft,,59-50,,
7:16.0,Offensive rebound by M. Turner,,59-50,,
7:15.0,M. Turner misses 2-pt shot from 1 ft,,59-50,,
7:14.0,Offensive rebound by M. Turner,,59-50,,
7:14.0,M. Turner misses 2-pt shot from 2 ft,,59-50,,
7:12.0,,,59-50,,Defensive rebound by C. Anthony
6:58.0,,,59-52,2,D. Rose makes 2-pt shot from 11 ft
6:49.0,P. George misses 2-pt shot from 11 ft,,59-52,,
6:48.0,,,59-52,,Defensive rebound by C. Lee
6:37.0,,,59-52,,K. Porzingis misses 3-pt shot from 26 ft
6:36.0,Defensive rebound by P. George,,59-52,,
6:36.0,Indiana full timeout,,59-52,,
6:36.0,,,59-52,,W. Hernangomez enters the game for K. Porzingis
6:17.0,,,59-52,,Personal foul by L. Thomas (drawn by P. George)
6:17.0,R. Christmas enters the game for M. Turner,,59-52,,
6:03.0,P. George misses 2-pt shot from 22 ft,,59-52,,
6:02.0,Offensive rebound by R. Christmas,,59-52,,
5:47.0,J. Teague misses 2-pt shot from 10 ft,,59-52,,
5:46.0,,,59-52,,Defensive rebound by W. Hernangomez
5:24.0,,,59-52,,Turnover by Team (shot clock)
5:13.0,P. George makes 3-pt shot from 24 ft (assist by J. Teague),3,62-52,,
4:59.0,,,62-54,2,D. Rose makes 2-pt shot from 1 ft
4:52.0,C. Miles misses 3-pt shot from 26 ft,,62-54,,
4:51.0,,,62-54,,Defensive rebound by W. Hernangomez
4:37.0,,,62-54,,D. Rose misses 2-pt shot from 19 ft
4:34.0,,,62-54,,Offensive rebound by W. Hernangomez
4:32.0,,,62-54,,C. Lee misses 3-pt shot from 26 ft
4:30.0,Defensive rebound by R. Christmas,,62-54,,
4:17.0,P. George misses 3-pt shot from 24 ft,,62-54,,
4:16.0,,,62-54,,Defensive rebound by W. Hernangomez
4:16.0,,,62-54,,New York full timeout
4:16.0,,,62-54,,J. Holiday enters the game for L. Thomas
4:16.0,M. Ellis enters the game for C. Miles,,62-54,,
3:58.0,,,62-56,2,W. Hernangomez makes 2-pt shot from 6 ft
3:43.0,J. Teague misses 3-pt shot from 25 ft,,62-56,,
3:41.0,,,62-56,,Defensive rebound by C. Anthony
3:24.0,,,62-56,,Turnover by C. Lee (traveling)
3:02.0,M. Ellis misses 3-pt shot from 26 ft,,62-56,,
3:01.0,,,62-56,,Defensive rebound by Team
2:43.0,,,62-56,,W. Hernangomez misses 2-pt shot from 8 ft
2:41.0,Defensive rebound by P. George,,62-56,,
2:26.0,P. George makes 2-pt shot from 17 ft,2,64-56,,
2:12.0,,,64-58,2,C. Anthony makes 2-pt shot from 19 ft (assist by W. Hernangomez)
1:40.0,J. Teague misses 2-pt shot from 21 ft,,64-58,,
1:38.0,,,64-58,,Defensive rebound by J. Holiday
1:31.0,Personal foul by R. Christmas (drawn by W. Hernangomez),,64-58,,
1:31.0,,,64-58,,R. Baker enters the game for D. Rose
1:31.0,R. Stuckey enters the game for T. Young,,64-58,,
1:31.0,G. Robinson enters the game for J. Teague,,64-58,,
1:19.0,,,64-58,,C. Lee misses 3-pt shot from 23 ft
1:18.0,,,64-58,,Offensive rebound by Team
1:18.0,Loose ball foul by R. Christmas (drawn by W. Hernangomez),,64-58,,
1:18.0,,,64-59,1,W. Hernangomez makes free throw 1 of 2
1:18.0,,,64-59,,W. Hernangomez misses free throw 2 of 2
1:16.0,Defensive rebound by R. Christmas,,64-59,,
1:06.0,Turnover by P. George (lost ball; steal by W. Hernangomez),,64-59,,
0:56.0,,,64-59,,J. Holiday misses 3-pt shot from 26 ft
0:54.0,,,64-59,,Offensive rebound by W. Hernangomez
0:52.0,,,64-62,3,C. Anthony makes 3-pt shot from 25 ft (assist by W. Hernangomez)
0:36.0,R. Christmas misses 2-pt shot from 3 ft,,64-62,,
0:34.0,,,64-62,,Defensive rebound by C. Anthony
0:27.0,,,64-62,,Offensive foul by W. Hernangomez
0:27.0,,,64-62,,Turnover by W. Hernangomez (offensive foul)
0:09.0,,,64-62,,Personal foul by C. Lee (drawn by P. George)
0:01.0,R. Stuckey misses 2-pt shot from 19 ft,,64-62,,
0:00.0,Offensive rebound by Team,,64-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Ellis misses 2-pt shot from 19 ft,,64-62,,
11:41.0,,,64-62,,Defensive rebound by K. Porzingis
11:31.0,,,64-62,,Turnover by W. Hernangomez (bad pass)
11:31.0,K. Seraphin enters the game for T. Young,,64-62,,
11:31.0,,,64-62,,New York full timeout
11:31.0,,,64-62,,C. Anthony enters the game for K. Porzingis
11:31.0,C. Miles enters the game for K. Seraphin,,64-62,,
11:13.0,Shooting foul by R. Baker (drawn by R. Stuckey),,64-62,,
11:13.0,R. Stuckey makes free throw 1 of 2,1,65-62,,
11:13.0,R. Stuckey misses free throw 2 of 2,,65-62,,
11:12.0,,,65-62,,Defensive rebound by R. Baker
10:55.0,,,65-62,,Turnover by C. Anthony (bad pass; steal by M. Ellis)
10:50.0,M. Ellis misses 2-pt shot from 1 ft,,65-62,,
10:47.0,,,65-62,,Defensive rebound by C. Lee
10:42.0,,,65-62,,W. Hernangomez misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by R. Christmas,,65-62,,
10:29.0,R. Stuckey misses 2-pt shot from 3 ft,,65-62,,
10:28.0,,,65-62,,Defensive rebound by C. Anthony
10:16.0,,,65-62,,C. Anthony misses 3-pt shot from 24 ft
10:16.0,,,65-62,,Offensive rebound by W. Hernangomez
10:12.0,,,65-65,3,C. Lee makes 3-pt shot from 25 ft (assist by R. Baker)
9:51.0,C. Miles misses 3-pt shot from 25 ft,,65-65,,
9:50.0,,,65-65,,Defensive rebound by C. Lee
9:43.0,,,65-68,3,C. Anthony makes 3-pt shot from 25 ft (assist by C. Lee)
9:39.0,Indiana full timeout,,65-68,,
9:39.0,M. Turner enters the game for G. Robinson,,65-68,,
9:39.0,P. George enters the game for R. Christmas,,65-68,,
9:25.0,R. Stuckey misses 3-pt shot from 23 ft,,65-68,,
9:24.0,,,65-68,,Defensive rebound by C. Lee
9:04.0,,,65-70,2,J. Holiday makes 2-pt shot from 20 ft (assist by C. Lee)
8:50.0,,,65-70,,Def 3 sec tech foul by C. Anthony
8:50.0,P. George makes technical free throw,1,66-70,,
8:50.0,,,66-70,,L. Thomas enters the game for C. Lee
8:50.0,T. Young enters the game for C. Miles,,66-70,,
8:37.0,P. George misses 2-pt shot from 21 ft,,66-70,,
8:36.0,,,66-70,,Defensive rebound by L. Thomas
8:28.0,,,66-70,,Turnover by R. Baker (bad pass; steal by T. Young)
8:21.0,P. George misses 3-pt shot from 24 ft,,66-70,,
8:20.0,Offensive rebound by T. Young,,66-70,,
8:08.0,M. Ellis makes 2-pt shot from 2 ft,2,68-70,,
7:48.0,,,68-72,2,C. Anthony makes 2-pt shot from 1 ft
7:31.0,M. Turner makes 2-pt shot from 19 ft (assist by R. Stuckey),2,70-72,,
7:10.0,,,70-72,,L. Thomas misses 2-pt shot from 18 ft
7:09.0,Defensive rebound by M. Ellis,,70-72,,
6:50.0,M. Turner misses 2-pt shot from 21 ft,,70-72,,
6:49.0,,,70-72,,Defensive rebound by W. Hernangomez
6:38.0,,,70-72,,W. Hernangomez misses 2-pt shot from 4 ft
6:37.0,Defensive rebound by T. Young,,70-72,,
6:14.0,R. Stuckey misses 3-pt shot from 25 ft,,70-72,,
6:13.0,,,70-72,,Defensive rebound by C. Anthony
5:54.0,Personal foul by R. Stuckey (drawn by R. Baker),,70-72,,
5:54.0,J. Teague enters the game for R. Stuckey,,70-72,,
5:44.0,,,70-72,,W. Hernangomez misses 2-pt shot from 2 ft (block by M. Turner)
5:43.0,Defensive rebound by M. Turner,,70-72,,
5:41.0,Turnover by J. Teague (bad pass; steal by W. Hernangomez),,70-72,,
5:28.0,,,70-72,,W. Hernangomez misses 2-pt shot from 14 ft
5:27.0,Defensive rebound by P. George,,70-72,,
5:07.0,M. Turner misses 2-pt shot from 16 ft,,70-72,,
5:06.0,,,70-72,,Defensive rebound by W. Hernangomez
4:48.0,,,70-74,2,C. Anthony makes 2-pt shot from 17 ft
4:28.0,P. George misses 2-pt shot from 1 ft,,70-74,,
4:27.0,,,70-74,,Defensive rebound by W. Hernangomez
4:27.0,Personal foul by T. Young (drawn by W. Hernangomez),,70-74,,
4:27.0,,,70-74,,D. Rose enters the game for J. Holiday
4:20.0,Personal foul by M. Ellis (drawn by R. Baker),,70-74,,
4:14.0,,,70-77,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Baker)
3:57.0,J. Teague misses 3-pt shot from 25 ft,,70-77,,
3:56.0,Offensive rebound by M. Turner,,70-77,,
3:48.0,Turnover by P. George (bad pass; steal by R. Baker),,70-77,,
3:44.0,,,70-77,,Shooting foul by M. Ellis (drawn by W. Hernangomez)
3:44.0,,,70-77,,W. Hernangomez misses free throw 1 of 2
3:44.0,,,70-77,,Offensive rebound by Team
3:44.0,,,70-77,,W. Hernangomez misses free throw 2 of 2
3:43.0,Defensive rebound by P. George,,70-77,,
3:19.0,M. Turner makes 2-pt shot from 3 ft,2,72-77,,
3:04.0,,,72-79,2,C. Anthony makes 2-pt shot from 19 ft (assist by D. Rose)
3:03.0,Indiana full timeout,,72-79,,
3:03.0,Violation by Team (jump ball),,72-79,,
3:03.0,C. Miles enters the game for M. Ellis,,72-79,,
2:50.0,J. Teague misses 2-pt shot from 5 ft,,72-79,,
2:47.0,Offensive rebound by M. Turner,,72-79,,
2:47.0,M. Turner misses 2-pt shot from 1 ft,,72-79,,
2:45.0,Offensive rebound by M. Turner,,72-79,,
2:45.0,M. Turner makes 2-pt shot from 1 ft,2,74-79,,
2:25.0,,,74-81,2,W. Hernangomez makes 2-pt shot from 6 ft
2:10.0,Turnover by P. George (bad pass; steal by C. Anthony),,74-81,,
1:58.0,,,74-84,3,L. Thomas makes 3-pt shot from 24 ft (assist by D. Rose)
1:45.0,,,74-84,,Personal foul by R. Baker (drawn by J. Teague)
1:45.0,Official timeout,,74-84,,
1:37.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,77-84,,
1:20.0,,,77-84,,D. Rose misses 2-pt shot from 21 ft
1:19.0,Defensive rebound by T. Young,,77-84,,
1:09.0,J. Teague makes 2-pt shot from 8 ft,2,79-84,,
1:09.0,Shooting foul by R. Baker (drawn by J. Teague),,79-84,,
1:09.0,J. Teague misses free throw 1 of 1,,79-84,,
1:08.0,,,79-84,,Defensive rebound by W. Hernangomez
0:44.0,,,79-84,,C. Anthony misses 2-pt shot from 13 ft
0:41.0,,,79-84,,Offensive rebound by W. Hernangomez
0:23.0,,,79-84,,Shooting foul by P. George (drawn by C. Anthony)
0:23.0,,,79-85,1,C. Anthony makes free throw 1 of 3
0:23.0,,,79-86,1,C. Anthony makes free throw 2 of 3
0:23.0,,,79-86,,C. Anthony misses free throw 3 of 3
0:22.0,,,79-86,,Offensive rebound by L. Thomas
0:18.0,Personal take foul by C. Miles (drawn by C. Anthony),,79-86,,
