time,Sacramento,pts.away,score,pts.home,Memphis
5:49.0,Turnover by G. Temple (bad pass; steal by M. Conley),,13-12,,
5:45.0,,,13-12,,M. Conley misses 2-pt shot from 3 ft
5:42.0,Defensive rebound by D. Cousins,,13-12,,
5:38.0,D. Collison makes 3-pt shot from 23 ft (assist by G. Temple),3,16-12,,
5:18.0,,,16-14,2,J. Green makes 2-pt shot from 21 ft (assist by M. Conley)
5:07.0,D. Cousins misses 2-pt shot from 16 ft,,16-14,,
5:05.0,Offensive rebound by G. Temple,,16-14,,
4:58.0,M. Barnes misses 3-pt shot from 24 ft,,16-14,,
4:57.0,,,16-14,,Defensive rebound by J. Green
4:33.0,,,16-14,,M. Conley misses 2-pt shot from 12 ft
4:30.0,Defensive rebound by M. Barnes,,16-14,,
4:24.0,K. Koufos misses 2-pt shot from 1 ft,,16-14,,
4:23.0,,,16-14,,Defensive rebound by T. Williams
4:19.0,,,16-14,,Memphis full timeout
4:19.0,A. Tolliver enters the game for K. Koufos,,16-14,,
4:19.0,,,16-14,,A. Harrison enters the game for J. Green
4:19.0,,,16-14,,Z. Randolph enters the game for T. Williams
4:19.0,,,16-14,,V. Carter enters the game for M. Conley
4:07.0,,,16-14,,M. Gasol misses 2-pt shot from 19 ft
4:06.0,Defensive rebound by G. Temple,,16-14,,
3:47.0,D. Cousins misses 2-pt shot from 1 ft,,16-14,,
3:46.0,,,16-14,,Defensive rebound by M. Gasol
3:40.0,,,16-14,,V. Carter misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by M. Barnes,,16-14,,
3:34.0,D. Collison misses 2-pt shot from 1 ft (block by A. Harrison),,16-14,,
3:34.0,,,16-14,,Defensive rebound by Team
3:21.0,,,16-16,2,V. Carter makes 2-pt shot from 1 ft (assist by Z. Randolph)
3:03.0,Shooting foul by A. Harrison (drawn by M. Barnes),,16-16,,
3:03.0,M. Barnes misses free throw 1 of 2,,16-16,,
3:03.0,Offensive rebound by Team,,16-16,,
3:03.0,M. Barnes makes free throw 2 of 2,1,17-16,,
3:03.0,,,16-16,,T. Daniels enters the game for T. Allen
3:03.0,T. Lawson enters the game for D. Collison,,16-16,,
2:40.0,,,17-16,,T. Daniels misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by M. Barnes,,17-16,,
2:28.0,D. Cousins misses 2-pt shot from 1 ft,,17-16,,
2:27.0,,,17-16,,Defensive rebound by Z. Randolph
2:22.0,Personal foul by D. Cousins (drawn by M. Gasol),,17-16,,
2:22.0,,,17-16,,J. Martin enters the game for M. Gasol
2:18.0,,,17-16,,Offensive foul by Z. Randolph
2:18.0,,,17-16,,Turnover by Z. Randolph (offensive foul)
2:06.0,Shooting foul by T. Daniels (drawn by G. Temple),,17-16,,
2:06.0,G. Temple makes free throw 1 of 2,1,18-16,,
2:06.0,G. Temple makes free throw 2 of 2,1,19-16,,
1:50.0,,,19-16,,V. Carter misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by G. Temple,,19-16,,
1:32.0,G. Temple makes 3-pt shot from 25 ft,3,22-16,,
1:08.0,,,22-16,,Turnover by T. Daniels (back court)
0:58.0,Turnover by M. Barnes (bad pass; steal by J. Martin),,22-16,,
0:49.0,,,22-16,,T. Daniels misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by D. Cousins,,22-16,,
0:41.0,,,22-16,,Personal foul by J. Martin (drawn by D. Cousins)
0:41.0,D. Collison enters the game for G. Temple,,22-16,,
0:33.0,M. Barnes makes 2-pt shot at rim (assist by T. Lawson),2,24-16,,
0:23.0,Def 3 sec tech foul by D. Cousins,,24-16,,
0:23.0,,,24-17,1,T. Daniels makes technical free throw
0:11.0,,,24-19,2,A. Harrison makes 2-pt shot from 18 ft
0:01.0,D. Cousins misses 3-pt shot from 26 ft,,24-19,,
0:00.0,Offensive rebound by Team,,24-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Shooting foul by J. Martin (drawn by W. Cauley-Stein),,24-19,,
11:46.0,W. Cauley-Stein misses free throw 1 of 2,,24-19,,
11:46.0,Offensive rebound by Team,,24-19,,
11:46.0,W. Cauley-Stein misses free throw 2 of 2,,24-19,,
11:45.0,,,24-19,,Defensive rebound by Z. Randolph
11:35.0,,,24-19,,Turnover by A. Harrison (lost ball; steal by D. Collison)
11:26.0,T. Lawson misses 2-pt shot from 6 ft (block by A. Harrison),,24-19,,
11:26.0,Offensive rebound by Team,,24-19,,
11:23.0,D. Collison makes 2-pt shot from 13 ft (assist by M. Barnes),2,26-19,,
11:10.0,Personal foul by W. Cauley-Stein (drawn by Z. Randolph),,26-19,,
11:01.0,,,26-19,,A. Harrison misses 2-pt shot from 1 ft
11:01.0,,,26-19,,Offensive rebound by J. Martin
11:01.0,,,26-19,,Shooting foul by W. Cauley-Stein (drawn by J. Martin)
11:01.0,,,26-20,1,J. Martin makes free throw 1 of 2
11:01.0,,,26-21,1,J. Martin makes free throw 2 of 2
10:45.0,T. Lawson misses 3-pt shot from 26 ft,,26-21,,
10:45.0,Offensive rebound by A. Tolliver,,26-21,,
10:29.0,M. Barnes misses 3-pt shot from 23 ft,,26-21,,
10:27.0,,,26-21,,Defensive rebound by A. Harrison
10:22.0,Personal foul by A. Tolliver (drawn by Z. Randolph),,26-21,,
10:22.0,,,26-21,,T. Allen enters the game for V. Carter
10:05.0,,,26-21,,Z. Randolph misses 2-pt shot from 7 ft
10:04.0,,,26-21,,Offensive rebound by Z. Randolph
10:04.0,,,26-21,,Z. Randolph misses 2-pt shot from 1 ft
10:01.0,Defensive rebound by M. Barnes,,26-21,,
9:56.0,A. Tolliver makes 3-pt shot from 26 ft (assist by M. Barnes),3,29-21,,
9:37.0,,,29-21,,T. Daniels misses 3-pt shot from 26 ft
9:37.0,,,29-21,,Offensive rebound by T. Allen
9:36.0,,,29-21,,Shooting foul by W. Cauley-Stein (drawn by T. Allen)
9:36.0,,,29-21,,T. Allen misses free throw 1 of 2
9:36.0,,,29-21,,Offensive rebound by Team
9:36.0,,,29-21,,T. Allen misses free throw 2 of 2
9:36.0,,,29-21,,M. Gasol enters the game for J. Martin
9:36.0,K. Koufos enters the game for W. Cauley-Stein,,29-21,,
9:33.0,,,29-21,,Offensive rebound by Z. Randolph
9:33.0,,,29-23,2,Z. Randolph makes 2-pt shot at rim
9:13.0,T. Lawson makes 3-pt shot from 25 ft (assist by D. Collison),3,32-23,,
8:56.0,Personal foul by A. Tolliver (drawn by Z. Randolph),,32-23,,
8:56.0,,,32-23,,Memphis full timeout
8:56.0,,,32-24,1,Z. Randolph makes free throw 1 of 2
8:56.0,,,32-25,1,Z. Randolph makes free throw 2 of 2
8:43.0,D. Collison makes 2-pt shot from 20 ft,2,34-25,,
8:24.0,,,34-25,,Z. Randolph misses 2-pt shot from 3 ft
8:24.0,,,34-25,,Offensive rebound by Z. Randolph
8:24.0,,,34-25,,Z. Randolph misses 2-pt shot from 3 ft (block by M. Barnes)
8:22.0,,,34-25,,Offensive rebound by T. Allen
8:22.0,,,34-25,,T. Allen misses 2-pt shot from 1 ft (block by K. Koufos)
8:20.0,,,34-25,,Offensive rebound by T. Allen
8:16.0,,,34-28,3,T. Daniels makes 3-pt shot from 23 ft (assist by Z. Randolph)
8:03.0,,,34-28,,Personal foul by T. Daniels (drawn by D. Collison)
7:56.0,K. Koufos makes 2-pt shot at rim (assist by D. Collison),2,36-28,,
7:56.0,,,36-28,,Memphis full timeout
7:56.0,B. McLemore enters the game for M. Barnes,,36-28,,
7:56.0,D. Cousins enters the game for T. Lawson,,36-28,,
7:39.0,,,36-28,,T. Daniels misses 2-pt shot from 20 ft
7:39.0,Defensive rebound by D. Collison,,36-28,,
7:25.0,,,36-28,,T. Williams enters the game for T. Daniels
7:25.0,,,36-28,,J. Green enters the game for Z. Randolph
7:25.0,,,36-28,,M. Conley enters the game for A. Harrison
7:25.0,Jump ball: T. Allen vs. K. Koufos (B. McLemore gains possession),,,,Jump ball: T. Allen vs. K. Koufos (B. McLemore gains possession)
7:14.0,D. Cousins misses 3-pt shot from 52 ft,,36-28,,
7:14.0,Offensive rebound by Team,,36-28,,
7:14.0,Turnover by Team (shot clock),,36-28,,
7:00.0,,,36-28,,M. Gasol misses 2-pt shot from 6 ft (block by K. Koufos)
6:57.0,Defensive rebound by K. Koufos,,36-28,,
6:57.0,B. McLemore makes 2-pt shot from 1 ft (assist by K. Koufos),2,38-28,,
6:57.0,Shooting foul by M. Conley (drawn by B. McLemore),,38-28,,
6:57.0,B. McLemore makes free throw 1 of 1,1,39-28,,
6:46.0,,,39-28,,Turnover by T. Allen (traveling)
6:33.0,B. McLemore misses 3-pt shot from 25 ft,,39-28,,
6:32.0,,,39-28,,Defensive rebound by M. Conley
6:29.0,,,39-30,2,T. Williams makes 2-pt shot at rim (assist by M. Conley)
6:10.0,A. Tolliver makes 2-pt shot from 20 ft (assist by D. Collison),2,41-30,,
5:56.0,,,41-32,2,M. Conley makes 2-pt shot from 14 ft
5:43.0,Shooting foul by T. Williams (drawn by K. Koufos),,41-32,,
5:43.0,K. Koufos misses free throw 1 of 2,,41-32,,
5:43.0,Offensive rebound by Team,,41-32,,
5:43.0,K. Koufos misses free throw 2 of 2,,41-32,,
5:43.0,G. Temple enters the game for B. McLemore,,41-32,,
5:41.0,Offensive rebound by K. Koufos,,41-32,,
5:39.0,K. Koufos makes 2-pt shot from 5 ft,2,43-32,,
5:39.0,M. Barnes enters the game for K. Koufos,,43-32,,
5:29.0,,,43-32,,Turnover by M. Conley (bad pass; steal by G. Temple)
5:24.0,G. Temple misses 2-pt shot from 20 ft,,43-32,,
5:24.0,Offensive rebound by M. Barnes,,43-32,,
5:24.0,Shooting foul by J. Green (drawn by M. Barnes),,43-32,,
5:24.0,M. Barnes makes free throw 1 of 2,1,44-32,,
5:24.0,M. Barnes misses free throw 2 of 2,,44-32,,
5:24.0,,,44-32,,Defensive rebound by M. Gasol
5:08.0,,,44-32,,Shooting foul by D. Collison (drawn by M. Conley)
5:08.0,,,44-33,1,M. Conley makes free throw 1 of 2
5:08.0,,,44-34,1,M. Conley makes free throw 2 of 2
4:52.0,D. Cousins misses 2-pt shot from 2 ft (block by T. Williams),,44-34,,
4:52.0,,,44-34,,Defensive rebound by T. Allen
4:52.0,Personal foul by D. Cousins (drawn by T. Allen),,44-34,,
4:52.0,,,44-35,1,T. Allen makes free throw 1 of 2
4:52.0,,,44-36,1,T. Allen makes free throw 2 of 2
4:31.0,G. Temple misses 2-pt shot from 20 ft,,44-36,,
4:30.0,,,44-36,,Defensive rebound by M. Gasol
4:23.0,,,44-38,2,T. Allen makes 2-pt shot from 1 ft (assist by J. Green)
4:10.0,A. Tolliver misses 3-pt shot from 24 ft,,44-38,,
4:10.0,,,44-38,,Defensive rebound by J. Green
3:54.0,,,44-38,,Offensive foul by T. Williams
3:54.0,,,44-38,,Turnover by T. Williams (offensive foul)
3:54.0,Sacramento full timeout,,44-38,,
3:54.0,,,44-38,,A. Harrison enters the game for T. Williams
3:45.0,Shooting foul by M. Gasol (drawn by D. Cousins),,44-38,,
3:45.0,,,44-38,,Technical foul by Team
3:45.0,G. Temple makes technical free throw,1,45-38,,
3:45.0,D. Cousins makes free throw 1 of 2,1,46-38,,
3:45.0,D. Cousins makes free throw 2 of 2,1,47-38,,
3:45.0,T. Lawson enters the game for D. Collison,,44-38,,
3:30.0,,,47-38,,M. Gasol misses 2-pt shot from 16 ft
3:30.0,Defensive rebound by T. Lawson,,47-38,,
3:23.0,D. Cousins makes 2-pt shot from 5 ft (assist by M. Barnes),2,49-38,,
3:23.0,Shooting foul by M. Gasol (drawn by D. Cousins),,49-38,,
3:23.0,D. Cousins makes free throw 1 of 1,1,50-38,,
3:11.0,,,50-38,,T. Allen misses 2-pt shot from 18 ft
3:10.0,,,50-38,,Offensive rebound by T. Allen
3:07.0,,,50-38,,T. Allen misses 2-pt shot at rim
3:07.0,Defensive rebound by D. Cousins,,50-38,,
2:54.0,Turnover by T. Lawson (bad pass; steal by M. Conley),,50-38,,
2:36.0,,,50-40,2,M. Gasol makes 2-pt shot at rim
2:20.0,Shooting foul by A. Harrison (drawn by M. Barnes),,50-40,,
2:20.0,M. Barnes misses free throw 1 of 2,,50-40,,
2:20.0,Offensive rebound by Team,,50-40,,
2:20.0,M. Barnes makes free throw 2 of 2,1,51-40,,
2:01.0,,,51-40,,Offensive charge foul by A. Harrison
2:01.0,,,51-40,,Turnover by A. Harrison (offensive foul)
1:47.0,G. Temple misses 3-pt shot from 24 ft,,51-40,,
1:46.0,,,51-40,,Defensive rebound by J. Green
1:44.0,,,51-40,,Technical foul by Team
1:44.0,G. Temple makes technical free throw,1,52-40,,
1:44.0,,,52-40,,T. Daniels enters the game for A. Harrison
1:44.0,,,52-40,,V. Carter enters the game for T. Allen
1:44.0,K. Koufos enters the game for A. Tolliver,,52-40,,
1:35.0,Personal foul by K. Koufos (drawn by M. Gasol),,52-40,,
1:35.0,,,52-41,1,M. Gasol makes free throw 1 of 2
1:35.0,,,52-42,1,M. Gasol makes free throw 2 of 2
1:35.0,D. Collison enters the game for G. Temple,,52-41,,
1:16.0,D. Collison misses 2-pt shot from 13 ft,,52-42,,
1:14.0,,,52-42,,Defensive rebound by V. Carter
1:04.0,,,52-42,,J. Green misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by K. Koufos,,52-42,,
0:58.0,T. Lawson misses 2-pt shot from 2 ft (block by J. Green),,52-42,,
0:58.0,Offensive rebound by Team,,52-42,,
0:58.0,Sacramento full timeout,,52-42,,
0:44.0,M. Barnes misses 3-pt shot from 24 ft,,52-42,,
0:44.0,,,52-42,,Defensive rebound by M. Gasol
0:31.0,,,52-42,,V. Carter misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by M. Barnes,,52-42,,
0:07.0,D. Cousins misses 2-pt shot from 13 ft,,52-42,,
0:05.0,,,52-42,,Defensive rebound by T. Daniels
0:01.0,,,52-42,,T. Daniels misses 2-pt shot from 19 ft
0:00.0,,,52-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Cousins misses 2-pt shot from 17 ft,,52-42,,
11:42.0,Offensive rebound by K. Koufos,,52-42,,
11:37.0,B. McLemore makes 2-pt shot from 1 ft (assist by D. Collison),2,54-42,,
11:15.0,Def 3 sec tech foul by G. Temple,,54-42,,
11:15.0,,,54-43,1,M. Conley makes technical free throw
11:04.0,,,54-43,,M. Gasol misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by D. Collison,,54-43,,
10:59.0,,,54-43,,Personal foul by J. Green (drawn by D. Collison)
10:52.0,Turnover by D. Cousins (bad pass),,54-43,,
10:40.0,,,54-43,,Turnover by M. Conley (bad pass; steal by B. McLemore)
10:30.0,B. McLemore misses 2-pt shot from 2 ft (block by M. Conley),,54-43,,
10:28.0,,,54-43,,Defensive rebound by J. Green
10:25.0,,,54-43,,T. Williams misses 2-pt shot from 1 ft
10:22.0,Defensive rebound by G. Temple,,54-43,,
10:16.0,B. McLemore makes 3-pt shot from 26 ft (assist by G. Temple),3,57-43,,
9:59.0,,,57-43,,Shooting foul by D. Collison (drawn by M. Conley)
9:59.0,,,57-44,1,M. Conley makes free throw 1 of 2
9:59.0,,,57-44,,M. Conley misses free throw 2 of 2
9:57.0,Defensive rebound by D. Cousins,,57-44,,
9:34.0,K. Koufos misses 2-pt shot from 8 ft,,57-44,,
9:32.0,,,57-44,,Defensive rebound by J. Green
9:24.0,,,57-44,,T. Allen misses 2-pt shot from 3 ft
9:23.0,,,57-44,,Offensive rebound by T. Allen
9:23.0,,,57-44,,T. Allen misses 2-pt shot from 1 ft (block by D. Cousins)
9:22.0,,,57-44,,Offensive rebound by Team
9:06.0,,,57-44,,M. Gasol misses 2-pt shot from 19 ft
9:06.0,Defensive rebound by K. Koufos,,57-44,,
8:49.0,B. McLemore misses 3-pt shot from 25 ft,,57-44,,
8:48.0,,,57-44,,Defensive rebound by T. Allen
8:32.0,,,57-46,2,M. Gasol makes 2-pt shot from 9 ft
8:08.0,K. Koufos misses 2-pt shot from 1 ft (block by T. Allen),,57-46,,
8:06.0,Offensive rebound by K. Koufos,,57-46,,
8:06.0,K. Koufos makes 2-pt shot from 2 ft,2,59-46,,
7:43.0,,,59-46,,M. Gasol misses 3-pt shot from 25 ft
7:42.0,,,59-46,,Offensive rebound by J. Green
7:41.0,,,59-46,,Shooting foul by D. Cousins (drawn by J. Green)
7:41.0,,,59-47,1,J. Green makes free throw 1 of 2
7:41.0,,,59-48,1,J. Green makes free throw 2 of 2
7:41.0,,,59-47,,A. Harrison enters the game for T. Williams
7:25.0,D. Collison misses 2-pt shot from 5 ft,,59-48,,
7:19.0,,,59-48,,Defensive rebound by T. Allen
7:19.0,,,59-48,,Turnover by T. Allen (bad pass; steal by G. Temple)
7:14.0,D. Collison misses 3-pt shot from 24 ft,,59-48,,
7:14.0,Offensive rebound by K. Koufos,,59-48,,
7:14.0,Shooting foul by M. Gasol (drawn by K. Koufos),,59-48,,
7:14.0,K. Koufos misses free throw 1 of 2,,59-48,,
7:14.0,Offensive rebound by Team,,59-48,,
7:14.0,K. Koufos misses free throw 2 of 2,,59-48,,
7:13.0,,,59-48,,Defensive rebound by J. Green
7:01.0,,,59-48,,T. Allen misses 2-pt shot from 2 ft (block by K. Koufos)
6:57.0,Defensive rebound by D. Cousins,,59-48,,
6:57.0,Shooting foul by A. Harrison (drawn by G. Temple),,59-48,,
6:57.0,G. Temple makes free throw 1 of 2,1,60-48,,
6:57.0,G. Temple makes free throw 2 of 2,1,61-48,,
6:57.0,A. Tolliver enters the game for D. Cousins,,60-48,,
6:57.0,,,60-48,,Z. Randolph enters the game for J. Green
6:57.0,,,60-48,,T. Daniels enters the game for A. Harrison
6:48.0,,,61-48,,Offensive foul by M. Gasol
6:48.0,,,61-48,,Turnover by M. Gasol (offensive foul)
6:48.0,,,61-48,,J. Martin enters the game for M. Gasol
6:37.0,K. Koufos misses 2-pt shot from 1 ft,,61-48,,
6:35.0,Offensive rebound by K. Koufos,,61-48,,
6:35.0,K. Koufos makes 2-pt shot from 1 ft,2,63-48,,
6:26.0,,,63-48,,Memphis full timeout
6:07.0,,,63-51,3,T. Daniels makes 3-pt shot from 26 ft (assist by Z. Randolph)
5:48.0,G. Temple misses 2-pt shot from 21 ft,,63-51,,
5:46.0,,,63-51,,Defensive rebound by Z. Randolph
5:35.0,,,63-51,,Turnover by M. Conley (bad pass; steal by B. McLemore)
5:28.0,D. Collison makes 2-pt shot from 2 ft,2,65-51,,
5:11.0,,,65-51,,T. Daniels misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by K. Koufos,,65-51,,
4:59.0,Turnover by B. McLemore (lost ball; steal by T. Allen),,65-51,,
4:58.0,Personal take foul by K. Koufos (drawn by J. Martin),,65-51,,
4:58.0,,,65-51,,A. Harrison enters the game for M. Conley
4:58.0,,,65-51,,V. Carter enters the game for T. Allen
4:58.0,T. Lawson enters the game for B. McLemore,,65-51,,
4:43.0,,,65-54,3,A. Harrison makes 3-pt shot from 26 ft (assist by Z. Randolph)
4:27.0,,,65-54,,Personal foul by A. Harrison (drawn by T. Lawson)
4:20.0,Offensive foul by D. Collison,,65-54,,
4:20.0,Turnover by D. Collison (offensive foul),,65-54,,
4:12.0,,,65-54,,Turnover by J. Martin (bad pass)
3:54.0,G. Temple makes 3-pt shot from 24 ft (assist by D. Collison),3,68-54,,
3:38.0,,,68-54,,Z. Randolph misses 2-pt shot from 17 ft
3:37.0,,,68-54,,Offensive rebound by J. Martin
3:37.0,,,68-56,2,J. Martin makes 2-pt shot from 1 ft
3:26.0,A. Tolliver misses 2-pt shot from 8 ft,,68-56,,
3:24.0,,,68-56,,Defensive rebound by Z. Randolph
3:19.0,,,68-56,,V. Carter misses 3-pt shot from 25 ft
3:17.0,,,68-56,,Offensive rebound by T. Daniels
3:09.0,,,68-58,2,Z. Randolph makes 2-pt shot from 5 ft
3:01.0,Sacramento full timeout,,68-58,,
3:01.0,M. Barnes enters the game for G. Temple,,68-58,,
2:47.0,Shooting foul by V. Carter (drawn by A. Tolliver),,68-58,,
2:47.0,A. Tolliver makes free throw 1 of 2,1,69-58,,
2:47.0,A. Tolliver makes free throw 2 of 2,1,70-58,,
2:47.0,D. Cousins enters the game for K. Koufos,,69-58,,
2:37.0,,,70-58,,Shooting foul by A. Tolliver (drawn by A. Harrison)
2:37.0,,,70-59,1,A. Harrison makes free throw 1 of 2
2:37.0,,,70-60,1,A. Harrison makes free throw 2 of 2
2:37.0,,,70-60,,Inbound foul by J. Martin
2:37.0,D. Cousins makes free throw 1 of 1,1,71-60,,
2:23.0,D. Cousins makes 2-pt shot from 19 ft,2,73-60,,
2:06.0,,,73-60,,A. Harrison misses 3-pt shot from 25 ft
2:05.0,,,73-60,,Offensive rebound by Team
1:56.0,,,73-60,,J. Martin misses 3-pt shot from 26 ft
1:54.0,Defensive rebound by D. Cousins,,73-60,,
1:43.0,A. Tolliver misses 3-pt shot from 27 ft,,73-60,,
1:42.0,,,73-60,,Defensive rebound by V. Carter
1:34.0,,,73-62,2,Z. Randolph makes 2-pt shot from 18 ft (assist by A. Harrison)
1:14.0,D. Cousins misses 2-pt shot from 2 ft,,73-62,,
1:13.0,,,73-62,,Defensive rebound by V. Carter
0:56.0,G. Temple enters the game for D. Collison,,73-62,,
0:55.0,,,73-62,,Shooting foul by A. Tolliver (drawn by A. Harrison)
0:55.0,,,73-63,1,A. Harrison makes free throw 1 of 2
0:55.0,,,73-64,1,A. Harrison makes free throw 2 of 2
0:55.0,,,73-63,,J. Green enters the game for Z. Randolph
0:36.0,D. Cousins makes 2-pt shot at rim,2,75-64,,
0:36.0,Shooting foul by J. Green (drawn by D. Cousins),,75-64,,
0:36.0,D. Cousins makes free throw 1 of 1,1,76-64,,
0:36.0,,,75-64,,Z. Randolph enters the game for J. Green
0:25.0,,,76-64,,Shooting foul by T. Lawson (drawn by A. Harrison)
0:25.0,,,76-65,1,A. Harrison makes free throw 1 of 2
0:25.0,,,76-65,,A. Harrison misses free throw 2 of 2
0:24.0,Defensive rebound by T. Lawson,,76-65,,
0:06.0,D. Cousins misses 2-pt shot from 22 ft,,76-65,,
0:05.0,Offensive rebound by M. Barnes,,76-65,,
0:01.0,M. Barnes misses 2-pt shot at rim,,76-65,,
0:00.0,,,76-65,,Defensive rebound by V. Carter
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,76-65,,Shooting foul by A. Tolliver (drawn by A. Harrison)
11:51.0,,,76-65,,A. Harrison misses free throw 1 of 2
11:51.0,,,76-65,,Offensive rebound by Team
11:51.0,,,76-66,1,A. Harrison makes free throw 2 of 2
11:35.0,,,76-66,,Personal foul by Z. Randolph (drawn by D. Cousins)
11:23.0,D. Cousins misses 2-pt shot from 1 ft,,76-66,,
11:23.0,,,76-66,,Defensive rebound by V. Carter
11:09.0,,,76-68,2,Z. Randolph makes 2-pt shot from 1 ft (assist by V. Carter)
10:52.0,T. Lawson makes 2-pt shot from 1 ft,2,78-68,,
10:34.0,,,78-68,,M. Gasol misses 2-pt shot from 21 ft
10:33.0,Defensive rebound by M. Barnes,,78-68,,
10:31.0,,,78-68,,Violation by M. Gasol (kicked ball)
10:31.0,K. Koufos enters the game for A. Tolliver,,78-68,,
10:19.0,D. Cousins misses 3-pt shot from 25 ft,,78-68,,
10:19.0,,,78-68,,Defensive rebound by V. Carter
10:03.0,,,78-68,,Shooting foul by K. Koufos (drawn by M. Gasol)
10:03.0,,,78-69,1,M. Gasol makes free throw 1 of 2
10:03.0,,,78-70,1,M. Gasol makes free throw 2 of 2
9:50.0,,,78-70,,Violation by V. Carter (kicked ball)
9:39.0,M. Barnes misses 2-pt shot from 3 ft (block by M. Gasol),,78-70,,
9:39.0,Offensive rebound by Team,,78-70,,
9:37.0,Turnover by M. Barnes (bad pass; steal by V. Carter),,78-70,,
9:37.0,,,78-70,,Turnover by V. Carter (bad pass)
9:18.0,D. Cousins makes 2-pt shot from 10 ft,2,80-70,,
9:18.0,Shooting foul by A. Harrison (drawn by D. Cousins),,80-70,,
9:18.0,D. Cousins makes free throw 1 of 1,1,81-70,,
9:18.0,,,80-70,,T. Allen enters the game for A. Harrison
9:00.0,,,81-72,2,M. Gasol makes 2-pt shot from 6 ft (assist by Z. Randolph)
8:45.0,D. Cousins makes 2-pt shot from 20 ft,2,83-72,,
8:32.0,,,83-72,,Shooting foul by K. Koufos (drawn by M. Gasol)
8:32.0,Official timeout,,83-72,,
8:32.0,,,83-73,1,M. Gasol makes free throw 1 of 2
8:32.0,,,83-74,1,M. Gasol makes free throw 2 of 2
8:09.0,Turnover by T. Lawson (lost ball; steal by T. Allen),,83-74,,
8:08.0,Personal foul by D. Cousins (drawn by T. Allen),,83-74,,
