time,Memphis,pts.away,score,pts.home,Miami
0:46.0,,,49-49,,T. Johnson enters the game for D. Waiters
0:36.0,Shooting foul by J. Richardson (drawn by A. Harrison),,49-49,,
0:36.0,A. Harrison makes free throw 1 of 2,1,50-49,,
0:36.0,A. Harrison misses free throw 2 of 2,,50-49,,
0:36.0,,,50-49,,Defensive rebound by Team
0:35.0,Loose ball foul by J. Green (drawn by U. Haslem),,50-49,,
0:21.0,,,50-49,,R. McGruder misses 2-pt shot from 7 ft
0:19.0,Defensive rebound by J. Green,,50-49,,
0:19.0,,,50-49,,Personal foul by R. McGruder (drawn by J. Green)
0:19.0,J. Green makes free throw 1 of 2,1,51-49,,
0:19.0,J. Green misses free throw 2 of 2,,51-49,,
0:19.0,,,51-49,,Defensive rebound by U. Haslem
0:01.0,,,51-49,,D. Williams misses 3-pt shot from 38 ft
0:00.0,,,51-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,51-49,,Personal foul by D. Williams (drawn by M. Gasol)
11:34.0,M. Conley makes 2-pt shot from 19 ft,2,53-49,,
11:10.0,,,53-52,3,D. Waiters makes 3-pt shot from 25 ft (assist by R. McGruder)
10:54.0,M. Gasol misses 2-pt shot from 12 ft,,53-52,,
10:53.0,,,53-52,,Defensive rebound by H. Whiteside
10:40.0,,,53-54,2,D. Williams makes 2-pt shot from 20 ft
10:28.0,J. Green makes 2-pt shot at rim (assist by T. Allen),2,55-54,,
10:02.0,,,55-57,3,D. Williams makes 3-pt shot from 25 ft (assist by D. Waiters)
9:47.0,J. Green makes 3-pt shot from 24 ft (assist by M. Gasol),3,58-57,,
9:29.0,,,58-59,2,H. Whiteside makes 2-pt shot from 18 ft (assist by J. Richardson)
9:16.0,T. Williams makes 2-pt shot from 1 ft (assist by M. Gasol),2,60-59,,
8:50.0,,,60-59,,D. Williams misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by T. Allen,,60-59,,
8:40.0,J. Green makes 3-pt shot from 24 ft (assist by T. Allen),3,63-59,,
8:40.0,,,63-59,,Miami full timeout
8:26.0,,,63-61,2,J. Richardson makes 2-pt shot from 20 ft
8:04.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,65-61,,
7:44.0,,,65-61,,R. McGruder misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by J. Green,,65-61,,
7:32.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley),3,68-61,,
7:16.0,,,68-63,2,D. Williams makes 2-pt shot from 21 ft (assist by J. Richardson)
6:53.0,Shooting foul by R. McGruder (drawn by T. Allen),,68-63,,
6:53.0,T. Allen makes free throw 1 of 2,1,69-63,,
6:53.0,T. Allen makes free throw 2 of 2,1,70-63,,
6:53.0,,,69-63,,J. Johnson enters the game for D. Williams
6:44.0,,,70-66,3,J. Richardson makes 3-pt shot from 24 ft
6:20.0,T. Williams misses 2-pt shot from 3 ft (block by H. Whiteside),,70-66,,
6:19.0,,,70-66,,Defensive rebound by D. Waiters
6:11.0,,,70-66,,Turnover by J. Richardson (bad pass; steal by T. Allen)
6:08.0,Shooting foul by J. Johnson (drawn by T. Williams),,70-66,,
6:08.0,T. Williams makes free throw 1 of 2,1,71-66,,
6:08.0,T. Williams makes free throw 2 of 2,1,72-66,,
5:57.0,,,72-66,,J. Richardson misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by T. Williams,,72-66,,
5:41.0,M. Conley misses 3-pt shot from 24 ft,,72-66,,
5:40.0,,,72-66,,Defensive rebound by H. Whiteside
5:32.0,,,72-66,,D. Waiters misses 2-pt shot from 17 ft
5:31.0,Defensive rebound by T. Allen,,72-66,,
5:19.0,J. Green misses 3-pt shot from 24 ft,,72-66,,
5:18.0,,,72-66,,Defensive rebound by H. Whiteside
4:59.0,,,72-69,3,D. Waiters makes 3-pt shot from 24 ft (assist by J. Johnson)
4:59.0,Memphis full timeout,,72-69,,
4:59.0,A. Harrison enters the game for T. Williams,,72-69,,
4:59.0,V. Carter enters the game for M. Conley,,72-69,,
4:59.0,,,72-69,,T. Johnson enters the game for J. Richardson
4:39.0,M. Gasol makes 2-pt shot from 18 ft (assist by V. Carter),2,74-69,,
4:19.0,,,74-71,2,J. Johnson makes 2-pt shot from 5 ft
4:07.0,J. Green misses 2-pt shot from 3 ft (block by H. Whiteside),,74-71,,
4:06.0,Offensive rebound by J. Green,,74-71,,
3:58.0,Shooting foul by J. Johnson (drawn by A. Harrison),,74-71,,
3:58.0,A. Harrison misses free throw 1 of 2,,74-71,,
3:58.0,Offensive rebound by Team,,74-71,,
3:58.0,A. Harrison makes free throw 2 of 2,1,75-71,,
3:45.0,,,75-71,,T. Johnson misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by J. Green,,75-71,,
3:31.0,M. Gasol misses 2-pt shot from 18 ft,,75-71,,
3:30.0,,,75-71,,Defensive rebound by T. Johnson
3:26.0,,,75-71,,Shooting foul by J. Green (drawn by J. Johnson)
3:26.0,,,75-71,,J. Johnson misses free throw 1 of 2
3:26.0,,,75-71,,Offensive rebound by Team
3:26.0,,,75-72,1,J. Johnson makes free throw 2 of 2
3:05.0,Shooting foul by H. Whiteside (drawn by T. Allen),,75-72,,
3:05.0,T. Allen misses free throw 1 of 2,,75-72,,
3:05.0,Offensive rebound by Team,,75-72,,
3:05.0,T. Allen makes free throw 2 of 2,1,76-72,,
3:05.0,J. Martin enters the game for J. Green,,75-72,,
2:50.0,,,76-74,2,D. Waiters makes 2-pt shot from 2 ft
2:41.0,Memphis full timeout,,76-74,,
2:41.0,D. Davis enters the game for T. Allen,,76-74,,
2:41.0,M. Conley enters the game for M. Gasol,,76-74,,
2:29.0,V. Carter makes 2-pt shot from 9 ft,2,78-74,,
2:10.0,,,78-74,,Shooting foul by D. Davis (drawn by H. Whiteside)
2:10.0,,,78-74,,H. Whiteside misses free throw 1 of 2
2:10.0,,,78-74,,Offensive rebound by Team
2:10.0,,,78-74,,H. Whiteside misses free throw 2 of 2
2:10.0,,,78-74,,L. Babbitt enters the game for R. McGruder
2:09.0,Defensive rebound by A. Harrison,,78-74,,
1:57.0,Shooting foul by L. Babbitt (drawn by V. Carter),,78-74,,
1:57.0,V. Carter makes free throw 1 of 2,1,79-74,,
1:57.0,V. Carter makes free throw 2 of 2,1,80-74,,
1:39.0,Def 3 sec tech foul by J. Martin,,80-74,,
1:39.0,,,80-75,1,T. Johnson makes technical free throw
1:27.0,,,80-75,,L. Babbitt misses 2-pt shot from 20 ft
1:26.0,Defensive rebound by M. Conley,,80-75,,
1:20.0,M. Conley misses 2-pt shot from 16 ft,,80-75,,
1:19.0,,,80-75,,Defensive rebound by H. Whiteside
1:12.0,,,80-78,3,T. Johnson makes 3-pt shot from 24 ft (assist by D. Waiters)
0:48.0,V. Carter misses 3-pt shot from 25 ft,,80-78,,
0:47.0,,,80-78,,Defensive rebound by T. Johnson
0:36.0,,,80-78,,D. Waiters misses 2-pt shot from 2 ft
0:35.0,,,80-78,,Offensive rebound by H. Whiteside
0:34.0,,,80-80,2,H. Whiteside makes 2-pt shot at rim
0:15.0,Shooting foul by T. Johnson (drawn by M. Conley),,80-80,,
0:15.0,M. Conley makes free throw 1 of 2,1,81-80,,
0:15.0,M. Conley makes free throw 2 of 2,1,82-80,,
0:15.0,J. Green enters the game for J. Martin,,81-80,,
0:01.0,,,82-82,2,T. Johnson makes 2-pt shot from 22 ft (assist by D. Waiters)
0:00.0,V. Carter misses 3-pt shot from 43 ft,,82-82,,
0:00.0,Offensive rebound by Team,,82-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,82-82,,D. Waiters misses 2-pt shot from 20 ft
11:35.0,Defensive rebound by V. Carter,,82-82,,
11:13.0,V. Carter misses 3-pt shot from 25 ft,,82-82,,
11:12.0,,,82-82,,Defensive rebound by L. Babbitt
10:55.0,,,82-84,2,D. Waiters makes 2-pt shot from 2 ft
10:30.0,V. Carter misses 3-pt shot from 26 ft,,82-84,,
10:29.0,,,82-84,,Defensive rebound by L. Babbitt
10:23.0,Personal foul by J. Martin (drawn by J. Johnson),,82-84,,
10:23.0,,,82-84,,R. McGruder enters the game for T. Johnson
10:23.0,T. Williams enters the game for A. Harrison,,82-84,,
10:05.0,,,82-87,3,D. Waiters makes 3-pt shot from 25 ft (assist by J. Johnson)
9:52.0,,,82-87,,Violation by J. McRoberts (kicked ball)
9:52.0,M. Gasol enters the game for D. Davis,,82-87,,
9:52.0,T. Allen enters the game for V. Carter,,82-87,,
9:39.0,J. Martin makes 2-pt shot from 15 ft (assist by M. Conley),2,84-87,,
9:14.0,,,84-87,,R. McGruder misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by T. Allen,,84-87,,
9:02.0,M. Gasol makes 2-pt shot from 8 ft,2,86-87,,
8:38.0,,,86-87,,D. Waiters misses 2-pt shot from 19 ft
8:37.0,Defensive rebound by T. Allen,,86-87,,
8:17.0,T. Williams makes 3-pt shot from 26 ft (assist by M. Conley),3,89-87,,
8:10.0,,,89-87,,Miami full timeout
8:10.0,,,89-87,,J. Richardson enters the game for D. Waiters
8:10.0,,,89-87,,H. Whiteside enters the game for J. McRoberts
7:58.0,,,89-89,2,R. McGruder makes 2-pt shot from 3 ft
7:48.0,Turnover by J. Martin (lost ball),,89-89,,
7:48.0,,,89-89,,T. Johnson enters the game for L. Babbitt
7:48.0,A. Harrison enters the game for M. Conley,,89-89,,
7:43.0,Personal foul by A. Harrison (drawn by J. Richardson),,89-89,,
7:43.0,J. Green enters the game for J. Martin,,89-89,,
7:23.0,,,89-89,,J. Richardson misses 3-pt shot from 25 ft
7:22.0,,,89-89,,Offensive rebound by Team
7:08.0,,,89-91,2,J. Johnson makes 2-pt shot from 3 ft
6:48.0,T. Williams makes 3-pt shot from 25 ft (assist by M. Gasol),3,92-91,,
6:31.0,,,92-91,,T. Johnson misses 2-pt shot from 9 ft
6:30.0,Defensive rebound by M. Gasol,,92-91,,
6:12.0,T. Williams misses 3-pt shot from 26 ft,,92-91,,
6:11.0,Offensive rebound by Team,,92-91,,
6:00.0,J. Green makes 3-pt shot from 25 ft (assist by A. Harrison),3,95-91,,
5:38.0,,,95-91,,H. Whiteside misses 2-pt shot from 8 ft
5:37.0,,,95-91,,Offensive rebound by R. McGruder
5:36.0,,,95-93,2,R. McGruder makes 2-pt shot from 1 ft
5:11.0,Shooting foul by J. Richardson (drawn by A. Harrison),,95-93,,
5:11.0,Official timeout,,95-93,,
5:11.0,A. Harrison makes free throw 1 of 2,1,96-93,,
5:11.0,A. Harrison makes free throw 2 of 2,1,97-93,,
5:00.0,,,97-93,,Turnover by J. Richardson (lost ball; steal by A. Harrison)
4:54.0,T. Allen makes 2-pt shot from 2 ft (assist by T. Williams),2,99-93,,
4:45.0,Personal foul by J. Green (drawn by J. Johnson),,99-93,,
4:45.0,,,99-93,,D. Waiters enters the game for R. McGruder
4:33.0,,,99-95,2,J. Johnson makes 2-pt shot from 7 ft
4:33.0,,,99-95,,Shooting foul by T. Williams (drawn by J. Johnson)
4:33.0,,,99-96,1,J. Johnson makes free throw 1 of 1
4:15.0,A. Harrison misses 3-pt shot from 25 ft,,99-96,,
4:14.0,,,99-96,,Defensive rebound by H. Whiteside
4:01.0,Personal foul by T. Allen (drawn by J. Richardson),,99-96,,
4:01.0,,,99-97,1,J. Richardson makes free throw 1 of 2
4:01.0,,,99-98,1,J. Richardson makes free throw 2 of 2
4:01.0,M. Conley enters the game for A. Harrison,,99-97,,
3:43.0,M. Conley misses 2-pt shot from 8 ft,,99-98,,
3:42.0,,,99-98,,Defensive rebound by J. Johnson
3:32.0,,,99-98,,J. Richardson misses 2-pt shot from 19 ft
3:31.0,Defensive rebound by J. Green,,99-98,,
3:23.0,,,99-98,,Personal foul by J. Johnson (drawn by T. Williams)
3:13.0,,,99-98,,Personal foul by J. Richardson (drawn by J. Green)
3:06.0,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol),3,102-98,,
2:45.0,,,102-100,2,H. Whiteside makes 2-pt shot from 4 ft (assist by J. Richardson)
2:27.0,Turnover by T. Williams (bad pass; steal by H. Whiteside),,102-100,,
2:18.0,,,102-100,,Turnover by T. Johnson (lost ball)
2:18.0,Memphis full timeout,,102-100,,
2:00.0,Shooting foul by H. Whiteside (drawn by M. Conley),,102-100,,
2:00.0,M. Conley makes 2-pt shot from 1 ft,2,104-100,,
2:00.0,M. Conley makes free throw 1 of 1,1,105-100,,
1:43.0,,,105-100,,J. Johnson misses 3-pt shot from 25 ft
1:42.0,,,105-100,,Offensive rebound by H. Whiteside
1:40.0,,,105-100,,H. Whiteside misses 2-pt shot from 6 ft
1:39.0,,,105-100,,Offensive rebound by H. Whiteside
1:39.0,,,105-100,,Shooting foul by M. Gasol (drawn by H. Whiteside)
1:39.0,,,105-100,,H. Whiteside misses free throw 1 of 2
1:39.0,,,105-100,,Offensive rebound by Team
1:39.0,,,105-101,1,H. Whiteside makes free throw 2 of 2
1:25.0,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol),3,108-101,,
1:25.0,,,108-101,,Miami full timeout
1:22.0,,,108-101,,Shooting foul by T. Allen (drawn by D. Waiters)
1:22.0,,,108-102,1,D. Waiters makes free throw 1 of 2
1:22.0,,,108-102,,D. Waiters misses free throw 2 of 2
1:21.0,Defensive rebound by J. Green,,108-102,,
1:03.0,T. Williams misses 2-pt shot at rim,,108-102,,
1:02.0,,,108-102,,Defensive rebound by H. Whiteside
0:55.0,,,108-102,,J. Richardson misses 3-pt shot from 25 ft (block by T. Allen)
0:53.0,,,108-102,,Offensive rebound by J. Richardson
0:50.0,,,108-105,3,D. Waiters makes 3-pt shot from 24 ft (assist by J. Richardson)
0:50.0,Memphis full timeout,,108-105,,
0:50.0,V. Carter enters the game for T. Allen,,108-105,,
0:29.0,V. Carter misses 3-pt shot from 24 ft,,108-105,,
