time,Atlanta,pts.away,score,pts.home,Utah
4:46.0,,,14-17,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Hood)
4:23.0,D. Howard misses 2-pt shot at rim,,14-17,,
4:23.0,,,14-17,,Defensive rebound by T. Lyles
4:10.0,,,14-17,,G. Hill misses 2-pt shot from 10 ft
4:09.0,Defensive rebound by T. Sefolosha,,14-17,,
3:54.0,D. Howard misses 2-pt shot from 2 ft (block by R. Gobert),,14-17,,
3:53.0,Offensive rebound by T. Sefolosha,,14-17,,
3:49.0,D. Schroder makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,17-17,,
3:34.0,Def 3 sec tech foul by D. Howard,,17-17,,
3:34.0,,,17-18,1,G. Hill makes technical free throw
3:34.0,M. Delaney enters the game for D. Schroder,,17-18,,
3:34.0,P. Millsap enters the game for D. Howard,,17-18,,
3:34.0,,,17-18,,S. Mack enters the game for G. Hill
3:26.0,,,17-18,,J. Johnson misses 3-pt shot from 25 ft
3:24.0,,,17-18,,Offensive rebound by T. Lyles
3:16.0,,,17-18,,T. Lyles misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by M. Muscala,,17-18,,
3:01.0,T. Sefolosha makes 2-pt shot from 17 ft,2,19-18,,
2:32.0,,,19-18,,S. Mack misses 2-pt shot from 6 ft
2:32.0,Defensive rebound by P. Millsap,,19-18,,
2:23.0,M. Delaney misses 2-pt shot from 7 ft,,19-18,,
2:23.0,,,19-18,,Defensive rebound by T. Lyles
2:11.0,,,19-18,,Turnover by T. Lyles (bad pass)
2:11.0,Atlanta full timeout,,19-18,,
2:11.0,,,19-18,,J. Withey enters the game for R. Gobert
2:11.0,,,19-18,,G. Hayward enters the game for R. Hood
1:59.0,Turnover by T. Hardaway (lost ball; steal by S. Mack),,19-18,,
1:40.0,,,19-20,2,T. Lyles makes 2-pt shot from 19 ft
1:20.0,M. Muscala misses 2-pt shot from 18 ft,,19-20,,
1:20.0,,,19-20,,Defensive rebound by J. Withey
1:05.0,,,19-20,,J. Johnson misses 2-pt shot from 9 ft
1:04.0,,,19-20,,Offensive rebound by J. Johnson
1:02.0,,,19-22,2,J. Johnson makes 2-pt shot from 3 ft
0:46.0,T. Sefolosha makes 2-pt shot from 2 ft,2,21-22,,
0:26.0,,,21-22,,Turnover by S. Mack (lost ball; steal by M. Delaney)
0:22.0,Shooting foul by J. Johnson (drawn by T. Sefolosha),,21-22,,
0:22.0,T. Sefolosha makes free throw 1 of 2,1,22-22,,
0:22.0,T. Sefolosha makes free throw 2 of 2,1,23-22,,
0:22.0,T. Waller-Prince enters the game for M. Muscala,,22-22,,
0:04.0,,,23-24,2,G. Hayward makes 2-pt shot at rim
0:01.0,M. Delaney misses 3-pt shot from 25 ft,,23-24,,
0:00.0,Offensive rebound by Team,,23-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,23-26,2,G. Hayward makes 2-pt shot from 15 ft
11:29.0,T. Sefolosha misses 3-pt shot from 24 ft,,23-26,,
11:29.0,,,23-26,,Defensive rebound by J. Johnson
11:17.0,,,23-26,,Offensive foul by J. Withey
11:17.0,,,23-26,,Turnover by J. Withey (offensive foul)
11:17.0,K. Korver enters the game for T. Sefolosha,,23-26,,
11:02.0,T. Waller-Prince makes 3-pt shot from 23 ft (assist by M. Muscala),3,26-26,,
10:40.0,,,26-26,,T. Lyles misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by T. Waller-Prince,,26-26,,
10:32.0,M. Muscala misses 2-pt shot from 14 ft,,26-26,,
10:31.0,,,26-26,,Defensive rebound by Team
10:19.0,,,26-28,2,G. Hayward makes 2-pt shot at rim (assist by S. Mack)
10:03.0,,,26-28,,Personal foul by G. Hayward (drawn by T. Waller-Prince)
9:51.0,T. Waller-Prince makes 3-pt shot from 25 ft,3,29-28,,
9:44.0,D. Howard enters the game for M. Muscala,,29-28,,
9:44.0,,,29-28,,R. Gobert enters the game for J. Withey
9:40.0,Personal foul by T. Waller-Prince (drawn by T. Lyles),,29-28,,
9:30.0,,,29-28,,T. Lyles misses 3-pt shot from 23 ft
9:30.0,Defensive rebound by K. Korver,,29-28,,
9:21.0,D. Howard misses 2-pt shot from 3 ft,,29-28,,
9:21.0,,,29-28,,Defensive rebound by T. Lyles
9:15.0,,,29-28,,Shooting foul by P. Millsap (drawn by G. Hayward)
9:15.0,,,29-29,1,G. Hayward makes free throw 1 of 2
9:15.0,,,29-30,1,G. Hayward makes free throw 2 of 2
9:15.0,T. Sefolosha enters the game for P. Millsap,,29-29,,
9:15.0,,,29-29,,B. Diaw enters the game for T. Lyles
9:01.0,M. Delaney misses 2-pt shot from 19 ft,,29-30,,
9:01.0,,,29-30,,Defensive rebound by R. Gobert
8:42.0,,,29-30,,Shooting foul by T. Waller-Prince (drawn by R. Gobert)
8:42.0,,,29-30,,Utah full timeout
8:42.0,,,29-31,1,R. Gobert makes free throw 1 of 2
8:42.0,,,29-32,1,R. Gobert makes free throw 2 of 2
8:28.0,Turnover by T. Waller-Prince (bad pass; steal by S. Mack),,29-32,,
8:22.0,,,29-34,2,S. Mack makes 2-pt shot from 2 ft
8:13.0,Turnover by M. Delaney (bad pass; steal by S. Mack),,29-34,,
8:07.0,,,29-36,2,B. Diaw makes 2-pt shot from 2 ft (assist by S. Mack)
8:07.0,Atlanta full timeout,,29-36,,
8:07.0,D. Schroder enters the game for M. Delaney,,29-36,,
8:07.0,,,29-36,,R. Hood enters the game for G. Hayward
7:45.0,T. Waller-Prince misses 3-pt shot from 24 ft,,29-36,,
7:45.0,Offensive rebound by T. Sefolosha,,29-36,,
7:38.0,D. Schroder misses 3-pt shot from 24 ft,,29-36,,
7:37.0,,,29-36,,Defensive rebound by J. Johnson
7:24.0,,,29-36,,S. Mack misses 2-pt shot from 14 ft
7:24.0,Defensive rebound by K. Korver,,29-36,,
7:14.0,Shooting foul by R. Gobert (drawn by T. Sefolosha),,29-36,,
7:14.0,T. Sefolosha misses free throw 1 of 2,,29-36,,
7:14.0,Offensive rebound by Team,,29-36,,
7:14.0,T. Sefolosha makes free throw 2 of 2,1,30-36,,
7:14.0,,,29-36,,G. Hill enters the game for S. Mack
6:56.0,,,30-36,,Shooting foul by D. Howard (drawn by R. Gobert)
6:56.0,,,30-36,,R. Gobert misses free throw 1 of 2
6:56.0,,,30-36,,Offensive rebound by Team
6:56.0,,,30-37,1,R. Gobert makes free throw 2 of 2
6:56.0,P. Millsap enters the game for T. Sefolosha,,30-36,,
6:56.0,K. Bazemore enters the game for T. Waller-Prince,,30-36,,
6:46.0,K. Bazemore misses 2-pt shot from 6 ft (block by R. Gobert),,30-37,,
6:45.0,,,30-37,,Defensive rebound by J. Johnson
6:23.0,,,30-40,3,R. Hood makes 3-pt shot from 28 ft (assist by R. Gobert)
6:15.0,Turnover by D. Schroder (bad pass),,30-40,,
6:15.0,,,30-40,,G. Hayward enters the game for J. Johnson
5:58.0,,,30-40,,R. Hood misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by P. Millsap,,30-40,,
5:45.0,P. Millsap makes 2-pt shot from 11 ft,2,32-40,,
5:22.0,,,32-40,,B. Diaw misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by Team,,32-40,,
5:22.0,,,32-40,,Loose ball foul by R. Gobert (drawn by D. Howard)
5:22.0,,,32-40,,J. Johnson enters the game for R. Gobert
5:12.0,D. Schroder misses 2-pt shot from 2 ft,,32-40,,
5:12.0,,,32-40,,Defensive rebound by J. Johnson
5:00.0,,,32-40,,J. Johnson misses 3-pt shot from 23 ft
4:59.0,Defensive rebound by D. Howard,,32-40,,
4:45.0,D. Schroder misses 3-pt shot from 23 ft,,32-40,,
4:44.0,,,32-40,,Defensive rebound by G. Hayward
4:29.0,,,32-40,,Turnover by J. Johnson (bad pass; steal by P. Millsap)
4:23.0,K. Bazemore misses 2-pt shot from 3 ft,,32-40,,
4:22.0,,,32-40,,Defensive rebound by J. Johnson
4:10.0,,,32-40,,G. Hayward misses 2-pt shot from 11 ft
4:09.0,Defensive rebound by K. Korver,,32-40,,
3:59.0,Turnover by P. Millsap (bad pass; steal by G. Hill),,32-40,,
3:50.0,,,32-40,,G. Hill misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by P. Millsap,,32-40,,
3:36.0,P. Millsap misses 2-pt shot from 9 ft,,32-40,,
3:35.0,,,32-40,,Defensive rebound by J. Johnson
3:33.0,,,32-40,,Utah full timeout
3:33.0,T. Sefolosha enters the game for K. Bazemore,,32-40,,
3:33.0,,,32-40,,J. Withey enters the game for B. Diaw
3:33.0,,,32-40,,T. Lyles enters the game for J. Johnson
3:20.0,,,32-42,2,G. Hill makes 2-pt shot from 18 ft
3:03.0,D. Schroder misses 2-pt shot from 2 ft (block by J. Withey),,32-42,,
3:03.0,Offensive rebound by Team,,32-42,,
2:54.0,P. Millsap misses 2-pt shot from 14 ft,,32-42,,
2:53.0,,,32-42,,Defensive rebound by G. Hayward
2:35.0,,,32-42,,T. Lyles misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by D. Howard,,32-42,,
2:23.0,P. Millsap misses 2-pt shot from 4 ft (block by J. Withey),,32-42,,
2:21.0,Offensive rebound by P. Millsap,,32-42,,
2:18.0,M. Muscala enters the game for D. Howard,,32-42,,
2:18.0,,,32-42,,J. Ingles enters the game for R. Hood
2:17.0,Jump ball: G. Hill vs. P. Millsap,,,,Jump ball: G. Hill vs. P. Millsap
2:09.0,D. Schroder misses 3-pt shot from 26 ft,,32-42,,
2:09.0,Offensive rebound by Team,,32-42,,
2:09.0,,,32-42,,Loose ball foul by J. Withey (drawn by M. Muscala)
1:58.0,M. Muscala misses 2-pt shot from 5 ft,,32-42,,
1:58.0,,,32-42,,Defensive rebound by Team
1:35.0,,,32-45,3,G. Hill makes 3-pt shot from 24 ft
1:17.0,Offensive foul by D. Schroder,,32-45,,
1:17.0,Turnover by D. Schroder (offensive foul),,32-45,,
1:00.0,,,32-48,3,J. Ingles makes 3-pt shot from 25 ft (assist by T. Lyles)
0:51.0,,,32-48,,Def 3 sec tech foul by J. Withey
0:51.0,K. Korver misses technical free throw,,32-48,,
0:51.0,Offensive rebound by Team,,32-48,,
0:43.0,D. Schroder misses 2-pt shot from 10 ft,,32-48,,
0:41.0,,,32-48,,Defensive rebound by G. Hill
0:34.0,,,32-48,,J. Ingles misses 3-pt shot from 23 ft
0:33.0,Defensive rebound by T. Sefolosha,,32-48,,
0:28.0,M. Muscala makes 2-pt shot from 3 ft (assist by T. Sefolosha),2,34-48,,
0:28.0,Shooting foul by J. Ingles (drawn by M. Muscala),,34-48,,
0:28.0,M. Muscala misses free throw 1 of 1,,34-48,,
0:28.0,,,34-48,,Defensive rebound by G. Hayward
0:28.0,T. Waller-Prince enters the game for K. Korver,,34-48,,
0:28.0,,,34-48,,R. Hood enters the game for J. Ingles
0:28.0,,,34-48,,J. Johnson enters the game for T. Lyles
0:05.0,,,34-48,,J. Johnson misses 3-pt shot from 23 ft
0:05.0,Defensive rebound by T. Waller-Prince,,34-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,34-48,,B. Diaw misses 2-pt shot from 11 ft
11:35.0,Defensive rebound by D. Howard,,34-48,,
11:22.0,K. Bazemore misses 2-pt shot from 20 ft,,34-48,,
11:22.0,,,34-48,,Defensive rebound by R. Gobert
11:06.0,,,34-48,,G. Hayward misses 2-pt shot from 4 ft
11:06.0,Defensive rebound by K. Bazemore,,34-48,,
10:51.0,D. Schroder misses 2-pt shot from 11 ft (block by R. Gobert),,34-48,,
10:50.0,,,34-48,,Defensive rebound by R. Hood
10:43.0,,,34-48,,Turnover by R. Hood (bad pass; steal by K. Korver)
10:39.0,D. Schroder misses 2-pt shot at rim,,34-48,,
10:38.0,,,34-48,,Defensive rebound by B. Diaw
10:34.0,,,34-48,,Turnover by S. Mack (step out of bounds)
10:34.0,,,34-48,,G. Hill enters the game for S. Mack
10:23.0,K. Bazemore makes 2-pt shot from 9 ft,2,36-48,,
10:06.0,,,36-48,,G. Hill misses 2-pt shot from 19 ft
10:05.0,Defensive rebound by D. Howard,,36-48,,
9:46.0,P. Millsap makes 2-pt shot from 9 ft (assist by K. Korver),2,38-48,,
9:22.0,,,38-48,,G. Hayward misses 2-pt shot from 1 ft (block by P. Millsap)
9:21.0,,,38-48,,Offensive rebound by B. Diaw
9:03.0,,,38-48,,B. Diaw misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by D. Schroder,,38-48,,
8:49.0,P. Millsap misses 2-pt shot from 2 ft (block by R. Gobert),,38-48,,
8:48.0,,,38-48,,Defensive rebound by G. Hayward
8:35.0,,,38-48,,Shooting foul by P. Millsap (drawn by G. Hayward)
8:35.0,,,38-49,1,G. Hayward makes free throw 1 of 2
8:35.0,,,38-50,1,G. Hayward makes free throw 2 of 2
8:17.0,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder),3,41-50,,
7:49.0,,,41-50,,B. Diaw misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by D. Howard,,41-50,,
7:26.0,D. Howard misses 2-pt shot from 17 ft,,41-50,,
7:26.0,,,41-50,,Defensive rebound by G. Hayward
7:26.0,Loose ball foul by P. Millsap (drawn by G. Hayward),,41-50,,
7:09.0,,,41-50,,Turnover by B. Diaw (bad pass; steal by K. Bazemore)
7:04.0,K. Bazemore misses 2-pt shot from 2 ft (block by G. Hayward),,41-50,,
7:03.0,,,41-50,,Defensive rebound by R. Gobert
6:52.0,,,41-50,,G. Hayward misses 2-pt shot from 5 ft (block by D. Howard)
6:52.0,,,41-50,,Offensive rebound by Team
6:52.0,,,41-50,,Utah full timeout
6:46.0,,,41-53,3,R. Hood makes 3-pt shot from 22 ft (assist by G. Hill)
6:30.0,K. Bazemore misses 3-pt shot from 25 ft,,41-53,,
6:29.0,,,41-53,,Defensive rebound by G. Hill
6:08.0,,,41-53,,R. Hood misses 2-pt shot from 21 ft
6:07.0,Defensive rebound by D. Schroder,,41-53,,
6:03.0,Shooting foul by R. Hood (drawn by D. Schroder),,41-53,,
6:03.0,D. Schroder makes free throw 1 of 2,1,42-53,,
6:03.0,D. Schroder makes free throw 2 of 2,1,43-53,,
6:03.0,,,42-53,,J. Johnson enters the game for R. Hood
6:03.0,,,42-53,,T. Lyles enters the game for B. Diaw
6:03.0,M. Muscala enters the game for D. Howard,,42-53,,
5:44.0,,,43-53,,T. Lyles misses 2-pt shot from 4 ft
5:43.0,Defensive rebound by P. Millsap,,43-53,,
5:33.0,Turnover by M. Muscala (bad pass; steal by G. Hayward),,43-53,,
5:28.0,,,43-53,,G. Hayward misses 2-pt shot from 3 ft (block by P. Millsap)
5:27.0,,,43-53,,Offensive rebound by G. Hayward
5:20.0,,,43-53,,T. Lyles misses 2-pt shot from 19 ft
5:19.0,Defensive rebound by K. Bazemore,,43-53,,
5:08.0,Shooting foul by R. Gobert (drawn by K. Bazemore),,43-53,,
5:08.0,K. Bazemore makes free throw 1 of 2,1,44-53,,
5:08.0,K. Bazemore misses free throw 2 of 2,,44-53,,
5:08.0,T. Sefolosha enters the game for K. Korver,,44-53,,
5:06.0,,,44-53,,Defensive rebound by G. Hill
4:47.0,,,44-53,,Turnover by G. Hayward (lost ball; steal by M. Muscala)
4:40.0,T. Sefolosha misses 2-pt shot from 2 ft,,44-53,,
4:40.0,,,44-53,,Defensive rebound by R. Gobert
4:29.0,,,44-55,2,G. Hill makes 2-pt shot from 18 ft
4:13.0,P. Millsap misses 2-pt shot from 2 ft,,44-55,,
4:12.0,,,44-55,,Defensive rebound by R. Gobert
4:11.0,,,44-55,,Turnover by R. Gobert (bad pass; steal by D. Schroder)
4:04.0,D. Schroder misses 3-pt shot from 23 ft,,44-55,,
4:03.0,,,44-55,,Defensive rebound by G. Hill
3:55.0,,,44-55,,G. Hill misses 3-pt shot from 24 ft
3:55.0,,,44-55,,Offensive rebound by T. Lyles
3:53.0,,,44-57,2,T. Lyles makes 2-pt shot from 2 ft
3:53.0,Atlanta full timeout,,44-57,,
3:53.0,M. Delaney enters the game for D. Schroder,,44-57,,
3:53.0,T. Hardaway enters the game for K. Bazemore,,44-57,,
3:53.0,,,44-57,,J. Withey enters the game for R. Gobert
3:37.0,T. Sefolosha makes 2-pt shot from 2 ft,2,46-57,,
3:14.0,,,46-57,,G. Hayward misses 2-pt shot from 3 ft
3:13.0,Defensive rebound by M. Muscala,,46-57,,
2:55.0,P. Millsap makes 2-pt shot from 9 ft,2,48-57,,
2:37.0,,,48-57,,Turnover by T. Lyles (lost ball)
2:37.0,,,48-57,,R. Hood enters the game for G. Hayward
2:37.0,,,48-57,,S. Mack enters the game for G. Hill
2:37.0,T. Waller-Prince enters the game for P. Millsap,,48-57,,
2:29.0,T. Hardaway misses 2-pt shot from 6 ft,,48-57,,
2:29.0,,,48-57,,Defensive rebound by J. Johnson
2:19.0,,,48-57,,Offensive foul by S. Mack
2:19.0,,,48-57,,Turnover by S. Mack (offensive foul)
2:06.0,M. Delaney misses 3-pt shot from 24 ft,,48-57,,
2:05.0,,,48-57,,Defensive rebound by T. Lyles
1:57.0,Violation by M. Muscala (kicked ball),,48-57,,
1:57.0,,,48-57,,B. Diaw enters the game for J. Withey
1:49.0,,,48-57,,S. Mack misses 3-pt shot from 25 ft
1:49.0,,,48-57,,Offensive rebound by T. Lyles
1:48.0,,,48-59,2,T. Lyles makes 2-pt shot at rim
1:31.0,M. Muscala misses 3-pt shot from 24 ft,,48-59,,
1:30.0,,,48-59,,Defensive rebound by J. Johnson
1:14.0,,,48-61,2,J. Johnson makes 2-pt shot from 10 ft
0:59.0,T. Hardaway misses 2-pt shot from 3 ft,,48-61,,
0:59.0,,,48-61,,Defensive rebound by R. Hood
0:47.0,,,48-61,,R. Hood misses 2-pt shot from 8 ft
0:46.0,Defensive rebound by T. Hardaway,,48-61,,
0:30.0,M. Muscala misses 2-pt shot from 4 ft,,48-61,,
0:29.0,,,48-61,,Defensive rebound by J. Johnson
0:11.0,Personal foul by T. Waller-Prince (drawn by R. Hood),,48-61,,
0:01.0,,,48-61,,R. Hood misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by T. Sefolosha,,48-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,T. Sefolosha makes 2-pt shot from 2 ft,2,50-61,,
11:23.0,,,50-61,,J. Johnson misses 3-pt shot from 24 ft
11:23.0,,,50-61,,Offensive rebound by T. Lyles
11:13.0,,,50-64,3,T. Lyles makes 3-pt shot from 25 ft (assist by S. Mack)
10:49.0,D. Howard makes 2-pt shot from 15 ft (assist by T. Waller-Prince),2,52-64,,
10:32.0,,,52-64,,Shooting foul by D. Howard (drawn by R. Gobert)
10:32.0,,,52-65,1,R. Gobert makes free throw 1 of 2
10:32.0,,,52-66,1,R. Gobert makes free throw 2 of 2
10:20.0,Turnover by D. Howard (bad pass; steal by S. Mack),,52-66,,
10:17.0,,,52-68,2,R. Hood makes 2-pt shot at rim (assist by S. Mack)
10:17.0,Atlanta full timeout,,52-68,,
10:17.0,K. Bazemore enters the game for T. Hardaway,,52-68,,
10:17.0,D. Schroder enters the game for M. Delaney,,52-68,,
10:01.0,D. Schroder misses 2-pt shot from 14 ft,,52-68,,
10:01.0,Offensive rebound by D. Howard,,52-68,,
9:59.0,D. Howard makes 2-pt shot at rim,2,54-68,,
9:40.0,,,54-70,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Johnson)
9:40.0,,,54-70,,Shooting foul by D. Howard (drawn by R. Gobert)
9:40.0,,,54-71,1,R. Gobert makes free throw 1 of 1
9:40.0,,,54-70,,G. Hill enters the game for S. Mack
9:15.0,D. Schroder misses 2-pt shot from 3 ft,,54-71,,
9:15.0,,,54-71,,Defensive rebound by R. Hood
9:03.0,,,54-73,2,T. Lyles makes 2-pt shot from 8 ft
8:56.0,D. Schroder misses 2-pt shot from 2 ft,,54-73,,
8:56.0,,,54-73,,Defensive rebound by T. Lyles
8:47.0,,,54-76,3,G. Hill makes 3-pt shot from 24 ft
8:32.0,,,54-76,,Personal foul by G. Hill (drawn by K. Bazemore)
8:32.0,K. Korver enters the game for T. Waller-Prince,,54-76,,
8:32.0,,,54-76,,J. Ingles enters the game for R. Hood
8:25.0,D. Schroder makes 2-pt shot from 3 ft,2,56-76,,
7:58.0,,,56-76,,Turnover by T. Lyles (bad pass; steal by D. Schroder)
7:54.0,K. Bazemore misses 2-pt shot from 3 ft,,56-76,,
7:52.0,Offensive rebound by D. Howard,,56-76,,
7:52.0,D. Howard misses 2-pt shot from 2 ft,,56-76,,
7:51.0,,,56-76,,Defensive rebound by J. Johnson
7:32.0,,,56-79,3,G. Hill makes 3-pt shot from 23 ft (assist by T. Lyles)
7:06.0,K. Bazemore misses 2-pt shot from 3 ft,,56-79,,
7:06.0,,,56-79,,Defensive rebound by R. Gobert
7:00.0,Personal foul by D. Schroder (drawn by G. Hill),,56-79,,
7:00.0,Atlanta full timeout,,56-79,,
7:00.0,T. Waller-Prince enters the game for K. Bazemore,,56-79,,
7:00.0,T. Hardaway enters the game for D. Howard,,56-79,,
7:00.0,D. Bembry enters the game for K. Korver,,56-79,,
7:00.0,K. Humphries enters the game for D. Schroder,,56-79,,
7:00.0,R. Kelly enters the game for T. Sefolosha,,56-79,,
7:00.0,,,56-79,,G. Hayward enters the game for J. Johnson
6:49.0,,,56-82,3,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles)
6:27.0,T. Hardaway misses 3-pt shot from 24 ft,,56-82,,
6:27.0,,,56-82,,Defensive rebound by G. Hayward
6:06.0,,,56-82,,Turnover by T. Lyles (bad pass)
5:45.0,Turnover by D. Bembry (bad pass; steal by G. Hayward),,56-82,,
5:40.0,,,56-84,2,G. Hayward makes 2-pt shot from 2 ft
5:21.0,Turnover by K. Humphries (bad pass; steal by G. Hill),,56-84,,
5:18.0,,,56-86,2,G. Hill makes 2-pt shot from 2 ft
5:18.0,,,56-86,,Shooting foul by T. Hardaway (drawn by G. Hill)
5:18.0,,,56-87,1,G. Hill makes free throw 1 of 1
5:18.0,,,56-86,,D. Exum enters the game for G. Hayward
5:08.0,,,56-87,,Personal foul by D. Exum
5:08.0,,,56-87,,J. Withey enters the game for R. Gobert
5:08.0,,,56-87,,S. Mack enters the game for G. Hill
5:06.0,Turnover by R. Kelly (bad pass),,56-87,,
4:50.0,,,56-87,,T. Lyles misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by K. Humphries,,56-87,,
4:36.0,K. Humphries makes 2-pt shot at rim,2,58-87,,
4:19.0,,,58-87,,S. Mack misses 3-pt shot from 23 ft
4:18.0,,,58-87,,Offensive rebound by J. Withey
4:16.0,,,58-87,,J. Withey misses 2-pt shot from 2 ft (block by R. Kelly)
4:13.0,Defensive rebound by R. Kelly,,58-87,,
4:09.0,T. Hardaway makes 2-pt shot from 2 ft (assist by R. Kelly),2,60-87,,
3:50.0,Personal foul by T. Hardaway (drawn by J. Withey),,60-87,,
3:50.0,,,60-87,,J. Withey misses free throw 1 of 2
3:50.0,,,60-87,,Offensive rebound by Team
3:50.0,,,60-87,,J. Withey misses free throw 2 of 2
3:49.0,Defensive rebound by R. Kelly,,60-87,,
3:44.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by T. Hardaway),3,63-87,,
3:17.0,,,63-89,2,T. Lyles makes 2-pt shot at rim (assist by J. Ingles)
3:02.0,T. Waller-Prince misses 3-pt shot from 24 ft,,63-89,,
