time,Minnesota,pts.away,score,pts.home,Brooklyn
5:07.0,,,17-21,,Shooting foul by K. Dunn (drawn by S. Kilpatrick)
5:07.0,,,17-22,1,S. Kilpatrick makes free throw 1 of 2
5:07.0,,,17-23,1,S. Kilpatrick makes free throw 2 of 2
5:07.0,,,17-22,,T. Booker enters the game for B. Lopez
5:07.0,,,17-22,,J. Harris enters the game for B. Bogdanovic
5:07.0,T. Jones enters the game for K. Dunn,,17-22,,
4:48.0,A. Wiggins misses 2-pt shot at rim,,17-23,,
4:47.0,Offensive rebound by K. Towns,,17-23,,
4:45.0,Shooting foul by J. Hamilton (drawn by K. Towns),,17-23,,
4:45.0,K. Towns makes free throw 1 of 2,1,18-23,,
4:45.0,K. Towns makes free throw 2 of 2,1,19-23,,
4:35.0,,,19-23,,Shooting foul by G. Dieng (drawn by T. Booker)
4:35.0,,,19-24,1,T. Booker makes free throw 1 of 2
4:35.0,,,19-24,,T. Booker misses free throw 2 of 2
4:34.0,Defensive rebound by T. Jones,,19-24,,
4:28.0,,,19-24,,Personal foul by T. Booker (drawn by K. Towns)
4:28.0,K. Towns makes free throw 1 of 2,1,20-24,,
4:28.0,K. Towns makes free throw 2 of 2,1,21-24,,
4:28.0,S. Muhammad enters the game for Z. LaVine,,20-24,,
4:28.0,,,20-24,,L. Scola enters the game for T. Booker
4:16.0,,,21-24,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Jones)
4:12.0,T. Jones makes 2-pt shot from 1 ft (assist by G. Dieng),2,23-24,,
3:54.0,,,23-27,3,J. Hamilton makes 3-pt shot from 22 ft (assist by S. Kilpatrick)
3:40.0,,,23-27,,Def 3 sec tech foul by S. Kilpatrick
3:40.0,T. Jones misses technical free throw,,23-27,,
3:40.0,Offensive rebound by Team,,23-27,,
3:40.0,,,23-27,,R. Foye enters the game for R. Hollis-Jefferson
3:40.0,C. Aldrich enters the game for G. Dieng,,23-27,,
3:30.0,C. Aldrich misses 2-pt shot from 4 ft,,23-27,,
3:29.0,,,23-27,,Defensive rebound by J. Hamilton
3:27.0,,,23-27,,Turnover by J. Hamilton (bad pass; steal by T. Jones)
3:23.0,S. Muhammad makes 2-pt shot at rim (assist by A. Wiggins),2,25-27,,
3:10.0,,,25-27,,J. Harris misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by S. Muhammad,,25-27,,
2:59.0,A. Wiggins misses 2-pt shot from 3 ft,,25-27,,
2:58.0,Offensive rebound by A. Wiggins,,25-27,,
2:57.0,A. Wiggins misses 2-pt shot at rim,,25-27,,
2:55.0,,,25-27,,Defensive rebound by S. Kilpatrick
2:48.0,,,25-27,,Shooting foul by A. Wiggins (drawn by S. Kilpatrick)
2:48.0,,,25-28,1,S. Kilpatrick makes free throw 1 of 2
2:48.0,,,25-29,1,S. Kilpatrick makes free throw 2 of 2
2:34.0,S. Muhammad misses 2-pt shot from 12 ft,,25-29,,
2:33.0,Offensive rebound by C. Aldrich,,25-29,,
2:20.0,C. Aldrich makes 2-pt shot at rim (assist by T. Jones),2,27-29,,
2:00.0,,,27-29,,R. Foye misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by C. Aldrich,,27-29,,
1:44.0,K. Towns misses 2-pt shot from 2 ft,,27-29,,
1:43.0,Offensive rebound by C. Aldrich,,27-29,,
1:41.0,C. Aldrich misses 2-pt shot from 1 ft,,27-29,,
1:38.0,,,27-29,,Defensive rebound by L. Scola
1:33.0,,,27-31,2,J. Harris makes 2-pt shot from 3 ft
1:21.0,Turnover by K. Towns (bad pass),,27-31,,
1:21.0,N. Bjelica enters the game for K. Towns,,27-31,,
1:08.0,,,27-31,,Turnover by S. Kilpatrick (bad pass; steal by N. Bjelica)
1:02.0,Shooting foul by J. Harris (drawn by T. Jones),,27-31,,
1:02.0,T. Jones makes free throw 1 of 2,1,28-31,,
1:02.0,T. Jones makes free throw 2 of 2,1,29-31,,
0:49.0,Violation by C. Aldrich (kicked ball),,29-31,,
0:47.0,,,29-31,,J. Hamilton misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by T. Jones,,29-31,,
0:32.0,A. Wiggins makes 2-pt shot from 6 ft (assist by C. Aldrich),2,31-31,,
0:16.0,,,31-33,2,J. Harris makes 2-pt shot at rim
0:02.0,A. Wiggins makes 2-pt shot from 19 ft,2,33-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Z. LaVine misses 3-pt shot from 28 ft,,33-33,,
11:46.0,Offensive rebound by N. Bjelica,,33-33,,
11:33.0,N. Bjelica misses 3-pt shot from 24 ft,,33-33,,
11:32.0,,,33-33,,Defensive rebound by L. Scola
11:23.0,,,33-33,,L. Scola misses 2-pt shot from 1 ft
11:21.0,Defensive rebound by N. Bjelica,,33-33,,
11:01.0,N. Bjelica misses 2-pt shot from 2 ft,,33-33,,
11:00.0,,,33-33,,Defensive rebound by L. Scola
10:49.0,,,33-36,3,J. Hamilton makes 3-pt shot from 25 ft (assist by R. Foye)
10:41.0,Offensive foul by S. Muhammad,,33-36,,
10:41.0,Turnover by S. Muhammad (offensive foul),,33-36,,
10:33.0,,,33-36,,B. Bogdanovic misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by N. Bjelica,,33-36,,
10:26.0,Shooting foul by J. Hamilton (drawn by N. Bjelica),,33-36,,
10:26.0,N. Bjelica makes 2-pt shot from 3 ft,2,35-36,,
10:26.0,N. Bjelica misses free throw 1 of 1,,35-36,,
10:25.0,,,35-36,,Defensive rebound by J. Hamilton
10:18.0,,,35-36,,Offensive foul by J. Hamilton
10:18.0,,,35-36,,Turnover by J. Hamilton (offensive foul)
10:18.0,,,35-36,,T. Booker enters the game for J. Hamilton
10:06.0,T. Jones misses 3-pt shot from 27 ft,,35-36,,
10:05.0,,,35-36,,Defensive rebound by T. Booker
9:48.0,,,35-38,2,L. Scola makes 2-pt shot from 8 ft
9:28.0,S. Muhammad misses 3-pt shot from 24 ft,,35-38,,
9:27.0,,,35-38,,Defensive rebound by I. Whitehead
9:21.0,Personal foul by N. Bjelica (drawn by L. Scola),,35-38,,
9:16.0,,,35-41,3,R. Foye makes 3-pt shot from 24 ft (assist by T. Booker)
9:00.0,N. Bjelica makes 3-pt shot from 24 ft (assist by T. Jones),3,38-41,,
8:39.0,,,38-41,,I. Whitehead misses 2-pt shot from 17 ft
8:38.0,Defensive rebound by N. Bjelica,,38-41,,
8:31.0,S. Muhammad misses 2-pt shot from 1 ft,,38-41,,
8:31.0,,,38-41,,Defensive rebound by T. Booker
8:26.0,,,38-43,2,T. Booker makes 2-pt shot from 2 ft
8:20.0,S. Muhammad misses 2-pt shot from 1 ft (block by I. Whitehead),,38-43,,
8:19.0,Offensive rebound by T. Jones,,38-43,,
8:06.0,S. Muhammad makes 3-pt shot from 25 ft (assist by T. Jones),3,41-43,,
7:54.0,,,41-43,,T. Booker misses 2-pt shot from 3 ft (block by N. Bjelica)
7:53.0,Defensive rebound by N. Bjelica,,41-43,,
7:49.0,Offensive charge foul by N. Bjelica,,41-43,,
7:49.0,Turnover by N. Bjelica (offensive foul),,41-43,,
7:49.0,Official timeout,,41-43,,
7:49.0,G. Dieng enters the game for C. Aldrich,,41-43,,
7:49.0,K. Towns enters the game for N. Bjelica,,41-43,,
7:42.0,,,41-43,,T. Booker misses 2-pt shot from 9 ft
7:41.0,Defensive rebound by Z. LaVine,,41-43,,
7:30.0,K. Towns makes 2-pt shot from 13 ft (assist by T. Jones),2,43-43,,
7:07.0,,,43-43,,B. Bogdanovic misses 3-pt shot from 25 ft
7:06.0,,,43-43,,Offensive rebound by L. Scola
6:57.0,,,43-43,,Shooting foul by G. Dieng (drawn by B. Bogdanovic)
6:57.0,,,43-44,1,B. Bogdanovic makes free throw 1 of 2
6:57.0,,,43-45,1,B. Bogdanovic makes free throw 2 of 2
6:57.0,A. Wiggins enters the game for S. Muhammad,,43-44,,
6:57.0,,,43-44,,S. Kilpatrick enters the game for R. Foye
6:57.0,,,43-44,,B. Lopez enters the game for L. Scola
6:43.0,A. Wiggins misses 2-pt shot from 22 ft,,43-45,,
6:42.0,,,43-45,,Defensive rebound by T. Booker
6:34.0,,,43-45,,Turnover by B. Lopez (traveling)
6:34.0,,,43-45,,J. Harris enters the game for B. Bogdanovic
6:24.0,Offensive foul by G. Dieng,,43-45,,
6:24.0,Turnover by G. Dieng (offensive foul),,43-45,,
6:14.0,,,43-48,3,B. Lopez makes 3-pt shot from 25 ft (assist by I. Whitehead)
5:53.0,A. Wiggins makes 3-pt shot from 28 ft (assist by K. Towns),3,46-48,,
5:42.0,,,46-51,3,B. Lopez makes 3-pt shot from 24 ft (assist by I. Whitehead)
5:23.0,K. Towns misses 3-pt shot from 25 ft,,46-51,,
5:22.0,Offensive rebound by A. Wiggins,,46-51,,
5:06.0,A. Wiggins makes 3-pt shot from 24 ft (assist by T. Jones),3,49-51,,
4:45.0,,,49-53,2,S. Kilpatrick makes 2-pt shot from 19 ft
4:29.0,G. Dieng makes 2-pt shot from 5 ft (assist by T. Jones),2,51-53,,
4:15.0,,,51-55,2,S. Kilpatrick makes 2-pt shot from 1 ft (assist by J. Harris)
4:08.0,A. Wiggins misses 2-pt shot from 2 ft,,51-55,,
4:07.0,,,51-55,,Defensive rebound by T. Booker
4:03.0,,,51-55,,Shooting foul by K. Towns (drawn by T. Booker)
4:03.0,,,51-57,2,T. Booker makes 2-pt shot from 2 ft
4:03.0,,,51-57,,Brooklyn full timeout
4:03.0,,,51-57,,T. Booker misses free throw 1 of 1
4:03.0,C. Aldrich enters the game for G. Dieng,,51-57,,
4:03.0,,,51-57,,R. Hollis-Jefferson enters the game for I. Whitehead
4:02.0,Defensive rebound by K. Towns,,51-57,,
3:48.0,K. Towns makes 2-pt shot at rim,2,53-57,,
3:32.0,,,53-59,2,T. Booker makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
3:06.0,T. Jones makes 3-pt shot from 24 ft (assist by K. Towns),3,56-59,,
2:48.0,,,56-59,,Turnover by S. Kilpatrick (lost ball; steal by C. Aldrich)
2:42.0,T. Jones misses 2-pt shot from 3 ft,,56-59,,
2:41.0,Offensive rebound by K. Towns,,56-59,,
2:40.0,K. Towns makes 2-pt shot at rim,2,58-59,,
2:26.0,,,58-59,,T. Booker misses 2-pt shot from 2 ft
2:26.0,Defensive rebound by Team,,58-59,,
2:26.0,Minnesota full timeout,,58-59,,
2:26.0,,,58-59,,L. Scola enters the game for T. Booker
2:07.0,Z. LaVine makes 2-pt shot from 22 ft (assist by K. Towns),2,60-59,,
1:42.0,,,60-62,3,J. Harris makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
1:36.0,Turnover by C. Aldrich (lost ball),,60-62,,
1:23.0,,,60-64,2,L. Scola makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson)
1:09.0,K. Towns misses 2-pt shot from 18 ft,,60-64,,
1:08.0,,,60-64,,Defensive rebound by J. Harris
1:00.0,,,60-64,,Turnover by B. Lopez (bad pass; steal by T. Jones)
0:53.0,A. Wiggins makes 3-pt shot from 22 ft (assist by T. Jones),3,63-64,,
0:38.0,,,63-64,,B. Lopez misses 3-pt shot from 24 ft
0:37.0,Defensive rebound by T. Jones,,63-64,,
0:29.0,Z. LaVine makes 2-pt shot from 8 ft,2,65-64,,
0:18.0,,,65-64,,Shooting foul by C. Aldrich (drawn by B. Lopez)
0:18.0,,,65-65,1,B. Lopez makes free throw 1 of 2
0:18.0,,,65-66,1,B. Lopez makes free throw 2 of 2
0:18.0,,,65-65,,R. Foye enters the game for J. Harris
0:18.0,,,65-65,,I. Whitehead enters the game for S. Kilpatrick
0:01.0,Z. LaVine misses 3-pt shot from 29 ft,,65-66,,
0:00.0,Offensive rebound by Team,,65-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,A. Wiggins misses 2-pt shot from 2 ft,,65-66,,
11:42.0,,,65-66,,Defensive rebound by T. Booker
11:23.0,,,65-66,,B. Lopez misses 2-pt shot from 3 ft
11:19.0,,,65-66,,Offensive rebound by Team
11:09.0,,,65-66,,Shooting foul by K. Towns (drawn by R. Hollis-Jefferson)
11:09.0,,,65-67,1,R. Hollis-Jefferson makes free throw 1 of 2
11:09.0,,,65-68,1,R. Hollis-Jefferson makes free throw 2 of 2
10:53.0,K. Towns makes 2-pt shot from 6 ft,2,67-68,,
10:38.0,,,67-70,2,B. Lopez makes 2-pt shot from 7 ft
10:38.0,,,67-70,,Shooting foul by G. Dieng (drawn by B. Lopez)
10:38.0,,,67-71,1,B. Lopez makes free throw 1 of 1
10:38.0,C. Aldrich enters the game for G. Dieng,,67-70,,
10:25.0,K. Towns misses 3-pt shot from 25 ft,,67-71,,
10:24.0,,,67-71,,Defensive rebound by T. Booker
10:12.0,Violation by C. Aldrich (kicked ball),,67-71,,
10:03.0,,,67-71,,Turnover by B. Lopez (traveling)
9:53.0,K. Towns misses 2-pt shot from 5 ft (block by B. Lopez),,67-71,,
9:52.0,Offensive rebound by Team,,67-71,,
9:40.0,A. Wiggins makes 3-pt shot from 28 ft,3,70-71,,
9:24.0,,,70-74,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by I. Whitehead)
9:08.0,Shooting foul by T. Booker (drawn by C. Aldrich),,70-74,,
9:08.0,C. Aldrich makes free throw 1 of 2,1,71-74,,
9:08.0,C. Aldrich makes free throw 2 of 2,1,72-74,,
8:53.0,,,72-74,,B. Bogdanovic misses 3-pt shot from 25 ft
8:52.0,,,72-74,,Offensive rebound by I. Whitehead
8:44.0,,,72-74,,Turnover by T. Booker (traveling)
8:34.0,A. Wiggins misses 2-pt shot from 3 ft (block by B. Lopez),,72-74,,
8:32.0,,,72-74,,Defensive rebound by B. Lopez
8:28.0,,,72-74,,B. Bogdanovic misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by C. Aldrich,,72-74,,
8:17.0,Offensive foul by K. Towns,,72-74,,
8:17.0,Turnover by K. Towns (offensive foul),,72-74,,
8:17.0,,,72-74,,J. Hamilton enters the game for T. Booker
8:08.0,,,72-74,,I. Whitehead misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by Team,,72-74,,
7:53.0,A. Wiggins misses 2-pt shot from 20 ft,,72-74,,
7:52.0,,,72-74,,Defensive rebound by I. Whitehead
7:43.0,,,72-74,,B. Lopez misses 3-pt shot from 24 ft
7:41.0,,,72-74,,Offensive rebound by I. Whitehead
7:39.0,,,72-76,2,B. Lopez makes 2-pt shot at rim (assist by I. Whitehead)
7:18.0,K. Dunn misses 3-pt shot from 24 ft,,72-76,,
7:17.0,,,72-76,,Defensive rebound by B. Lopez
7:01.0,,,72-76,,Shooting foul by C. Aldrich (drawn by R. Hollis-Jefferson)
7:01.0,,,72-77,1,R. Hollis-Jefferson makes free throw 1 of 2
7:01.0,,,72-78,1,R. Hollis-Jefferson makes free throw 2 of 2
7:01.0,,,72-77,,J. Harris enters the game for B. Bogdanovic
6:48.0,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Dunn),3,75-78,,
6:31.0,,,75-78,,Turnover by B. Lopez (lost ball; steal by C. Aldrich)
6:10.0,Z. LaVine misses 2-pt shot from 10 ft,,75-78,,
6:09.0,,,75-78,,Defensive rebound by J. Hamilton
5:59.0,,,75-78,,R. Hollis-Jefferson misses 2-pt shot at rim
5:58.0,Defensive rebound by K. Dunn,,75-78,,
5:54.0,Offensive charge foul by K. Towns,,75-78,,
5:54.0,Turnover by K. Towns (offensive foul),,75-78,,
5:54.0,,,75-78,,Brooklyn full timeout
5:54.0,N. Bjelica enters the game for K. Towns,,75-78,,
5:54.0,,,75-78,,S. Kilpatrick enters the game for I. Whitehead
5:43.0,,,75-80,2,S. Kilpatrick makes 2-pt shot from 5 ft
5:22.0,A. Wiggins misses 2-pt shot from 4 ft (block by B. Lopez),,75-80,,
5:20.0,,,75-80,,Defensive rebound by R. Hollis-Jefferson
5:10.0,,,75-80,,T. Booker enters the game for B. Lopez
4:58.0,,,75-80,,T. Booker misses 2-pt shot from 19 ft
4:57.0,Defensive rebound by A. Wiggins,,75-80,,
4:45.0,A. Wiggins makes 2-pt shot from 18 ft,2,77-80,,
4:31.0,,,77-80,,Turnover by S. Kilpatrick (bad pass; steal by K. Dunn)
4:28.0,,,77-80,,Personal foul by J. Harris (drawn by Z. LaVine)
4:28.0,Z. LaVine makes free throw 1 of 2,1,78-80,,
4:28.0,Z. LaVine makes free throw 2 of 2,1,79-80,,
4:06.0,,,79-82,2,J. Harris makes 2-pt shot from 2 ft
3:45.0,Z. LaVine misses 2-pt shot from 13 ft,,79-82,,
3:44.0,,,79-82,,Defensive rebound by R. Hollis-Jefferson
3:24.0,,,79-84,2,T. Booker makes 2-pt shot from 11 ft
3:13.0,Minnesota full timeout,,79-84,,
3:13.0,T. Jones enters the game for K. Dunn,,79-84,,
3:13.0,,,79-84,,R. Foye enters the game for R. Hollis-Jefferson
3:06.0,A. Wiggins misses 2-pt shot from 1 ft,,79-84,,
3:05.0,Offensive rebound by A. Wiggins,,79-84,,
3:04.0,A. Wiggins makes 2-pt shot from 2 ft,2,81-84,,
2:53.0,,,81-84,,S. Kilpatrick misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by Team,,81-84,,
2:51.0,S. Muhammad enters the game for Z. LaVine,,81-84,,
2:36.0,A. Wiggins misses 3-pt shot from 26 ft,,81-84,,
2:35.0,,,81-84,,Defensive rebound by S. Kilpatrick
2:31.0,,,81-84,,Offensive charge foul by S. Kilpatrick
2:31.0,,,81-84,,Turnover by S. Kilpatrick (offensive foul)
2:12.0,A. Wiggins misses 2-pt shot at rim,,81-84,,
2:11.0,,,81-84,,Defensive rebound by T. Booker
2:06.0,,,81-86,2,T. Booker makes 2-pt shot from 2 ft
1:52.0,N. Bjelica misses 3-pt shot from 26 ft,,81-86,,
1:51.0,,,81-86,,Defensive rebound by J. Hamilton
1:35.0,,,81-86,,J. Harris misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by C. Aldrich,,81-86,,
1:25.0,A. Wiggins makes 3-pt shot from 24 ft,3,84-86,,
1:07.0,,,84-88,2,T. Booker makes 2-pt shot from 1 ft
0:49.0,S. Muhammad misses 2-pt shot from 20 ft,,84-88,,
0:48.0,,,84-88,,Defensive rebound by S. Kilpatrick
0:35.0,,,84-88,,T. Booker misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by A. Wiggins,,84-88,,
0:29.0,Turnover by T. Jones (bad pass),,84-88,,
0:29.0,,,84-88,,L. Scola enters the game for J. Hamilton
0:07.0,,,84-88,,R. Foye misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by T. Jones,,84-88,,
0:02.0,Turnover by T. Jones (lost ball),,84-88,,
0:01.0,,,84-88,,Turnover by S. Kilpatrick (bad pass)
0:01.0,,,84-88,,B. Lopez enters the game for J. Harris
0:00.0,Turnover by A. Wiggins (bad pass; steal by T. Booker),,84-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:56.0,,,84-88,,Turnover by R. Foye (bad pass; steal by T. Jones)
11:52.0,T. Jones makes 2-pt shot from 3 ft,2,86-88,,
11:35.0,,,86-90,2,I. Whitehead makes 2-pt shot from 2 ft (assist by L. Scola)
11:17.0,A. Wiggins misses 2-pt shot from 12 ft,,86-90,,
11:16.0,,,86-90,,Defensive rebound by R. Foye
11:06.0,Personal foul by C. Aldrich (drawn by L. Scola),,86-90,,
11:06.0,K. Towns enters the game for C. Aldrich,,86-90,,
11:06.0,Z. LaVine enters the game for A. Wiggins,,86-90,,
11:06.0,G. Dieng enters the game for N. Bjelica,,86-90,,
10:54.0,,,86-90,,Turnover by I. Whitehead (bad pass)
10:41.0,T. Jones makes 3-pt shot from 24 ft,3,89-90,,
10:25.0,,,89-90,,I. Whitehead misses 2-pt shot from 2 ft (block by G. Dieng)
10:24.0,,,89-90,,Offensive rebound by L. Scola
10:21.0,,,89-92,2,L. Scola makes 2-pt shot from 1 ft
10:11.0,Shooting foul by L. Scola (drawn by G. Dieng),,89-92,,
10:11.0,G. Dieng makes free throw 1 of 2,1,90-92,,
10:11.0,G. Dieng makes free throw 2 of 2,1,91-92,,
10:02.0,,,91-92,,L. Scola misses 3-pt shot from 24 ft
10:00.0,,,91-92,,Offensive rebound by Team
10:00.0,,,91-92,,B. Bogdanovic enters the game for R. Foye
9:54.0,,,91-94,2,J. Harris makes 2-pt shot from 1 ft (assist by L. Scola)
9:41.0,T. Jones misses 3-pt shot from 25 ft,,91-94,,
9:40.0,,,91-94,,Defensive rebound by J. Hamilton
9:21.0,,,91-97,3,J. Hamilton makes 3-pt shot from 25 ft (assist by I. Whitehead)
9:01.0,S. Muhammad misses 3-pt shot from 24 ft,,91-97,,
9:00.0,,,91-97,,Defensive rebound by I. Whitehead
8:56.0,,,91-97,,J. Harris misses 3-pt shot from 25 ft
8:55.0,,,91-97,,Offensive rebound by L. Scola
8:54.0,,,91-97,,Shooting foul by K. Towns (drawn by L. Scola)
8:54.0,Official timeout,,91-97,,
8:54.0,,,91-97,,L. Scola misses free throw 1 of 2
8:54.0,,,91-97,,Offensive rebound by Team
8:54.0,,,91-98,1,L. Scola makes free throw 2 of 2
8:54.0,A. Wiggins enters the game for K. Towns,,91-97,,
8:43.0,Shooting foul by L. Scola (drawn by A. Wiggins),,91-98,,
8:43.0,A. Wiggins makes free throw 1 of 2,1,92-98,,
8:43.0,A. Wiggins makes free throw 2 of 2,1,93-98,,
8:34.0,,,93-98,,J. Harris misses 3-pt shot from 26 ft
8:33.0,Defensive rebound by G. Dieng,,93-98,,
8:23.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,95-98,,
8:07.0,,,95-100,2,L. Scola makes 2-pt shot from 1 ft
7:45.0,Z. LaVine makes 2-pt shot from 19 ft,2,97-100,,
7:34.0,,,97-100,,Offensive foul by L. Scola
7:34.0,,,97-100,,Turnover by L. Scola (offensive foul)
7:34.0,,,97-100,,B. Lopez enters the game for L. Scola
7:34.0,,,97-100,,S. Kilpatrick enters the game for J. Harris
7:16.0,,,97-100,,Shooting block foul by I. Whitehead (drawn by Z. LaVine)
7:16.0,Z. LaVine makes free throw 1 of 2,1,98-100,,
7:16.0,Z. LaVine makes free throw 2 of 2,1,99-100,,
6:53.0,,,99-100,,B. Bogdanovic misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by S. Muhammad,,99-100,,
6:41.0,Z. LaVine misses 2-pt shot from 1 ft,,99-100,,
6:40.0,,,99-100,,Defensive rebound by I. Whitehead
6:37.0,,,99-100,,Turnover by I. Whitehead (bad pass; steal by G. Dieng)
6:31.0,G. Dieng misses 2-pt shot from 5 ft,,99-100,,
6:30.0,Offensive rebound by S. Muhammad,,99-100,,
6:29.0,S. Muhammad misses 2-pt shot from 1 ft,,99-100,,
6:27.0,,,99-100,,Defensive rebound by J. Hamilton
6:08.0,,,99-100,,B. Lopez misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by Z. LaVine,,99-100,,
5:54.0,A. Wiggins makes 3-pt shot from 24 ft,3,102-100,,
5:45.0,,,102-100,,Brooklyn full timeout
5:45.0,,,102-100,,T. Booker enters the game for J. Hamilton
5:45.0,,,102-100,,R. Hollis-Jefferson enters the game for I. Whitehead
5:39.0,,,102-102,2,B. Lopez makes 2-pt shot from 3 ft
5:23.0,A. Wiggins misses 2-pt shot from 2 ft,,102-102,,
