time,Toronto,pts.away,score,pts.home,Brooklyn
7:29.0,C. Joseph misses 3-pt shot from 25 ft,,11-7,,
7:28.0,,,11-7,,Defensive rebound by B. Bogdanovic
7:25.0,Personal foul by D. DeRozan (drawn by B. Bogdanovic),,11-7,,
7:00.0,,,11-7,,T. Booker misses 2-pt shot from 2 ft
6:59.0,,,11-7,,Offensive rebound by T. Booker
6:53.0,,,11-7,,B. Bogdanovic misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by J. Valanciunas,,11-7,,
6:36.0,C. Joseph makes 2-pt shot from 17 ft (assist by D. Carroll),2,13-7,,
6:27.0,,,13-7,,Turnover by B. Lopez (3 sec)
6:27.0,,,13-7,,S. Kilpatrick enters the game for J. Harris
6:16.0,,,13-7,,Personal foul by B. Bogdanovic (drawn by D. DeRozan)
6:07.0,D. DeRozan makes 2-pt shot from 18 ft,2,15-7,,
5:59.0,,,15-9,2,B. Lopez makes 2-pt shot from 6 ft (assist by T. Booker)
5:59.0,,,15-9,,Shooting foul by L. Nogueira (drawn by B. Lopez)
5:59.0,,,15-9,,Brooklyn full timeout
5:59.0,,,15-10,1,B. Lopez makes free throw 1 of 1
5:59.0,,,15-9,,R. Foye enters the game for B. Bogdanovic
5:37.0,D. DeRozan misses 2-pt shot from 7 ft,,15-10,,
5:36.0,,,15-10,,Defensive rebound by T. Booker
5:20.0,,,15-12,2,T. Booker makes 2-pt shot from 6 ft (assist by B. Lopez)
4:58.0,C. Joseph misses 2-pt shot from 18 ft,,15-12,,
4:57.0,,,15-12,,Defensive rebound by B. Lopez
4:51.0,,,15-12,,T. Booker misses 2-pt shot from 2 ft
4:50.0,Defensive rebound by J. Valanciunas,,15-12,,
4:34.0,,,15-12,,Personal foul by S. Dinwiddie (drawn by C. Joseph)
4:34.0,,,15-12,,C. LeVert enters the game for S. Dinwiddie
4:34.0,,,15-12,,R. Hollis-Jefferson enters the game for T. Booker
4:34.0,T. Ross enters the game for L. Nogueira,,15-12,,
4:28.0,J. Valanciunas misses 2-pt shot from 5 ft,,15-12,,
4:27.0,Offensive rebound by D. Carroll,,15-12,,
4:22.0,D. Carroll makes 3-pt shot from 23 ft,3,18-12,,
4:09.0,,,18-14,2,B. Lopez makes 2-pt shot from 7 ft
3:53.0,Turnover by D. DeRozan (lost ball; steal by R. Foye),,18-14,,
3:47.0,Personal foul by D. Carroll (drawn by C. LeVert),,18-14,,
3:47.0,,,18-14,,J. Hamilton enters the game for B. Lopez
3:36.0,,,18-17,3,S. Kilpatrick makes 3-pt shot from 23 ft (assist by C. LeVert)
3:18.0,T. Ross makes 3-pt shot from 25 ft (assist by D. DeRozan),3,21-17,,
3:00.0,,,21-20,3,J. Hamilton makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
2:41.0,D. DeRozan misses 2-pt shot from 12 ft (block by R. Foye),,21-20,,
2:39.0,Offensive rebound by D. DeRozan,,21-20,,
2:32.0,D. DeRozan misses 2-pt shot from 13 ft,,21-20,,
2:31.0,,,21-20,,Defensive rebound by R. Hollis-Jefferson
2:25.0,Toronto full timeout,,21-20,,
2:25.0,F. VanVleet enters the game for C. Joseph,,21-20,,
2:25.0,N. Powell enters the game for D. Carroll,,21-20,,
2:25.0,J. Poeltl enters the game for J. Valanciunas,,21-20,,
2:15.0,,,21-20,,S. Kilpatrick misses 2-pt shot from 21 ft
2:14.0,,,21-20,,Offensive rebound by J. Hamilton
2:12.0,,,21-22,2,J. Hamilton makes 2-pt shot from 3 ft
1:51.0,Shooting foul by C. LeVert (drawn by D. DeRozan),,21-22,,
1:51.0,D. DeRozan makes free throw 1 of 2,1,22-22,,
1:51.0,D. DeRozan makes free throw 2 of 2,1,23-22,,
1:44.0,,,23-24,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
1:44.0,,,23-24,,Shooting foul by N. Powell (drawn by R. Hollis-Jefferson)
1:44.0,,,23-25,1,R. Hollis-Jefferson makes free throw 1 of 1
1:25.0,T. Ross makes 3-pt shot from 26 ft (assist by F. VanVleet),3,26-25,,
1:11.0,,,26-25,,R. Foye misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by D. DeRozan,,26-25,,
0:53.0,D. DeRozan misses 2-pt shot from 6 ft,,26-25,,
0:50.0,Offensive rebound by Team,,26-25,,
0:42.0,Turnover by D. DeRozan (lost ball; steal by R. Hollis-Jefferson),,26-25,,
0:40.0,,,26-27,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
0:32.0,D. DeRozan misses 2-pt shot from 17 ft,,26-27,,
0:31.0,,,26-27,,Defensive rebound by R. Hollis-Jefferson
0:13.0,,,26-29,2,C. LeVert makes 2-pt shot from 13 ft
0:01.0,D. DeRozan misses 2-pt shot from 15 ft,,26-29,,
0:00.0,Offensive rebound by Team,,26-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,26-31,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
11:45.0,,,26-31,,Shooting foul by N. Powell (drawn by R. Hollis-Jefferson)
11:45.0,,,26-32,1,R. Hollis-Jefferson makes free throw 1 of 1
11:32.0,T. Ross misses 3-pt shot from 25 ft,,26-32,,
11:31.0,,,26-32,,Defensive rebound by J. Hamilton
11:16.0,,,26-32,,J. Hamilton misses 3-pt shot from 24 ft
11:15.0,Defensive rebound by T. Ross,,26-32,,
11:08.0,C. Joseph misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,26-32,,
11:06.0,Offensive rebound by C. Joseph,,26-32,,
11:02.0,C. Joseph makes 2-pt shot from 2 ft,2,28-32,,
10:49.0,,,28-32,,R. Foye misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by J. Poeltl,,28-32,,
10:38.0,J. Poeltl makes 2-pt shot at rim (assist by C. Joseph),2,30-32,,
10:26.0,,,30-34,2,R. Hollis-Jefferson makes 2-pt shot from 14 ft
10:10.0,,,30-34,,I. Whitehead enters the game for R. Foye
10:10.0,,,30-34,,T. Booker enters the game for R. Hollis-Jefferson
10:10.0,,,30-34,,Violation by Team (jump ball)
10:02.0,T. Ross misses 2-pt shot from 15 ft,,30-34,,
10:01.0,,,30-34,,Defensive rebound by Team
9:42.0,,,30-36,2,J. Hamilton makes 2-pt shot from 3 ft (assist by I. Whitehead)
9:31.0,C. Joseph misses 2-pt shot from 11 ft,,30-36,,
9:30.0,Offensive rebound by C. Joseph,,30-36,,
9:27.0,C. Joseph makes 2-pt shot at rim,2,32-36,,
9:16.0,,,32-36,,Offensive foul by S. Kilpatrick
9:16.0,,,32-36,,Turnover by S. Kilpatrick (offensive foul)
9:03.0,C. Joseph makes 2-pt shot from 15 ft,2,34-36,,
8:56.0,,,34-36,,S. Kilpatrick misses 2-pt shot from 2 ft (block by J. Poeltl)
8:54.0,,,34-36,,Offensive rebound by J. Hamilton
8:52.0,,,34-36,,J. Hamilton misses 2-pt shot from 2 ft (block by T. Ross)
8:51.0,Defensive rebound by N. Powell,,34-36,,
8:50.0,N. Powell misses 2-pt shot from 2 ft (block by T. Booker),,34-36,,
8:49.0,,,34-36,,Defensive rebound by Team
8:49.0,Official timeout,,34-36,,
8:25.0,,,34-36,,I. Whitehead misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by T. Ross,,34-36,,
8:16.0,T. Ross makes 2-pt shot from 21 ft,2,36-36,,
8:01.0,,,36-36,,S. Kilpatrick misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by F. VanVleet,,36-36,,
7:49.0,T. Ross makes 2-pt shot from 9 ft (assist by F. VanVleet),2,38-36,,
7:34.0,,,38-36,,J. Hamilton misses 3-pt shot from 24 ft
7:33.0,,,38-36,,Offensive rebound by T. Booker
7:31.0,,,38-38,2,T. Booker makes 2-pt shot from 1 ft
7:14.0,C. Joseph makes 2-pt shot from 9 ft,2,40-38,,
7:05.0,,,40-40,2,J. Hamilton makes 2-pt shot from 8 ft (assist by S. Kilpatrick)
6:47.0,F. VanVleet makes 3-pt shot from 23 ft (assist by J. Poeltl),3,43-40,,
6:35.0,,,43-40,,J. Hamilton misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by C. Joseph,,43-40,,
6:28.0,C. Joseph makes 2-pt shot from 2 ft,2,45-40,,
6:27.0,,,45-40,,Brooklyn full timeout
6:27.0,D. Carroll enters the game for F. VanVleet,,45-40,,
6:27.0,D. DeRozan enters the game for N. Powell,,45-40,,
6:27.0,J. Valanciunas enters the game for J. Poeltl,,45-40,,
6:27.0,,,45-40,,B. Lopez enters the game for J. Hamilton
6:27.0,,,45-40,,J. Harris enters the game for S. Kilpatrick
6:27.0,,,45-40,,C. LeVert enters the game for B. Bogdanovic
6:11.0,,,45-40,,Shooting foul by D. Carroll (drawn by B. Lopez)
6:11.0,,,45-41,1,B. Lopez makes free throw 1 of 2
6:11.0,,,45-42,1,B. Lopez makes free throw 2 of 2
5:56.0,T. Ross misses 3-pt shot from 25 ft,,45-42,,
5:55.0,,,45-42,,Defensive rebound by I. Whitehead
5:48.0,,,45-44,2,B. Lopez makes 2-pt shot from 3 ft (assist by I. Whitehead)
5:40.0,,,45-44,,Personal foul by I. Whitehead (drawn by J. Valanciunas)
5:33.0,C. Joseph makes 2-pt shot from 8 ft,2,47-44,,
5:13.0,,,47-47,3,I. Whitehead makes 3-pt shot from 24 ft (assist by C. LeVert)
4:49.0,C. Joseph makes 2-pt shot from 6 ft,2,49-47,,
4:31.0,,,49-49,2,T. Booker makes 2-pt shot from 8 ft
4:15.0,D. DeRozan misses 2-pt shot from 10 ft,,49-49,,
4:14.0,,,49-49,,Defensive rebound by C. LeVert
4:07.0,,,49-49,,B. Lopez misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by Team,,49-49,,
3:47.0,C. Joseph misses 3-pt shot from 25 ft,,49-49,,
3:45.0,,,49-49,,Defensive rebound by T. Booker
3:38.0,,,49-51,2,I. Whitehead makes 2-pt shot at rim (assist by C. LeVert)
3:31.0,Toronto full timeout,,49-51,,
3:31.0,,,49-51,,R. Hollis-Jefferson enters the game for T. Booker
3:15.0,Shooting foul by C. LeVert (drawn by D. DeRozan),,49-51,,
3:15.0,D. DeRozan makes free throw 1 of 2,1,50-51,,
3:15.0,D. DeRozan makes free throw 2 of 2,1,51-51,,
2:59.0,,,51-53,2,B. Lopez makes 2-pt shot from 3 ft
2:48.0,Shooting foul by C. LeVert (drawn by D. DeRozan),,51-53,,
2:48.0,D. DeRozan makes free throw 1 of 2,1,52-53,,
2:48.0,D. DeRozan makes free throw 2 of 2,1,53-53,,
2:48.0,,,52-53,,S. Dinwiddie enters the game for C. LeVert
2:48.0,F. VanVleet enters the game for C. Joseph,,52-53,,
2:48.0,N. Powell enters the game for T. Ross,,52-53,,
2:33.0,,,53-55,2,B. Lopez makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
2:19.0,F. VanVleet misses 2-pt shot from 4 ft,,53-55,,
2:18.0,,,53-55,,Defensive rebound by B. Lopez
1:58.0,Personal foul by J. Valanciunas (drawn by B. Lopez),,53-55,,
1:53.0,,,53-55,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
1:52.0,Defensive rebound by F. VanVleet,,53-55,,
1:43.0,D. DeRozan misses 2-pt shot from 2 ft,,53-55,,
1:42.0,Offensive rebound by D. DeRozan,,53-55,,
1:40.0,D. DeRozan misses 2-pt shot from 2 ft,,53-55,,
1:39.0,,,53-55,,Defensive rebound by R. Hollis-Jefferson
1:32.0,,,53-57,2,B. Lopez makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson)
1:10.0,N. Powell misses 2-pt shot from 9 ft,,53-57,,
1:09.0,,,53-57,,Defensive rebound by Team
1:09.0,Loose ball foul by J. Valanciunas (drawn by B. Lopez),,53-57,,
1:09.0,,,53-58,1,B. Lopez makes free throw 1 of 2
1:09.0,,,53-59,1,B. Lopez makes free throw 2 of 2
0:54.0,D. DeRozan makes 2-pt shot from 5 ft,2,55-59,,
0:37.0,,,55-61,2,B. Lopez makes 2-pt shot from 2 ft
0:30.0,Shooting foul by I. Whitehead (drawn by F. VanVleet),,55-61,,
0:30.0,F. VanVleet misses free throw 1 of 2,,55-61,,
0:30.0,Offensive rebound by Team,,55-61,,
0:30.0,F. VanVleet misses free throw 2 of 2,,55-61,,
0:29.0,,,55-61,,Defensive rebound by R. Hollis-Jefferson
0:08.0,,,55-61,,B. Lopez misses 2-pt shot from 12 ft
0:07.0,Defensive rebound by D. DeRozan,,55-61,,
0:01.0,Shooting foul by I. Whitehead (drawn by D. DeRozan),,55-61,,
0:01.0,D. DeRozan makes free throw 1 of 3,1,56-61,,
0:01.0,D. DeRozan makes free throw 2 of 3,1,57-61,,
0:01.0,D. DeRozan makes free throw 3 of 3,1,58-61,,
0:01.0,,,55-61,,R. Foye enters the game for I. Whitehead
0:01.0,J. Poeltl enters the game for J. Valanciunas,,55-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,58-63,2,B. Lopez makes 2-pt shot from 5 ft (assist by T. Booker)
11:28.0,D. DeRozan makes 2-pt shot from 21 ft,2,60-63,,
11:17.0,,,60-63,,S. Dinwiddie misses 2-pt shot from 8 ft
11:16.0,,,60-63,,Offensive rebound by B. Lopez
11:13.0,,,60-63,,Turnover by B. Lopez (lost ball; steal by D. DeRozan)
11:13.0,,,60-63,,Personal foul by J. Harris (drawn by D. Carroll)
10:56.0,D. DeRozan makes 2-pt shot from 19 ft (assist by C. Joseph),2,62-63,,
10:38.0,,,62-63,,B. Lopez misses 2-pt shot from 1 ft
10:37.0,Defensive rebound by J. Valanciunas,,62-63,,
10:32.0,,,62-63,,Personal foul by B. Lopez (drawn by D. DeRozan)
10:24.0,,,62-63,,Personal foul by T. Booker (drawn by J. Valanciunas)
10:15.0,,,62-63,,Personal foul by T. Booker (drawn by J. Valanciunas)
10:01.0,Turnover by J. Valanciunas (lost ball; steal by B. Bogdanovic),,62-63,,
9:52.0,,,62-63,,J. Harris misses 2-pt shot from 2 ft (block by P. Siakam)
9:52.0,,,62-63,,Offensive rebound by Team
9:49.0,,,62-66,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by B. Lopez)
9:29.0,D. DeRozan makes 2-pt shot from 20 ft,2,64-66,,
9:08.0,,,64-66,,B. Lopez misses 2-pt shot from 2 ft
9:07.0,Defensive rebound by D. Carroll,,64-66,,
9:02.0,D. Carroll makes 3-pt shot from 24 ft,3,67-66,,
8:39.0,,,67-66,,Turnover by S. Dinwiddie (traveling)
8:26.0,D. DeRozan makes 2-pt shot from 15 ft,2,69-66,,
8:07.0,,,69-66,,B. Lopez misses 2-pt shot from 5 ft
8:06.0,Defensive rebound by J. Valanciunas,,69-66,,
7:58.0,D. DeRozan misses 2-pt shot from 16 ft,,69-66,,
7:57.0,,,69-66,,Defensive rebound by T. Booker
7:41.0,,,69-66,,Shooting foul by D. DeRozan (drawn by B. Bogdanovic)
7:41.0,,,69-67,1,B. Bogdanovic makes free throw 1 of 3
7:41.0,,,69-68,1,B. Bogdanovic makes free throw 2 of 3
7:41.0,,,69-69,1,B. Bogdanovic makes free throw 3 of 3
7:26.0,J. Valanciunas misses 2-pt shot from 6 ft,,69-69,,
7:25.0,,,69-69,,Defensive rebound by B. Lopez
7:05.0,,,69-69,,Turnover by B. Lopez (bad pass; steal by P. Siakam)
6:59.0,D. Carroll misses 3-pt shot from 25 ft,,69-69,,
6:58.0,Offensive rebound by P. Siakam,,69-69,,
6:57.0,P. Siakam makes 2-pt shot from 2 ft,2,71-69,,
6:57.0,,,71-69,,Brooklyn full timeout
6:44.0,,,71-71,2,S. Dinwiddie makes 2-pt shot from 2 ft
6:27.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan),2,73-71,,
6:09.0,,,73-71,,J. Harris misses 3-pt shot from 23 ft
6:08.0,Defensive rebound by D. DeRozan,,73-71,,
5:57.0,D. DeRozan misses 2-pt shot from 3 ft (block by B. Lopez),,73-71,,
5:56.0,,,73-71,,Defensive rebound by B. Bogdanovic
5:52.0,,,73-71,,J. Harris misses 2-pt shot from 2 ft (block by P. Siakam)
5:51.0,Defensive rebound by J. Valanciunas,,73-71,,
5:43.0,,,73-71,,Personal foul by J. Harris (drawn by C. Joseph)
5:43.0,C. Joseph makes free throw 1 of 2,1,74-71,,
5:43.0,C. Joseph makes free throw 2 of 2,1,75-71,,
5:43.0,,,74-71,,S. Kilpatrick enters the game for J. Harris
5:27.0,,,75-71,,B. Bogdanovic misses 2-pt shot from 3 ft
5:26.0,,,75-71,,Offensive rebound by B. Lopez
5:25.0,,,75-73,2,B. Lopez makes 2-pt shot from 2 ft
4:59.0,C. Joseph makes 3-pt shot from 25 ft (assist by D. DeRozan),3,78-73,,
4:43.0,,,78-73,,Turnover by S. Dinwiddie (bad pass; steal by J. Valanciunas)
4:38.0,C. Joseph misses 2-pt shot from 4 ft (block by S. Dinwiddie),,78-73,,
4:37.0,,,78-73,,Defensive rebound by T. Booker
4:36.0,Personal foul by D. Carroll (drawn by T. Booker),,78-73,,
4:36.0,,,78-73,,R. Foye enters the game for B. Bogdanovic
4:36.0,,,78-73,,C. LeVert enters the game for S. Dinwiddie
4:36.0,T. Ross enters the game for D. Carroll,,78-73,,
4:18.0,,,78-73,,Turnover by C. LeVert (traveling)
4:07.0,J. Valanciunas makes 2-pt shot from 4 ft,2,80-73,,
4:00.0,,,80-73,,R. Hollis-Jefferson enters the game for T. Booker
3:44.0,,,80-75,2,R. Foye makes 2-pt shot from 7 ft (assist by S. Kilpatrick)
3:24.0,P. Siakam misses 2-pt shot from 3 ft,,80-75,,
3:23.0,,,80-75,,Defensive rebound by R. Hollis-Jefferson
3:08.0,,,80-75,,R. Hollis-Jefferson misses 2-pt shot from 10 ft
3:05.0,Defensive rebound by J. Valanciunas,,80-75,,
2:59.0,P. Siakam misses 2-pt shot from 3 ft,,80-75,,
2:58.0,Offensive rebound by P. Siakam,,80-75,,
2:57.0,P. Siakam makes 2-pt shot at rim,2,82-75,,
2:40.0,,,82-75,,B. Lopez misses 3-pt shot from 25 ft
2:39.0,,,82-75,,Offensive rebound by R. Foye
2:36.0,,,82-75,,Turnover by R. Foye (bad pass; steal by T. Ross)
2:32.0,J. Valanciunas makes 2-pt shot at rim (assist by T. Ross),2,84-75,,
2:07.0,,,84-77,2,C. LeVert makes 2-pt shot from 2 ft
2:05.0,Toronto full timeout,,84-77,,
2:05.0,N. Powell enters the game for C. Joseph,,84-77,,
2:05.0,F. VanVleet enters the game for J. Valanciunas,,84-77,,
2:05.0,,,84-77,,J. Hamilton enters the game for B. Lopez
1:50.0,T. Ross makes 3-pt shot from 25 ft (assist by D. DeRozan),3,87-77,,
1:35.0,,,87-79,2,C. LeVert makes 2-pt shot from 2 ft
1:16.0,F. VanVleet makes 3-pt shot from 25 ft (assist by T. Ross),3,90-79,,
0:58.0,,,90-79,,R. Hollis-Jefferson misses 2-pt shot from 11 ft
0:57.0,Defensive rebound by D. DeRozan,,90-79,,
0:51.0,Turnover by N. Powell (bad pass),,90-79,,
0:36.0,,,90-82,3,C. LeVert makes 3-pt shot from 24 ft (assist by J. Hamilton)
0:29.0,D. DeRozan makes 2-pt shot from 9 ft,2,92-82,,
0:06.0,,,92-85,3,C. LeVert makes 3-pt shot from 24 ft
0:03.0,Turnover by D. DeRozan (lost ball; steal by R. Foye),,92-85,,
0:01.0,,,92-85,,R. Foye misses 3-pt shot from 49 ft
0:00.0,,,92-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,F. VanVleet makes 2-pt shot from 2 ft,2,94-85,,
11:32.0,,,94-85,,Turnover by R. Foye (lost ball; steal by F. VanVleet)
11:19.0,P. Siakam misses 2-pt shot from 3 ft,,94-85,,
11:18.0,,,94-85,,Defensive rebound by J. Hamilton
11:10.0,,,94-85,,S. Kilpatrick misses 2-pt shot from 6 ft
11:09.0,Defensive rebound by N. Powell,,94-85,,
11:05.0,F. VanVleet makes 2-pt shot from 2 ft (assist by N. Powell),2,96-85,,
10:52.0,,,96-85,,Turnover by J. Hamilton (bad pass; steal by D. Carroll)
10:45.0,D. Carroll misses 2-pt shot from 21 ft,,96-85,,
10:42.0,,,96-85,,Defensive rebound by J. Hamilton
10:34.0,,,96-85,,Turnover by R. Hollis-Jefferson (lost ball; steal by D. Carroll)
10:19.0,F. VanVleet misses 3-pt shot from 25 ft,,96-85,,
10:18.0,,,96-85,,Defensive rebound by R. Hollis-Jefferson
10:13.0,Personal foul by D. Carroll (drawn by J. Hamilton),,96-85,,
10:13.0,,,96-85,,B. Lopez enters the game for J. Hamilton
10:13.0,J. Valanciunas enters the game for P. Siakam,,96-85,,
10:07.0,,,96-85,,C. LeVert misses 2-pt shot from 8 ft
10:06.0,Defensive rebound by J. Valanciunas,,96-85,,
9:57.0,T. Ross misses 3-pt shot from 24 ft,,96-85,,
9:56.0,,,96-85,,Defensive rebound by R. Hollis-Jefferson
9:41.0,Shooting block foul by F. VanVleet (drawn by S. Kilpatrick),,96-85,,
9:41.0,,,96-86,1,S. Kilpatrick makes free throw 1 of 2
9:41.0,,,96-87,1,S. Kilpatrick makes free throw 2 of 2
9:26.0,Shooting foul by B. Lopez (drawn by J. Valanciunas),,96-87,,
9:26.0,J. Valanciunas makes free throw 1 of 2,1,97-87,,
9:26.0,J. Valanciunas misses free throw 2 of 2,,97-87,,
9:25.0,,,97-87,,Defensive rebound by C. LeVert
9:18.0,,,97-87,,Shooting foul by D. Carroll (drawn by R. Hollis-Jefferson)
9:18.0,,,97-88,1,R. Hollis-Jefferson makes free throw 1 of 2
9:18.0,,,97-89,1,R. Hollis-Jefferson makes free throw 2 of 2
9:18.0,C. Joseph enters the game for D. Carroll,,97-88,,
9:01.0,C. Joseph makes 2-pt shot from 13 ft,2,99-89,,
8:40.0,,,99-91,2,B. Lopez makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson)
8:23.0,Flagrant foul type 1 by J. Valanciunas (drawn by S. Kilpatrick),,99-91,,
8:23.0,Turnover by J. Valanciunas (offensive foul),,99-91,,
8:23.0,Official timeout,,99-91,,
8:23.0,,,99-92,1,S. Kilpatrick makes flagrant free throw 1 of 2
8:23.0,,,99-93,1,S. Kilpatrick makes flagrant free throw 2 of 2
8:23.0,D. DeRozan enters the game for N. Powell,,99-91,,
8:23.0,,,99-91,,B. Bogdanovic enters the game for C. LeVert
8:13.0,,,99-93,,S. Kilpatrick misses 2-pt shot from 5 ft (block by T. Ross)
8:11.0,,,99-93,,Offensive rebound by B. Lopez
8:09.0,,,99-93,,B. Lopez misses 2-pt shot from 2 ft
8:08.0,,,99-93,,Offensive rebound by B. Lopez
8:07.0,,,99-93,,B. Lopez misses 2-pt shot from 4 ft
8:06.0,Defensive rebound by J. Valanciunas,,99-93,,
8:02.0,,,99-93,,Personal foul by S. Kilpatrick (drawn by D. DeRozan)
7:54.0,D. DeRozan makes 2-pt shot from 5 ft,2,101-93,,
7:37.0,,,101-93,,B. Bogdanovic misses 3-pt shot from 23 ft
7:36.0,Defensive rebound by J. Valanciunas,,101-93,,
7:23.0,C. Joseph makes 2-pt shot from 1 ft (assist by D. DeRozan),2,103-93,,
7:04.0,,,103-93,,B. Bogdanovic misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by F. VanVleet,,103-93,,
6:54.0,J. Valanciunas misses 2-pt shot from 1 ft (block by B. Lopez),,103-93,,
6:53.0,,,103-93,,Defensive rebound by R. Foye
6:50.0,,,103-93,,Shooting foul by F. VanVleet (drawn by R. Foye)
6:50.0,,,103-94,1,R. Foye makes free throw 1 of 2
6:50.0,,,103-94,,R. Foye misses free throw 2 of 2
6:50.0,,,103-94,,C. LeVert enters the game for B. Bogdanovic
6:50.0,J. Poeltl enters the game for J. Valanciunas,,103-94,,
6:49.0,Defensive rebound by D. DeRozan,,103-94,,
6:34.0,D. DeRozan makes 2-pt shot from 10 ft,2,105-94,,
6:22.0,,,105-94,,R. Foye misses 2-pt shot from 2 ft
6:21.0,Defensive rebound by J. Poeltl,,105-94,,
6:11.0,D. DeRozan makes 2-pt shot from 8 ft,2,107-94,,
6:10.0,,,107-94,,Brooklyn full timeout
6:10.0,,,107-94,,S. Dinwiddie enters the game for R. Foye
5:55.0,,,107-94,,B. Lopez misses 2-pt shot from 3 ft
5:54.0,Defensive rebound by T. Ross,,107-94,,
5:35.0,C. Joseph makes 2-pt shot from 2 ft,2,109-94,,
5:24.0,,,109-94,,Offensive charge foul by S. Dinwiddie
5:24.0,,,109-94,,Turnover by S. Dinwiddie (offensive foul)
5:10.0,D. DeRozan misses 2-pt shot from 18 ft,,109-94,,
5:09.0,,,109-94,,Defensive rebound by S. Kilpatrick
4:53.0,,,109-96,2,B. Lopez makes 2-pt shot from 6 ft
