time,Cleveland,pts.away,score,pts.home,Miami
6:46.0,I. Shumpert makes 2-pt shot from 14 ft,2,16-10,,
6:32.0,,,16-10,,D. Waiters misses 2-pt shot from 20 ft
6:31.0,Defensive rebound by K. Korver,,16-10,,
6:15.0,T. Thompson makes 2-pt shot from 4 ft,2,18-10,,
6:10.0,,,18-10,,Miami full timeout
6:10.0,,,18-10,,T. Johnson enters the game for L. Babbitt
6:10.0,,,18-10,,J. Johnson enters the game for D. Waiters
6:01.0,,,18-13,3,T. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic)
5:44.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Williams),3,21-13,,
5:36.0,,,21-15,2,G. Dragic makes 2-pt shot from 15 ft
5:19.0,T. Thompson makes 2-pt shot from 12 ft,2,23-15,,
5:11.0,,,23-15,,Turnover by G. Dragic (step out of bounds)
5:11.0,D. Williams enters the game for J. Jones,,23-15,,
5:00.0,K. Korver misses 2-pt shot from 19 ft,,23-15,,
4:59.0,,,23-15,,Defensive rebound by T. Johnson
4:46.0,,,23-18,3,J. Johnson makes 3-pt shot from 23 ft (assist by R. McGruder)
4:31.0,D. Williams misses 2-pt shot from 17 ft,,23-18,,
4:30.0,,,23-18,,Defensive rebound by T. Johnson
4:22.0,,,23-20,2,G. Dragic makes 2-pt shot from 10 ft
4:22.0,Cleveland full timeout,,23-20,,
4:22.0,,,23-20,,J. Richardson enters the game for R. McGruder
4:22.0,D. Liggins enters the game for D. Williams,,23-20,,
4:10.0,Shooting foul by J. Johnson (drawn by D. Williams),,23-20,,
4:10.0,D. Williams makes free throw 1 of 2,1,24-20,,
4:10.0,D. Williams misses free throw 2 of 2,,24-20,,
4:09.0,,,24-20,,Defensive rebound by H. Whiteside
3:52.0,,,24-20,,T. Johnson misses 2-pt shot from 22 ft
3:51.0,Defensive rebound by D. Williams,,24-20,,
3:46.0,Offensive foul by D. Liggins,,24-20,,
3:46.0,Turnover by D. Liggins (offensive foul),,24-20,,
3:46.0,R. Jefferson enters the game for K. Korver,,24-20,,
3:27.0,,,24-22,2,J. Johnson makes 2-pt shot from 2 ft
3:14.0,I. Shumpert makes 2-pt shot from 2 ft,2,26-22,,
3:14.0,,,26-22,,Violation by T. Johnson (def goaltending)
3:01.0,,,26-22,,G. Dragic misses 2-pt shot from 1 ft
3:00.0,,,26-22,,Offensive rebound by H. Whiteside
2:59.0,,,26-24,2,H. Whiteside makes 2-pt shot from 1 ft
2:44.0,I. Shumpert misses 2-pt shot from 19 ft,,26-24,,
2:43.0,,,26-24,,Defensive rebound by H. Whiteside
2:21.0,,,26-24,,J. Johnson misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by D. Williams,,26-24,,
2:18.0,,,26-24,,Shooting block foul by T. Johnson (drawn by D. Williams)
2:18.0,D. Williams makes free throw 1 of 2,1,27-24,,
2:18.0,D. Williams makes free throw 2 of 2,1,28-24,,
2:18.0,,,27-24,,W. Ellington enters the game for G. Dragic
2:18.0,C. Frye enters the game for T. Thompson,,27-24,,
2:18.0,,,27-24,,O. White enters the game for H. Whiteside
2:03.0,,,28-27,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson)
1:49.0,Shooting foul by W. Ellington (drawn by I. Shumpert),,28-27,,
1:49.0,I. Shumpert makes free throw 1 of 2,1,29-27,,
1:49.0,I. Shumpert makes free throw 2 of 2,1,30-27,,
1:41.0,,,30-29,2,J. Johnson makes 2-pt shot from 12 ft
1:41.0,,,30-29,,Shooting foul by R. Jefferson (drawn by J. Johnson)
1:41.0,,,30-30,1,J. Johnson makes free throw 1 of 1
1:24.0,C. Frye misses 2-pt shot from 20 ft,,30-30,,
1:23.0,,,30-30,,Defensive rebound by J. Richardson
1:04.0,,,30-32,2,J. Richardson makes 2-pt shot from 12 ft
0:50.0,R. Jefferson makes 2-pt shot from 8 ft,2,32-32,,
0:38.0,,,32-32,,J. Johnson misses 2-pt shot from 16 ft
0:36.0,,,32-32,,Offensive rebound by O. White
0:36.0,,,32-32,,O. White misses 2-pt shot from 1 ft
0:35.0,Defensive rebound by C. Frye,,32-32,,
0:32.0,Offensive charge foul by D. Liggins,,32-32,,
0:32.0,Turnover by D. Liggins (offensive foul),,32-32,,
0:12.0,,,32-35,3,W. Ellington makes 3-pt shot from 24 ft (assist by T. Johnson)
0:00.0,R. Jefferson makes 3-pt shot from 23 ft (assist by I. Shumpert),3,35-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,R. Jefferson makes 2-pt shot from 2 ft,2,37-35,,
11:24.0,,,37-35,,Turnover by J. Johnson (bad pass; steal by C. Frye)
11:15.0,Turnover by I. Shumpert (bad pass; steal by T. Johnson),,37-35,,
11:11.0,,,37-37,2,T. Johnson makes 2-pt shot at rim
10:59.0,D. Williams misses 2-pt shot from 1 ft,,37-37,,
10:58.0,,,37-37,,Defensive rebound by O. White
10:44.0,,,37-40,3,T. Johnson makes 3-pt shot from 25 ft
10:33.0,Offensive foul by C. Frye,,37-40,,
10:33.0,Turnover by C. Frye (offensive foul),,37-40,,
10:33.0,K. Korver enters the game for I. Shumpert,,37-40,,
10:16.0,,,37-40,,O. White misses 2-pt shot from 15 ft
10:15.0,,,37-40,,Offensive rebound by J. Richardson
10:03.0,,,37-40,,T. Johnson misses 2-pt shot from 1 ft
10:03.0,,,37-40,,Offensive rebound by O. White
10:03.0,,,37-40,,Shooting foul by C. Frye (drawn by O. White)
10:03.0,,,37-41,1,O. White makes free throw 1 of 2
10:03.0,,,37-42,1,O. White makes free throw 2 of 2
9:51.0,D. Liggins makes 2-pt shot from 2 ft,2,39-42,,
9:40.0,,,39-42,,Turnover by O. White (offensive foul)
9:40.0,,,39-42,,Offensive foul by O. White
9:40.0,D. Williams enters the game for C. Frye,,39-42,,
9:25.0,Shooting foul by T. Johnson (drawn by D. Williams),,39-42,,
9:25.0,D. Williams makes free throw 1 of 2,1,40-42,,
9:25.0,D. Williams makes free throw 2 of 2,1,41-42,,
9:14.0,,,41-45,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Richardson)
9:03.0,Turnover by D. Williams (bad pass; steal by J. Johnson),,41-45,,
8:58.0,Personal foul by D. Williams (drawn by O. White),,41-45,,
8:58.0,Official timeout,,41-45,,
8:58.0,,,41-45,,D. Waiters enters the game for T. Johnson
8:46.0,,,41-45,,D. Waiters misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by D. Liggins,,41-45,,
8:30.0,R. Jefferson misses 2-pt shot from 1 ft (block by J. Richardson),,41-45,,
8:29.0,,,41-45,,Defensive rebound by J. Richardson
8:23.0,,,41-45,,D. Waiters misses 3-pt shot from 23 ft
8:22.0,Defensive rebound by D. Williams,,41-45,,
8:04.0,D. Williams misses 2-pt shot from 7 ft,,41-45,,
8:02.0,,,41-45,,Defensive rebound by D. Waiters
7:55.0,,,41-47,2,J. Richardson makes 2-pt shot from 2 ft
7:38.0,R. Jefferson misses 3-pt shot from 25 ft,,41-47,,
7:37.0,,,41-47,,Defensive rebound by J. Richardson
7:31.0,,,41-47,,Turnover by J. Johnson (offensive goaltending)
7:16.0,D. Williams misses 3-pt shot from 25 ft,,41-47,,
7:15.0,Offensive rebound by D. Liggins,,41-47,,
7:04.0,D. Liggins misses 2-pt shot from 5 ft (block by J. Johnson),,41-47,,
7:03.0,Offensive rebound by D. Liggins,,41-47,,
6:50.0,D. Liggins misses 2-pt shot from 2 ft,,41-47,,
6:49.0,,,41-47,,Defensive rebound by J. Richardson
6:41.0,,,41-47,,J. Richardson misses 2-pt shot from 20 ft
6:40.0,Defensive rebound by D. Liggins,,41-47,,
6:28.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Williams),3,44-47,,
6:28.0,,,44-47,,Miami full timeout
6:28.0,I. Shumpert enters the game for D. Williams,,44-47,,
6:28.0,T. Thompson enters the game for D. Liggins,,44-47,,
6:28.0,,,44-47,,L. Babbitt enters the game for J. Johnson
6:28.0,,,44-47,,G. Dragic enters the game for J. Richardson
6:28.0,,,44-47,,T. Johnson enters the game for W. Ellington
6:28.0,,,44-47,,H. Whiteside enters the game for O. White
6:03.0,,,44-49,2,H. Whiteside makes 2-pt shot from 3 ft (assist by L. Babbitt)
5:50.0,R. Jefferson makes 2-pt shot at rim (assist by K. Korver),2,46-49,,
5:41.0,,,46-49,,G. Dragic misses 2-pt shot from 8 ft
5:40.0,,,46-49,,Offensive rebound by H. Whiteside
5:37.0,,,46-49,,H. Whiteside misses 2-pt shot from 1 ft
5:36.0,,,46-49,,Offensive rebound by H. Whiteside
5:35.0,,,46-51,2,H. Whiteside makes 2-pt shot from 1 ft
5:20.0,Turnover by T. Thompson (traveling),,46-51,,
5:02.0,,,46-54,3,L. Babbitt makes 3-pt shot from 25 ft (assist by G. Dragic)
4:42.0,D. Williams makes 2-pt shot from 14 ft (assist by T. Thompson),2,48-54,,
4:24.0,,,48-54,,G. Dragic misses 3-pt shot from 24 ft
4:23.0,,,48-54,,Offensive rebound by H. Whiteside
4:19.0,,,48-56,2,H. Whiteside makes 2-pt shot from 8 ft
3:57.0,I. Shumpert misses 2-pt shot from 1 ft,,48-56,,
3:56.0,Offensive rebound by T. Thompson,,48-56,,
3:55.0,T. Thompson misses 2-pt shot from 1 ft,,48-56,,
3:54.0,Offensive rebound by T. Thompson,,48-56,,
3:53.0,Turnover by T. Thompson (bad pass; steal by L. Babbitt),,48-56,,
3:29.0,,,48-56,,T. Johnson misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by T. Thompson,,48-56,,
3:20.0,Turnover by D. Williams (bad pass; steal by D. Waiters),,48-56,,
3:06.0,,,48-59,3,L. Babbitt makes 3-pt shot from 25 ft (assist by G. Dragic)
2:47.0,K. Korver misses 2-pt shot from 13 ft,,48-59,,
2:46.0,,,48-59,,Defensive rebound by H. Whiteside
2:35.0,,,48-59,,D. Waiters misses 3-pt shot from 24 ft
2:34.0,Defensive rebound by D. Williams,,48-59,,
2:28.0,,,48-59,,Personal foul by L. Babbitt (drawn by D. Williams)
2:28.0,Cleveland full timeout,,48-59,,
2:28.0,C. Frye enters the game for D. Williams,,48-59,,
2:28.0,D. Liggins enters the game for R. Jefferson,,48-59,,
2:28.0,,,48-59,,J. Johnson enters the game for L. Babbitt
2:20.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Liggins),3,51-59,,
1:59.0,,,51-61,2,H. Whiteside makes 2-pt shot from 12 ft
1:49.0,,,51-61,,Personal foul by D. Waiters (drawn by C. Frye)
1:42.0,K. Korver misses 2-pt shot from 16 ft,,51-61,,
1:41.0,Offensive rebound by T. Thompson,,51-61,,
1:32.0,D. Liggins misses 2-pt shot from 20 ft,,51-61,,
1:31.0,,,51-61,,Defensive rebound by H. Whiteside
1:25.0,,,51-64,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
1:11.0,K. Korver misses 3-pt shot from 24 ft,,51-64,,
1:10.0,,,51-64,,Defensive rebound by G. Dragic
1:08.0,,,51-64,,Shooting foul by K. Korver (drawn by G. Dragic)
1:08.0,,,51-65,1,G. Dragic makes free throw 1 of 2
1:08.0,,,51-65,,G. Dragic misses free throw 2 of 2
1:08.0,,,51-65,,W. Ellington enters the game for T. Johnson
1:08.0,D. Williams enters the game for C. Frye,,51-65,,
1:08.0,,,51-65,,J. Richardson enters the game for D. Waiters
1:07.0,Defensive rebound by D. Williams,,51-65,,
0:49.0,I. Shumpert misses 2-pt shot from 17 ft,,51-65,,
0:49.0,,,51-65,,Defensive rebound by W. Ellington
0:33.0,,,51-65,,J. Richardson misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by D. Liggins,,51-65,,
0:18.0,D. Williams misses 3-pt shot from 23 ft,,51-65,,
0:17.0,,,51-65,,Defensive rebound by J. Johnson
0:02.0,,,51-67,2,G. Dragic makes 2-pt shot from 9 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,I. Shumpert misses 3-pt shot from 27 ft,,51-67,,
11:36.0,Offensive rebound by Team,,51-67,,
11:36.0,Turnover by Team (shot clock),,51-67,,
11:29.0,Personal foul by J. Jones (drawn by L. Babbitt),,51-67,,
11:19.0,,,51-70,3,G. Dragic makes 3-pt shot from 25 ft
10:57.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Jones),3,54-70,,
10:46.0,Personal foul by J. Jones (drawn by R. McGruder),,54-70,,
10:37.0,,,54-72,2,D. Waiters makes 2-pt shot from 1 ft
10:24.0,J. Jones makes 2-pt shot from 12 ft,2,56-72,,
10:11.0,,,56-72,,Shooting foul by T. Thompson (drawn by H. Whiteside)
10:11.0,,,56-73,1,H. Whiteside makes free throw 1 of 2
10:11.0,,,56-74,1,H. Whiteside makes free throw 2 of 2
9:50.0,,,56-74,,Personal foul by L. Babbitt (drawn by J. Jones)
9:42.0,Turnover by J. Jones (bad pass),,56-74,,
9:30.0,,,56-77,3,D. Waiters makes 3-pt shot from 25 ft (assist by G. Dragic)
9:17.0,D. Williams makes 2-pt shot from 11 ft,2,58-77,,
9:04.0,,,58-79,2,G. Dragic makes 2-pt shot from 7 ft
8:59.0,Shooting foul by G. Dragic (drawn by D. Williams),,58-79,,
8:59.0,D. Williams makes free throw 1 of 2,1,59-79,,
8:59.0,D. Williams makes free throw 2 of 2,1,60-79,,
8:45.0,,,60-79,,L. Babbitt misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by D. Williams,,60-79,,
8:35.0,D. Williams misses 3-pt shot from 24 ft,,60-79,,
8:34.0,,,60-79,,Defensive rebound by R. McGruder
8:29.0,,,60-81,2,G. Dragic makes 2-pt shot from 1 ft
8:16.0,,,60-81,,Personal foul by L. Babbitt (drawn by J. Jones)
8:16.0,,,60-81,,J. Johnson enters the game for L. Babbitt
8:11.0,T. Thompson misses 2-pt shot from 6 ft,,60-81,,
8:10.0,,,60-81,,Defensive rebound by H. Whiteside
7:59.0,,,60-83,2,H. Whiteside makes 2-pt shot from 4 ft (assist by D. Waiters)
7:59.0,Cleveland full timeout,,60-83,,
7:59.0,C. Frye enters the game for T. Thompson,,60-83,,
7:44.0,C. Frye makes 3-pt shot from 25 ft (assist by D. Williams),3,63-83,,
7:22.0,,,63-83,,D. Waiters misses 2-pt shot from 20 ft
7:21.0,,,63-83,,Offensive rebound by J. Johnson
7:13.0,,,63-85,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
6:54.0,D. Williams misses 3-pt shot from 25 ft,,63-85,,
6:53.0,,,63-85,,Defensive rebound by H. Whiteside
6:35.0,,,63-87,2,H. Whiteside makes 2-pt shot from 7 ft
6:24.0,K. Korver misses 3-pt shot from 24 ft,,63-87,,
6:23.0,,,63-87,,Defensive rebound by J. Johnson
6:07.0,Personal foul by J. Jones (drawn by H. Whiteside),,63-87,,
5:55.0,,,63-90,3,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters)
5:41.0,C. Frye makes 2-pt shot from 20 ft (assist by D. Williams),2,65-90,,
5:25.0,,,65-93,3,D. Waiters makes 3-pt shot from 26 ft (assist by J. Johnson)
5:18.0,,,65-93,,Personal foul by R. McGruder (drawn by K. Korver)
5:05.0,K. Korver misses 3-pt shot from 24 ft,,65-93,,
5:04.0,,,65-93,,Defensive rebound by J. Johnson
4:48.0,,,65-93,,Turnover by H. Whiteside (traveling)
4:48.0,Cleveland full timeout,,65-93,,
4:48.0,D. Williams enters the game for I. Shumpert,,65-93,,
4:48.0,D. Liggins enters the game for D. Williams,,65-93,,
4:48.0,,,65-93,,O. White enters the game for J. Johnson
4:35.0,C. Frye misses 3-pt shot from 24 ft,,65-93,,
4:34.0,,,65-93,,Defensive rebound by G. Dragic
4:10.0,,,65-93,,Turnover by Team (shot clock)
4:10.0,T. Thompson enters the game for K. Korver,,65-93,,
4:10.0,R. Jefferson enters the game for J. Jones,,65-93,,
3:49.0,C. Frye makes 3-pt shot from 25 ft (assist by D. Liggins),3,68-93,,
3:49.0,,,68-93,,Miami full timeout
3:49.0,,,68-93,,T. Johnson enters the game for G. Dragic
3:26.0,,,68-95,2,O. White makes 2-pt shot from 15 ft (assist by R. McGruder)
3:13.0,Offensive foul by R. Jefferson,,68-95,,
3:13.0,Turnover by R. Jefferson (offensive foul),,68-95,,
3:13.0,,,68-95,,W. Ellington enters the game for R. McGruder
2:58.0,,,68-95,,Turnover by O. White (traveling)
2:44.0,C. Frye makes 3-pt shot from 25 ft (assist by T. Thompson),3,71-95,,
2:18.0,,,71-95,,D. Waiters misses 2-pt shot from 22 ft
2:17.0,Defensive rebound by D. Williams,,71-95,,
2:01.0,,,71-95,,Shooting block foul by T. Johnson (drawn by D. Liggins)
2:01.0,D. Liggins misses free throw 1 of 2,,71-95,,
2:01.0,Offensive rebound by Team,,71-95,,
2:01.0,D. Liggins misses free throw 2 of 2,,71-95,,
2:01.0,,,71-95,,J. Richardson enters the game for D. Waiters
2:00.0,,,71-95,,Defensive rebound by H. Whiteside
1:43.0,,,71-95,,H. Whiteside misses 2-pt shot from 6 ft
1:42.0,,,71-95,,Offensive rebound by T. Johnson
1:41.0,,,71-97,2,T. Johnson makes 2-pt shot from 1 ft
1:19.0,T. Thompson misses 2-pt shot from 7 ft (block by H. Whiteside),,71-97,,
1:18.0,,,71-97,,Defensive rebound by T. Johnson
1:11.0,Personal foul by D. Liggins (drawn by T. Johnson),,71-97,,
1:11.0,,,71-98,1,T. Johnson makes free throw 1 of 2
1:11.0,,,71-99,1,T. Johnson makes free throw 2 of 2
0:56.0,D. Liggins makes 2-pt shot from 1 ft,2,73-99,,
0:46.0,,,73-101,2,J. Richardson makes 2-pt shot from 6 ft
0:32.0,R. Jefferson makes 2-pt shot from 14 ft,2,75-101,,
0:32.0,Shooting foul by W. Ellington (drawn by R. Jefferson),,75-101,,
0:32.0,R. Jefferson misses free throw 1 of 1,,75-101,,
0:31.0,,,75-101,,Defensive rebound by Team
0:13.0,,,75-101,,H. Whiteside misses 2-pt shot from 5 ft
0:12.0,,,75-101,,Offensive rebound by O. White
0:11.0,,,75-101,,O. White misses 2-pt shot from 1 ft
0:10.0,,,75-101,,Offensive rebound by Team
0:00.0,,,75-101,,W. Ellington misses 3-pt shot from 25 ft
0:00.0,,,75-101,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,75-101,,T. Johnson misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by J. Jones,,75-101,,
11:40.0,,,75-101,,Violation by J. Richardson (def goaltending)
11:40.0,D. Williams makes 2-pt shot from 1 ft (assist by D. Liggins),2,77-101,,
11:16.0,,,77-101,,J. Richardson misses 2-pt shot from 7 ft
11:15.0,Defensive rebound by J. Jones,,77-101,,
11:07.0,T. Thompson misses 2-pt shot from 5 ft (block by W. Reed),,77-101,,
11:06.0,Offensive rebound by T. Thompson,,77-101,,
11:05.0,Shooting foul by J. Richardson (drawn by T. Thompson),,77-101,,
11:05.0,T. Thompson makes free throw 1 of 2,1,78-101,,
11:05.0,T. Thompson makes free throw 2 of 2,1,79-101,,
10:48.0,,,79-103,2,T. Johnson makes 2-pt shot from 2 ft
10:26.0,D. Williams misses 2-pt shot from 2 ft,,79-103,,
10:25.0,Offensive rebound by T. Thompson,,79-103,,
10:25.0,Shooting foul by O. White (drawn by T. Thompson),,79-103,,
10:25.0,T. Thompson misses free throw 1 of 2,,79-103,,
10:25.0,Offensive rebound by Team,,79-103,,
10:25.0,T. Thompson misses free throw 2 of 2,,79-103,,
10:24.0,,,79-103,,Defensive rebound by J. Richardson
10:09.0,Personal foul by J. Jones (drawn by O. White),,79-103,,
9:59.0,,,79-105,2,O. White makes 2-pt shot from 4 ft (assist by J. Richardson)
9:38.0,T. Thompson misses 2-pt shot from 5 ft,,79-105,,
9:37.0,,,79-105,,Defensive rebound by J. Richardson
9:18.0,,,79-105,,W. Ellington misses 2-pt shot from 18 ft
9:17.0,Defensive rebound by D. Williams,,79-105,,
9:11.0,Turnover by D. Williams (bad pass; steal by T. Johnson),,79-105,,
9:06.0,,,79-108,3,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson)
8:48.0,J. Jones misses 3-pt shot from 25 ft,,79-108,,
8:47.0,,,79-108,,Defensive rebound by W. Ellington
8:34.0,Personal foul by D. Williams (drawn by T. Johnson),,79-108,,
8:34.0,Official timeout,,79-108,,
8:34.0,D. Williams enters the game for T. Thompson,,79-108,,
8:34.0,C. Frye enters the game for R. Jefferson,,79-108,,
8:27.0,,,79-108,,Offensive foul by O. White
8:27.0,,,79-108,,Turnover by O. White (offensive foul)
8:17.0,C. Frye misses 3-pt shot from 25 ft,,79-108,,
8:16.0,Offensive rebound by D. Williams,,79-108,,
8:04.0,C. Frye makes 2-pt shot from 6 ft,2,81-108,,
7:46.0,,,81-108,,J. Richardson misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by C. Frye,,81-108,,
7:22.0,C. Frye makes 2-pt shot from 17 ft,2,83-108,,
7:22.0,,,83-108,,Miami full timeout
7:08.0,,,83-111,3,T. Johnson makes 3-pt shot from 24 ft (assist by W. Reed)
6:51.0,C. Frye makes 2-pt shot from 12 ft,2,85-111,,
6:51.0,Shooting foul by T. Johnson (drawn by C. Frye),,85-111,,
6:51.0,C. Frye misses free throw 1 of 1,,85-111,,
6:50.0,,,85-111,,Defensive rebound by O. White
6:30.0,,,85-111,,W. Ellington misses 3-pt shot from 25 ft
6:28.0,,,85-111,,Offensive rebound by T. Johnson
6:20.0,,,85-111,,W. Ellington misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by D. Liggins,,85-111,,
6:04.0,D. Williams misses 2-pt shot from 13 ft,,85-111,,
6:03.0,,,85-111,,Defensive rebound by W. Ellington
5:48.0,,,85-111,,W. Reed misses 2-pt shot from 3 ft
5:47.0,,,85-111,,Offensive rebound by W. Reed
5:46.0,,,85-111,,W. Reed misses 2-pt shot from 1 ft
5:45.0,Defensive rebound by C. Frye,,85-111,,
5:34.0,Turnover by D. Williams (bad pass; steal by W. Ellington),,85-111,,
5:25.0,,,85-111,,T. Johnson misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by D. Liggins,,85-111,,
5:14.0,D. Williams misses 3-pt shot from 24 ft,,85-111,,
5:13.0,,,85-111,,Defensive rebound by T. Johnson
4:53.0,,,85-113,2,W. Reed makes 2-pt shot from 2 ft (assist by J. Richardson)
4:26.0,C. Frye makes 2-pt shot from 19 ft (assist by D. Williams),2,87-113,,
4:03.0,,,87-113,,W. Reed misses 2-pt shot from 9 ft
4:02.0,Defensive rebound by Team,,87-113,,
4:02.0,,,87-113,,R. McGruder enters the game for T. Johnson
4:02.0,R. Jefferson enters the game for D. Williams,,87-113,,
3:51.0,Turnover by R. Jefferson (bad pass),,87-113,,
3:33.0,,,87-115,2,J. Richardson makes 2-pt shot from 2 ft
3:11.0,Turnover by C. Frye (traveling),,87-115,,
2:49.0,,,87-115,,W. Ellington misses 2-pt shot from 21 ft
2:48.0,,,87-115,,Offensive rebound by W. Ellington
2:45.0,,,87-115,,Turnover by W. Ellington (bad pass; steal by C. Frye)
2:39.0,D. Liggins misses 2-pt shot from 4 ft,,87-115,,
2:38.0,,,87-115,,Defensive rebound by O. White
2:18.0,,,87-118,3,R. McGruder makes 3-pt shot from 25 ft
2:17.0,Cleveland full timeout,,87-118,,
2:00.0,C. Frye makes 2-pt shot at rim (assist by J. Jones),2,89-118,,
1:41.0,,,89-118,,R. McGruder misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by D. Liggins,,89-118,,
1:31.0,Turnover by D. Williams (lost ball),,89-118,,
1:16.0,,,89-118,,W. Reed misses 2-pt shot from 3 ft (block by C. Frye)
1:15.0,,,89-118,,Offensive rebound by R. McGruder
1:14.0,,,89-120,2,R. McGruder makes 2-pt shot at rim
1:00.0,D. Williams makes 3-pt shot from 25 ft (assist by J. Jones),3,92-120,,
0:37.0,,,92-120,,J. Richardson misses 2-pt shot from 20 ft
0:36.0,Defensive rebound by C. Frye,,92-120,,
0:23.0,R. Jefferson misses 3-pt shot from 25 ft,,92-120,,
0:22.0,,,92-120,,Defensive rebound by O. White
0:00.0,End of 4th quarter,,,,End of 4th quarter
