time,Minnesota,pts.away,score,pts.home,Charlotte
6:06.0,G. Dieng misses 2-pt shot from 4 ft,,10-14,,
6:03.0,,,10-14,,Defensive rebound by F. Kaminsky
5:52.0,,,10-17,3,N. Batum makes 3-pt shot from 24 ft (assist by C. Zeller)
5:28.0,A. Wiggins misses 2-pt shot from 17 ft,,10-17,,
5:28.0,Offensive rebound by Team,,10-17,,
5:28.0,Turnover by Team (shot clock),,10-17,,
5:28.0,,,10-17,,Charlotte full timeout
5:28.0,,,10-17,,S. Hawes enters the game for F. Kaminsky
5:06.0,,,10-17,,C. Zeller misses 2-pt shot from 22 ft
5:05.0,Defensive rebound by A. Wiggins,,10-17,,
4:52.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,12-17,,
4:34.0,,,12-17,,Shooting foul by A. Wiggins (drawn by N. Batum)
4:34.0,,,12-17,,N. Batum misses free throw 1 of 2
4:34.0,,,12-17,,Offensive rebound by Team
4:34.0,,,12-17,,N. Batum misses free throw 2 of 2
4:34.0,S. Muhammad enters the game for Z. LaVine,,12-17,,
4:32.0,Defensive rebound by K. Towns,,12-17,,
4:21.0,A. Wiggins misses 2-pt shot from 1 ft,,12-17,,
4:20.0,,,12-17,,Defensive rebound by C. Zeller
4:11.0,Personal foul by S. Muhammad (drawn by S. Hawes),,12-17,,
4:11.0,,,12-17,,M. Belinelli enters the game for M. Kidd-Gilchrist
4:03.0,,,12-17,,N. Batum misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by S. Muhammad,,12-17,,
3:59.0,Turnover by R. Rubio (bad pass; steal by N. Batum),,12-17,,
3:53.0,,,12-20,3,M. Belinelli makes 3-pt shot from 26 ft (assist by N. Batum)
3:36.0,K. Towns misses 2-pt shot from 21 ft,,12-20,,
3:35.0,Offensive rebound by R. Rubio,,12-20,,
3:31.0,K. Towns misses 3-pt shot from 25 ft,,12-20,,
3:30.0,,,12-20,,Defensive rebound by K. Walker
3:26.0,,,12-20,,Turnover by M. Belinelli (bad pass; steal by A. Wiggins)
3:20.0,R. Rubio misses 2-pt shot from 1 ft (block by C. Zeller),,12-20,,
3:18.0,,,12-20,,Defensive rebound by S. Hawes
3:13.0,,,12-22,2,S. Hawes makes 2-pt shot from 1 ft (assist by N. Batum)
2:56.0,A. Wiggins misses 2-pt shot from 20 ft,,12-22,,
2:55.0,Offensive rebound by K. Towns,,12-22,,
2:53.0,Shooting foul by C. Zeller (drawn by S. Muhammad),,12-22,,
2:53.0,Minnesota full timeout,,12-22,,
2:53.0,S. Muhammad makes free throw 1 of 2,1,13-22,,
2:53.0,S. Muhammad misses free throw 2 of 2,,13-22,,
2:53.0,C. Aldrich enters the game for G. Dieng,,12-22,,
2:53.0,,,12-22,,R. Hibbert enters the game for C. Zeller
2:53.0,,,12-22,,R. Sessions enters the game for K. Walker
2:52.0,,,13-22,,Defensive rebound by S. Hawes
2:38.0,,,13-24,2,R. Hibbert makes 2-pt shot from 17 ft (assist by N. Batum)
2:24.0,Turnover by A. Wiggins (bad pass; steal by N. Batum),,13-24,,
2:09.0,,,13-24,,M. Belinelli misses 3-pt shot from 27 ft
2:08.0,Defensive rebound by R. Rubio,,13-24,,
1:56.0,S. Muhammad misses 2-pt shot from 14 ft (block by R. Hibbert),,13-24,,
1:53.0,Offensive rebound by S. Muhammad,,13-24,,
1:49.0,Turnover by R. Rubio (bad pass; steal by R. Sessions),,13-24,,
1:44.0,,,13-26,2,N. Batum makes 2-pt shot at rim (assist by R. Sessions)
1:31.0,Minnesota full timeout,,13-26,,
1:31.0,K. Dunn enters the game for R. Rubio,,13-26,,
1:27.0,Shooting foul by N. Batum (drawn by A. Wiggins),,13-26,,
1:27.0,A. Wiggins makes free throw 1 of 2,1,14-26,,
1:27.0,A. Wiggins makes free throw 2 of 2,1,15-26,,
1:12.0,,,15-26,,R. Hibbert misses 2-pt shot from 3 ft
1:12.0,,,15-26,,Offensive rebound by Team
1:12.0,N. Bjelica enters the game for K. Towns,,15-26,,
1:00.0,,,15-26,,N. Batum misses 3-pt shot from 29 ft
0:59.0,Defensive rebound by C. Aldrich,,15-26,,
0:46.0,N. Bjelica misses 2-pt shot from 19 ft,,15-26,,
0:44.0,,,15-26,,Defensive rebound by R. Hibbert
0:37.0,,,15-26,,Shooting foul by K. Dunn (drawn by R. Sessions)
0:37.0,,,15-26,,R. Sessions misses free throw 1 of 2
0:37.0,,,15-26,,Offensive rebound by Team
0:37.0,,,15-27,1,R. Sessions makes free throw 2 of 2
0:20.0,C. Aldrich makes 2-pt shot from 6 ft (assist by A. Wiggins),2,17-27,,
0:04.0,,,17-29,2,R. Sessions makes 2-pt shot from 14 ft
0:00.0,A. Wiggins makes 2-pt shot from 1 ft,2,19-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,S. Muhammad misses 2-pt shot from 20 ft,,19-29,,
11:43.0,,,19-29,,Defensive rebound by J. Lamb
11:33.0,,,19-29,,R. Hibbert misses 2-pt shot from 9 ft
11:32.0,Defensive rebound by C. Aldrich,,19-29,,
11:15.0,K. Dunn makes 2-pt shot from 18 ft,2,21-29,,
10:53.0,,,21-29,,Turnover by R. Hibbert (lost ball)
10:44.0,K. Dunn misses 2-pt shot from 2 ft (block by R. Hibbert),,21-29,,
10:44.0,Jump ball: K. Dunn vs. R. Hibbert (J. Lamb gains possession),,,,Jump ball: K. Dunn vs. R. Hibbert (J. Lamb gains possession)
10:44.0,,,21-29,,Offensive rebound by Team
10:44.0,Jump ball: K. Dunn vs. R. Hibbert,,,,Jump ball: K. Dunn vs. R. Hibbert
10:32.0,,,21-29,,J. Lamb misses 2-pt shot from 1 ft
10:30.0,,,21-29,,Offensive rebound by R. Hibbert
10:30.0,,,21-31,2,R. Hibbert makes 2-pt shot from 1 ft
10:12.0,N. Bjelica makes 2-pt shot from 3 ft,2,23-31,,
10:05.0,,,23-31,,Shooting foul by K. Dunn (drawn by R. Sessions)
10:05.0,,,23-32,1,R. Sessions makes free throw 1 of 2
10:05.0,,,23-33,1,R. Sessions makes free throw 2 of 2
9:46.0,Turnover by K. Dunn (lost ball),,23-33,,
9:34.0,,,23-35,2,M. Belinelli makes 2-pt shot from 19 ft
9:12.0,N. Bjelica makes 3-pt shot from 25 ft (assist by K. Dunn),3,26-35,,
8:54.0,,,26-35,,S. Hawes misses 2-pt shot from 2 ft
8:53.0,Defensive rebound by N. Bjelica,,26-35,,
8:45.0,K. Dunn misses 2-pt shot from 8 ft,,26-35,,
8:43.0,Offensive rebound by C. Aldrich,,26-35,,
8:31.0,N. Bjelica makes 2-pt shot from 10 ft (assist by K. Dunn),2,28-35,,
8:24.0,,,28-35,,Charlotte full timeout
8:24.0,,,28-35,,K. Walker enters the game for R. Sessions
8:11.0,,,28-38,3,J. Lamb makes 3-pt shot from 24 ft (assist by K. Walker)
8:02.0,Shooting foul by K. Walker (drawn by K. Dunn),,28-38,,
8:02.0,K. Dunn misses free throw 1 of 2,,28-38,,
8:02.0,Offensive rebound by Team,,28-38,,
8:02.0,K. Dunn makes free throw 2 of 2,1,29-38,,
8:02.0,,,28-38,,M. Kidd-Gilchrist enters the game for M. Belinelli
7:52.0,,,29-40,2,K. Walker makes 2-pt shot from 21 ft
7:33.0,Z. LaVine misses 3-pt shot from 25 ft,,29-40,,
7:32.0,Offensive rebound by K. Dunn,,29-40,,
7:26.0,S. Muhammad makes 2-pt shot from 2 ft (assist by K. Dunn),2,31-40,,
7:06.0,,,31-40,,Turnover by R. Hibbert (lost ball; steal by C. Aldrich)
6:51.0,S. Muhammad misses 3-pt shot from 25 ft,,31-40,,
6:49.0,Offensive rebound by S. Muhammad,,31-40,,
6:49.0,S. Muhammad misses 2-pt shot from 2 ft,,31-40,,
6:45.0,,,31-40,,Defensive rebound by J. Lamb
6:36.0,,,31-40,,R. Hibbert misses 2-pt shot from 3 ft (block by C. Aldrich)
6:34.0,Defensive rebound by N. Bjelica,,31-40,,
6:30.0,Z. LaVine misses 2-pt shot at rim,,31-40,,
6:28.0,,,31-40,,Defensive rebound by S. Hawes
6:16.0,,,31-40,,Shooting foul by C. Aldrich (drawn by R. Hibbert)
6:16.0,,,31-41,1,R. Hibbert makes free throw 1 of 2
6:16.0,,,31-42,1,R. Hibbert makes free throw 2 of 2
6:16.0,G. Dieng enters the game for S. Muhammad,,31-41,,
6:16.0,R. Rubio enters the game for C. Aldrich,,31-41,,
6:16.0,A. Wiggins enters the game for K. Dunn,,31-41,,
5:58.0,Z. LaVine makes 2-pt shot from 15 ft,2,33-42,,
5:48.0,,,33-42,,K. Walker misses 2-pt shot from 1 ft
5:45.0,,,33-42,,Offensive rebound by S. Hawes
5:42.0,,,33-42,,J. Lamb misses 3-pt shot from 24 ft
5:42.0,Defensive rebound by Team,,33-42,,
5:42.0,,,33-42,,Loose ball foul by K. Walker (drawn by G. Dieng)
5:42.0,Official timeout,,33-42,,
5:42.0,K. Towns enters the game for N. Bjelica,,33-42,,
5:42.0,,,33-42,,F. Kaminsky enters the game for S. Hawes
5:42.0,,,33-42,,C. Zeller enters the game for R. Hibbert
5:42.0,,,33-42,,N. Batum enters the game for J. Lamb
5:36.0,Shooting foul by K. Walker (drawn by R. Rubio),,33-42,,
5:36.0,R. Rubio makes free throw 1 of 2,1,34-42,,
5:36.0,R. Rubio misses free throw 2 of 2,,34-42,,
5:36.0,,,34-42,,R. Sessions enters the game for K. Walker
5:33.0,,,34-42,,Defensive rebound by N. Batum
5:19.0,,,34-42,,Shooting foul by A. Wiggins (drawn by M. Kidd-Gilchrist)
5:19.0,,,34-43,1,M. Kidd-Gilchrist makes free throw 1 of 2
5:19.0,,,34-44,1,M. Kidd-Gilchrist makes free throw 2 of 2
5:08.0,K. Towns misses 2-pt shot from 2 ft,,34-44,,
5:06.0,,,34-44,,Defensive rebound by M. Kidd-Gilchrist
4:58.0,,,34-44,,C. Zeller misses 2-pt shot from 1 ft
4:57.0,Defensive rebound by G. Dieng,,34-44,,
4:37.0,G. Dieng misses 2-pt shot from 2 ft,,34-44,,
4:36.0,Offensive rebound by K. Towns,,34-44,,
4:36.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Towns),,34-44,,
4:36.0,K. Towns makes free throw 1 of 2,1,35-44,,
4:36.0,K. Towns makes free throw 2 of 2,1,36-44,,
4:19.0,,,36-44,,Turnover by R. Sessions (bad pass; steal by A. Wiggins)
4:07.0,A. Wiggins misses 3-pt shot from 24 ft,,36-44,,
4:06.0,,,36-44,,Defensive rebound by N. Batum
4:04.0,,,36-44,,Shooting foul by A. Wiggins (drawn by M. Kidd-Gilchrist)
4:04.0,,,36-45,1,M. Kidd-Gilchrist makes free throw 1 of 2
4:04.0,,,36-46,1,M. Kidd-Gilchrist makes free throw 2 of 2
4:04.0,S. Muhammad enters the game for A. Wiggins,,36-45,,
3:53.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,38-46,,
3:44.0,,,38-46,,Charlotte full timeout
3:32.0,,,38-46,,F. Kaminsky misses 2-pt shot from 19 ft
3:30.0,Defensive rebound by S. Muhammad,,38-46,,
3:18.0,S. Muhammad misses 3-pt shot from 23 ft,,38-46,,
3:17.0,,,38-46,,Defensive rebound by C. Zeller
3:11.0,,,38-48,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
3:07.0,Turnover by G. Dieng (bad pass; steal by N. Batum),,38-48,,
3:00.0,,,38-48,,R. Sessions misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by K. Towns,,38-48,,
2:57.0,Shooting foul by C. Zeller (drawn by R. Rubio),,38-48,,
2:57.0,Minnesota full timeout,,38-48,,
2:57.0,R. Rubio makes free throw 1 of 2,1,39-48,,
2:57.0,R. Rubio makes free throw 2 of 2,1,40-48,,
2:57.0,,,38-48,,S. Hawes enters the game for F. Kaminsky
2:57.0,,,38-48,,R. Hibbert enters the game for C. Zeller
2:46.0,Def 3 sec tech foul by G. Dieng,,40-48,,
2:46.0,,,40-48,,N. Batum misses technical free throw
2:46.0,,,40-48,,Offensive rebound by Team
2:37.0,,,40-48,,N. Batum misses 2-pt shot from 13 ft (block by G. Dieng)
2:33.0,Defensive rebound by R. Rubio,,40-48,,
2:17.0,K. Towns makes 2-pt shot from 7 ft,2,42-48,,
2:03.0,,,42-48,,R. Hibbert misses 2-pt shot from 5 ft
2:02.0,Defensive rebound by K. Towns,,42-48,,
1:49.0,R. Rubio misses 2-pt shot from 16 ft,,42-48,,
1:48.0,,,42-48,,Defensive rebound by N. Batum
1:44.0,,,42-50,2,R. Sessions makes 2-pt shot at rim (assist by N. Batum)
1:34.0,Offensive foul by K. Towns,,42-50,,
1:34.0,Turnover by K. Towns (offensive foul),,42-50,,
1:25.0,,,42-50,,R. Sessions misses 3-pt shot from 25 ft
1:24.0,,,42-50,,Offensive rebound by N. Batum
1:12.0,,,42-50,,Turnover by N. Batum (bad pass; steal by Z. LaVine)
1:06.0,Z. LaVine makes 3-pt shot from 25 ft (assist by R. Rubio),3,45-50,,
0:50.0,,,45-50,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
0:49.0,Defensive rebound by K. Towns,,45-50,,
0:41.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,47-50,,
0:33.0,,,47-50,,Turnover by R. Sessions (bad pass)
0:15.0,R. Rubio makes 2-pt shot from 16 ft (assist by S. Muhammad),2,49-50,,
0:01.0,,,49-52,2,N. Batum makes 2-pt shot from 19 ft (assist by R. Sessions)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Z. LaVine misses 3-pt shot from 24 ft,,49-52,,
11:42.0,,,49-52,,Defensive rebound by M. Kidd-Gilchrist
11:22.0,,,49-55,3,K. Walker makes 3-pt shot from 24 ft
11:05.0,K. Towns makes 2-pt shot at rim,2,51-55,,
10:50.0,,,51-55,,N. Batum misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by K. Towns,,51-55,,
10:41.0,G. Dieng misses 2-pt shot from 1 ft,,51-55,,
10:39.0,,,51-55,,Defensive rebound by K. Walker
10:29.0,,,51-55,,N. Batum misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by G. Dieng,,51-55,,
10:23.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,53-55,,
10:02.0,,,53-55,,K. Walker misses 2-pt shot from 1 ft (block by G. Dieng)
10:01.0,Defensive rebound by K. Towns,,53-55,,
9:54.0,Offensive charge foul by K. Towns,,53-55,,
9:54.0,Turnover by K. Towns (offensive foul),,53-55,,
9:40.0,,,53-55,,F. Kaminsky misses 2-pt shot from 8 ft
9:39.0,Defensive rebound by Z. LaVine,,53-55,,
9:24.0,K. Towns misses 2-pt shot from 1 ft,,53-55,,
9:22.0,,,53-55,,Defensive rebound by F. Kaminsky
9:13.0,,,53-55,,K. Walker misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by K. Towns,,53-55,,
8:57.0,K. Towns misses 2-pt shot from 19 ft,,53-55,,
8:55.0,,,53-55,,Defensive rebound by K. Walker
8:51.0,,,53-55,,Shooting foul by G. Dieng (drawn by F. Kaminsky)
8:51.0,,,53-55,,F. Kaminsky misses free throw 1 of 2
8:51.0,,,53-55,,Offensive rebound by Team
8:51.0,,,53-56,1,F. Kaminsky makes free throw 2 of 2
8:38.0,A. Wiggins misses 3-pt shot from 23 ft,,53-56,,
8:37.0,Offensive rebound by G. Dieng,,53-56,,
8:33.0,G. Dieng misses 2-pt shot from 1 ft (block by F. Kaminsky),,53-56,,
8:31.0,,,53-56,,Defensive rebound by F. Kaminsky
8:27.0,,,53-58,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
8:27.0,,,53-58,,Shooting foul by G. Dieng (drawn by M. Kidd-Gilchrist)
8:27.0,Minnesota full timeout,,53-58,,
8:27.0,,,53-59,1,M. Kidd-Gilchrist makes free throw 1 of 1
8:07.0,Z. LaVine misses 2-pt shot from 20 ft,,53-59,,
8:06.0,,,53-59,,Defensive rebound by F. Kaminsky
7:50.0,,,53-59,,Turnover by N. Batum (bad pass; steal by K. Towns)
7:45.0,K. Towns misses 2-pt shot from 2 ft (block by N. Batum),,53-59,,
7:43.0,,,53-59,,Defensive rebound by M. Kidd-Gilchrist
7:39.0,,,53-62,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
7:19.0,G. Dieng misses 2-pt shot from 2 ft,,53-62,,
7:18.0,,,53-62,,Defensive rebound by F. Kaminsky
7:10.0,,,53-64,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
6:54.0,C. Aldrich enters the game for G. Dieng,,53-64,,
6:53.0,Turnover by A. Wiggins (lost ball; steal by C. Zeller),,53-64,,
6:53.0,Jump ball: A. Wiggins vs. C. Zeller (F. Kaminsky gains possession),,,,Jump ball: A. Wiggins vs. C. Zeller (F. Kaminsky gains possession)
6:42.0,,,53-66,2,K. Walker makes 2-pt shot from 1 ft
6:25.0,C. Aldrich makes 2-pt shot at rim (assist by A. Wiggins),2,55-66,,
6:15.0,,,55-66,,Shooting foul by R. Rubio (drawn by K. Walker)
6:15.0,,,55-67,1,K. Walker makes free throw 1 of 2
6:15.0,,,55-68,1,K. Walker makes free throw 2 of 2
6:04.0,K. Towns misses 3-pt shot from 25 ft,,55-68,,
6:02.0,Offensive rebound by C. Aldrich,,55-68,,
5:52.0,K. Towns makes 2-pt shot at rim (assist by A. Wiggins),2,57-68,,
5:38.0,,,57-70,2,K. Walker makes 2-pt shot from 20 ft
5:25.0,K. Towns misses 2-pt shot at rim,,57-70,,
5:22.0,,,57-70,,Defensive rebound by C. Zeller
5:13.0,,,57-70,,N. Batum misses 2-pt shot from 17 ft
5:11.0,,,57-70,,Offensive rebound by C. Zeller
5:07.0,,,57-70,,F. Kaminsky misses 3-pt shot from 25 ft
5:04.0,,,57-70,,Offensive rebound by C. Zeller
4:55.0,,,57-72,2,K. Walker makes 2-pt shot from 1 ft
4:55.0,Minnesota full timeout,,57-72,,
4:55.0,N. Bjelica enters the game for K. Towns,,57-72,,
4:55.0,S. Muhammad enters the game for Z. LaVine,,57-72,,
4:55.0,,,57-72,,M. Belinelli enters the game for M. Kidd-Gilchrist
4:43.0,A. Wiggins makes 2-pt shot from 20 ft (assist by C. Aldrich),2,59-72,,
4:19.0,,,59-74,2,F. Kaminsky makes 2-pt shot from 7 ft (assist by N. Batum)
4:04.0,A. Wiggins misses 3-pt shot from 24 ft,,59-74,,
4:04.0,,,59-74,,Defensive rebound by Team
3:53.0,,,59-74,,C. Zeller misses 2-pt shot from 1 ft (block by C. Aldrich)
3:51.0,Defensive rebound by R. Rubio,,59-74,,
3:48.0,S. Muhammad makes 2-pt shot from 1 ft (assist by R. Rubio),2,61-74,,
3:37.0,,,61-74,,Turnover by K. Walker (lost ball)
3:35.0,,,61-74,,R. Sessions enters the game for C. Zeller
3:35.0,,,61-74,,R. Hibbert enters the game for K. Walker
3:24.0,R. Rubio misses 2-pt shot from 10 ft,,61-74,,
3:23.0,,,61-74,,Defensive rebound by N. Batum
3:11.0,,,61-76,2,M. Belinelli makes 2-pt shot from 20 ft (assist by F. Kaminsky)
2:55.0,S. Muhammad makes 2-pt shot from 3 ft (assist by N. Bjelica),2,63-76,,
2:55.0,Shooting foul by R. Hibbert (drawn by S. Muhammad),,63-76,,
2:55.0,,,63-76,,Charlotte full timeout
2:55.0,S. Muhammad makes free throw 1 of 1,1,64-76,,
2:55.0,K. Dunn enters the game for R. Rubio,,63-76,,
2:55.0,,,63-76,,S. Hawes enters the game for F. Kaminsky
2:38.0,,,64-79,3,S. Hawes makes 3-pt shot from 23 ft (assist by N. Batum)
2:21.0,N. Bjelica makes 3-pt shot from 28 ft (assist by A. Wiggins),3,67-79,,
2:02.0,,,67-79,,Turnover by N. Batum (bad pass; steal by A. Wiggins)
2:01.0,,,67-79,,Personal foul by R. Sessions (drawn by K. Dunn)
1:55.0,S. Muhammad makes 2-pt shot from 1 ft (assist by N. Bjelica),2,69-79,,
1:38.0,,,69-79,,N. Batum misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by C. Aldrich,,69-79,,
1:23.0,A. Wiggins misses 2-pt shot from 8 ft,,69-79,,
1:21.0,,,69-79,,Defensive rebound by S. Hawes
1:09.0,,,69-79,,S. Hawes misses 2-pt shot from 13 ft
1:08.0,Defensive rebound by K. Dunn,,69-79,,
1:04.0,C. Aldrich misses 2-pt shot from 2 ft,,69-79,,
1:04.0,,,69-79,,Defensive rebound by Team
0:45.0,,,69-79,,R. Sessions misses 2-pt shot from 14 ft
0:43.0,,,69-79,,Offensive rebound by R. Hibbert
0:43.0,,,69-79,,R. Hibbert misses 2-pt shot from 1 ft
0:40.0,,,69-79,,Offensive rebound by N. Batum
0:36.0,,,69-82,3,M. Belinelli makes 3-pt shot from 24 ft (assist by N. Batum)
0:33.0,Shooting foul by S. Hawes (drawn by A. Wiggins),,69-82,,
0:33.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Dunn),2,71-82,,
0:33.0,A. Wiggins makes free throw 1 of 1,1,72-82,,
0:11.0,,,72-82,,Shooting foul by N. Bjelica (drawn by R. Sessions)
0:11.0,,,72-83,1,R. Sessions makes free throw 1 of 2
0:11.0,,,72-84,1,R. Sessions makes free throw 2 of 2
0:04.0,A. Wiggins makes 2-pt shot from 13 ft,2,74-84,,
0:00.0,,,74-84,,N. Batum misses 3-pt shot from 46 ft
0:00.0,,,74-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,74-84,,S. Hawes misses 2-pt shot from 6 ft
11:39.0,Defensive rebound by C. Aldrich,,74-84,,
11:20.0,Z. LaVine makes 3-pt shot from 24 ft (assist by K. Dunn),3,77-84,,
11:05.0,,,77-84,,R. Hibbert misses 2-pt shot from 2 ft (block by K. Dunn)
11:02.0,Jump ball: K. Dunn vs. R. Hibbert (K. Walker gains possession),,,,Jump ball: K. Dunn vs. R. Hibbert (K. Walker gains possession)
11:02.0,,,77-84,,Offensive rebound by Team
10:48.0,,,77-84,,J. Lamb misses 2-pt shot from 22 ft
10:46.0,Defensive rebound by S. Muhammad,,77-84,,
10:37.0,K. Dunn makes 2-pt shot from 18 ft,2,79-84,,
10:20.0,,,79-84,,M. Belinelli misses 3-pt shot from 26 ft
10:18.0,Defensive rebound by C. Aldrich,,79-84,,
10:01.0,S. Muhammad misses 2-pt shot from 6 ft,,79-84,,
9:58.0,,,79-84,,Defensive rebound by J. Lamb
9:43.0,,,79-84,,S. Hawes misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by S. Muhammad,,79-84,,
9:27.0,Z. LaVine makes 2-pt shot from 2 ft,2,81-84,,
9:27.0,,,81-84,,Charlotte full timeout
9:27.0,,,81-84,,C. Zeller enters the game for R. Hibbert
9:08.0,,,81-84,,M. Belinelli misses 3-pt shot from 28 ft
9:08.0,Defensive rebound by Team,,81-84,,
8:52.0,C. Aldrich misses 2-pt shot from 1 ft,,81-84,,
8:51.0,,,81-84,,Defensive rebound by S. Hawes
8:35.0,,,81-84,,Turnover by J. Lamb (lost ball; steal by K. Dunn)
8:18.0,K. Dunn makes 3-pt shot from 25 ft (assist by N. Bjelica),3,84-84,,
8:03.0,,,84-84,,K. Walker misses 3-pt shot from 28 ft
8:02.0,,,84-84,,Offensive rebound by Team
8:02.0,,,84-84,,F. Kaminsky enters the game for S. Hawes
7:52.0,,,84-84,,M. Belinelli misses 3-pt shot from 24 ft
7:49.0,,,84-84,,Offensive rebound by F. Kaminsky
7:47.0,,,84-87,3,J. Lamb makes 3-pt shot from 25 ft (assist by F. Kaminsky)
7:47.0,Minnesota full timeout,,84-87,,
