time,Milwaukee,pts.away,score,pts.home,New York
1:37.0,,,23-22,3,B. Jennings makes 3-pt shot from 25 ft (assist by K. O'Quinn)
1:24.0,,,23-22,,Personal foul by B. Jennings (drawn by M. Brogdon)
1:24.0,M. Brogdon makes free throw 1 of 2,1,24-22,,
1:24.0,M. Brogdon makes free throw 2 of 2,1,25-22,,
1:05.0,,,25-22,,C. Lee misses 2-pt shot from 6 ft
1:05.0,Defensive rebound by G. Monroe,,25-22,,
1:00.0,J. Terry misses 3-pt shot from 26 ft,,25-22,,
0:59.0,Offensive rebound by M. Teletovic,,25-22,,
0:49.0,Turnover by M. Teletovic (bad pass; steal by L. Thomas),,25-22,,
0:42.0,,,25-22,,B. Jennings misses 3-pt shot from 25 ft
0:41.0,,,25-22,,Offensive rebound by M. Kuzminskas
0:30.0,,,25-25,3,C. Lee makes 3-pt shot from 22 ft (assist by L. Thomas)
0:12.0,G. Monroe makes 2-pt shot at rim (assist by M. Brogdon),2,27-25,,
0:05.0,Personal take foul by M. Brogdon (drawn by B. Jennings),,27-25,,
0:01.0,,,27-25,,B. Jennings misses 2-pt shot from 18 ft
0:00.0,,,27-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,M. Teletovic misses 3-pt shot from 27 ft,,27-25,,
11:36.0,,,27-25,,Defensive rebound by J. Noah
11:12.0,,,27-27,2,M. Kuzminskas makes 2-pt shot from 6 ft
10:56.0,M. Teletovic misses 2-pt shot at rim,,27-27,,
10:55.0,Offensive rebound by G. Monroe,,27-27,,
10:54.0,Shooting foul by L. Thomas (drawn by G. Monroe),,27-27,,
10:54.0,G. Monroe misses free throw 1 of 2,,27-27,,
10:54.0,Offensive rebound by Team,,27-27,,
10:54.0,G. Monroe makes free throw 2 of 2,1,28-27,,
10:40.0,,,28-29,2,J. Holiday makes 2-pt shot from 23 ft (assist by L. Thomas)
10:16.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by G. Monroe),2,30-29,,
10:03.0,,,30-29,,Turnover by B. Jennings (bad pass; steal by G. Monroe)
10:01.0,,,30-29,,Personal foul by M. Kuzminskas (drawn by G. Monroe)
9:48.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,30-29,,
9:47.0,Offensive rebound by G. Monroe,,30-29,,
9:46.0,Shooting foul by J. Holiday (drawn by G. Monroe),,30-29,,
9:46.0,G. Monroe misses free throw 1 of 2,,30-29,,
9:46.0,Offensive rebound by Team,,30-29,,
9:46.0,G. Monroe makes free throw 2 of 2,1,31-29,,
9:27.0,,,31-31,2,J. Holiday makes 2-pt shot from 1 ft (assist by M. Kuzminskas)
9:18.0,G. Antetokounmpo makes 3-pt shot from 25 ft,3,34-31,,
9:02.0,,,34-31,,M. Kuzminskas misses 3-pt shot from 24 ft
9:01.0,,,34-31,,Offensive rebound by J. Holiday
8:56.0,,,34-31,,J. Holiday misses 3-pt shot from 24 ft
8:55.0,,,34-31,,Offensive rebound by M. Kuzminskas
8:54.0,,,34-31,,Shooting foul by M. Beasley (drawn by M. Kuzminskas)
8:54.0,Official timeout,,34-31,,
8:54.0,,,34-32,1,M. Kuzminskas makes free throw 1 of 2
8:54.0,,,34-32,,M. Kuzminskas misses free throw 2 of 2
8:54.0,J. Parker enters the game for M. Teletovic,,34-31,,
8:52.0,Defensive rebound by G. Antetokounmpo,,34-32,,
8:34.0,M. Beasley makes 2-pt shot from 3 ft,2,36-32,,
8:22.0,,,36-35,3,M. Kuzminskas makes 3-pt shot from 24 ft (assist by B. Jennings)
8:01.0,Shooting foul by M. Kuzminskas (drawn by M. Beasley),,36-35,,
8:01.0,M. Beasley makes free throw 1 of 2,1,37-35,,
8:01.0,M. Beasley makes free throw 2 of 2,1,38-35,,
7:49.0,,,38-38,3,J. Holiday makes 3-pt shot from 25 ft (assist by B. Jennings)
7:34.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,38-38,,
7:33.0,,,38-38,,Defensive rebound by J. Noah
7:23.0,,,38-38,,M. Kuzminskas misses 3-pt shot from 24 ft
7:22.0,,,38-38,,Offensive rebound by J. Noah
7:19.0,,,38-40,2,M. Kuzminskas makes 2-pt shot at rim (assist by B. Jennings)
7:19.0,Milwaukee full timeout,,38-40,,
7:19.0,,,38-40,,C. Anthony enters the game for M. Kuzminskas
7:19.0,M. Plumlee enters the game for G. Monroe,,38-40,,
7:00.0,M. Plumlee misses 2-pt shot from 2 ft,,38-40,,
6:59.0,,,38-40,,Defensive rebound by L. Thomas
6:40.0,,,38-40,,B. Jennings misses 2-pt shot at rim
6:39.0,,,38-40,,Offensive rebound by J. Noah
6:39.0,,,38-40,,J. Noah misses 2-pt shot from 1 ft
6:38.0,Defensive rebound by J. Parker,,38-40,,
6:28.0,J. Parker makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,41-40,,
6:13.0,,,41-40,,C. Anthony misses 2-pt shot from 20 ft
6:13.0,Defensive rebound by M. Plumlee,,41-40,,
6:01.0,J. Terry misses 3-pt shot from 25 ft,,41-40,,
6:01.0,,,41-40,,Defensive rebound by J. Holiday
5:53.0,,,41-40,,J. Holiday misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by J. Terry,,41-40,,
5:47.0,Turnover by M. Beasley (traveling),,41-40,,
5:47.0,,,41-40,,D. Rose enters the game for B. Jennings
5:47.0,,,41-40,,M. Kuzminskas enters the game for L. Thomas
5:47.0,T. Snell enters the game for J. Terry,,41-40,,
5:37.0,Personal foul by M. Beasley (drawn by C. Anthony),,41-40,,
5:25.0,,,41-40,,C. Anthony misses 2-pt shot from 3 ft (block by M. Beasley)
5:24.0,Defensive rebound by G. Antetokounmpo,,41-40,,
5:19.0,M. Beasley misses 2-pt shot from 1 ft (block by M. Kuzminskas),,41-40,,
5:18.0,,,41-40,,Defensive rebound by J. Holiday
5:18.0,,,41-40,,Turnover by J. Holiday (bad pass)
5:12.0,Turnover by M. Plumlee (bad pass; steal by D. Rose),,41-40,,
5:06.0,,,41-40,,Turnover by J. Holiday (bad pass)
4:56.0,M. Beasley makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,44-40,,
4:43.0,,,44-43,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Holiday)
4:23.0,M. Plumlee misses 2-pt shot from 2 ft,,44-43,,
4:22.0,,,44-43,,Defensive rebound by C. Anthony
4:10.0,,,44-43,,J. Holiday misses 2-pt shot from 12 ft
4:09.0,Defensive rebound by G. Antetokounmpo,,44-43,,
4:02.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,46-43,,
3:45.0,,,46-43,,Shooting foul by M. Beasley (drawn by C. Anthony)
3:45.0,,,46-44,1,C. Anthony makes free throw 1 of 2
3:45.0,,,46-45,1,C. Anthony makes free throw 2 of 2
3:45.0,J. Henson enters the game for M. Beasley,,46-44,,
3:45.0,M. Brogdon enters the game for M. Plumlee,,46-44,,
3:45.0,,,46-44,,W. Hernangomez enters the game for J. Noah
3:45.0,,,46-44,,L. Thomas enters the game for M. Kuzminskas
3:45.0,,,46-44,,C. Lee enters the game for J. Holiday
3:29.0,Turnover by G. Antetokounmpo (traveling),,46-45,,
3:03.0,,,46-45,,L. Thomas misses 2-pt shot from 19 ft
3:02.0,Defensive rebound by M. Brogdon,,46-45,,
2:55.0,T. Snell misses 3-pt shot from 25 ft,,46-45,,
2:54.0,Offensive rebound by G. Antetokounmpo,,46-45,,
2:49.0,T. Snell misses 3-pt shot from 26 ft,,46-45,,
2:48.0,,,46-45,,Defensive rebound by D. Rose
2:41.0,,,46-47,2,D. Rose makes 2-pt shot from 1 ft
2:27.0,J. Parker makes 2-pt shot from 4 ft,2,48-47,,
2:23.0,,,48-47,,New York full timeout
2:09.0,,,48-47,,W. Hernangomez misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
2:08.0,Defensive rebound by T. Snell,,48-47,,
1:45.0,M. Brogdon misses 2-pt shot from 1 ft,,48-47,,
1:44.0,,,48-47,,Defensive rebound by W. Hernangomez
1:33.0,,,48-47,,Shooting foul by J. Henson (drawn by C. Anthony)
1:33.0,,,48-48,1,C. Anthony makes free throw 1 of 2
1:33.0,,,48-48,,C. Anthony misses free throw 2 of 2
1:33.0,G. Monroe enters the game for J. Henson,,48-48,,
1:32.0,Defensive rebound by G. Antetokounmpo,,48-48,,
1:15.0,G. Monroe makes 2-pt shot at rim,2,50-48,,
1:02.0,,,50-48,,Shooting foul by T. Snell (drawn by C. Anthony)
1:02.0,,,50-49,1,C. Anthony makes free throw 1 of 2
1:02.0,,,50-50,1,C. Anthony makes free throw 2 of 2
1:02.0,,,50-49,,J. Noah enters the game for W. Hernangomez
0:46.0,,,50-50,,Personal foul by C. Anthony (drawn by G. Monroe)
0:46.0,G. Monroe misses free throw 1 of 2,,50-50,,
0:46.0,Offensive rebound by Team,,50-50,,
0:46.0,G. Monroe misses free throw 2 of 2,,50-50,,
0:45.0,Offensive rebound by Team,,50-50,,
0:39.0,M. Brogdon makes 2-pt shot from 2 ft,2,52-50,,
0:26.0,,,52-52,2,D. Rose makes 2-pt shot at rim
0:04.0,M. Brogdon misses 2-pt shot from 6 ft,,52-52,,
0:03.0,,,52-52,,Defensive rebound by C. Anthony
0:01.0,,,52-52,,C. Anthony misses 3-pt shot from 38 ft
0:00.0,,,52-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by J. Parker (bad pass; steal by C. Anthony),,52-52,,
11:44.0,,,52-52,,D. Rose misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
11:41.0,,,52-52,,Offensive rebound by J. Noah
11:41.0,,,52-54,2,J. Noah makes 2-pt shot from 2 ft
11:26.0,Turnover by T. Snell (bad pass; steal by J. Noah),,52-54,,
11:13.0,,,52-56,2,C. Anthony makes 2-pt shot from 21 ft
10:52.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,52-56,,
10:51.0,,,52-56,,Defensive rebound by J. Noah
10:31.0,,,52-56,,C. Anthony misses 3-pt shot from 25 ft
10:28.0,,,52-56,,Offensive rebound by Team
10:24.0,,,52-56,,D. Rose misses 2-pt shot from 20 ft
10:23.0,Defensive rebound by G. Antetokounmpo,,52-56,,
10:19.0,Shooting foul by J. Noah (drawn by J. Parker),,52-56,,
10:19.0,J. Parker misses free throw 1 of 2,,52-56,,
10:19.0,Offensive rebound by Team,,52-56,,
10:19.0,J. Parker makes free throw 2 of 2,1,53-56,,
10:03.0,,,53-56,,C. Anthony misses 2-pt shot from 16 ft
10:02.0,Defensive rebound by T. Snell,,53-56,,
9:51.0,J. Parker misses 3-pt shot from 25 ft,,53-56,,
9:50.0,,,53-56,,Defensive rebound by J. Noah
9:41.0,Personal foul by G. Antetokounmpo (drawn by C. Anthony),,53-56,,
9:35.0,,,53-58,2,C. Anthony makes 2-pt shot from 1 ft (assist by J. Noah)
9:11.0,M. Brogdon misses 3-pt shot from 25 ft,,53-58,,
9:10.0,,,53-58,,Defensive rebound by J. Noah
9:02.0,,,53-58,,D. Rose misses 2-pt shot from 2 ft
9:02.0,,,53-58,,Offensive rebound by J. Noah
9:02.0,,,53-60,2,J. Noah makes 2-pt shot from 2 ft
9:02.0,Milwaukee full timeout,,53-60,,
8:45.0,M. Brogdon misses 3-pt shot from 24 ft,,53-60,,
8:44.0,,,53-60,,Defensive rebound by L. Thomas
8:22.0,Violation by G. Antetokounmpo (def goaltending),,53-60,,
8:22.0,,,53-62,2,L. Thomas makes 2-pt shot from 3 ft
8:06.0,G. Antetokounmpo makes 2-pt shot from 7 ft,2,55-62,,
7:53.0,,,55-64,2,C. Anthony makes 2-pt shot at rim (assist by D. Rose)
7:32.0,J. Parker misses 3-pt shot from 25 ft,,55-64,,
7:31.0,,,55-64,,Defensive rebound by J. Noah
7:24.0,,,55-64,,C. Anthony misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by M. Brogdon,,55-64,,
7:19.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,57-64,,
6:59.0,,,57-66,2,J. Noah makes 2-pt shot from 2 ft
6:48.0,T. Snell misses 3-pt shot from 23 ft,,57-66,,
6:47.0,,,57-66,,Defensive rebound by C. Anthony
6:23.0,,,57-66,,C. Anthony misses 2-pt shot from 10 ft
6:22.0,Defensive rebound by G. Antetokounmpo,,57-66,,
6:09.0,T. Snell misses 3-pt shot from 25 ft,,57-66,,
6:08.0,,,57-66,,Defensive rebound by D. Rose
5:57.0,,,57-68,2,D. Rose makes 2-pt shot from 18 ft (assist by C. Lee)
5:57.0,Milwaukee full timeout,,57-68,,
5:57.0,G. Monroe enters the game for J. Parker,,57-68,,
5:57.0,J. Terry enters the game for J. Henson,,57-68,,
5:57.0,M. Teletovic enters the game for T. Snell,,57-68,,
5:46.0,M. Teletovic misses 3-pt shot from 25 ft,,57-68,,
5:45.0,Offensive rebound by J. Terry,,57-68,,
5:40.0,Turnover by G. Antetokounmpo (bad pass; steal by L. Thomas),,57-68,,
5:37.0,Personal foul by J. Terry (drawn by C. Anthony),,57-68,,
5:27.0,,,57-70,2,C. Anthony makes 2-pt shot from 17 ft (assist by D. Rose)
5:06.0,G. Monroe makes 2-pt shot from 14 ft,2,59-70,,
4:52.0,,,59-70,,Turnover by D. Rose (bad pass; steal by G. Monroe)
4:48.0,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Monroe),2,61-70,,
4:30.0,,,61-73,3,C. Lee makes 3-pt shot from 23 ft (assist by D. Rose)
4:09.0,,,61-73,,Personal foul by J. Noah (drawn by G. Antetokounmpo)
4:09.0,,,61-73,,M. Kuzminskas enters the game for L. Thomas
4:09.0,,,61-73,,K. O'Quinn enters the game for J. Noah
4:02.0,G. Monroe misses 2-pt shot from 1 ft,,61-73,,
4:01.0,,,61-73,,Defensive rebound by C. Anthony
3:56.0,,,61-75,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by C. Anthony)
3:37.0,Turnover by G. Monroe (3 sec),,61-75,,
3:21.0,,,61-77,2,C. Lee makes 2-pt shot from 18 ft (assist by D. Rose)
3:12.0,M. Teletovic makes 3-pt shot from 25 ft (assist by M. Brogdon),3,64-77,,
2:58.0,Personal foul by G. Antetokounmpo (drawn by C. Anthony),,64-77,,
2:58.0,,,64-77,,B. Jennings enters the game for D. Rose
2:44.0,,,64-77,,K. O'Quinn misses 2-pt shot from 15 ft
2:43.0,Defensive rebound by G. Antetokounmpo,,64-77,,
2:30.0,Turnover by G. Monroe (lost ball; steal by C. Lee),,64-77,,
2:24.0,,,64-79,2,M. Kuzminskas makes 2-pt shot from 1 ft (assist by B. Jennings)
2:01.0,J. Terry makes 2-pt shot from 19 ft,2,66-79,,
1:41.0,,,66-81,2,M. Kuzminskas makes 2-pt shot from 3 ft (assist by B. Jennings)
1:19.0,G. Antetokounmpo makes 2-pt shot from 8 ft,2,68-81,,
1:19.0,,,68-81,,New York full timeout
1:19.0,M. Beasley enters the game for M. Brogdon,,68-81,,
1:03.0,,,68-81,,Turnover by C. Anthony (bad pass; steal by J. Terry)
0:58.0,M. Teletovic makes 2-pt shot from 2 ft,2,70-81,,
0:35.0,,,70-84,3,C. Anthony makes 3-pt shot from 25 ft
0:26.0,M. Teletovic makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,73-84,,
0:05.0,,,73-87,3,C. Anthony makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,73-87,,L. Thomas misses 2-pt shot from 1 ft (block by G. Monroe)
11:41.0,Defensive rebound by J. Parker,,73-87,,
11:35.0,J. Terry makes 3-pt shot from 24 ft (assist by M. Brogdon),3,76-87,,
11:25.0,Personal foul by M. Brogdon (drawn by B. Jennings),,76-87,,
11:11.0,,,76-87,,K. O'Quinn misses 2-pt shot from 2 ft
11:10.0,,,76-87,,Offensive rebound by L. Thomas
11:05.0,,,76-87,,Turnover by B. Jennings (lost ball; steal by J. Terry)
10:59.0,J. Parker makes 2-pt shot at rim (assist by M. Brogdon),2,78-87,,
10:59.0,,,78-87,,New York full timeout
10:34.0,,,78-87,,Turnover by B. Jennings (bad pass; steal by G. Monroe)
10:21.0,J. Terry makes 3-pt shot from 23 ft (assist by M. Brogdon),3,81-87,,
10:11.0,,,81-87,,C. Lee enters the game for J. Holiday
10:11.0,,,81-87,,D. Rose enters the game for M. Kuzminskas
10:01.0,,,81-89,2,L. Thomas makes 2-pt shot from 7 ft
9:42.0,G. Monroe makes 2-pt shot from 2 ft (assist by M. Brogdon),2,83-89,,
9:21.0,,,83-89,,Turnover by D. Rose (lost ball)
9:21.0,,,83-89,,J. Noah enters the game for K. O'Quinn
9:09.0,G. Monroe makes 2-pt shot from 4 ft (assist by M. Brogdon),2,85-89,,
8:52.0,,,85-89,,D. Rose misses 2-pt shot from 14 ft
8:51.0,Defensive rebound by M. Brogdon,,85-89,,
8:45.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Parker),2,87-89,,
8:28.0,,,87-89,,Turnover by D. Rose (bad pass; steal by J. Parker)
8:26.0,J. Parker misses 2-pt shot from 1 ft (block by C. Lee),,87-89,,
8:25.0,Offensive rebound by Team,,87-89,,
8:25.0,,,87-89,,C. Anthony enters the game for B. Jennings
8:25.0,,,87-89,,Violation by C. Anthony (kicked ball)
8:18.0,M. Teletovic misses 3-pt shot from 25 ft,,87-89,,
8:17.0,,,87-89,,Defensive rebound by C. Lee
8:00.0,,,87-91,2,D. Rose makes 2-pt shot from 9 ft
7:46.0,M. Brogdon makes 2-pt shot from 2 ft (assist by G. Monroe),2,89-91,,
7:26.0,,,89-91,,Shooting foul by G. Monroe (drawn by C. Anthony)
7:26.0,,,89-91,,C. Anthony misses free throw 1 of 2
7:26.0,,,89-91,,Offensive rebound by Team
7:26.0,,,89-92,1,C. Anthony makes free throw 2 of 2
7:17.0,M. Teletovic misses 3-pt shot from 25 ft,,89-92,,
7:16.0,,,89-92,,Defensive rebound by J. Noah
7:06.0,,,89-92,,C. Lee misses 3-pt shot from 23 ft
7:05.0,,,89-92,,Offensive rebound by Team
7:05.0,G. Antetokounmpo enters the game for M. Teletovic,,89-92,,
6:50.0,,,89-95,3,C. Anthony makes 3-pt shot from 24 ft (assist by C. Lee)
6:36.0,M. Brogdon misses 2-pt shot from 20 ft,,89-95,,
6:35.0,,,89-95,,Defensive rebound by C. Anthony
6:26.0,,,89-95,,Turnover by C. Anthony (bad pass; steal by G. Antetokounmpo)
6:22.0,G. Antetokounmpo makes 2-pt shot at rim,2,91-95,,
5:57.0,,,91-95,,C. Lee misses 2-pt shot from 5 ft (block by G. Antetokounmpo)
5:56.0,Defensive rebound by M. Brogdon,,91-95,,
5:54.0,Shooting foul by J. Noah (drawn by G. Antetokounmpo),,91-95,,
5:54.0,Official timeout,,91-95,,
5:54.0,G. Antetokounmpo makes free throw 1 of 2,1,92-95,,
5:54.0,G. Antetokounmpo makes free throw 2 of 2,1,93-95,,
5:39.0,,,93-98,3,L. Thomas makes 3-pt shot from 24 ft (assist by C. Anthony)
5:14.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,93-98,,
5:13.0,Offensive rebound by G. Monroe,,93-98,,
5:11.0,G. Monroe misses 2-pt shot from 2 ft (block by J. Noah),,93-98,,
5:09.0,Offensive rebound by Team,,93-98,,
5:01.0,J. Parker misses 2-pt shot from 5 ft,,93-98,,
5:00.0,,,93-98,,Defensive rebound by C. Anthony
4:43.0,,,93-98,,D. Rose misses 2-pt shot from 2 ft
4:42.0,Defensive rebound by G. Antetokounmpo,,93-98,,
4:37.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,93-98,,
4:36.0,,,93-98,,Defensive rebound by J. Noah
4:28.0,,,93-98,,J. Noah misses 2-pt shot from 1 ft
4:27.0,,,93-98,,Offensive rebound by C. Anthony
4:27.0,,,93-100,2,C. Anthony makes 2-pt shot at rim
4:11.0,M. Brogdon misses 2-pt shot from 2 ft,,93-100,,
4:10.0,Offensive rebound by M. Brogdon,,93-100,,
4:07.0,Shooting foul by J. Noah (drawn by G. Monroe),,93-100,,
4:07.0,G. Monroe makes free throw 1 of 2,1,94-100,,
4:07.0,G. Monroe misses free throw 2 of 2,,94-100,,
4:07.0,,,94-100,,K. O'Quinn enters the game for J. Noah
4:06.0,,,94-100,,Defensive rebound by C. Anthony
3:41.0,,,94-100,,D. Rose misses 2-pt shot from 2 ft
3:40.0,Defensive rebound by G. Monroe,,94-100,,
3:37.0,Shooting foul by L. Thomas (drawn by J. Parker),,94-100,,
3:37.0,J. Parker makes free throw 1 of 2,1,95-100,,
3:37.0,J. Parker makes free throw 2 of 2,1,96-100,,
3:22.0,,,96-100,,D. Rose misses 2-pt shot from 2 ft
3:21.0,,,96-100,,Offensive rebound by K. O'Quinn
3:19.0,,,96-100,,K. O'Quinn misses 2-pt shot at rim
3:18.0,,,96-100,,Offensive rebound by K. O'Quinn
3:18.0,,,96-102,2,K. O'Quinn makes 2-pt shot from 1 ft
3:00.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by G. Monroe),2,98-102,,
3:00.0,Shooting foul by C. Anthony (drawn by G. Antetokounmpo),,98-102,,
3:00.0,G. Antetokounmpo makes free throw 1 of 1,1,99-102,,
2:46.0,,,99-102,,C. Anthony misses 3-pt shot from 24 ft
