time,Denver,pts.away,score,pts.home,Toronto
5:25.0,,,17-20,2,D. Carroll makes 2-pt shot from 2 ft (assist by K. Lowry)
5:11.0,N. Jokic misses 2-pt shot from 2 ft,,17-20,,
5:11.0,,,17-20,,Defensive rebound by P. Siakam
5:02.0,,,17-20,,K. Lowry misses 2-pt shot from 19 ft
5:02.0,,,17-20,,Offensive rebound by P. Siakam
5:00.0,,,17-20,,P. Siakam misses 2-pt shot from 1 ft
4:59.0,,,17-20,,Offensive rebound by D. DeRozan
4:51.0,,,17-20,,P. Siakam misses 2-pt shot from 15 ft
4:51.0,,,17-20,,Offensive rebound by J. Valanciunas
4:43.0,,,17-23,3,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan)
4:27.0,E. Mudiay misses 2-pt shot from 4 ft,,17-23,,
4:27.0,,,17-23,,Defensive rebound by Team
4:27.0,W. Chandler enters the game for N. Jokic,,17-23,,
4:27.0,K. Faried enters the game for J. Nurkic,,17-23,,
4:11.0,,,17-25,2,D. DeRozan makes 2-pt shot from 18 ft
4:10.0,Denver full timeout,,17-25,,
4:10.0,,,17-25,,P. Patterson enters the game for P. Siakam
3:51.0,E. Mudiay misses 2-pt shot from 2 ft (block by P. Patterson),,17-25,,
3:48.0,,,17-25,,Defensive rebound by J. Valanciunas
3:44.0,,,17-27,2,K. Lowry makes 2-pt shot from 3 ft
3:31.0,W. Chandler misses 3-pt shot from 25 ft,,17-27,,
3:31.0,,,17-27,,Defensive rebound by K. Lowry
3:05.0,,,17-27,,D. Carroll misses 2-pt shot from 12 ft
3:05.0,Defensive rebound by K. Faried,,17-27,,
2:58.0,J. Nelson enters the game for E. Mudiay,,17-27,,
2:58.0,,,17-27,,C. Joseph enters the game for K. Lowry
2:49.0,Shooting foul by C. Joseph (drawn by D. Gallinari),,17-27,,
2:49.0,D. Gallinari makes free throw 1 of 2,1,18-27,,
2:49.0,D. Gallinari makes free throw 2 of 2,1,19-27,,
2:28.0,,,19-29,2,D. DeRozan makes 2-pt shot from 18 ft
2:10.0,D. Gallinari misses 2-pt shot from 16 ft,,19-29,,
2:10.0,Offensive rebound by K. Faried,,19-29,,
2:08.0,Shooting foul by J. Valanciunas (drawn by K. Faried),,19-29,,
2:08.0,K. Faried makes free throw 1 of 2,1,20-29,,
2:08.0,K. Faried makes free throw 2 of 2,1,21-29,,
2:08.0,,,20-29,,T. Ross enters the game for D. Carroll
2:08.0,,,20-29,,J. Poeltl enters the game for J. Valanciunas
1:51.0,,,21-29,,D. DeRozan misses 2-pt shot from 19 ft
1:51.0,,,21-29,,Offensive rebound by C. Joseph
1:34.0,,,21-31,2,D. DeRozan makes 2-pt shot from 6 ft
1:22.0,J. Nelson makes 3-pt shot from 26 ft,3,24-31,,
1:05.0,,,24-33,2,D. DeRozan makes 2-pt shot from 11 ft
0:56.0,K. Faried misses 2-pt shot from 2 ft,,24-33,,
0:55.0,,,24-33,,Defensive rebound by J. Poeltl
0:33.0,,,24-33,,C. Joseph misses 2-pt shot from 21 ft
0:33.0,,,24-33,,Offensive rebound by Team
0:31.0,N. Jokic enters the game for D. Gallinari,,24-33,,
0:28.0,,,24-33,,T. Ross misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by W. Chandler,,24-33,,
0:04.0,Turnover by N. Jokic (traveling),,24-33,,
0:00.0,,,24-33,,D. DeRozan misses 3-pt shot from 36 ft
0:00.0,,,24-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Nelson misses 3-pt shot from 27 ft,,24-33,,
11:40.0,,,24-33,,Defensive rebound by T. Ross
11:26.0,,,24-36,3,T. Ross makes 3-pt shot from 26 ft (assist by C. Joseph)
11:00.0,J. Murray misses 2-pt shot from 12 ft,,24-36,,
10:59.0,,,24-36,,Defensive rebound by J. Poeltl
10:48.0,,,24-36,,J. Poeltl misses 2-pt shot from 3 ft
10:48.0,Defensive rebound by J. Nelson,,24-36,,
10:38.0,,,24-36,,Personal foul by P. Patterson (drawn by N. Jokic)
10:26.0,N. Jokic misses 3-pt shot from 25 ft,,24-36,,
10:26.0,,,24-36,,Defensive rebound by J. Poeltl
10:16.0,,,24-38,2,C. Joseph makes 2-pt shot from 10 ft
10:02.0,Shooting foul by T. Ross (drawn by W. Chandler),,24-38,,
10:02.0,W. Chandler makes free throw 1 of 2,1,25-38,,
10:02.0,W. Chandler makes free throw 2 of 2,1,26-38,,
9:50.0,,,26-38,,Shooting foul by W. Chandler (drawn by T. Ross)
9:50.0,,,26-39,1,T. Ross makes free throw 1 of 2
9:50.0,,,26-40,1,T. Ross makes free throw 2 of 2
9:36.0,,,26-40,,Personal foul by T. Ross (drawn by W. Chandler)
9:28.0,W. Chandler misses 3-pt shot from 26 ft,,26-40,,
9:27.0,,,26-40,,Defensive rebound by C. Joseph
9:17.0,,,26-42,2,T. Ross makes 2-pt shot from 21 ft (assist by C. Joseph)
8:58.0,J. Murray misses 3-pt shot from 25 ft,,26-42,,
8:58.0,,,26-42,,Defensive rebound by T. Ross
8:54.0,Shooting block foul by J. Murray (drawn by K. Lowry),,26-42,,
8:54.0,Official timeout,,26-42,,
8:54.0,,,26-43,1,K. Lowry makes free throw 1 of 2
8:54.0,,,26-44,1,K. Lowry makes free throw 2 of 2
8:37.0,Shooting foul by K. Lowry (drawn by K. Faried),,26-44,,
8:37.0,K. Faried makes free throw 1 of 2,1,27-44,,
8:37.0,K. Faried makes free throw 2 of 2,1,28-44,,
8:24.0,,,28-44,,C. Joseph misses 3-pt shot from 26 ft
8:23.0,Defensive rebound by N. Jokic,,28-44,,
8:15.0,Turnover by N. Jokic (bad pass; steal by K. Lowry),,28-44,,
8:13.0,Personal foul by N. Jokic (drawn by K. Lowry),,28-44,,
8:13.0,J. Nurkic enters the game for K. Faried,,28-44,,
7:49.0,,,28-44,,K. Lowry misses 2-pt shot from 18 ft
7:49.0,Defensive rebound by J. Nurkic,,28-44,,
7:34.0,J. Nurkic misses 2-pt shot from 1 ft,,28-44,,
7:33.0,,,28-44,,Defensive rebound by P. Patterson
7:24.0,,,28-46,2,K. Lowry makes 2-pt shot from 8 ft
7:12.0,N. Jokic makes 2-pt shot from 4 ft (assist by J. Nelson),2,30-46,,
6:52.0,,,30-46,,Shooting foul by N. Jokic (drawn by P. Patterson)
6:52.0,,,30-47,1,P. Patterson makes free throw 1 of 2
6:52.0,,,30-47,,P. Patterson misses free throw 2 of 2
6:52.0,D. Gallinari enters the game for N. Jokic,,30-47,,
6:52.0,,,30-47,,D. DeRozan enters the game for C. Joseph
6:51.0,Defensive rebound by J. Nurkic,,30-47,,
6:32.0,J. Nelson misses 2-pt shot from 5 ft (block by J. Poeltl),,30-47,,
6:31.0,,,30-47,,Defensive rebound by P. Patterson
6:25.0,,,30-47,,K. Lowry misses 3-pt shot from 27 ft
6:24.0,Defensive rebound by J. Murray,,30-47,,
6:18.0,,,30-47,,Personal foul by K. Lowry (drawn by W. Chandler)
6:18.0,W. Chandler misses free throw 1 of 2,,30-47,,
6:18.0,Offensive rebound by Team,,30-47,,
6:18.0,W. Chandler makes free throw 2 of 2,1,31-47,,
6:18.0,E. Mudiay enters the game for J. Murray,,30-47,,
6:18.0,W. Barton enters the game for J. Nelson,,30-47,,
6:18.0,,,30-47,,C. Joseph enters the game for K. Lowry
6:18.0,,,30-47,,D. Carroll enters the game for T. Ross
6:17.0,,,31-47,,Toronto full timeout
6:02.0,,,31-47,,D. DeRozan misses 2-pt shot from 6 ft
6:01.0,,,31-47,,Offensive rebound by D. DeRozan
5:57.0,,,31-47,,D. DeRozan misses 2-pt shot from 1 ft (block by J. Nurkic)
5:56.0,Defensive rebound by E. Mudiay,,31-47,,
5:51.0,Shooting foul by C. Joseph (drawn by E. Mudiay),,31-47,,
5:51.0,E. Mudiay makes free throw 1 of 2,1,32-47,,
5:51.0,E. Mudiay makes free throw 2 of 2,1,33-47,,
5:26.0,,,33-50,3,D. Carroll makes 3-pt shot from 24 ft (assist by P. Patterson)
5:03.0,J. Nurkic misses 2-pt shot from 7 ft,,33-50,,
5:03.0,,,33-50,,Defensive rebound by Team
4:48.0,,,33-50,,Shooting foul by W. Chandler (drawn by D. DeRozan)
4:48.0,,,33-51,1,D. DeRozan makes free throw 1 of 2
4:48.0,,,33-52,1,D. DeRozan makes free throw 2 of 2
4:38.0,Shooting foul by J. Poeltl (drawn by E. Mudiay),,33-52,,
4:38.0,E. Mudiay misses free throw 1 of 2,,33-52,,
4:38.0,Offensive rebound by Team,,33-52,,
4:38.0,E. Mudiay makes free throw 2 of 2,1,34-52,,
4:38.0,,,33-52,,J. Valanciunas enters the game for J. Poeltl
4:38.0,,,33-52,,P. Siakam enters the game for P. Patterson
4:16.0,,,34-52,,C. Joseph misses 2-pt shot from 17 ft
4:16.0,Defensive rebound by J. Nurkic,,34-52,,
4:08.0,D. Gallinari misses 2-pt shot at rim (block by D. Carroll),,34-52,,
4:07.0,,,34-52,,Defensive rebound by J. Valanciunas
4:00.0,,,34-52,,D. Carroll misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by W. Barton,,34-52,,
3:40.0,E. Mudiay makes 2-pt shot from 1 ft,2,36-52,,
3:30.0,,,36-52,,J. Valanciunas misses 2-pt shot from 12 ft
3:28.0,Defensive rebound by W. Barton,,36-52,,
3:22.0,Shooting foul by D. Carroll (drawn by W. Barton),,36-52,,
3:22.0,W. Barton misses free throw 1 of 2,,36-52,,
3:22.0,Offensive rebound by Team,,36-52,,
3:22.0,W. Barton makes free throw 2 of 2,1,37-52,,
3:00.0,,,37-54,2,C. Joseph makes 2-pt shot from 5 ft
2:54.0,W. Barton makes 2-pt shot at rim,2,39-54,,
2:34.0,,,39-56,2,C. Joseph makes 2-pt shot from 3 ft
2:27.0,W. Barton makes 2-pt shot from 7 ft,2,41-56,,
2:27.0,Shooting foul by D. Carroll (drawn by W. Barton),,41-56,,
2:27.0,Denver full timeout,,41-56,,
2:27.0,W. Barton makes free throw 1 of 1,1,42-56,,
2:27.0,,,41-56,,N. Powell enters the game for D. Carroll
2:16.0,,,42-56,,Shooting foul by W. Chandler (drawn by D. DeRozan)
2:16.0,,,42-57,1,D. DeRozan makes free throw 1 of 2
2:16.0,,,42-58,1,D. DeRozan makes free throw 2 of 2
2:16.0,N. Jokic enters the game for W. Chandler,,42-57,,
2:03.0,E. Mudiay misses 3-pt shot from 26 ft,,42-58,,
2:02.0,,,42-58,,Defensive rebound by N. Powell
1:50.0,,,42-58,,Turnover by J. Valanciunas (traveling)
1:29.0,J. Nurkic makes 2-pt shot from 5 ft,2,44-58,,
1:14.0,,,44-60,2,D. DeRozan makes 2-pt shot from 11 ft
0:59.0,,,44-60,,Personal foul by N. Powell (drawn by D. Gallinari)
0:59.0,D. Gallinari makes free throw 1 of 2,1,45-60,,
0:59.0,D. Gallinari makes free throw 2 of 2,1,46-60,,
0:59.0,,,45-60,,J. Poeltl enters the game for J. Valanciunas
0:41.0,,,46-62,2,N. Powell makes 2-pt shot from 15 ft
0:32.0,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Barton),3,49-62,,
0:26.0,,,49-62,,C. Joseph misses 2-pt shot from 10 ft
0:26.0,Defensive rebound by E. Mudiay,,49-62,,
0:01.0,E. Mudiay misses 3-pt shot from 26 ft,,49-62,,
0:00.0,Offensive rebound by N. Jokic,,49-62,,
0:00.0,N. Jokic misses 2-pt shot at rim,,49-62,,
0:00.0,Offensive rebound by Team,,49-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Gallinari makes 2-pt shot from 4 ft,2,51-62,,
11:24.0,,,51-62,,Turnover by D. DeRozan (lost ball; steal by J. Nurkic)
11:18.0,E. Mudiay misses 2-pt shot from 2 ft,,51-62,,
11:18.0,,,51-62,,Defensive rebound by K. Lowry
11:10.0,,,51-62,,Turnover by J. Valanciunas (lost ball)
10:53.0,W. Barton makes 3-pt shot from 25 ft (assist by E. Mudiay),3,54-62,,
10:31.0,,,54-62,,Offensive charge foul by K. Lowry
10:31.0,,,54-62,,Turnover by K. Lowry (offensive foul)
10:11.0,Shooting foul by J. Valanciunas (drawn by J. Nurkic),,54-62,,
10:11.0,J. Nurkic misses free throw 1 of 2,,54-62,,
10:11.0,Offensive rebound by Team,,54-62,,
10:11.0,J. Nurkic misses free throw 2 of 2,,54-62,,
10:10.0,,,54-62,,Defensive rebound by J. Valanciunas
9:47.0,,,54-64,2,D. DeRozan makes 2-pt shot from 10 ft
9:40.0,,,54-64,,Personal block foul by P. Siakam (drawn by N. Jokic)
9:36.0,Shooting foul by P. Siakam (drawn by D. Gallinari),,54-64,,
9:36.0,D. Gallinari makes free throw 1 of 2,1,55-64,,
9:36.0,D. Gallinari makes free throw 2 of 2,1,56-64,,
9:23.0,,,56-64,,K. Lowry misses 3-pt shot from 26 ft (block by E. Mudiay)
9:21.0,Defensive rebound by E. Mudiay,,56-64,,
9:19.0,Shooting foul by D. DeRozan (drawn by W. Barton),,56-64,,
9:19.0,W. Barton makes free throw 1 of 2,1,57-64,,
9:19.0,W. Barton makes free throw 2 of 2,1,58-64,,
9:19.0,,,58-64,,Toronto full timeout
9:19.0,,,58-64,,P. Patterson enters the game for P. Siakam
9:07.0,,,58-66,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
8:48.0,E. Mudiay misses 2-pt shot from 2 ft (block by P. Patterson),,58-66,,
8:47.0,Offensive rebound by J. Nurkic,,58-66,,
8:45.0,J. Nurkic misses 2-pt shot from 1 ft (block by P. Patterson),,58-66,,
8:43.0,Offensive rebound by J. Nurkic,,58-66,,
8:42.0,J. Nurkic makes 2-pt shot at rim,2,60-66,,
8:31.0,Shooting block foul by N. Jokic (drawn by K. Lowry),,60-66,,
8:31.0,,,60-67,1,K. Lowry makes free throw 1 of 2
8:31.0,,,60-68,1,K. Lowry makes free throw 2 of 2
8:18.0,J. Nurkic makes 2-pt shot from 3 ft (assist by N. Jokic),2,62-68,,
8:03.0,,,62-68,,D. Carroll misses 3-pt shot from 27 ft
8:02.0,Defensive rebound by J. Nurkic,,62-68,,
7:50.0,Turnover by N. Jokic (lost ball; steal by K. Lowry),,62-68,,
7:42.0,,,62-70,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry)
7:28.0,N. Jokic makes 2-pt shot from 2 ft (assist by E. Mudiay),2,64-70,,
7:15.0,,,64-70,,K. Lowry misses 2-pt shot from 21 ft
7:14.0,Defensive rebound by J. Nurkic,,64-70,,
7:01.0,D. Gallinari misses 2-pt shot from 2 ft,,64-70,,
7:01.0,Offensive rebound by D. Gallinari,,64-70,,
7:01.0,D. Gallinari misses 2-pt shot from 2 ft (block by P. Patterson),,64-70,,
7:00.0,,,64-70,,Defensive rebound by Team
6:41.0,,,64-72,2,K. Lowry makes 2-pt shot from 21 ft
6:25.0,Turnover by N. Jokic (bad pass; steal by P. Patterson),,64-72,,
6:13.0,,,64-75,3,K. Lowry makes 3-pt shot from 26 ft (assist by P. Patterson)
6:12.0,Denver full timeout,,64-75,,
5:57.0,D. Gallinari misses 2-pt shot from 3 ft,,64-75,,
5:57.0,Offensive rebound by J. Nurkic,,64-75,,
5:57.0,J. Nurkic misses 2-pt shot from 1 ft,,64-75,,
5:57.0,Offensive rebound by J. Nurkic,,64-75,,
5:57.0,J. Nurkic misses 2-pt shot from 1 ft,,64-75,,
5:57.0,,,64-75,,Defensive rebound by Team
5:51.0,,,64-75,,Shooting foul by E. Mudiay (drawn by K. Lowry)
5:51.0,,,64-76,1,K. Lowry makes free throw 1 of 2
5:51.0,,,64-77,1,K. Lowry makes free throw 2 of 2
5:39.0,N. Jokic makes 2-pt shot from 8 ft (assist by E. Mudiay),2,66-77,,
5:14.0,,,66-77,,J. Valanciunas misses 2-pt shot from 17 ft
5:13.0,,,66-77,,Offensive rebound by P. Patterson
5:12.0,,,66-77,,P. Patterson misses 2-pt shot at rim
5:12.0,,,66-77,,Offensive rebound by Team
5:06.0,Personal foul by N. Jokic (drawn by J. Valanciunas),,66-77,,
5:06.0,W. Chandler enters the game for N. Jokic,,66-77,,
4:51.0,,,66-77,,D. DeRozan misses 2-pt shot from 11 ft
4:51.0,Defensive rebound by D. Gallinari,,66-77,,
4:47.0,,,66-77,,Personal foul by D. Carroll (drawn by D. Gallinari)
4:47.0,D. Gallinari makes free throw 1 of 2,1,67-77,,
4:47.0,D. Gallinari makes free throw 2 of 2,1,68-77,,
4:36.0,,,68-77,,D. DeRozan misses 2-pt shot from 11 ft
4:35.0,Defensive rebound by J. Nurkic,,68-77,,
4:24.0,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Barton),3,71-77,,
4:05.0,,,71-77,,Turnover by K. Lowry (bad pass)
3:52.0,E. Mudiay misses 2-pt shot from 5 ft,,71-77,,
3:52.0,,,71-77,,Defensive rebound by D. Carroll
3:51.0,Personal foul by J. Nurkic (drawn by D. Carroll),,71-77,,
3:27.0,,,71-77,,D. Carroll misses 3-pt shot from 24 ft
3:26.0,Defensive rebound by W. Barton,,71-77,,
3:16.0,W. Chandler makes 2-pt shot from 1 ft,2,73-77,,
3:07.0,,,73-77,,Toronto full timeout
3:07.0,,,73-77,,T. Ross enters the game for D. Carroll
3:07.0,,,73-77,,C. Joseph enters the game for K. Lowry
3:01.0,,,73-79,2,D. DeRozan makes 2-pt shot from 15 ft (assist by C. Joseph)
2:41.0,E. Mudiay makes 2-pt shot from 3 ft,2,75-79,,
2:17.0,,,75-79,,P. Patterson misses 2-pt shot from 7 ft
2:17.0,,,75-79,,Offensive rebound by P. Patterson
2:15.0,,,75-81,2,P. Patterson makes 2-pt shot from 4 ft
2:00.0,E. Mudiay makes 2-pt shot from 1 ft,2,77-81,,
1:41.0,,,77-83,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by C. Joseph)
1:22.0,J. Nurkic makes 2-pt shot from 6 ft,2,79-83,,
1:01.0,,,79-83,,D. DeRozan misses 2-pt shot from 15 ft (block by J. Nurkic)
1:00.0,Defensive rebound by W. Barton,,79-83,,
0:55.0,W. Chandler misses 2-pt shot at rim (block by P. Patterson),,79-83,,
0:53.0,,,79-83,,Defensive rebound by P. Patterson
0:50.0,,,79-85,2,D. DeRozan makes 2-pt shot from 4 ft (assist by P. Patterson)
0:50.0,,,79-85,,Shooting foul by J. Nurkic (drawn by D. DeRozan)
0:50.0,,,79-85,,D. DeRozan misses free throw 1 of 1
0:50.0,J. Nelson enters the game for J. Nurkic,,79-85,,
0:50.0,K. Faried enters the game for E. Mudiay,,79-85,,
0:50.0,,,79-85,,J. Poeltl enters the game for J. Valanciunas
0:49.0,Defensive rebound by W. Chandler,,79-85,,
0:33.0,K. Faried makes 2-pt shot from 5 ft,2,81-85,,
0:30.0,Personal foul by J. Nelson (drawn by D. DeRozan),,81-85,,
0:30.0,Denver full timeout,,81-85,,
0:30.0,,,81-85,,D. DeRozan misses free throw 1 of 2
0:30.0,,,81-85,,Offensive rebound by Team
0:30.0,,,81-86,1,D. DeRozan makes free throw 2 of 2
0:30.0,E. Mudiay enters the game for W. Barton,,81-85,,
0:06.0,J. Nelson makes 3-pt shot from 25 ft (assist by W. Chandler),3,84-86,,
0:00.0,,,84-88,2,D. DeRozan makes 2-pt shot from 13 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,84-88,,K. Lowry misses 3-pt shot from 26 ft
11:50.0,Defensive rebound by Team,,84-88,,
11:32.0,Shooting foul by J. Poeltl (drawn by W. Chandler),,84-88,,
11:32.0,W. Chandler makes free throw 1 of 2,1,85-88,,
11:32.0,W. Chandler misses free throw 2 of 2,,85-88,,
11:31.0,,,85-88,,Defensive rebound by P. Patterson
11:11.0,,,85-88,,Shooting foul by W. Chandler (drawn by K. Lowry)
11:11.0,,,85-89,1,K. Lowry makes free throw 1 of 2
11:11.0,,,85-89,,K. Lowry misses free throw 2 of 2
11:11.0,J. Nurkic enters the game for D. Gallinari,,85-89,,
11:09.0,Defensive rebound by J. Nurkic,,85-89,,
10:58.0,J. Murray misses 2-pt shot from 4 ft (block by J. Poeltl),,85-89,,
10:57.0,,,85-89,,Defensive rebound by K. Lowry
10:51.0,,,85-89,,P. Patterson misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by W. Chandler,,85-89,,
10:41.0,,,85-89,,Def 3 sec tech foul by J. Poeltl
10:41.0,J. Murray makes technical free throw,1,86-89,,
10:37.0,Turnover by J. Nurkic (lost ball; steal by T. Ross),,86-89,,
10:35.0,Personal foul by J. Nelson (drawn by T. Ross),,86-89,,
10:19.0,Personal foul by J. Murray (drawn by C. Joseph),,86-89,,
10:17.0,Personal foul by J. Murray (drawn by C. Joseph),,86-89,,
10:10.0,,,86-89,,Offensive charge foul by C. Joseph
10:10.0,,,86-89,,Turnover by C. Joseph (offensive foul)
9:45.0,W. Chandler misses 3-pt shot from 28 ft,,86-89,,
9:44.0,,,86-89,,Defensive rebound by K. Lowry
9:27.0,,,86-89,,T. Ross misses 2-pt shot from 24 ft
9:27.0,,,86-89,,Offensive rebound by Team
9:27.0,Loose ball foul by J. Nelson (drawn by J. Poeltl),,86-89,,
9:27.0,,,86-90,1,J. Poeltl makes free throw 1 of 2
9:27.0,,,86-90,,J. Poeltl misses free throw 2 of 2
9:26.0,Defensive rebound by J. Nurkic,,86-90,,
9:14.0,J. Nelson makes 2-pt shot from 12 ft,2,88-90,,
9:02.0,,,88-90,,T. Ross misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by K. Faried,,88-90,,
8:50.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Murray),3,91-90,,
8:26.0,,,91-90,,J. Poeltl misses 2-pt shot from 1 ft (block by W. Chandler)
8:25.0,Defensive rebound by J. Murray,,91-90,,
8:23.0,Turnover by J. Murray (lost ball; steal by C. Joseph),,91-90,,
8:11.0,,,91-90,,K. Lowry misses 2-pt shot from 2 ft
8:11.0,Defensive rebound by J. Nurkic,,91-90,,
8:00.0,,,91-90,,Personal block foul by P. Patterson (drawn by W. Chandler)
8:00.0,Official timeout,,91-90,,
8:00.0,,,91-90,,D. DeRozan enters the game for T. Ross
7:53.0,J. Nelson makes 3-pt shot from 25 ft,3,94-90,,
7:36.0,,,94-92,2,K. Lowry makes 2-pt shot from 4 ft
7:21.0,J. Nurkic makes 2-pt shot from 1 ft (assist by J. Murray),2,96-92,,
7:21.0,Shooting foul by J. Poeltl (drawn by J. Nurkic),,96-92,,
7:21.0,J. Nurkic makes free throw 1 of 1,1,97-92,,
6:58.0,,,97-92,,Shooting foul by J. Nelson (drawn by K. Lowry)
6:58.0,,,97-93,1,K. Lowry makes free throw 1 of 2
6:58.0,,,97-93,,K. Lowry misses free throw 2 of 2
6:57.0,Defensive rebound by K. Faried,,97-93,,
6:38.0,K. Faried misses 2-pt shot from 7 ft,,97-93,,
6:37.0,,,97-93,,Defensive rebound by J. Poeltl
6:30.0,,,97-93,,K. Lowry misses 2-pt shot from 9 ft (block by K. Faried)
6:29.0,,,97-93,,Offensive rebound by J. Poeltl
6:28.0,,,97-93,,J. Poeltl misses 2-pt shot from 2 ft
6:27.0,Defensive rebound by K. Faried,,97-93,,
6:20.0,J. Murray misses 2-pt shot from 1 ft,,97-93,,
6:20.0,,,97-93,,Defensive rebound by C. Joseph
6:07.0,,,97-93,,C. Joseph misses 2-pt shot from 6 ft
6:06.0,Defensive rebound by J. Nurkic,,97-93,,
5:56.0,J. Nelson makes 2-pt shot from 8 ft,2,99-93,,
5:55.0,,,99-93,,Toronto full timeout
5:55.0,,,99-93,,J. Valanciunas enters the game for C. Joseph
5:55.0,,,99-93,,D. Carroll enters the game for J. Poeltl
5:55.0,D. Gallinari enters the game for K. Faried,,99-93,,
5:55.0,E. Mudiay enters the game for J. Murray,,99-93,,
5:33.0,,,99-95,2,K. Lowry makes 2-pt shot from 2 ft
