time,Denver,pts.away,score,pts.home,San Antonio
7:28.0,,,10-9,,Offensive rebound by D. Lee
7:28.0,,,10-9,,Shooting foul by N. Jokic (drawn by D. Lee)
7:28.0,,,10-9,,D. Lee misses free throw 1 of 2
7:28.0,,,10-9,,Offensive rebound by Team
7:28.0,,,10-10,1,D. Lee makes free throw 2 of 2
7:15.0,W. Chandler makes 2-pt shot from 3 ft (assist by N. Jokic),2,12-10,,
6:58.0,,,12-10,,Turnover by T. Parker (lost ball)
6:40.0,W. Chandler makes 2-pt shot from 16 ft,2,14-10,,
6:24.0,,,14-10,,Shooting foul by K. Faried (drawn by K. Leonard)
6:24.0,,,14-11,1,K. Leonard makes free throw 1 of 2
6:24.0,,,14-12,1,K. Leonard makes free throw 2 of 2
6:24.0,W. Barton enters the game for K. Faried,,14-11,,
6:11.0,Jump ball: W. Chandler vs. D. Green (D. Lee gains possession),,,,Jump ball: W. Chandler vs. D. Green (D. Lee gains possession)
6:11.0,Turnover by W. Chandler (lost ball; steal by D. Green),,14-12,,
6:00.0,,,14-12,,L. Aldridge misses 2-pt shot from 18 ft
5:59.0,Defensive rebound by W. Barton,,14-12,,
5:49.0,W. Chandler misses 3-pt shot from 25 ft,,14-12,,
5:48.0,,,14-12,,Defensive rebound by L. Aldridge
5:35.0,,,14-14,2,T. Parker makes 2-pt shot from 1 ft
5:23.0,Turnover by N. Jokic (bad pass; steal by T. Parker),,14-14,,
5:20.0,,,14-16,2,T. Parker makes 2-pt shot from 2 ft
5:20.0,Denver full timeout,,14-16,,
5:05.0,N. Jokic misses 2-pt shot from 17 ft,,14-16,,
5:04.0,,,14-16,,Defensive rebound by D. Green
4:49.0,Personal foul by N. Jokic (drawn by L. Aldridge),,14-16,,
4:49.0,J. Nurkic enters the game for N. Jokic,,14-16,,
4:45.0,,,14-16,,Shooting foul by J. Nurkic (drawn by T. Parker)
4:45.0,,,14-17,1,T. Parker makes free throw 1 of 2
4:45.0,,,14-18,1,T. Parker makes free throw 2 of 2
4:45.0,,,14-17,,M. Ginobili enters the game for D. Green
4:27.0,W. Chandler misses 2-pt shot from 8 ft,,14-18,,
4:26.0,,,14-18,,Defensive rebound by M. Ginobili
4:21.0,,,14-18,,D. Lee misses 2-pt shot from 1 ft
4:19.0,Defensive rebound by G. Harris,,14-18,,
4:15.0,J. Nelson misses 3-pt shot from 26 ft,,14-18,,
4:13.0,Offensive rebound by J. Nelson,,14-18,,
4:09.0,J. Nelson misses 2-pt shot from 3 ft (block by L. Aldridge),,14-18,,
4:09.0,Offensive rebound by Team,,14-18,,
4:09.0,,,14-18,,P. Mills enters the game for T. Parker
4:01.0,,,14-18,,Personal foul by P. Mills
3:51.0,J. Nelson makes 2-pt shot from 2 ft (assist by G. Harris),2,16-18,,
3:39.0,,,16-18,,L. Aldridge misses 2-pt shot from 2 ft (block by J. Nurkic)
3:35.0,Defensive rebound by J. Nurkic,,16-18,,
3:16.0,W. Barton misses 3-pt shot from 28 ft,,16-18,,
3:14.0,,,16-18,,Defensive rebound by L. Aldridge
2:58.0,,,16-21,3,M. Ginobili makes 3-pt shot from 25 ft (assist by K. Leonard)
2:45.0,W. Barton misses 2-pt shot from 6 ft,,16-21,,
2:44.0,,,16-21,,Defensive rebound by K. Leonard
2:27.0,,,16-24,3,M. Ginobili makes 3-pt shot from 25 ft (assist by L. Aldridge)
2:11.0,W. Chandler makes 3-pt shot from 26 ft (assist by J. Nelson),3,19-24,,
1:46.0,,,19-24,,Turnover by M. Ginobili (bad pass; steal by W. Chandler)
1:45.0,Turnover by W. Chandler (bad pass; steal by M. Ginobili),,19-24,,
1:37.0,,,19-26,2,L. Aldridge makes 2-pt shot at rim (assist by D. Lee)
1:26.0,G. Harris makes 2-pt shot from 2 ft (assist by W. Barton),2,21-26,,
1:13.0,,,21-26,,D. Lee misses 2-pt shot from 7 ft
1:13.0,Defensive rebound by Team,,21-26,,
1:13.0,,,21-26,,Personal foul by L. Aldridge (drawn by W. Chandler)
1:13.0,E. Mudiay enters the game for G. Harris,,21-26,,
1:13.0,J. Murray enters the game for J. Nelson,,21-26,,
1:13.0,,,21-26,,J. Simmons enters the game for K. Leonard
1:13.0,,,21-26,,D. Dedmon enters the game for L. Aldridge
0:58.0,W. Chandler makes 3-pt shot from 25 ft (assist by W. Barton),3,24-26,,
0:47.0,,,24-28,2,M. Ginobili makes 2-pt shot from 1 ft
0:45.0,Turnover by J. Murray (lost ball),,24-28,,
0:32.0,Personal foul by E. Mudiay (drawn by M. Ginobili),,24-28,,
0:32.0,,,24-29,1,M. Ginobili makes free throw 1 of 2
0:32.0,,,24-30,1,M. Ginobili makes free throw 2 of 2
0:22.0,W. Barton misses 3-pt shot from 26 ft,,24-30,,
0:22.0,,,24-30,,Defensive rebound by Team
0:22.0,,,24-30,,D. Bertans enters the game for D. Dedmon
0:22.0,J. Hernangomez enters the game for W. Chandler,,24-30,,
0:04.0,,,24-30,,Turnover by M. Ginobili (bad pass; steal by J. Hernangomez)
0:01.0,J. Murray makes 3-pt shot from 27 ft,3,27-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,Turnover by Team (shot clock),,27-30,,
11:08.0,,,27-33,3,M. Ginobili makes 3-pt shot from 26 ft (assist by P. Mills)
10:56.0,Shooting foul by J. Simmons (drawn by E. Mudiay),,27-33,,
10:56.0,E. Mudiay makes free throw 1 of 2,1,28-33,,
10:56.0,E. Mudiay makes free throw 2 of 2,1,29-33,,
10:44.0,,,29-33,,P. Mills misses 2-pt shot from 17 ft
10:42.0,Defensive rebound by J. Nurkic,,29-33,,
10:33.0,W. Barton misses 2-pt shot from 2 ft,,29-33,,
10:32.0,Offensive rebound by W. Barton,,29-33,,
10:25.0,E. Mudiay misses 3-pt shot from 26 ft,,29-33,,
10:24.0,,,29-33,,Defensive rebound by J. Simmons
10:16.0,,,29-36,3,M. Ginobili makes 3-pt shot from 25 ft (assist by J. Simmons)
9:51.0,J. Murray misses 2-pt shot from 6 ft,,29-36,,
9:48.0,Offensive rebound by J. Nurkic,,29-36,,
9:46.0,J. Nurkic misses 2-pt shot from 1 ft (block by J. Simmons),,29-36,,
9:45.0,,,29-36,,Defensive rebound by P. Mills
9:44.0,,,29-36,,M. Ginobili misses 3-pt shot from 26 ft
9:41.0,Defensive rebound by Team,,29-36,,
9:25.0,J. Hernangomez misses 2-pt shot from 4 ft,,29-36,,
9:24.0,Offensive rebound by J. Nurkic,,29-36,,
9:24.0,,,29-36,,Personal foul by D. Bertans (drawn by J. Nurkic)
9:15.0,J. Nurkic makes 2-pt shot from 2 ft (assist by W. Barton),2,31-36,,
9:01.0,,,31-36,,Shooting foul by W. Barton (drawn by J. Simmons)
9:01.0,,,31-37,1,J. Simmons makes free throw 1 of 2
9:01.0,,,31-37,,J. Simmons misses free throw 2 of 2
9:01.0,,,31-37,,K. Leonard enters the game for M. Ginobili
9:00.0,Defensive rebound by J. Murray,,31-37,,
8:42.0,J. Nurkic misses 2-pt shot at rim,,31-37,,
8:40.0,,,31-37,,Defensive rebound by J. Simmons
8:33.0,,,31-37,,Turnover by J. Simmons (lost ball; steal by J. Nurkic)
8:27.0,J. Murray makes 2-pt shot from 1 ft,2,33-37,,
8:19.0,,,33-37,,Shooting foul by J. Hernangomez (drawn by D. Dedmon)
8:19.0,Official timeout,,33-37,,
8:19.0,,,33-37,,D. Dedmon misses free throw 1 of 2
8:19.0,,,33-37,,Offensive rebound by Team
8:19.0,,,33-38,1,D. Dedmon makes free throw 2 of 2
8:19.0,,,33-37,,D. Green enters the game for J. Simmons
8:19.0,,,33-37,,T. Parker enters the game for P. Mills
8:08.0,J. Murray misses 2-pt shot from 19 ft,,33-38,,
8:05.0,,,33-38,,Defensive rebound by D. Green
7:57.0,,,33-38,,Turnover by D. Green (bad pass; steal by W. Barton)
7:54.0,Turnover by W. Barton (bad pass),,33-38,,
7:39.0,,,33-40,2,D. Dedmon makes 2-pt shot at rim (assist by K. Leonard)
7:26.0,W. Barton misses 2-pt shot from 2 ft (block by K. Leonard),,33-40,,
7:24.0,,,33-40,,Defensive rebound by D. Bertans
7:20.0,,,33-42,2,D. Dedmon makes 2-pt shot at rim (assist by K. Leonard)
7:20.0,Denver full timeout,,33-42,,
7:20.0,N. Jokic enters the game for J. Nurkic,,33-42,,
7:20.0,G. Harris enters the game for J. Murray,,33-42,,
7:20.0,W. Chandler enters the game for J. Hernangomez,,33-42,,
7:20.0,,,33-42,,L. Aldridge enters the game for D. Bertans
6:55.0,N. Jokic makes 2-pt shot from 9 ft,2,35-42,,
6:39.0,,,35-42,,K. Leonard misses 3-pt shot from 24 ft
6:38.0,,,35-42,,Offensive rebound by D. Dedmon
6:31.0,,,35-42,,Turnover by D. Dedmon (bad pass)
6:31.0,K. Faried enters the game for W. Barton,,35-42,,
6:10.0,W. Chandler misses 2-pt shot from 18 ft,,35-42,,
6:09.0,Offensive rebound by K. Faried,,35-42,,
6:08.0,K. Faried makes 2-pt shot from 2 ft,2,37-42,,
6:08.0,,,37-42,,San Antonio full timeout
5:56.0,,,37-42,,Shooting foul by N. Jokic (drawn by K. Leonard)
5:56.0,,,37-43,1,K. Leonard makes free throw 1 of 2
5:56.0,,,37-44,1,K. Leonard makes free throw 2 of 2
5:56.0,,,37-43,,D. Lee enters the game for D. Dedmon
5:56.0,J. Nurkic enters the game for N. Jokic,,37-43,,
5:31.0,E. Mudiay misses 2-pt shot from 7 ft,,37-44,,
5:28.0,Offensive rebound by K. Faried,,37-44,,
5:28.0,K. Faried misses 2-pt shot from 2 ft,,37-44,,
5:27.0,,,37-44,,Defensive rebound by K. Leonard
5:09.0,,,37-46,2,D. Green makes 2-pt shot from 5 ft
4:48.0,J. Nurkic misses 2-pt shot from 6 ft,,37-46,,
4:45.0,Offensive rebound by J. Nurkic,,37-46,,
4:45.0,J. Nurkic makes 2-pt shot from 1 ft,2,39-46,,
4:24.0,,,39-46,,K. Leonard misses 2-pt shot from 20 ft
4:23.0,Defensive rebound by E. Mudiay,,39-46,,
4:18.0,E. Mudiay misses 2-pt shot from 2 ft (block by K. Leonard),,39-46,,
4:17.0,,,39-46,,Defensive rebound by K. Leonard
4:12.0,,,39-46,,D. Green misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by Team,,39-46,,
4:12.0,J. Nelson enters the game for E. Mudiay,,39-46,,
4:04.0,Offensive foul by W. Chandler,,39-46,,
4:04.0,Turnover by W. Chandler (offensive foul),,39-46,,
3:48.0,,,39-46,,Turnover by K. Leonard (lost ball; steal by G. Harris)
3:43.0,J. Nurkic makes 2-pt shot at rim,2,41-46,,
3:42.0,,,41-46,,San Antonio full timeout
3:31.0,,,41-46,,D. Green misses 3-pt shot from 24 ft
3:30.0,,,41-46,,Offensive rebound by K. Leonard
3:18.0,,,41-48,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
2:56.0,W. Chandler misses 3-pt shot from 25 ft,,41-48,,
2:55.0,Offensive rebound by J. Nurkic,,41-48,,
2:41.0,G. Harris makes 2-pt shot from 1 ft (assist by J. Nurkic),2,43-48,,
2:34.0,,,43-50,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
2:23.0,Shooting foul by D. Lee (drawn by J. Nurkic),,43-50,,
2:23.0,J. Nurkic misses free throw 1 of 2,,43-50,,
2:23.0,Offensive rebound by Team,,43-50,,
2:23.0,J. Nurkic makes free throw 2 of 2,1,44-50,,
2:23.0,,,43-50,,M. Ginobili enters the game for D. Green
2:08.0,,,44-50,,L. Aldridge misses 2-pt shot from 19 ft
2:07.0,Defensive rebound by W. Chandler,,44-50,,
1:57.0,Turnover by W. Chandler (lost ball; steal by L. Aldridge),,44-50,,
1:50.0,,,44-50,,Shooting foul by K. Faried (drawn by M. Ginobili)
1:50.0,,,44-51,1,M. Ginobili makes free throw 1 of 2
1:50.0,,,44-52,1,M. Ginobili makes free throw 2 of 2
1:39.0,,,44-52,,Personal foul by M. Ginobili (drawn by J. Nurkic)
1:39.0,W. Barton enters the game for K. Faried,,44-52,,
1:28.0,G. Harris makes 2-pt shot from 3 ft (assist by W. Barton),2,46-52,,
1:11.0,,,46-54,2,T. Parker makes 2-pt shot from 1 ft
1:00.0,G. Harris makes 2-pt shot from 2 ft (assist by J. Nelson),2,48-54,,
0:44.0,,,48-56,2,T. Parker makes 2-pt shot from 1 ft
0:35.0,J. Nelson misses 2-pt shot from 8 ft,,48-56,,
0:33.0,,,48-56,,Defensive rebound by K. Leonard
0:30.0,,,48-56,,Turnover by K. Leonard (lost ball; steal by G. Harris)
0:19.0,W. Barton makes 2-pt shot from 8 ft,2,50-56,,
0:05.0,,,50-56,,Turnover by T. Parker (lost ball)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Turnover by W. Chandler (bad pass; steal by T. Parker),,50-56,,
11:22.0,,,50-58,2,K. Leonard makes 2-pt shot from 19 ft (assist by L. Aldridge)
11:05.0,Turnover by N. Jokic (bad pass; steal by D. Green),,50-58,,
11:01.0,,,50-60,2,K. Leonard makes 2-pt shot at rim (assist by D. Green)
11:01.0,Denver full timeout,,50-60,,
10:43.0,G. Harris misses 2-pt shot from 1 ft (block by L. Aldridge),,50-60,,
10:43.0,Offensive rebound by Team,,50-60,,
10:40.0,N. Jokic makes 2-pt shot from 1 ft (assist by W. Chandler),2,52-60,,
10:23.0,,,52-63,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
10:07.0,N. Jokic makes 2-pt shot from 6 ft (assist by J. Nelson),2,54-63,,
9:55.0,Personal foul by K. Faried (drawn by L. Aldridge),,54-63,,
9:45.0,,,54-65,2,L. Aldridge makes 2-pt shot from 10 ft
9:31.0,Turnover by J. Nelson (lost ball; steal by T. Parker),,54-65,,
9:27.0,,,54-67,2,T. Parker makes 2-pt shot from 2 ft
9:10.0,N. Jokic makes 3-pt shot from 25 ft (assist by G. Harris),3,57-67,,
9:01.0,,,57-69,2,K. Leonard makes 2-pt shot from 21 ft (assist by D. Green)
8:48.0,Turnover by N. Jokic (lost ball),,57-69,,
8:38.0,Personal foul by W. Chandler (drawn by K. Leonard),,57-69,,
8:26.0,,,57-69,,L. Aldridge misses 2-pt shot from 12 ft
8:25.0,,,57-69,,Offensive rebound by D. Dedmon
8:16.0,,,57-71,2,T. Parker makes 2-pt shot from 19 ft
8:05.0,N. Jokic misses 2-pt shot from 5 ft (block by L. Aldridge),,57-71,,
8:05.0,,,57-71,,Defensive rebound by Team
8:05.0,W. Barton enters the game for K. Faried,,57-71,,
7:45.0,,,57-71,,Shooting foul by W. Chandler (drawn by L. Aldridge)
7:45.0,,,57-72,1,L. Aldridge makes free throw 1 of 2
7:45.0,,,57-73,1,L. Aldridge makes free throw 2 of 2
7:35.0,,,57-73,,Personal foul by T. Parker (drawn by W. Chandler)
7:30.0,J. Nelson misses 2-pt shot from 1 ft,,57-73,,
7:26.0,Offensive rebound by N. Jokic,,57-73,,
7:26.0,N. Jokic misses 2-pt shot from 2 ft,,57-73,,
7:25.0,Offensive rebound by G. Harris,,57-73,,
7:14.0,W. Chandler misses 2-pt shot from 7 ft,,57-73,,
7:14.0,Offensive rebound by Team,,57-73,,
7:14.0,,,57-73,,Loose ball foul by L. Aldridge (drawn by W. Chandler)
7:14.0,,,57-73,,D. Lee enters the game for D. Dedmon
7:07.0,W. Chandler misses 3-pt shot from 26 ft,,57-73,,
7:06.0,,,57-73,,Defensive rebound by L. Aldridge
6:55.0,,,57-75,2,T. Parker makes 2-pt shot from 16 ft (assist by D. Lee)
6:44.0,,,57-75,,Personal foul by T. Parker (drawn by W. Barton)
6:43.0,Turnover by W. Barton (bad pass; steal by D. Lee),,57-75,,
6:37.0,,,57-75,,D. Green misses 3-pt shot from 23 ft
6:36.0,Defensive rebound by W. Barton,,57-75,,
6:28.0,W. Barton misses 2-pt shot from 1 ft,,57-75,,
6:27.0,,,57-75,,Defensive rebound by D. Green
6:22.0,,,57-75,,Turnover by T. Parker (bad pass)
6:06.0,Turnover by N. Jokic (lost ball; steal by D. Lee),,57-75,,
6:02.0,,,57-75,,Turnover by L. Aldridge (bad pass)
5:44.0,G. Harris misses 2-pt shot from 20 ft,,57-75,,
5:43.0,,,57-75,,Defensive rebound by D. Lee
5:30.0,,,57-75,,K. Leonard misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by J. Nelson,,57-75,,
5:18.0,N. Jokic misses 3-pt shot from 26 ft,,57-75,,
5:17.0,,,57-75,,Defensive rebound by D. Green
5:11.0,,,57-77,2,K. Leonard makes 2-pt shot at rim (assist by D. Green)
5:11.0,Denver full timeout,,57-77,,
5:11.0,E. Mudiay enters the game for W. Chandler,,57-77,,
5:11.0,J. Murray enters the game for N. Jokic,,57-77,,
5:11.0,J. Hernangomez enters the game for G. Harris,,57-77,,
5:11.0,J. Nurkic enters the game for J. Nelson,,57-77,,
5:11.0,,,57-77,,P. Mills enters the game for T. Parker
5:11.0,,,57-77,,J. Simmons enters the game for D. Green
4:59.0,W. Barton makes 2-pt shot from 4 ft,2,59-77,,
4:37.0,,,59-77,,D. Lee misses 2-pt shot from 18 ft
4:36.0,Defensive rebound by E. Mudiay,,59-77,,
4:26.0,J. Hernangomez misses 2-pt shot from 18 ft,,59-77,,
4:26.0,Offensive rebound by Team,,59-77,,
4:26.0,,,59-77,,Loose ball foul by D. Lee (drawn by J. Nurkic)
4:20.0,E. Mudiay misses 2-pt shot from 6 ft,,59-77,,
4:19.0,,,59-77,,Defensive rebound by L. Aldridge
3:58.0,,,59-80,3,P. Mills makes 3-pt shot from 24 ft (assist by K. Leonard)
3:45.0,Shooting foul by P. Mills (drawn by J. Nurkic),,59-80,,
3:45.0,J. Nurkic misses free throw 1 of 2,,59-80,,
3:45.0,Offensive rebound by Team,,59-80,,
3:45.0,J. Nurkic misses free throw 2 of 2,,59-80,,
3:44.0,,,59-80,,Defensive rebound by D. Lee
3:32.0,,,59-80,,K. Leonard misses 3-pt shot from 25 ft
3:31.0,,,59-80,,Offensive rebound by D. Lee
3:26.0,,,59-82,2,K. Leonard makes 2-pt shot from 2 ft (assist by D. Lee)
3:10.0,W. Barton makes 2-pt shot from 17 ft (assist by E. Mudiay),2,61-82,,
2:56.0,,,61-82,,D. Lee misses 2-pt shot from 17 ft
2:55.0,Defensive rebound by J. Murray,,61-82,,
2:40.0,J. Hernangomez misses 3-pt shot from 25 ft,,61-82,,
2:39.0,,,61-82,,Defensive rebound by P. Mills
2:34.0,,,61-82,,Turnover by J. Simmons (bad pass)
2:34.0,,,61-82,,J. Anthony enters the game for L. Aldridge
2:19.0,J. Nurkic makes 2-pt shot from 4 ft (assist by E. Mudiay),2,63-82,,
2:19.0,,,63-82,,San Antonio full timeout
2:19.0,,,63-82,,D. Bertans enters the game for D. Lee
2:09.0,,,63-82,,K. Leonard misses 3-pt shot from 26 ft
2:08.0,Defensive rebound by E. Mudiay,,63-82,,
2:03.0,J. Murray misses 3-pt shot from 25 ft,,63-82,,
2:01.0,Offensive rebound by J. Hernangomez,,63-82,,
1:58.0,J. Hernangomez makes 2-pt shot from 6 ft,2,65-82,,
1:45.0,,,65-84,2,P. Mills makes 2-pt shot from 20 ft (assist by J. Simmons)
1:22.0,J. Murray makes 2-pt shot from 24 ft,2,67-84,,
1:22.0,Violation by Team (jump ball),,67-84,,
1:09.0,,,67-86,2,P. Mills makes 2-pt shot from 3 ft (assist by D. Bertans)
1:01.0,Turnover by E. Mudiay (lost ball; steal by K. Leonard),,67-86,,
0:54.0,,,67-86,,Shooting foul by J. Nurkic (drawn by K. Leonard)
0:54.0,,,67-86,,K. Leonard misses free throw 1 of 2
0:54.0,,,67-86,,Offensive rebound by Team
0:54.0,,,67-87,1,K. Leonard makes free throw 2 of 2
0:43.0,J. Murray makes 3-pt shot from 25 ft (assist by W. Barton),3,70-87,,
0:25.0,,,70-87,,Shooting foul by J. Nurkic (drawn by K. Leonard)
0:25.0,,,70-88,1,K. Leonard makes free throw 1 of 2
0:25.0,,,70-88,,K. Leonard misses free throw 2 of 2
0:25.0,,,70-88,,K. Anderson enters the game for J. Simmons
0:24.0,Defensive rebound by J. Murray,,70-88,,
0:06.0,E. Mudiay makes 2-pt shot from 2 ft,2,72-88,,
0:01.0,,,72-91,3,P. Mills makes 3-pt shot from 27 ft (assist by K. Leonard)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,72-91,,K. Anderson misses 2-pt shot from 12 ft
11:44.0,Defensive rebound by J. Nurkic,,72-91,,
11:37.0,E. Mudiay makes 2-pt shot from 10 ft,2,74-91,,
11:24.0,,,74-91,,Shooting foul by E. Mudiay (drawn by J. Simmons)
11:24.0,,,74-92,1,J. Simmons makes free throw 1 of 2
11:24.0,,,74-93,1,J. Simmons makes free throw 2 of 2
11:12.0,E. Mudiay misses 3-pt shot from 26 ft,,74-93,,
11:11.0,Offensive rebound by J. Nurkic,,74-93,,
11:09.0,,,74-93,,Personal foul by J. Anthony (drawn by J. Nurkic)
11:02.0,J. Murray makes 2-pt shot from 8 ft,2,76-93,,
10:50.0,,,76-95,2,J. Simmons makes 2-pt shot from 9 ft
10:38.0,J. Murray makes 2-pt shot from 3 ft (assist by J. Nurkic),2,78-95,,
10:25.0,,,78-95,,D. Bertans misses 2-pt shot from 2 ft
10:24.0,Defensive rebound by J. Hernangomez,,78-95,,
10:14.0,J. Nurkic misses 2-pt shot from 4 ft,,78-95,,
10:11.0,Offensive rebound by J. Hernangomez,,78-95,,
10:11.0,J. Hernangomez misses 2-pt shot from 2 ft,,78-95,,
10:10.0,,,78-95,,Defensive rebound by P. Mills
9:58.0,,,78-98,3,J. Simmons makes 3-pt shot from 24 ft (assist by K. Anderson)
9:42.0,Offensive charge foul by W. Barton,,78-98,,
9:42.0,Turnover by W. Barton (offensive foul),,78-98,,
9:21.0,,,78-100,2,J. Simmons makes 2-pt shot from 2 ft
9:08.0,E. Mudiay misses 2-pt shot from 2 ft (block by D. Bertans),,78-100,,
9:07.0,Offensive rebound by E. Mudiay,,78-100,,
9:02.0,J. Murray misses 3-pt shot from 26 ft,,78-100,,
9:01.0,,,78-100,,Defensive rebound by P. Mills
8:58.0,,,78-100,,P. Mills misses 2-pt shot from 14 ft
8:57.0,,,78-100,,Offensive rebound by J. Anthony
8:55.0,,,78-102,2,J. Anthony makes 2-pt shot from 2 ft
8:55.0,Denver full timeout,,78-102,,
8:55.0,,,78-102,,D. Murray enters the game for P. Mills
8:55.0,J. O'Bryant enters the game for W. Barton,,78-102,,
8:55.0,M. Beasley enters the game for J. Nurkic,,78-102,,
8:45.0,J. Hernangomez makes 3-pt shot from 26 ft (assist by E. Mudiay),3,81-102,,
8:44.0,,,81-102,,San Antonio full timeout
8:28.0,,,81-102,,Turnover by D. Bertans (lost ball; steal by E. Mudiay)
8:23.0,E. Mudiay misses 2-pt shot from 2 ft,,81-102,,
8:23.0,,,81-102,,Defensive rebound by J. Simmons
8:14.0,,,81-102,,D. Murray misses 2-pt shot from 4 ft
8:13.0,Defensive rebound by J. O'Bryant,,81-102,,
8:05.0,M. Beasley misses 2-pt shot from 3 ft (block by K. Anderson),,81-102,,
8:04.0,,,81-102,,Defensive rebound by D. Bertans
7:44.0,,,81-102,,J. Simmons misses 2-pt shot from 2 ft
7:43.0,Defensive rebound by J. Hernangomez,,81-102,,
7:33.0,J. O'Bryant makes 3-pt shot from 27 ft (assist by E. Mudiay),3,84-102,,
7:14.0,,,84-104,2,D. Murray makes 2-pt shot from 4 ft
6:57.0,J. Murray makes 2-pt shot from 18 ft,2,86-104,,
6:39.0,,,86-106,2,D. Bertans makes 2-pt shot at rim (assist by J. Anthony)
6:18.0,E. Mudiay misses 3-pt shot from 26 ft,,86-106,,
6:17.0,,,86-106,,Defensive rebound by K. Anderson
6:09.0,,,86-106,,K. Anderson misses 2-pt shot from 1 ft
6:08.0,Defensive rebound by J. O'Bryant,,86-106,,
5:57.0,J. Hernangomez misses 3-pt shot from 25 ft,,86-106,,
5:56.0,,,86-106,,Defensive rebound by J. Simmons
5:47.0,,,86-108,2,J. Simmons makes 2-pt shot from 17 ft
5:45.0,Denver full timeout,,86-108,,
5:45.0,M. Miller enters the game for E. Mudiay,,86-108,,
5:31.0,M. Beasley makes 2-pt shot from 2 ft,2,88-108,,
5:17.0,,,88-111,3,D. Bertans makes 3-pt shot from 24 ft (assist by K. Anderson)
5:06.0,Turnover by M. Miller (bad pass; steal by D. Bertans),,88-111,,
5:00.0,,,88-113,2,J. Simmons makes 2-pt shot at rim (assist by D. Murray)
4:44.0,M. Beasley makes 3-pt shot from 25 ft (assist by M. Miller),3,91-113,,
4:28.0,,,91-113,,D. Murray misses 2-pt shot from 4 ft
4:26.0,Defensive rebound by M. Miller,,91-113,,
