time,Houston,pts.away,score,pts.home,Washington
3:57.0,,,20-21,,T. Satoransky enters the game for M. Morris
3:44.0,,,20-23,2,J. Wall makes 2-pt shot at rim
3:31.0,Turnover by J. Harden (lost ball),,20-23,,
3:17.0,,,20-23,,T. Satoransky misses 3-pt shot from 26 ft
3:16.0,Defensive rebound by S. Dekker,,20-23,,
2:56.0,Turnover by J. Harden (lost ball; steal by T. Satoransky),,20-23,,
2:50.0,Personal foul by N. Hilario (drawn by J. Wall),,20-23,,
2:50.0,Houston full timeout,,20-23,,
2:50.0,,,20-23,,K. Oubre enters the game for O. Porter
2:50.0,,,20-23,,M. Thornton enters the game for J. Wall
2:41.0,,,20-25,2,B. Beal makes 2-pt shot from 18 ft (assist by M. Thornton)
2:20.0,Turnover by J. Harden (bad pass; steal by B. Beal),,20-25,,
2:14.0,,,20-25,,Turnover by B. Beal (bad pass)
2:03.0,E. Gordon makes 3-pt shot from 23 ft (assist by J. Harden),3,23-25,,
1:46.0,,,23-28,3,K. Oubre makes 3-pt shot from 26 ft (assist by T. Satoransky)
1:33.0,K. McDaniels misses 2-pt shot at rim,,23-28,,
1:32.0,,,23-28,,Defensive rebound by M. Thornton
1:20.0,,,23-28,,B. Beal misses 3-pt shot from 26 ft
1:19.0,,,23-28,,Offensive rebound by T. Satoransky
1:08.0,,,23-28,,K. Oubre misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by J. Harden,,23-28,,
0:57.0,N. Hilario misses 2-pt shot from 15 ft,,23-28,,
0:56.0,,,23-28,,Defensive rebound by M. Thornton
0:49.0,,,23-28,,M. Thornton misses 3-pt shot from 27 ft
0:48.0,Defensive rebound by K. McDaniels,,23-28,,
0:41.0,Turnover by J. Harden (lost ball; steal by B. Beal),,23-28,,
0:33.0,,,23-30,2,B. Beal makes 2-pt shot from 1 ft
0:29.0,J. Harden misses 2-pt shot from 19 ft,,23-30,,
0:27.0,,,23-30,,Defensive rebound by M. Gortat
0:05.0,,,23-30,,Turnover by Team (shot clock)
0:02.0,,,23-30,,Personal take foul by K. Oubre (drawn by J. Harden)
0:01.0,E. Gordon misses 3-pt shot from 30 ft,,23-30,,
0:00.0,,,23-30,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,Turnover by E. Gordon (traveling),,23-30,,
11:11.0,,,23-30,,K. Oubre misses 2-pt shot from 7 ft (block by S. Dekker)
11:10.0,,,23-30,,Offensive rebound by K. Oubre
11:07.0,,,23-32,2,K. Oubre makes 2-pt shot from 5 ft
10:48.0,T. Ennis misses 3-pt shot from 28 ft,,23-32,,
10:47.0,Offensive rebound by S. Dekker,,23-32,,
10:41.0,E. Gordon misses 3-pt shot from 24 ft,,23-32,,
10:40.0,,,23-32,,Defensive rebound by J. Smith
10:31.0,,,23-34,2,J. Smith makes 2-pt shot from 19 ft (assist by T. Satoransky)
10:17.0,N. Hilario makes 2-pt shot from 14 ft (assist by T. Ennis),2,25-34,,
9:49.0,,,25-34,,T. Satoransky misses 2-pt shot from 17 ft
9:48.0,Defensive rebound by S. Dekker,,25-34,,
9:31.0,S. Dekker makes 3-pt shot from 26 ft (assist by T. Ennis),3,28-34,,
9:16.0,,,28-37,3,M. Thornton makes 3-pt shot from 27 ft (assist by T. Burke)
9:01.0,K. McDaniels makes 2-pt shot from 1 ft (assist by N. Hilario),2,30-37,,
8:44.0,,,30-37,,M. Thornton misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by S. Dekker,,30-37,,
8:35.0,E. Gordon makes 3-pt shot from 30 ft (assist by T. Ennis),3,33-37,,
8:26.0,,,33-37,,Washington full timeout
8:26.0,,,33-37,,J. Wall enters the game for T. Satoransky
8:26.0,T. Ariza enters the game for S. Dekker,,33-37,,
8:26.0,R. Anderson enters the game for K. McDaniels,,33-37,,
8:15.0,,,33-37,,Shooting foul by R. Anderson (drawn by K. Oubre)
8:15.0,,,33-38,1,K. Oubre makes free throw 1 of 2
8:15.0,,,33-39,1,K. Oubre makes free throw 2 of 2
8:04.0,,,33-39,,Personal foul by K. Oubre (drawn by T. Ennis)
8:04.0,T. Ennis misses free throw 1 of 2,,33-39,,
8:04.0,Offensive rebound by Team,,33-39,,
8:04.0,T. Ennis makes free throw 2 of 2,1,34-39,,
7:49.0,,,34-39,,M. Thornton misses 2-pt shot from 17 ft
7:48.0,Defensive rebound by N. Hilario,,34-39,,
7:40.0,R. Anderson misses 3-pt shot from 31 ft,,34-39,,
7:39.0,,,34-39,,Defensive rebound by M. Thornton
7:21.0,,,34-39,,K. Oubre misses 2-pt shot from 1 ft
7:21.0,,,34-39,,Offensive rebound by M. Thornton
7:19.0,,,34-39,,M. Thornton misses 2-pt shot from 1 ft
7:18.0,,,34-39,,Offensive rebound by Team
7:18.0,,,34-39,,M. Morris enters the game for K. Oubre
7:18.0,C. Capela enters the game for N. Hilario,,34-39,,
7:18.0,J. Harden enters the game for T. Ennis,,34-39,,
7:13.0,,,34-39,,M. Morris misses 2-pt shot at rim (block by C. Capela)
7:10.0,Defensive rebound by J. Harden,,34-39,,
7:03.0,C. Capela misses 2-pt shot from 3 ft,,34-39,,
7:02.0,,,34-39,,Defensive rebound by M. Morris
6:54.0,,,34-41,2,J. Wall makes 2-pt shot from 1 ft
6:37.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,36-41,,
6:33.0,,,36-41,,M. Thornton misses 2-pt shot from 2 ft (block by E. Gordon)
6:33.0,,,36-41,,Offensive rebound by Team
6:33.0,,,36-41,,M. Gortat enters the game for J. Smith
6:19.0,,,36-41,,M. Morris misses 2-pt shot from 20 ft
6:18.0,Defensive rebound by E. Gordon,,36-41,,
6:10.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,38-41,,
5:49.0,,,38-41,,M. Morris misses 2-pt shot from 13 ft
5:48.0,,,38-41,,Offensive rebound by M. Gortat
5:44.0,,,38-41,,M. Gortat misses 2-pt shot from 15 ft
5:44.0,,,38-41,,Offensive rebound by Team
5:44.0,,,38-41,,Turnover by Team (shot clock)
5:44.0,Official timeout,,38-41,,
5:44.0,,,38-41,,O. Porter enters the game for T. Burke
5:44.0,,,38-41,,B. Beal enters the game for M. Thornton
5:44.0,C. Brewer enters the game for E. Gordon,,38-41,,
5:32.0,Turnover by T. Ariza (bad pass; steal by B. Beal),,38-41,,
5:13.0,,,38-41,,O. Porter misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by T. Ariza,,38-41,,
5:06.0,J. Harden makes 2-pt shot from 5 ft,2,40-41,,
4:49.0,,,40-41,,M. Morris misses 2-pt shot from 19 ft
4:48.0,Defensive rebound by T. Ariza,,40-41,,
4:39.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,43-41,,
4:20.0,,,43-41,,B. Beal misses 2-pt shot from 1 ft (block by C. Capela)
4:18.0,Defensive rebound by C. Capela,,43-41,,
4:12.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,45-41,,
3:52.0,,,45-41,,J. Wall misses 3-pt shot from 29 ft
3:51.0,Defensive rebound by T. Ariza,,45-41,,
3:43.0,T. Ariza misses 3-pt shot from 28 ft,,45-41,,
3:42.0,,,45-41,,Defensive rebound by J. Wall
3:17.0,,,45-41,,J. Wall misses 2-pt shot from 15 ft
3:16.0,Defensive rebound by C. Capela,,45-41,,
3:06.0,T. Ariza misses 3-pt shot from 27 ft,,45-41,,
3:05.0,,,45-41,,Defensive rebound by M. Morris
3:01.0,,,45-41,,Turnover by J. Wall (bad pass)
2:47.0,R. Anderson makes 2-pt shot from 2 ft,2,47-41,,
2:36.0,Personal foul by C. Capela (drawn by O. Porter),,47-41,,
2:36.0,Houston full timeout,,47-41,,
2:24.0,,,47-41,,O. Porter misses 3-pt shot from 24 ft
2:23.0,Defensive rebound by C. Brewer,,47-41,,
2:14.0,Shooting foul by B. Beal (drawn by T. Ariza),,47-41,,
2:14.0,T. Ariza makes 2-pt shot from 1 ft (assist by R. Anderson),2,49-41,,
2:14.0,T. Ariza makes free throw 1 of 1,1,50-41,,
2:01.0,,,50-43,2,O. Porter makes 2-pt shot from 18 ft
1:35.0,C. Brewer makes 2-pt shot from 1 ft,2,52-43,,
1:12.0,,,52-45,2,B. Beal makes 2-pt shot from 6 ft
1:06.0,Turnover by J. Harden (bad pass; steal by O. Porter),,52-45,,
1:02.0,,,52-45,,Turnover by J. Wall (offensive foul)
1:02.0,,,52-45,,Offensive charge foul by J. Wall
0:41.0,C. Capela makes 2-pt shot from 3 ft (assist by J. Harden),2,54-45,,
0:34.0,Personal take foul by C. Brewer (drawn by J. Wall),,54-45,,
0:29.0,,,54-45,,Shooting foul by R. Anderson (drawn by B. Beal)
0:29.0,,,54-46,1,B. Beal makes free throw 1 of 2
0:29.0,,,54-47,1,B. Beal makes free throw 2 of 2
0:07.0,J. Harden misses 2-pt shot from 23 ft,,54-47,,
0:06.0,Offensive rebound by R. Anderson,,54-47,,
0:05.0,R. Anderson misses 2-pt shot from 1 ft,,54-47,,
0:05.0,Offensive rebound by R. Anderson,,54-47,,
0:04.0,R. Anderson makes 2-pt shot from 1 ft,2,56-47,,
0:01.0,,,56-47,,J. Wall misses 2-pt shot from 13 ft
0:00.0,,,56-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,C. Capela misses 2-pt shot from 2 ft,,56-47,,
11:38.0,,,56-47,,Defensive rebound by M. Gortat
11:28.0,,,56-47,,B. Beal misses 2-pt shot from 18 ft
11:27.0,Defensive rebound by R. Anderson,,56-47,,
11:16.0,Turnover by R. Anderson (3 sec),,56-47,,
11:00.0,,,56-47,,Shooting foul by C. Capela (drawn by J. Wall)
11:00.0,,,56-48,1,J. Wall makes free throw 1 of 2
11:00.0,,,56-49,1,J. Wall makes free throw 2 of 2
10:48.0,T. Ariza misses 3-pt shot from 29 ft,,56-49,,
10:47.0,,,56-49,,Defensive rebound by M. Morris
10:39.0,,,56-49,,Shooting foul by J. Harden (drawn by M. Gortat)
10:39.0,,,56-50,1,M. Gortat makes free throw 1 of 2
10:39.0,,,56-51,1,M. Gortat makes free throw 2 of 2
10:21.0,Jump ball: C. Capela vs. O. Porter (J. Wall gains possession),,,,Jump ball: C. Capela vs. O. Porter (J. Wall gains possession)
10:21.0,Turnover by C. Capela (lost ball; steal by O. Porter),,56-51,,
10:15.0,,,56-53,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
9:55.0,Shooting foul by O. Porter (drawn by C. Brewer),,56-53,,
9:55.0,C. Brewer makes free throw 1 of 2,1,57-53,,
9:55.0,C. Brewer makes free throw 2 of 2,1,58-53,,
9:35.0,,,58-53,,J. Wall misses 2-pt shot from 3 ft
9:35.0,,,58-53,,Offensive rebound by Team
9:35.0,Loose ball foul by C. Brewer (drawn by M. Gortat),,58-53,,
9:24.0,,,58-56,3,O. Porter makes 3-pt shot from 28 ft (assist by B. Beal)
9:11.0,J. Harden misses 3-pt shot from 26 ft,,58-56,,
9:10.0,,,58-56,,Defensive rebound by M. Gortat
9:03.0,,,58-56,,Turnover by J. Wall (bad pass; steal by R. Anderson)
8:58.0,Turnover by C. Capela (lost ball; steal by J. Wall),,58-56,,
8:50.0,,,58-59,3,O. Porter makes 3-pt shot from 27 ft (assist by J. Wall)
8:48.0,Houston full timeout,,58-59,,
8:26.0,T. Ariza misses 2-pt shot from 4 ft,,58-59,,
8:24.0,,,58-59,,Defensive rebound by O. Porter
8:19.0,,,58-61,2,J. Wall makes 2-pt shot from 3 ft
7:58.0,T. Ariza misses 3-pt shot from 26 ft,,58-61,,
7:57.0,,,58-61,,Defensive rebound by M. Gortat
7:49.0,,,58-61,,M. Morris misses 2-pt shot from 18 ft
7:48.0,Defensive rebound by C. Brewer,,58-61,,
7:38.0,J. Harden misses 2-pt shot from 11 ft (block by M. Gortat),,58-61,,
7:37.0,Offensive rebound by Team,,58-61,,
7:33.0,R. Anderson makes 2-pt shot at rim (assist by T. Ariza),2,60-61,,
7:16.0,,,60-61,,M. Gortat misses 2-pt shot from 9 ft
7:16.0,Defensive rebound by R. Anderson,,60-61,,
7:08.0,J. Harden misses 2-pt shot from 6 ft,,60-61,,
7:08.0,,,60-61,,Defensive rebound by Team
7:08.0,E. Gordon enters the game for C. Brewer,,60-61,,
6:50.0,,,60-64,3,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall)
6:34.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,63-64,,
6:21.0,,,63-66,2,M. Morris makes 2-pt shot from 8 ft
6:14.0,,,63-66,,Personal block foul by J. Wall (drawn by J. Harden)
6:14.0,N. Hilario enters the game for C. Capela,,63-66,,
6:05.0,J. Harden misses 2-pt shot from 6 ft,,63-66,,
6:04.0,,,63-66,,Defensive rebound by J. Wall
5:59.0,,,63-66,,J. Wall misses 2-pt shot from 2 ft
5:58.0,Defensive rebound by J. Harden,,63-66,,
5:52.0,T. Ariza makes 3-pt shot from 25 ft (assist by E. Gordon),3,66-66,,
5:52.0,,,66-66,,Technical foul by J. Wall
5:52.0,J. Harden makes technical free throw,1,67-66,,
5:38.0,,,67-68,2,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter)
5:18.0,N. Hilario makes 2-pt shot from 2 ft (assist by E. Gordon),2,69-68,,
4:55.0,,,69-71,3,J. Wall makes 3-pt shot from 27 ft (assist by O. Porter)
4:46.0,E. Gordon makes 3-pt shot from 27 ft (assist by J. Harden),3,72-71,,
4:31.0,,,72-73,2,O. Porter makes 2-pt shot from 15 ft
4:11.0,J. Harden makes 2-pt shot from 11 ft,2,74-73,,
3:58.0,,,74-73,,Turnover by M. Morris (lost ball)
3:41.0,E. Gordon misses 2-pt shot from 4 ft,,74-73,,
3:40.0,,,74-73,,Defensive rebound by M. Gortat
3:31.0,,,74-75,2,J. Wall makes 2-pt shot from 19 ft
3:15.0,J. Harden makes 2-pt shot from 12 ft,2,76-75,,
3:15.0,Shooting foul by B. Beal (drawn by J. Harden),,76-75,,
3:15.0,J. Harden makes free throw 1 of 1,1,77-75,,
3:15.0,,,77-75,,Washington full timeout
3:15.0,,,76-75,,K. Oubre enters the game for M. Morris
3:15.0,S. Dekker enters the game for T. Ariza,,76-75,,
3:15.0,K. McDaniels enters the game for R. Anderson,,76-75,,
3:15.0,,,77-75,,M. Thornton enters the game for B. Beal
3:06.0,Personal foul by K. McDaniels (drawn by K. Oubre),,77-75,,
2:50.0,,,77-78,3,M. Thornton makes 3-pt shot from 26 ft (assist by M. Gortat)
2:32.0,Shooting foul by M. Thornton (drawn by J. Harden),,77-78,,
2:32.0,J. Harden makes free throw 1 of 2,1,78-78,,
2:32.0,J. Harden makes free throw 2 of 2,1,79-78,,
2:09.0,,,79-78,,K. Oubre misses 2-pt shot from 10 ft
2:08.0,Defensive rebound by N. Hilario,,79-78,,
2:02.0,S. Dekker makes 2-pt shot at rim (assist by K. McDaniels),2,81-78,,
1:49.0,,,81-81,3,K. Oubre makes 3-pt shot from 23 ft (assist by J. Wall)
1:34.0,K. McDaniels misses 3-pt shot from 28 ft,,81-81,,
1:33.0,,,81-81,,Defensive rebound by O. Porter
1:25.0,Personal foul by N. Hilario (drawn by M. Thornton),,81-81,,
1:25.0,,,81-82,1,M. Thornton makes free throw 1 of 2
1:25.0,,,81-83,1,M. Thornton makes free throw 2 of 2
1:25.0,,,81-82,,T. Satoransky enters the game for J. Wall
1:15.0,S. Dekker misses 3-pt shot from 26 ft,,81-83,,
1:14.0,,,81-83,,Defensive rebound by M. Thornton
0:51.0,,,81-83,,Turnover by Team (shot clock)
0:38.0,E. Gordon misses 2-pt shot from 9 ft (block by O. Porter),,81-83,,
0:36.0,,,81-83,,Defensive rebound by M. Gortat
0:15.0,,,81-83,,O. Porter misses 3-pt shot from 27 ft
0:14.0,Defensive rebound by J. Harden,,81-83,,
0:02.0,J. Harden makes 3-pt shot from 26 ft,3,84-83,,
0:01.0,,,84-83,,T. Satoransky misses 3-pt shot from 36 ft
0:00.0,,,84-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,84-83,,O. Porter misses 2-pt shot from 18 ft
11:45.0,Defensive rebound by C. Capela,,84-83,,
11:38.0,E. Gordon misses 2-pt shot from 4 ft (block by J. Smith),,84-83,,
11:36.0,Offensive rebound by C. Capela,,84-83,,
11:19.0,E. Gordon makes 2-pt shot from 3 ft,2,86-83,,
11:05.0,,,86-83,,O. Porter misses 2-pt shot from 19 ft
11:04.0,,,86-83,,Offensive rebound by O. Porter
11:02.0,,,86-83,,Shooting foul by T. Ennis (drawn by O. Porter)
11:02.0,,,86-84,1,O. Porter makes free throw 1 of 2
11:02.0,,,86-85,1,O. Porter makes free throw 2 of 2
10:48.0,Turnover by T. Ennis (bad pass; steal by J. Smith),,86-85,,
10:42.0,,,86-85,,Offensive foul by J. Smith
10:42.0,,,86-85,,Turnover by J. Smith (offensive foul)
10:20.0,K. McDaniels makes 3-pt shot from 28 ft (assist by S. Dekker),3,89-85,,
10:07.0,Personal foul by C. Capela (drawn by J. Smith),,89-85,,
9:54.0,,,89-87,2,T. Satoransky makes 2-pt shot from 9 ft
9:47.0,Offensive charge foul by T. Ennis,,89-87,,
9:47.0,Turnover by T. Ennis (offensive foul),,89-87,,
9:36.0,,,89-87,,M. Thornton misses 3-pt shot from 25 ft
9:35.0,,,89-87,,Offensive rebound by J. Smith
9:33.0,,,89-89,2,J. Smith makes 2-pt shot from 1 ft
9:21.0,T. Ennis misses 3-pt shot from 25 ft,,89-89,,
9:20.0,Offensive rebound by C. Capela,,89-89,,
9:17.0,C. Capela makes 2-pt shot from 1 ft,2,91-89,,
9:01.0,,,91-89,,J. Smith misses 2-pt shot from 8 ft
9:00.0,,,91-89,,Offensive rebound by O. Porter
8:59.0,,,91-89,,Shooting foul by S. Dekker (drawn by O. Porter)
8:59.0,Official timeout,,91-89,,
8:59.0,,,91-90,1,O. Porter makes free throw 1 of 2
8:59.0,,,91-91,1,O. Porter makes free throw 2 of 2
8:59.0,T. Ariza enters the game for S. Dekker,,91-89,,
8:59.0,R. Anderson enters the game for K. McDaniels,,91-89,,
8:59.0,,,91-89,,M. Morris enters the game for K. Oubre
8:48.0,E. Gordon misses 3-pt shot from 27 ft,,91-91,,
8:47.0,,,91-91,,Defensive rebound by O. Porter
8:30.0,,,91-91,,Shooting foul by E. Gordon (drawn by O. Porter)
8:30.0,,,91-92,1,O. Porter makes free throw 1 of 2
8:30.0,,,91-93,1,O. Porter makes free throw 2 of 2
8:30.0,J. Harden enters the game for T. Ennis,,91-92,,
8:21.0,Turnover by J. Harden (palming),,91-93,,
8:02.0,,,91-93,,M. Thornton misses 3-pt shot from 23 ft
8:01.0,,,91-93,,Offensive rebound by M. Morris
7:37.0,,,91-93,,Offensive charge foul by M. Thornton
7:37.0,,,91-93,,Turnover by M. Thornton (offensive foul)
7:37.0,,,91-93,,J. Wall enters the game for T. Satoransky
7:37.0,,,91-93,,B. Beal enters the game for M. Thornton
7:21.0,J. Harden makes 3-pt shot from 26 ft,3,94-93,,
7:07.0,,,94-93,,Turnover by J. Smith (lost ball; steal by T. Ariza)
7:00.0,Turnover by T. Ariza (traveling),,94-93,,
6:45.0,,,94-95,2,M. Morris makes 2-pt shot from 17 ft (assist by J. Wall)
6:28.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,97-95,,
6:10.0,,,97-95,,O. Porter misses 2-pt shot from 21 ft
6:09.0,Defensive rebound by C. Capela,,97-95,,
6:01.0,Shooting foul by J. Smith (drawn by C. Capela),,97-95,,
6:01.0,C. Capela misses free throw 1 of 2,,97-95,,
6:01.0,Offensive rebound by Team,,97-95,,
6:01.0,C. Capela misses free throw 2 of 2,,97-95,,
6:01.0,,,97-95,,M. Gortat enters the game for J. Smith
6:00.0,,,97-95,,Defensive rebound by M. Morris
5:56.0,,,97-95,,Washington full timeout
5:56.0,N. Hilario enters the game for C. Capela,,97-95,,
5:41.0,,,97-95,,M. Gortat misses 2-pt shot from 14 ft (block by N. Hilario)
5:39.0,Defensive rebound by Team,,97-95,,
5:39.0,,,97-95,,Loose ball foul by M. Gortat (drawn by N. Hilario)
5:27.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,100-95,,
5:12.0,,,100-95,,Turnover by J. Wall (bad pass; steal by T. Ariza)
5:07.0,J. Harden makes 2-pt shot from 2 ft (assist by T. Ariza),2,102-95,,
5:07.0,,,102-95,,Washington full timeout
4:52.0,,,102-95,,Turnover by J. Wall (bad pass; steal by T. Ariza)
4:34.0,R. Anderson misses 3-pt shot from 28 ft,,102-95,,
4:33.0,,,102-95,,Defensive rebound by O. Porter
4:19.0,,,102-95,,M. Morris misses 2-pt shot from 8 ft
4:18.0,Defensive rebound by N. Hilario,,102-95,,
4:00.0,J. Harden makes 2-pt shot from 16 ft,2,104-95,,
3:48.0,,,104-95,,J. Wall misses 2-pt shot from 1 ft
3:47.0,Defensive rebound by N. Hilario,,104-95,,
3:43.0,Shooting foul by M. Gortat (drawn by J. Harden),,104-95,,
3:43.0,J. Harden makes free throw 1 of 2,1,105-95,,
3:43.0,J. Harden makes free throw 2 of 2,1,106-95,,
3:32.0,,,106-98,3,B. Beal makes 3-pt shot from 25 ft
3:07.0,J. Harden misses 3-pt shot from 26 ft,,106-98,,
3:05.0,Offensive rebound by R. Anderson,,106-98,,
3:02.0,R. Anderson misses 2-pt shot from 2 ft,,106-98,,
3:01.0,,,106-98,,Defensive rebound by J. Wall
2:59.0,,,106-100,2,O. Porter makes 2-pt shot from 1 ft (assist by M. Gortat)
2:34.0,J. Harden makes 2-pt shot from 3 ft,2,108-100,,
2:15.0,,,108-102,2,B. Beal makes 2-pt shot from 19 ft (assist by M. Gortat)
1:48.0,J. Harden misses 3-pt shot from 32 ft,,108-102,,
1:47.0,,,108-102,,Defensive rebound by M. Morris
1:42.0,Personal foul by T. Ariza (drawn by M. Gortat),,108-102,,
1:42.0,,,108-102,,M. Gortat misses free throw 1 of 2
1:42.0,,,108-102,,Offensive rebound by Team
1:42.0,,,108-102,,M. Gortat misses free throw 2 of 2
1:41.0,Defensive rebound by J. Harden,,108-102,,
1:27.0,R. Anderson makes 3-pt shot from 30 ft (assist by J. Harden),3,111-102,,
1:15.0,,,111-102,,B. Beal misses 3-pt shot from 26 ft
1:14.0,,,111-102,,Offensive rebound by O. Porter
0:57.0,,,111-102,,B. Beal misses 2-pt shot from 1 ft
0:55.0,,,111-102,,Offensive rebound by M. Morris
0:53.0,,,111-102,,M. Morris misses 2-pt shot from 3 ft
0:53.0,,,111-102,,Offensive rebound by M. Gortat
0:53.0,,,111-102,,Shooting foul by N. Hilario (drawn by M. Gortat)
0:53.0,,,111-103,1,M. Gortat makes free throw 1 of 2
