time,New York,pts.away,score,pts.home,Philadelphia
3:28.0,,,49-39,,J. Embiid enters the game for N. Noel
3:28.0,K. O'Quinn enters the game for B. Jennings,,49-39,,
3:23.0,C. Lee misses 2-pt shot from 9 ft,,49-39,,
3:21.0,,,49-39,,Defensive rebound by J. Embiid
3:14.0,,,49-39,,Turnover by S. Rodriguez (bad pass; steal by D. Rose)
3:10.0,Turnover by C. Lee (lost ball),,49-39,,
3:05.0,,,49-41,2,G. Henderson makes 2-pt shot at rim (assist by S. Rodriguez)
3:03.0,New York full timeout,,49-41,,
3:03.0,,,49-41,,T. McConnell enters the game for S. Rodriguez
2:39.0,Turnover by Team (shot clock),,49-41,,
2:19.0,,,49-41,,J. Embiid misses 2-pt shot from 10 ft
2:19.0,Defensive rebound by K. Porzingis,,49-41,,
2:19.0,,,49-41,,Loose ball foul by T. Luwawu-Cabarrot (drawn by K. Porzingis)
2:09.0,D. Rose misses 2-pt shot from 8 ft,,49-41,,
2:07.0,Offensive rebound by Team,,49-41,,
1:52.0,C. Anthony misses 3-pt shot from 25 ft,,49-41,,
1:50.0,,,49-41,,Defensive rebound by J. Embiid
1:41.0,,,49-41,,J. Embiid misses 2-pt shot from 11 ft
1:40.0,Defensive rebound by K. Porzingis,,49-41,,
1:34.0,Shooting foul by J. Embiid (drawn by D. Rose),,49-41,,
1:34.0,D. Rose misses free throw 1 of 2,,49-41,,
1:34.0,Offensive rebound by Team,,49-41,,
1:34.0,D. Rose makes free throw 2 of 2,1,50-41,,
1:17.0,,,50-43,2,J. Embiid makes 2-pt shot from 1 ft
0:54.0,K. O'Quinn misses 3-pt shot from 26 ft,,50-43,,
0:52.0,,,50-43,,Defensive rebound by E. Ilyasova
0:46.0,,,50-45,2,G. Henderson makes 2-pt shot from 9 ft (assist by E. Ilyasova)
0:35.0,C. Anthony makes 2-pt shot from 23 ft (assist by C. Lee),2,52-45,,
0:35.0,,,52-45,,Philadelphia full timeout
0:35.0,,,52-45,,N. Noel enters the game for J. Embiid
0:24.0,,,52-45,,Shooting foul by K. Porzingis (drawn by E. Ilyasova)
0:24.0,,,52-46,1,E. Ilyasova makes free throw 1 of 2
0:24.0,,,52-47,1,E. Ilyasova makes free throw 2 of 2
0:24.0,,,52-46,,R. Covington enters the game for T. Luwawu-Cabarrot
0:05.0,Turnover by K. Porzingis (bad pass),,52-47,,
0:05.0,L. Thomas enters the game for K. Porzingis,,52-47,,
0:00.0,,,52-47,,T. McConnell misses 2-pt shot from 6 ft
0:00.0,,,52-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,K. Porzingis misses 3-pt shot from 24 ft,,52-47,,
11:39.0,,,52-47,,Defensive rebound by J. Embiid
11:34.0,,,52-47,,Offensive foul by J. Embiid
11:34.0,,,52-47,,Turnover by J. Embiid (offensive foul)
11:18.0,D. Rose misses 2-pt shot from 6 ft,,52-47,,
11:17.0,,,52-47,,Defensive rebound by T. McConnell
11:06.0,,,52-47,,Shooting foul by C. Lee (drawn by E. Ilyasova)
11:06.0,,,52-48,1,E. Ilyasova makes free throw 1 of 2
11:06.0,,,52-49,1,E. Ilyasova makes free throw 2 of 2
10:45.0,C. Anthony misses 3-pt shot from 25 ft,,52-49,,
10:44.0,,,52-49,,Defensive rebound by J. Embiid
10:34.0,,,52-52,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Embiid)
10:07.0,C. Lee misses 3-pt shot from 27 ft,,52-52,,
10:06.0,,,52-52,,Defensive rebound by R. Covington
9:59.0,,,52-52,,J. Embiid misses 2-pt shot from 4 ft
9:58.0,,,52-52,,Offensive rebound by J. Embiid
9:56.0,,,52-52,,R. Covington misses 3-pt shot from 26 ft
9:53.0,,,52-52,,Offensive rebound by T. McConnell
9:52.0,,,52-52,,Turnover by T. McConnell (lost ball)
9:43.0,D. Rose misses 2-pt shot from 11 ft,,52-52,,
9:41.0,,,52-52,,Defensive rebound by E. Ilyasova
9:33.0,,,52-52,,E. Ilyasova misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by J. Noah,,52-52,,
9:16.0,Jump ball: J. Embiid vs. K. Porzingis (C. Lee gains possession),,,,Jump ball: J. Embiid vs. K. Porzingis (C. Lee gains possession)
9:09.0,K. Porzingis misses 3-pt shot from 25 ft,,52-52,,
9:07.0,,,52-52,,Defensive rebound by J. Embiid
8:50.0,,,52-52,,J. Embiid misses 2-pt shot at rim
8:48.0,Defensive rebound by C. Anthony,,52-52,,
8:43.0,C. Anthony makes 2-pt shot from 21 ft,2,54-52,,
8:34.0,,,54-55,3,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell)
8:14.0,Shooting foul by T. McConnell (drawn by D. Rose),,54-55,,
8:14.0,D. Rose makes free throw 1 of 2,1,55-55,,
8:14.0,D. Rose makes free throw 2 of 2,1,56-55,,
7:58.0,,,56-55,,Turnover by E. Ilyasova (bad pass; steal by K. Porzingis)
7:53.0,J. Noah misses 2-pt shot from 1 ft,,56-55,,
7:51.0,,,56-55,,Defensive rebound by J. Embiid
7:45.0,,,56-55,,R. Covington misses 3-pt shot from 25 ft
7:42.0,,,56-55,,Offensive rebound by N. Stauskas
7:39.0,,,56-57,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by N. Stauskas)
7:21.0,C. Anthony misses 2-pt shot from 12 ft,,56-57,,
7:20.0,,,56-57,,Defensive rebound by R. Covington
7:05.0,,,56-57,,E. Ilyasova misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by K. Porzingis,,56-57,,
6:50.0,C. Lee misses 3-pt shot from 25 ft,,56-57,,
6:49.0,Offensive rebound by J. Noah,,56-57,,
6:39.0,C. Anthony misses 2-pt shot from 1 ft,,56-57,,
6:37.0,Offensive rebound by C. Anthony,,56-57,,
6:35.0,C. Anthony misses 2-pt shot from 2 ft,,56-57,,
6:33.0,,,56-57,,Defensive rebound by T. McConnell
6:27.0,,,56-60,3,N. Stauskas makes 3-pt shot from 25 ft (assist by R. Covington)
6:26.0,New York full timeout,,56-60,,
6:26.0,,,56-60,,D. Saric enters the game for E. Ilyasova
6:26.0,,,56-60,,N. Noel enters the game for J. Embiid
6:26.0,K. O'Quinn enters the game for K. Porzingis,,56-60,,
6:26.0,L. Thomas enters the game for J. Noah,,56-60,,
6:09.0,C. Anthony makes 2-pt shot from 17 ft,2,58-60,,
5:45.0,,,58-62,2,T. McConnell makes 2-pt shot from 11 ft
5:26.0,C. Lee makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,60-62,,
5:10.0,,,60-62,,D. Saric misses 2-pt shot from 20 ft
5:09.0,Defensive rebound by K. O'Quinn,,60-62,,
5:02.0,,,60-62,,S. Rodriguez enters the game for T. McConnell
4:53.0,C. Anthony misses 2-pt shot from 12 ft,,60-62,,
4:50.0,,,60-62,,Defensive rebound by N. Noel
4:35.0,,,60-62,,R. Covington misses 2-pt shot from 8 ft
4:34.0,Defensive rebound by K. O'Quinn,,60-62,,
4:25.0,D. Rose makes 2-pt shot from 2 ft,2,62-62,,
4:15.0,Personal foul by L. Thomas (drawn by N. Stauskas),,62-62,,
4:15.0,,,62-62,,T. Luwawu-Cabarrot enters the game for N. Stauskas
4:15.0,,,62-62,,G. Henderson enters the game for R. Covington
4:04.0,,,62-62,,D. Saric misses 3-pt shot from 26 ft
4:03.0,,,62-62,,Offensive rebound by Team
4:03.0,Loose ball foul by L. Thomas (drawn by N. Noel),,62-62,,
3:47.0,,,62-62,,T. Luwawu-Cabarrot misses 2-pt shot from 8 ft
3:46.0,,,62-62,,Offensive rebound by T. Luwawu-Cabarrot
3:46.0,,,62-62,,Shooting foul by K. O'Quinn (drawn by T. Luwawu-Cabarrot)
3:46.0,,,62-62,,T. Luwawu-Cabarrot misses free throw 1 of 2
3:46.0,,,62-62,,Offensive rebound by Team
3:46.0,,,62-63,1,T. Luwawu-Cabarrot makes free throw 2 of 2
3:46.0,B. Jennings enters the game for D. Rose,,62-62,,
3:29.0,C. Anthony makes 2-pt shot from 18 ft,2,64-63,,
3:13.0,,,64-63,,Turnover by S. Rodriguez (bad pass; steal by K. O'Quinn)
3:00.0,C. Lee makes 2-pt shot from 1 ft,2,66-63,,
3:00.0,,,66-63,,Philadelphia full timeout
2:47.0,,,66-65,2,N. Noel makes 2-pt shot from 19 ft (assist by G. Henderson)
2:34.0,Turnover by B. Jennings (bad pass; steal by N. Noel),,66-65,,
2:34.0,Personal block foul by C. Lee (drawn by N. Noel),,66-65,,
2:34.0,,,66-66,1,N. Noel makes free throw 1 of 2
2:34.0,,,66-67,1,N. Noel makes free throw 2 of 2
2:09.0,C. Anthony makes 2-pt shot from 15 ft,2,68-67,,
1:52.0,,,68-67,,G. Henderson misses 2-pt shot from 3 ft
1:50.0,Defensive rebound by K. O'Quinn,,68-67,,
1:40.0,,,68-67,,Personal foul by T. Luwawu-Cabarrot (drawn by C. Lee)
1:40.0,J. Holiday enters the game for C. Lee,,68-67,,
1:30.0,C. Anthony makes 2-pt shot from 20 ft,2,70-67,,
1:20.0,,,70-67,,S. Rodriguez misses 3-pt shot from 27 ft
1:19.0,Defensive rebound by L. Thomas,,70-67,,
1:09.0,,,70-67,,Personal foul by G. Henderson (drawn by C. Anthony)
1:09.0,C. Anthony makes free throw 1 of 2,1,71-67,,
1:09.0,C. Anthony makes free throw 2 of 2,1,72-67,,
1:09.0,,,71-67,,J. Embiid enters the game for N. Noel
0:59.0,,,72-67,,Shooting foul by K. O'Quinn (drawn by J. Embiid)
0:59.0,,,72-68,1,J. Embiid makes free throw 1 of 2
0:59.0,,,72-69,1,J. Embiid makes free throw 2 of 2
0:59.0,J. Noah enters the game for K. O'Quinn,,72-68,,
0:43.0,J. Noah misses 2-pt shot from 2 ft,,72-69,,
0:41.0,,,72-69,,Defensive rebound by T. Luwawu-Cabarrot
0:34.0,,,72-71,2,T. Luwawu-Cabarrot makes 2-pt shot at rim (assist by S. Rodriguez)
0:16.0,C. Anthony makes 3-pt shot from 25 ft (assist by B. Jennings),3,75-71,,
0:01.0,,,75-71,,J. Embiid misses 2-pt shot from 2 ft (block by J. Noah)
0:00.0,Defensive rebound by L. Thomas,,75-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,75-71,,Turnover by E. Ilyasova (bad pass; steal by J. Noah)
11:29.0,J. Holiday makes 2-pt shot from 18 ft (assist by L. Thomas),2,77-71,,
11:03.0,,,77-71,,N. Stauskas misses 3-pt shot from 26 ft
11:02.0,Defensive rebound by Team,,77-71,,
10:50.0,,,77-71,,Personal foul by E. Ilyasova (drawn by K. Porzingis)
10:45.0,J. Holiday misses 2-pt shot from 16 ft,,77-71,,
10:43.0,,,77-71,,Defensive rebound by D. Saric
10:28.0,,,77-71,,E. Ilyasova misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by L. Thomas,,77-71,,
10:09.0,J. Noah makes 2-pt shot at rim (assist by J. Holiday),2,79-71,,
10:09.0,Shooting foul by N. Stauskas (drawn by J. Noah),,79-71,,
10:09.0,J. Noah makes free throw 1 of 1,1,80-71,,
10:09.0,,,79-71,,R. Covington enters the game for D. Saric
9:49.0,,,80-71,,J. Embiid misses 2-pt shot from 8 ft
9:47.0,,,80-71,,Offensive rebound by E. Ilyasova
9:47.0,,,80-71,,E. Ilyasova misses 2-pt shot at rim
9:46.0,Defensive rebound by L. Thomas,,80-71,,
9:41.0,Turnover by B. Jennings (bad pass; steal by R. Covington),,80-71,,
9:41.0,Personal foul by K. Porzingis (drawn by N. Stauskas),,80-71,,
9:20.0,,,80-71,,J. Embiid misses 2-pt shot from 19 ft
9:18.0,Defensive rebound by J. Noah,,80-71,,
9:07.0,L. Thomas misses 3-pt shot from 24 ft,,80-71,,
9:05.0,Offensive rebound by J. Noah,,80-71,,
8:50.0,B. Jennings makes 2-pt shot from 12 ft,2,82-71,,
8:49.0,,,82-71,,Philadelphia full timeout
8:49.0,,,82-71,,N. Noel enters the game for J. Embiid
8:38.0,,,82-71,,N. Stauskas misses 3-pt shot from 26 ft
8:36.0,,,82-71,,Offensive rebound by N. Noel
8:34.0,,,82-71,,N. Noel misses 2-pt shot from 1 ft
8:32.0,,,82-71,,Offensive rebound by N. Noel
8:32.0,,,82-71,,Turnover by N. Noel (lost ball)
8:18.0,J. Noah makes 2-pt shot from 2 ft (assist by B. Jennings),2,84-71,,
8:11.0,,,84-71,,Turnover by N. Stauskas (lost ball)
8:02.0,B. Jennings misses 2-pt shot from 1 ft,,84-71,,
8:01.0,,,84-71,,Defensive rebound by N. Noel
7:50.0,Personal foul by L. Thomas (drawn by T. McConnell),,84-71,,
7:40.0,,,84-71,,E. Ilyasova misses 3-pt shot from 29 ft
7:39.0,Defensive rebound by B. Jennings,,84-71,,
7:27.0,Turnover by J. Holiday (bad pass; steal by N. Noel),,84-71,,
7:20.0,,,84-73,2,T. McConnell makes 2-pt shot from 7 ft (assist by R. Covington)
7:00.0,L. Thomas misses 3-pt shot from 26 ft,,84-73,,
6:58.0,,,84-73,,Defensive rebound by N. Stauskas
6:51.0,,,84-75,2,E. Ilyasova makes 2-pt shot from 15 ft (assist by N. Stauskas)
6:50.0,New York full timeout,,84-75,,
6:50.0,C. Anthony enters the game for K. Porzingis,,84-75,,
6:50.0,K. O'Quinn enters the game for J. Noah,,84-75,,
6:50.0,C. Lee enters the game for J. Holiday,,84-75,,
6:50.0,D. Rose enters the game for L. Thomas,,84-75,,
6:50.0,,,84-75,,S. Rodriguez enters the game for T. McConnell
6:50.0,,,84-75,,D. Saric enters the game for E. Ilyasova
6:50.0,,,84-75,,G. Henderson enters the game for N. Stauskas
6:26.0,C. Anthony misses 2-pt shot from 16 ft,,84-75,,
6:25.0,Offensive rebound by Team,,84-75,,
6:21.0,Turnover by Team (shot clock),,84-75,,
