time,Chicago,pts.away,score,pts.home,Miami
4:39.0,,,66-65,2,H. Whiteside makes 2-pt shot from 8 ft (assist by D. Waiters)
4:10.0,D. McDermott misses 2-pt shot from 21 ft,,66-65,,
4:09.0,,,66-65,,Defensive rebound by J. Johnson
4:01.0,,,66-65,,Shooting foul by R. Lopez (drawn by H. Whiteside)
4:01.0,,,66-66,1,H. Whiteside makes free throw 1 of 2
4:01.0,,,66-67,1,H. Whiteside makes free throw 2 of 2
4:01.0,,,66-66,,J. Richardson enters the game for L. Babbitt
4:01.0,I. Canaan enters the game for R. Rondo,,66-66,,
3:42.0,R. Lopez misses 2-pt shot from 11 ft,,66-67,,
3:41.0,,,66-67,,Defensive rebound by H. Whiteside
3:32.0,,,66-67,,D. Waiters misses 2-pt shot from 18 ft
3:31.0,Defensive rebound by J. Butler,,66-67,,
3:24.0,I. Canaan misses 3-pt shot from 24 ft,,66-67,,
3:23.0,,,66-67,,Defensive rebound by H. Whiteside
3:13.0,,,66-70,3,J. Richardson makes 3-pt shot from 25 ft (assist by J. Johnson)
3:13.0,Chicago full timeout,,66-70,,
3:13.0,N. Mirotic enters the game for T. Gibson,,66-70,,
2:48.0,R. Lopez misses 2-pt shot from 8 ft,,66-70,,
2:47.0,,,66-70,,Defensive rebound by J. Johnson
2:37.0,,,66-70,,H. Whiteside misses 2-pt shot from 7 ft
2:36.0,Defensive rebound by N. Mirotic,,66-70,,
2:28.0,J. Butler misses 2-pt shot from 14 ft (block by J. Richardson),,66-70,,
2:27.0,Offensive rebound by Team,,66-70,,
2:27.0,D. Wade enters the game for I. Canaan,,66-70,,
2:14.0,Turnover by Team (shot clock),,66-70,,
1:52.0,,,66-70,,J. Johnson misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by D. Wade,,66-70,,
1:38.0,D. Wade misses 2-pt shot from 14 ft,,66-70,,
1:37.0,,,66-70,,Defensive rebound by T. Johnson
1:30.0,,,66-70,,Turnover by H. Whiteside (lost ball; steal by J. Butler)
1:25.0,D. McDermott makes 2-pt shot from 2 ft (assist by D. Wade),2,68-70,,
1:07.0,,,68-70,,T. Johnson misses 2-pt shot from 6 ft
1:06.0,Defensive rebound by R. Lopez,,68-70,,
0:54.0,R. Lopez makes 2-pt shot from 7 ft (assist by J. Butler),2,70-70,,
0:39.0,,,70-70,,J. Winslow enters the game for D. Waiters
0:39.0,,,70-70,,W. Reed enters the game for H. Whiteside
0:39.0,B. Portis enters the game for R. Lopez,,70-70,,
0:31.0,,,70-70,,J. Richardson misses 3-pt shot from 25 ft
0:30.0,,,70-70,,Offensive rebound by W. Reed
0:25.0,,,70-70,,W. Reed misses 2-pt shot from 2 ft
0:24.0,Defensive rebound by N. Mirotic,,70-70,,
0:03.0,D. Wade misses 3-pt shot from 25 ft,,70-70,,
0:02.0,,,70-70,,Defensive rebound by T. Johnson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,R. Rondo misses 2-pt shot from 22 ft,,70-70,,
11:36.0,Offensive rebound by Team,,70-70,,
11:36.0,Turnover by Team (shot clock),,70-70,,
11:12.0,,,70-73,3,T. Johnson makes 3-pt shot from 25 ft (assist by W. Reed)
10:55.0,N. Mirotic makes 3-pt shot from 26 ft (assist by R. Rondo),3,73-73,,
10:35.0,,,73-73,,J. Johnson misses 2-pt shot from 3 ft
10:34.0,,,73-73,,Offensive rebound by Team
10:22.0,,,73-73,,J. Johnson misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by R. Rondo,,73-73,,
10:03.0,D. Wade makes 2-pt shot from 20 ft,2,75-73,,
9:38.0,,,75-73,,J. Richardson misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by B. Portis,,75-73,,
9:27.0,D. Wade misses 2-pt shot from 20 ft,,75-73,,
9:26.0,,,75-73,,Defensive rebound by J. Johnson
9:19.0,,,75-73,,J. Winslow misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by D. McDermott,,75-73,,
9:07.0,R. Rondo makes 2-pt shot from 1 ft,2,77-73,,
8:48.0,Personal foul by N. Mirotic (drawn by J. Johnson),,77-73,,
8:48.0,Official timeout,,77-73,,
8:39.0,,,77-73,,Shooting foul by D. McDermott (drawn by T. Johnson)
8:39.0,,,77-74,1,T. Johnson makes free throw 1 of 2
8:39.0,,,77-74,,T. Johnson misses free throw 2 of 2
8:39.0,,,77-74,,D. Waiters enters the game for J. Johnson
8:38.0,Defensive rebound by N. Mirotic,,77-74,,
8:25.0,N. Mirotic misses 3-pt shot from 25 ft,,77-74,,
8:24.0,,,77-74,,Defensive rebound by W. Reed
8:09.0,,,77-74,,J. Winslow misses 2-pt shot from 14 ft
8:08.0,Defensive rebound by D. Wade,,77-74,,
8:00.0,D. Wade misses 2-pt shot from 3 ft,,77-74,,
7:59.0,,,77-74,,Defensive rebound by J. Winslow
7:49.0,,,77-76,2,D. Waiters makes 2-pt shot from 21 ft (assist by T. Johnson)
7:40.0,D. McDermott makes 2-pt shot from 21 ft,2,79-76,,
7:40.0,Shooting foul by J. Richardson (drawn by D. McDermott),,79-76,,
7:40.0,D. McDermott makes free throw 1 of 1,1,80-76,,
7:40.0,J. Butler enters the game for D. Wade,,79-76,,
7:40.0,,,79-76,,H. Whiteside enters the game for W. Reed
7:40.0,R. Lopez enters the game for B. Portis,,79-76,,
7:31.0,,,80-76,,D. Waiters misses 2-pt shot from 2 ft
7:30.0,,,80-76,,Offensive rebound by H. Whiteside
7:29.0,,,80-78,2,H. Whiteside makes 2-pt shot at rim
7:03.0,N. Mirotic makes 2-pt shot at rim (assist by R. Rondo),2,82-78,,
6:43.0,,,82-80,2,J. Winslow makes 2-pt shot from 1 ft (assist by D. Waiters)
6:20.0,N. Mirotic misses 2-pt shot from 2 ft (block by H. Whiteside),,82-80,,
6:19.0,,,82-80,,Defensive rebound by J. Winslow
6:13.0,,,82-82,2,J. Richardson makes 2-pt shot from 21 ft (assist by J. Winslow)
5:53.0,R. Rondo makes 2-pt shot from 2 ft,2,84-82,,
5:35.0,,,84-82,,T. Johnson misses 2-pt shot from 16 ft
5:34.0,Defensive rebound by R. Rondo,,84-82,,
5:21.0,R. Rondo misses 2-pt shot from 2 ft (block by H. Whiteside),,84-82,,
5:20.0,Offensive rebound by Team,,84-82,,
5:20.0,,,84-82,,Miami full timeout
5:15.0,J. Butler makes 2-pt shot from 10 ft (assist by R. Rondo),2,86-82,,
5:00.0,,,86-82,,J. Richardson misses 2-pt shot from 17 ft
4:59.0,,,86-82,,Offensive rebound by D. Waiters
4:58.0,,,86-82,,D. Waiters misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by Team,,86-82,,
4:56.0,,,86-82,,Loose ball foul by J. Richardson (drawn by J. Butler)
4:39.0,J. Butler misses 2-pt shot from 16 ft,,86-82,,
4:38.0,,,86-82,,Defensive rebound by T. Johnson
4:24.0,,,86-82,,D. Waiters misses 3-pt shot from 23 ft
4:23.0,Defensive rebound by R. Rondo,,86-82,,
4:02.0,J. Butler makes 2-pt shot from 18 ft,2,88-82,,
3:45.0,,,88-82,,H. Whiteside misses 2-pt shot from 3 ft
3:44.0,,,88-82,,Offensive rebound by Team
3:41.0,Loose ball foul by N. Mirotic (drawn by J. Richardson),,88-82,,
3:41.0,D. Wade enters the game for N. Mirotic,,88-82,,
3:36.0,,,88-82,,Shooting foul by R. Lopez (drawn by D. Waiters)
3:36.0,,,88-82,,D. Waiters misses free throw 1 of 2
3:36.0,,,88-82,,Offensive rebound by Team
3:36.0,,,88-83,1,D. Waiters makes free throw 2 of 2
3:19.0,R. Rondo misses 2-pt shot from 4 ft,,88-83,,
3:18.0,Offensive rebound by Team,,88-83,,
3:17.0,,,88-83,,Loose ball foul by H. Whiteside (drawn by J. Butler)
3:17.0,Chicago full timeout,,88-83,,
3:04.0,J. Butler misses 2-pt shot from 19 ft,,88-83,,
3:03.0,,,88-83,,Defensive rebound by D. Waiters
2:47.0,,,88-83,,Turnover by D. Waiters (bad pass)
2:32.0,D. Wade misses 2-pt shot from 13 ft,,88-83,,
2:31.0,,,88-83,,Defensive rebound by T. Johnson
2:20.0,,,88-83,,Shooting foul by D. Wade (drawn by T. Johnson)
2:20.0,,,88-83,,T. Johnson misses free throw 1 of 2
2:20.0,,,88-83,,Offensive rebound by Team
2:20.0,,,88-84,1,T. Johnson makes free throw 2 of 2
2:02.0,R. Lopez misses 2-pt shot from 2 ft,,88-84,,
2:01.0,Offensive rebound by R. Lopez,,88-84,,
2:00.0,R. Lopez misses 2-pt shot from 1 ft,,88-84,,
1:59.0,Offensive rebound by R. Rondo,,88-84,,
1:54.0,D. McDermott misses 3-pt shot from 25 ft,,88-84,,
1:53.0,Offensive rebound by R. Lopez,,88-84,,
1:52.0,R. Lopez makes 2-pt shot from 2 ft,2,90-84,,
1:36.0,,,90-87,3,J. Richardson makes 3-pt shot from 24 ft (assist by J. Winslow)
