time,LA Lakers,pts.away,score,pts.home,Toronto
7:14.0,,,4-12,,Shooting foul by T. Mozgov (drawn by K. Lowry)
7:14.0,LA Lakers full timeout,,4-12,,
7:14.0,,,4-13,1,K. Lowry makes free throw 1 of 1
7:00.0,J. Randle misses 2-pt shot from 3 ft,,4-13,,
6:59.0,,,4-13,,Defensive rebound by N. Powell
6:49.0,,,4-13,,N. Powell misses 3-pt shot from 27 ft
6:48.0,Defensive rebound by L. Deng,,4-13,,
6:39.0,Offensive charge foul by J. Randle,,4-13,,
6:39.0,Turnover by J. Randle (offensive foul),,4-13,,
6:39.0,J. Clarkson enters the game for B. Ingram,,4-13,,
6:25.0,,,4-13,,N. Powell misses 3-pt shot from 26 ft
6:25.0,Defensive rebound by J. Randle,,4-13,,
6:10.0,J. Randle misses 2-pt shot from 11 ft,,4-13,,
6:10.0,Offensive rebound by J. Calderon,,4-13,,
6:02.0,L. Deng misses 2-pt shot from 18 ft,,4-13,,
6:01.0,,,4-13,,Defensive rebound by D. DeRozan
5:48.0,,,4-15,2,N. Powell makes 2-pt shot at rim (assist by D. DeRozan)
5:28.0,J. Calderon makes 3-pt shot from 27 ft (assist by J. Randle),3,7-15,,
5:23.0,Personal foul by J. Clarkson (drawn by K. Lowry),,7-15,,
5:23.0,L. Williams enters the game for J. Calderon,,7-15,,
5:16.0,,,7-15,,J. Valanciunas misses 2-pt shot from 15 ft
5:16.0,Defensive rebound by J. Randle,,7-15,,
5:02.0,J. Clarkson misses 2-pt shot from 6 ft,,7-15,,
5:01.0,Offensive rebound by Team,,7-15,,
4:50.0,J. Clarkson misses 3-pt shot from 26 ft,,7-15,,
4:50.0,,,7-15,,Defensive rebound by P. Siakam
4:28.0,,,7-18,3,K. Lowry makes 3-pt shot from 25 ft
4:10.0,L. Williams makes 3-pt shot from 26 ft (assist by J. Randle),3,10-18,,
3:53.0,,,10-18,,K. Lowry misses 2-pt shot from 10 ft
3:52.0,Defensive rebound by L. Williams,,10-18,,
3:46.0,L. Williams misses 2-pt shot from 10 ft,,10-18,,
3:46.0,Offensive rebound by J. Randle,,10-18,,
3:41.0,J. Randle makes 2-pt shot from 1 ft,2,12-18,,
3:35.0,,,12-18,,Toronto full timeout
3:35.0,L. Nance enters the game for J. Randle,,12-18,,
3:35.0,T. Black enters the game for T. Mozgov,,12-18,,
3:35.0,,,12-18,,C. Joseph enters the game for P. Siakam
3:35.0,,,12-18,,P. Patterson enters the game for K. Lowry
3:24.0,,,12-18,,C. Joseph misses 3-pt shot from 24 ft
3:24.0,,,12-18,,Offensive rebound by P. Patterson
3:21.0,,,12-20,2,P. Patterson makes 2-pt shot from 2 ft
3:05.0,L. Nance makes 2-pt shot from 3 ft (assist by L. Williams),2,14-20,,
2:44.0,,,14-20,,D. DeRozan misses 2-pt shot from 15 ft
2:44.0,Defensive rebound by Team,,14-20,,
2:42.0,B. Ingram enters the game for L. Deng,,14-20,,
2:28.0,L. Williams misses 2-pt shot from 3 ft,,14-20,,
2:28.0,Offensive rebound by L. Nance,,14-20,,
2:19.0,T. Black misses 2-pt shot from 4 ft,,14-20,,
2:19.0,,,14-20,,Defensive rebound by P. Patterson
2:12.0,,,14-20,,Shooting foul by T. Black (drawn by J. Valanciunas)
2:12.0,,,14-21,1,J. Valanciunas makes free throw 1 of 2
2:12.0,,,14-22,1,J. Valanciunas makes free throw 2 of 2
2:12.0,,,14-21,,T. Ross enters the game for N. Powell
1:51.0,B. Ingram misses 2-pt shot from 6 ft,,14-22,,
1:51.0,Offensive rebound by T. Black,,14-22,,
1:50.0,T. Black makes 2-pt shot from 3 ft,2,16-22,,
1:50.0,Shooting foul by J. Valanciunas (drawn by T. Black),,16-22,,
1:50.0,T. Black makes free throw 1 of 1,1,17-22,,
1:50.0,,,16-22,,L. Nogueira enters the game for J. Valanciunas
1:39.0,,,17-22,,P. Patterson misses 3-pt shot from 26 ft
1:38.0,,,17-22,,Offensive rebound by L. Nogueira
1:30.0,,,17-22,,Shooting foul by T. Black (drawn by D. DeRozan)
1:30.0,,,17-23,1,D. DeRozan makes free throw 1 of 2
1:30.0,,,17-24,1,D. DeRozan makes free throw 2 of 2
1:20.0,Shooting foul by L. Nogueira,,17-24,,
1:20.0,L. Williams makes free throw 1 of 2,1,18-24,,
1:20.0,L. Williams makes free throw 2 of 2,1,19-24,,
1:08.0,,,19-26,2,L. Nogueira makes 2-pt shot at rim (assist by D. DeRozan)
0:55.0,,,19-26,,Def 3 sec tech foul by L. Nogueira
0:55.0,L. Williams misses technical free throw,,19-26,,
0:55.0,Offensive rebound by Team,,19-26,,
0:49.0,B. Ingram misses 2-pt shot from 11 ft,,19-26,,
0:48.0,Offensive rebound by T. Black,,19-26,,
0:47.0,T. Black misses 2-pt shot from 2 ft,,19-26,,
0:47.0,,,19-26,,Defensive rebound by P. Patterson
0:40.0,,,19-28,2,D. DeRozan makes 2-pt shot from 16 ft
0:32.0,B. Ingram makes 3-pt shot from 24 ft (assist by L. Williams),3,22-28,,
0:15.0,,,22-28,,P. Patterson misses 3-pt shot from 24 ft
0:15.0,Defensive rebound by L. Nance,,22-28,,
0:01.0,L. Williams misses 2-pt shot from 5 ft,,22-28,,
0:00.0,Offensive rebound by T. Black,,22-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,22-28,,Turnover by K. Lowry (bad pass; steal by J. Clarkson)
11:31.0,B. Ingram makes 2-pt shot from 4 ft (assist by L. Williams),2,24-28,,
11:23.0,,,24-30,2,C. Joseph makes 2-pt shot from 4 ft
11:03.0,J. Clarkson misses 2-pt shot from 7 ft,,24-30,,
11:02.0,Offensive rebound by T. Black,,24-30,,
11:02.0,Shooting foul by C. Joseph (drawn by T. Black),,24-30,,
11:02.0,T. Black misses free throw 1 of 2,,24-30,,
11:02.0,Offensive rebound by Team,,24-30,,
11:02.0,T. Black makes free throw 2 of 2,1,25-30,,
10:52.0,,,25-33,3,T. Ross makes 3-pt shot from 27 ft (assist by C. Joseph)
10:37.0,J. Clarkson makes 3-pt shot from 26 ft (assist by T. Black),3,28-33,,
10:18.0,,,28-33,,K. Lowry misses 3-pt shot from 27 ft
10:18.0,Defensive rebound by B. Ingram,,28-33,,
10:01.0,J. Clarkson misses 2-pt shot from 22 ft,,28-33,,
10:00.0,,,28-33,,Defensive rebound by P. Patterson
9:55.0,,,28-35,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
9:33.0,Turnover by L. Williams (step out of bounds),,28-35,,
9:20.0,,,28-38,3,T. Ross makes 3-pt shot from 26 ft (assist by K. Lowry)
9:01.0,Turnover by L. Williams (bad pass),,28-38,,
8:53.0,,,28-40,2,C. Joseph makes 2-pt shot from 3 ft
8:53.0,LA Lakers full timeout,,28-40,,
8:41.0,L. Williams misses 3-pt shot from 24 ft,,28-40,,
8:40.0,Offensive rebound by J. Clarkson,,28-40,,
8:32.0,B. Ingram makes 2-pt shot at rim (assist by J. Clarkson),2,30-40,,
8:14.0,,,30-42,2,L. Nogueira makes 2-pt shot from 2 ft (assist by T. Ross)
7:52.0,L. Nance misses 2-pt shot from 17 ft,,30-42,,
7:52.0,Offensive rebound by T. Black,,30-42,,
7:50.0,T. Black makes 2-pt shot at rim,2,32-42,,
7:30.0,,,32-45,3,K. Lowry makes 3-pt shot from 26 ft
7:09.0,J. Clarkson makes 3-pt shot from 26 ft (assist by B. Ingram),3,35-45,,
6:46.0,,,35-47,2,C. Joseph makes 2-pt shot from 4 ft (assist by K. Lowry)
6:39.0,,,35-47,,Violation by L. Nogueira (def goaltending)
6:39.0,L. Williams makes 2-pt shot from 4 ft,2,37-47,,
6:31.0,,,37-49,2,C. Joseph makes 2-pt shot from 20 ft
6:05.0,J. Clarkson makes 2-pt shot from 4 ft,2,39-49,,
5:48.0,,,39-51,2,L. Nogueira makes 2-pt shot from 5 ft (assist by K. Lowry)
5:34.0,J. Clarkson misses 3-pt shot from 27 ft,,39-51,,
5:34.0,,,39-51,,Defensive rebound by P. Patterson
5:28.0,Personal block foul by L. Williams,,39-51,,
5:28.0,Official timeout,,39-51,,
5:28.0,,,39-51,,D. DeRozan enters the game for C. Joseph
5:28.0,,,39-51,,N. Powell enters the game for T. Ross
5:28.0,J. Randle enters the game for T. Black,,39-51,,
5:28.0,L. Deng enters the game for L. Nance,,39-51,,
5:21.0,Personal foul by L. Williams,,39-51,,
5:17.0,,,39-53,2,N. Powell makes 2-pt shot from 2 ft (assist by K. Lowry)
5:04.0,J. Randle makes 2-pt shot from 14 ft (assist by L. Williams),2,41-53,,
4:49.0,,,41-53,,D. DeRozan misses 2-pt shot from 10 ft
4:48.0,Defensive rebound by J. Randle,,41-53,,
4:36.0,J. Randle misses 2-pt shot from 1 ft (block by L. Nogueira),,41-53,,
4:36.0,Offensive rebound by Team,,41-53,,
4:36.0,,,41-53,,J. Valanciunas enters the game for L. Nogueira
4:25.0,B. Ingram misses 3-pt shot from 25 ft,,41-53,,
4:24.0,,,41-53,,Defensive rebound by P. Patterson
4:12.0,,,41-55,2,D. DeRozan makes 2-pt shot from 1 ft
3:46.0,L. Williams makes 2-pt shot from 4 ft,2,43-55,,
3:42.0,,,43-55,,Turnover by K. Lowry (bad pass; steal by J. Clarkson)
3:36.0,J. Clarkson misses 2-pt shot from 3 ft,,43-55,,
3:36.0,,,43-55,,Defensive rebound by J. Valanciunas
3:27.0,,,43-58,3,K. Lowry makes 3-pt shot from 23 ft (assist by D. DeRozan)
3:26.0,LA Lakers full timeout,,43-58,,
3:15.0,Shooting foul by N. Powell (drawn by J. Clarkson),,43-58,,
3:15.0,J. Clarkson makes free throw 1 of 2,1,44-58,,
3:15.0,J. Clarkson makes free throw 2 of 2,1,45-58,,
2:59.0,,,45-58,,D. DeRozan misses 2-pt shot from 16 ft
2:59.0,Defensive rebound by J. Randle,,45-58,,
2:50.0,B. Ingram misses 3-pt shot from 25 ft,,45-58,,
2:50.0,,,45-58,,Defensive rebound by J. Valanciunas
2:39.0,,,45-61,3,K. Lowry makes 3-pt shot from 26 ft (assist by N. Powell)
2:22.0,J. Randle misses 2-pt shot from 3 ft (block by J. Valanciunas),,45-61,,
2:22.0,,,45-61,,Defensive rebound by J. Valanciunas
2:22.0,Personal foul by J. Randle (drawn by J. Valanciunas),,45-61,,
2:22.0,,,45-61,,Toronto full timeout
2:22.0,,,45-61,,Technical foul by J. Valanciunas
2:22.0,J. Clarkson makes technical free throw,1,46-61,,
2:22.0,T. Mozgov enters the game for B. Ingram,,45-61,,
2:22.0,,,45-61,,C. Joseph enters the game for K. Lowry
2:22.0,,,45-61,,P. Siakam enters the game for P. Patterson
2:11.0,,,46-63,2,D. DeRozan makes 2-pt shot from 18 ft
1:56.0,Turnover by J. Randle (bad pass),,46-63,,
1:42.0,,,46-65,2,P. Siakam makes 2-pt shot from 19 ft (assist by D. DeRozan)
1:30.0,,,46-65,,Shooting block foul by N. Powell
1:30.0,L. Williams makes free throw 1 of 2,1,47-65,,
1:30.0,L. Williams makes free throw 2 of 2,1,48-65,,
1:15.0,,,48-65,,D. DeRozan misses 2-pt shot from 21 ft
1:15.0,,,48-65,,Offensive rebound by J. Valanciunas
1:13.0,,,48-65,,J. Valanciunas misses 2-pt shot from 2 ft
1:13.0,Defensive rebound by T. Mozgov,,48-65,,
1:08.0,Turnover by L. Williams (lost ball; steal by D. DeRozan),,48-65,,
1:03.0,,,48-67,2,D. DeRozan makes 2-pt shot from 1 ft
0:45.0,T. Mozgov misses 2-pt shot from 9 ft,,48-67,,
0:44.0,,,48-67,,Defensive rebound by J. Valanciunas
0:28.0,,,48-67,,P. Siakam misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by T. Mozgov,,48-67,,
0:07.0,Turnover by J. Randle (traveling),,48-67,,
0:07.0,,,48-67,,Toronto full timeout
0:07.0,L. Nance enters the game for T. Mozgov,,48-67,,
0:07.0,,,48-67,,P. Patterson enters the game for P. Siakam
0:01.0,,,48-69,2,C. Joseph makes 2-pt shot from 20 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,48-69,,D. DeRozan misses 2-pt shot from 16 ft
11:47.0,Defensive rebound by J. Calderon,,48-69,,
11:23.0,B. Ingram makes 2-pt shot from 4 ft (assist by L. Deng),2,50-69,,
11:06.0,,,50-69,,D. DeRozan misses 3-pt shot from 24 ft
11:05.0,,,50-69,,Offensive rebound by P. Siakam
10:57.0,,,50-69,,Shooting foul by T. Mozgov (drawn by N. Powell)
10:57.0,,,50-69,,N. Powell misses free throw 1 of 2
10:57.0,,,50-69,,Offensive rebound by Team
10:57.0,,,50-69,,N. Powell misses free throw 2 of 2
10:55.0,Defensive rebound by B. Ingram,,50-69,,
10:30.0,J. Calderon misses 2-pt shot from 16 ft,,50-69,,
10:30.0,,,50-69,,Defensive rebound by K. Lowry
10:26.0,,,50-69,,Turnover by K. Lowry (bad pass)
10:15.0,L. Deng misses 3-pt shot from 25 ft,,50-69,,
10:14.0,,,50-69,,Defensive rebound by J. Valanciunas
9:55.0,,,50-71,2,D. DeRozan makes 2-pt shot from 19 ft
9:40.0,J. Calderon misses 2-pt shot from 19 ft,,50-71,,
9:40.0,Offensive rebound by T. Mozgov,,50-71,,
9:34.0,L. Deng makes 2-pt shot from 2 ft (assist by T. Mozgov),2,52-71,,
9:22.0,,,52-71,,Turnover by P. Siakam (bad pass; steal by L. Deng)
9:04.0,J. Randle makes 2-pt shot from 2 ft,2,54-71,,
8:41.0,,,54-74,3,K. Lowry makes 3-pt shot from 26 ft (assist by N. Powell)
8:22.0,Offensive foul by B. Ingram,,54-74,,
8:22.0,Turnover by B. Ingram (offensive foul),,54-74,,
8:03.0,,,54-74,,D. DeRozan misses 2-pt shot from 18 ft
8:02.0,Defensive rebound by J. Calderon,,54-74,,
7:50.0,L. Deng misses 2-pt shot from 6 ft,,54-74,,
7:50.0,Offensive rebound by J. Randle,,54-74,,
7:48.0,J. Randle makes 2-pt shot from 2 ft,2,56-74,,
7:38.0,,,56-76,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
7:28.0,L. Deng misses 3-pt shot from 26 ft,,56-76,,
7:28.0,Offensive rebound by L. Deng,,56-76,,
7:15.0,B. Ingram misses 3-pt shot from 25 ft,,56-76,,
7:15.0,,,56-76,,Defensive rebound by P. Siakam
7:03.0,,,56-76,,N. Powell misses 3-pt shot from 26 ft
7:02.0,Defensive rebound by L. Deng,,56-76,,
6:48.0,B. Ingram makes 2-pt shot from 14 ft,2,58-76,,
6:20.0,,,58-76,,Turnover by Team (shot clock)
5:57.0,Turnover by J. Calderon (bad pass; steal by P. Siakam),,58-76,,
5:53.0,,,58-78,2,N. Powell makes 2-pt shot at rim (assist by P. Siakam)
5:53.0,LA Lakers full timeout,,58-78,,
5:53.0,J. Clarkson enters the game for B. Ingram,,58-78,,
5:41.0,Turnover by J. Randle (traveling),,58-78,,
5:27.0,,,58-78,,Turnover by D. DeRozan (bad pass; steal by L. Deng)
5:17.0,T. Mozgov makes 2-pt shot from 20 ft (assist by J. Calderon),2,60-78,,
4:55.0,,,60-78,,N. Powell misses 3-pt shot from 26 ft
4:54.0,,,60-78,,Offensive rebound by D. DeRozan
4:50.0,,,60-78,,K. Lowry misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by Team,,60-78,,
4:48.0,T. Black enters the game for T. Mozgov,,60-78,,
4:22.0,J. Clarkson misses 3-pt shot from 32 ft,,60-78,,
4:21.0,,,60-78,,Defensive rebound by K. Lowry
4:14.0,,,60-78,,N. Powell misses 2-pt shot from 4 ft
4:13.0,Defensive rebound by J. Randle,,60-78,,
4:08.0,Turnover by J. Randle (bad pass; steal by K. Lowry),,60-78,,
4:07.0,Personal foul by J. Randle (drawn by K. Lowry),,60-78,,
4:07.0,,,60-78,,C. Joseph enters the game for K. Lowry
4:07.0,,,60-78,,P. Patterson enters the game for P. Siakam
3:57.0,,,60-78,,D. DeRozan misses 2-pt shot from 21 ft
3:57.0,Defensive rebound by J. Calderon,,60-78,,
3:41.0,T. Black misses 2-pt shot from 2 ft,,60-78,,
3:41.0,Offensive rebound by Team,,60-78,,
3:40.0,L. Nance enters the game for J. Randle,,60-78,,
3:40.0,L. Williams enters the game for J. Calderon,,60-78,,
3:33.0,Turnover by L. Williams (bad pass; steal by D. DeRozan),,60-78,,
3:20.0,,,60-80,2,N. Powell makes 2-pt shot from 12 ft
3:04.0,J. Clarkson misses 3-pt shot from 26 ft,,60-80,,
3:03.0,,,60-80,,Defensive rebound by J. Valanciunas
2:45.0,,,60-80,,C. Joseph misses 2-pt shot from 11 ft
2:45.0,Defensive rebound by L. Nance,,60-80,,
2:33.0,,,60-80,,Personal block foul by J. Valanciunas (drawn by J. Clarkson)
2:33.0,,,60-80,,Toronto full timeout
2:33.0,,,60-80,,L. Nogueira enters the game for N. Powell
2:33.0,,,60-80,,T. Ross enters the game for J. Valanciunas
2:33.0,B. Ingram enters the game for L. Deng,,60-80,,
2:23.0,T. Black misses 2-pt shot from 2 ft (block by P. Patterson),,60-80,,
2:23.0,Offensive rebound by Team,,60-80,,
2:19.0,L. Williams misses 3-pt shot from 26 ft,,60-80,,
2:19.0,Offensive rebound by Team,,60-80,,
2:19.0,Turnover by Team (shot clock),,60-80,,
2:02.0,,,60-80,,T. Ross misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by Team,,60-80,,
1:54.0,,,60-80,,Personal foul by T. Ross
1:47.0,J. Clarkson misses 2-pt shot from 5 ft (block by L. Nogueira),,60-80,,
1:46.0,,,60-80,,Defensive rebound by T. Ross
1:40.0,Personal foul by L. Williams,,60-80,,
1:26.0,,,60-80,,Shooting foul by T. Black (drawn by D. DeRozan)
1:26.0,,,60-81,1,D. DeRozan makes free throw 1 of 2
1:26.0,,,60-82,1,D. DeRozan makes free throw 2 of 2
1:14.0,L. Williams misses 2-pt shot from 11 ft,,60-82,,
1:14.0,Offensive rebound by L. Nance,,60-82,,
1:12.0,L. Nance misses 2-pt shot from 4 ft,,60-82,,
1:11.0,Offensive rebound by T. Black,,60-82,,
1:11.0,T. Black misses 2-pt shot from 4 ft,,60-82,,
1:10.0,,,60-82,,Defensive rebound by L. Nogueira
0:58.0,,,60-82,,D. DeRozan misses 2-pt shot from 14 ft
0:58.0,Defensive rebound by L. Nance,,60-82,,
0:46.0,L. Nance makes 2-pt shot at rim (assist by T. Black),2,62-82,,
0:32.0,,,62-82,,T. Ross misses 2-pt shot from 14 ft
0:32.0,Defensive rebound by B. Ingram,,62-82,,
0:13.0,L. Williams misses 3-pt shot from 25 ft,,62-82,,
0:13.0,,,62-82,,Defensive rebound by L. Nogueira
0:00.0,,,62-84,2,D. DeRozan makes 2-pt shot from 19 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Clarkson makes 3-pt shot from 28 ft,3,65-84,,
11:27.0,,,65-84,,C. Joseph misses 2-pt shot from 3 ft
11:27.0,Defensive rebound by B. Ingram,,65-84,,
11:20.0,B. Ingram makes 2-pt shot from 5 ft,2,67-84,,
11:05.0,,,67-84,,Shooting foul by L. Nance (drawn by L. Nogueira)
11:05.0,,,67-85,1,L. Nogueira makes free throw 1 of 2
11:05.0,,,67-86,1,L. Nogueira makes free throw 2 of 2
10:57.0,,,67-86,,Personal foul by P. Patterson (drawn by L. Nance)
10:41.0,B. Ingram misses 2-pt shot from 3 ft,,67-86,,
10:40.0,,,67-86,,Defensive rebound by C. Joseph
10:25.0,,,67-89,3,P. Patterson makes 3-pt shot from 24 ft (assist by C. Joseph)
10:13.0,,,67-89,,Personal foul by P. Patterson (drawn by T. Black)
10:09.0,Turnover by T. Black (bad pass; steal by L. Nogueira),,67-89,,
9:57.0,,,67-91,2,L. Nogueira makes 2-pt shot from 4 ft (assist by K. Lowry)
9:57.0,,,67-91,,Shooting foul by B. Ingram (drawn by L. Nogueira)
9:57.0,,,67-92,1,L. Nogueira makes free throw 1 of 1
9:57.0,T. Robinson enters the game for T. Black,,67-91,,
9:39.0,L. Williams misses 2-pt shot from 5 ft,,67-92,,
9:39.0,Offensive rebound by Team,,67-92,,
9:39.0,,,67-92,,Loose ball foul by L. Nogueira (drawn by T. Robinson)
9:23.0,Turnover by J. Clarkson (bad pass; steal by L. Nogueira),,67-92,,
9:19.0,,,67-92,,Turnover by T. Ross (bad pass)
9:00.0,L. Williams misses 3-pt shot from 25 ft,,67-92,,
9:00.0,Offensive rebound by T. Robinson,,67-92,,
8:54.0,J. Clarkson misses 3-pt shot from 26 ft,,67-92,,
8:53.0,,,67-92,,Defensive rebound by K. Lowry
8:41.0,,,67-94,2,C. Joseph makes 2-pt shot from 3 ft
8:27.0,L. Williams misses 3-pt shot from 27 ft,,67-94,,
8:27.0,Offensive rebound by T. Robinson,,67-94,,
8:20.0,J. Clarkson misses 3-pt shot from 26 ft,,67-94,,
8:19.0,,,67-94,,Defensive rebound by P. Patterson
8:00.0,,,67-94,,K. Lowry misses 3-pt shot from 27 ft
8:00.0,Defensive rebound by L. Nance,,67-94,,
7:42.0,L. Williams makes 2-pt shot from 21 ft,2,69-94,,
7:41.0,,,69-94,,Toronto full timeout
7:41.0,M. Huertas enters the game for L. Williams,,69-94,,
7:30.0,,,69-94,,Shooting foul by M. Huertas (drawn by K. Lowry)
7:30.0,,,69-96,2,K. Lowry makes 2-pt shot from 2 ft
7:30.0,,,69-97,1,K. Lowry makes free throw 1 of 1
7:22.0,,,69-97,,Personal foul by T. Ross (drawn by B. Ingram)
7:22.0,,,69-97,,N. Powell enters the game for K. Lowry
7:08.0,B. Ingram misses 2-pt shot from 5 ft,,69-97,,
7:06.0,Offensive rebound by B. Ingram,,69-97,,
7:06.0,B. Ingram makes 2-pt shot from 3 ft,2,71-97,,
6:55.0,,,71-99,2,C. Joseph makes 2-pt shot from 9 ft
6:28.0,T. Robinson misses 2-pt shot from 13 ft,,71-99,,
6:28.0,Offensive rebound by Team,,71-99,,
6:28.0,Turnover by Team (shot clock),,71-99,,
6:25.0,,,71-99,,Turnover by P. Patterson (bad pass; steal by M. Huertas)
6:19.0,M. Huertas makes 2-pt shot from 1 ft,2,73-99,,
6:05.0,,,73-101,2,N. Powell makes 2-pt shot from 2 ft (assist by C. Joseph)
5:55.0,L. Nance makes 2-pt shot at rim (assist by M. Huertas),2,75-101,,
5:38.0,Personal foul by J. Clarkson (drawn by C. Joseph),,75-101,,
5:38.0,Official timeout,,75-101,,
5:38.0,,,75-101,,P. Siakam enters the game for P. Patterson
5:38.0,,,75-101,,J. Poeltl enters the game for L. Nogueira
5:38.0,M. World Peace enters the game for J. Clarkson,,75-101,,
5:28.0,,,75-101,,T. Ross misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by M. Huertas,,75-101,,
5:09.0,M. Huertas misses 3-pt shot from 25 ft,,75-101,,
5:09.0,,,75-101,,Defensive rebound by C. Joseph
4:57.0,,,75-104,3,N. Powell makes 3-pt shot from 24 ft (assist by C. Joseph)
4:39.0,T. Robinson makes 2-pt shot from 5 ft (assist by B. Ingram),2,77-104,,
4:39.0,Shooting foul by J. Poeltl (drawn by T. Robinson),,77-104,,
4:39.0,T. Robinson misses free throw 1 of 1,,77-104,,
4:38.0,,,77-104,,Defensive rebound by J. Poeltl
4:16.0,,,77-106,2,P. Siakam makes 2-pt shot from 6 ft (assist by J. Poeltl)
3:59.0,L. Nance misses 2-pt shot from 6 ft,,77-106,,
3:59.0,,,77-106,,Defensive rebound by N. Powell
3:51.0,,,77-106,,T. Ross misses 3-pt shot from 26 ft
3:51.0,Defensive rebound by T. Robinson,,77-106,,
3:45.0,T. Robinson makes 2-pt shot from 6 ft,2,79-106,,
3:45.0,Shooting foul by P. Siakam (drawn by T. Robinson),,79-106,,
3:45.0,T. Robinson misses free throw 1 of 1,,79-106,,
3:45.0,,,79-106,,B. Caboclo enters the game for T. Ross
3:45.0,,,79-106,,F. VanVleet enters the game for C. Joseph
3:44.0,,,79-106,,Defensive rebound by J. Poeltl
3:31.0,,,79-106,,Turnover by F. VanVleet (lost ball)
3:26.0,Turnover by T. Robinson (lost ball; steal by F. VanVleet),,79-106,,
3:14.0,,,79-106,,B. Caboclo misses 3-pt shot from 23 ft
3:13.0,,,79-106,,Offensive rebound by N. Powell
2:56.0,,,79-106,,F. VanVleet misses 3-pt shot from 27 ft
2:55.0,Defensive rebound by Team,,79-106,,
2:55.0,LA Lakers full timeout,,79-106,,
2:55.0,J. Calderon enters the game for B. Ingram,,79-106,,
2:41.0,Shooting foul by F. VanVleet (drawn by M. Huertas),,79-106,,
2:41.0,M. Huertas misses free throw 1 of 2,,79-106,,
2:41.0,Offensive rebound by Team,,79-106,,
2:41.0,M. Huertas makes free throw 2 of 2,1,80-106,,
2:41.0,T. Black enters the game for L. Nance,,79-106,,
2:19.0,,,80-106,,J. Poeltl misses 2-pt shot from 2 ft
