time,Toronto,pts.away,score,pts.home,LA Lakers
7:28.0,Defensive rebound by J. Valanciunas,,13-10,,
7:19.0,J. Valanciunas makes 2-pt shot from 11 ft (assist by K. Lowry),2,15-10,,
7:07.0,,,15-10,,L. Deng misses 2-pt shot from 22 ft
7:06.0,Defensive rebound by J. Valanciunas,,15-10,,
6:56.0,P. Siakam misses 2-pt shot from 10 ft,,15-10,,
6:53.0,,,15-10,,Defensive rebound by J. Randle
6:49.0,,,15-10,,Shooting foul by P. Siakam (drawn by J. Randle)
6:49.0,,,15-11,1,J. Randle makes free throw 1 of 2
6:49.0,,,15-12,1,J. Randle makes free throw 2 of 2
6:34.0,K. Lowry makes 2-pt shot from 8 ft,2,17-12,,
6:22.0,,,17-15,3,D. Russell makes 3-pt shot from 26 ft
6:09.0,Turnover by K. Lowry (bad pass),,17-15,,
6:03.0,,,17-18,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
5:56.0,Toronto full timeout,,17-18,,
5:56.0,T. Ross enters the game for D. Carroll,,17-18,,
5:56.0,L. Nogueira enters the game for P. Siakam,,17-18,,
5:55.0,Turnover by T. Ross (bad pass),,17-18,,
5:35.0,,,17-18,,Shooting foul by T. Ross (drawn by J. Randle)
5:35.0,,,17-18,,J. Randle misses free throw 1 of 2
5:35.0,,,17-18,,Offensive rebound by Team
5:35.0,,,17-19,1,J. Randle makes free throw 2 of 2
5:35.0,,,17-18,,T. Black enters the game for T. Mozgov
5:15.0,D. DeRozan makes 2-pt shot from 15 ft (assist by K. Lowry),2,19-19,,
5:04.0,,,19-19,,D. Russell misses 2-pt shot from 17 ft
5:02.0,Defensive rebound by L. Nogueira,,19-19,,
4:50.0,K. Lowry misses 2-pt shot from 2 ft,,19-19,,
4:47.0,Offensive rebound by J. Valanciunas,,19-19,,
4:47.0,L. Nogueira misses 2-pt shot from 1 ft,,19-19,,
4:45.0,,,19-19,,Defensive rebound by T. Black
4:34.0,,,19-19,,N. Young misses 3-pt shot from 24 ft
4:32.0,,,19-19,,Offensive rebound by T. Black
4:27.0,,,19-19,,L. Deng misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by K. Lowry,,19-19,,
4:19.0,T. Ross misses 3-pt shot from 24 ft,,19-19,,
4:17.0,,,19-19,,Defensive rebound by N. Young
4:13.0,,,19-19,,D. Russell misses 3-pt shot from 25 ft
4:11.0,,,19-19,,Offensive rebound by L. Deng
4:09.0,,,19-21,2,L. Deng makes 2-pt shot from 1 ft
3:51.0,K. Lowry makes 3-pt shot from 26 ft (assist by L. Nogueira),3,22-21,,
3:30.0,,,22-21,,Turnover by J. Randle (bad pass; steal by J. Valanciunas)
3:18.0,T. Ross makes 2-pt shot from 19 ft,2,24-21,,
3:18.0,,,24-21,,LA Lakers full timeout
3:18.0,C. Joseph enters the game for J. Valanciunas,,24-21,,
3:18.0,D. Carroll enters the game for K. Lowry,,24-21,,
3:18.0,,,24-21,,L. Williams enters the game for L. Deng
3:18.0,,,24-21,,B. Ingram enters the game for J. Randle
3:18.0,,,24-21,,T. Robinson enters the game for D. Russell
3:03.0,,,24-23,2,L. Williams makes 2-pt shot from 1 ft
2:49.0,D. DeRozan misses 2-pt shot from 19 ft,,24-23,,
2:46.0,,,24-23,,Defensive rebound by T. Black
2:39.0,,,24-23,,J. Clarkson enters the game for N. Young
2:32.0,,,24-23,,Shooting foul by D. Carroll (drawn by T. Black)
2:32.0,,,24-24,1,T. Black makes free throw 1 of 2
2:32.0,,,24-25,1,T. Black makes free throw 2 of 2
2:12.0,T. Ross misses 2-pt shot from 20 ft,,24-25,,
2:09.0,,,24-25,,Defensive rebound by B. Ingram
2:05.0,Personal foul by L. Nogueira (drawn by T. Black),,24-25,,
2:05.0,,,24-26,1,T. Black makes free throw 1 of 2
2:05.0,,,24-27,1,T. Black makes free throw 2 of 2
2:05.0,N. Powell enters the game for D. Carroll,,24-26,,
1:52.0,Shooting foul by T. Black (drawn by D. DeRozan),,24-27,,
1:52.0,D. DeRozan misses free throw 1 of 2,,24-27,,
1:52.0,Offensive rebound by Team,,24-27,,
1:52.0,D. DeRozan makes free throw 2 of 2,1,25-27,,
1:41.0,,,25-27,,L. Williams misses 2-pt shot from 3 ft (block by L. Nogueira)
1:38.0,,,25-27,,Offensive rebound by B. Ingram
1:33.0,,,25-27,,L. Williams misses 3-pt shot from 23 ft
1:32.0,Defensive rebound by L. Nogueira,,25-27,,
1:24.0,C. Joseph makes 2-pt shot from 21 ft,2,27-27,,
1:13.0,,,27-29,2,T. Black makes 2-pt shot at rim (assist by J. Clarkson)
0:59.0,D. DeRozan misses 2-pt shot from 19 ft,,27-29,,
0:57.0,,,27-29,,Defensive rebound by T. Black
0:49.0,,,27-29,,J. Clarkson misses 3-pt shot from 25 ft
0:48.0,,,27-29,,Offensive rebound by T. Robinson
0:47.0,,,27-31,2,T. Robinson makes 2-pt shot from 1 ft
0:39.0,D. DeRozan misses 2-pt shot from 10 ft,,27-31,,
0:37.0,,,27-31,,Defensive rebound by J. Clarkson
0:31.0,,,27-31,,L. Williams misses 3-pt shot from 24 ft
0:28.0,,,27-31,,Offensive rebound by T. Black
0:28.0,,,27-31,,T. Black misses 2-pt shot from 2 ft (block by D. DeRozan)
0:28.0,,,27-31,,Offensive rebound by T. Robinson
0:25.0,,,27-33,2,T. Robinson makes 2-pt shot from 2 ft
0:02.0,T. Ross misses 3-pt shot from 25 ft,,27-33,,
0:00.0,,,27-33,,Defensive rebound by T. Robinson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,27-33,,T. Black misses 2-pt shot from 4 ft
11:39.0,,,27-33,,Offensive rebound by T. Black
11:37.0,,,27-33,,T. Black misses 2-pt shot from 2 ft
11:34.0,,,27-33,,Offensive rebound by T. Robinson
11:34.0,,,27-35,2,T. Robinson makes 2-pt shot at rim
11:15.0,C. Joseph misses 3-pt shot from 23 ft,,27-35,,
11:14.0,Offensive rebound by P. Siakam,,27-35,,
11:14.0,Shooting foul by T. Black (drawn by P. Siakam),,27-35,,
11:14.0,P. Siakam makes free throw 1 of 2,1,28-35,,
11:14.0,P. Siakam misses free throw 2 of 2,,28-35,,
11:10.0,,,28-35,,Defensive rebound by T. Black
10:59.0,,,28-35,,T. Robinson misses 2-pt shot from 4 ft
10:57.0,Defensive rebound by P. Siakam,,28-35,,
10:51.0,P. Siakam misses 2-pt shot from 7 ft,,28-35,,
10:48.0,,,28-35,,Defensive rebound by T. Black
10:40.0,,,28-37,2,B. Ingram makes 2-pt shot from 12 ft (assist by L. Williams)
10:29.0,L. Nogueira makes 2-pt shot from 2 ft (assist by C. Joseph),2,30-37,,
10:23.0,,,30-39,2,J. Clarkson makes 2-pt shot from 2 ft
10:23.0,,,30-39,,Shooting foul by T. Ross (drawn by J. Clarkson)
10:23.0,,,30-39,,J. Clarkson misses free throw 1 of 1
10:23.0,,,30-39,,J. Randle enters the game for T. Black
10:23.0,J. Valanciunas enters the game for L. Nogueira,,30-39,,
10:22.0,Defensive rebound by P. Siakam,,30-39,,
10:01.0,Turnover by C. Joseph (bad pass; steal by T. Robinson),,30-39,,
9:51.0,,,30-42,3,L. Williams makes 3-pt shot from 25 ft (assist by J. Randle)
9:49.0,Toronto full timeout,,30-42,,
9:49.0,N. Powell enters the game for T. Ross,,30-42,,
9:43.0,Turnover by C. Joseph (bad pass),,30-42,,
9:20.0,,,30-42,,Turnover by J. Randle (lost ball; steal by N. Powell)
9:15.0,N. Powell makes 2-pt shot at rim,2,32-42,,
9:02.0,,,32-42,,Turnover by J. Clarkson (lost ball)
8:47.0,K. Lowry misses 3-pt shot from 25 ft,,32-42,,
8:44.0,,,32-42,,Defensive rebound by J. Randle
8:33.0,,,32-42,,L. Williams misses 2-pt shot from 4 ft
8:33.0,,,32-42,,Offensive rebound by Team
8:33.0,,,32-42,,Shooting foul by K. Lowry (drawn by J. Randle)
8:33.0,,,32-43,1,J. Randle makes free throw 1 of 2
8:33.0,,,32-44,1,J. Randle makes free throw 2 of 2
8:33.0,,,32-43,,T. Mozgov enters the game for T. Robinson
8:11.0,C. Joseph misses 2-pt shot from 6 ft (block by T. Mozgov),,32-44,,
8:11.0,Offensive rebound by Team,,32-44,,
8:11.0,,,32-44,,Loose ball foul by J. Randle (drawn by P. Siakam)
8:05.0,Shooting foul by T. Mozgov (drawn by J. Valanciunas),,32-44,,
8:05.0,J. Valanciunas makes free throw 1 of 2,1,33-44,,
8:05.0,J. Valanciunas makes free throw 2 of 2,1,34-44,,
7:58.0,Personal foul by P. Siakam (drawn by J. Randle),,34-44,,
7:43.0,,,34-44,,J. Randle misses 2-pt shot from 6 ft
7:43.0,,,34-44,,Offensive rebound by Team
7:43.0,Loose ball foul by K. Lowry (drawn by T. Mozgov),,34-44,,
7:37.0,,,34-44,,J. Randle misses 2-pt shot from 3 ft (block by P. Siakam)
7:36.0,,,34-44,,Offensive rebound by J. Randle
7:34.0,,,34-44,,B. Ingram misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by Team,,34-44,,
7:21.0,Shooting foul by B. Ingram (drawn by K. Lowry),,34-44,,
7:21.0,K. Lowry makes free throw 1 of 3,1,35-44,,
7:21.0,K. Lowry makes free throw 2 of 3,1,36-44,,
7:21.0,K. Lowry makes free throw 3 of 3,1,37-44,,
7:21.0,,,36-44,,N. Young enters the game for B. Ingram
7:06.0,,,37-44,,L. Williams misses 2-pt shot from 3 ft (block by P. Siakam)
7:04.0,Defensive rebound by K. Lowry,,37-44,,
7:01.0,K. Lowry makes 2-pt shot at rim,2,39-44,,
7:01.0,,,39-44,,LA Lakers full timeout
7:01.0,,,39-44,,L. Deng enters the game for L. Williams
7:01.0,,,39-44,,D. Russell enters the game for J. Clarkson
6:48.0,,,39-44,,N. Young misses 2-pt shot from 19 ft
6:46.0,Defensive rebound by K. Lowry,,39-44,,
6:38.0,K. Lowry makes 2-pt shot from 3 ft (assist by C. Joseph),2,41-44,,
6:38.0,Shooting foul by N. Young (drawn by K. Lowry),,41-44,,
6:38.0,K. Lowry makes free throw 1 of 1,1,42-44,,
6:21.0,,,42-44,,Shooting foul by C. Joseph (drawn by D. Russell)
6:21.0,,,42-45,1,D. Russell makes free throw 1 of 2
6:21.0,,,42-46,1,D. Russell makes free throw 2 of 2
6:07.0,K. Lowry makes 2-pt shot from 20 ft,2,44-46,,
5:55.0,Violation by P. Siakam (kicked ball),,44-46,,
5:55.0,D. DeRozan enters the game for C. Joseph,,44-46,,
5:47.0,,,44-49,3,N. Young makes 3-pt shot from 24 ft (assist by J. Randle)
5:33.0,P. Siakam misses 2-pt shot from 15 ft,,44-49,,
5:32.0,,,44-49,,Defensive rebound by T. Mozgov
5:15.0,,,44-49,,D. Russell misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by J. Valanciunas,,44-49,,
5:04.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,46-49,,
4:49.0,,,46-49,,Shooting foul by J. Valanciunas (drawn by D. Russell)
4:49.0,,,46-50,1,D. Russell makes free throw 1 of 2
4:49.0,,,46-51,1,D. Russell makes free throw 2 of 2
4:37.0,Turnover by P. Siakam (lost ball; steal by N. Young),,46-51,,
4:31.0,,,46-51,,Turnover by N. Young (lost ball; steal by N. Powell)
4:23.0,Turnover by D. DeRozan (bad pass; steal by T. Mozgov),,46-51,,
4:20.0,,,46-51,,Turnover by T. Mozgov (bad pass; steal by D. DeRozan)
4:13.0,N. Powell misses 3-pt shot from 27 ft,,46-51,,
4:12.0,,,46-51,,Defensive rebound by L. Deng
4:04.0,,,46-53,2,T. Mozgov makes 2-pt shot from 1 ft (assist by L. Deng)
3:56.0,Toronto full timeout,,46-53,,
3:56.0,D. Carroll enters the game for N. Powell,,46-53,,
3:44.0,D. DeRozan misses 2-pt shot from 6 ft,,46-53,,
3:41.0,,,46-53,,Defensive rebound by J. Randle
3:27.0,,,46-53,,N. Young misses 2-pt shot from 18 ft
3:25.0,Defensive rebound by K. Lowry,,46-53,,
3:20.0,K. Lowry makes 3-pt shot from 25 ft,3,49-53,,
3:05.0,,,49-53,,D. Russell misses 3-pt shot from 29 ft
3:04.0,Defensive rebound by D. DeRozan,,49-53,,
2:47.0,D. DeRozan misses 2-pt shot from 9 ft,,49-53,,
2:46.0,,,49-53,,Defensive rebound by J. Randle
2:28.0,,,49-53,,T. Mozgov misses 2-pt shot from 2 ft
2:27.0,Defensive rebound by P. Siakam,,49-53,,
2:24.0,Shooting foul by L. Deng (drawn by D. DeRozan),,49-53,,
2:24.0,Official timeout,,49-53,,
2:24.0,D. DeRozan makes free throw 1 of 2,1,50-53,,
2:24.0,D. DeRozan makes free throw 2 of 2,1,51-53,,
2:24.0,C. Joseph enters the game for J. Valanciunas,,49-53,,
2:24.0,L. Nogueira enters the game for K. Lowry,,49-53,,
2:09.0,,,51-55,2,T. Mozgov makes 2-pt shot at rim (assist by J. Randle)
1:46.0,C. Joseph makes 2-pt shot from 10 ft,2,53-55,,
1:32.0,,,53-55,,J. Randle misses 2-pt shot from 4 ft
1:31.0,Defensive rebound by C. Joseph,,53-55,,
1:21.0,D. DeRozan makes 2-pt shot from 15 ft,2,55-55,,
1:06.0,,,55-57,2,D. Russell makes 2-pt shot from 2 ft
0:50.0,,,55-57,,Flagrant foul type 1 by T. Mozgov (drawn by D. DeRozan)
0:50.0,D. DeRozan makes flagrant free throw 1 of 2,1,56-57,,
0:50.0,D. DeRozan makes flagrant free throw 2 of 2,1,57-57,,
0:44.0,Shooting foul by N. Young (drawn by D. DeRozan),,57-57,,
0:44.0,D. DeRozan makes free throw 1 of 2,1,58-57,,
0:44.0,D. DeRozan misses free throw 2 of 2,,58-57,,
0:44.0,,,58-57,,Defensive rebound by T. Mozgov
0:44.0,,,58-57,,B. Ingram enters the game for N. Young
0:19.0,,,58-57,,B. Ingram misses 3-pt shot from 25 ft (block by D. Carroll)
0:17.0,Defensive rebound by P. Siakam,,58-57,,
0:03.0,D. DeRozan misses 2-pt shot from 17 ft,,58-57,,
0:01.0,,,58-57,,Defensive rebound by L. Deng
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,58-57,,Shooting foul by P. Siakam (drawn by J. Randle)
11:39.0,,,58-58,1,J. Randle makes free throw 1 of 2
11:39.0,,,58-59,1,J. Randle makes free throw 2 of 2
11:15.0,J. Valanciunas makes 2-pt shot from 5 ft,2,60-59,,
11:00.0,,,60-59,,T. Mozgov misses 2-pt shot from 15 ft
10:59.0,Defensive rebound by P. Siakam,,60-59,,
10:49.0,D. DeRozan makes 2-pt shot from 20 ft,2,62-59,,
10:31.0,,,62-61,2,N. Young makes 2-pt shot from 20 ft (assist by J. Randle)
10:13.0,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry),2,64-61,,
9:54.0,,,64-64,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
9:37.0,D. DeRozan misses 2-pt shot from 21 ft,,64-64,,
9:35.0,,,64-64,,Defensive rebound by N. Young
9:24.0,,,64-64,,D. Russell misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by J. Valanciunas,,64-64,,
9:16.0,D. Carroll misses 3-pt shot from 25 ft,,64-64,,
9:15.0,,,64-64,,Defensive rebound by D. Russell
9:05.0,,,64-66,2,D. Russell makes 2-pt shot from 15 ft
8:47.0,D. DeRozan misses 2-pt shot from 14 ft,,64-66,,
8:45.0,,,64-66,,Defensive rebound by D. Russell
8:41.0,,,64-66,,D. Russell misses 2-pt shot from 12 ft
8:39.0,,,64-66,,Offensive rebound by D. Russell
8:35.0,,,64-66,,L. Deng misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by J. Valanciunas,,64-66,,
8:23.0,K. Lowry misses 2-pt shot from 1 ft,,64-66,,
8:22.0,Offensive rebound by Team,,64-66,,
8:06.0,D. DeRozan misses 2-pt shot from 22 ft,,64-66,,
8:05.0,,,64-66,,Defensive rebound by T. Mozgov
7:56.0,,,64-69,3,N. Young makes 3-pt shot from 25 ft (assist by J. Randle)
7:45.0,Toronto full timeout,,64-69,,
7:34.0,J. Valanciunas makes 2-pt shot from 11 ft (assist by K. Lowry),2,66-69,,
7:16.0,Personal foul by D. Carroll (drawn by T. Mozgov),,66-69,,
7:10.0,,,66-72,3,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle)
6:52.0,D. DeRozan misses 2-pt shot from 5 ft,,66-72,,
6:49.0,,,66-72,,Defensive rebound by J. Randle
6:45.0,,,66-72,,D. Russell misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by P. Siakam,,66-72,,
6:40.0,Offensive foul by D. Carroll,,66-72,,
6:40.0,Turnover by D. Carroll (offensive foul),,66-72,,
6:40.0,T. Ross enters the game for D. Carroll,,66-72,,
6:24.0,,,66-72,,J. Randle misses 2-pt shot from 4 ft
6:24.0,Defensive rebound by K. Lowry,,66-72,,
6:23.0,,,66-72,,Personal take foul by D. Russell (drawn by K. Lowry)
6:12.0,Turnover by K. Lowry (bad pass; steal by J. Randle),,66-72,,
6:03.0,,,66-72,,N. Young misses 2-pt shot from 8 ft
6:02.0,Defensive rebound by J. Valanciunas,,66-72,,
5:52.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,69-72,,
5:51.0,,,69-72,,LA Lakers full timeout
5:51.0,,,69-72,,T. Robinson enters the game for T. Mozgov
5:41.0,Personal foul by K. Lowry (drawn by N. Young),,69-72,,
5:30.0,,,69-72,,L. Deng misses 2-pt shot from 16 ft
5:27.0,Defensive rebound by J. Valanciunas,,69-72,,
5:16.0,J. Valanciunas makes 2-pt shot from 10 ft (assist by K. Lowry),2,71-72,,
4:52.0,,,71-72,,L. Deng misses 2-pt shot from 3 ft (block by P. Siakam)
4:51.0,Defensive rebound by T. Ross,,71-72,,
4:49.0,Turnover by K. Lowry (bad pass),,71-72,,
4:49.0,,,71-72,,B. Ingram enters the game for L. Deng
4:49.0,,,71-72,,L. Williams enters the game for N. Young
4:49.0,,,71-72,,J. Clarkson enters the game for D. Russell
4:30.0,,,71-72,,J. Randle misses 2-pt shot from 10 ft
4:27.0,,,71-72,,Offensive rebound by T. Robinson
4:27.0,,,71-74,2,T. Robinson makes 2-pt shot from 1 ft
4:03.0,P. Siakam makes 2-pt shot from 12 ft,2,73-74,,
3:43.0,,,73-76,2,B. Ingram makes 2-pt shot at rim
3:33.0,D. DeRozan makes 2-pt shot from 1 ft,2,75-76,,
3:17.0,,,75-76,,L. Williams misses 2-pt shot from 3 ft
3:16.0,Defensive rebound by Team,,75-76,,
3:16.0,,,75-76,,Loose ball foul by J. Randle (drawn by J. Valanciunas)
3:16.0,C. Joseph enters the game for J. Valanciunas,,75-76,,
3:16.0,L. Nogueira enters the game for K. Lowry,,75-76,,
3:16.0,,,75-76,,T. Black enters the game for J. Randle
3:07.0,D. DeRozan makes 2-pt shot from 6 ft,2,77-76,,
3:07.0,Shooting foul by B. Ingram (drawn by D. DeRozan),,77-76,,
3:07.0,D. DeRozan makes free throw 1 of 1,1,78-76,,
2:49.0,,,78-78,2,T. Robinson makes 2-pt shot from 1 ft
2:29.0,T. Ross makes 3-pt shot from 27 ft (assist by D. DeRozan),3,81-78,,
2:10.0,,,81-78,,Shooting foul by P. Siakam (drawn by B. Ingram)
2:10.0,,,81-79,1,B. Ingram makes free throw 1 of 2
2:10.0,,,81-80,1,B. Ingram makes free throw 2 of 2
2:10.0,J. Poeltl enters the game for P. Siakam,,81-79,,
1:52.0,T. Ross misses 2-pt shot from 19 ft,,81-80,,
1:51.0,Offensive rebound by Team,,81-80,,
1:43.0,D. DeRozan misses 2-pt shot from 20 ft,,81-80,,
1:41.0,,,81-80,,Defensive rebound by T. Robinson
1:36.0,,,81-80,,Turnover by T. Robinson (lost ball)
1:16.0,D. DeRozan makes 2-pt shot from 5 ft,2,83-80,,
1:09.0,Shooting block foul by L. Nogueira,,83-80,,
1:09.0,,,83-80,,L. Williams misses free throw 1 of 2
1:09.0,,,83-80,,Offensive rebound by Team
1:09.0,,,83-80,,L. Williams misses free throw 2 of 2
1:07.0,Defensive rebound by Team,,83-80,,
0:50.0,D. DeRozan misses 2-pt shot from 17 ft,,83-80,,
0:48.0,,,83-80,,Defensive rebound by T. Black
0:44.0,,,83-80,,J. Clarkson misses 2-pt shot from 1 ft
0:41.0,Defensive rebound by T. Ross,,83-80,,
0:25.0,Shooting foul by T. Black (drawn by D. DeRozan),,83-80,,
0:25.0,D. DeRozan makes free throw 1 of 2,1,84-80,,
0:25.0,D. DeRozan makes free throw 2 of 2,1,85-80,,
0:02.0,,,85-82,2,T. Black makes 2-pt shot from 2 ft (assist by T. Robinson)
0:02.0,,,85-82,,Shooting foul by J. Poeltl (drawn by T. Black)
0:02.0,,,85-83,1,T. Black makes free throw 1 of 1
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,T. Ross makes 3-pt shot from 26 ft (assist by C. Joseph),3,88-83,,
11:21.0,,,88-83,,T. Robinson misses 2-pt shot from 3 ft
11:20.0,Defensive rebound by T. Ross,,88-83,,
11:13.0,C. Joseph makes 2-pt shot from 21 ft,2,90-83,,
10:51.0,,,90-83,,T. Black misses 2-pt shot from 4 ft
10:49.0,Defensive rebound by T. Ross,,90-83,,
10:42.0,C. Joseph makes 2-pt shot from 1 ft,2,92-83,,
10:42.0,,,92-83,,LA Lakers full timeout
10:25.0,,,92-83,,J. Clarkson misses 2-pt shot from 6 ft
10:23.0,Defensive rebound by K. Lowry,,92-83,,
10:09.0,Shooting foul by L. Williams (drawn by K. Lowry),,92-83,,
10:09.0,K. Lowry makes free throw 1 of 2,1,93-83,,
10:09.0,K. Lowry makes free throw 2 of 2,1,94-83,,
9:50.0,,,94-83,,B. Ingram misses 2-pt shot from 17 ft
9:48.0,,,94-83,,Offensive rebound by T. Robinson
9:48.0,,,94-83,,T. Robinson misses 2-pt shot from 3 ft
9:46.0,,,94-83,,Offensive rebound by T. Robinson
9:42.0,,,94-86,3,L. Williams makes 3-pt shot from 25 ft (assist by T. Robinson)
9:28.0,Turnover by C. Joseph (traveling),,94-86,,
9:21.0,,,94-86,,L. Williams misses 2-pt shot from 3 ft (block by L. Nogueira)
9:21.0,Defensive rebound by Team,,94-86,,
9:04.0,K. Lowry makes 3-pt shot from 28 ft (assist by C. Joseph),3,97-86,,
8:44.0,,,97-88,2,T. Robinson makes 2-pt shot at rim (assist by B. Ingram)
8:33.0,J. Poeltl makes 2-pt shot at rim (assist by C. Joseph),2,99-88,,
8:33.0,,,99-88,,LA Lakers full timeout
8:21.0,,,99-88,,L. Williams misses 2-pt shot from 10 ft (block by C. Joseph)
8:19.0,Jump ball: T. Black vs. J. Poeltl (T. Ross gains possession),,,,Jump ball: T. Black vs. J. Poeltl (T. Ross gains possession)
8:19.0,Offensive rebound by J. Poeltl,,99-88,,
8:04.0,Shooting foul by T. Robinson (drawn by J. Poeltl),,99-88,,
8:04.0,J. Poeltl makes free throw 1 of 2,1,100-88,,
8:04.0,J. Poeltl makes free throw 2 of 2,1,101-88,,
8:04.0,,,100-88,,D. Russell enters the game for L. Williams
8:04.0,,,100-88,,J. Randle enters the game for T. Black
7:41.0,,,101-88,,B. Ingram misses 2-pt shot from 13 ft
7:39.0,,,101-88,,Offensive rebound by T. Robinson
7:27.0,,,101-88,,J. Clarkson misses 3-pt shot from 23 ft
7:26.0,Defensive rebound by T. Ross,,101-88,,
7:11.0,K. Lowry makes 3-pt shot from 25 ft,3,104-88,,
7:11.0,Shooting foul by T. Robinson (drawn by K. Lowry),,104-88,,
7:11.0,K. Lowry makes free throw 1 of 1,1,105-88,,
7:11.0,,,104-88,,N. Young enters the game for J. Clarkson
7:11.0,,,104-88,,L. Deng enters the game for T. Robinson
6:52.0,Personal foul by J. Poeltl (drawn by B. Ingram),,105-88,,
6:40.0,,,105-88,,J. Randle misses 2-pt shot from 4 ft
6:38.0,,,105-88,,Offensive rebound by J. Randle
6:35.0,,,105-88,,B. Ingram misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by J. Poeltl,,105-88,,
6:30.0,,,105-88,,Personal foul by J. Randle (drawn by J. Poeltl)
6:21.0,L. Nogueira makes 2-pt shot from 19 ft (assist by C. Joseph),2,107-88,,
6:06.0,,,107-91,3,D. Russell makes 3-pt shot from 25 ft
5:55.0,K. Lowry makes 3-pt shot from 25 ft,3,110-91,,
5:34.0,,,110-94,3,D. Russell makes 3-pt shot from 24 ft (assist by L. Deng)
5:23.0,K. Lowry misses 2-pt shot from 1 ft (block by J. Randle),,110-94,,
5:23.0,Offensive rebound by Team,,110-94,,
5:23.0,Official timeout,,110-94,,
5:23.0,D. DeRozan enters the game for L. Nogueira,,110-94,,
5:23.0,J. Valanciunas enters the game for T. Ross,,110-94,,
5:23.0,P. Siakam enters the game for J. Poeltl,,110-94,,
5:19.0,Turnover by P. Siakam (bad pass; steal by J. Randle),,110-94,,
5:15.0,,,110-96,2,J. Randle makes 2-pt shot at rim
