time,Washington,pts.away,score,pts.home,Indiana
6:27.0,B. Beal makes 3-pt shot from 23 ft,3,19-10,,
6:20.0,,,19-12,2,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague)
6:20.0,,,19-12,,Shooting foul by M. Morris (drawn by M. Turner)
6:20.0,,,19-12,,M. Turner misses free throw 1 of 1
6:20.0,J. Smith enters the game for M. Morris,,19-12,,
6:18.0,Defensive rebound by B. Beal,,19-12,,
6:01.0,J. Smith makes 2-pt shot from 20 ft (assist by B. Beal),2,21-12,,
5:46.0,,,21-14,2,M. Turner makes 2-pt shot from 5 ft (assist by J. Teague)
5:30.0,Turnover by O. Porter (bad pass),,21-14,,
5:30.0,,,21-14,,C. Miles enters the game for G. Robinson
5:18.0,,,21-14,,M. Turner misses 2-pt shot from 4 ft
5:15.0,,,21-14,,Offensive rebound by M. Turner
5:03.0,,,21-14,,Shooting foul by J. Smith (drawn by M. Turner)
5:03.0,,,21-15,1,M. Turner makes free throw 1 of 2
5:03.0,,,21-16,1,M. Turner makes free throw 2 of 2
4:41.0,O. Porter misses 2-pt shot from 7 ft,,21-16,,
4:39.0,Offensive rebound by B. Beal,,21-16,,
4:36.0,B. Beal makes 2-pt shot from 1 ft,2,23-16,,
4:25.0,,,23-16,,J. Teague misses 2-pt shot from 3 ft
4:25.0,Defensive rebound by J. Smith,,23-16,,
4:20.0,Turnover by B. Beal (lost ball; steal by J. Teague),,23-16,,
4:13.0,,,23-16,,C. Miles misses 3-pt shot from 28 ft
4:12.0,,,23-16,,Offensive rebound by T. Young
4:01.0,,,23-18,2,P. George makes 2-pt shot from 8 ft
3:55.0,Washington full timeout,,23-18,,
3:55.0,,,23-18,,A. Jefferson enters the game for M. Turner
3:55.0,K. Oubre enters the game for O. Porter,,23-18,,
3:47.0,B. Beal misses 2-pt shot from 11 ft,,23-18,,
3:46.0,Offensive rebound by J. Smith,,23-18,,
3:42.0,J. Wall misses 3-pt shot from 26 ft,,23-18,,
3:42.0,,,23-18,,Defensive rebound by J. Teague
3:42.0,Loose ball foul by J. Wall (drawn by J. Teague),,23-18,,
3:42.0,,,23-19,1,J. Teague makes free throw 1 of 2
3:42.0,,,23-20,1,J. Teague makes free throw 2 of 2
3:29.0,J. Smith makes 2-pt shot from 21 ft (assist by B. Beal),2,25-20,,
3:09.0,,,25-20,,P. George misses 2-pt shot from 5 ft (block by K. Oubre)
3:09.0,,,25-20,,Offensive rebound by Team
3:09.0,,,25-20,,L. Allen enters the game for T. Young
3:09.0,M. Thornton enters the game for B. Beal,,25-20,,
3:05.0,,,25-20,,C. Miles misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by J. Wall,,25-20,,
2:56.0,,,25-20,,Def 3 sec tech foul by A. Jefferson
2:56.0,J. Wall makes technical free throw,1,26-20,,
2:56.0,,,26-20,,G. Robinson enters the game for P. George
2:41.0,J. Wall makes 2-pt shot from 18 ft,2,28-20,,
2:34.0,,,28-20,,J. Teague misses 2-pt shot from 4 ft
2:33.0,Defensive rebound by J. Smith,,28-20,,
2:28.0,Shooting foul by G. Robinson (drawn by J. Wall),,28-20,,
2:28.0,J. Wall makes free throw 1 of 2,1,29-20,,
2:28.0,J. Wall makes free throw 2 of 2,1,30-20,,
2:09.0,,,30-20,,A. Jefferson misses 2-pt shot from 11 ft
2:08.0,,,30-20,,Offensive rebound by C. Miles
2:08.0,,,30-22,2,C. Miles makes 2-pt shot from 6 ft
2:08.0,,,30-22,,Shooting foul by J. Smith (drawn by C. Miles)
2:08.0,,,30-23,1,C. Miles makes free throw 1 of 1
1:57.0,,,30-23,,Shooting block foul by A. Jefferson (drawn by J. Wall)
1:57.0,J. Wall misses free throw 1 of 2,,30-23,,
1:57.0,Offensive rebound by Team,,30-23,,
1:57.0,J. Wall makes free throw 2 of 2,1,31-23,,
1:57.0,A. Nicholson enters the game for M. Gortat,,30-23,,
1:49.0,,,31-23,,Shooting foul by J. Smith (drawn by C. Miles)
1:49.0,,,31-24,1,C. Miles makes free throw 1 of 2
1:49.0,,,31-25,1,C. Miles makes free throw 2 of 2
1:49.0,D. Ochefu enters the game for J. Smith,,31-24,,
1:36.0,Turnover by A. Nicholson (traveling),,31-25,,
1:17.0,,,31-25,,A. Jefferson misses 2-pt shot from 7 ft
1:16.0,Defensive rebound by D. Ochefu,,31-25,,
1:07.0,K. Oubre misses 3-pt shot from 23 ft,,31-25,,
1:06.0,Offensive rebound by K. Oubre,,31-25,,
1:03.0,K. Oubre misses 2-pt shot from 11 ft (block by A. Jefferson),,31-25,,
1:01.0,,,31-25,,Defensive rebound by C. Miles
0:54.0,,,31-25,,L. Allen misses 2-pt shot from 19 ft
0:53.0,Defensive rebound by A. Nicholson,,31-25,,
0:41.0,A. Nicholson makes 3-pt shot from 28 ft (assist by J. Wall),3,34-25,,
0:29.0,,,34-27,2,G. Robinson makes 2-pt shot from 18 ft (assist by J. Teague)
0:05.0,J. Wall makes 2-pt shot from 2 ft,2,36-27,,
0:01.0,,,36-27,,Shooting foul by J. Wall (drawn by J. Teague)
0:01.0,,,36-28,1,J. Teague makes free throw 1 of 2
0:01.0,,,36-29,1,J. Teague makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,36-31,2,A. Jefferson makes 2-pt shot from 10 ft (assist by A. Brooks)
11:16.0,T. Burke makes 3-pt shot from 27 ft (assist by M. Thornton),3,39-31,,
11:00.0,,,39-33,2,A. Jefferson makes 2-pt shot from 1 ft (assist by A. Brooks)
10:44.0,M. Thornton makes 2-pt shot from 3 ft (assist by A. Nicholson),2,41-33,,
10:33.0,,,41-35,2,A. Jefferson makes 2-pt shot from 20 ft
10:21.0,,,41-35,,Personal foul by L. Allen (drawn by D. Ochefu)
10:11.0,Shooting foul by C. Miles (drawn by K. Oubre),,41-35,,
10:11.0,K. Oubre misses free throw 1 of 2,,41-35,,
10:11.0,Offensive rebound by Team,,41-35,,
10:11.0,K. Oubre makes free throw 2 of 2,1,42-35,,
9:55.0,,,42-38,3,C. Miles makes 3-pt shot from 26 ft (assist by A. Brooks)
9:35.0,D. Ochefu misses 2-pt shot from 2 ft,,42-38,,
9:34.0,Offensive rebound by K. Oubre,,42-38,,
9:34.0,K. Oubre makes 2-pt shot from 2 ft,2,44-38,,
9:12.0,,,44-40,2,A. Jefferson makes 2-pt shot from 2 ft
9:00.0,M. Thornton misses 3-pt shot from 26 ft,,44-40,,
8:57.0,,,44-40,,Defensive rebound by Team
8:57.0,Official timeout,,44-40,,
8:57.0,M. Gortat enters the game for D. Ochefu,,44-40,,
8:57.0,,,44-40,,P. George enters the game for G. Robinson
8:57.0,,,44-40,,T. Young enters the game for L. Allen
8:43.0,,,44-40,,A. Jefferson misses 2-pt shot from 14 ft
8:43.0,Defensive rebound by A. Nicholson,,44-40,,
8:27.0,A. Nicholson makes 3-pt shot from 27 ft (assist by K. Oubre),3,47-40,,
8:03.0,,,47-40,,A. Jefferson misses 2-pt shot from 17 ft
8:02.0,,,47-40,,Offensive rebound by P. George
7:58.0,,,47-40,,A. Brooks misses 3-pt shot from 26 ft
7:58.0,Defensive rebound by K. Oubre,,47-40,,
7:48.0,T. Burke misses 3-pt shot from 27 ft,,47-40,,
7:48.0,,,47-40,,Defensive rebound by P. George
7:41.0,,,47-40,,C. Miles misses 2-pt shot from 2 ft (block by A. Nicholson)
7:41.0,,,47-40,,Offensive rebound by Team
7:41.0,,,47-40,,M. Turner enters the game for A. Jefferson
7:41.0,B. Beal enters the game for M. Thornton,,47-40,,
7:35.0,,,47-42,2,P. George makes 2-pt shot from 18 ft (assist by T. Young)
7:13.0,K. Oubre misses 3-pt shot from 23 ft,,47-42,,
7:12.0,,,47-42,,Defensive rebound by M. Turner
7:05.0,,,47-42,,T. Young misses 3-pt shot from 24 ft
7:04.0,,,47-42,,Offensive rebound by A. Brooks
6:59.0,,,47-45,3,M. Turner makes 3-pt shot from 27 ft (assist by P. George)
6:52.0,Washington full timeout,,47-45,,
6:52.0,M. Morris enters the game for A. Nicholson,,47-45,,
6:38.0,B. Beal misses 3-pt shot from 24 ft,,47-45,,
6:38.0,,,47-45,,Defensive rebound by P. George
6:19.0,,,47-45,,P. George misses 2-pt shot from 1 ft
6:19.0,Defensive rebound by M. Gortat,,47-45,,
6:12.0,K. Oubre misses 2-pt shot from 3 ft (block by M. Turner),,47-45,,
6:11.0,Offensive rebound by M. Gortat,,47-45,,
6:07.0,K. Oubre misses 2-pt shot from 2 ft,,47-45,,
6:06.0,Offensive rebound by K. Oubre,,47-45,,
5:56.0,Turnover by T. Burke (traveling),,47-45,,
5:56.0,,,47-45,,J. Teague enters the game for A. Brooks
5:56.0,J. Wall enters the game for K. Oubre,,47-45,,
5:56.0,O. Porter enters the game for T. Burke,,47-45,,
5:46.0,,,47-45,,Turnover by T. Young (bad pass)
5:22.0,J. Wall misses 2-pt shot from 18 ft,,47-45,,
5:21.0,,,47-45,,Defensive rebound by T. Young
5:10.0,,,47-45,,Offensive charge foul by P. George
5:10.0,,,47-45,,Turnover by P. George (offensive foul)
4:57.0,Turnover by B. Beal (lost ball; steal by T. Young),,47-45,,
4:50.0,,,47-45,,P. George misses 3-pt shot from 28 ft
4:49.0,Defensive rebound by O. Porter,,47-45,,
4:44.0,Turnover by M. Gortat (bad pass),,47-45,,
4:44.0,,,47-45,,Indiana full timeout
4:22.0,,,47-47,2,J. Teague makes 2-pt shot from 2 ft
3:52.0,B. Beal misses 3-pt shot from 27 ft,,47-47,,
3:52.0,,,47-47,,Defensive rebound by T. Young
3:46.0,,,47-49,2,J. Teague makes 2-pt shot from 3 ft
3:36.0,M. Morris misses 3-pt shot from 27 ft,,47-49,,
3:36.0,,,47-49,,Defensive rebound by J. Teague
3:11.0,,,47-49,,M. Turner misses 2-pt shot from 17 ft
3:11.0,,,47-49,,Offensive rebound by P. George
3:07.0,Shooting block foul by B. Beal (drawn by M. Turner),,47-49,,
3:07.0,,,47-50,1,M. Turner makes free throw 1 of 2
3:07.0,,,47-50,,M. Turner misses free throw 2 of 2
3:07.0,Defensive rebound by M. Morris,,47-50,,
3:07.0,,,47-50,,G. Robinson enters the game for C. Miles
2:51.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,49-50,,
2:31.0,,,49-50,,Turnover by T. Young (back court)
2:21.0,M. Morris makes 2-pt shot from 13 ft,2,51-50,,
2:01.0,,,51-50,,Turnover by G. Robinson (bad pass; steal by J. Wall)
1:59.0,Offensive foul by M. Gortat,,51-50,,
1:59.0,Turnover by M. Gortat (bad pass),,51-50,,
1:44.0,,,51-50,,Turnover by J. Teague (bad pass; steal by O. Porter)
1:30.0,Shooting foul by G. Robinson (drawn by M. Morris),,51-50,,
1:30.0,M. Morris makes free throw 1 of 2,1,52-50,,
1:30.0,M. Morris makes free throw 2 of 2,1,53-50,,
1:30.0,,,52-50,,C. Miles enters the game for G. Robinson
1:13.0,,,53-52,2,C. Miles makes 2-pt shot from 20 ft (assist by P. George)
1:03.0,B. Beal misses 3-pt shot from 27 ft,,53-52,,
1:03.0,,,53-52,,Defensive rebound by T. Young
0:53.0,Personal foul by B. Beal (drawn by P. George),,53-52,,
0:53.0,M. Thornton enters the game for B. Beal,,53-52,,
0:45.0,,,53-52,,J. Teague misses 2-pt shot from 17 ft
0:44.0,Defensive rebound by M. Gortat,,53-52,,
0:35.0,O. Porter misses 3-pt shot from 23 ft,,53-52,,
0:34.0,Offensive rebound by O. Porter,,53-52,,
0:33.0,,,53-52,,Personal foul by M. Turner (drawn by O. Porter)
0:33.0,O. Porter makes free throw 1 of 2,1,54-52,,
0:33.0,O. Porter makes free throw 2 of 2,1,55-52,,
0:33.0,K. Oubre enters the game for M. Morris,,54-52,,
0:30.0,,,55-52,,Shooting foul by K. Oubre (drawn by P. George)
0:30.0,,,55-53,1,P. George makes free throw 1 of 3
0:30.0,,,55-54,1,P. George makes free throw 2 of 3
0:30.0,,,55-55,1,P. George makes free throw 3 of 3
0:30.0,B. Beal enters the game for K. Oubre,,55-54,,
0:09.0,J. Wall makes 2-pt shot from 4 ft,2,57-55,,
0:05.0,,,57-55,,J. Teague misses 2-pt shot from 4 ft
0:04.0,,,57-55,,Offensive rebound by T. Young
0:04.0,,,57-57,2,T. Young makes 2-pt shot from 1 ft
0:00.0,B. Beal misses 3-pt shot from 23 ft,,57-57,,
0:00.0,Offensive rebound by Team,,57-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,57-57,,P. George misses 2-pt shot from 1 ft (block by M. Morris)
11:45.0,,,57-57,,Offensive rebound by Team
11:36.0,,,57-57,,P. George misses 2-pt shot from 8 ft
11:35.0,Defensive rebound by M. Morris,,57-57,,
11:29.0,,,57-57,,Personal foul by P. George (drawn by B. Beal)
11:25.0,M. Gortat misses 2-pt shot from 16 ft,,57-57,,
11:24.0,,,57-57,,Defensive rebound by T. Young
11:12.0,,,57-57,,Turnover by T. Young (bad pass)
11:01.0,M. Morris makes 2-pt shot from 3 ft (assist by J. Wall),2,59-57,,
10:44.0,,,59-57,,T. Young misses 2-pt shot from 12 ft
10:43.0,Defensive rebound by M. Gortat,,59-57,,
10:33.0,B. Beal misses 2-pt shot from 8 ft,,59-57,,
10:33.0,,,59-57,,Defensive rebound by M. Turner
10:33.0,Personal foul by B. Beal (drawn by M. Turner),,59-57,,
10:33.0,M. Thornton enters the game for B. Beal,,59-57,,
10:10.0,,,59-57,,J. Teague misses 3-pt shot from 29 ft
10:09.0,Defensive rebound by J. Wall,,59-57,,
9:55.0,O. Porter misses 2-pt shot from 1 ft (block by M. Turner),,59-57,,
9:52.0,Offensive rebound by M. Gortat,,59-57,,
9:52.0,M. Gortat misses 2-pt shot from 1 ft,,59-57,,
9:51.0,Offensive rebound by M. Gortat,,59-57,,
9:51.0,M. Gortat misses 2-pt shot from 1 ft,,59-57,,
9:51.0,Offensive rebound by Team,,59-57,,
9:43.0,M. Morris misses 3-pt shot from 28 ft,,59-57,,
9:42.0,,,59-57,,Defensive rebound by M. Turner
9:37.0,,,59-57,,Turnover by G. Robinson (lost ball)
9:21.0,M. Morris misses 2-pt shot from 16 ft,,59-57,,
9:20.0,,,59-57,,Defensive rebound by M. Turner
9:10.0,,,59-57,,Turnover by J. Teague (bad pass)
8:54.0,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall),2,61-57,,
8:39.0,,,61-57,,M. Turner misses 3-pt shot from 27 ft
8:38.0,,,61-57,,Offensive rebound by T. Young
8:35.0,,,61-57,,T. Young misses 2-pt shot from 8 ft
8:35.0,Defensive rebound by M. Morris,,61-57,,
8:27.0,Offensive foul by M. Morris,,61-57,,
8:27.0,Turnover by M. Morris (offensive foul),,61-57,,
8:17.0,Personal foul by M. Thornton (drawn by M. Turner),,61-57,,
8:04.0,,,61-59,2,M. Turner makes 2-pt shot at rim (assist by J. Teague)
7:48.0,M. Morris misses 2-pt shot from 7 ft,,61-59,,
7:47.0,Offensive rebound by M. Gortat,,61-59,,
7:47.0,M. Gortat misses 2-pt shot from 3 ft,,61-59,,
7:46.0,,,61-59,,Defensive rebound by M. Turner
7:41.0,Personal foul by O. Porter (drawn by J. Teague),,61-59,,
7:38.0,,,61-62,3,P. George makes 3-pt shot from 27 ft (assist by J. Teague)
7:24.0,J. Wall misses 2-pt shot from 2 ft (block by M. Turner),,61-62,,
7:24.0,Offensive rebound by Team,,61-62,,
7:21.0,J. Wall misses 3-pt shot from 28 ft,,61-62,,
7:20.0,,,61-62,,Defensive rebound by P. George
7:13.0,,,61-62,,Offensive foul by M. Turner
7:13.0,,,61-62,,Turnover by M. Turner (offensive foul)
6:56.0,M. Gortat makes 2-pt shot from 8 ft,2,63-62,,
6:46.0,,,63-65,3,T. Young makes 3-pt shot from 26 ft (assist by J. Teague)
6:31.0,M. Gortat misses 2-pt shot from 15 ft,,63-65,,
6:30.0,,,63-65,,Defensive rebound by P. George
6:21.0,,,63-67,2,J. Teague makes 2-pt shot from 2 ft
6:21.0,Washington full timeout,,63-67,,
6:09.0,M. Gortat makes 2-pt shot from 2 ft (assist by M. Morris),2,65-67,,
5:48.0,,,65-67,,P. George misses 3-pt shot from 26 ft
5:46.0,Defensive rebound by O. Porter,,65-67,,
5:40.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,67-67,,
5:14.0,,,67-70,3,G. Robinson makes 3-pt shot from 24 ft (assist by T. Young)
4:52.0,M. Morris misses 3-pt shot from 26 ft,,67-70,,
4:52.0,,,67-70,,Defensive rebound by M. Turner
4:39.0,,,67-73,3,T. Young makes 3-pt shot from 24 ft (assist by M. Turner)
4:26.0,Shooting foul by M. Turner (drawn by O. Porter),,67-73,,
4:26.0,O. Porter makes free throw 1 of 2,1,68-73,,
4:26.0,O. Porter makes free throw 2 of 2,1,69-73,,
4:26.0,,,68-73,,C. Miles enters the game for G. Robinson
4:26.0,K. Oubre enters the game for M. Morris,,68-73,,
4:08.0,,,69-75,2,P. George makes 2-pt shot from 6 ft
3:55.0,M. Gortat makes 2-pt shot from 2 ft (assist by M. Thornton),2,71-75,,
3:33.0,,,71-77,2,M. Turner makes 2-pt shot from 14 ft
3:18.0,Turnover by J. Wall (bad pass; steal by P. George),,71-77,,
3:14.0,,,71-77,,A. Jefferson enters the game for M. Turner
3:14.0,T. Satoransky enters the game for M. Thornton,,71-77,,
3:07.0,,,71-79,2,J. Teague makes 2-pt shot from 3 ft
2:50.0,O. Porter misses 3-pt shot from 28 ft,,71-79,,
2:49.0,Offensive rebound by K. Oubre,,71-79,,
2:45.0,K. Oubre makes 2-pt shot from 5 ft,2,73-79,,
2:36.0,,,73-79,,C. Miles misses 2-pt shot from 3 ft
2:35.0,Defensive rebound by M. Gortat,,73-79,,
2:30.0,O. Porter makes 2-pt shot from 2 ft,2,75-79,,
2:30.0,,,75-79,,Indiana full timeout
2:10.0,,,75-81,2,J. Teague makes 2-pt shot from 6 ft
1:50.0,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall),2,77-81,,
1:42.0,,,77-83,2,J. Teague makes 2-pt shot from 8 ft
1:42.0,,,77-83,,Shooting foul by T. Satoransky (drawn by J. Teague)
1:42.0,,,77-84,1,J. Teague makes free throw 1 of 1
1:42.0,,,77-83,,G. Robinson enters the game for P. George
1:20.0,O. Porter makes 2-pt shot from 15 ft,2,79-84,,
1:08.0,Personal foul by K. Oubre (drawn by J. Teague),,79-84,,
1:08.0,,,79-85,1,J. Teague makes free throw 1 of 2
1:08.0,,,79-86,1,J. Teague makes free throw 2 of 2
0:59.0,Offensive charge foul by J. Wall,,79-86,,
0:59.0,Turnover by J. Wall (offensive foul),,79-86,,
0:42.0,,,79-86,,J. Teague misses 2-pt shot from 3 ft (block by O. Porter)
0:40.0,Defensive rebound by K. Oubre,,79-86,,
0:35.0,Turnover by T. Satoransky (traveling),,79-86,,
0:17.0,,,79-88,2,A. Jefferson makes 2-pt shot from 4 ft
0:00.0,J. Wall misses 3-pt shot from 28 ft,,79-88,,
0:00.0,Offensive rebound by T. Satoransky,,79-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,M. Gortat makes 2-pt shot from 6 ft,2,81-88,,
11:43.0,Shooting foul by A. Jefferson (drawn by M. Gortat),,81-88,,
11:43.0,M. Gortat misses free throw 1 of 1,,81-88,,
11:43.0,,,81-88,,Defensive rebound by A. Jefferson
11:43.0,,,81-88,,P. George enters the game for T. Young
11:21.0,,,81-88,,A. Jefferson misses 2-pt shot from 11 ft
11:20.0,Defensive rebound by K. Oubre,,81-88,,
11:13.0,,,81-88,,Shooting block foul by A. Jefferson (drawn by B. Beal)
11:13.0,B. Beal makes free throw 1 of 2,1,82-88,,
11:13.0,B. Beal misses free throw 2 of 2,,82-88,,
11:13.0,,,82-88,,Defensive rebound by A. Jefferson
10:59.0,,,82-88,,Turnover by G. Robinson (bad pass)
10:50.0,,,82-88,,Personal foul by A. Brooks (drawn by T. Satoransky)
10:45.0,O. Porter makes 3-pt shot from 28 ft,3,85-88,,
10:45.0,Shooting foul by P. George (drawn by O. Porter),,85-88,,
10:45.0,O. Porter makes free throw 1 of 1,1,86-88,,
10:22.0,,,86-88,,Turnover by P. George (bad pass; steal by T. Satoransky)
10:17.0,O. Porter misses 2-pt shot from 1 ft,,86-88,,
10:16.0,,,86-88,,Defensive rebound by G. Robinson
10:09.0,,,86-88,,A. Brooks misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by O. Porter,,86-88,,
10:04.0,B. Beal misses 3-pt shot from 26 ft,,86-88,,
9:59.0,,,86-88,,Defensive rebound by G. Robinson
9:42.0,,,86-88,,G. Robinson misses 2-pt shot from 7 ft
9:40.0,Defensive rebound by T. Satoransky,,86-88,,
9:16.0,B. Beal makes 2-pt shot from 19 ft,2,88-88,,
9:16.0,,,88-88,,Indiana full timeout
9:16.0,,,88-88,,J. Teague enters the game for A. Jefferson
9:16.0,,,88-88,,M. Turner enters the game for A. Brooks
9:03.0,,,88-90,2,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague)
8:36.0,K. Oubre misses 2-pt shot from 14 ft,,88-90,,
8:35.0,,,88-90,,Defensive rebound by G. Robinson
8:10.0,,,88-92,2,J. Teague makes 2-pt shot from 3 ft
7:55.0,T. Satoransky misses 3-pt shot from 27 ft,,88-92,,
7:55.0,,,88-92,,Defensive rebound by Team
7:55.0,J. Wall enters the game for T. Satoransky,,88-92,,
7:37.0,Personal foul by K. Oubre (drawn by M. Turner),,88-92,,
7:37.0,,,88-92,,Turnover by P. George (back court)
7:37.0,M. Morris enters the game for K. Oubre,,88-92,,
7:37.0,,,88-92,,T. Young enters the game for C. Miles
7:15.0,J. Wall makes 2-pt shot from 7 ft,2,90-92,,
7:02.0,,,90-92,,P. George misses 3-pt shot from 27 ft
7:01.0,Defensive rebound by O. Porter,,90-92,,
6:51.0,B. Beal misses 2-pt shot from 13 ft,,90-92,,
6:50.0,Offensive rebound by J. Wall,,90-92,,
6:45.0,J. Wall misses 3-pt shot from 27 ft,,90-92,,
6:44.0,,,90-92,,Defensive rebound by P. George
6:29.0,,,90-94,2,M. Turner makes 2-pt shot from 21 ft (assist by J. Teague)
6:15.0,,,90-94,,Personal foul by P. George (drawn by B. Beal)
6:15.0,B. Beal makes free throw 1 of 2,1,91-94,,
6:15.0,B. Beal makes free throw 2 of 2,1,92-94,,
6:04.0,,,92-96,2,J. Teague makes 2-pt shot from 17 ft
5:47.0,M. Morris misses 2-pt shot from 16 ft,,92-96,,
5:46.0,,,92-96,,Defensive rebound by M. Turner
5:33.0,,,92-96,,G. Robinson misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by J. Wall,,92-96,,
5:27.0,B. Beal misses 3-pt shot from 24 ft,,92-96,,
5:26.0,,,92-96,,Defensive rebound by J. Teague
5:18.0,,,92-96,,M. Turner misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by M. Gortat,,92-96,,
5:09.0,O. Porter misses 3-pt shot from 26 ft,,92-96,,
5:09.0,,,92-96,,Defensive rebound by G. Robinson
5:02.0,,,92-96,,Turnover by T. Young (lost ball)
5:02.0,Official timeout,,92-96,,
5:02.0,,,92-96,,C. Miles enters the game for G. Robinson
4:51.0,Shooting foul by M. Turner (drawn by M. Gortat),,92-96,,
4:51.0,M. Gortat makes free throw 1 of 2,1,93-96,,
4:51.0,M. Gortat misses free throw 2 of 2,,93-96,,
4:51.0,,,93-96,,Defensive rebound by T. Young
4:32.0,,,93-99,3,P. George makes 3-pt shot from 26 ft
4:17.0,B. Beal misses 2-pt shot from 3 ft,,93-99,,
4:16.0,,,93-99,,Defensive rebound by M. Turner
4:05.0,,,93-101,2,P. George makes 2-pt shot from 17 ft
4:05.0,Washington full timeout,,93-101,,
3:57.0,J. Wall makes 2-pt shot from 3 ft,2,95-101,,
3:57.0,Shooting foul by C. Miles (drawn by J. Wall),,95-101,,
3:57.0,J. Wall makes free throw 1 of 1,1,96-101,,
3:36.0,,,96-101,,J. Teague misses 2-pt shot from 4 ft
3:35.0,Defensive rebound by M. Gortat,,96-101,,
3:28.0,O. Porter misses 3-pt shot from 27 ft,,96-101,,
3:27.0,,,96-101,,Defensive rebound by T. Young
3:08.0,,,96-101,,P. George misses 2-pt shot from 1 ft (block by O. Porter)
3:07.0,Defensive rebound by M. Gortat,,96-101,,
3:02.0,Turnover by J. Wall (bad pass; steal by T. Young),,96-101,,
