time,Brooklyn,pts.away,score,pts.home,Orlando
2:03.0,J. Hamilton misses 2-pt shot from 2 ft (block by M. Hezonja),,17-19,,
2:00.0,Offensive rebound by J. Hamilton,,17-19,,
2:00.0,J. Hamilton makes 2-pt shot from 2 ft,2,19-19,,
1:50.0,,,19-19,,T. Ross misses 2-pt shot from 6 ft
1:49.0,Defensive rebound by A. Goodwin,,19-19,,
1:44.0,J. Hamilton misses 2-pt shot from 2 ft,,19-19,,
1:41.0,,,19-19,,Defensive rebound by E. Payton
1:38.0,,,19-19,,Turnover by E. Payton (bad pass; steal by S. Dinwiddie)
1:21.0,S. Dinwiddie makes 2-pt shot from 3 ft,2,21-19,,
1:08.0,,,21-19,,Shooting foul by J. Hamilton (drawn by B. Biyombo)
1:08.0,,,21-20,1,B. Biyombo makes free throw 1 of 2
1:08.0,,,21-20,,B. Biyombo misses free throw 2 of 2
1:08.0,,,21-20,,Offensive rebound by Team
1:08.0,Loose ball foul by J. Hamilton (drawn by B. Biyombo),,21-20,,
1:08.0,,,21-21,1,M. Hezonja makes free throw 1 of 2
1:08.0,,,21-22,1,M. Hezonja makes free throw 2 of 2
1:08.0,,,21-20,,D. Augustin enters the game for E. Payton
1:08.0,,,21-20,,M. Georges-Hunt enters the game for A. Gordon
0:53.0,J. Hamilton makes 2-pt shot from 2 ft (assist by I. Whitehead),2,23-22,,
0:45.0,,,23-22,,T. Ross misses 3-pt shot from 26 ft
0:44.0,Defensive rebound by J. Hamilton,,23-22,,
0:27.0,Turnover by J. Hamilton (3 sec),,23-22,,
0:09.0,,,23-22,,Turnover by B. Biyombo (bad pass)
0:05.0,,,23-22,,Personal take foul by D. Augustin (drawn by A. Goodwin)
0:02.0,J. Hamilton makes 2-pt shot from 2 ft (assist by A. Goodwin),2,25-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-22,,Offensive foul by B. Biyombo
11:47.0,,,25-22,,Turnover by B. Biyombo (offensive foul)
11:32.0,I. Whitehead misses 2-pt shot from 2 ft,,25-22,,
11:31.0,Offensive rebound by I. Whitehead,,25-22,,
11:27.0,A. Goodwin misses 2-pt shot from 1 ft (block by B. Biyombo),,25-22,,
11:26.0,Offensive rebound by Team,,25-22,,
11:21.0,A. Goodwin misses 3-pt shot from 30 ft,,25-22,,
11:20.0,,,25-22,,Defensive rebound by P. Garino
11:12.0,,,25-22,,Shooting foul by I. Whitehead (drawn by B. Biyombo)
11:12.0,,,25-23,1,B. Biyombo makes free throw 1 of 2
11:12.0,,,25-24,1,B. Biyombo makes free throw 2 of 2
11:02.0,A. Goodwin misses 2-pt shot from 2 ft (block by M. Hezonja),,25-24,,
10:59.0,,,25-24,,Defensive rebound by M. Georges-Hunt
10:51.0,,,25-24,,Turnover by M. Georges-Hunt (bad pass)
10:37.0,Turnover by I. Whitehead (bad pass; steal by M. Georges-Hunt),,25-24,,
10:33.0,,,25-24,,Shooting foul by S. Dinwiddie (drawn by M. Hezonja)
10:33.0,,,25-25,1,M. Hezonja makes free throw 1 of 2
10:33.0,,,25-26,1,M. Hezonja makes free throw 2 of 2
10:19.0,I. Whitehead misses 3-pt shot from 25 ft,,25-26,,
10:17.0,,,25-26,,Defensive rebound by B. Biyombo
10:06.0,,,25-26,,D. Augustin misses 2-pt shot from 8 ft (block by J. Hamilton)
10:04.0,,,25-26,,Offensive rebound by B. Biyombo
10:03.0,,,25-28,2,B. Biyombo makes 2-pt shot from 4 ft
9:54.0,,,25-28,,Def 3 sec tech foul by P. Garino
9:54.0,I. Whitehead makes technical free throw,1,26-28,,
9:54.0,,,26-28,,S. Zimmerman enters the game for B. Biyombo
9:42.0,J. Hamilton misses 3-pt shot from 25 ft,,26-28,,
9:41.0,,,26-28,,Defensive rebound by M. Georges-Hunt
9:31.0,,,26-31,3,D. Augustin makes 3-pt shot from 25 ft (assist by M. Hezonja)
9:30.0,Brooklyn full timeout,,26-31,,
9:16.0,I. Whitehead makes 2-pt shot from 2 ft,2,28-31,,
8:52.0,,,28-31,,D. Augustin misses 2-pt shot from 18 ft
8:51.0,,,28-31,,Offensive rebound by S. Zimmerman
8:45.0,,,28-31,,Turnover by D. Augustin (bad pass; steal by I. Whitehead)
8:40.0,I. Whitehead makes 2-pt shot from 2 ft,2,30-31,,
8:17.0,,,30-31,,P. Garino misses 3-pt shot from 23 ft
8:16.0,,,30-31,,Offensive rebound by Team
8:01.0,,,30-33,2,M. Hezonja makes 2-pt shot from 23 ft (assist by S. Zimmerman)
7:47.0,Q. Acy misses 2-pt shot from 9 ft,,30-33,,
7:46.0,,,30-33,,Defensive rebound by S. Zimmerman
7:37.0,,,30-33,,S. Zimmerman misses 2-pt shot from 12 ft
7:35.0,Defensive rebound by A. Goodwin,,30-33,,
7:29.0,J. Hamilton misses 3-pt shot from 26 ft,,30-33,,
7:27.0,,,30-33,,Defensive rebound by P. Garino
7:12.0,,,30-33,,S. Zimmerman misses 2-pt shot from 5 ft (block by I. Whitehead)
7:12.0,,,30-33,,Offensive rebound by Team
7:12.0,B. Lopez enters the game for J. Hamilton,,30-33,,
7:12.0,J. Lin enters the game for S. Dinwiddie,,30-33,,
7:12.0,Jump ball: I. Whitehead vs. S. Zimmerman (D. Augustin gains possession),,,,Jump ball: I. Whitehead vs. S. Zimmerman (D. Augustin gains possession)
7:04.0,,,30-33,,D. Augustin misses 2-pt shot from 2 ft (block by J. Lin)
7:01.0,,,30-33,,Offensive rebound by D. Augustin
7:00.0,,,30-33,,D. Augustin misses 2-pt shot from 10 ft
6:58.0,Defensive rebound by Q. Acy,,30-33,,
6:56.0,,,30-33,,Personal foul by P. Garino (drawn by J. Lin)
6:49.0,Shooting foul by S. Zimmerman (drawn by B. Lopez),,30-33,,
6:49.0,B. Lopez misses free throw 1 of 2,,30-33,,
6:49.0,Offensive rebound by Team,,30-33,,
6:49.0,B. Lopez makes free throw 2 of 2,1,31-33,,
6:38.0,,,31-33,,S. Zimmerman misses 2-pt shot from 13 ft
6:37.0,Defensive rebound by I. Whitehead,,31-33,,
6:26.0,J. Lin makes 2-pt shot from 17 ft,2,33-33,,
6:25.0,,,33-33,,Orlando full timeout
6:25.0,,,33-33,,T. Ross enters the game for M. Georges-Hunt
6:25.0,,,33-33,,N. Vucevic enters the game for S. Zimmerman
6:25.0,R. Hollis-Jefferson enters the game for I. Whitehead,,33-33,,
6:25.0,C. LeVert enters the game for Q. Acy,,33-33,,
6:06.0,,,33-33,,T. Ross misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by B. Lopez,,33-33,,
5:54.0,A. Goodwin makes 2-pt shot from 2 ft (assist by J. Lin),2,35-33,,
5:34.0,,,35-33,,D. Augustin misses 2-pt shot from 10 ft
5:32.0,Defensive rebound by R. Hollis-Jefferson,,35-33,,
5:26.0,B. Lopez misses 3-pt shot from 25 ft,,35-33,,
5:25.0,,,35-33,,Defensive rebound by D. Augustin
5:15.0,,,35-33,,Turnover by M. Hezonja (bad pass; steal by J. Lin)
5:08.0,J. Lin makes 3-pt shot from 27 ft (assist by R. Hollis-Jefferson),3,38-33,,
4:51.0,,,38-35,2,T. Ross makes 2-pt shot from 22 ft (assist by N. Vucevic)
4:35.0,Turnover by B. Lopez (bad pass; steal by D. Augustin),,38-35,,
4:21.0,,,38-35,,P. Garino misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by Team,,38-35,,
4:18.0,,,38-35,,Loose ball foul by M. Hezonja (drawn by A. Goodwin)
4:18.0,,,38-35,,E. Payton enters the game for M. Hezonja
4:18.0,,,38-35,,J. Meeks enters the game for D. Augustin
4:18.0,,,38-35,,A. Gordon enters the game for P. Garino
4:09.0,Offensive foul by B. Lopez,,38-35,,
4:09.0,Turnover by B. Lopez (offensive foul),,38-35,,
4:09.0,S. Dinwiddie enters the game for A. Goodwin,,38-35,,
3:54.0,,,38-37,2,E. Payton makes 2-pt shot from 2 ft
3:41.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,40-37,,
3:23.0,,,40-37,,Turnover by J. Meeks (lost ball; steal by R. Hollis-Jefferson)
3:08.0,S. Dinwiddie makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,43-37,,
2:53.0,,,43-39,2,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton)
2:38.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,43-39,,
2:38.0,,,43-39,,Defensive rebound by Team
2:38.0,Official timeout,,43-39,,
2:23.0,,,43-41,2,E. Payton makes 2-pt shot from 10 ft
2:10.0,Turnover by J. Lin (lost ball; steal by E. Payton),,43-41,,
2:07.0,,,43-41,,Shooting foul by C. LeVert (drawn by A. Gordon)
2:07.0,,,43-41,,A. Gordon misses free throw 1 of 2
2:07.0,,,43-41,,Offensive rebound by Team
2:07.0,,,43-42,1,A. Gordon makes free throw 2 of 2
1:59.0,,,43-42,,Violation by E. Payton (kicked ball)
1:53.0,J. Lin makes 3-pt shot from 26 ft (assist by B. Lopez),3,46-42,,
1:42.0,,,46-42,,E. Payton misses 2-pt shot from 2 ft (block by S. Dinwiddie)
1:40.0,,,46-42,,Offensive rebound by A. Gordon
1:40.0,,,46-44,2,A. Gordon makes 2-pt shot at rim
1:17.0,R. Hollis-Jefferson makes 2-pt shot from 5 ft (assist by S. Dinwiddie),2,48-44,,
1:06.0,,,48-44,,J. Meeks misses 2-pt shot from 15 ft
1:05.0,Defensive rebound by B. Lopez,,48-44,,
0:58.0,Shooting foul by J. Meeks (drawn by J. Lin),,48-44,,
0:58.0,J. Lin makes free throw 1 of 3,1,49-44,,
0:58.0,J. Lin misses free throw 2 of 3,,49-44,,
0:58.0,Offensive rebound by Team,,49-44,,
0:58.0,J. Lin makes free throw 3 of 3,1,50-44,,
0:41.0,,,50-46,2,E. Payton makes 2-pt shot from 17 ft
0:36.0,J. Lin misses 3-pt shot from 29 ft,,50-46,,
0:35.0,,,50-46,,Defensive rebound by N. Vucevic
0:27.0,,,50-48,2,A. Gordon makes 2-pt shot from 3 ft (assist by E. Payton)
0:06.0,B. Lopez misses 2-pt shot from 17 ft,,50-48,,
0:05.0,,,50-48,,Defensive rebound by E. Payton
0:00.0,,,50-50,2,E. Payton makes 2-pt shot from 12 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Personal foul by R. Foye (drawn by T. Ross),,50-50,,
11:39.0,,,50-52,2,N. Vucevic makes 2-pt shot from 2 ft
11:14.0,J. Lin misses 2-pt shot from 21 ft,,50-52,,
11:13.0,,,50-52,,Defensive rebound by T. Ross
10:58.0,,,50-52,,T. Ross misses 3-pt shot from 26 ft
10:57.0,Defensive rebound by R. Foye,,50-52,,
10:45.0,R. Foye misses 3-pt shot from 26 ft,,50-52,,
10:44.0,,,50-52,,Defensive rebound by N. Vucevic
10:30.0,,,50-54,2,N. Vucevic makes 2-pt shot from 2 ft (assist by T. Ross)
10:20.0,Shooting foul by E. Payton (drawn by B. Lopez),,50-54,,
10:20.0,B. Lopez makes free throw 1 of 2,1,51-54,,
10:20.0,B. Lopez misses free throw 2 of 2,,51-54,,
10:19.0,,,51-54,,Defensive rebound by A. Gordon
9:58.0,,,51-56,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
9:44.0,Turnover by R. Hollis-Jefferson (lost ball),,51-56,,
9:33.0,,,51-58,2,E. Payton makes 2-pt shot from 3 ft
9:33.0,Brooklyn full timeout,,51-58,,
9:19.0,R. Hollis-Jefferson misses 2-pt shot from 18 ft,,51-58,,
9:18.0,Offensive rebound by B. Lopez,,51-58,,
9:16.0,Shooting foul by N. Vucevic (drawn by J. Lin),,51-58,,
9:16.0,J. Lin makes free throw 1 of 2,1,52-58,,
9:16.0,J. Lin makes free throw 2 of 2,1,53-58,,
9:02.0,,,53-61,3,J. Meeks makes 3-pt shot from 24 ft (assist by E. Payton)
8:49.0,B. Lopez makes 2-pt shot from 10 ft,2,55-61,,
8:40.0,,,55-64,3,J. Meeks makes 3-pt shot from 26 ft (assist by E. Payton)
8:27.0,B. Lopez misses 3-pt shot from 25 ft,,55-64,,
8:26.0,,,55-64,,Defensive rebound by A. Gordon
8:21.0,,,55-64,,J. Meeks misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by B. Lopez,,55-64,,
8:10.0,C. LeVert misses 2-pt shot from 16 ft,,55-64,,
8:09.0,,,55-64,,Defensive rebound by N. Vucevic
8:01.0,,,55-66,2,J. Meeks makes 2-pt shot from 2 ft (assist by E. Payton)
7:46.0,Turnover by J. Lin (bad pass; steal by N. Vucevic),,55-66,,
7:42.0,,,55-68,2,J. Meeks makes 2-pt shot from 1 ft (assist by E. Payton)
7:42.0,Brooklyn full timeout,,55-68,,
7:29.0,Shooting foul by A. Gordon (drawn by C. LeVert),,55-68,,
7:29.0,C. LeVert makes free throw 1 of 2,1,56-68,,
7:29.0,C. LeVert makes free throw 2 of 2,1,57-68,,
7:10.0,,,57-71,3,J. Meeks makes 3-pt shot from 24 ft (assist by A. Gordon)
7:07.0,,,57-71,,Inbound foul by A. Gordon
7:07.0,J. Lin makes free throw 1 of 1,1,58-71,,
7:07.0,Q. Acy enters the game for R. Hollis-Jefferson,,57-71,,
6:54.0,B. Lopez misses 2-pt shot from 6 ft,,58-71,,
6:53.0,,,58-71,,Defensive rebound by N. Vucevic
6:47.0,,,58-73,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
6:34.0,J. Lin misses 2-pt shot from 9 ft,,58-73,,
6:33.0,,,58-73,,Defensive rebound by N. Vucevic
6:12.0,,,58-73,,A. Gordon misses 2-pt shot from 1 ft (block by Q. Acy)
6:12.0,,,58-73,,Offensive rebound by A. Gordon
6:12.0,,,58-73,,Shooting foul by J. Lin (drawn by A. Gordon)
6:12.0,,,58-74,1,A. Gordon makes free throw 1 of 2
6:12.0,,,58-75,1,A. Gordon makes free throw 2 of 2
6:12.0,S. Dinwiddie enters the game for R. Foye,,58-74,,
5:57.0,B. Lopez makes 2-pt shot from 1 ft (assist by C. LeVert),2,60-75,,
5:41.0,,,60-75,,J. Meeks misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by C. LeVert,,60-75,,
5:39.0,,,60-75,,Personal take foul by J. Meeks (drawn by C. LeVert)
5:39.0,C. LeVert makes free throw 1 of 2,1,61-75,,
5:39.0,C. LeVert makes free throw 2 of 2,1,62-75,,
5:39.0,,,61-75,,M. Hezonja enters the game for T. Ross
5:16.0,,,62-75,,N. Vucevic misses 2-pt shot from 19 ft
5:15.0,Defensive rebound by J. Lin,,62-75,,
5:11.0,A. Goodwin enters the game for C. LeVert,,62-75,,
5:11.0,J. Hamilton enters the game for B. Lopez,,62-75,,
5:11.0,I. Whitehead enters the game for J. Lin,,62-75,,
5:04.0,S. Dinwiddie misses 2-pt shot from 13 ft,,62-75,,
5:04.0,Offensive rebound by Q. Acy,,62-75,,
5:04.0,Q. Acy misses 2-pt shot from 1 ft,,62-75,,
5:02.0,,,62-75,,Defensive rebound by N. Vucevic
4:54.0,,,62-75,,M. Hezonja misses 2-pt shot from 21 ft
4:52.0,Defensive rebound by J. Hamilton,,62-75,,
4:42.0,I. Whitehead makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,65-75,,
4:41.0,,,65-75,,Orlando full timeout
4:19.0,,,65-75,,N. Vucevic misses 2-pt shot from 11 ft
4:18.0,Defensive rebound by A. Goodwin,,65-75,,
4:10.0,Turnover by S. Dinwiddie (bad pass; steal by A. Gordon),,65-75,,
4:03.0,,,65-75,,Turnover by M. Hezonja (offensive foul)
4:03.0,,,65-75,,Offensive charge foul by M. Hezonja
3:50.0,A. Goodwin makes 2-pt shot from 2 ft,2,67-75,,
3:31.0,,,67-77,2,N. Vucevic makes 2-pt shot from 6 ft
3:09.0,Turnover by S. Dinwiddie (bad pass),,67-77,,
2:53.0,,,67-79,2,J. Meeks makes 2-pt shot from 3 ft (assist by E. Payton)
2:32.0,I. Whitehead misses 3-pt shot from 26 ft,,67-79,,
2:32.0,,,67-79,,Defensive rebound by Team
2:32.0,Loose ball foul by Q. Acy (drawn by M. Hezonja),,67-79,,
2:13.0,,,67-79,,N. Vucevic misses 2-pt shot from 8 ft
2:11.0,,,67-79,,Offensive rebound by E. Payton
2:11.0,,,67-81,2,E. Payton makes 2-pt shot from 2 ft
2:00.0,Turnover by I. Whitehead (bad pass; steal by A. Gordon),,67-81,,
1:54.0,,,67-83,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
1:33.0,Shooting foul by A. Gordon (drawn by S. Dinwiddie),,67-83,,
1:33.0,,,67-83,,Violation by Team (jump ball)
1:33.0,S. Dinwiddie misses free throw 1 of 2,,67-83,,
1:33.0,Offensive rebound by Team,,67-83,,
1:33.0,S. Dinwiddie makes free throw 2 of 2,1,68-83,,
1:33.0,,,67-83,,S. Zimmerman enters the game for A. Gordon
1:33.0,,,67-83,,M. Georges-Hunt enters the game for N. Vucevic
1:18.0,,,68-83,,Turnover by S. Zimmerman (bad pass; steal by J. Hamilton)
1:12.0,A. Goodwin misses 2-pt shot from 2 ft (block by S. Zimmerman),,68-83,,
1:07.0,,,68-83,,Defensive rebound by J. Meeks
1:07.0,,,68-83,,Turnover by J. Meeks (bad pass)
0:58.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,70-83,,
0:39.0,,,70-83,,E. Payton misses 2-pt shot from 16 ft
0:38.0,Defensive rebound by Q. Acy,,70-83,,
0:31.0,Shooting foul by M. Georges-Hunt (drawn by J. Hamilton),,70-83,,
0:31.0,J. Hamilton makes free throw 1 of 2,1,71-83,,
0:31.0,J. Hamilton misses free throw 2 of 2,,71-83,,
0:31.0,,,71-83,,Defensive rebound by M. Hezonja
0:31.0,,,71-83,,D. Augustin enters the game for E. Payton
0:11.0,,,71-86,3,J. Meeks makes 3-pt shot from 24 ft
0:03.0,J. Hamilton misses 2-pt shot from 10 ft,,71-86,,
0:01.0,,,71-86,,Defensive rebound by S. Zimmerman
0:00.0,,,71-86,,D. Augustin misses 3-pt shot from 72 ft
0:00.0,,,71-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,S. Dinwiddie misses 2-pt shot from 17 ft,,71-86,,
11:43.0,,,71-86,,Defensive rebound by M. Hezonja
11:28.0,,,71-86,,S. Zimmerman misses 2-pt shot from 2 ft
11:27.0,Defensive rebound by S. Dinwiddie,,71-86,,
11:19.0,Q. Acy makes 2-pt shot from 11 ft,2,73-86,,
10:54.0,,,73-86,,D. Augustin misses 3-pt shot from 25 ft
10:52.0,,,73-86,,Offensive rebound by M. Hezonja
10:43.0,,,73-86,,J. Meeks misses 3-pt shot from 26 ft
10:42.0,Defensive rebound by I. Whitehead,,73-86,,
10:22.0,J. Hamilton makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,76-86,,
10:06.0,Personal foul by S. Dinwiddie (drawn by J. Meeks),,76-86,,
10:06.0,,,76-86,,P. Garino enters the game for J. Meeks
10:01.0,Personal foul by Q. Acy (drawn by M. Hezonja),,76-86,,
9:46.0,,,76-86,,P. Garino misses 2-pt shot from 21 ft
9:45.0,Defensive rebound by S. Dinwiddie,,76-86,,
9:38.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by A. Goodwin),3,79-86,,
9:37.0,,,79-86,,Orlando full timeout
9:12.0,,,79-86,,M. Georges-Hunt misses 2-pt shot from 20 ft
9:10.0,,,79-86,,Offensive rebound by S. Zimmerman
8:50.0,,,79-88,2,M. Hezonja makes 2-pt shot from 12 ft
8:38.0,Q. Acy misses 3-pt shot from 25 ft,,79-88,,
8:36.0,Offensive rebound by S. Dinwiddie,,79-88,,
8:33.0,,,79-88,,Personal foul by M. Georges-Hunt (drawn by Q. Acy)
8:33.0,B. Lopez enters the game for J. Hamilton,,79-88,,
8:33.0,J. Lin enters the game for S. Dinwiddie,,79-88,,
8:28.0,Shooting foul by S. Zimmerman (drawn by B. Lopez),,79-88,,
8:28.0,B. Lopez makes 2-pt shot from 5 ft,2,81-88,,
8:28.0,B. Lopez misses free throw 1 of 1,,81-88,,
8:28.0,,,81-88,,N. Vucevic enters the game for S. Zimmerman
8:27.0,,,81-88,,Defensive rebound by M. Hezonja
8:17.0,,,81-88,,N. Vucevic misses 2-pt shot from 14 ft
8:15.0,Defensive rebound by Q. Acy,,81-88,,
7:53.0,A. Goodwin makes 2-pt shot from 20 ft (assist by J. Lin),2,83-88,,
7:33.0,,,83-91,3,M. Hezonja makes 3-pt shot from 25 ft (assist by N. Vucevic)
7:11.0,B. Lopez misses 3-pt shot from 25 ft,,83-91,,
7:08.0,,,83-91,,Defensive rebound by N. Vucevic
7:02.0,,,83-91,,Shooting foul by J. Lin (drawn by D. Augustin)
7:02.0,,,83-92,1,D. Augustin makes free throw 1 of 2
7:02.0,,,83-93,1,D. Augustin makes free throw 2 of 2
7:02.0,,,83-92,,A. Gordon enters the game for M. Hezonja
7:02.0,C. LeVert enters the game for A. Goodwin,,83-92,,
6:51.0,C. LeVert misses 2-pt shot from 19 ft,,83-93,,
6:49.0,Offensive rebound by Q. Acy,,83-93,,
6:45.0,J. Lin makes 3-pt shot from 25 ft (assist by I. Whitehead),3,86-93,,
6:24.0,,,86-95,2,M. Georges-Hunt makes 2-pt shot from 6 ft (assist by N. Vucevic)
6:10.0,I. Whitehead misses 3-pt shot from 26 ft,,86-95,,
6:08.0,,,86-95,,Defensive rebound by M. Georges-Hunt
6:00.0,,,86-98,3,M. Georges-Hunt makes 3-pt shot from 25 ft (assist by N. Vucevic)
6:00.0,Brooklyn full timeout,,86-98,,
6:00.0,R. Hollis-Jefferson enters the game for Q. Acy,,86-98,,
6:00.0,,,86-98,,E. Payton enters the game for D. Augustin
