time,Milwaukee,pts.away,score,pts.home,Minnesota
11:42.0,,,48-55,,Defensive rebound by K. Towns
11:27.0,,,48-57,2,K. Towns makes 2-pt shot from 21 ft (assist by G. Dieng)
11:07.0,J. Henson misses 2-pt shot from 9 ft (block by G. Dieng),,48-57,,
11:05.0,,,48-57,,Defensive rebound by K. Towns
10:45.0,,,48-60,3,Z. LaVine makes 3-pt shot from 25 ft (assist by G. Dieng)
10:28.0,J. Parker misses 3-pt shot from 25 ft,,48-60,,
10:26.0,Offensive rebound by J. Henson,,48-60,,
10:12.0,M. Brogdon makes 3-pt shot from 25 ft (assist by J. Parker),3,51-60,,
9:50.0,,,51-60,,A. Wiggins misses 3-pt shot from 26 ft
9:49.0,Defensive rebound by M. Brogdon,,51-60,,
9:41.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Brogdon),2,53-60,,
9:21.0,,,53-63,3,Z. LaVine makes 3-pt shot from 24 ft (assist by A. Wiggins)
9:02.0,T. Snell misses 3-pt shot from 23 ft,,53-63,,
9:00.0,,,53-63,,Defensive rebound by K. Towns
8:46.0,,,53-63,,A. Wiggins misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by G. Antetokounmpo,,53-63,,
8:27.0,M. Brogdon misses 2-pt shot from 2 ft,,53-63,,
8:25.0,Offensive rebound by J. Parker,,53-63,,
8:25.0,J. Parker makes 2-pt shot at rim,2,55-63,,
8:06.0,,,55-66,3,R. Rubio makes 3-pt shot from 24 ft (assist by Z. LaVine)
7:47.0,M. Brogdon misses 2-pt shot from 11 ft,,55-66,,
7:45.0,,,55-66,,Defensive rebound by A. Wiggins
7:35.0,,,55-68,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
7:08.0,G. Antetokounmpo makes 2-pt shot from 14 ft,2,57-68,,
6:47.0,,,57-68,,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins)
6:47.0,,,57-68,,A. Wiggins misses free throw 1 of 2
6:47.0,,,57-68,,Offensive rebound by Team
6:47.0,,,57-69,1,A. Wiggins makes free throw 2 of 2
6:37.0,Shooting foul by K. Towns (drawn by J. Parker),,57-69,,
