time,New Orleans,pts.away,score,pts.home,Philadelphia
11:16.0,Turnover by T. Frazier (bad pass; steal by T. McConnell),,17-25,,
11:13.0,,,17-25,,Offensive charge foul by N. Stauskas
11:13.0,,,17-25,,Turnover by N. Stauskas (offensive foul)
11:13.0,,,17-25,,S. Rodriguez enters the game for T. McConnell
11:13.0,,,17-25,,G. Henderson enters the game for N. Stauskas
10:56.0,Shooting foul by J. Embiid (drawn by O. Asik),,17-25,,
10:56.0,O. Asik makes free throw 1 of 2,1,18-25,,
10:56.0,O. Asik makes free throw 2 of 2,1,19-25,,
10:43.0,,,19-25,,Turnover by J. Embiid (lost ball; steal by T. Frazier)
10:39.0,T. Jones makes 2-pt shot from 2 ft (assist by E. Moore),2,21-25,,
10:39.0,Shooting foul by S. Rodriguez (drawn by T. Jones),,21-25,,
10:39.0,T. Jones makes free throw 1 of 1,1,22-25,,
10:31.0,,,22-25,,D. Saric misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by D. Cunningham,,22-25,,
10:22.0,D. Cunningham misses 2-pt shot from 16 ft,,22-25,,
10:21.0,,,22-25,,Defensive rebound by G. Henderson
10:16.0,,,22-25,,Offensive foul by G. Henderson
10:16.0,,,22-25,,Turnover by G. Henderson (offensive foul)
9:57.0,T. Jones misses 2-pt shot from 7 ft,,22-25,,
9:56.0,Offensive rebound by O. Asik,,22-25,,
9:56.0,O. Asik misses 2-pt shot from 1 ft,,22-25,,
9:54.0,Offensive rebound by T. Frazier,,22-25,,
9:50.0,D. Cunningham makes 3-pt shot from 26 ft (assist by T. Frazier),3,25-25,,
9:35.0,,,25-27,2,J. Embiid makes 2-pt shot from 2 ft (assist by D. Saric)
9:13.0,T. Jones misses 2-pt shot from 4 ft,,25-27,,
9:11.0,Offensive rebound by O. Asik,,25-27,,
9:08.0,D. Cunningham misses 2-pt shot from 21 ft,,25-27,,
9:07.0,,,25-27,,Defensive rebound by H. Thompson
8:57.0,,,25-27,,J. Embiid misses 2-pt shot from 14 ft
8:55.0,Defensive rebound by T. Jones,,25-27,,
8:46.0,Turnover by T. Frazier (bad pass; steal by D. Saric),,25-27,,
8:43.0,,,25-27,,Turnover by G. Henderson (bad pass)
8:43.0,Official timeout,,25-27,,
8:30.0,E. Moore makes 3-pt shot from 27 ft (assist by T. Jones),3,28-27,,
8:11.0,,,28-27,,G. Henderson misses 2-pt shot from 2 ft
8:09.0,Defensive rebound by O. Asik,,28-27,,
7:59.0,,,28-27,,J. Okafor enters the game for J. Embiid
7:53.0,E. Moore makes 2-pt shot from 5 ft (assist by T. Frazier),2,30-27,,
7:28.0,,,30-27,,S. Rodriguez misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by D. Cunningham,,30-27,,
7:18.0,E. Moore misses 3-pt shot from 26 ft,,30-27,,
7:17.0,,,30-27,,Defensive rebound by J. Okafor
7:08.0,,,30-27,,H. Thompson misses 2-pt shot from 7 ft (block by O. Asik)
7:05.0,Defensive rebound by D. Cunningham,,30-27,,
6:57.0,T. Frazier misses 2-pt shot from 2 ft,,30-27,,
6:56.0,Offensive rebound by O. Asik,,30-27,,
6:56.0,,,30-27,,E. Ilyasova enters the game for D. Saric
6:55.0,Jump ball: O. Asik vs. G. Henderson (T. Jones gains possession),,,,Jump ball: O. Asik vs. G. Henderson (T. Jones gains possession)
6:47.0,T. Frazier makes 3-pt shot from 28 ft (assist by D. Cunningham),3,33-27,,
6:31.0,,,33-27,,R. Covington enters the game for G. Henderson
6:24.0,,,33-29,2,J. Okafor makes 2-pt shot from 4 ft
6:07.0,O. Asik misses 2-pt shot from 3 ft (block by R. Covington),,33-29,,
6:05.0,,,33-29,,Defensive rebound by H. Thompson
5:56.0,,,33-32,3,E. Ilyasova makes 3-pt shot from 27 ft (assist by H. Thompson)
5:44.0,T. Frazier makes 2-pt shot from 17 ft,2,35-32,,
5:30.0,,,35-34,2,J. Okafor makes 2-pt shot from 1 ft
5:17.0,,,35-34,,Philadelphia full timeout
5:17.0,,,35-34,,T. McConnell enters the game for S. Rodriguez
5:17.0,A. Davis enters the game for O. Asik,,35-34,,
5:17.0,S. Hill enters the game for D. Cunningham,,35-34,,
5:04.0,E. Moore makes 2-pt shot from 2 ft (assist by T. Jones),2,37-34,,
4:47.0,,,37-36,2,E. Ilyasova makes 2-pt shot from 14 ft (assist by H. Thompson)
4:31.0,A. Davis misses 2-pt shot from 19 ft,,37-36,,
4:29.0,Offensive rebound by T. Jones,,37-36,,
4:29.0,T. Jones misses 2-pt shot from 1 ft,,37-36,,
4:27.0,Offensive rebound by T. Jones,,37-36,,
4:27.0,T. Jones makes 2-pt shot from 1 ft,2,39-36,,
4:06.0,,,39-36,,E. Ilyasova misses 2-pt shot from 2 ft
4:06.0,,,39-36,,Offensive rebound by R. Covington
4:05.0,,,39-36,,Shooting foul by E. Moore (drawn by R. Covington)
4:05.0,,,39-36,,R. Covington misses free throw 1 of 2
4:05.0,,,39-36,,Offensive rebound by Team
4:05.0,,,39-37,1,R. Covington makes free throw 2 of 2
3:52.0,E. Moore makes 2-pt shot from 3 ft (assist by T. Frazier),2,41-37,,
3:52.0,Shooting foul by E. Ilyasova (drawn by E. Moore),,41-37,,
3:52.0,E. Moore makes free throw 1 of 1,1,42-37,,
3:41.0,,,42-39,2,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell)
3:20.0,T. Frazier makes 3-pt shot from 24 ft (assist by E. Moore),3,45-39,,
3:06.0,,,45-39,,H. Thompson misses 2-pt shot from 16 ft
3:05.0,Defensive rebound by T. Frazier,,45-39,,
2:55.0,A. Davis makes 2-pt shot at rim (assist by T. Frazier),2,47-39,,
2:33.0,,,47-39,,Turnover by E. Ilyasova (lost ball; steal by S. Hill)
2:29.0,Shooting foul by H. Thompson (drawn by A. Davis),,47-39,,
2:29.0,New Orleans full timeout,,47-39,,
2:29.0,A. Davis makes free throw 1 of 2,1,48-39,,
2:29.0,A. Davis makes free throw 2 of 2,1,49-39,,
2:29.0,,,47-39,,N. Stauskas enters the game for H. Thompson
2:29.0,,,47-39,,J. Embiid enters the game for J. Okafor
2:29.0,J. Holiday enters the game for E. Moore,,47-39,,
2:29.0,O. Asik enters the game for T. Jones,,47-39,,
2:11.0,,,49-39,,N. Stauskas misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by O. Asik,,49-39,,
1:58.0,,,49-39,,Personal foul by R. Covington (drawn by J. Holiday)
1:58.0,J. Holiday makes free throw 1 of 2,1,50-39,,
1:58.0,J. Holiday misses free throw 2 of 2,,50-39,,
1:56.0,Offensive rebound by Team,,50-39,,
1:56.0,,,50-39,,J. Okafor enters the game for E. Ilyasova
1:55.0,Jump ball: A. Davis vs. J. Embiid (O. Asik gains possession),,,,Jump ball: A. Davis vs. J. Embiid (O. Asik gains possession)
1:44.0,Turnover by Team (5 sec inbounds),,50-39,,
1:34.0,,,50-41,2,T. McConnell makes 2-pt shot from 2 ft
1:22.0,A. Davis makes 2-pt shot from 5 ft (assist by T. Frazier),2,52-41,,
1:06.0,,,52-41,,Shooting foul by O. Asik (drawn by J. Embiid)
1:06.0,,,52-41,,J. Embiid misses free throw 1 of 2
1:06.0,,,52-41,,Offensive rebound by Team
1:06.0,,,52-41,,J. Embiid misses free throw 2 of 2
1:05.0,Defensive rebound by A. Davis,,52-41,,
0:54.0,J. Holiday misses 3-pt shot from 24 ft,,52-41,,
0:53.0,,,52-41,,Defensive rebound by J. Embiid
0:40.0,,,52-41,,T. McConnell misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by A. Davis,,52-41,,
0:33.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday),2,54-41,,
0:33.0,Shooting foul by J. Embiid (drawn by A. Davis),,54-41,,
0:33.0,A. Davis makes free throw 1 of 1,1,55-41,,
0:33.0,,,54-41,,E. Ilyasova enters the game for J. Embiid
0:22.0,,,55-44,3,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell)
0:07.0,J. Holiday misses 2-pt shot from 17 ft,,55-44,,
0:06.0,Offensive rebound by A. Davis,,55-44,,
0:05.0,A. Davis makes 2-pt shot from 5 ft,2,57-44,,
0:00.0,,,57-44,,T. McConnell misses 2-pt shot from 12 ft
0:00.0,,,57-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Holiday misses 3-pt shot from 27 ft,,57-44,,
11:45.0,,,57-44,,Defensive rebound by S. Rodriguez
11:39.0,,,57-44,,R. Covington misses 2-pt shot from 9 ft
11:37.0,Defensive rebound by B. Hield,,57-44,,
11:28.0,,,57-44,,Personal foul by R. Covington (drawn by A. Davis)
11:18.0,A. Ajinca misses 2-pt shot from 5 ft (block by J. Okafor),,57-44,,
11:18.0,Offensive rebound by Team,,57-44,,
11:18.0,Technical foul by A. Ajinca,,57-44,,
11:18.0,,,57-45,1,S. Rodriguez makes technical free throw
11:14.0,A. Davis misses 2-pt shot from 15 ft,,57-45,,
11:13.0,,,57-45,,Defensive rebound by Team
10:58.0,,,57-45,,J. Embiid misses 3-pt shot from 26 ft
10:57.0,Defensive rebound by S. Hill,,57-45,,
10:37.0,B. Hield misses 2-pt shot from 18 ft,,57-45,,
10:35.0,Offensive rebound by A. Ajinca,,57-45,,
10:33.0,B. Hield makes 3-pt shot from 25 ft (assist by A. Ajinca),3,60-45,,
10:22.0,Personal foul by B. Hield (drawn by J. Okafor),,60-45,,
10:10.0,Personal foul by S. Hill (drawn by J. Embiid),,60-45,,
10:01.0,,,60-45,,S. Rodriguez misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by A. Ajinca,,60-45,,
9:34.0,A. Davis misses 2-pt shot from 15 ft,,60-45,,
9:32.0,,,60-45,,Defensive rebound by G. Henderson
9:25.0,,,60-45,,G. Henderson misses 2-pt shot from 1 ft
9:24.0,Defensive rebound by A. Ajinca,,60-45,,
9:18.0,,,60-45,,Shooting block foul by J. Embiid (drawn by J. Holiday)
9:18.0,J. Holiday makes free throw 1 of 2,1,61-45,,
9:18.0,J. Holiday makes free throw 2 of 2,1,62-45,,
9:18.0,,,61-45,,E. Ilyasova enters the game for J. Embiid
9:05.0,,,62-47,2,J. Okafor makes 2-pt shot from 13 ft
8:49.0,S. Hill makes 2-pt shot from 3 ft (assist by A. Ajinca),2,64-47,,
8:23.0,,,64-49,2,E. Ilyasova makes 2-pt shot from 16 ft (assist by G. Henderson)
8:13.0,J. Holiday misses 2-pt shot from 18 ft,,64-49,,
8:11.0,,,64-49,,Defensive rebound by J. Okafor
7:55.0,,,64-52,3,G. Henderson makes 3-pt shot from 25 ft (assist by J. Okafor)
7:31.0,J. Holiday makes 2-pt shot from 2 ft (assist by A. Davis),2,66-52,,
7:15.0,,,66-52,,J. Okafor misses 2-pt shot from 11 ft
7:14.0,Defensive rebound by A. Davis,,66-52,,
6:57.0,A. Davis misses 2-pt shot from 15 ft,,66-52,,
6:55.0,,,66-52,,Defensive rebound by R. Covington
6:49.0,,,66-52,,Turnover by E. Ilyasova (lost ball)
6:49.0,,,66-52,,T. McConnell enters the game for S. Rodriguez
6:49.0,,,66-52,,N. Noel enters the game for J. Okafor
6:37.0,A. Davis misses 2-pt shot from 18 ft,,66-52,,
6:37.0,,,66-52,,Defensive rebound by Team
6:37.0,T. Jones enters the game for A. Ajinca,,66-52,,
6:16.0,,,66-52,,R. Covington misses 2-pt shot from 3 ft
6:15.0,Defensive rebound by T. Jones,,66-52,,
6:05.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,68-52,,
6:05.0,,,68-52,,Philadelphia full timeout
5:45.0,,,68-52,,G. Henderson misses 2-pt shot from 14 ft
5:43.0,,,68-52,,Offensive rebound by N. Noel
5:40.0,,,68-54,2,N. Noel makes 2-pt shot from 2 ft
5:23.0,,,68-54,,Violation by N. Noel (def goaltending)
5:23.0,A. Davis makes 2-pt shot from 9 ft,2,70-54,,
5:10.0,,,70-54,,Shooting foul by T. Jones (drawn by G. Henderson)
5:10.0,,,70-55,1,G. Henderson makes free throw 1 of 2
5:10.0,,,70-56,1,G. Henderson makes free throw 2 of 2
4:58.0,A. Davis misses 2-pt shot from 1 ft,,70-56,,
4:57.0,,,70-56,,Defensive rebound by R. Covington
4:51.0,,,70-59,3,E. Ilyasova makes 3-pt shot from 28 ft (assist by T. McConnell)
4:30.0,T. Jones misses 2-pt shot from 14 ft,,70-59,,
4:29.0,,,70-59,,Defensive rebound by R. Covington
4:22.0,,,70-59,,Turnover by T. McConnell (traveling)
4:22.0,,,70-59,,N. Stauskas enters the game for G. Henderson
4:22.0,New Orleans full timeout,,70-59,,
4:07.0,T. Jones makes 2-pt shot from 2 ft (assist by J. Holiday),2,72-59,,
3:48.0,,,72-61,2,T. McConnell makes 2-pt shot from 5 ft
3:35.0,A. Davis makes 2-pt shot from 2 ft (assist by B. Hield),2,74-61,,
3:16.0,,,74-61,,N. Stauskas misses 2-pt shot from 2 ft
3:13.0,,,74-61,,Offensive rebound by N. Noel
3:13.0,,,74-63,2,N. Noel makes 2-pt shot from 1 ft
3:04.0,Turnover by J. Holiday (step out of bounds),,74-63,,
2:47.0,,,74-63,,N. Stauskas misses 3-pt shot from 27 ft
2:45.0,Defensive rebound by T. Jones,,74-63,,
2:39.0,A. Davis misses 2-pt shot from 14 ft,,74-63,,
2:38.0,,,74-63,,Defensive rebound by N. Stauskas
2:28.0,,,74-63,,R. Covington misses 3-pt shot from 27 ft
2:26.0,Defensive rebound by S. Hill,,74-63,,
2:17.0,J. Holiday makes 3-pt shot from 26 ft (assist by S. Hill),3,77-63,,
1:59.0,,,77-65,2,T. McConnell makes 2-pt shot from 14 ft
1:46.0,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday),2,79-65,,
1:26.0,,,79-65,,N. Stauskas misses 2-pt shot from 2 ft
1:25.0,Defensive rebound by A. Davis,,79-65,,
1:17.0,B. Hield makes 3-pt shot from 26 ft (assist by J. Holiday),3,82-65,,
0:58.0,,,82-67,2,R. Covington makes 2-pt shot from 2 ft (assist by T. McConnell)
0:54.0,B. Hield misses 2-pt shot from 2 ft (block by R. Covington),,82-67,,
0:51.0,,,82-67,,Defensive rebound by E. Ilyasova
0:47.0,,,82-69,2,T. McConnell makes 2-pt shot from 17 ft
0:33.0,J. Holiday misses 2-pt shot from 18 ft,,82-69,,
0:31.0,,,82-69,,Defensive rebound by N. Noel
0:10.0,,,82-69,,N. Stauskas misses 3-pt shot from 26 ft
0:09.0,Defensive rebound by A. Davis,,82-69,,
0:02.0,T. Jones makes 2-pt shot from 3 ft (assist by S. Hill),2,84-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Personal foul by A. Davis (drawn by J. Embiid),,84-69,,
11:37.0,,,84-69,,G. Henderson misses 3-pt shot from 29 ft
11:35.0,Defensive rebound by T. Frazier,,84-69,,
11:17.0,D. Cunningham makes 3-pt shot from 26 ft (assist by A. Davis),3,87-69,,
10:58.0,,,87-69,,J. Embiid misses 2-pt shot from 10 ft
10:56.0,Defensive rebound by D. Cunningham,,87-69,,
10:46.0,Turnover by T. Frazier (bad pass; steal by J. Embiid),,87-69,,
10:28.0,,,87-69,,Shooting foul by E. Moore (drawn by G. Henderson)
10:28.0,,,87-70,1,G. Henderson makes free throw 1 of 2
10:28.0,,,87-71,1,G. Henderson makes free throw 2 of 2
10:28.0,O. Asik enters the game for A. Davis,,87-70,,
10:05.0,Turnover by T. Frazier (bad pass),,87-71,,
9:56.0,,,87-73,2,S. Rodriguez makes 2-pt shot from 15 ft
9:37.0,T. Jones misses 2-pt shot from 3 ft,,87-73,,
9:35.0,,,87-73,,Defensive rebound by J. Embiid
9:30.0,,,87-73,,S. Rodriguez misses 2-pt shot from 4 ft
9:27.0,Defensive rebound by T. Jones,,87-73,,
9:24.0,,,87-73,,Personal foul by S. Rodriguez (drawn by T. Frazier)
9:14.0,E. Moore makes 2-pt shot from 16 ft,2,89-73,,
9:04.0,Personal foul by O. Asik (drawn by J. Embiid),,89-73,,
9:00.0,Personal foul by T. Frazier (drawn by S. Rodriguez),,89-73,,
8:51.0,,,89-73,,D. Saric misses 3-pt shot from 25 ft
8:51.0,,,89-73,,Offensive rebound by Team
8:51.0,Loose ball foul by E. Moore (drawn by N. Stauskas),,89-73,,
8:51.0,,,89-73,,Philadelphia full timeout
8:51.0,,,89-74,1,N. Stauskas makes free throw 1 of 2
8:51.0,,,89-75,1,N. Stauskas makes free throw 2 of 2
8:32.0,D. Cunningham misses 3-pt shot from 22 ft (block by G. Henderson),,89-75,,
8:28.0,,,89-75,,Defensive rebound by D. Saric
8:22.0,,,89-75,,Turnover by D. Saric (bad pass)
8:09.0,Shooting foul by J. Embiid (drawn by T. Jones),,89-75,,
8:09.0,T. Jones misses free throw 1 of 2,,89-75,,
8:09.0,Offensive rebound by Team,,89-75,,
8:09.0,T. Jones makes free throw 2 of 2,1,90-75,,
8:09.0,,,89-75,,J. Okafor enters the game for J. Embiid
7:58.0,,,90-78,3,G. Henderson makes 3-pt shot from 24 ft (assist by S. Rodriguez)
7:47.0,T. Frazier misses 2-pt shot from 16 ft,,90-78,,
7:45.0,,,90-78,,Defensive rebound by D. Saric
7:27.0,,,90-81,3,S. Rodriguez makes 3-pt shot from 27 ft
7:03.0,T. Frazier misses 2-pt shot from 12 ft,,90-81,,
7:01.0,Offensive rebound by T. Jones,,90-81,,
7:01.0,T. Jones makes 2-pt shot from 2 ft,2,92-81,,
7:01.0,Shooting foul by G. Henderson (drawn by T. Jones),,92-81,,
7:01.0,T. Jones makes free throw 1 of 1,1,93-81,,
6:49.0,,,93-81,,Turnover by N. Stauskas (bad pass)
6:49.0,A. Davis enters the game for T. Jones,,93-81,,
6:37.0,Turnover by T. Frazier (bad pass; steal by S. Rodriguez),,93-81,,
6:29.0,Personal foul by T. Frazier (drawn by D. Saric),,93-81,,
6:29.0,,,93-82,1,D. Saric makes free throw 1 of 2
6:29.0,,,93-83,1,D. Saric makes free throw 2 of 2
6:29.0,S. Hill enters the game for O. Asik,,93-82,,
6:29.0,,,93-82,,R. Covington enters the game for G. Henderson
6:15.0,Shooting foul by J. Okafor (drawn by A. Davis),,93-83,,
6:15.0,A. Davis makes free throw 1 of 2,1,94-83,,
6:15.0,A. Davis makes free throw 2 of 2,1,95-83,,
6:15.0,J. Holiday enters the game for E. Moore,,94-83,,
5:57.0,,,95-85,2,J. Okafor makes 2-pt shot from 2 ft
5:43.0,J. Holiday misses 2-pt shot from 12 ft (block by J. Okafor),,95-85,,
5:41.0,Offensive rebound by J. Holiday,,95-85,,
5:35.0,A. Davis misses 2-pt shot from 8 ft,,95-85,,
5:33.0,,,95-85,,Defensive rebound by N. Stauskas
5:27.0,,,95-88,3,N. Stauskas makes 3-pt shot from 28 ft (assist by D. Saric)
5:10.0,A. Davis misses 2-pt shot from 15 ft,,95-88,,
5:08.0,,,95-88,,Defensive rebound by N. Stauskas
4:55.0,,,95-88,,J. Okafor misses 2-pt shot from 12 ft
4:53.0,Defensive rebound by A. Davis,,95-88,,
4:42.0,J. Holiday misses 2-pt shot from 3 ft,,95-88,,
4:40.0,,,95-88,,Defensive rebound by R. Covington
