time,Golden State,pts.away,score,pts.home,LA Clippers
0:02.0,Offensive rebound by K. Looney,,31-22,,
0:02.0,Shooting foul by A. Rivers (drawn by K. Looney),,31-22,,
0:02.0,K. Looney makes free throw 1 of 2,1,32-22,,
0:02.0,K. Looney makes free throw 2 of 2,1,33-22,,
0:02.0,J. McAdoo enters the game for K. Thompson,,32-22,,
0:02.0,I. Clark enters the game for S. Curry,,32-22,,
0:02.0,P. McCaw enters the game for A. Varejao,,32-22,,
0:01.0,,,33-22,,A. Rivers misses 3-pt shot from 33 ft
0:00.0,,,33-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,A. Iguodala misses 2-pt shot from 10 ft,,33-22,,
11:37.0,,,33-22,,Defensive rebound by M. Speights
11:24.0,,,33-22,,M. Speights misses 2-pt shot from 9 ft
11:23.0,Defensive rebound by Team,,33-22,,
11:23.0,,,33-22,,Loose ball foul by B. Bass (drawn by K. Durant)
11:08.0,K. Thompson misses 2-pt shot from 18 ft,,33-22,,
11:07.0,,,33-22,,Defensive rebound by B. Bass
10:55.0,,,33-25,3,J. Crawford makes 3-pt shot from 27 ft (assist by M. Speights)
10:50.0,Golden State full timeout,,33-25,,
10:32.0,K. Durant makes 2-pt shot from 20 ft,2,35-25,,
10:07.0,,,35-25,,A. Rivers misses 3-pt shot from 27 ft
10:07.0,,,35-25,,Offensive rebound by M. Speights
10:07.0,,,35-27,2,M. Speights makes 2-pt shot from 2 ft
10:07.0,,,35-27,,Shooting foul by J. McAdoo (drawn by M. Speights)
10:07.0,,,35-28,1,M. Speights makes free throw 1 of 1
9:50.0,I. Clark misses 2-pt shot from 3 ft,,35-28,,
9:44.0,,,35-28,,Defensive rebound by M. Speights
9:38.0,,,35-31,3,J. Redick makes 3-pt shot from 26 ft (assist by A. Rivers)
9:25.0,J. McAdoo makes 2-pt shot at rim (assist by I. Clark),2,37-31,,
9:07.0,,,37-31,,J. Crawford misses 3-pt shot from 26 ft
9:06.0,Defensive rebound by K. Durant,,37-31,,
8:59.0,K. Durant misses 2-pt shot from 9 ft,,37-31,,
8:56.0,Offensive rebound by J. McAdoo,,37-31,,
8:49.0,Shooting foul by M. Speights (drawn by K. Durant),,37-31,,
8:49.0,K. Durant makes free throw 1 of 2,1,38-31,,
8:49.0,K. Durant makes free throw 2 of 2,1,39-31,,
8:24.0,,,39-31,,B. Bass misses 2-pt shot from 16 ft
8:23.0,Defensive rebound by K. Durant,,39-31,,
8:20.0,,,39-31,,Personal block foul by M. Speights (drawn by K. Durant)
8:20.0,P. McCaw enters the game for I. Clark,,39-31,,
8:08.0,J. McAdoo makes 2-pt shot from 4 ft (assist by K. Thompson),2,41-31,,
7:55.0,,,41-31,,M. Speights misses 3-pt shot from 29 ft
7:54.0,Defensive rebound by Team,,41-31,,
7:54.0,,,41-31,,D. Jordan enters the game for M. Speights
7:54.0,,,41-31,,B. Griffin enters the game for B. Bass
7:33.0,K. Thompson misses 2-pt shot from 18 ft,,41-31,,
7:30.0,,,41-31,,Defensive rebound by D. Jordan
7:28.0,,,41-31,,Offensive charge foul by J. Crawford
7:28.0,,,41-31,,Turnover by J. Crawford (offensive foul)
7:11.0,K. Thompson misses 2-pt shot from 17 ft,,41-31,,
7:08.0,,,41-31,,Defensive rebound by B. Griffin
6:52.0,,,41-31,,B. Griffin misses 2-pt shot from 14 ft
6:51.0,Defensive rebound by K. Durant,,41-31,,
6:45.0,K. Durant misses 3-pt shot from 27 ft,,41-31,,
6:43.0,Offensive rebound by J. McAdoo,,41-31,,
6:36.0,K. Thompson makes 2-pt shot from 16 ft (assist by K. Durant),2,43-31,,
6:27.0,,,43-31,,B. Griffin misses 2-pt shot from 5 ft
6:26.0,,,43-31,,Offensive rebound by B. Griffin
6:26.0,,,43-31,,Shooting foul by K. Durant (drawn by B. Griffin)
6:26.0,,,43-31,,B. Griffin misses free throw 1 of 2
6:26.0,,,43-31,,Offensive rebound by Team
6:26.0,,,43-32,1,B. Griffin makes free throw 2 of 2
6:26.0,,,43-31,,R. Felton enters the game for A. Rivers
6:26.0,S. Curry enters the game for K. Thompson,,43-31,,
6:07.0,Turnover by A. Iguodala (bad pass; steal by R. Felton),,43-32,,
6:01.0,,,43-34,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
5:40.0,J. McAdoo makes 2-pt shot at rim (assist by K. Durant),2,45-34,,
5:21.0,Official timeout,,45-34,,
5:21.0,K. Looney enters the game for K. Durant,,45-34,,
5:21.0,J. McGee enters the game for J. McAdoo,,45-34,,
5:12.0,,,45-36,2,J. Crawford makes 2-pt shot from 11 ft (assist by R. Felton)
4:54.0,P. McCaw makes 2-pt shot from 12 ft (assist by K. Looney),2,47-36,,
4:44.0,,,47-39,3,J. Crawford makes 3-pt shot from 27 ft
4:34.0,S. Curry misses 2-pt shot from 22 ft,,47-39,,
4:33.0,,,47-39,,Defensive rebound by B. Griffin
4:28.0,,,47-42,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin)
4:08.0,,,47-42,,Personal foul by R. Felton (drawn by P. McCaw)
3:52.0,P. McCaw misses 3-pt shot from 24 ft,,47-42,,
3:49.0,,,47-42,,Defensive rebound by D. Jordan
3:44.0,,,47-42,,J. Crawford misses 3-pt shot from 26 ft
3:41.0,,,47-42,,Offensive rebound by B. Griffin
3:37.0,,,47-42,,J. Redick misses 3-pt shot from 25 ft
3:36.0,,,47-42,,Offensive rebound by R. Felton
3:36.0,Personal foul by S. Curry (drawn by J. Redick),,47-42,,
3:36.0,K. Thompson enters the game for A. Iguodala,,47-42,,
3:32.0,Personal foul by J. McGee (drawn by D. Jordan),,47-42,,
3:32.0,A. Varejao enters the game for J. McGee,,47-42,,
3:31.0,Personal take foul by A. Varejao (drawn by D. Jordan),,47-42,,
3:31.0,,,47-43,1,D. Jordan makes free throw 1 of 2
3:31.0,,,47-43,,D. Jordan misses free throw 2 of 2
3:28.0,Defensive rebound by K. Thompson,,47-43,,
3:10.0,A. Varejao misses 2-pt shot from 15 ft,,47-43,,
3:08.0,Offensive rebound by K. Thompson,,47-43,,
2:57.0,K. Thompson makes 3-pt shot from 24 ft (assist by P. McCaw),3,50-43,,
2:52.0,Personal take foul by A. Varejao (drawn by D. Jordan),,50-43,,
2:52.0,,,50-43,,LA Clippers full timeout
2:52.0,,,50-44,1,D. Jordan makes free throw 1 of 2
2:52.0,,,50-44,,D. Jordan misses free throw 2 of 2
2:52.0,K. Durant enters the game for A. Varejao,,50-43,,
2:49.0,Defensive rebound by K. Durant,,50-44,,
2:37.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant),3,53-44,,
2:33.0,Personal take foul by K. Looney (drawn by D. Jordan),,53-44,,
2:33.0,Technical foul by S. Curry,,53-44,,
2:33.0,,,53-45,1,J. Redick makes technical free throw
2:33.0,,,53-46,1,D. Jordan makes free throw 1 of 2
2:33.0,,,53-47,1,D. Jordan makes free throw 2 of 2
2:33.0,A. Iguodala enters the game for P. McCaw,,53-45,,
2:17.0,K. Thompson makes 3-pt shot from 27 ft (assist by K. Durant),3,56-47,,
2:11.0,,,56-49,2,R. Felton makes 2-pt shot from 1 ft (assist by J. Crawford)
1:57.0,K. Durant makes 3-pt shot from 26 ft (assist by A. Iguodala),3,59-49,,
1:37.0,,,59-49,,J. Redick misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by K. Durant,,59-49,,
1:30.0,Turnover by K. Thompson (bad pass; steal by J. Redick),,59-49,,
1:26.0,,,59-49,,Turnover by J. Redick (bad pass; steal by A. Iguodala)
1:20.0,K. Thompson misses 3-pt shot from 26 ft,,59-49,,
1:19.0,Offensive rebound by S. Curry,,59-49,,
1:19.0,S. Curry makes 2-pt shot from 2 ft,2,61-49,,
1:05.0,,,61-49,,J. Redick misses 3-pt shot from 26 ft
1:02.0,,,61-49,,Offensive rebound by Team
1:02.0,Loose ball foul by K. Looney (drawn by D. Jordan),,61-49,,
1:02.0,,,61-50,1,D. Jordan makes free throw 1 of 2
1:02.0,,,61-50,,D. Jordan misses free throw 2 of 2
1:00.0,Defensive rebound by K. Durant,,61-50,,
0:45.0,S. Curry misses 2-pt shot from 9 ft,,61-50,,
0:43.0,,,61-50,,Defensive rebound by R. Felton
0:39.0,,,61-52,2,B. Griffin makes 2-pt shot from 1 ft (assist by J. Redick)
0:33.0,K. Durant makes 2-pt shot from 3 ft (assist by S. Curry),2,63-52,,
0:29.0,,,63-54,2,B. Griffin makes 2-pt shot from 3 ft
0:29.0,,,63-54,,Shooting foul by K. Durant (drawn by B. Griffin)
0:29.0,,,63-54,,LA Clippers full timeout
0:29.0,,,63-55,1,B. Griffin makes free throw 1 of 1
0:29.0,,,63-54,,L. Mbah a Moute enters the game for J. Crawford
0:29.0,P. McCaw enters the game for K. Looney,,63-54,,
0:10.0,Shooting foul by B. Griffin (drawn by S. Curry),,63-55,,
0:10.0,S. Curry makes free throw 1 of 2,1,64-55,,
0:10.0,S. Curry makes free throw 2 of 2,1,65-55,,
0:10.0,I. Clark enters the game for K. Thompson,,64-55,,
0:10.0,J. McAdoo enters the game for K. Durant,,64-55,,
0:10.0,,,64-55,,J. Crawford enters the game for L. Mbah a Moute
0:10.0,,,64-55,,A. Rivers enters the game for D. Jordan
0:02.0,,,65-55,,Turnover by J. Crawford (lost ball; steal by A. Iguodala)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,K. Durant misses 2-pt shot from 2 ft,,65-55,,
11:33.0,,,65-55,,Defensive rebound by D. Jordan
11:15.0,,,65-57,2,R. Felton makes 2-pt shot from 3 ft
11:06.0,S. Curry makes 2-pt shot from 9 ft,2,67-57,,
11:00.0,,,67-57,,Turnover by R. Felton (bad pass; steal by K. Durant)
10:54.0,S. Curry makes 3-pt shot from 27 ft (assist by K. Durant),3,70-57,,
10:37.0,,,70-59,2,J. Redick makes 2-pt shot from 21 ft
10:17.0,J. McGee misses 2-pt shot from 3 ft,,70-59,,
10:13.0,,,70-59,,Defensive rebound by D. Jordan
10:04.0,,,70-59,,A. Rivers misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by P. McCaw,,70-59,,
9:59.0,S. Curry misses 2-pt shot from 3 ft (block by R. Felton),,70-59,,
9:59.0,Offensive rebound by Team,,70-59,,
9:56.0,K. Thompson makes 2-pt shot from 16 ft (assist by S. Curry),2,72-59,,
9:38.0,,,72-59,,B. Griffin misses 2-pt shot from 4 ft
9:35.0,Defensive rebound by K. Durant,,72-59,,
9:34.0,Shooting foul by D. Jordan (drawn by K. Durant),,72-59,,
9:34.0,K. Durant makes free throw 1 of 2,1,73-59,,
9:34.0,K. Durant makes free throw 2 of 2,1,74-59,,
9:26.0,,,74-61,2,A. Rivers makes 2-pt shot from 2 ft
9:16.0,P. McCaw misses 3-pt shot from 25 ft,,74-61,,
9:15.0,,,74-61,,Defensive rebound by D. Jordan
9:10.0,,,74-61,,J. Redick misses 3-pt shot from 26 ft
9:10.0,,,74-61,,Offensive rebound by Team
9:10.0,Loose ball foul by P. McCaw (drawn by B. Griffin),,74-61,,
9:01.0,,,74-61,,Shooting foul by P. McCaw (drawn by R. Felton)
9:01.0,,,74-62,1,R. Felton makes free throw 1 of 2
9:01.0,,,74-63,1,R. Felton makes free throw 2 of 2
8:42.0,J. McGee makes 2-pt shot at rim (assist by P. McCaw),2,76-63,,
8:42.0,,,76-63,,LA Clippers full timeout
8:32.0,,,76-63,,Turnover by B. Griffin (bad pass; steal by S. Curry)
8:24.0,K. Thompson misses 3-pt shot from 28 ft,,76-63,,
8:23.0,,,76-63,,Defensive rebound by D. Jordan
8:13.0,,,76-63,,Shooting foul by J. McGee (drawn by B. Griffin)
8:13.0,,,76-63,,B. Griffin misses free throw 1 of 2
8:13.0,,,76-63,,Offensive rebound by Team
8:13.0,,,76-64,1,B. Griffin makes free throw 2 of 2
7:57.0,J. McGee makes 2-pt shot from 2 ft (assist by P. McCaw),2,78-64,,
7:49.0,,,78-64,,B. Griffin misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by J. McGee,,78-64,,
7:43.0,S. Curry misses 3-pt shot from 26 ft,,78-64,,
7:41.0,Offensive rebound by J. McGee,,78-64,,
7:41.0,Shooting foul by A. Rivers (drawn by J. McGee),,78-64,,
7:41.0,J. McGee makes free throw 1 of 2,1,79-64,,
7:41.0,J. McGee misses free throw 2 of 2,,79-64,,
7:40.0,,,79-64,,Defensive rebound by D. Jordan
7:21.0,,,79-64,,A. Rivers misses 2-pt shot from 2 ft (block by J. McGee)
7:20.0,Defensive rebound by K. Thompson,,79-64,,
7:15.0,Shooting foul by J. Redick (drawn by P. McCaw),,79-64,,
7:15.0,P. McCaw misses free throw 1 of 2,,79-64,,
7:15.0,Offensive rebound by Team,,79-64,,
7:15.0,P. McCaw misses free throw 2 of 2,,79-64,,
7:15.0,A. Varejao enters the game for J. McGee,,79-64,,
7:13.0,,,79-64,,Defensive rebound by B. Griffin
6:56.0,,,79-66,2,B. Griffin makes 2-pt shot from 2 ft (assist by A. Rivers)
6:56.0,,,79-66,,Shooting foul by A. Varejao (drawn by B. Griffin)
6:56.0,,,79-67,1,B. Griffin makes free throw 1 of 1
6:43.0,Turnover by S. Curry (bad pass; steal by B. Griffin),,79-67,,
6:38.0,,,79-69,2,A. Rivers makes 2-pt shot from 2 ft (assist by R. Felton)
6:29.0,,,79-69,,Personal foul by A. Rivers (drawn by S. Curry)
6:26.0,K. Thompson makes 2-pt shot from 19 ft (assist by P. McCaw),2,81-69,,
6:13.0,,,81-69,,R. Felton misses 2-pt shot from 20 ft
6:10.0,Defensive rebound by S. Curry,,81-69,,
6:07.0,S. Curry makes 2-pt shot from 3 ft,2,83-69,,
6:07.0,Shooting foul by R. Felton (drawn by S. Curry),,83-69,,
6:07.0,S. Curry makes free throw 1 of 1,1,84-69,,
5:58.0,,,84-71,2,B. Griffin makes 2-pt shot from 19 ft (assist by D. Jordan)
5:43.0,K. Durant misses 3-pt shot from 27 ft,,84-71,,
5:42.0,,,84-71,,Defensive rebound by A. Rivers
5:39.0,,,84-71,,B. Griffin misses 2-pt shot from 2 ft
5:37.0,,,84-71,,Offensive rebound by B. Griffin
5:37.0,,,84-73,2,B. Griffin makes 2-pt shot from 2 ft
5:37.0,,,84-73,,Shooting foul by P. McCaw (drawn by B. Griffin)
5:37.0,Golden State full timeout,,84-73,,
5:37.0,,,84-74,1,B. Griffin makes free throw 1 of 1
5:37.0,,,84-73,,J. Crawford enters the game for R. Felton
5:37.0,A. Iguodala enters the game for P. McCaw,,84-73,,
5:26.0,K. Durant misses 2-pt shot from 3 ft (block by D. Jordan),,84-74,,
5:24.0,,,84-74,,Defensive rebound by A. Rivers
5:19.0,,,84-76,2,A. Rivers makes 2-pt shot from 3 ft
5:05.0,A. Iguodala makes 3-pt shot from 23 ft (assist by S. Curry),3,87-76,,
4:45.0,,,87-76,,A. Rivers misses 2-pt shot from 8 ft
4:42.0,Defensive rebound by A. Varejao,,87-76,,
4:41.0,Shooting foul by A. Rivers (drawn by K. Durant),,87-76,,
4:41.0,K. Durant makes free throw 1 of 2,1,88-76,,
4:41.0,K. Durant makes free throw 2 of 2,1,89-76,,
4:27.0,,,89-78,2,B. Griffin makes 2-pt shot from 4 ft (assist by A. Rivers)
4:11.0,K. Durant makes 2-pt shot from 14 ft (assist by S. Curry),2,91-78,,
3:58.0,,,91-78,,B. Griffin misses 2-pt shot from 5 ft
3:56.0,Defensive rebound by A. Varejao,,91-78,,
3:50.0,Turnover by S. Curry (traveling),,91-78,,
3:50.0,,,91-78,,M. Speights enters the game for A. Rivers
3:50.0,,,91-78,,R. Felton enters the game for D. Jordan
3:50.0,I. Clark enters the game for K. Thompson,,91-78,,
3:29.0,,,91-78,,M. Speights misses 2-pt shot at rim
3:25.0,Defensive rebound by A. Iguodala,,91-78,,
3:21.0,I. Clark makes 3-pt shot from 25 ft (assist by K. Durant),3,94-78,,
3:04.0,,,94-80,2,J. Crawford makes 2-pt shot from 17 ft (assist by B. Griffin)
3:03.0,Golden State full timeout,,94-80,,
3:03.0,K. Looney enters the game for K. Durant,,94-80,,
3:03.0,J. McAdoo enters the game for A. Varejao,,94-80,,
3:03.0,,,94-80,,L. Mbah a Moute enters the game for B. Griffin
2:48.0,S. Curry makes 2-pt shot from 15 ft,2,96-80,,
2:30.0,,,96-82,2,J. Redick makes 2-pt shot from 20 ft (assist by R. Felton)
2:18.0,S. Curry misses 3-pt shot from 27 ft,,96-82,,
2:17.0,,,96-82,,Defensive rebound by R. Felton
2:07.0,,,96-82,,M. Speights misses 2-pt shot from 4 ft
2:04.0,Defensive rebound by J. McAdoo,,96-82,,
2:01.0,S. Curry misses 2-pt shot from 2 ft,,96-82,,
1:59.0,Offensive rebound by J. McAdoo,,96-82,,
1:59.0,J. McAdoo makes 2-pt shot from 2 ft,2,98-82,,
1:40.0,,,98-82,,J. Redick misses 2-pt shot from 13 ft
1:37.0,Defensive rebound by J. McAdoo,,98-82,,
1:29.0,,,98-82,,B. Bass enters the game for J. Redick
1:26.0,A. Iguodala misses 2-pt shot from 1 ft,,98-82,,
1:24.0,Offensive rebound by A. Iguodala,,98-82,,
1:24.0,A. Iguodala misses 2-pt shot at rim,,98-82,,
1:20.0,,,98-82,,Defensive rebound by L. Mbah a Moute
1:16.0,Personal foul by K. Looney (drawn by J. Crawford),,98-82,,
1:16.0,,,98-83,1,J. Crawford makes free throw 1 of 2
1:16.0,,,98-84,1,J. Crawford makes free throw 2 of 2
1:05.0,,,98-84,,Violation by L. Mbah a Moute (kicked ball)
0:57.0,S. Curry makes 2-pt shot from 13 ft (assist by A. Iguodala),2,100-84,,
0:43.0,,,100-84,,Turnover by B. Bass (dbl dribble)
0:25.0,I. Clark makes 2-pt shot from 18 ft (assist by A. Iguodala),2,102-84,,
0:06.0,,,102-87,3,M. Speights makes 3-pt shot from 28 ft (assist by J. Crawford)
0:01.0,A. Iguodala makes 2-pt shot from 8 ft (assist by S. Curry),2,104-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,104-87,,B. Bass misses 2-pt shot from 3 ft (block by J. McAdoo)
11:43.0,Defensive rebound by J. McAdoo,,104-87,,
11:37.0,K. Thompson makes 2-pt shot from 7 ft,2,106-87,,
11:15.0,,,106-90,3,J. Crawford makes 3-pt shot from 27 ft
10:44.0,I. Clark makes 2-pt shot from 2 ft,2,108-90,,
10:25.0,,,108-90,,J. Crawford misses 2-pt shot from 3 ft
10:24.0,,,108-90,,Offensive rebound by M. Speights
10:24.0,,,108-90,,Shooting foul by J. McAdoo (drawn by M. Speights)
10:24.0,,,108-91,1,M. Speights makes free throw 1 of 2
10:24.0,,,108-92,1,M. Speights makes free throw 2 of 2
10:03.0,A. Iguodala makes 3-pt shot from 26 ft (assist by K. Durant),3,111-92,,
9:51.0,,,111-92,,Turnover by J. Crawford (lost ball; steal by A. Iguodala)
9:48.0,A. Iguodala makes 2-pt shot from 2 ft (assist by I. Clark),2,113-92,,
9:33.0,,,113-92,,Shooting foul by J. McAdoo (drawn by R. Felton)
9:33.0,,,113-93,1,R. Felton makes free throw 1 of 2
9:33.0,,,113-93,,R. Felton misses free throw 2 of 2
9:33.0,,,113-93,,B. Griffin enters the game for M. Speights
9:33.0,,,113-93,,J. Redick enters the game for B. Bass
9:30.0,Defensive rebound by J. McAdoo,,113-93,,
9:10.0,Turnover by A. Iguodala (bad pass),,113-93,,
8:51.0,,,113-95,2,B. Griffin makes 2-pt shot at rim
8:43.0,Golden State full timeout,,113-95,,
8:28.0,Turnover by K. Thompson (bad pass; steal by B. Griffin),,113-95,,
8:24.0,,,113-95,,J. Redick misses 3-pt shot from 25 ft
8:22.0,,,113-95,,Offensive rebound by B. Griffin
8:22.0,,,113-95,,B. Griffin misses 2-pt shot at rim
8:16.0,Defensive rebound by A. Iguodala,,113-95,,
8:06.0,K. Durant misses 2-pt shot from 10 ft (block by J. Redick),,113-95,,
8:06.0,Offensive rebound by Team,,113-95,,
7:57.0,J. McAdoo makes 2-pt shot at rim (assist by I. Clark),2,115-95,,
7:40.0,,,115-95,,Shooting foul by I. Clark (drawn by A. Rivers)
7:40.0,,,115-96,1,A. Rivers makes free throw 1 of 2
7:40.0,,,115-96,,A. Rivers misses free throw 2 of 2
7:39.0,Defensive rebound by K. Durant,,115-96,,
7:18.0,I. Clark misses 2-pt shot from 9 ft,,115-96,,
7:18.0,Offensive rebound by Team,,115-96,,
7:12.0,K. Durant misses 3-pt shot from 26 ft,,115-96,,
7:10.0,Offensive rebound by J. McAdoo,,115-96,,
7:06.0,Turnover by A. Iguodala (bad pass),,115-96,,
