time,Cleveland,pts.away,score,pts.home,Oklahoma City
11:29.0,,,22-31,2,J. Lauvergne makes 2-pt shot from 4 ft (assist by C. Payne)
11:15.0,Shooting foul by C. Payne (drawn by K. Felder),,22-31,,
11:15.0,K. Felder makes free throw 1 of 2,1,23-31,,
11:15.0,K. Felder makes free throw 2 of 2,1,24-31,,
11:15.0,,,23-31,,V. Oladipo enters the game for A. Morrow
11:06.0,,,24-33,2,C. Payne makes 2-pt shot from 1 ft
10:52.0,Shooting foul by A. Abrines (drawn by D. Williams),,24-33,,
10:52.0,D. Williams makes free throw 1 of 2,1,25-33,,
10:52.0,D. Williams misses free throw 2 of 2,,25-33,,
10:52.0,,,25-33,,A. Roberson enters the game for A. Abrines
10:51.0,,,25-33,,Defensive rebound by J. Lauvergne
10:39.0,,,25-36,3,C. Payne makes 3-pt shot from 23 ft (assist by J. Lauvergne)
10:26.0,L. James makes 2-pt shot from 1 ft,2,27-36,,
10:21.0,Personal block foul by K. Korver (drawn by V. Oladipo),,27-36,,
10:16.0,,,27-38,2,V. Oladipo makes 2-pt shot from 10 ft
10:00.0,L. James makes 2-pt shot at rim (assist by C. Frye),2,29-38,,
9:42.0,,,29-38,,J. Lauvergne misses 2-pt shot from 18 ft
9:41.0,Defensive rebound by L. James,,29-38,,
9:23.0,C. Frye misses 3-pt shot from 25 ft,,29-38,,
9:22.0,,,29-38,,Defensive rebound by A. Roberson
9:08.0,,,29-41,3,C. Payne makes 3-pt shot from 24 ft (assist by J. Lauvergne)
9:07.0,Cleveland full timeout,,29-41,,
8:55.0,Shooting foul by C. Payne (drawn by D. Williams),,29-41,,
8:55.0,D. Williams makes free throw 1 of 2,1,30-41,,
8:55.0,D. Williams makes free throw 2 of 2,1,31-41,,
8:55.0,,,30-41,,R. Westbrook enters the game for C. Payne
8:55.0,J. McRae enters the game for K. Felder,,30-41,,
8:48.0,,,31-41,,Turnover by R. Westbrook (bad pass; steal by K. Korver)
8:39.0,J. McRae misses 2-pt shot from 13 ft,,31-41,,
8:38.0,,,31-41,,Defensive rebound by R. Westbrook
8:33.0,,,31-41,,Turnover by R. Westbrook (bad pass; steal by L. James)
8:18.0,Shooting foul by R. Westbrook (drawn by C. Frye),,31-41,,
8:18.0,C. Frye makes free throw 1 of 2,1,32-41,,
8:18.0,C. Frye makes free throw 2 of 2,1,33-41,,
8:18.0,,,32-41,,D. Sabonis enters the game for J. Grant
8:06.0,,,33-41,,V. Oladipo misses 2-pt shot from 1 ft
8:06.0,Jump ball: J. Lauvergne vs. D. Williams (D. Sabonis gains possession),,,,Jump ball: J. Lauvergne vs. D. Williams (D. Sabonis gains possession)
8:06.0,,,33-41,,Offensive rebound by Team
7:55.0,,,33-41,,R. Westbrook misses 2-pt shot from 18 ft
7:55.0,Defensive rebound by L. James,,33-41,,
7:47.0,L. James misses 2-pt shot from 5 ft,,33-41,,
7:47.0,,,33-41,,Defensive rebound by R. Westbrook
7:41.0,,,33-41,,A. Roberson misses 2-pt shot from 1 ft
7:39.0,Defensive rebound by C. Frye,,33-41,,
7:36.0,Turnover by L. James (bad pass),,33-41,,
7:36.0,,,33-41,,Oklahoma City full timeout
7:36.0,,,33-41,,S. Adams enters the game for J. Lauvergne
7:28.0,,,33-41,,V. Oladipo misses 2-pt shot from 15 ft
7:27.0,Defensive rebound by C. Frye,,33-41,,
7:22.0,D. Williams makes 2-pt shot from 2 ft (assist by L. James),2,35-41,,
7:08.0,,,35-41,,D. Sabonis misses 3-pt shot from 23 ft
7:06.0,,,35-41,,Offensive rebound by S. Adams
6:59.0,,,35-41,,S. Adams misses 2-pt shot from 5 ft
6:58.0,,,35-41,,Offensive rebound by A. Roberson
6:52.0,,,35-41,,A. Roberson misses 2-pt shot from 1 ft
6:52.0,,,35-41,,Offensive rebound by S. Adams
6:49.0,,,35-41,,Turnover by S. Adams (bad pass; steal by L. James)
6:46.0,L. James misses 2-pt shot at rim,,35-41,,
6:45.0,Offensive rebound by J. McRae,,35-41,,
6:45.0,J. McRae makes 2-pt shot from 1 ft,2,37-41,,
6:45.0,Shooting foul by V. Oladipo (drawn by J. McRae),,37-41,,
6:45.0,J. McRae makes free throw 1 of 1,1,38-41,,
6:45.0,K. Irving enters the game for K. Korver,,37-41,,
6:36.0,Personal foul by K. Irving (drawn by A. Roberson),,38-41,,
6:28.0,,,38-41,,R. Westbrook misses 2-pt shot from 16 ft
6:28.0,Defensive rebound by C. Frye,,38-41,,
6:20.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,41-41,,
6:04.0,,,41-44,3,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Adams)
5:50.0,C. Frye misses 2-pt shot from 14 ft,,41-44,,
5:49.0,,,41-44,,Defensive rebound by V. Oladipo
5:33.0,,,41-44,,A. Roberson misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by C. Frye,,41-44,,
5:27.0,J. McRae misses 2-pt shot from 1 ft (block by A. Roberson),,41-44,,
5:27.0,,,41-44,,Defensive rebound by Team
5:27.0,K. Love enters the game for C. Frye,,41-44,,
5:27.0,T. Thompson enters the game for D. Williams,,41-44,,
5:27.0,Jump ball: S. Adams vs. L. James (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. L. James (R. Westbrook gains possession)
5:13.0,,,41-46,2,D. Sabonis makes 2-pt shot from 19 ft (assist by R. Westbrook)
4:51.0,L. James makes 2-pt shot from 15 ft,2,43-46,,
4:32.0,,,43-46,,D. Sabonis misses 2-pt shot from 2 ft
4:31.0,,,43-46,,Offensive rebound by S. Adams
4:31.0,,,43-46,,S. Adams misses 2-pt shot from 1 ft
4:30.0,Jump ball: S. Adams vs. T. Thompson (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. T. Thompson (R. Westbrook gains possession)
4:30.0,,,43-46,,Offensive rebound by Team
4:22.0,,,43-46,,R. Westbrook misses 2-pt shot from 15 ft
4:20.0,Defensive rebound by K. Love,,43-46,,
4:00.0,Shooting foul by D. Sabonis (drawn by K. Love),,43-46,,
4:00.0,K. Love makes free throw 1 of 2,1,44-46,,
4:00.0,K. Love makes free throw 2 of 2,1,45-46,,
3:48.0,,,45-49,3,R. Westbrook makes 3-pt shot from 25 ft (assist by A. Roberson)
3:33.0,,,45-49,,J. Lauvergne enters the game for D. Sabonis
3:28.0,K. Irving makes 3-pt shot from 24 ft (assist by T. Thompson),3,48-49,,
3:14.0,,,48-51,2,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook)
2:59.0,T. Thompson misses 2-pt shot from 4 ft,,48-51,,
2:58.0,,,48-51,,Defensive rebound by V. Oladipo
2:55.0,Official timeout,,48-51,,
2:50.0,,,48-53,2,R. Westbrook makes 2-pt shot from 15 ft
2:29.0,K. Love misses 2-pt shot from 5 ft,,48-53,,
2:29.0,,,48-53,,Defensive rebound by R. Westbrook
2:22.0,,,48-53,,R. Westbrook misses 2-pt shot from 15 ft
2:21.0,Defensive rebound by K. Irving,,48-53,,
2:09.0,L. James misses 3-pt shot from 26 ft,,48-53,,
2:06.0,Offensive rebound by L. James,,48-53,,
1:57.0,L. James makes 3-pt shot from 25 ft,3,51-53,,
1:42.0,,,51-55,2,J. Lauvergne makes 2-pt shot from 18 ft (assist by R. Westbrook)
1:22.0,K. Irving makes 2-pt shot from 2 ft,2,53-55,,
1:10.0,,,53-55,,V. Oladipo misses 2-pt shot from 14 ft
1:09.0,Defensive rebound by K. Love,,53-55,,
1:02.0,K. Irving makes 2-pt shot from 2 ft,2,55-55,,
0:50.0,,,55-55,,R. Westbrook misses 2-pt shot from 10 ft
0:49.0,Defensive rebound by K. Love,,55-55,,
0:46.0,Turnover by K. Love (bad pass; steal by V. Oladipo),,55-55,,
0:34.0,,,55-55,,R. Westbrook misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by T. Thompson,,55-55,,
0:26.0,K. Love makes 2-pt shot from 1 ft (assist by K. Irving),2,57-55,,
0:02.0,,,57-55,,Turnover by R. Westbrook (bad pass; steal by K. Love)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,T. Thompson makes 2-pt shot from 2 ft (assist by K. Irving),2,59-55,,
11:31.0,,,59-57,2,V. Oladipo makes 2-pt shot from 19 ft
11:15.0,,,59-57,,Violation by S. Adams (kicked ball)
11:01.0,L. James misses 2-pt shot from 16 ft,,59-57,,
11:01.0,,,59-57,,Defensive rebound by R. Westbrook
10:54.0,,,59-57,,R. Westbrook misses 2-pt shot from 2 ft
10:54.0,Defensive rebound by T. Thompson,,59-57,,
10:54.0,,,59-57,,Personal take foul by R. Westbrook (drawn by T. Thompson)
10:47.0,Turnover by K. Irving (bad pass; steal by R. Westbrook),,59-57,,
10:43.0,,,59-59,2,R. Westbrook makes 2-pt shot at rim
10:28.0,K. Irving makes 2-pt shot from 1 ft,2,61-59,,
10:15.0,,,61-61,2,S. Adams makes 2-pt shot from 6 ft (assist by V. Oladipo)
10:03.0,K. Irving misses 2-pt shot from 15 ft,,61-61,,
10:02.0,,,61-61,,Defensive rebound by Team
9:46.0,,,61-61,,V. Oladipo misses 2-pt shot from 12 ft
9:45.0,Defensive rebound by L. James,,61-61,,
9:38.0,L. James misses 3-pt shot from 24 ft,,61-61,,
9:37.0,,,61-61,,Defensive rebound by D. Sabonis
9:31.0,,,61-63,2,D. Sabonis makes 2-pt shot at rim
9:09.0,J. McRae misses 3-pt shot from 25 ft,,61-63,,
9:09.0,,,61-63,,Defensive rebound by S. Adams
8:57.0,,,61-63,,A. Roberson misses 2-pt shot from 1 ft (block by L. James)
8:56.0,Defensive rebound by K. Love,,61-63,,
8:50.0,Shooting foul by V. Oladipo (drawn by T. Thompson),,61-63,,
8:50.0,T. Thompson misses free throw 1 of 2,,61-63,,
8:50.0,Offensive rebound by Team,,61-63,,
8:50.0,T. Thompson makes free throw 2 of 2,1,62-63,,
8:32.0,,,62-63,,S. Adams misses 2-pt shot from 4 ft
8:32.0,Defensive rebound by K. Love,,62-63,,
8:14.0,L. James misses 2-pt shot at rim,,62-63,,
8:13.0,Offensive rebound by J. McRae,,62-63,,
8:01.0,Shooting foul by A. Roberson (drawn by K. Irving),,62-63,,
8:01.0,K. Irving makes free throw 1 of 2,1,63-63,,
8:01.0,K. Irving makes free throw 2 of 2,1,64-63,,
8:01.0,,,64-63,,Oklahoma City full timeout
7:50.0,,,64-63,,V. Oladipo misses 3-pt shot from 23 ft
7:49.0,Defensive rebound by K. Love,,64-63,,
7:38.0,Turnover by J. McRae (lost ball),,64-63,,
7:30.0,,,64-65,2,R. Westbrook makes 2-pt shot from 15 ft
7:05.0,K. Irving misses 2-pt shot from 22 ft,,64-65,,
7:04.0,,,64-65,,Defensive rebound by D. Sabonis
6:58.0,,,64-65,,V. Oladipo misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by K. Love,,64-65,,
6:51.0,J. McRae misses 2-pt shot from 1 ft,,64-65,,
6:50.0,,,64-65,,Defensive rebound by V. Oladipo
6:40.0,,,64-65,,R. Westbrook misses 2-pt shot from 2 ft
6:39.0,,,64-65,,Offensive rebound by R. Westbrook
6:39.0,,,64-67,2,R. Westbrook makes 2-pt shot from 1 ft
6:26.0,,,64-67,,Personal foul by D. Sabonis (drawn by K. Love)
6:26.0,,,64-67,,A. Morrow enters the game for V. Oladipo
6:12.0,K. Love misses 2-pt shot from 5 ft,,64-67,,
6:12.0,,,64-67,,Defensive rebound by R. Westbrook
6:07.0,,,64-67,,Turnover by R. Westbrook (bad pass)
5:56.0,K. Irving makes 3-pt shot from 24 ft,3,67-67,,
5:36.0,,,67-67,,Shooting foul by T. Thompson (drawn by S. Adams)
5:36.0,,,67-68,1,S. Adams makes free throw 1 of 2
5:36.0,,,67-69,1,S. Adams makes free throw 2 of 2
5:36.0,,,67-68,,J. Lauvergne enters the game for D. Sabonis
5:36.0,D. Williams enters the game for L. James,,67-68,,
5:26.0,K. Irving misses 3-pt shot from 25 ft,,67-69,,
5:25.0,,,67-69,,Defensive rebound by A. Morrow
5:17.0,,,67-69,,A. Morrow misses 3-pt shot from 24 ft
5:15.0,,,67-69,,Offensive rebound by J. Lauvergne
5:11.0,,,67-71,2,A. Morrow makes 2-pt shot from 11 ft (assist by J. Lauvergne)
5:00.0,J. McRae misses 3-pt shot from 25 ft,,67-71,,
4:59.0,Offensive rebound by K. Love,,67-71,,
4:57.0,K. Love makes 2-pt shot from 1 ft,2,69-71,,
4:45.0,Personal foul by D. Williams (drawn by A. Morrow),,69-71,,
4:45.0,,,69-71,,A. Abrines enters the game for A. Roberson
4:45.0,K. Korver enters the game for J. McRae,,69-71,,
4:40.0,,,69-73,2,R. Westbrook makes 2-pt shot from 1 ft
4:40.0,,,69-73,,Shooting foul by K. Irving (drawn by R. Westbrook)
4:40.0,,,69-74,1,R. Westbrook makes free throw 1 of 1
4:26.0,K. Love makes 2-pt shot from 2 ft,2,71-74,,
4:09.0,,,71-74,,J. Lauvergne misses 3-pt shot from 25 ft
4:08.0,,,71-74,,Offensive rebound by S. Adams
4:01.0,,,71-77,3,A. Morrow makes 3-pt shot from 25 ft (assist by A. Abrines)
3:36.0,Turnover by T. Thompson (offensive goaltending),,71-77,,
3:29.0,,,71-77,,Shooting foul by K. Irving (drawn by R. Westbrook)
3:29.0,,,71-78,1,R. Westbrook makes free throw 1 of 2
3:29.0,,,71-79,1,R. Westbrook makes free throw 2 of 2
3:26.0,Turnover by K. Irving (bad pass; steal by R. Westbrook),,71-79,,
3:20.0,,,71-79,,A. Morrow misses 3-pt shot from 24 ft
3:18.0,,,71-79,,Offensive rebound by Team
3:08.0,,,71-79,,R. Westbrook misses 2-pt shot from 2 ft
3:07.0,Defensive rebound by K. Korver,,71-79,,
3:02.0,Turnover by K. Irving (bad pass),,71-79,,
3:02.0,L. James enters the game for K. Irving,,71-79,,
2:41.0,,,71-79,,R. Westbrook misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by Team,,71-79,,
2:41.0,,,71-79,,Loose ball foul by S. Adams (drawn by K. Love)
2:41.0,Cleveland full timeout,,71-79,,
2:41.0,K. Love makes free throw 1 of 2,1,72-79,,
2:41.0,K. Love makes free throw 2 of 2,1,73-79,,
2:41.0,,,71-79,,A. Roberson enters the game for R. Westbrook
2:41.0,,,71-79,,C. Payne enters the game for A. Morrow
2:41.0,C. Frye enters the game for T. Thompson,,71-79,,
2:27.0,,,73-81,2,S. Adams makes 2-pt shot from 3 ft (assist by A. Abrines)
2:14.0,D. Williams makes 2-pt shot from 1 ft (assist by L. James),2,75-81,,
2:14.0,Shooting foul by C. Payne (drawn by D. Williams),,75-81,,
2:14.0,D. Williams misses free throw 1 of 1,,75-81,,
2:14.0,,,75-81,,Defensive rebound by A. Roberson
1:59.0,,,75-81,,J. Lauvergne misses 2-pt shot from 7 ft
1:58.0,,,75-81,,Offensive rebound by S. Adams
1:58.0,,,75-83,2,S. Adams makes 2-pt shot from 2 ft
1:36.0,C. Frye misses 3-pt shot from 22 ft,,75-83,,
1:35.0,,,75-83,,Defensive rebound by A. Roberson
1:25.0,,,75-83,,Turnover by S. Adams (bad pass)
1:14.0,L. James makes 2-pt shot from 2 ft,2,77-83,,
1:00.0,,,77-83,,J. Lauvergne misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by Team,,77-83,,
0:58.0,,,77-83,,J. Grant enters the game for A. Abrines
0:41.0,K. Korver makes 3-pt shot from 24 ft (assist by L. James),3,80-83,,
0:31.0,,,80-86,3,C. Payne makes 3-pt shot from 24 ft
0:15.0,C. Frye makes 2-pt shot from 1 ft,2,82-86,,
0:03.0,,,82-86,,C. Payne misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by Team,,82-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,82-86,,V. Oladipo misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by C. Frye,,82-86,,
11:23.0,K. Korver makes 3-pt shot from 25 ft,3,85-86,,
11:12.0,,,85-88,2,J. Grant makes 2-pt shot at rim (assist by C. Payne)
10:57.0,K. Korver makes 2-pt shot from 1 ft (assist by L. James),2,87-88,,
10:39.0,,,87-88,,V. Oladipo misses 3-pt shot from 25 ft
10:39.0,,,87-88,,Offensive rebound by Team
10:39.0,Loose ball foul by L. James (drawn by J. Lauvergne),,87-88,,
10:33.0,,,87-88,,C. Payne misses 2-pt shot from 7 ft
10:32.0,Defensive rebound by C. Frye,,87-88,,
10:24.0,J. McRae misses 3-pt shot from 24 ft,,87-88,,
10:24.0,,,87-88,,Defensive rebound by A. Roberson
10:23.0,,,87-88,,Oklahoma City full timeout
10:05.0,,,87-90,2,C. Payne makes 2-pt shot from 9 ft (assist by V. Oladipo)
9:48.0,Turnover by K. Korver (bad pass; steal by A. Roberson),,87-90,,
9:45.0,,,87-92,2,A. Roberson makes 2-pt shot at rim
9:23.0,L. James misses 2-pt shot from 3 ft,,87-92,,
9:22.0,,,87-92,,Defensive rebound by C. Payne
9:18.0,,,87-92,,C. Payne misses 2-pt shot from 18 ft
9:17.0,,,87-92,,Offensive rebound by J. Grant
9:12.0,,,87-92,,C. Payne misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by Team,,87-92,,
9:11.0,K. Irving enters the game for J. McRae,,87-92,,
9:00.0,K. Irving misses 2-pt shot from 4 ft,,87-92,,
8:59.0,,,87-92,,Defensive rebound by A. Roberson
8:41.0,,,87-92,,J. Lauvergne misses 2-pt shot from 4 ft
8:41.0,,,87-92,,Offensive rebound by J. Grant
8:38.0,,,87-92,,J. Grant misses 2-pt shot from 1 ft (block by C. Frye)
8:37.0,,,87-92,,Offensive rebound by J. Lauvergne
8:34.0,,,87-92,,J. Lauvergne misses 2-pt shot from 1 ft (block by K. Korver)
8:32.0,,,87-92,,Offensive rebound by J. Lauvergne
8:23.0,,,87-92,,C. Payne misses 2-pt shot from 11 ft
8:22.0,,,87-92,,Offensive rebound by Team
8:22.0,Loose ball foul by K. Korver (drawn by J. Lauvergne),,87-92,,
8:22.0,,,87-92,,R. Westbrook enters the game for C. Payne
8:16.0,,,87-94,2,V. Oladipo makes 2-pt shot from 2 ft
7:52.0,D. Williams makes 2-pt shot from 1 ft,2,89-94,,
7:37.0,,,89-94,,Shooting foul by D. Williams (drawn by V. Oladipo)
7:37.0,,,89-95,1,V. Oladipo makes free throw 1 of 2
7:37.0,,,89-96,1,V. Oladipo makes free throw 2 of 2
7:37.0,T. Thompson enters the game for C. Frye,,89-95,,
7:37.0,,,89-95,,S. Adams enters the game for J. Lauvergne
7:22.0,K. Irving makes 2-pt shot from 2 ft,2,91-96,,
7:04.0,,,91-96,,Turnover by A. Roberson (bad pass; steal by K. Irving)
6:58.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,94-96,,
6:39.0,,,94-99,3,V. Oladipo makes 3-pt shot from 25 ft
6:14.0,Shooting foul by J. Grant (drawn by D. Williams),,94-99,,
6:14.0,D. Williams makes free throw 1 of 3,1,95-99,,
6:14.0,D. Williams makes free throw 2 of 3,1,96-99,,
6:14.0,D. Williams makes free throw 3 of 3,1,97-99,,
6:01.0,,,97-99,,R. Westbrook misses 2-pt shot from 2 ft (block by T. Thompson)
6:00.0,,,97-99,,Offensive rebound by S. Adams
