time,LA Clippers,pts.away,score,pts.home,Golden State
7:53.0,,,29-38,,Offensive rebound by K. Durant
7:53.0,,,29-40,2,K. Durant makes 2-pt shot from 1 ft
7:42.0,,,29-40,,Personal foul by K. Durant (drawn by M. Speights)
7:37.0,R. Felton misses 3-pt shot from 22 ft,,29-40,,
7:35.0,,,29-40,,Defensive rebound by S. Livingston
7:28.0,,,29-42,2,S. Livingston makes 2-pt shot from 14 ft
7:04.0,Turnover by B. Griffin (bad pass; steal by S. Livingston),,29-42,,
6:58.0,,,29-44,2,K. Thompson makes 2-pt shot from 1 ft
6:58.0,,,29-44,,Shooting foul by M. Speights (drawn by K. Thompson)
6:58.0,LA Clippers full timeout,,29-44,,
6:58.0,,,29-44,,K. Thompson misses free throw 1 of 1
6:57.0,Defensive rebound by B. Griffin,,29-44,,
6:40.0,B. Griffin makes 2-pt shot from 2 ft (assist by J. Crawford),2,31-44,,
6:23.0,,,31-46,2,J. McAdoo makes 2-pt shot at rim (assist by K. Durant)
6:05.0,B. Griffin makes 2-pt shot from 4 ft,2,33-46,,
5:43.0,,,33-48,2,K. Thompson makes 2-pt shot from 1 ft
5:29.0,B. Griffin makes 2-pt shot from 2 ft (assist by R. Felton),2,35-48,,
5:14.0,,,35-48,,K. Durant misses 2-pt shot from 18 ft
5:13.0,Defensive rebound by A. Rivers,,35-48,,
4:59.0,J. Crawford makes 3-pt shot from 25 ft (assist by M. Speights),3,38-48,,
4:57.0,,,38-48,,Golden State full timeout
4:57.0,,,38-48,,A. Iguodala enters the game for K. Thompson
4:57.0,,,38-48,,D. Green enters the game for P. McCaw
4:57.0,,,38-48,,S. Curry enters the game for J. McAdoo
4:40.0,,,38-48,,S. Curry misses 2-pt shot from 3 ft
4:38.0,Defensive rebound by A. Rivers,,38-48,,
4:28.0,R. Felton misses 2-pt shot from 1 ft (block by S. Livingston),,38-48,,
4:25.0,,,38-48,,Defensive rebound by S. Curry
