time,Miami,pts.away,score,pts.home,Chicago
6:45.0,,,60-71,,R. Lopez misses 2-pt shot from 20 ft
6:44.0,Defensive rebound by H. Whiteside,,60-71,,
6:35.0,Turnover by T. Johnson (lost ball; steal by R. Rondo),,60-71,,
6:31.0,,,60-73,2,D. Wade makes 2-pt shot from 1 ft (assist by R. Rondo)
6:14.0,,,60-73,,Personal foul by R. Rondo (drawn by T. Johnson)
6:14.0,J. Richardson enters the game for R. McGruder,,60-73,,
6:03.0,J. Richardson misses 3-pt shot from 25 ft,,60-73,,
6:01.0,Offensive rebound by J. McRoberts,,60-73,,
6:01.0,J. McRoberts makes 2-pt shot at rim,2,62-73,,
5:47.0,,,62-73,,T. Gibson misses 2-pt shot from 5 ft
5:46.0,,,62-73,,Offensive rebound by R. Lopez
5:46.0,,,62-75,2,R. Lopez makes 2-pt shot from 1 ft
5:33.0,J. Richardson makes 2-pt shot from 22 ft (assist by G. Dragic),2,64-75,,
5:22.0,,,64-75,,T. Gibson misses 2-pt shot from 6 ft (block by H. Whiteside)
5:20.0,,,64-75,,Offensive rebound by J. Butler
5:18.0,,,64-77,2,T. Gibson makes 2-pt shot from 11 ft (assist by R. Rondo)
4:58.0,J. McRoberts misses 3-pt shot from 25 ft,,64-77,,
4:57.0,,,64-77,,Defensive rebound by Team
4:40.0,,,64-77,,J. Butler misses 2-pt shot from 15 ft
4:39.0,Defensive rebound by G. Dragic,,64-77,,
4:30.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,66-77,,
4:29.0,,,66-77,,Chicago full timeout
4:29.0,,,66-77,,D. McDermott enters the game for T. Gibson
4:29.0,,,66-77,,N. Mirotic enters the game for D. Wade
4:13.0,,,66-77,,Turnover by R. Rondo (lost ball)
3:50.0,G. Dragic misses 3-pt shot from 25 ft,,66-77,,
3:49.0,Offensive rebound by J. Richardson,,66-77,,
3:49.0,J. Richardson makes 2-pt shot from 2 ft,2,68-77,,
3:24.0,,,68-77,,Turnover by N. Mirotic (bad pass; steal by J. McRoberts)
3:19.0,T. Johnson misses 2-pt shot at rim,,68-77,,
3:18.0,,,68-77,,Defensive rebound by D. McDermott
3:13.0,,,68-77,,Turnover by D. McDermott (step out of bounds)
2:57.0,J. McRoberts makes 3-pt shot from 23 ft (assist by G. Dragic),3,71-77,,
2:43.0,Personal foul by H. Whiteside (drawn by J. Butler),,71-77,,
2:43.0,,,71-78,1,J. Butler makes free throw 1 of 2
2:43.0,,,71-79,1,J. Butler makes free throw 2 of 2
2:43.0,,,71-78,,J. Grant enters the game for R. Rondo
2:43.0,,,71-78,,C. Felicio enters the game for R. Lopez
2:43.0,W. Reed enters the game for H. Whiteside,,71-78,,
2:26.0,T. Johnson misses 3-pt shot from 23 ft,,71-79,,
2:24.0,Offensive rebound by W. Reed,,71-79,,
2:15.0,T. Johnson makes 2-pt shot from 2 ft,2,73-79,,
1:57.0,,,73-79,,N. Mirotic misses 3-pt shot from 25 ft
1:57.0,Defensive rebound by J. McRoberts,,73-79,,
1:50.0,J. Richardson misses 3-pt shot from 26 ft,,73-79,,
1:49.0,,,73-79,,Defensive rebound by J. Grant
1:43.0,,,73-79,,Shooting foul by W. Reed (drawn by J. Butler)
1:43.0,,,73-80,1,J. Butler makes free throw 1 of 2
1:43.0,,,73-81,1,J. Butler makes free throw 2 of 2
1:43.0,D. Williams enters the game for J. McRoberts,,73-80,,
1:25.0,T. Johnson misses 2-pt shot from 5 ft,,73-81,,
1:25.0,,,73-81,,Defensive rebound by Team
1:25.0,,,73-81,,D. Wade enters the game for J. Butler
1:11.0,,,73-81,,D. Wade misses 2-pt shot from 12 ft
1:10.0,Defensive rebound by D. Williams,,73-81,,
0:59.0,D. Williams makes 2-pt shot from 1 ft (assist by J. Richardson),2,75-81,,
0:47.0,,,75-81,,J. Grant misses 2-pt shot from 10 ft
0:46.0,Defensive rebound by Team,,75-81,,
0:34.0,,,75-81,,Loose ball foul by C. Felicio (drawn by T. Johnson)
0:25.0,G. Dragic misses 2-pt shot from 16 ft,,75-81,,
0:24.0,,,75-81,,Defensive rebound by D. Wade
0:15.0,,,75-83,2,D. McDermott makes 2-pt shot at rim (assist by N. Mirotic)
0:05.0,Turnover by G. Dragic (traveling),,75-83,,
0:00.0,,,75-83,,D. Wade misses 2-pt shot from 1 ft
0:00.0,,,75-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,75-83,,J. Grant misses 2-pt shot from 21 ft
11:36.0,Defensive rebound by D. Williams,,75-83,,
11:30.0,D. Williams misses 2-pt shot from 17 ft,,75-83,,
11:29.0,,,75-83,,Defensive rebound by C. Felicio
11:27.0,,,75-83,,Turnover by D. Wade (traveling)
11:04.0,W. Reed makes 2-pt shot from 19 ft (assist by J. Richardson),2,77-83,,
10:47.0,,,77-85,2,N. Mirotic makes 2-pt shot from 7 ft
10:18.0,T. Johnson makes 2-pt shot from 11 ft (assist by J. Richardson),2,79-85,,
10:05.0,,,79-85,,Shooting foul by W. Ellington (drawn by D. McDermott)
10:05.0,,,79-86,1,D. McDermott makes free throw 1 of 2
10:05.0,,,79-87,1,D. McDermott makes free throw 2 of 2
9:50.0,D. Williams misses 2-pt shot from 17 ft,,79-87,,
9:49.0,,,79-87,,Defensive rebound by D. Wade
9:47.0,,,79-89,2,N. Mirotic makes 2-pt shot from 3 ft (assist by D. Wade)
9:32.0,Shooting foul by C. Felicio (drawn by D. Williams),,79-89,,
9:32.0,D. Williams makes free throw 1 of 2,1,80-89,,
9:32.0,D. Williams makes free throw 2 of 2,1,81-89,,
9:16.0,,,81-89,,D. McDermott misses 2-pt shot from 10 ft
9:15.0,Defensive rebound by D. Williams,,81-89,,
9:07.0,W. Reed makes 2-pt shot at rim (assist by T. Johnson),2,83-89,,
8:48.0,,,83-91,2,D. Wade makes 2-pt shot from 9 ft
8:37.0,T. Johnson misses 2-pt shot from 1 ft,,83-91,,
8:37.0,,,83-91,,Defensive rebound by Team
8:37.0,,,83-91,,Chicago full timeout
8:37.0,,,83-91,,J. Butler enters the game for J. Grant
8:18.0,,,83-91,,J. Butler misses 2-pt shot from 12 ft
8:18.0,Defensive rebound by Team,,83-91,,
7:59.0,W. Reed makes 2-pt shot from 2 ft,2,85-91,,
7:41.0,,,85-91,,N. Mirotic misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by W. Reed,,85-91,,
7:22.0,W. Ellington makes 2-pt shot from 21 ft (assist by W. Reed),2,87-91,,
7:01.0,,,87-93,2,D. Wade makes 2-pt shot from 9 ft
6:48.0,J. Richardson makes 2-pt shot from 1 ft,2,89-93,,
6:34.0,,,89-93,,D. Wade misses 2-pt shot from 9 ft
6:32.0,Defensive rebound by Team,,89-93,,
6:32.0,,,89-93,,R. Lopez enters the game for C. Felicio
6:32.0,,,89-93,,R. Rondo enters the game for D. McDermott
6:30.0,Jump ball: J. Richardson vs. D. Wade (T. Johnson gains possession),,,,Jump ball: J. Richardson vs. D. Wade (T. Johnson gains possession)
6:23.0,J. Richardson misses 3-pt shot from 25 ft,,89-93,,
6:22.0,Offensive rebound by W. Reed,,89-93,,
6:22.0,Shooting foul by R. Lopez (drawn by W. Reed),,89-93,,
6:22.0,W. Reed misses free throw 1 of 2,,89-93,,
6:22.0,Offensive rebound by Team,,89-93,,
6:22.0,W. Reed misses free throw 2 of 2,,89-93,,
6:20.0,,,89-93,,Defensive rebound by R. Rondo
6:06.0,,,89-93,,Offensive foul by D. Wade
6:06.0,,,89-93,,Turnover by D. Wade (offensive foul)
5:53.0,D. Williams misses 2-pt shot at rim,,89-93,,
5:50.0,Offensive rebound by D. Williams,,89-93,,
5:46.0,T. Johnson misses 3-pt shot from 25 ft,,89-93,,
5:45.0,Offensive rebound by W. Reed,,89-93,,
5:45.0,W. Reed misses 2-pt shot from 1 ft,,89-93,,
5:44.0,,,89-93,,Defensive rebound by R. Lopez
5:39.0,,,89-93,,Shooting foul by T. Johnson (drawn by D. Wade)
5:39.0,,,89-93,,Chicago full timeout
5:39.0,,,89-94,1,D. Wade makes free throw 1 of 2
5:39.0,,,89-95,1,D. Wade makes free throw 2 of 2
5:39.0,,,89-93,,T. Gibson enters the game for N. Mirotic
5:39.0,G. Dragic enters the game for W. Ellington,,89-93,,
5:39.0,H. Whiteside enters the game for W. Reed,,89-93,,
5:24.0,D. Williams makes 2-pt shot from 10 ft (assist by T. Johnson),2,91-95,,
5:07.0,,,91-95,,D. Wade misses 2-pt shot from 22 ft
5:05.0,Defensive rebound by G. Dragic,,91-95,,
4:56.0,G. Dragic makes 2-pt shot from 21 ft,2,93-95,,
4:33.0,,,93-97,2,J. Butler makes 2-pt shot from 12 ft
4:20.0,T. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic),3,96-97,,
3:58.0,,,96-99,2,J. Butler makes 2-pt shot from 3 ft
