time,Miami,pts.away,score,pts.home,Washington
7:27.0,H. Whiteside enters the game for W. Reed,,38-39,,
7:27.0,J. Johnson enters the game for O. White,,38-39,,
7:12.0,T. Johnson misses 2-pt shot from 2 ft,,38-39,,
7:12.0,,,38-39,,Defensive rebound by I. Mahinmi
7:05.0,,,38-39,,B. Jennings misses 2-pt shot from 2 ft
7:04.0,Defensive rebound by T. Johnson,,38-39,,
6:57.0,Turnover by H. Whiteside (lost ball; steal by I. Mahinmi),,38-39,,
6:50.0,,,38-39,,J. Smith misses 3-pt shot from 26 ft
6:49.0,Defensive rebound by J. Johnson,,38-39,,
6:43.0,,,38-39,,J. Wall enters the game for T. Satoransky
6:43.0,J. Richardson enters the game for G. Dragic,,38-39,,
6:43.0,,,38-39,,K. Oubre enters the game for J. Smith
6:39.0,,,38-39,,Personal foul by B. Bogdanovic (drawn by W. Ellington)
6:25.0,J. Richardson misses 2-pt shot from 5 ft,,38-39,,
6:24.0,,,38-39,,Defensive rebound by J. Wall
6:08.0,,,38-39,,J. Wall misses 2-pt shot from 19 ft
6:07.0,Defensive rebound by H. Whiteside,,38-39,,
5:58.0,,,38-39,,Washington full timeout
5:58.0,,,38-39,,M. Morris enters the game for B. Jennings
5:55.0,H. Whiteside makes 2-pt shot from 8 ft (assist by J. Johnson),2,40-39,,
5:37.0,,,40-39,,Offensive foul by I. Mahinmi
5:37.0,,,40-39,,Turnover by I. Mahinmi (offensive foul)
5:24.0,T. Johnson misses 2-pt shot from 3 ft (block by I. Mahinmi),,40-39,,
5:24.0,Offensive rebound by Team,,40-39,,
5:22.0,J. Johnson makes 2-pt shot from 3 ft (assist by J. Richardson),2,42-39,,
5:06.0,,,42-39,,M. Morris misses 2-pt shot from 13 ft
5:05.0,Defensive rebound by W. Ellington,,42-39,,
4:55.0,T. Johnson makes 2-pt shot from 2 ft (assist by J. Johnson),2,44-39,,
4:35.0,Personal foul by J. Richardson (drawn by M. Morris),,44-39,,
4:28.0,,,44-39,,K. Oubre misses 3-pt shot from 26 ft
4:27.0,,,44-39,,Offensive rebound by M. Morris
4:24.0,,,44-41,2,M. Morris makes 2-pt shot from 3 ft
4:11.0,Turnover by T. Johnson (bad pass; steal by J. Wall),,44-41,,
4:06.0,,,44-41,,Turnover by J. Wall (lost ball; steal by J. Richardson)
4:06.0,Turnover by J. Richardson (step out of bounds),,44-41,,
4:06.0,,,44-41,,M. Gortat enters the game for I. Mahinmi
4:06.0,,,44-41,,B. Beal enters the game for B. Bogdanovic
4:05.0,Personal foul by W. Ellington (drawn by B. Beal),,44-41,,
4:05.0,R. McGruder enters the game for W. Ellington,,44-41,,
4:01.0,,,44-41,,Turnover by B. Beal (bad pass; steal by J. Richardson)
3:57.0,J. Richardson misses 2-pt shot from 1 ft (block by J. Wall),,44-41,,
3:55.0,Offensive rebound by Team,,44-41,,
3:42.0,H. Whiteside misses 2-pt shot from 11 ft,,44-41,,
3:41.0,,,44-41,,Defensive rebound by K. Oubre
3:32.0,,,44-41,,J. Wall misses 2-pt shot from 6 ft
3:31.0,Defensive rebound by H. Whiteside,,44-41,,
3:25.0,J. Johnson makes 2-pt shot from 1 ft,2,46-41,,
3:03.0,,,46-43,2,B. Beal makes 2-pt shot from 18 ft
3:01.0,Miami full timeout,,46-43,,
3:01.0,G. Dragic enters the game for T. Johnson,,46-43,,
2:42.0,H. Whiteside makes 2-pt shot from 7 ft,2,48-43,,
2:29.0,,,48-43,,Turnover by J. Wall (bad pass; steal by H. Whiteside)
2:16.0,Turnover by H. Whiteside (lost ball; steal by M. Morris),,48-43,,
2:12.0,,,48-45,2,J. Wall makes 2-pt shot from 2 ft
1:48.0,,,48-45,,Shooting block foul by K. Oubre (drawn by H. Whiteside)
1:48.0,H. Whiteside makes free throw 1 of 2,1,49-45,,
1:48.0,H. Whiteside makes free throw 2 of 2,1,50-45,,
1:48.0,T. Johnson enters the game for R. McGruder,,49-45,,
1:36.0,,,50-45,,Shooting foul by T. Johnson (drawn by J. Wall)
1:36.0,,,50-45,,J. Wall misses free throw 1 of 3
1:36.0,,,50-45,,Offensive rebound by Team
1:36.0,,,50-46,1,J. Wall makes free throw 2 of 3
1:36.0,,,50-47,1,J. Wall makes free throw 3 of 3
1:20.0,T. Johnson misses 2-pt shot from 2 ft,,50-47,,
1:19.0,,,50-47,,Defensive rebound by M. Morris
1:13.0,,,50-47,,Turnover by J. Wall (bad pass; steal by G. Dragic)
1:10.0,Turnover by G. Dragic (bad pass; steal by B. Beal),,50-47,,
1:05.0,,,50-50,3,J. Wall makes 3-pt shot from 24 ft (assist by B. Beal)
0:56.0,Miami full timeout,,50-50,,
0:56.0,,,50-50,,T. Satoransky enters the game for K. Oubre
0:46.0,J. Johnson misses 3-pt shot from 26 ft,,50-50,,
0:45.0,Offensive rebound by H. Whiteside,,50-50,,
0:40.0,J. Johnson misses 2-pt shot from 19 ft,,50-50,,
0:39.0,,,50-50,,Defensive rebound by M. Morris
0:34.0,,,50-50,,T. Satoransky misses 2-pt shot from 2 ft
0:33.0,Defensive rebound by J. Johnson,,50-50,,
0:26.0,G. Dragic makes 2-pt shot from 8 ft,2,52-50,,
0:04.0,,,52-52,2,T. Satoransky makes 2-pt shot from 10 ft (assist by B. Beal)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,G. Dragic makes 2-pt shot from 9 ft (assist by H. Whiteside),2,54-52,,
11:32.0,,,54-52,,Shooting foul by J. Johnson (drawn by M. Gortat)
11:32.0,,,54-53,1,M. Gortat makes free throw 1 of 2
11:32.0,,,54-54,1,M. Gortat makes free throw 2 of 2
11:32.0,T. Johnson enters the game for R. McGruder,,54-53,,
11:16.0,Offensive charge foul by J. Johnson,,54-54,,
11:16.0,Turnover by J. Johnson (offensive foul),,54-54,,
11:04.0,,,54-54,,J. Wall misses 2-pt shot from 21 ft
11:03.0,Defensive rebound by J. Richardson,,54-54,,
10:56.0,J. Richardson makes 3-pt shot from 26 ft (assist by G. Dragic),3,57-54,,
10:41.0,,,57-54,,Turnover by B. Beal (discontinued dribble)
10:32.0,Turnover by G. Dragic (lost ball),,57-54,,
10:17.0,,,57-54,,M. Morris misses 2-pt shot from 16 ft
10:16.0,,,57-54,,Offensive rebound by M. Gortat
10:14.0,,,57-56,2,M. Gortat makes 2-pt shot from 2 ft
9:56.0,H. Whiteside makes 2-pt shot from 22 ft (assist by J. Richardson),2,59-56,,
9:43.0,,,59-58,2,K. Oubre makes 2-pt shot from 20 ft (assist by J. Wall)
9:22.0,,,59-58,,Personal foul by M. Morris (drawn by H. Whiteside)
9:16.0,G. Dragic misses 2-pt shot from 16 ft,,59-58,,
9:16.0,,,59-58,,Defensive rebound by J. Wall
9:02.0,Personal foul by T. Johnson (drawn by M. Morris),,59-58,,
8:59.0,,,59-58,,B. Beal misses 2-pt shot from 2 ft
8:58.0,Defensive rebound by J. Johnson,,59-58,,
8:52.0,J. Johnson misses 2-pt shot from 3 ft,,59-58,,
8:51.0,,,59-58,,Defensive rebound by M. Gortat
8:31.0,,,59-58,,Turnover by J. Wall (bad pass)
8:16.0,T. Johnson misses 3-pt shot from 24 ft,,59-58,,
8:15.0,,,59-58,,Defensive rebound by K. Oubre
8:05.0,Violation by T. Johnson (kicked ball),,59-58,,
8:03.0,,,59-58,,Turnover by J. Wall (bad pass; steal by J. Richardson)
7:56.0,G. Dragic makes 2-pt shot from 14 ft,2,61-58,,
7:36.0,,,61-58,,B. Beal misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by T. Johnson,,61-58,,
7:13.0,T. Johnson misses 2-pt shot from 1 ft (block by B. Beal),,61-58,,
7:12.0,,,61-58,,Defensive rebound by M. Gortat
7:06.0,,,61-60,2,K. Oubre makes 2-pt shot from 1 ft (assist by B. Beal)
6:48.0,G. Dragic makes 2-pt shot from 6 ft,2,63-60,,
6:48.0,Shooting foul by M. Morris (drawn by G. Dragic),,63-60,,
6:48.0,G. Dragic makes free throw 1 of 1,1,64-60,,
6:38.0,,,64-60,,M. Gortat misses 2-pt shot from 14 ft
6:37.0,Defensive rebound by J. Johnson,,64-60,,
6:27.0,Shooting foul by B. Beal (drawn by H. Whiteside),,64-60,,
6:27.0,H. Whiteside misses free throw 1 of 2,,64-60,,
6:27.0,Offensive rebound by Team,,64-60,,
6:27.0,H. Whiteside makes free throw 2 of 2,1,65-60,,
6:06.0,,,65-60,,J. Wall misses 2-pt shot from 14 ft
6:04.0,,,65-60,,Offensive rebound by K. Oubre
6:00.0,,,65-62,2,K. Oubre makes 2-pt shot at rim
5:46.0,G. Dragic misses 2-pt shot from 14 ft,,65-62,,
5:45.0,,,65-62,,Defensive rebound by B. Beal
5:39.0,,,65-62,,J. Wall misses 2-pt shot from 5 ft
5:38.0,,,65-62,,Offensive rebound by M. Gortat
5:34.0,,,65-62,,K. Oubre misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by T. Johnson,,65-62,,
5:22.0,Shooting foul by B. Beal (drawn by G. Dragic),,65-62,,
5:22.0,,,65-62,,Washington full timeout
5:22.0,G. Dragic makes free throw 1 of 3,1,66-62,,
5:22.0,G. Dragic makes free throw 2 of 3,1,67-62,,
5:22.0,G. Dragic makes free throw 3 of 3,1,68-62,,
5:06.0,,,68-65,3,B. Beal makes 3-pt shot from 25 ft (assist by M. Gortat)
4:44.0,H. Whiteside misses 2-pt shot from 15 ft,,68-65,,
4:43.0,,,68-65,,Defensive rebound by J. Wall
4:30.0,,,68-65,,B. Beal misses 2-pt shot from 10 ft
4:29.0,Defensive rebound by G. Dragic,,68-65,,
4:25.0,Shooting foul by B. Beal (drawn by T. Johnson),,68-65,,
4:25.0,T. Johnson makes free throw 1 of 2,1,69-65,,
4:25.0,T. Johnson misses free throw 2 of 2,,69-65,,
4:25.0,,,69-65,,B. Bogdanovic enters the game for M. Morris
4:25.0,W. Ellington enters the game for G. Dragic,,69-65,,
4:24.0,,,69-65,,Defensive rebound by M. Gortat
4:11.0,,,69-68,3,K. Oubre makes 3-pt shot from 26 ft (assist by J. Wall)
4:10.0,Miami full timeout,,69-68,,
3:50.0,H. Whiteside misses 2-pt shot from 2 ft,,69-68,,
3:49.0,Offensive rebound by H. Whiteside,,69-68,,
3:48.0,H. Whiteside makes 2-pt shot from 1 ft,2,71-68,,
3:26.0,,,71-70,2,K. Oubre makes 2-pt shot from 9 ft (assist by B. Beal)
3:04.0,W. Ellington makes 2-pt shot from 18 ft (assist by J. Richardson),2,73-70,,
2:49.0,,,73-70,,Turnover by J. Wall (bad pass; steal by W. Ellington)
2:45.0,Shooting foul by K. Oubre (drawn by T. Johnson),,73-70,,
2:45.0,T. Johnson misses free throw 1 of 2,,73-70,,
2:45.0,Offensive rebound by Team,,73-70,,
2:45.0,T. Johnson makes free throw 2 of 2,1,74-70,,
2:45.0,W. Reed enters the game for H. Whiteside,,73-70,,
2:32.0,,,74-72,2,B. Beal makes 2-pt shot from 7 ft (assist by J. Wall)
2:10.0,,,74-72,,Violation by B. Beal (kicked ball)
2:10.0,,,74-72,,I. Mahinmi enters the game for M. Gortat
2:10.0,,,74-72,,B. Jennings enters the game for B. Beal
2:03.0,W. Ellington misses 3-pt shot from 27 ft,,74-72,,
2:03.0,Offensive rebound by Team,,74-72,,
2:03.0,,,74-72,,Loose ball foul by B. Bogdanovic (drawn by J. Johnson)
2:03.0,J. Johnson makes free throw 1 of 2,1,75-72,,
2:03.0,J. Johnson misses free throw 2 of 2,,75-72,,
2:01.0,,,75-72,,Defensive rebound by K. Oubre
1:48.0,,,75-72,,Shooting foul by W. Reed (drawn by J. Wall)
1:48.0,,,75-73,1,J. Wall makes free throw 1 of 2
1:48.0,,,75-74,1,J. Wall makes free throw 2 of 2
1:33.0,T. Johnson makes 3-pt shot from 26 ft (assist by W. Ellington),3,78-74,,
1:11.0,,,78-74,,B. Bogdanovic misses 2-pt shot from 4 ft (block by W. Reed)
1:09.0,,,78-74,,Offensive rebound by I. Mahinmi
1:05.0,,,78-74,,B. Jennings misses 3-pt shot from 27 ft
1:04.0,Defensive rebound by J. Johnson,,78-74,,
0:45.0,Shooting foul by J. Wall (drawn by W. Reed),,78-74,,
0:45.0,W. Reed misses free throw 1 of 2,,78-74,,
0:45.0,Offensive rebound by Team,,78-74,,
0:45.0,W. Reed misses free throw 2 of 2,,78-74,,
0:45.0,,,78-74,,Defensive rebound by B. Bogdanovic
0:45.0,O. White enters the game for J. Johnson,,78-74,,
0:40.0,,,78-74,,J. Wall misses 2-pt shot from 1 ft (block by J. Richardson)
0:38.0,Defensive rebound by T. Johnson,,78-74,,
0:25.0,T. Johnson misses 3-pt shot from 25 ft,,78-74,,
0:25.0,,,78-74,,Defensive rebound by I. Mahinmi
0:00.0,,,78-74,,J. Wall misses 3-pt shot from 28 ft
0:00.0,,,78-74,,Offensive rebound by Team
0:00.0,,,78-74,,Turnover by Team (shot clock)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,78-76,2,B. Bogdanovic makes 2-pt shot from 14 ft (assist by K. Oubre)
11:17.0,W. Reed misses 2-pt shot from 17 ft,,78-76,,
11:16.0,,,78-76,,Defensive rebound by K. Oubre
11:01.0,,,78-78,2,I. Mahinmi makes 2-pt shot from 5 ft (assist by B. Jennings)
10:42.0,W. Reed makes 2-pt shot from 2 ft (assist by O. White),2,80-78,,
10:31.0,,,80-78,,B. Beal misses 2-pt shot from 17 ft
10:30.0,Defensive rebound by G. Dragic,,80-78,,
10:23.0,Shooting foul by B. Jennings (drawn by G. Dragic),,80-78,,
10:23.0,G. Dragic misses free throw 1 of 3,,80-78,,
10:23.0,Offensive rebound by Team,,80-78,,
10:23.0,G. Dragic misses free throw 2 of 3,,80-78,,
10:23.0,Offensive rebound by Team,,80-78,,
10:23.0,G. Dragic makes free throw 3 of 3,1,81-78,,
9:59.0,,,81-81,3,B. Bogdanovic makes 3-pt shot from 31 ft
9:36.0,G. Dragic makes 2-pt shot from 9 ft,2,83-81,,
9:25.0,,,83-81,,Shooting foul by W. Ellington (drawn by K. Oubre)
9:25.0,,,83-81,,K. Oubre misses free throw 1 of 2
9:25.0,,,83-81,,Offensive rebound by Team
9:25.0,,,83-82,1,K. Oubre makes free throw 2 of 2
9:25.0,J. Johnson enters the game for T. Johnson,,83-81,,
9:25.0,R. McGruder enters the game for O. White,,83-81,,
9:25.0,H. Whiteside enters the game for W. Reed,,83-81,,
9:16.0,G. Dragic misses 2-pt shot from 6 ft,,83-82,,
9:15.0,Offensive rebound by H. Whiteside,,83-82,,
9:15.0,Shooting foul by B. Bogdanovic (drawn by H. Whiteside),,83-82,,
9:15.0,H. Whiteside makes free throw 1 of 2,1,84-82,,
9:15.0,H. Whiteside misses free throw 2 of 2,,84-82,,
9:15.0,,,84-82,,M. Morris enters the game for K. Oubre
9:14.0,,,84-82,,Defensive rebound by I. Mahinmi
9:00.0,,,84-84,2,M. Morris makes 2-pt shot from 4 ft
8:38.0,J. Johnson misses 2-pt shot from 9 ft,,84-84,,
8:37.0,,,84-84,,Defensive rebound by M. Morris
8:33.0,,,84-84,,Turnover by M. Morris (bad pass)
8:31.0,Official timeout,,84-84,,
8:17.0,H. Whiteside makes 2-pt shot from 13 ft (assist by G. Dragic),2,86-84,,
7:58.0,,,86-84,,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. Johnson)
7:58.0,,,86-84,,Offensive rebound by I. Mahinmi
7:58.0,,,86-84,,Shooting foul by J. Johnson (drawn by I. Mahinmi)
7:58.0,,,86-84,,I. Mahinmi misses free throw 1 of 2
7:58.0,,,86-84,,Offensive rebound by Team
7:58.0,,,86-85,1,I. Mahinmi makes free throw 2 of 2
7:58.0,,,86-84,,J. Wall enters the game for B. Jennings
7:58.0,J. Richardson enters the game for R. McGruder,,86-84,,
7:37.0,T. Johnson enters the game for W. Ellington,,86-85,,
7:33.0,J. Johnson misses 3-pt shot from 27 ft,,86-85,,
7:32.0,,,86-85,,Defensive rebound by J. Wall
7:11.0,,,86-87,2,M. Morris makes 2-pt shot from 18 ft
6:55.0,G. Dragic misses 2-pt shot from 17 ft,,86-87,,
6:54.0,Offensive rebound by H. Whiteside,,86-87,,
6:44.0,,,86-87,,Personal foul by I. Mahinmi (drawn by H. Whiteside)
6:36.0,,,86-87,,Violation by I. Mahinmi (kicked ball)
6:27.0,Turnover by J. Johnson (lost ball; steal by I. Mahinmi),,86-87,,
6:20.0,,,86-87,,J. Wall misses 3-pt shot from 26 ft
6:19.0,,,86-87,,Offensive rebound by I. Mahinmi
6:19.0,Loose ball foul by G. Dragic (drawn by I. Mahinmi),,86-87,,
6:14.0,,,86-87,,B. Beal misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by J. Johnson,,86-87,,
6:03.0,G. Dragic misses 2-pt shot from 1 ft,,86-87,,
6:02.0,,,86-87,,Defensive rebound by J. Wall
5:54.0,,,86-90,3,M. Morris makes 3-pt shot from 27 ft (assist by B. Beal)
5:53.0,Miami full timeout,,86-90,,
5:42.0,H. Whiteside makes 2-pt shot from 1 ft,2,88-90,,
5:42.0,Shooting foul by I. Mahinmi (drawn by H. Whiteside),,88-90,,
5:42.0,,,88-90,,Technical foul by I. Mahinmi (drawn by H. Whiteside)
5:42.0,T. Johnson misses technical free throw,,88-90,,
5:42.0,Offensive rebound by Team,,88-90,,
5:42.0,H. Whiteside misses free throw 1 of 1,,88-90,,
5:41.0,Offensive rebound by H. Whiteside,,88-90,,
5:37.0,H. Whiteside misses 2-pt shot from 1 ft,,88-90,,
5:36.0,,,88-90,,Defensive rebound by I. Mahinmi
5:22.0,,,88-92,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by J. Wall)
