time,Philadelphia,pts.away,score,pts.home,Sacramento
7:53.0,R. Covington misses 2-pt shot from 2 ft,,2-10,,
7:52.0,,,2-10,,Defensive rebound by D. Cousins
7:41.0,,,2-10,,R. Gay misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by E. Ilyasova,,2-10,,
7:34.0,Turnover by J. Embiid (traveling),,2-10,,
7:17.0,,,2-13,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
7:10.0,,,2-13,,Violation by D. Cousins (kicked ball)
7:02.0,,,2-13,,Personal foul by K. Koufos (drawn by J. Embiid)
6:54.0,S. Rodriguez makes 2-pt shot from 20 ft,2,4-13,,
6:36.0,,,4-13,,B. McLemore misses 2-pt shot from 14 ft
6:36.0,Defensive rebound by R. Covington,,4-13,,
6:16.0,Turnover by R. Covington (traveling),,4-13,,
6:07.0,,,4-13,,D. Cousins misses 3-pt shot from 26 ft
6:06.0,Defensive rebound by R. Covington,,4-13,,
5:52.0,S. Rodriguez misses 2-pt shot from 15 ft,,4-13,,
5:51.0,,,4-13,,Defensive rebound by R. Gay
5:43.0,,,4-13,,R. Gay misses 2-pt shot from 3 ft
5:42.0,Defensive rebound by E. Ilyasova,,4-13,,
5:36.0,G. Henderson makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,6-13,,
5:26.0,J. Okafor enters the game for J. Embiid,,6-13,,
5:26.0,T. McConnell enters the game for S. Rodriguez,,6-13,,
5:22.0,Personal foul by J. Okafor (drawn by D. Cousins),,6-13,,
5:10.0,,,6-13,,B. McLemore misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by R. Covington,,6-13,,
5:03.0,N. Stauskas enters the game for G. Henderson,,6-13,,
4:58.0,E. Ilyasova makes 3-pt shot from 25 ft,3,9-13,,
4:47.0,,,9-13,,Turnover by D. Collison (bad pass; steal by N. Stauskas)
4:46.0,,,9-13,,Personal foul by K. Koufos (drawn by N. Stauskas)
4:46.0,D. Saric enters the game for R. Covington,,9-13,,
4:46.0,,,9-13,,M. Barnes enters the game for K. Koufos
4:35.0,D. Saric misses 3-pt shot from 24 ft,,9-13,,
4:34.0,Offensive rebound by J. Okafor,,9-13,,
4:33.0,J. Okafor makes 2-pt shot from 2 ft,2,11-13,,
4:16.0,,,11-15,2,B. McLemore makes 2-pt shot at rim (assist by D. Cousins)
3:59.0,J. Okafor makes 2-pt shot from 4 ft,2,13-15,,
3:49.0,Personal foul by N. Stauskas (drawn by D. Cousins),,13-15,,
3:49.0,,,13-15,,G. Temple enters the game for B. McLemore
3:39.0,,,13-15,,Turnover by R. Gay (traveling)
3:25.0,Turnover by T. McConnell (lost ball; steal by D. Cousins),,13-15,,
3:22.0,,,13-17,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins)
3:22.0,Violation by E. Ilyasova (def goaltending),,13-17,,
3:04.0,N. Stauskas makes 2-pt shot from 2 ft,2,15-17,,
2:48.0,,,15-17,,D. Collison misses 2-pt shot from 2 ft
2:47.0,,,15-17,,Offensive rebound by D. Collison
2:47.0,,,15-19,2,D. Collison makes 2-pt shot from 2 ft
2:37.0,E. Ilyasova misses 3-pt shot from 25 ft,,15-19,,
2:37.0,,,15-19,,Defensive rebound by D. Cousins
2:26.0,,,15-19,,Turnover by G. Temple (bad pass; steal by E. Ilyasova)
2:23.0,E. Ilyasova makes 2-pt shot from 3 ft,2,17-19,,
2:16.0,,,17-19,,Sacramento full timeout
2:16.0,,,17-19,,T. Lawson enters the game for D. Collison
2:16.0,,,17-19,,A. Tolliver enters the game for R. Gay
2:05.0,,,17-21,2,D. Cousins makes 2-pt shot from 2 ft (assist by M. Barnes)
1:51.0,Turnover by D. Saric (palming),,17-21,,
1:45.0,,,17-21,,Turnover by A. Tolliver (lost ball)
1:44.0,,,17-21,,Loose ball foul by A. Tolliver (drawn by E. Ilyasova)
1:29.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by J. Okafor),3,20-21,,
1:08.0,,,20-23,2,D. Cousins makes 2-pt shot from 4 ft
1:08.0,,,20-23,,Shooting foul by J. Okafor (drawn by D. Cousins)
1:08.0,,,20-24,1,D. Cousins makes free throw 1 of 1
0:57.0,N. Stauskas makes 2-pt shot from 20 ft (assist by J. Okafor),2,22-24,,
0:46.0,,,22-24,,D. Cousins misses 2-pt shot from 4 ft
0:46.0,Defensive rebound by D. Saric,,22-24,,
0:36.0,J. Okafor misses 2-pt shot from 15 ft,,22-24,,
0:35.0,,,22-24,,Defensive rebound by M. Barnes
0:26.0,N. Noel enters the game for J. Okafor,,22-24,,
0:23.0,,,22-24,,D. Cousins misses 2-pt shot from 5 ft (block by N. Noel)
0:21.0,Defensive rebound by D. Saric,,22-24,,
0:21.0,,,22-24,,Personal foul by M. Barnes (drawn by T. McConnell)
0:21.0,T. McConnell misses free throw 1 of 2,,22-24,,
0:21.0,Offensive rebound by Team,,22-24,,
0:21.0,T. McConnell makes free throw 2 of 2,1,23-24,,
0:00.0,,,23-24,,D. Cousins misses 2-pt shot from 2 ft
0:00.0,,,23-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by T. McConnell (bad pass),,23-24,,
11:31.0,,,23-26,2,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by G. Temple)
11:14.0,D. Saric misses 2-pt shot from 18 ft,,23-26,,
11:13.0,,,23-26,,Defensive rebound by W. Cauley-Stein
11:05.0,,,23-29,3,A. Tolliver makes 3-pt shot from 25 ft (assist by T. Lawson)
10:46.0,T. McConnell misses 2-pt shot from 8 ft (block by W. Cauley-Stein),,23-29,,
10:45.0,,,23-29,,Defensive rebound by M. Barnes
10:42.0,,,23-29,,W. Cauley-Stein misses 2-pt shot from 2 ft (block by R. Covington)
10:42.0,,,23-29,,Offensive rebound by Team
10:42.0,S. Rodriguez enters the game for T. McConnell,,23-29,,
10:37.0,,,23-32,3,M. Barnes makes 3-pt shot from 23 ft (assist by G. Temple)
10:27.0,N. Noel makes 2-pt shot from 2 ft,2,25-32,,
10:27.0,Shooting foul by W. Cauley-Stein (drawn by N. Noel),,25-32,,
10:27.0,N. Noel makes free throw 1 of 1,1,26-32,,
10:13.0,,,26-32,,W. Cauley-Stein misses 2-pt shot from 4 ft
10:13.0,,,26-32,,Offensive rebound by W. Cauley-Stein
10:06.0,,,26-32,,W. Cauley-Stein misses 2-pt shot from 10 ft
10:05.0,Defensive rebound by N. Noel,,26-32,,
9:45.0,R. Covington makes 2-pt shot from 1 ft (assist by S. Rodriguez),2,28-32,,
9:22.0,,,28-32,,G. Temple misses 2-pt shot from 18 ft
9:22.0,Defensive rebound by S. Rodriguez,,28-32,,
9:16.0,N. Noel misses 2-pt shot from 2 ft,,28-32,,
9:14.0,,,28-32,,Defensive rebound by W. Cauley-Stein
9:05.0,,,28-34,2,T. Lawson makes 2-pt shot from 2 ft
9:05.0,Philadelphia full timeout,,28-34,,
9:05.0,J. Embiid enters the game for N. Noel,,28-34,,
8:48.0,D. Saric misses 2-pt shot from 7 ft,,28-34,,
8:48.0,Offensive rebound by J. Embiid,,28-34,,
8:48.0,Shooting foul by W. Cauley-Stein (drawn by J. Embiid),,28-34,,
8:48.0,J. Embiid misses free throw 1 of 2,,28-34,,
8:48.0,Offensive rebound by Team,,28-34,,
8:48.0,J. Embiid makes free throw 2 of 2,1,29-34,,
8:48.0,G. Henderson enters the game for N. Stauskas,,28-34,,
8:37.0,,,29-34,,G. Temple misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by D. Saric,,29-34,,
8:25.0,J. Embiid makes 2-pt shot at rim (assist by S. Rodriguez),2,31-34,,
8:18.0,,,31-34,,Turnover by T. Lawson (lost ball)
8:18.0,,,31-34,,O. Casspi enters the game for M. Barnes
8:18.0,Jump ball: R. Covington vs. T. Lawson (J. Embiid gains possession),,,,Jump ball: R. Covington vs. T. Lawson (J. Embiid gains possession)
8:07.0,J. Embiid makes 3-pt shot from 25 ft (assist by G. Henderson),3,34-34,,
7:50.0,,,34-34,,O. Casspi misses 2-pt shot from 9 ft (block by J. Embiid)
7:50.0,,,34-34,,Offensive rebound by Team
7:49.0,,,34-34,,Sacramento full timeout
7:49.0,,,34-34,,K. Koufos enters the game for W. Cauley-Stein
7:44.0,,,34-34,,Turnover by T. Lawson (bad pass; steal by S. Rodriguez)
7:40.0,Turnover by S. Rodriguez (bad pass; steal by T. Lawson),,34-34,,
7:36.0,,,34-36,2,T. Lawson makes 2-pt shot from 2 ft
7:23.0,J. Embiid misses 2-pt shot from 5 ft,,34-36,,
7:22.0,,,34-36,,Defensive rebound by A. Tolliver
7:09.0,,,34-38,2,K. Koufos makes 2-pt shot from 5 ft (assist by T. Lawson)
6:52.0,,,34-38,,Personal foul by K. Koufos (drawn by J. Embiid)
6:52.0,,,34-38,,R. Gay enters the game for A. Tolliver
6:52.0,E. Ilyasova enters the game for D. Saric,,34-38,,
6:43.0,G. Henderson misses 2-pt shot from 17 ft,,34-38,,
6:43.0,,,34-38,,Defensive rebound by K. Koufos
6:32.0,,,34-40,2,T. Lawson makes 2-pt shot from 2 ft (assist by R. Gay)
6:22.0,J. Embiid misses 2-pt shot from 2 ft,,34-40,,
6:21.0,,,34-40,,Defensive rebound by O. Casspi
6:14.0,,,34-40,,R. Gay misses 3-pt shot from 24 ft
6:12.0,,,34-40,,Offensive rebound by O. Casspi
6:12.0,,,34-40,,O. Casspi misses 2-pt shot from 2 ft
6:10.0,,,34-40,,Offensive rebound by O. Casspi
6:09.0,,,34-40,,O. Casspi misses 2-pt shot from 2 ft (block by R. Covington)
6:07.0,Defensive rebound by S. Rodriguez,,34-40,,
5:57.0,E. Ilyasova misses 2-pt shot from 6 ft,,34-40,,
5:56.0,Offensive rebound by Team,,34-40,,
5:56.0,,,34-40,,Loose ball foul by K. Koufos (drawn by J. Embiid)
5:56.0,Official timeout,,34-40,,
5:56.0,,,34-40,,D. Cousins enters the game for K. Koufos
5:48.0,S. Rodriguez makes 2-pt shot from 4 ft,2,36-40,,
5:25.0,,,36-40,,D. Cousins misses 2-pt shot from 10 ft
5:24.0,,,36-40,,Offensive rebound by T. Lawson
5:19.0,,,36-40,,T. Lawson misses 3-pt shot from 25 ft
5:18.0,,,36-40,,Offensive rebound by R. Gay
5:16.0,,,36-40,,R. Gay misses 2-pt shot from 3 ft (block by J. Embiid)
5:15.0,,,36-40,,Offensive rebound by D. Cousins
5:14.0,,,36-42,2,D. Cousins makes 2-pt shot from 1 ft
5:04.0,J. Embiid misses 2-pt shot from 1 ft,,36-42,,
5:03.0,Offensive rebound by J. Embiid,,36-42,,
4:45.0,Turnover by S. Rodriguez (bad pass; steal by O. Casspi),,36-42,,
4:40.0,,,36-44,2,O. Casspi makes 2-pt shot from 1 ft
4:26.0,J. Embiid makes 2-pt shot from 5 ft,2,38-44,,
4:26.0,Shooting foul by D. Cousins (drawn by J. Embiid),,38-44,,
4:26.0,J. Embiid makes free throw 1 of 1,1,39-44,,
4:26.0,,,38-44,,D. Collison enters the game for T. Lawson
4:11.0,,,39-44,,R. Gay misses 2-pt shot from 21 ft
4:10.0,Defensive rebound by J. Embiid,,39-44,,
3:58.0,G. Henderson makes 2-pt shot from 20 ft (assist by S. Rodriguez),2,41-44,,
3:40.0,,,41-44,,Turnover by D. Cousins (lost ball)
3:40.0,T. McConnell enters the game for S. Rodriguez,,41-44,,
3:21.0,J. Embiid misses 2-pt shot from 4 ft,,41-44,,
3:20.0,Offensive rebound by J. Embiid,,41-44,,
3:19.0,J. Embiid makes 2-pt shot from 2 ft,2,43-44,,
3:11.0,Personal foul by G. Henderson (drawn by D. Cousins),,43-44,,
3:11.0,,,43-45,1,D. Cousins makes free throw 1 of 2
3:11.0,,,43-46,1,D. Cousins makes free throw 2 of 2
2:58.0,E. Ilyasova makes 2-pt shot from 19 ft (assist by T. McConnell),2,45-46,,
2:41.0,,,45-46,,G. Temple misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by J. Embiid,,45-46,,
2:30.0,Turnover by J. Embiid (bad pass; steal by G. Temple),,45-46,,
2:20.0,,,45-46,,D. Collison misses 2-pt shot from 16 ft
2:18.0,Defensive rebound by R. Covington,,45-46,,
2:11.0,E. Ilyasova misses 3-pt shot from 24 ft,,45-46,,
2:10.0,,,45-46,,Defensive rebound by O. Casspi
1:53.0,,,45-46,,D. Cousins misses 2-pt shot from 18 ft
1:52.0,,,45-46,,Offensive rebound by R. Gay
1:52.0,,,45-46,,Sacramento full timeout
1:52.0,J. Okafor enters the game for J. Embiid,,45-46,,
1:37.0,,,45-49,3,D. Collison makes 3-pt shot from 24 ft (assist by G. Temple)
1:20.0,G. Henderson misses 3-pt shot from 24 ft,,45-49,,
1:19.0,,,45-49,,Defensive rebound by O. Casspi
1:05.0,,,45-51,2,R. Gay makes 2-pt shot from 9 ft
0:47.0,J. Okafor makes 2-pt shot at rim (assist by T. McConnell),2,47-51,,
0:34.0,,,47-51,,R. Gay misses 2-pt shot from 2 ft
0:33.0,Defensive rebound by E. Ilyasova,,47-51,,
0:26.0,G. Henderson misses 2-pt shot from 16 ft,,47-51,,
0:26.0,,,47-51,,Defensive rebound by R. Gay
0:04.0,,,47-51,,R. Gay misses 3-pt shot from 23 ft
0:04.0,Defensive rebound by T. McConnell,,47-51,,
0:00.0,T. McConnell misses 2-pt shot from 21 ft,,47-51,,
0:00.0,Offensive rebound by Team,,47-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,E. Ilyasova misses 3-pt shot from 24 ft,,47-51,,
11:47.0,,,47-51,,Defensive rebound by Team
11:32.0,,,47-53,2,R. Gay makes 2-pt shot from 12 ft
11:20.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by J. Embiid),3,50-53,,
10:56.0,,,50-53,,B. McLemore misses 3-pt shot from 24 ft
10:55.0,,,50-53,,Offensive rebound by W. Cauley-Stein
10:47.0,,,50-53,,Turnover by B. McLemore (step out of bounds)
10:24.0,S. Rodriguez makes 2-pt shot from 3 ft,2,52-53,,
10:06.0,,,52-55,2,B. McLemore makes 2-pt shot from 23 ft (assist by D. Cousins)
9:52.0,Shooting foul by W. Cauley-Stein (drawn by J. Embiid),,52-55,,
9:52.0,J. Embiid makes free throw 1 of 2,1,53-55,,
9:52.0,J. Embiid makes free throw 2 of 2,1,54-55,,
9:31.0,,,54-55,,D. Cousins misses 2-pt shot from 13 ft
9:31.0,Defensive rebound by G. Henderson,,54-55,,
9:21.0,R. Covington misses 3-pt shot from 26 ft,,54-55,,
9:20.0,,,54-55,,Defensive rebound by R. Gay
9:19.0,Personal foul by R. Covington (drawn by D. Cousins),,54-55,,
9:09.0,,,54-57,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
8:54.0,E. Ilyasova makes 2-pt shot from 18 ft (assist by R. Covington),2,56-57,,
8:35.0,,,56-57,,Turnover by D. Cousins (lost ball; steal by R. Covington)
8:27.0,Turnover by J. Embiid (lost ball; steal by W. Cauley-Stein),,56-57,,
8:20.0,,,56-57,,Turnover by D. Cousins (bad pass; steal by S. Rodriguez)
8:15.0,J. Embiid misses 2-pt shot from 1 ft (block by D. Cousins),,56-57,,
8:14.0,Offensive rebound by Team,,56-57,,
8:10.0,J. Embiid makes 2-pt shot from 3 ft (assist by S. Rodriguez),2,58-57,,
8:01.0,Personal block foul by E. Ilyasova (drawn by B. McLemore),,58-57,,
7:51.0,,,58-59,2,D. Cousins makes 2-pt shot from 3 ft
7:34.0,Turnover by J. Embiid (lost ball; steal by D. Collison),,58-59,,
7:30.0,,,58-61,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. McLemore)
7:06.0,J. Embiid makes 2-pt shot at rim (assist by E. Ilyasova),2,60-61,,
6:52.0,,,60-61,,Turnover by R. Gay (lost ball; steal by S. Rodriguez)
6:48.0,Shooting foul by D. Cousins (drawn by R. Covington),,60-61,,
6:48.0,R. Covington makes free throw 1 of 2,1,61-61,,
6:48.0,R. Covington misses free throw 2 of 2,,61-61,,
6:48.0,T. McConnell enters the game for J. Embiid,,61-61,,
6:48.0,J. Okafor enters the game for S. Rodriguez,,61-61,,
6:48.0,D. Saric enters the game for E. Ilyasova,,61-61,,
6:46.0,,,61-61,,Defensive rebound by D. Cousins
6:37.0,,,61-61,,B. McLemore misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by R. Covington,,61-61,,
6:13.0,G. Henderson makes 2-pt shot from 13 ft,2,63-61,,
5:52.0,,,63-61,,Turnover by D. Cousins (bad pass; steal by R. Covington)
5:46.0,D. Saric misses 2-pt shot from 4 ft,,63-61,,
5:44.0,Offensive rebound by T. McConnell,,63-61,,
5:43.0,T. McConnell misses 2-pt shot from 2 ft,,63-61,,
5:41.0,Offensive rebound by R. Covington,,63-61,,
5:40.0,R. Covington misses 2-pt shot from 8 ft (block by R. Gay),,63-61,,
5:39.0,,,63-61,,Defensive rebound by R. Gay
5:38.0,,,63-61,,Turnover by R. Gay (bad pass; steal by J. Okafor)
5:34.0,R. Covington misses 3-pt shot from 24 ft,,63-61,,
5:34.0,,,63-61,,Defensive rebound by R. Gay
5:34.0,,,63-61,,Sacramento full timeout
5:34.0,N. Stauskas enters the game for G. Henderson,,63-61,,
5:34.0,,,63-61,,A. Tolliver enters the game for W. Cauley-Stein
5:15.0,,,63-63,2,D. Cousins makes 2-pt shot at rim (assist by B. McLemore)
5:05.0,Turnover by R. Covington (bad pass),,63-63,,
4:58.0,,,63-63,,Turnover by D. Collison (traveling)
4:41.0,D. Saric makes 2-pt shot from 7 ft,2,65-63,,
4:21.0,,,65-65,2,R. Gay makes 2-pt shot from 8 ft (assist by D. Collison)
4:02.0,D. Saric makes 2-pt shot from 3 ft,2,67-65,,
3:47.0,,,67-65,,B. McLemore misses 2-pt shot from 2 ft
3:46.0,Defensive rebound by D. Saric,,67-65,,
3:38.0,D. Saric misses 3-pt shot from 25 ft,,67-65,,
3:37.0,,,67-65,,Defensive rebound by B. McLemore
3:19.0,,,67-65,,Sacramento full timeout
3:19.0,,,67-65,,G. Temple enters the game for R. Gay
3:19.0,,,67-65,,M. Barnes enters the game for B. McLemore
3:19.0,,,67-65,,T. Lawson enters the game for D. Collison
3:19.0,E. Ilyasova enters the game for R. Covington,,67-65,,
3:13.0,,,67-65,,Turnover by M. Barnes (bad pass; steal by D. Saric)
3:10.0,,,67-65,,Personal foul by D. Cousins (drawn by D. Saric)
3:10.0,Philadelphia full timeout,,67-65,,
3:00.0,Turnover by J. Okafor (lost ball; steal by D. Cousins),,67-65,,
2:34.0,,,67-65,,M. Barnes misses 3-pt shot from 24 ft
2:34.0,,,67-65,,Offensive rebound by Team
2:34.0,Loose ball foul by J. Okafor (drawn by D. Cousins),,67-65,,
2:26.0,,,67-65,,A. Tolliver misses 3-pt shot from 24 ft
2:25.0,,,67-65,,Offensive rebound by T. Lawson
2:21.0,,,67-65,,T. Lawson misses 2-pt shot from 16 ft
2:20.0,Defensive rebound by D. Saric,,67-65,,
2:12.0,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell),3,70-65,,
1:59.0,,,70-65,,D. Cousins misses 2-pt shot from 18 ft
1:58.0,Defensive rebound by N. Stauskas,,70-65,,
1:51.0,Turnover by J. Okafor (bad pass; steal by D. Cousins),,70-65,,
1:50.0,Personal foul by E. Ilyasova (drawn by T. Lawson),,70-65,,
1:50.0,J. Embiid enters the game for J. Okafor,,70-65,,
1:50.0,,,70-65,,W. Cauley-Stein enters the game for D. Cousins
1:42.0,,,70-65,,Shooting foul by D. Saric (drawn by W. Cauley-Stein)
1:42.0,,,70-65,,W. Cauley-Stein misses free throw 1 of 2
1:42.0,,,70-65,,Offensive rebound by Team
1:42.0,,,70-66,1,W. Cauley-Stein makes free throw 2 of 2
1:29.0,J. Embiid misses 2-pt shot from 3 ft,,70-66,,
1:27.0,,,70-66,,Defensive rebound by A. Tolliver
1:18.0,,,70-68,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by T. Lawson)
0:55.0,N. Stauskas misses 3-pt shot from 25 ft,,70-68,,
0:54.0,Offensive rebound by D. Saric,,70-68,,
0:54.0,D. Saric makes 2-pt shot from 1 ft,2,72-68,,
0:40.0,Personal block foul by T. McConnell (drawn by T. Lawson),,72-68,,
0:40.0,,,72-69,1,T. Lawson makes free throw 1 of 2
0:40.0,,,72-70,1,T. Lawson makes free throw 2 of 2
0:31.0,D. Saric makes 3-pt shot from 24 ft (assist by T. McConnell),3,75-70,,
0:11.0,,,75-70,,A. Tolliver misses 3-pt shot from 23 ft
0:10.0,Defensive rebound by D. Saric,,75-70,,
0:04.0,E. Ilyasova makes 2-pt shot from 3 ft (assist by T. McConnell),2,77-70,,
0:00.0,,,77-70,,T. Lawson misses 3-pt shot from 41 ft
0:00.0,,,77-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,77-72,2,A. Tolliver makes 2-pt shot from 19 ft (assist by M. Barnes)
11:27.0,Turnover by N. Stauskas (bad pass; steal by T. Lawson),,77-72,,
11:18.0,,,77-72,,Turnover by M. Barnes (bad pass; steal by T. McConnell)
11:16.0,,,77-72,,Personal foul by T. Lawson (drawn by T. McConnell)
11:08.0,,,77-72,,Personal foul by T. Lawson (drawn by T. McConnell)
11:08.0,T. McConnell makes free throw 1 of 2,1,78-72,,
11:08.0,T. McConnell misses free throw 2 of 2,,78-72,,
11:07.0,,,78-72,,Defensive rebound by A. Tolliver
10:44.0,,,78-72,,M. Barnes misses 2-pt shot from 6 ft
10:43.0,Defensive rebound by D. Saric,,78-72,,
10:28.0,Shooting foul by K. Koufos (drawn by J. Embiid),,78-72,,
10:28.0,J. Embiid makes free throw 1 of 2,1,79-72,,
10:28.0,J. Embiid makes free throw 2 of 2,1,80-72,,
10:28.0,,,79-72,,R. Gay enters the game for M. Barnes
10:16.0,,,80-75,3,R. Gay makes 3-pt shot from 25 ft (assist by K. Koufos)
10:07.0,Offensive foul by J. Embiid,,80-75,,
10:07.0,Turnover by J. Embiid (offensive foul),,80-75,,
10:07.0,J. Okafor enters the game for J. Embiid,,80-75,,
9:52.0,,,80-77,2,R. Gay makes 2-pt shot at rim
9:35.0,G. Henderson misses 3-pt shot from 23 ft,,80-77,,
9:34.0,,,80-77,,Defensive rebound by T. Lawson
9:29.0,,,80-77,,R. Gay misses 2-pt shot from 3 ft
9:25.0,Defensive rebound by J. Okafor,,80-77,,
9:21.0,D. Saric misses 3-pt shot from 24 ft,,80-77,,
9:21.0,,,80-77,,Defensive rebound by K. Koufos
9:08.0,,,80-77,,T. Lawson misses 2-pt shot from 5 ft
9:07.0,Defensive rebound by G. Henderson,,80-77,,
8:58.0,Philadelphia full timeout,,80-77,,
8:58.0,,,80-77,,Technical foul by K. Koufos
8:58.0,Technical foul by D. Saric,,80-77,,
8:58.0,E. Ilyasova enters the game for G. Henderson,,80-77,,
8:58.0,R. Covington enters the game for D. Saric,,80-77,,
8:49.0,Turnover by J. Okafor (lost ball),,80-77,,
8:36.0,,,80-77,,Shooting foul by R. Covington (drawn by R. Gay)
8:36.0,,,80-78,1,R. Gay makes free throw 1 of 2
8:36.0,,,80-79,1,R. Gay makes free throw 2 of 2
8:26.0,Turnover by T. McConnell (step out of bounds),,80-79,,
8:05.0,,,80-79,,Shooting foul by E. Ilyasova (drawn by K. Koufos)
8:05.0,,,80-79,,K. Koufos misses free throw 1 of 2
8:05.0,,,80-79,,Offensive rebound by Team
8:05.0,,,80-79,,K. Koufos misses free throw 2 of 2
8:03.0,,,80-79,,Offensive rebound by T. Lawson
7:57.0,,,80-79,,Turnover by R. Gay (lost ball; steal by E. Ilyasova)
7:46.0,Offensive foul by R. Covington,,80-79,,
7:46.0,Turnover by R. Covington (offensive foul),,80-79,,
7:38.0,,,80-79,,Shooting foul by E. Ilyasova (drawn by T. Lawson)
7:38.0,,,80-80,1,T. Lawson makes free throw 1 of 2
7:38.0,,,80-81,1,T. Lawson makes free throw 2 of 2
7:24.0,,,80-81,,Personal foul by T. Lawson (drawn by E. Ilyasova)
7:09.0,N. Stauskas misses 2-pt shot from 21 ft,,80-81,,
7:09.0,,,80-81,,Defensive rebound by R. Gay
6:59.0,,,80-83,2,T. Lawson makes 2-pt shot from 18 ft
6:59.0,Philadelphia full timeout,,80-83,,
6:51.0,Turnover by N. Stauskas (bad pass; steal by K. Koufos),,80-83,,
6:50.0,Personal foul by J. Okafor (drawn by K. Koufos),,80-83,,
6:50.0,D. Saric enters the game for N. Stauskas,,80-83,,
6:34.0,,,80-85,2,R. Gay makes 2-pt shot from 16 ft (assist by T. Lawson)
6:17.0,T. McConnell makes 2-pt shot from 10 ft,2,82-85,,
6:10.0,S. Rodriguez enters the game for J. Okafor,,82-85,,
6:10.0,J. Embiid enters the game for T. McConnell,,82-85,,
6:10.0,,,82-85,,D. Cousins enters the game for K. Koufos
5:56.0,,,82-85,,A. Tolliver misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by S. Rodriguez,,82-85,,
5:49.0,,,82-85,,Personal foul by D. Cousins (drawn by J. Embiid)
5:49.0,Official timeout,,82-85,,
5:49.0,J. Embiid makes free throw 1 of 2,1,83-85,,
5:49.0,J. Embiid makes free throw 2 of 2,1,84-85,,
5:34.0,,,84-85,,Turnover by T. Lawson (bad pass; steal by J. Embiid)
5:31.0,J. Embiid makes 2-pt shot at rim,2,86-85,,
5:04.0,,,86-87,2,D. Cousins makes 2-pt shot from 3 ft
4:56.0,Offensive foul by J. Embiid,,86-87,,
4:56.0,Turnover by J. Embiid (offensive foul),,86-87,,
