time,Boston,pts.away,score,pts.home,Chicago
3:10.0,M. Smart misses 3-pt shot from 25 ft,,21-10,,
3:09.0,,,21-10,,Defensive rebound by B. Portis
2:52.0,,,21-10,,P. Zipser misses 3-pt shot from 23 ft
2:51.0,Defensive rebound by Team,,21-10,,
2:51.0,Boston full timeout,,21-10,,
2:51.0,A. Johnson enters the game for A. Horford,,21-10,,
2:51.0,,,21-10,,C. Felicio enters the game for R. Lopez
2:37.0,J. Crowder makes 3-pt shot from 26 ft (assist by M. Smart),3,24-10,,
2:19.0,,,24-10,,M. Carter-Williams misses 2-pt shot from 1 ft
2:18.0,Defensive rebound by J. Crowder,,24-10,,
2:18.0,,,24-10,,Personal foul by M. Carter-Williams (drawn by J. Crowder)
2:04.0,J. Crowder makes 3-pt shot from 26 ft (assist by M. Smart),3,27-10,,
1:38.0,,,27-13,3,P. Zipser makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
1:27.0,,,27-13,,Personal foul by B. Portis (drawn by J. Crowder)
1:18.0,A. Johnson makes 2-pt shot from 1 ft (assist by A. Bradley),2,29-13,,
0:57.0,,,29-15,2,J. Butler makes 2-pt shot from 11 ft
0:46.0,A. Bradley makes 2-pt shot from 2 ft (assist by M. Smart),2,31-15,,
0:37.0,,,31-15,,Turnover by M. Carter-Williams (bad pass; steal by A. Bradley)
0:31.0,J. Crowder makes 2-pt shot from 19 ft (assist by A. Bradley),2,33-15,,
0:10.0,,,33-15,,J. Butler misses 2-pt shot from 11 ft
0:08.0,,,33-15,,Offensive rebound by B. Portis
0:07.0,,,33-15,,Turnover by B. Portis (lost ball; steal by A. Bradley)
0:02.0,M. Smart misses 3-pt shot from 24 ft,,33-15,,
0:00.0,,,33-15,,Defensive rebound by C. Felicio
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,I. Thomas makes 2-pt shot from 16 ft,2,35-15,,
11:29.0,,,35-15,,Shooting foul by M. Smart (drawn by D. Wade)
11:29.0,,,35-16,1,D. Wade makes free throw 1 of 2
11:29.0,,,35-17,1,D. Wade makes free throw 2 of 2
11:18.0,I. Thomas makes 2-pt shot from 1 ft (assist by A. Johnson),2,37-17,,
11:03.0,,,37-17,,Turnover by P. Zipser (traveling)
10:54.0,Turnover by I. Thomas (bad pass; steal by B. Portis),,37-17,,
10:39.0,,,37-17,,M. Carter-Williams misses 2-pt shot from 19 ft
10:38.0,Defensive rebound by J. Jerebko,,37-17,,
10:26.0,Turnover by M. Smart (bad pass),,37-17,,
10:13.0,,,37-17,,D. Wade misses 2-pt shot from 2 ft (block by M. Smart)
10:12.0,Defensive rebound by J. Jerebko,,37-17,,
10:03.0,Turnover by M. Smart (bad pass; steal by B. Portis),,37-17,,
9:55.0,,,37-17,,Shooting foul by A. Johnson (drawn by P. Zipser)
9:55.0,,,37-18,1,P. Zipser makes free throw 1 of 2
9:55.0,,,37-19,1,P. Zipser makes free throw 2 of 2
9:55.0,G. Green enters the game for T. Rozier,,37-18,,
9:41.0,I. Thomas misses 2-pt shot from 7 ft (block by M. Carter-Williams),,37-19,,
9:39.0,Jump ball: M. Carter-Williams vs. I. Thomas (J. Jerebko gains possession),,,,Jump ball: M. Carter-Williams vs. I. Thomas (J. Jerebko gains possession)
9:39.0,Offensive rebound by Team,,37-19,,
9:30.0,G. Green misses 2-pt shot from 12 ft,,37-19,,
9:29.0,,,37-19,,Defensive rebound by D. Wade
9:20.0,,,37-21,2,D. Wade makes 2-pt shot from 8 ft
9:02.0,G. Green misses 2-pt shot from 2 ft (block by C. Felicio),,37-21,,
9:01.0,,,37-21,,Defensive rebound by C. Felicio
8:55.0,,,37-23,2,B. Portis makes 2-pt shot from 1 ft (assist by D. Wade)
8:54.0,Boston full timeout,,37-23,,
8:54.0,A. Horford enters the game for A. Johnson,,37-23,,
8:54.0,K. Olynyk enters the game for J. Jerebko,,37-23,,
8:39.0,Turnover by K. Olynyk (traveling),,37-23,,
8:27.0,,,37-25,2,D. Wade makes 2-pt shot from 14 ft (assist by M. Carter-Williams)
8:00.0,K. Olynyk misses 2-pt shot from 18 ft,,37-25,,
7:59.0,Offensive rebound by M. Smart,,37-25,,
7:57.0,,,37-25,,Personal foul by C. Felicio (drawn by I. Thomas)
7:48.0,G. Green misses 2-pt shot from 18 ft,,37-25,,
7:47.0,,,37-25,,Defensive rebound by P. Zipser
7:40.0,,,37-28,3,P. Zipser makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
7:20.0,I. Thomas misses 3-pt shot from 25 ft,,37-28,,
7:19.0,,,37-28,,Defensive rebound by M. Carter-Williams
7:09.0,,,37-28,,B. Portis misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by A. Horford,,37-28,,
6:56.0,A. Horford makes 2-pt shot at rim (assist by I. Thomas),2,39-28,,
6:48.0,,,39-28,,Chicago full timeout
6:48.0,A. Bradley enters the game for M. Smart,,39-28,,
6:48.0,,,39-28,,J. Butler enters the game for M. Carter-Williams
6:35.0,,,39-30,2,C. Felicio makes 2-pt shot at rim (assist by D. Wade)
6:19.0,A. Horford misses 2-pt shot from 10 ft,,39-30,,
6:18.0,,,39-30,,Defensive rebound by B. Portis
6:07.0,,,39-30,,D. Wade misses 2-pt shot from 2 ft
6:05.0,,,39-30,,Offensive rebound by C. Felicio
6:05.0,,,39-30,,C. Felicio misses 2-pt shot from 1 ft
6:03.0,Defensive rebound by A. Horford,,39-30,,
5:58.0,G. Green misses 2-pt shot from 1 ft (block by C. Felicio),,39-30,,
5:56.0,,,39-30,,Defensive rebound by C. Felicio
5:47.0,,,39-30,,Turnover by J. Butler (lost ball; steal by A. Horford)
5:34.0,I. Thomas misses 2-pt shot from 15 ft,,39-30,,
5:33.0,,,39-30,,Defensive rebound by B. Portis
5:23.0,,,39-30,,J. Butler misses 2-pt shot from 16 ft
5:22.0,Defensive rebound by A. Bradley,,39-30,,
5:10.0,A. Bradley makes 3-pt shot from 24 ft (assist by A. Horford),3,42-30,,
4:45.0,,,42-32,2,D. Wade makes 2-pt shot from 16 ft
4:29.0,A. Horford misses 3-pt shot from 26 ft,,42-32,,
4:28.0,,,42-32,,Defensive rebound by C. Felicio
4:21.0,,,42-32,,Turnover by P. Zipser (traveling)
4:21.0,Boston full timeout,,42-32,,
4:21.0,J. Crowder enters the game for G. Green,,42-32,,
4:21.0,M. Smart enters the game for K. Olynyk,,42-32,,
4:21.0,,,42-32,,J. Grant enters the game for D. Wade
4:21.0,,,42-32,,N. Mirotic enters the game for B. Portis
4:21.0,,,42-32,,R. Lopez enters the game for P. Zipser
4:21.0,,,42-32,,M. Carter-Williams enters the game for C. Felicio
4:03.0,A. Bradley misses 3-pt shot from 26 ft,,42-32,,
4:02.0,,,42-32,,Defensive rebound by N. Mirotic
3:37.0,,,42-32,,J. Grant misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by M. Smart,,42-32,,
3:31.0,,,42-32,,Personal foul by M. Carter-Williams (drawn by A. Bradley)
3:21.0,M. Smart misses 2-pt shot from 16 ft,,42-32,,
3:20.0,,,42-32,,Defensive rebound by N. Mirotic
3:02.0,,,42-32,,N. Mirotic misses 2-pt shot from 7 ft
3:01.0,,,42-32,,Offensive rebound by R. Lopez
3:01.0,,,42-34,2,R. Lopez makes 2-pt shot from 3 ft
2:45.0,J. Crowder misses 3-pt shot from 23 ft,,42-34,,
2:44.0,,,42-34,,Defensive rebound by M. Carter-Williams
2:36.0,,,42-34,,R. Lopez misses 2-pt shot from 21 ft
2:34.0,Defensive rebound by J. Crowder,,42-34,,
2:18.0,J. Crowder misses 3-pt shot from 24 ft,,42-34,,
2:16.0,,,42-34,,Defensive rebound by M. Carter-Williams
2:09.0,,,42-36,2,J. Grant makes 2-pt shot from 1 ft (assist by N. Mirotic)
1:51.0,,,42-36,,Loose ball foul by M. Carter-Williams (drawn by I. Thomas)
1:51.0,,,42-36,,Chicago full timeout
1:51.0,,,42-36,,P. Zipser enters the game for M. Carter-Williams
1:36.0,J. Crowder misses 2-pt shot from 20 ft,,42-36,,
1:35.0,,,42-36,,Defensive rebound by P. Zipser
1:27.0,,,42-36,,J. Grant misses 3-pt shot from 26 ft
1:26.0,Defensive rebound by A. Bradley,,42-36,,
1:08.0,M. Smart makes 2-pt shot from 5 ft,2,44-36,,
1:08.0,Shooting foul by N. Mirotic (drawn by M. Smart),,44-36,,
1:08.0,M. Smart misses free throw 1 of 1,,44-36,,
1:08.0,J. Jerebko enters the game for I. Thomas,,44-36,,
1:08.0,,,44-36,,D. Wade enters the game for J. Grant
1:06.0,,,44-36,,Defensive rebound by N. Mirotic
0:51.0,,,44-38,2,R. Lopez makes 2-pt shot from 1 ft (assist by N. Mirotic)
0:44.0,Boston full timeout,,44-38,,
0:44.0,I. Thomas enters the game for J. Jerebko,,44-38,,
0:36.0,J. Crowder misses 3-pt shot from 26 ft,,44-38,,
0:35.0,,,44-38,,Defensive rebound by P. Zipser
0:29.0,,,44-41,3,N. Mirotic makes 3-pt shot from 23 ft (assist by D. Wade)
0:05.0,A. Bradley misses 3-pt shot from 23 ft (block by D. Wade),,44-41,,
0:05.0,Offensive rebound by Team,,44-41,,
0:05.0,Turnover by Team (shot clock),,44-41,,
0:00.0,,,44-41,,J. Butler misses 3-pt shot from 26 ft
0:00.0,,,44-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Horford misses 2-pt shot from 7 ft (block by R. Lopez),,44-41,,
11:41.0,Offensive rebound by A. Horford,,44-41,,
11:39.0,Turnover by A. Horford (bad pass; steal by N. Mirotic),,44-41,,
11:36.0,,,44-41,,Shooting foul by G. Green (drawn by J. Grant)
11:36.0,,,44-42,1,J. Grant makes free throw 1 of 2
11:36.0,,,44-43,1,J. Grant makes free throw 2 of 2
11:18.0,J. Crowder misses 3-pt shot from 25 ft,,44-43,,
11:17.0,,,44-43,,Defensive rebound by J. Butler
11:06.0,,,44-43,,J. Butler misses 2-pt shot from 14 ft
11:05.0,Defensive rebound by A. Horford,,44-43,,
10:57.0,A. Horford makes 2-pt shot at rim (assist by I. Thomas),2,46-43,,
10:36.0,,,46-43,,D. Wade misses 2-pt shot from 8 ft
10:33.0,Defensive rebound by J. Crowder,,46-43,,
10:26.0,I. Thomas makes 3-pt shot from 26 ft,3,49-43,,
10:11.0,,,49-43,,D. Wade misses 2-pt shot from 9 ft
10:09.0,Defensive rebound by A. Horford,,49-43,,
10:01.0,I. Thomas makes 3-pt shot from 26 ft (assist by A. Horford),3,52-43,,
10:00.0,,,52-43,,Chicago full timeout
9:46.0,,,52-43,,J. Grant misses 2-pt shot from 12 ft
9:45.0,,,52-43,,Offensive rebound by R. Lopez
9:45.0,,,52-45,2,R. Lopez makes 2-pt shot from 2 ft
9:29.0,I. Thomas misses 3-pt shot from 24 ft,,52-45,,
9:28.0,,,52-45,,Defensive rebound by N. Mirotic
9:21.0,,,52-45,,J. Butler misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by J. Crowder,,52-45,,
9:11.0,A. Bradley misses 2-pt shot from 3 ft (block by J. Butler),,52-45,,
9:11.0,Offensive rebound by A. Bradley,,52-45,,
9:11.0,Shooting foul by J. Butler (drawn by A. Bradley),,52-45,,
9:11.0,A. Bradley makes free throw 1 of 2,1,53-45,,
9:11.0,A. Bradley misses free throw 2 of 2,,53-45,,
9:08.0,,,53-45,,Defensive rebound by R. Lopez
8:53.0,,,53-45,,Shooting foul by G. Green (drawn by R. Lopez)
8:53.0,,,53-46,1,R. Lopez makes free throw 1 of 2
8:53.0,,,53-47,1,R. Lopez makes free throw 2 of 2
8:41.0,,,53-47,,Personal foul by N. Mirotic (drawn by I. Thomas)
8:29.0,G. Green makes 3-pt shot from 26 ft (assist by A. Horford),3,56-47,,
8:13.0,,,56-47,,Turnover by J. Grant (lost ball)
8:08.0,,,56-47,,Personal foul by N. Mirotic (drawn by I. Thomas)
8:08.0,,,56-47,,M. Carter-Williams enters the game for J. Grant
7:59.0,A. Horford makes 2-pt shot from 11 ft (assist by I. Thomas),2,58-47,,
7:44.0,,,58-47,,D. Wade misses 2-pt shot from 12 ft
7:44.0,,,58-47,,Offensive rebound by Team
7:37.0,,,58-47,,Turnover by M. Carter-Williams (lost ball; steal by I. Thomas)
7:33.0,Turnover by A. Bradley (lost ball),,58-47,,
7:24.0,Personal foul by J. Crowder (drawn by M. Carter-Williams),,58-47,,
7:09.0,,,58-47,,Turnover by Team (shot clock)
6:57.0,J. Crowder misses 2-pt shot from 2 ft (block by D. Wade),,58-47,,
6:55.0,,,58-47,,Defensive rebound by R. Lopez
6:50.0,,,58-50,3,N. Mirotic makes 3-pt shot from 27 ft
6:30.0,I. Thomas misses 3-pt shot from 26 ft,,58-50,,
6:28.0,Offensive rebound by J. Crowder,,58-50,,
6:25.0,J. Crowder misses 2-pt shot from 2 ft,,58-50,,
6:24.0,Offensive rebound by A. Horford,,58-50,,
6:24.0,A. Horford misses 2-pt shot from 2 ft,,58-50,,
6:23.0,Offensive rebound by A. Horford,,58-50,,
6:15.0,I. Thomas makes 2-pt shot from 2 ft,2,60-50,,
6:07.0,,,60-50,,Turnover by D. Wade (lost ball)
5:52.0,A. Horford makes 2-pt shot at rim (assist by I. Thomas),2,62-50,,
5:51.0,,,62-50,,Chicago full timeout
5:45.0,,,62-50,,Turnover by M. Carter-Williams (bad pass; steal by A. Horford)
5:30.0,A. Horford makes 2-pt shot from 1 ft (assist by I. Thomas),2,64-50,,
5:09.0,,,64-50,,D. Wade misses 2-pt shot from 5 ft
5:07.0,,,64-50,,Offensive rebound by M. Carter-Williams
5:07.0,,,64-52,2,M. Carter-Williams makes 2-pt shot from 2 ft
4:54.0,Turnover by I. Thomas (lost ball; steal by M. Carter-Williams),,64-52,,
4:46.0,,,64-52,,N. Mirotic misses 3-pt shot from 23 ft
4:44.0,,,64-52,,Offensive rebound by J. Butler
4:44.0,,,64-52,,J. Butler misses 2-pt shot from 2 ft
4:43.0,,,64-52,,Offensive rebound by R. Lopez
4:43.0,,,64-54,2,R. Lopez makes 2-pt shot from 1 ft
4:18.0,A. Bradley misses 2-pt shot from 19 ft,,64-54,,
4:17.0,,,64-54,,Defensive rebound by N. Mirotic
4:11.0,,,64-54,,C. Felicio enters the game for R. Lopez
4:11.0,,,64-54,,P. Zipser enters the game for D. Wade
4:11.0,T. Rozier enters the game for G. Green,,64-54,,
4:11.0,M. Smart enters the game for I. Thomas,,64-54,,
4:02.0,,,64-54,,P. Zipser misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by A. Bradley,,64-54,,
3:52.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Bradley),2,66-54,,
3:31.0,,,66-54,,N. Mirotic misses 2-pt shot from 9 ft
3:31.0,,,66-54,,Offensive rebound by C. Felicio
3:31.0,,,66-54,,C. Felicio misses 2-pt shot from 1 ft
3:31.0,Defensive rebound by Team,,66-54,,
3:10.0,T. Rozier makes 3-pt shot from 24 ft (assist by A. Horford),3,69-54,,
2:54.0,,,69-54,,J. Butler misses 2-pt shot from 17 ft
2:54.0,Defensive rebound by T. Rozier,,69-54,,
2:32.0,J. Crowder misses 3-pt shot from 24 ft,,69-54,,
2:31.0,,,69-54,,Defensive rebound by C. Felicio
2:22.0,,,69-54,,Shooting foul by T. Rozier (drawn by N. Mirotic)
2:22.0,Boston full timeout,,69-54,,
2:22.0,,,69-55,1,N. Mirotic makes free throw 1 of 3
2:22.0,,,69-56,1,N. Mirotic makes free throw 2 of 3
2:22.0,,,69-57,1,N. Mirotic makes free throw 3 of 3
2:22.0,K. Olynyk enters the game for A. Horford,,69-54,,
2:11.0,,,69-57,,Personal foul by N. Mirotic (drawn by M. Smart)
2:11.0,,,69-57,,B. Portis enters the game for N. Mirotic
2:00.0,J. Crowder makes 2-pt shot from 5 ft (assist by A. Bradley),2,71-57,,
1:35.0,,,71-59,2,J. Butler makes 2-pt shot from 12 ft
1:18.0,A. Bradley misses 2-pt shot from 21 ft,,71-59,,
1:18.0,,,71-59,,Defensive rebound by P. Zipser
1:07.0,,,71-61,2,J. Butler makes 2-pt shot from 3 ft
0:45.0,M. Smart makes 3-pt shot from 26 ft (assist by K. Olynyk),3,74-61,,
0:32.0,,,74-63,2,J. Butler makes 2-pt shot from 3 ft
0:10.0,K. Olynyk makes 2-pt shot from 2 ft,2,76-63,,
0:00.0,,,76-63,,J. Butler misses 3-pt shot from 25 ft
0:00.0,,,76-63,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,76-63,,M. Carter-Williams misses 2-pt shot from 6 ft
11:44.0,,,76-63,,Offensive rebound by C. Felicio
11:44.0,,,76-63,,Turnover by C. Felicio (illegal assist)
11:31.0,Offensive foul by K. Olynyk,,76-63,,
11:31.0,Turnover by K. Olynyk (offensive foul),,76-63,,
11:21.0,,,76-63,,Shooting foul by K. Olynyk (drawn by D. Wade)
11:21.0,,,76-64,1,D. Wade makes free throw 1 of 2
11:21.0,,,76-65,1,D. Wade makes free throw 2 of 2
11:06.0,Shooting foul by C. Felicio (drawn by M. Smart),,76-65,,
11:06.0,M. Smart makes free throw 1 of 2,1,77-65,,
11:06.0,M. Smart makes free throw 2 of 2,1,78-65,,
10:51.0,,,78-67,2,D. Wade makes 2-pt shot from 8 ft
10:38.0,K. Olynyk makes 3-pt shot from 27 ft (assist by M. Smart),3,81-67,,
10:23.0,,,81-67,,P. Zipser misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by T. Rozier,,81-67,,
10:09.0,Turnover by K. Olynyk (bad pass; steal by J. Butler),,81-67,,
10:04.0,,,81-67,,D. Wade misses 2-pt shot from 1 ft
10:03.0,,,81-67,,Offensive rebound by J. Butler
10:03.0,,,81-69,2,J. Butler makes 2-pt shot at rim
9:43.0,,,81-69,,Personal foul by J. Butler (drawn by K. Olynyk)
9:33.0,,,81-69,,Violation by C. Felicio (kicked ball)
9:17.0,T. Rozier misses 3-pt shot from 26 ft,,81-69,,
9:16.0,Offensive rebound by M. Smart,,81-69,,
9:15.0,,,81-69,,Personal foul by C. Felicio (drawn by M. Smart)
9:07.0,J. Jerebko makes 2-pt shot from 2 ft (assist by A. Bradley),2,83-69,,
8:48.0,,,83-69,,M. Carter-Williams misses 2-pt shot from 12 ft
8:47.0,,,83-69,,Offensive rebound by C. Felicio
8:39.0,,,83-69,,J. Butler misses 3-pt shot from 25 ft
8:38.0,,,83-69,,Offensive rebound by C. Felicio
8:36.0,,,83-69,,C. Felicio misses 2-pt shot from 5 ft
8:35.0,Defensive rebound by A. Bradley,,83-69,,
8:25.0,J. Jerebko makes 2-pt shot from 1 ft (assist by A. Bradley),2,85-69,,
8:24.0,,,85-69,,Chicago full timeout
8:24.0,,,85-69,,N. Mirotic enters the game for M. Carter-Williams
8:08.0,,,85-69,,D. Wade misses 2-pt shot from 6 ft
8:07.0,Defensive rebound by A. Bradley,,85-69,,
7:50.0,Turnover by J. Jerebko (lost ball; steal by D. Wade),,85-69,,
7:44.0,,,85-69,,P. Zipser misses 2-pt shot from 6 ft
7:43.0,Defensive rebound by J. Jerebko,,85-69,,
7:28.0,A. Bradley makes 3-pt shot from 25 ft (assist by K. Olynyk),3,88-69,,
7:08.0,,,88-71,2,J. Butler makes 2-pt shot from 15 ft (assist by N. Mirotic)
6:47.0,K. Olynyk misses 3-pt shot from 25 ft,,88-71,,
6:46.0,,,88-71,,Defensive rebound by P. Zipser
6:31.0,,,88-73,2,N. Mirotic makes 2-pt shot from 2 ft (assist by P. Zipser)
6:29.0,Boston full timeout,,88-73,,
6:29.0,I. Thomas enters the game for A. Bradley,,88-73,,
6:29.0,A. Horford enters the game for J. Jerebko,,88-73,,
6:29.0,J. Crowder enters the game for K. Olynyk,,88-73,,
6:09.0,T. Rozier makes 3-pt shot from 26 ft (assist by A. Horford),3,91-73,,
5:54.0,,,91-75,2,J. Butler makes 2-pt shot from 22 ft
5:33.0,A. Horford makes 2-pt shot at rim (assist by I. Thomas),2,93-75,,
5:26.0,,,93-75,,D. Wade misses 2-pt shot from 13 ft
5:24.0,,,93-75,,Offensive rebound by P. Zipser
5:24.0,,,93-77,2,P. Zipser makes 2-pt shot from 2 ft
5:01.0,I. Thomas makes 2-pt shot from 1 ft,2,95-77,,
4:52.0,,,95-77,,J. Butler misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by M. Smart,,95-77,,
4:30.0,I. Thomas misses 3-pt shot from 24 ft,,95-77,,
4:28.0,,,95-77,,Defensive rebound by C. Felicio
4:14.0,,,95-77,,Turnover by N. Mirotic (bad pass; steal by T. Rozier)
4:11.0,J. Crowder makes 2-pt shot at rim (assist by A. Horford),2,97-77,,
4:11.0,,,97-77,,Chicago full timeout
4:11.0,,,97-77,,D. Valentine enters the game for P. Zipser
4:11.0,,,97-77,,B. Portis enters the game for C. Felicio
4:11.0,,,97-77,,C. Payne enters the game for N. Mirotic
4:11.0,,,97-77,,J. Lauvergne enters the game for J. Butler
4:11.0,,,97-77,,A. Morrow enters the game for D. Wade
3:54.0,,,97-77,,B. Portis misses 2-pt shot from 20 ft
3:53.0,,,97-77,,Offensive rebound by J. Lauvergne
3:49.0,,,97-80,3,D. Valentine makes 3-pt shot from 26 ft (assist by J. Lauvergne)
3:24.0,A. Horford misses 2-pt shot from 12 ft,,97-80,,
3:22.0,,,97-80,,Defensive rebound by D. Valentine
3:08.0,,,97-80,,Turnover by C. Payne (bad pass; steal by J. Crowder)
3:04.0,T. Rozier makes 2-pt shot at rim (assist by J. Crowder),2,99-80,,
2:47.0,,,99-82,2,A. Morrow makes 2-pt shot from 19 ft (assist by B. Portis)
2:31.0,I. Thomas misses 2-pt shot from 1 ft,,99-82,,
2:26.0,,,99-82,,Defensive rebound by D. Valentine
2:25.0,,,99-82,,Turnover by B. Portis (lost ball; steal by M. Smart)
2:20.0,T. Rozier makes 3-pt shot from 25 ft (assist by M. Smart),3,102-82,,
2:02.0,,,102-85,3,C. Payne makes 3-pt shot from 23 ft (assist by D. Valentine)
1:41.0,T. Rozier misses 3-pt shot from 25 ft,,102-85,,
1:40.0,,,102-85,,Defensive rebound by D. Valentine
1:32.0,,,102-85,,J. Lauvergne misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by M. Smart,,102-85,,
1:25.0,Boston full timeout,,102-85,,
1:25.0,J. Young enters the game for A. Horford,,102-85,,
1:25.0,J. Jerebko enters the game for J. Crowder,,102-85,,
1:25.0,K. Olynyk enters the game for I. Thomas,,102-85,,
1:25.0,J. Brown enters the game for M. Smart,,102-85,,
1:15.0,K. Olynyk misses 2-pt shot from 20 ft,,102-85,,
1:14.0,,,102-85,,Defensive rebound by C. Payne
1:08.0,,,102-87,2,A. Morrow makes 2-pt shot from 5 ft (assist by J. Lauvergne)
0:49.0,J. Young misses 3-pt shot from 24 ft,,102-87,,
0:48.0,,,102-87,,Defensive rebound by D. Valentine
0:41.0,,,102-87,,Turnover by D. Valentine (bad pass; steal by K. Olynyk)
