time,Memphis,pts.away,score,pts.home,Houston
6:35.0,,,13-15,,T. Ariza misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by M. Gasol,,13-15,,
6:20.0,J. Green makes 3-pt shot from 26 ft (assist by M. Conley),3,16-15,,
6:00.0,,,16-15,,J. Harden misses 2-pt shot from 14 ft
5:59.0,Defensive rebound by M. Gasol,,16-15,,
5:51.0,T. Allen makes 2-pt shot from 1 ft,2,18-15,,
5:34.0,,,18-15,,Turnover by J. Harden (bad pass; steal by M. Conley)
5:29.0,M. Conley makes 2-pt shot from 3 ft,2,20-15,,
5:19.0,,,20-18,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
5:02.0,J. Ennis enters the game for T. Allen,,20-18,,
5:02.0,,,20-18,,E. Gordon enters the game for P. Beverley
5:02.0,Z. Randolph enters the game for J. Green,,20-18,,
5:02.0,,,20-18,,N. Hilario enters the game for M. Harrell
4:50.0,C. Parsons misses 2-pt shot from 14 ft,,20-18,,
4:49.0,,,20-18,,Defensive rebound by T. Ariza
4:42.0,,,20-18,,J. Harden misses 2-pt shot from 3 ft (block by J. Ennis)
4:41.0,Defensive rebound by C. Parsons,,20-18,,
4:35.0,M. Conley misses 3-pt shot from 24 ft,,20-18,,
4:34.0,,,20-18,,Defensive rebound by T. Ariza
4:26.0,,,20-20,2,J. Harden makes 2-pt shot from 2 ft
4:13.0,Turnover by Z. Randolph (bad pass),,20-20,,
4:01.0,,,20-22,2,J. Harden makes 2-pt shot from 3 ft
3:46.0,Shooting foul by R. Anderson (drawn by M. Gasol),,20-22,,
3:46.0,M. Gasol misses free throw 1 of 2,,20-22,,
3:46.0,Offensive rebound by Team,,20-22,,
3:46.0,M. Gasol makes free throw 2 of 2,1,21-22,,
3:46.0,V. Carter enters the game for C. Parsons,,20-22,,
3:46.0,,,20-22,,S. Dekker enters the game for R. Anderson
3:36.0,,,21-22,,Shooting foul by Z. Randolph (drawn by N. Hilario)
3:36.0,,,21-23,1,N. Hilario makes free throw 1 of 2
3:36.0,,,21-24,1,N. Hilario makes free throw 2 of 2
3:26.0,Offensive foul by M. Gasol,,21-24,,
3:26.0,Turnover by M. Gasol (offensive foul),,21-24,,
3:13.0,,,21-24,,S. Dekker misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by Z. Randolph,,21-24,,
2:58.0,M. Conley misses 3-pt shot from 27 ft,,21-24,,
2:56.0,,,21-24,,Defensive rebound by T. Ariza
2:53.0,,,21-24,,Shooting foul by V. Carter (drawn by J. Harden)
2:53.0,,,21-24,,Houston full timeout
2:53.0,,,21-25,1,J. Harden makes free throw 1 of 2
2:53.0,,,21-26,1,J. Harden makes free throw 2 of 2
2:38.0,M. Conley makes 2-pt shot from 19 ft (assist by M. Gasol),2,23-26,,
2:20.0,,,23-26,,Turnover by J. Harden (traveling)
2:20.0,T. Allen enters the game for M. Conley,,23-26,,
2:20.0,,,23-26,,C. Brewer enters the game for T. Ariza
2:05.0,J. Ennis misses 2-pt shot from 3 ft,,23-26,,
2:03.0,,,23-26,,Defensive rebound by C. Brewer
1:59.0,,,23-26,,S. Dekker misses 2-pt shot from 3 ft
1:57.0,,,23-26,,Offensive rebound by N. Hilario
1:54.0,,,23-28,2,C. Brewer makes 2-pt shot at rim (assist by N. Hilario)
1:43.0,Shooting foul by N. Hilario (drawn by V. Carter),,23-28,,
1:43.0,V. Carter misses free throw 1 of 2,,23-28,,
1:43.0,Offensive rebound by Team,,23-28,,
1:43.0,V. Carter makes free throw 2 of 2,1,24-28,,
1:43.0,J. Green enters the game for M. Gasol,,23-28,,
1:33.0,,,24-28,,C. Brewer misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by J. Ennis,,24-28,,
1:20.0,Z. Randolph misses 2-pt shot from 16 ft,,24-28,,
1:19.0,,,24-28,,Defensive rebound by C. Brewer
1:07.0,,,24-31,3,S. Dekker makes 3-pt shot from 23 ft (assist by N. Hilario)
0:50.0,,,24-31,,Personal foul by S. Dekker (drawn by J. Green)
0:50.0,J. Green misses free throw 1 of 2,,24-31,,
0:50.0,Offensive rebound by Team,,24-31,,
0:50.0,J. Green makes free throw 2 of 2,1,25-31,,
0:37.0,,,25-31,,Turnover by J. Harden (bad pass)
0:28.0,V. Carter misses 3-pt shot from 25 ft,,25-31,,
0:27.0,,,25-31,,Defensive rebound by N. Hilario
0:04.0,,,25-31,,J. Harden misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by Z. Randolph,,25-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,25-31,,C. Brewer misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by Z. Randolph,,25-31,,
11:26.0,T. Daniels misses 3-pt shot from 28 ft,,25-31,,
11:25.0,Offensive rebound by Z. Randolph,,25-31,,
11:17.0,Z. Randolph misses 2-pt shot from 14 ft,,25-31,,
11:16.0,Offensive rebound by Team,,25-31,,
11:16.0,,,25-31,,Inbound foul by E. Gordon
11:16.0,T. Daniels makes free throw 1 of 1,1,26-31,,
11:16.0,,,26-31,,Technical foul by Team
11:16.0,T. Daniels makes technical free throw,1,27-31,,
11:01.0,Z. Randolph misses 2-pt shot from 7 ft (block by N. Hilario),,27-31,,
10:59.0,,,27-31,,Defensive rebound by S. Dekker
10:58.0,,,27-31,,Shooting foul by T. Daniels (drawn by C. Brewer)
10:58.0,,,27-31,,C. Brewer misses free throw 1 of 2
10:58.0,,,27-31,,Offensive rebound by Team
10:58.0,,,27-32,1,C. Brewer makes free throw 2 of 2
10:44.0,T. Allen makes 2-pt shot from 3 ft,2,29-32,,
10:35.0,,,29-32,,E. Gordon misses 3-pt shot from 27 ft
10:34.0,Defensive rebound by Z. Randolph,,29-32,,
10:20.0,Z. Randolph misses 2-pt shot from 1 ft,,29-32,,
10:19.0,,,29-32,,Defensive rebound by C. Brewer
10:11.0,,,29-35,3,S. Dekker makes 3-pt shot from 24 ft (assist by P. Beverley)
9:47.0,Z. Randolph misses 2-pt shot from 6 ft,,29-35,,
9:46.0,Jump ball: J. Green vs. N. Hilario (S. Dekker gains possession),,,,Jump ball: J. Green vs. N. Hilario (S. Dekker gains possession)
9:46.0,,,29-35,,Defensive rebound by Team
9:31.0,Shooting block foul by T. Allen (drawn by S. Dekker),,29-35,,
9:31.0,,,29-35,,S. Dekker misses free throw 1 of 2
9:31.0,,,29-35,,Offensive rebound by Team
9:31.0,,,29-36,1,S. Dekker makes free throw 2 of 2
9:31.0,M. Conley enters the game for T. Allen,,29-35,,
9:15.0,V. Carter makes 2-pt shot from 8 ft (assist by M. Conley),2,31-36,,
9:04.0,,,31-38,2,P. Beverley makes 2-pt shot from 4 ft
8:52.0,,,31-38,,Def 3 sec tech foul by S. Dekker
8:52.0,Official timeout,,31-38,,
8:52.0,Z. Randolph misses technical free throw,,31-38,,
8:52.0,Offensive rebound by Team,,31-38,,
8:43.0,J. Green makes 2-pt shot at rim (assist by Z. Randolph),2,33-38,,
8:24.0,,,33-41,3,E. Gordon makes 3-pt shot from 25 ft (assist by S. Dekker)
8:07.0,M. Conley makes 2-pt shot from 3 ft,2,35-41,,
7:49.0,,,35-41,,E. Gordon misses 3-pt shot from 26 ft
7:48.0,Defensive rebound by J. Green,,35-41,,
7:40.0,Turnover by M. Conley (bad pass),,35-41,,
7:28.0,,,35-41,,E. Gordon misses 2-pt shot from 4 ft (block by M. Conley)
7:28.0,Defensive rebound by Team,,35-41,,
7:28.0,J. Ennis enters the game for V. Carter,,35-41,,
7:28.0,M. Gasol enters the game for Z. Randolph,,35-41,,
7:15.0,Shooting foul by C. Brewer (drawn by J. Ennis),,35-41,,
7:15.0,J. Ennis misses free throw 1 of 2,,35-41,,
7:15.0,Offensive rebound by Team,,35-41,,
7:15.0,J. Ennis makes free throw 2 of 2,1,36-41,,
7:15.0,,,35-41,,M. Harrell enters the game for N. Hilario
7:15.0,,,35-41,,R. Anderson enters the game for S. Dekker
7:15.0,C. Parsons enters the game for T. Daniels,,35-41,,
7:08.0,Personal foul by J. Ennis (drawn by E. Gordon),,36-41,,
7:01.0,,,36-43,2,M. Harrell makes 2-pt shot from 3 ft
6:47.0,Turnover by J. Ennis (bad pass),,36-43,,
6:37.0,,,36-43,,Shooting foul by J. Green (drawn by R. Anderson)
6:37.0,,,36-44,1,R. Anderson makes free throw 1 of 2
6:37.0,,,36-45,1,R. Anderson makes free throw 2 of 2
6:31.0,Memphis full timeout,,36-45,,
6:31.0,,,36-45,,J. Harden enters the game for E. Gordon
6:31.0,,,36-45,,T. Ariza enters the game for C. Brewer
6:19.0,J. Ennis makes 2-pt shot at rim (assist by M. Gasol),2,38-45,,
6:02.0,,,38-48,3,J. Harden makes 3-pt shot from 25 ft (assist by M. Harrell)
5:40.0,C. Parsons misses 3-pt shot from 26 ft,,38-48,,
5:38.0,Offensive rebound by J. Ennis,,38-48,,
5:24.0,J. Ennis makes 2-pt shot from 3 ft (assist by J. Green),2,40-48,,
5:10.0,,,40-50,2,R. Anderson makes 2-pt shot from 20 ft (assist by J. Harden)
4:59.0,,,40-50,,Violation by J. Harden (kicked ball)
4:47.0,Turnover by M. Gasol (bad pass; steal by M. Harrell),,40-50,,
4:41.0,,,40-53,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
4:08.0,J. Ennis misses 3-pt shot from 24 ft,,40-53,,
4:07.0,,,40-53,,Defensive rebound by M. Harrell
3:50.0,,,40-55,2,J. Harden makes 2-pt shot from 3 ft
3:40.0,Memphis full timeout,,40-55,,
3:40.0,,,40-55,,E. Gordon enters the game for P. Beverley
3:31.0,,,40-55,,Personal foul by M. Harrell (drawn by M. Gasol)
3:23.0,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley),2,42-55,,
3:01.0,,,42-55,,M. Harrell misses 2-pt shot from 3 ft
3:00.0,Defensive rebound by C. Parsons,,42-55,,
2:52.0,M. Gasol makes 2-pt shot at rim (assist by J. Ennis),2,44-55,,
2:42.0,,,44-57,2,M. Harrell makes 2-pt shot at rim (assist by T. Ariza)
2:31.0,M. Gasol misses 2-pt shot from 2 ft,,44-57,,
2:29.0,,,44-57,,Defensive rebound by J. Harden
2:28.0,Personal foul by J. Ennis (drawn by T. Ariza),,44-57,,
2:28.0,,,44-57,,Houston full timeout
2:28.0,,,44-58,1,T. Ariza makes free throw 1 of 2
2:28.0,,,44-59,1,T. Ariza makes free throw 2 of 2
2:28.0,,,44-57,,P. Beverley enters the game for R. Anderson
2:28.0,Z. Randolph enters the game for J. Green,,44-57,,
2:08.0,Z. Randolph misses 2-pt shot from 5 ft,,44-59,,
2:07.0,Offensive rebound by Z. Randolph,,44-59,,
2:04.0,Z. Randolph makes 2-pt shot from 2 ft,2,46-59,,
1:47.0,,,46-61,2,M. Harrell makes 2-pt shot from 3 ft
1:31.0,C. Parsons misses 3-pt shot from 25 ft,,46-61,,
1:31.0,,,46-61,,Defensive rebound by Team
1:31.0,Loose ball foul by Z. Randolph (drawn by T. Ariza),,46-61,,
1:31.0,,,46-62,1,T. Ariza makes free throw 1 of 2
1:31.0,,,46-62,,T. Ariza misses free throw 2 of 2
1:31.0,Defensive rebound by M. Gasol,,46-62,,
1:31.0,,,46-62,,N. Hilario enters the game for M. Harrell
1:11.0,C. Parsons makes 3-pt shot from 25 ft,3,49-62,,
1:02.0,,,49-62,,Shooting foul by C. Parsons (drawn by N. Hilario)
1:02.0,,,49-63,1,N. Hilario makes free throw 1 of 2
1:02.0,,,49-64,1,N. Hilario makes free throw 2 of 2
0:50.0,M. Conley misses 2-pt shot from 6 ft,,49-64,,
0:50.0,,,49-64,,Defensive rebound by Team
0:33.0,,,49-64,,Turnover by J. Harden (lost ball; steal by Z. Randolph)
0:29.0,Shooting foul by P. Beverley (drawn by J. Ennis),,49-64,,
0:29.0,J. Ennis makes free throw 1 of 2,1,50-64,,
0:29.0,J. Ennis makes free throw 2 of 2,1,51-64,,
0:29.0,V. Carter enters the game for M. Conley,,50-64,,
0:29.0,J. Green enters the game for Z. Randolph,,50-64,,
0:06.0,,,51-64,,J. Harden misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by J. Ennis,,51-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,51-64,,R. Anderson misses 3-pt shot from 29 ft
11:48.0,Defensive rebound by M. Conley,,51-64,,
11:34.0,C. Parsons misses 3-pt shot from 26 ft,,51-64,,
11:33.0,,,51-64,,Defensive rebound by M. Harrell
11:22.0,,,51-64,,R. Anderson misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by M. Conley,,51-64,,
11:11.0,Turnover by M. Gasol (bad pass),,51-64,,
10:58.0,,,51-64,,R. Anderson misses 3-pt shot from 27 ft
10:57.0,,,51-64,,Offensive rebound by M. Harrell
10:57.0,,,51-64,,M. Harrell misses 2-pt shot from 3 ft
10:56.0,Defensive rebound by J. Green,,51-64,,
10:43.0,T. Allen makes 2-pt shot from 3 ft (assist by M. Gasol),2,53-64,,
10:28.0,,,53-64,,Shooting foul by M. Gasol (drawn by J. Harden)
10:28.0,,,53-65,1,J. Harden makes free throw 1 of 2
10:28.0,,,53-66,1,J. Harden makes free throw 2 of 2
10:22.0,,,53-66,,Personal foul by P. Beverley (drawn by M. Conley)
10:13.0,Turnover by M. Conley (bad pass; steal by J. Harden),,53-66,,
10:12.0,Personal foul by M. Conley (drawn by T. Ariza),,53-66,,
9:53.0,,,53-66,,M. Harrell misses 2-pt shot from 5 ft
9:52.0,,,53-66,,Offensive rebound by T. Ariza
9:52.0,,,53-68,2,T. Ariza makes 2-pt shot from 1 ft
9:52.0,Memphis full timeout,,53-68,,
9:39.0,Turnover by M. Conley (lost ball; steal by P. Beverley),,53-68,,
9:37.0,,,53-68,,Turnover by R. Anderson (lost ball; steal by C. Parsons)
9:23.0,M. Conley misses 3-pt shot from 26 ft,,53-68,,
9:20.0,Offensive rebound by J. Green,,53-68,,
9:18.0,T. Allen makes 2-pt shot from 2 ft,2,55-68,,
9:01.0,,,55-70,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
8:48.0,Offensive foul by J. Green,,55-70,,
8:48.0,Turnover by J. Green (offensive foul),,55-70,,
8:48.0,V. Carter enters the game for C. Parsons,,55-70,,
8:48.0,Violation by Team (jump ball),,55-70,,
8:22.0,,,55-70,,R. Anderson misses 3-pt shot from 43 ft
8:21.0,Defensive rebound by T. Allen,,55-70,,
8:17.0,Turnover by T. Allen (bad pass),,55-70,,
8:09.0,,,55-70,,Turnover by J. Harden (bad pass; steal by T. Allen)
8:04.0,T. Allen makes 2-pt shot from 1 ft,2,57-70,,
7:51.0,,,57-70,,Shooting foul by J. Green (drawn by R. Anderson)
7:51.0,,,57-71,1,R. Anderson makes free throw 1 of 2
7:51.0,,,57-71,,R. Anderson misses free throw 2 of 2
7:51.0,J. Ennis enters the game for J. Green,,57-71,,
7:48.0,Defensive rebound by M. Conley,,57-71,,
7:37.0,Turnover by M. Gasol (bad pass),,57-71,,
7:37.0,Violation by T. Allen (kicked ball),,57-71,,
7:13.0,,,57-71,,P. Beverley misses 3-pt shot from 26 ft
7:12.0,Defensive rebound by M. Conley,,57-71,,
7:06.0,M. Gasol misses 3-pt shot from 27 ft,,57-71,,
7:05.0,Offensive rebound by V. Carter,,57-71,,
7:02.0,V. Carter misses 2-pt shot from 2 ft,,57-71,,
7:01.0,,,57-71,,Defensive rebound by P. Beverley
6:54.0,,,57-71,,R. Anderson misses 3-pt shot from 26 ft
6:53.0,Defensive rebound by M. Gasol,,57-71,,
6:42.0,J. Ennis makes 3-pt shot from 26 ft (assist by V. Carter),3,60-71,,
6:33.0,,,60-71,,P. Beverley misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by Team,,60-71,,
6:14.0,M. Conley makes 2-pt shot from 2 ft (assist by T. Allen),2,62-71,,
6:07.0,,,62-71,,J. Harden misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by M. Gasol,,62-71,,
5:53.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,64-71,,
5:52.0,,,64-71,,Houston full timeout
5:52.0,T. Daniels enters the game for M. Conley,,64-71,,
5:52.0,,,64-71,,E. Gordon enters the game for P. Beverley
5:41.0,,,64-71,,T. Ariza misses 2-pt shot from 6 ft
5:40.0,,,64-71,,Offensive rebound by T. Ariza
5:40.0,,,64-71,,T. Ariza misses 2-pt shot from 2 ft
5:39.0,,,64-71,,Offensive rebound by T. Ariza
5:37.0,Personal foul by V. Carter (drawn by T. Ariza),,64-71,,
5:19.0,,,64-73,2,M. Harrell makes 2-pt shot from 6 ft (assist by E. Gordon)
5:03.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,66-73,,
4:47.0,,,66-76,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
4:22.0,M. Gasol makes 2-pt shot from 1 ft,2,68-76,,
4:03.0,,,68-79,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
3:49.0,M. Gasol makes 3-pt shot from 26 ft (assist by T. Allen),3,71-79,,
3:35.0,,,71-79,,T. Ariza misses 3-pt shot from 26 ft
3:34.0,Defensive rebound by T. Allen,,71-79,,
3:29.0,Shooting foul by J. Harden (drawn by T. Allen),,71-79,,
3:29.0,T. Allen misses free throw 1 of 2,,71-79,,
3:29.0,Offensive rebound by Team,,71-79,,
3:29.0,T. Allen misses free throw 2 of 2,,71-79,,
3:29.0,,,71-79,,Defensive rebound by S. Dekker
3:29.0,,,71-79,,N. Hilario enters the game for M. Harrell
3:29.0,,,71-79,,S. Dekker enters the game for R. Anderson
3:09.0,,,71-81,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
2:53.0,Memphis full timeout,,71-81,,
2:53.0,Z. Randolph enters the game for M. Gasol,,71-81,,
2:53.0,M. Conley enters the game for T. Allen,,71-81,,
2:53.0,,,71-81,,C. Brewer enters the game for N. Hilario
2:44.0,T. Daniels makes 3-pt shot from 26 ft (assist by Z. Randolph),3,74-81,,
2:17.0,,,74-81,,S. Dekker misses 3-pt shot from 23 ft
2:15.0,Defensive rebound by V. Carter,,74-81,,
2:09.0,M. Conley makes 2-pt shot from 3 ft,2,76-81,,
2:09.0,Shooting foul by J. Harden (drawn by M. Conley),,76-81,,
2:09.0,M. Conley makes free throw 1 of 1,1,77-81,,
1:58.0,,,77-81,,E. Gordon misses 3-pt shot from 26 ft
1:57.0,Defensive rebound by Z. Randolph,,77-81,,
1:47.0,Z. Randolph makes 3-pt shot from 26 ft (assist by T. Daniels),3,80-81,,
1:39.0,Personal foul by Z. Randolph (drawn by J. Harden),,80-81,,
1:39.0,,,80-82,1,J. Harden makes free throw 1 of 2
1:39.0,,,80-83,1,J. Harden makes free throw 2 of 2
1:23.0,T. Daniels misses 3-pt shot from 28 ft,,80-83,,
1:22.0,,,80-83,,Defensive rebound by Team
1:22.0,Loose ball foul by J. Ennis (drawn by S. Dekker),,80-83,,
1:22.0,,,80-84,1,S. Dekker makes free throw 1 of 2
1:22.0,,,80-84,,S. Dekker misses free throw 2 of 2
1:22.0,Defensive rebound by Z. Randolph,,80-84,,
1:22.0,,,80-84,,N. Hilario enters the game for T. Ariza
1:07.0,T. Daniels makes 3-pt shot from 24 ft (assist by M. Conley),3,83-84,,
0:47.0,,,83-84,,N. Hilario misses 2-pt shot from 15 ft
0:46.0,,,83-84,,Offensive rebound by S. Dekker
0:42.0,,,83-84,,Shooting foul by J. Ennis (drawn by S. Dekker)
0:42.0,,,83-85,1,S. Dekker makes free throw 1 of 2
0:42.0,,,83-85,,S. Dekker misses free throw 2 of 2
0:42.0,Defensive rebound by Z. Randolph,,83-85,,
0:42.0,J. Green enters the game for J. Ennis,,83-85,,
0:31.0,M. Conley misses 2-pt shot from 20 ft,,83-85,,
0:30.0,,,83-85,,Defensive rebound by J. Harden
0:26.0,,,83-85,,J. Harden misses 3-pt shot from 26 ft
0:25.0,,,83-85,,Offensive rebound by S. Dekker
0:21.0,,,83-85,,E. Gordon misses 3-pt shot from 26 ft
0:20.0,Defensive rebound by Z. Randolph,,83-85,,
0:07.0,,,83-85,,Personal foul by E. Gordon (drawn by M. Conley)
0:00.0,J. Green misses 3-pt shot from 24 ft,,83-85,,
0:00.0,Offensive rebound by Team,,83-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,J. Ennis misses 2-pt shot from 4 ft (block by P. Beverley),,83-85,,
11:40.0,Offensive rebound by Team,,83-85,,
11:39.0,Turnover by J. Ennis (bad pass; steal by P. Beverley),,83-85,,
11:35.0,,,83-85,,Turnover by E. Gordon (discontinued dribble)
11:26.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley),2,85-85,,
11:11.0,,,85-85,,E. Gordon misses 3-pt shot from 26 ft
11:10.0,,,85-85,,Offensive rebound by C. Brewer
11:06.0,,,85-85,,C. Brewer misses 2-pt shot from 3 ft
11:05.0,Defensive rebound by T. Daniels,,85-85,,
11:01.0,,,85-85,,Shooting block foul by N. Hilario (drawn by T. Daniels)
11:01.0,T. Daniels makes free throw 1 of 2,1,86-85,,
11:01.0,T. Daniels makes free throw 2 of 2,1,87-85,,
10:47.0,,,87-85,,Turnover by E. Gordon (lost ball; steal by Z. Randolph)
10:28.0,Z. Randolph makes 2-pt shot from 11 ft,2,89-85,,
10:13.0,,,89-85,,S. Dekker misses 2-pt shot from 2 ft
10:10.0,Defensive rebound by M. Conley,,89-85,,
9:54.0,Z. Randolph misses 3-pt shot from 26 ft,,89-85,,
9:53.0,Offensive rebound by J. Ennis,,89-85,,
9:48.0,T. Daniels misses 3-pt shot from 26 ft,,89-85,,
9:47.0,Offensive rebound by Z. Randolph,,89-85,,
9:42.0,,,89-85,,Personal foul by N. Hilario (drawn by Z. Randolph)
9:42.0,,,89-85,,T. Ariza enters the game for S. Dekker
9:32.0,,,89-85,,Shooting block foul by E. Gordon (drawn by Z. Randolph)
9:32.0,Z. Randolph makes 2-pt shot from 7 ft,2,91-85,,
9:32.0,Z. Randolph makes free throw 1 of 1,1,92-85,,
9:32.0,V. Carter enters the game for J. Ennis,,91-85,,
9:20.0,,,92-85,,P. Beverley misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by T. Daniels,,92-85,,
9:18.0,Turnover by T. Daniels (bad pass; steal by N. Hilario),,92-85,,
9:15.0,,,92-87,2,N. Hilario makes 2-pt shot from 5 ft
8:46.0,Z. Randolph misses 2-pt shot from 17 ft,,92-87,,
8:44.0,,,92-87,,Defensive rebound by T. Ariza
8:40.0,Shooting block foul by T. Daniels (drawn by E. Gordon),,92-87,,
8:40.0,Official timeout,,92-87,,
8:40.0,,,92-88,1,E. Gordon makes free throw 1 of 2
8:40.0,,,92-89,1,E. Gordon makes free throw 2 of 2
8:23.0,Z. Randolph misses 2-pt shot from 10 ft,,92-89,,
8:22.0,,,92-89,,Defensive rebound by P. Beverley
8:08.0,,,92-92,3,C. Brewer makes 3-pt shot from 24 ft (assist by P. Beverley)
7:54.0,M. Conley misses 2-pt shot from 10 ft,,92-92,,
7:53.0,,,92-92,,Defensive rebound by E. Gordon
7:37.0,,,92-92,,T. Ariza misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by T. Daniels,,92-92,,
7:26.0,Z. Randolph makes 2-pt shot from 4 ft (assist by M. Conley),2,94-92,,
7:14.0,Personal foul by T. Daniels (drawn by E. Gordon),,94-92,,
7:14.0,M. Gasol enters the game for J. Green,,94-92,,
7:14.0,T. Allen enters the game for M. Conley,,94-92,,
7:10.0,,,94-92,,C. Brewer misses 3-pt shot from 24 ft
7:09.0,Defensive rebound by Z. Randolph,,94-92,,
6:56.0,Offensive foul by T. Allen,,94-92,,
6:56.0,Turnover by T. Allen (offensive foul),,94-92,,
6:43.0,,,94-92,,C. Brewer misses 2-pt shot from 6 ft (block by M. Gasol)
6:43.0,Defensive rebound by Team,,94-92,,
6:43.0,,,94-92,,Loose ball foul by C. Brewer (drawn by M. Gasol)
6:20.0,Turnover by T. Daniels (lost ball; steal by P. Beverley),,94-92,,
6:13.0,,,94-92,,E. Gordon misses 3-pt shot from 27 ft
6:12.0,Defensive rebound by T. Allen,,94-92,,
6:12.0,,,94-92,,Personal foul by P. Beverley (drawn by T. Allen)
6:12.0,,,94-92,,Houston full timeout
6:12.0,T. Allen makes free throw 1 of 2,1,95-92,,
6:12.0,T. Allen makes free throw 2 of 2,1,96-92,,
6:12.0,,,94-92,,M. Harrell enters the game for P. Beverley
6:12.0,,,94-92,,R. Anderson enters the game for N. Hilario
6:12.0,,,94-92,,J. Harden enters the game for C. Brewer
