time,Indiana,pts.away,score,pts.home,Chicago
7:58.0,M. Turner misses 2-pt shot from 13 ft,,7-8,,
7:56.0,,,7-8,,Defensive rebound by R. Rondo
7:50.0,,,7-10,2,R. Lopez makes 2-pt shot from 16 ft (assist by T. Gibson)
7:44.0,T. Young makes 2-pt shot from 3 ft,2,9-10,,
7:29.0,,,9-10,,T. Gibson misses 2-pt shot from 18 ft
7:28.0,Defensive rebound by T. Young,,9-10,,
7:12.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,12-10,,
6:55.0,,,12-12,2,D. Wade makes 2-pt shot from 15 ft
6:44.0,M. Turner misses 2-pt shot from 21 ft,,12-12,,
6:43.0,,,12-12,,Defensive rebound by J. Butler
6:30.0,,,12-14,2,T. Gibson makes 2-pt shot from 6 ft (assist by R. Lopez)
6:16.0,P. George makes 2-pt shot from 14 ft (assist by M. Turner),2,14-14,,
5:55.0,,,14-16,2,T. Gibson makes 2-pt shot from 12 ft (assist by J. Butler)
5:37.0,M. Turner misses 2-pt shot from 3 ft,,14-16,,
5:36.0,,,14-16,,Defensive rebound by D. Wade
5:30.0,,,14-16,,D. Wade misses 2-pt shot from 1 ft (block by M. Turner)
5:30.0,,,14-16,,Offensive rebound by Team
5:30.0,,,14-16,,Chicago full timeout
5:30.0,,,14-16,,D. McDermott enters the game for D. Wade
5:22.0,,,14-16,,J. Butler misses 2-pt shot from 17 ft
5:21.0,Defensive rebound by J. Teague,,14-16,,
5:17.0,J. Teague misses 2-pt shot from 4 ft (block by D. McDermott),,14-16,,
5:17.0,Offensive rebound by Team,,14-16,,
5:13.0,,,14-16,,Personal foul by D. McDermott (drawn by M. Ellis)
5:01.0,Turnover by T. Young (bad pass),,14-16,,
4:49.0,,,14-16,,T. Gibson misses 2-pt shot from 10 ft
4:49.0,Defensive rebound by Team,,14-16,,
4:49.0,,,14-16,,Loose ball foul by R. Lopez (drawn by M. Turner)
4:49.0,,,14-16,,N. Mirotic enters the game for R. Lopez
4:34.0,P. George makes 2-pt shot from 2 ft (assist by J. Teague),2,16-16,,
4:21.0,,,16-18,2,D. McDermott makes 2-pt shot from 12 ft (assist by R. Rondo)
4:05.0,M. Ellis misses 2-pt shot from 15 ft,,16-18,,
4:03.0,Offensive rebound by J. Teague,,16-18,,
3:57.0,J. Teague misses 3-pt shot from 25 ft,,16-18,,
3:56.0,,,16-18,,Defensive rebound by D. McDermott
3:54.0,C. Miles enters the game for M. Ellis,,16-18,,
3:44.0,,,16-18,,D. McDermott misses 2-pt shot at rim
3:42.0,,,16-18,,Offensive rebound by R. Rondo
3:32.0,,,16-20,2,J. Butler makes 2-pt shot from 4 ft (assist by N. Mirotic)
3:25.0,Indiana full timeout,,16-20,,
3:25.0,A. Jefferson enters the game for M. Turner,,16-20,,
3:20.0,,,16-20,,Violation by N. Mirotic (kicked ball)
3:07.0,A. Jefferson makes 2-pt shot from 6 ft,2,18-20,,
2:44.0,,,18-20,,Turnover by R. Rondo (lost ball; steal by J. Teague)
2:40.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,20-20,,
2:22.0,,,20-20,,N. Mirotic misses 2-pt shot from 20 ft
2:20.0,Defensive rebound by A. Jefferson,,20-20,,
1:58.0,J. Teague misses 2-pt shot from 14 ft,,20-20,,
1:57.0,,,20-20,,Defensive rebound by T. Gibson
1:44.0,,,20-22,2,T. Gibson makes 2-pt shot at rim (assist by R. Rondo)
1:21.0,P. George misses 3-pt shot from 25 ft,,20-22,,
1:20.0,,,20-22,,Defensive rebound by T. Gibson
1:02.0,,,20-22,,D. McDermott misses 2-pt shot from 15 ft
1:01.0,Defensive rebound by T. Young,,20-22,,
0:50.0,C. Miles misses 2-pt shot from 13 ft,,20-22,,
0:47.0,,,20-22,,Defensive rebound by T. Gibson
0:42.0,,,20-24,2,J. Butler makes 2-pt shot at rim (assist by R. Rondo)
0:25.0,C. Miles misses 2-pt shot from 21 ft,,20-24,,
0:23.0,Offensive rebound by T. Young,,20-24,,
0:20.0,C. Miles misses 2-pt shot from 4 ft (block by N. Mirotic),,20-24,,
0:18.0,,,20-24,,Defensive rebound by T. Gibson
0:02.0,,,20-24,,D. McDermott misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by T. Young,,20-24,,
0:00.0,T. Young misses 3-pt shot from 66 ft,,20-24,,
0:00.0,Offensive rebound by Team,,20-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,20-24,,Personal foul by D. McDermott (drawn by G. Robinson)
11:38.0,L. Allen misses 2-pt shot from 8 ft,,20-24,,
11:37.0,,,20-24,,Defensive rebound by C. Felicio
11:17.0,,,20-27,3,N. Mirotic makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
10:54.0,,,20-27,,Personal foul by C. Felicio (drawn by J. Young)
10:44.0,G. Robinson makes 2-pt shot from 23 ft (assist by L. Allen),2,22-27,,
10:26.0,,,22-27,,D. McDermott misses 2-pt shot from 6 ft
10:25.0,Defensive rebound by L. Allen,,22-27,,
10:07.0,A. Jefferson misses 2-pt shot from 15 ft,,22-27,,
10:06.0,Offensive rebound by G. Robinson,,22-27,,
9:53.0,A. Jefferson makes 2-pt shot from 8 ft (assist by L. Allen),2,24-27,,
9:37.0,Personal foul by L. Allen (drawn by N. Mirotic),,24-27,,
9:26.0,,,24-27,,Shooting foul by C. Miles (drawn by D. Wade)
9:26.0,,,24-28,1,D. Wade makes free throw 1 of 2
9:26.0,,,24-29,1,D. Wade makes free throw 2 of 2
9:11.0,C. Miles misses 2-pt shot from 18 ft,,24-29,,
9:10.0,,,24-29,,Defensive rebound by D. Wade
9:07.0,,,24-31,2,D. Wade makes 2-pt shot from 4 ft
8:49.0,J. Young misses 2-pt shot from 9 ft,,24-31,,
8:48.0,,,24-31,,Defensive rebound by C. Felicio
8:39.0,,,24-31,,M. Carter-Williams misses 2-pt shot from 1 ft (block by L. Allen)
8:37.0,Defensive rebound by G. Robinson,,24-31,,
8:33.0,G. Robinson misses 2-pt shot from 1 ft,,24-31,,
8:32.0,,,24-31,,Defensive rebound by D. McDermott
8:28.0,,,24-33,2,D. McDermott makes 2-pt shot from 4 ft
8:01.0,G. Robinson misses 3-pt shot from 25 ft,,24-33,,
7:59.0,,,24-33,,Defensive rebound by C. Felicio
7:57.0,,,24-35,2,N. Mirotic makes 2-pt shot from 2 ft (assist by D. McDermott)
7:57.0,,,24-35,,Shooting foul by L. Allen (drawn by N. Mirotic)
7:57.0,,,24-35,,Chicago full timeout
7:57.0,,,24-36,1,N. Mirotic makes free throw 1 of 1
7:57.0,K. Seraphin enters the game for C. Miles,,24-35,,
7:57.0,M. Ellis enters the game for A. Jefferson,,24-35,,
7:35.0,M. Ellis misses 2-pt shot from 5 ft (block by M. Carter-Williams),,24-36,,
7:32.0,,,24-36,,Defensive rebound by C. Felicio
7:26.0,,,24-39,3,D. McDermott makes 3-pt shot from 24 ft (assist by N. Mirotic)
7:01.0,K. Seraphin misses 2-pt shot from 6 ft,,24-39,,
7:00.0,,,24-39,,Defensive rebound by D. Wade
6:47.0,,,24-41,2,C. Felicio makes 2-pt shot from 3 ft (assist by D. Wade)
6:28.0,Turnover by G. Robinson (lost ball; steal by M. Carter-Williams),,24-41,,
6:25.0,,,24-43,2,D. McDermott makes 2-pt shot from 3 ft (assist by M. Carter-Williams)
6:21.0,Indiana full timeout,,24-43,,
6:21.0,P. George enters the game for L. Allen,,24-43,,
6:21.0,T. Young enters the game for G. Robinson,,24-43,,
6:21.0,J. Teague enters the game for J. Young,,24-43,,
6:13.0,T. Young makes 2-pt shot from 4 ft (assist by M. Ellis),2,26-43,,
5:50.0,,,26-43,,Turnover by M. Carter-Williams (bad pass; steal by K. Seraphin)
5:42.0,T. Young makes 2-pt shot from 4 ft (assist by J. Teague),2,28-43,,
5:25.0,,,28-43,,Turnover by C. Felicio (bad pass; steal by K. Seraphin)
5:15.0,T. Young misses 3-pt shot from 23 ft,,28-43,,
5:14.0,,,28-43,,Defensive rebound by N. Mirotic
4:57.0,,,28-43,,Shooting foul by K. Seraphin (drawn by D. Wade)
4:57.0,,,28-44,1,D. Wade makes free throw 1 of 2
4:57.0,,,28-45,1,D. Wade makes free throw 2 of 2
4:57.0,M. Turner enters the game for K. Seraphin,,28-44,,
4:57.0,,,28-44,,J. Butler enters the game for D. McDermott
4:57.0,,,28-44,,R. Rondo enters the game for M. Carter-Williams
4:57.0,,,28-44,,T. Gibson enters the game for C. Felicio
4:45.0,M. Turner makes 2-pt shot from 10 ft (assist by M. Ellis),2,30-45,,
4:30.0,,,30-47,2,T. Gibson makes 2-pt shot from 6 ft (assist by R. Rondo)
4:19.0,P. George makes 2-pt shot from 3 ft (assist by T. Young),2,32-47,,
4:04.0,,,32-47,,N. Mirotic misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by P. George,,32-47,,
3:57.0,,,32-47,,Personal foul by T. Gibson (drawn by P. George)
3:57.0,,,32-47,,I. Canaan enters the game for D. Wade
3:46.0,M. Turner makes 2-pt shot from 3 ft (assist by P. George),2,34-47,,
3:27.0,,,34-49,2,T. Gibson makes 2-pt shot at rim (assist by R. Rondo)
3:12.0,Turnover by P. George (bad pass; steal by J. Butler),,34-49,,
3:06.0,,,34-52,3,I. Canaan makes 3-pt shot from 24 ft (assist by R. Rondo)
2:52.0,P. George misses 2-pt shot from 9 ft,,34-52,,
2:51.0,,,34-52,,Defensive rebound by T. Gibson
2:31.0,,,34-54,2,J. Butler makes 2-pt shot from 7 ft (assist by R. Rondo)
2:24.0,Indiana full timeout,,34-54,,
2:24.0,,,34-54,,Chicago full timeout
2:18.0,Turnover by J. Teague (bad pass; steal by I. Canaan),,34-54,,
2:11.0,,,34-54,,I. Canaan misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by M. Turner,,34-54,,
1:58.0,Turnover by M. Ellis (bad pass; steal by T. Gibson),,34-54,,
1:53.0,,,34-56,2,I. Canaan makes 2-pt shot from 3 ft (assist by R. Rondo)
1:37.0,M. Turner makes 2-pt shot from 5 ft (assist by P. George),2,36-56,,
1:14.0,,,36-56,,Shooting foul by M. Turner (drawn by J. Butler)
1:14.0,,,36-57,1,J. Butler makes free throw 1 of 2
1:14.0,,,36-58,1,J. Butler makes free throw 2 of 2
1:04.0,J. Teague misses 2-pt shot from 7 ft,,36-58,,
1:03.0,,,36-58,,Defensive rebound by T. Gibson
1:01.0,,,36-60,2,J. Butler makes 2-pt shot at rim (assist by R. Rondo)
0:47.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,39-60,,
0:30.0,,,39-62,2,R. Rondo makes 2-pt shot from 7 ft
0:13.0,T. Young makes 2-pt shot from 2 ft (assist by P. George),2,41-62,,
0:01.0,,,41-62,,Chicago full timeout
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Turner makes 2-pt shot from 19 ft (assist by J. Teague),2,43-62,,
11:18.0,,,43-64,2,D. Wade makes 2-pt shot from 20 ft (assist by J. Butler)
11:01.0,P. George makes 3-pt shot from 25 ft (assist by M. Turner),3,46-64,,
10:34.0,,,46-64,,Turnover by R. Rondo (bad pass; steal by P. George)
10:30.0,Turnover by P. George (lost ball; steal by D. Wade),,46-64,,
10:15.0,,,46-64,,T. Gibson misses 2-pt shot from 3 ft
10:13.0,Defensive rebound by J. Teague,,46-64,,
9:53.0,M. Turner misses 2-pt shot from 9 ft,,46-64,,
9:52.0,,,46-64,,Defensive rebound by T. Gibson
9:37.0,,,46-64,,Shooting foul by M. Turner (drawn by J. Butler)
9:37.0,,,46-65,1,J. Butler makes free throw 1 of 2
9:37.0,,,46-66,1,J. Butler makes free throw 2 of 2
9:27.0,Turnover by M. Ellis (bad pass; steal by D. Wade),,46-66,,
9:24.0,,,46-66,,Shooting foul by J. Teague (drawn by D. Wade)
9:24.0,,,46-67,1,D. Wade makes free throw 1 of 2
9:24.0,,,46-68,1,D. Wade makes free throw 2 of 2
9:14.0,P. George makes 3-pt shot from 24 ft (assist by J. Teague),3,49-68,,
9:09.0,Personal block foul by P. George (drawn by J. Butler),,49-68,,
8:52.0,,,49-70,2,J. Butler makes 2-pt shot from 13 ft
8:40.0,Turnover by M. Turner (lost ball),,49-70,,
8:13.0,,,49-70,,D. Wade misses 2-pt shot from 11 ft
8:10.0,Defensive rebound by M. Turner,,49-70,,
8:06.0,M. Ellis makes 2-pt shot from 3 ft (assist by J. Teague),2,51-70,,
7:54.0,Violation by P. George (kicked ball),,51-70,,
7:47.0,,,51-72,2,R. Rondo makes 2-pt shot from 21 ft
7:33.0,P. George misses 2-pt shot from 7 ft,,51-72,,
7:32.0,,,51-72,,Defensive rebound by T. Gibson
7:32.0,Personal foul by P. George (drawn by T. Gibson),,51-72,,
7:12.0,,,51-72,,J. Butler misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by M. Ellis,,51-72,,
7:01.0,M. Turner makes 2-pt shot from 17 ft (assist by T. Young),2,53-72,,
6:48.0,Personal foul by P. George (drawn by R. Rondo),,53-72,,
6:48.0,,,53-73,1,R. Rondo makes free throw 1 of 2
6:48.0,,,53-74,1,R. Rondo makes free throw 2 of 2
6:44.0,Turnover by P. George (offensive foul),,53-74,,
6:44.0,Offensive foul by P. George,,53-74,,
6:44.0,C. Miles enters the game for P. George,,53-74,,
6:27.0,,,53-76,2,T. Gibson makes 2-pt shot from 19 ft (assist by D. Wade)
6:14.0,Shooting foul by R. Lopez (drawn by M. Turner),,53-76,,
6:14.0,M. Turner makes free throw 1 of 2,1,54-76,,
6:14.0,M. Turner misses free throw 2 of 2,,54-76,,
6:13.0,,,54-76,,Defensive rebound by R. Lopez
5:51.0,,,54-76,,Turnover by R. Rondo (bad pass; steal by T. Young)
5:46.0,T. Young misses 2-pt shot from 2 ft,,54-76,,
5:45.0,,,54-76,,Defensive rebound by J. Butler
5:39.0,,,54-76,,T. Gibson misses 2-pt shot from 2 ft (block by C. Miles)
5:37.0,,,54-76,,Offensive rebound by D. Wade
5:29.0,,,54-78,2,R. Lopez makes 2-pt shot at rim (assist by J. Butler)
5:29.0,Indiana full timeout,,54-78,,
5:29.0,,,54-78,,D. McDermott enters the game for D. Wade
5:10.0,M. Ellis misses 3-pt shot from 25 ft,,54-78,,
5:09.0,,,54-78,,Defensive rebound by J. Butler
4:49.0,,,54-78,,Turnover by R. Rondo (bad pass; steal by T. Young)
4:42.0,Shooting foul by J. Butler (drawn by M. Turner),,54-78,,
4:42.0,M. Turner makes free throw 1 of 2,1,55-78,,
4:42.0,M. Turner makes free throw 2 of 2,1,56-78,,
4:27.0,,,56-81,3,D. McDermott makes 3-pt shot from 26 ft (assist by R. Rondo)
4:15.0,J. Teague misses 2-pt shot from 20 ft,,56-81,,
4:14.0,Offensive rebound by M. Turner,,56-81,,
4:14.0,M. Turner makes 2-pt shot at rim,2,58-81,,
4:09.0,,,58-83,2,R. Lopez makes 2-pt shot at rim (assist by R. Rondo)
3:50.0,,,58-83,,Personal foul by J. Butler (drawn by M. Turner)
3:50.0,A. Jefferson enters the game for T. Young,,58-83,,
3:50.0,G. Niang enters the game for M. Turner,,58-83,,
3:50.0,,,58-83,,M. Carter-Williams enters the game for T. Gibson
3:50.0,,,58-83,,N. Mirotic enters the game for R. Rondo
3:40.0,C. Miles makes 3-pt shot from 25 ft (assist by M. Ellis),3,61-83,,
3:22.0,,,61-85,2,M. Carter-Williams makes 2-pt shot from 9 ft (assist by D. McDermott)
3:09.0,Turnover by G. Niang (lost ball; steal by D. McDermott),,61-85,,
3:05.0,,,61-85,,Turnover by M. Carter-Williams (lost ball; steal by J. Teague)
3:01.0,J. Teague misses 2-pt shot from 2 ft (block by R. Lopez),,61-85,,
3:01.0,Offensive rebound by Team,,61-85,,
3:01.0,,,61-85,,I. Canaan enters the game for J. Butler
2:57.0,C. Miles misses 2-pt shot from 18 ft,,61-85,,
2:56.0,,,61-85,,Defensive rebound by R. Lopez
2:42.0,,,61-85,,M. Carter-Williams misses 3-pt shot from 25 ft
2:41.0,,,61-85,,Offensive rebound by R. Lopez
2:38.0,,,61-88,3,I. Canaan makes 3-pt shot from 25 ft (assist by R. Lopez)
2:21.0,,,61-88,,Personal foul by M. Carter-Williams (drawn by J. Teague)
2:21.0,,,61-88,,Chicago full timeout
2:21.0,J. Young enters the game for J. Teague,,61-88,,
2:12.0,C. Miles makes 2-pt shot from 2 ft (assist by J. Young),2,63-88,,
1:57.0,,,63-88,,Turnover by M. Carter-Williams (traveling)
1:47.0,A. Jefferson misses 2-pt shot from 13 ft,,63-88,,
1:45.0,Offensive rebound by G. Niang,,63-88,,
1:39.0,M. Ellis misses 2-pt shot from 16 ft,,63-88,,
1:38.0,Offensive rebound by A. Jefferson,,63-88,,
1:38.0,A. Jefferson makes 2-pt shot from 3 ft,2,65-88,,
1:23.0,,,65-88,,Shooting foul by C. Miles (drawn by R. Lopez)
1:23.0,,,65-89,1,R. Lopez makes free throw 1 of 2
1:23.0,,,65-90,1,R. Lopez makes free throw 2 of 2
1:00.0,M. Ellis misses 2-pt shot from 4 ft (block by R. Lopez),,65-90,,
0:58.0,,,65-90,,Defensive rebound by R. Lopez
0:55.0,,,65-90,,Turnover by D. McDermott (lost ball)
0:35.0,G. Niang makes 2-pt shot from 4 ft (assist by A. Jefferson),2,67-90,,
0:27.0,,,67-90,,Shooting foul by A. Jefferson (drawn by M. Carter-Williams)
0:27.0,,,67-91,1,M. Carter-Williams makes free throw 1 of 2
0:27.0,,,67-92,1,M. Carter-Williams makes free throw 2 of 2
0:27.0,G. Robinson enters the game for M. Ellis,,67-91,,
0:27.0,,,67-91,,C. Felicio enters the game for R. Lopez
0:10.0,C. Miles misses 2-pt shot from 3 ft,,67-92,,
0:09.0,,,67-92,,Defensive rebound by D. McDermott
0:00.0,,,67-92,,I. Canaan misses 3-pt shot from 25 ft
0:00.0,,,67-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,67-92,,N. Mirotic misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by A. Jefferson,,67-92,,
11:39.0,C. Miles misses 3-pt shot from 25 ft,,67-92,,
11:37.0,Offensive rebound by G. Robinson,,67-92,,
11:26.0,,,67-92,,Def 3 sec tech foul by D. McDermott
11:26.0,J. Young makes technical free throw,1,68-92,,
11:19.0,J. Young misses 2-pt shot from 14 ft,,68-92,,
11:18.0,,,68-92,,Defensive rebound by D. McDermott
11:10.0,,,68-95,3,D. McDermott makes 3-pt shot from 25 ft (assist by I. Canaan)
10:53.0,C. Miles makes 2-pt shot from 21 ft (assist by A. Jefferson),2,70-95,,
10:40.0,,,70-97,2,D. McDermott makes 2-pt shot from 20 ft (assist by M. Carter-Williams)
10:20.0,Turnover by G. Niang (bad pass),,70-97,,
10:07.0,,,70-97,,Turnover by M. Carter-Williams (bad pass; steal by C. Miles)
10:05.0,Shooting foul by I. Canaan (drawn by G. Robinson),,70-97,,
10:05.0,G. Robinson makes 2-pt shot from 3 ft (assist by C. Miles),2,72-97,,
10:05.0,G. Robinson makes free throw 1 of 1,1,73-97,,
9:40.0,,,73-99,2,N. Mirotic makes 2-pt shot at rim (assist by D. McDermott)
9:22.0,G. Niang misses 2-pt shot from 3 ft (block by M. Carter-Williams),,73-99,,
9:21.0,,,73-99,,Defensive rebound by M. Carter-Williams
9:15.0,,,73-102,3,D. McDermott makes 3-pt shot from 24 ft (assist by I. Canaan)
9:02.0,Shooting foul by C. Felicio (drawn by G. Robinson),,73-102,,
9:02.0,G. Robinson makes free throw 1 of 2,1,74-102,,
9:02.0,G. Robinson makes free throw 2 of 2,1,75-102,,
8:47.0,,,75-102,,N. Mirotic misses 2-pt shot from 1 ft (block by C. Miles)
8:47.0,,,75-102,,Offensive rebound by N. Mirotic
8:47.0,,,75-102,,N. Mirotic misses 2-pt shot from 1 ft
8:47.0,,,75-102,,Offensive rebound by Team
8:47.0,Loose ball foul by A. Jefferson (drawn by C. Felicio),,75-102,,
8:47.0,,,75-102,,Chicago full timeout
8:47.0,K. Seraphin enters the game for A. Jefferson,,75-102,,
8:34.0,,,75-102,,M. Carter-Williams misses 2-pt shot from 4 ft
8:33.0,Defensive rebound by J. Young,,75-102,,
8:28.0,C. Miles makes 2-pt shot from 4 ft (assist by J. Young),2,77-102,,
8:11.0,,,77-102,,D. McDermott misses 2-pt shot from 7 ft
8:10.0,Defensive rebound by K. Seraphin,,77-102,,
8:00.0,G. Niang misses 3-pt shot from 23 ft,,77-102,,
7:58.0,,,77-102,,Defensive rebound by N. Mirotic
7:50.0,,,77-102,,M. Carter-Williams misses 2-pt shot from 3 ft
7:48.0,,,77-102,,Offensive rebound by C. Felicio
7:48.0,,,77-102,,C. Felicio misses 2-pt shot from 2 ft
7:47.0,,,77-102,,Offensive rebound by C. Felicio
7:47.0,,,77-104,2,C. Felicio makes 2-pt shot from 2 ft
7:30.0,G. Robinson makes 2-pt shot from 3 ft (assist by K. Seraphin),2,79-104,,
7:16.0,,,79-104,,N. Mirotic misses 3-pt shot from 23 ft
7:15.0,Defensive rebound by C. Miles,,79-104,,
7:06.0,G. Niang makes 2-pt shot from 3 ft (assist by C. Miles),2,81-104,,
6:43.0,,,81-104,,Shooting foul by K. Seraphin (drawn by C. Felicio)
6:43.0,,,81-105,1,C. Felicio makes free throw 1 of 2
6:43.0,,,81-105,,C. Felicio misses free throw 2 of 2
6:43.0,R. Christmas enters the game for C. Miles,,81-105,,
6:43.0,,,81-105,,B. Portis enters the game for N. Mirotic
6:41.0,Defensive rebound by J. Young,,81-105,,
6:40.0,Indiana full timeout,,81-105,,
6:20.0,K. Seraphin makes 2-pt shot at rim,2,83-105,,
5:56.0,,,83-105,,B. Portis misses 2-pt shot from 6 ft
5:55.0,Defensive rebound by R. Christmas,,83-105,,
5:45.0,J. Young makes 2-pt shot from 19 ft (assist by K. Seraphin),2,85-105,,
5:32.0,,,85-105,,M. Carter-Williams misses 2-pt shot from 13 ft
5:30.0,,,85-105,,Offensive rebound by B. Portis
5:30.0,,,85-105,,B. Portis misses 2-pt shot from 3 ft
5:29.0,,,85-105,,Offensive rebound by C. Felicio
5:20.0,,,85-108,3,I. Canaan makes 3-pt shot from 24 ft (assist by B. Portis)
5:07.0,R. Christmas misses 2-pt shot from 21 ft,,85-108,,
5:06.0,Offensive rebound by K. Seraphin,,85-108,,
5:05.0,K. Seraphin makes 2-pt shot from 3 ft,2,87-108,,
4:48.0,,,87-108,,M. Carter-Williams misses 2-pt shot from 12 ft
4:47.0,Defensive rebound by K. Seraphin,,87-108,,
4:47.0,,,87-108,,Personal foul by M. Carter-Williams (drawn by K. Seraphin)
4:47.0,,,87-108,,D. Valentine enters the game for I. Canaan
4:47.0,,,87-108,,Violation by Team (jump ball)
4:36.0,J. Young makes 3-pt shot from 26 ft,3,90-108,,
4:21.0,,,90-111,3,D. McDermott makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
4:06.0,J. Young makes 2-pt shot from 3 ft (assist by R. Christmas),2,92-111,,
3:51.0,,,92-111,,B. Portis misses 2-pt shot from 18 ft
3:50.0,Defensive rebound by K. Seraphin,,92-111,,
3:41.0,G. Robinson makes 2-pt shot from 21 ft (assist by J. Young),2,94-111,,
3:26.0,,,94-111,,Turnover by D. Valentine (bad pass)
3:26.0,,,94-111,,P. Zipser enters the game for D. McDermott
3:09.0,K. Seraphin makes 2-pt shot from 6 ft,2,96-111,,
2:56.0,,,96-111,,Shooting foul by R. Christmas (drawn by M. Carter-Williams)
2:56.0,,,96-111,,Chicago full timeout
2:56.0,,,96-111,,M. Carter-Williams misses free throw 1 of 2
2:56.0,,,96-111,,Offensive rebound by Team
2:56.0,,,96-112,1,M. Carter-Williams makes free throw 2 of 2
2:38.0,K. Seraphin makes 2-pt shot from 8 ft,2,98-112,,
2:20.0,,,98-112,,D. Valentine misses 3-pt shot from 23 ft
2:19.0,Defensive rebound by G. Niang,,98-112,,
2:14.0,J. Young makes 3-pt shot from 24 ft (assist by G. Niang),3,101-112,,
2:00.0,,,101-114,2,C. Felicio makes 2-pt shot from 20 ft (assist by M. Carter-Williams)
1:46.0,G. Robinson misses 3-pt shot from 25 ft,,101-114,,
1:45.0,,,101-114,,Defensive rebound by P. Zipser
1:33.0,,,101-116,2,M. Carter-Williams makes 2-pt shot from 8 ft
1:24.0,,,101-116,,Violation by M. Carter-Williams (kicked ball)
1:15.0,J. Young misses 3-pt shot from 23 ft,,101-116,,
1:15.0,,,101-116,,Defensive rebound by Team
1:01.0,,,101-116,,Turnover by D. Valentine (bad pass)
0:39.0,G. Niang misses 3-pt shot from 25 ft,,101-116,,
0:38.0,,,101-116,,Defensive rebound by D. Valentine
0:25.0,,,101-116,,C. Felicio misses 2-pt shot from 1 ft (block by K. Seraphin)
0:25.0,,,101-116,,Offensive rebound by B. Portis
0:25.0,,,101-118,2,B. Portis makes 2-pt shot from 3 ft
0:11.0,K. Seraphin misses 2-pt shot from 15 ft,,101-118,,
0:10.0,,,101-118,,Defensive rebound by C. Felicio
0:00.0,End of 4th quarter,,,,End of 4th quarter
