time,Portland,pts.away,score,pts.home,Golden State
11:16.0,,,88-91,,Turnover by K. Thompson (traveling)
11:03.0,,,88-91,,Personal foul by D. Green (drawn by A. Aminu)
10:52.0,A. Crabbe misses 3-pt shot from 25 ft,,88-91,,
10:51.0,,,88-91,,Defensive rebound by I. Clark
10:49.0,,,88-91,,Shooting foul by A. Crabbe (drawn by D. Green)
10:49.0,,,88-91,,D. Green misses free throw 1 of 2
10:49.0,,,88-91,,Offensive rebound by Team
10:49.0,,,88-92,1,D. Green makes free throw 2 of 2
10:31.0,A. Aminu misses 3-pt shot from 25 ft,,88-92,,
10:31.0,Offensive rebound by Team,,88-92,,
10:31.0,,,88-92,,Loose ball foul by A. Iguodala (drawn by N. Vonleh)
10:16.0,A. Crabbe misses 2-pt shot from 13 ft,,88-92,,
10:15.0,,,88-92,,Defensive rebound by D. West
10:01.0,,,88-92,,A. Iguodala misses 3-pt shot from 27 ft
10:00.0,Defensive rebound by N. Vonleh,,88-92,,
9:50.0,S. Napier makes 2-pt shot from 1 ft,2,90-92,,
9:31.0,,,90-92,,I. Clark misses 2-pt shot from 2 ft
9:30.0,,,90-92,,Offensive rebound by I. Clark
9:30.0,,,90-94,2,I. Clark makes 2-pt shot from 1 ft
9:04.0,A. Aminu misses 2-pt shot from 12 ft,,90-94,,
9:04.0,,,90-94,,Defensive rebound by D. West
8:59.0,,,90-97,3,I. Clark makes 3-pt shot from 26 ft (assist by A. Iguodala)
8:58.0,Portland full timeout,,90-97,,
8:58.0,E. Turner enters the game for A. Aminu,,90-97,,
8:58.0,M. Harkless enters the game for A. Crabbe,,90-97,,
8:58.0,D. Lillard enters the game for S. Napier,,90-97,,
8:35.0,M. Harkless misses 2-pt shot from 3 ft,,90-97,,
8:35.0,Offensive rebound by N. Vonleh,,90-97,,
8:35.0,N. Vonleh misses 2-pt shot from 2 ft,,90-97,,
8:33.0,Offensive rebound by C. McCollum,,90-97,,
8:32.0,C. McCollum misses 2-pt shot from 5 ft (block by D. Green),,90-97,,
8:32.0,,,90-97,,Defensive rebound by Team
8:19.0,,,90-99,2,K. Thompson makes 2-pt shot from 11 ft (assist by D. Green)
8:00.0,Turnover by D. Lillard (lost ball; steal by D. Green),,90-99,,
7:57.0,,,90-99,,Shooting foul by C. McCollum (drawn by I. Clark)
7:57.0,,,90-100,1,I. Clark makes free throw 1 of 2
7:57.0,,,90-101,1,I. Clark makes free throw 2 of 2
7:46.0,,,90-101,,Personal foul by A. Iguodala (drawn by D. Lillard)
7:35.0,E. Turner misses 2-pt shot from 7 ft (block by D. Green),,90-101,,
7:34.0,Offensive rebound by E. Turner,,90-101,,
7:32.0,M. Harkless misses 3-pt shot from 25 ft,,90-101,,
7:31.0,Offensive rebound by Team,,90-101,,
7:31.0,Turnover by Team (shot clock),,90-101,,
7:19.0,,,90-101,,Shooting foul by C. McCollum (drawn by K. Thompson)
7:19.0,,,90-102,1,K. Thompson makes free throw 1 of 2
7:19.0,,,90-103,1,K. Thompson makes free throw 2 of 2
7:02.0,,,90-103,,Personal block foul by D. West
