time,Miami,pts.away,score,pts.home,Oklahoma City
4:27.0,,,53-75,,Turnover by A. Roberson (lost ball; steal by T. Johnson)
4:16.0,G. Dragic makes 2-pt shot from 13 ft,2,55-75,,
4:16.0,,,55-75,,Oklahoma City full timeout
4:16.0,,,55-75,,A. Abrines enters the game for V. Oladipo
3:57.0,,,55-77,2,E. Kanter makes 2-pt shot from 2 ft (assist by A. Roberson)
3:50.0,Turnover by G. Dragic (lost ball; steal by A. Roberson),,55-77,,
3:48.0,Personal foul by J. Richardson (drawn by A. Roberson),,55-77,,
3:48.0,,,55-77,,J. Lauvergne enters the game for S. Adams
3:48.0,J. Winslow enters the game for G. Dragic,,55-77,,
3:42.0,,,55-77,,Turnover by R. Westbrook (bad pass; steal by J. Johnson)
3:30.0,J. Johnson makes 2-pt shot from 1 ft,2,57-77,,
3:17.0,Personal foul by J. Richardson (drawn by E. Kanter),,57-77,,
3:17.0,,,57-77,,Technical foul by E. Kanter
3:17.0,Technical foul by J. Richardson (drawn by E. Kanter),,57-77,,
3:17.0,,,57-78,1,E. Kanter makes free throw 1 of 2
3:17.0,,,57-79,1,E. Kanter makes free throw 2 of 2
3:17.0,,,57-78,,J. Grant enters the game for A. Roberson
3:02.0,T. Johnson misses 2-pt shot from 21 ft,,57-79,,
3:02.0,,,57-79,,Defensive rebound by E. Kanter
2:58.0,,,57-79,,Turnover by E. Kanter (dbl dribble)
2:58.0,,,57-79,,S. Christon enters the game for R. Westbrook
2:50.0,Turnover by W. Reed (lost ball; steal by A. Abrines),,57-79,,
2:45.0,,,57-79,,A. Abrines misses 2-pt shot from 2 ft (block by W. Reed)
2:45.0,,,57-79,,Offensive rebound by Team
2:34.0,,,57-79,,J. Lauvergne misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by J. Richardson,,57-79,,
2:14.0,J. Johnson misses 2-pt shot from 1 ft,,57-79,,
2:13.0,,,57-79,,Defensive rebound by E. Kanter
1:58.0,,,57-81,2,E. Kanter makes 2-pt shot from 1 ft (assist by J. Grant)
1:36.0,J. Winslow misses 2-pt shot from 2 ft (block by J. Grant),,57-81,,
1:35.0,Offensive rebound by W. Reed,,57-81,,
1:34.0,W. Reed makes 2-pt shot from 1 ft,2,59-81,,
1:19.0,,,59-81,,J. Lauvergne misses 2-pt shot from 5 ft
1:19.0,,,59-81,,Offensive rebound by E. Kanter
1:17.0,Flagrant foul type 1 by W. Reed (drawn by E. Kanter),,59-81,,
1:17.0,,,59-82,1,E. Kanter makes flagrant free throw 1 of 2
1:17.0,,,59-83,1,E. Kanter makes flagrant free throw 2 of 2
1:06.0,,,59-83,,Turnover by E. Kanter (bad pass; steal by J. Winslow)
0:48.0,T. Johnson misses 2-pt shot from 5 ft,,59-83,,
0:47.0,Offensive rebound by W. Reed,,59-83,,
0:47.0,W. Reed makes 2-pt shot from 2 ft,2,61-83,,
0:32.0,,,61-83,,A. Abrines misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by Team,,61-83,,
0:17.0,J. Johnson misses 2-pt shot from 1 ft,,61-83,,
0:16.0,,,61-83,,Defensive rebound by E. Kanter
0:14.0,,,61-83,,Turnover by A. Abrines (lost ball)
0:07.0,,,61-83,,Personal take foul by J. Grant (drawn by J. Winslow)
0:00.0,J. Winslow misses 2-pt shot from 5 ft,,61-83,,
0:00.0,Offensive rebound by Team,,61-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,61-83,,A. Abrines misses 3-pt shot from 24 ft
11:48.0,Defensive rebound by J. Johnson,,61-83,,
11:29.0,J. Winslow misses 3-pt shot from 23 ft,,61-83,,
11:29.0,Offensive rebound by W. Reed,,61-83,,
11:23.0,,,61-83,,Personal foul by E. Kanter (drawn by J. Johnson)
11:13.0,J. Richardson misses 3-pt shot from 22 ft,,61-83,,
11:12.0,,,61-83,,Defensive rebound by J. Lauvergne
11:03.0,,,61-83,,J. Lauvergne misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by J. Winslow,,61-83,,
10:55.0,J. Winslow misses 2-pt shot from 1 ft,,61-83,,
10:54.0,,,61-83,,Defensive rebound by J. Grant
10:45.0,,,61-83,,J. Lauvergne misses 2-pt shot from 4 ft
10:45.0,,,61-83,,Offensive rebound by Team
10:35.0,,,61-83,,S. Christon misses 2-pt shot from 1 ft
10:35.0,Defensive rebound by Team,,61-83,,
10:35.0,,,61-83,,Loose ball foul by J. Lauvergne (drawn by W. Reed)
10:22.0,T. Johnson makes 2-pt shot from 1 ft (assist by W. Reed),2,63-83,,
10:02.0,,,63-86,3,J. Lauvergne makes 3-pt shot from 25 ft (assist by E. Kanter)
9:48.0,J. Johnson misses 3-pt shot from 24 ft,,63-86,,
9:47.0,,,63-86,,Defensive rebound by S. Christon
9:29.0,,,63-86,,A. Abrines misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by J. Johnson,,63-86,,
9:23.0,Shooting foul by J. Grant (drawn by J. Winslow),,63-86,,
9:23.0,J. Winslow makes free throw 1 of 2,1,64-86,,
9:23.0,J. Winslow makes free throw 2 of 2,1,65-86,,
9:23.0,H. Whiteside enters the game for W. Reed,,64-86,,
9:11.0,,,65-88,2,S. Christon makes 2-pt shot from 17 ft
8:54.0,H. Whiteside makes 2-pt shot from 2 ft,2,67-88,,
8:34.0,,,67-90,2,E. Kanter makes 2-pt shot from 13 ft (assist by S. Christon)
8:18.0,J. Johnson misses 2-pt shot from 2 ft,,67-90,,
8:17.0,Offensive rebound by J. Johnson,,67-90,,
8:16.0,J. Johnson misses 2-pt shot from 2 ft,,67-90,,
8:16.0,,,67-90,,Defensive rebound by E. Kanter
8:05.0,,,67-90,,Turnover by J. Lauvergne (3 sec)
8:05.0,Official timeout,,67-90,,
8:05.0,,,67-90,,S. Adams enters the game for E. Kanter
