time,Detroit,pts.away,score,pts.home,Memphis
6:54.0,,,16-14,3,V. Carter makes 3-pt shot from 28 ft (assist by M. Gasol)
6:45.0,Detroit full timeout,,16-14,,
6:34.0,J. Leuer misses 2-pt shot from 19 ft,,16-14,,
6:33.0,,,16-14,,Defensive rebound by J. Green
6:10.0,,,16-16,2,M. Gasol makes 2-pt shot from 7 ft
5:53.0,R. Bullock misses 3-pt shot from 25 ft,,16-16,,
5:52.0,,,16-16,,Defensive rebound by J. Green
5:46.0,,,16-19,3,M. Conley makes 3-pt shot from 25 ft (assist by J. Green)
5:19.0,T. Harris misses 2-pt shot from 7 ft,,16-19,,
5:19.0,Offensive rebound by A. Drummond,,16-19,,
5:19.0,Shooting foul by M. Conley (drawn by A. Drummond),,16-19,,
5:19.0,A. Drummond makes free throw 1 of 2,1,17-19,,
5:19.0,A. Drummond misses free throw 2 of 2,,17-19,,
5:19.0,,,17-19,,W. Selden enters the game for T. Allen
5:19.0,,,17-19,,J. Ennis enters the game for J. Green
5:16.0,,,17-19,,Defensive rebound by J. Ennis
5:05.0,,,17-19,,M. Gasol misses 2-pt shot from 18 ft
5:04.0,Defensive rebound by R. Bullock,,17-19,,
4:51.0,T. Harris makes 2-pt shot from 9 ft (assist by A. Drummond),2,19-19,,
4:25.0,,,19-19,,V. Carter misses 2-pt shot from 15 ft
4:23.0,Defensive rebound by A. Drummond,,19-19,,
4:15.0,Turnover by I. Smith (lost ball; steal by M. Gasol),,19-19,,
4:06.0,,,19-19,,M. Conley misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by R. Bullock,,19-19,,
4:00.0,Shooting foul by V. Carter (drawn by T. Harris),,19-19,,
4:00.0,T. Harris makes 2-pt shot from 2 ft,2,21-19,,
4:00.0,T. Harris makes free throw 1 of 1,1,22-19,,
4:00.0,H. Ellenson enters the game for J. Leuer,,21-19,,
4:00.0,B. Marjanovic enters the game for A. Drummond,,21-19,,
4:00.0,,,21-19,,A. Harrison enters the game for M. Conley
4:00.0,S. Johnson enters the game for R. Bullock,,21-19,,
4:00.0,,,21-19,,B. Wright enters the game for M. Gasol
3:39.0,,,22-21,2,B. Wright makes 2-pt shot from 5 ft (assist by W. Selden)
3:19.0,B. Marjanovic misses 2-pt shot from 8 ft,,22-21,,
3:18.0,,,22-21,,Defensive rebound by V. Carter
3:11.0,,,22-21,,Shooting foul by B. Marjanovic (drawn by B. Wright)
3:11.0,,,22-21,,B. Wright misses free throw 1 of 2
3:11.0,,,22-21,,Offensive rebound by Team
3:11.0,,,22-22,1,B. Wright makes free throw 2 of 2
3:11.0,B. Udrih enters the game for I. Smith,,22-21,,
3:11.0,,,22-21,,T. Daniels enters the game for V. Carter
2:59.0,H. Ellenson misses 2-pt shot from 8 ft,,22-22,,
2:56.0,,,22-22,,Defensive rebound by J. Ennis
2:42.0,,,22-22,,J. Ennis misses 3-pt shot from 23 ft
2:41.0,Defensive rebound by T. Harris,,22-22,,
2:33.0,B. Marjanovic misses 2-pt shot from 6 ft,,22-22,,
2:31.0,,,22-22,,Defensive rebound by B. Wright
2:23.0,,,22-22,,W. Selden misses 3-pt shot from 26 ft
2:22.0,Defensive rebound by B. Marjanovic,,22-22,,
2:08.0,T. Harris misses 2-pt shot from 14 ft,,22-22,,
2:08.0,,,22-22,,Defensive rebound by A. Harrison
1:53.0,,,22-22,,T. Daniels misses 3-pt shot from 24 ft
1:52.0,Defensive rebound by B. Udrih,,22-22,,
1:45.0,S. Johnson misses 2-pt shot from 23 ft,,22-22,,
1:43.0,,,22-22,,Defensive rebound by J. Ennis
1:39.0,,,22-22,,Memphis full timeout
1:22.0,,,22-25,3,T. Daniels makes 3-pt shot from 28 ft (assist by B. Wright)
1:02.0,T. Harris makes 2-pt shot from 7 ft,2,24-25,,
0:38.0,,,24-28,3,J. Ennis makes 3-pt shot from 24 ft (assist by A. Harrison)
0:27.0,,,24-28,,Personal foul by T. Daniels (drawn by T. Harris)
0:21.0,B. Udrih misses 2-pt shot from 2 ft (block by B. Wright),,24-28,,
0:21.0,Offensive rebound by Team,,24-28,,
0:17.0,S. Johnson misses 2-pt shot from 6 ft,,24-28,,
0:15.0,,,24-28,,Defensive rebound by B. Wright
0:00.0,,,24-28,,B. Wright misses 2-pt shot from 7 ft
0:00.0,,,24-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,H. Ellenson misses 3-pt shot from 23 ft,,24-28,,
11:37.0,,,24-28,,Defensive rebound by J. Ennis
11:22.0,,,24-28,,T. Daniels misses 2-pt shot from 18 ft
11:22.0,Defensive rebound by H. Ellenson,,24-28,,
11:15.0,Shooting foul by B. Wright (drawn by B. Marjanovic),,24-28,,
11:15.0,B. Marjanovic makes free throw 1 of 2,1,25-28,,
11:15.0,B. Marjanovic makes free throw 2 of 2,1,26-28,,
11:04.0,,,26-28,,A. Harrison misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by B. Marjanovic,,26-28,,
10:56.0,B. Udrih makes 2-pt shot from 19 ft,2,28-28,,
10:40.0,,,28-30,2,W. Selden makes 2-pt shot from 8 ft (assist by A. Harrison)
10:24.0,B. Udrih makes 2-pt shot from 16 ft,2,30-30,,
10:05.0,,,30-32,2,A. Harrison makes 2-pt shot from 4 ft
9:46.0,D. Hilliard misses 3-pt shot from 23 ft,,30-32,,
9:46.0,,,30-32,,Defensive rebound by W. Selden
9:30.0,,,30-32,,Turnover by A. Harrison (bad pass; steal by S. Johnson)
9:28.0,,,30-32,,Personal foul by B. Wright (drawn by S. Johnson)
9:28.0,,,30-32,,M. Conley enters the game for A. Harrison
9:28.0,,,30-32,,V. Carter enters the game for T. Daniels
9:14.0,S. Johnson misses 2-pt shot from 20 ft,,30-32,,
9:12.0,Offensive rebound by B. Marjanovic,,30-32,,
9:12.0,B. Marjanovic makes 2-pt shot from 2 ft,2,32-32,,
8:56.0,,,32-34,2,M. Conley makes 2-pt shot from 21 ft
8:34.0,Turnover by H. Ellenson (bad pass; steal by J. Ennis),,32-34,,
8:31.0,,,32-34,,Shooting foul by D. Hilliard (drawn by W. Selden)
8:31.0,,,32-34,,Memphis full timeout
8:31.0,,,32-34,,W. Selden misses free throw 1 of 2
8:31.0,,,32-34,,Offensive rebound by Team
8:31.0,,,32-35,1,W. Selden makes free throw 2 of 2
8:21.0,D. Hilliard makes 2-pt shot from 2 ft (assist by B. Udrih),2,34-35,,
8:01.0,,,34-35,,B. Wright misses 2-pt shot at rim
7:56.0,,,34-35,,Offensive rebound by B. Wright
7:55.0,,,34-35,,Turnover by B. Wright (lost ball; steal by B. Marjanovic)
7:39.0,B. Marjanovic makes 2-pt shot from 4 ft (assist by B. Udrih),2,36-35,,
7:39.0,Shooting foul by B. Wright (drawn by B. Marjanovic),,36-35,,
7:39.0,B. Marjanovic makes free throw 1 of 1,1,37-35,,
7:39.0,,,36-35,,M. Gasol enters the game for W. Selden
7:39.0,,,36-35,,J. Green enters the game for J. Ennis
7:39.0,,,36-35,,T. Allen enters the game for B. Wright
7:24.0,,,37-35,,Shooting foul by D. Hilliard (drawn by T. Allen)
7:24.0,,,37-36,1,T. Allen makes free throw 1 of 2
7:24.0,,,37-36,,T. Allen misses free throw 2 of 2
7:24.0,A. Drummond enters the game for B. Marjanovic,,37-36,,
7:22.0,Defensive rebound by S. Johnson,,37-36,,
7:11.0,,,37-36,,Personal block foul by M. Gasol (drawn by D. Hilliard)
7:00.0,S. Johnson makes 2-pt shot from 15 ft,2,39-36,,
6:39.0,,,39-38,2,J. Green makes 2-pt shot from 3 ft (assist by M. Gasol)
6:14.0,B. Udrih makes 2-pt shot from 18 ft (assist by H. Ellenson),2,41-38,,
6:00.0,,,41-38,,M. Gasol misses 2-pt shot from 18 ft
5:59.0,,,41-38,,Offensive rebound by J. Green
5:48.0,,,41-41,3,J. Green makes 3-pt shot from 24 ft (assist by M. Gasol)
5:42.0,Detroit full timeout,,41-41,,
5:42.0,J. Leuer enters the game for H. Ellenson,,41-41,,
5:32.0,A. Drummond misses 2-pt shot from 8 ft,,41-41,,
5:31.0,,,41-41,,Defensive rebound by T. Allen
5:16.0,,,41-41,,T. Allen misses 2-pt shot from 3 ft
5:15.0,,,41-41,,Offensive rebound by T. Allen
5:14.0,,,41-43,2,T. Allen makes 2-pt shot from 2 ft
5:00.0,S. Johnson misses 2-pt shot from 20 ft,,41-43,,
4:59.0,,,41-43,,Defensive rebound by T. Allen
4:47.0,,,41-43,,Turnover by J. Green (bad pass; steal by D. Hilliard)
4:38.0,A. Drummond misses 2-pt shot from 11 ft,,41-43,,
4:35.0,Offensive rebound by J. Leuer,,41-43,,
4:21.0,Turnover by B. Udrih (bad pass; steal by T. Allen),,41-43,,
4:14.0,,,41-45,2,J. Green makes 2-pt shot from 2 ft (assist by T. Allen)
4:10.0,,,41-45,,Violation by Team (jump ball)
4:00.0,J. Leuer misses 3-pt shot from 24 ft,,41-45,,
4:00.0,,,41-45,,Defensive rebound by Team
4:00.0,I. Smith enters the game for B. Udrih,,41-45,,
3:49.0,,,41-45,,Turnover by V. Carter (lost ball)
3:35.0,D. Hilliard misses 3-pt shot from 27 ft,,41-45,,
3:34.0,,,41-45,,Defensive rebound by Team
3:23.0,,,41-45,,Shooting foul by A. Drummond (drawn by M. Gasol)
3:23.0,,,41-46,1,M. Gasol makes free throw 1 of 2
3:23.0,,,41-47,1,M. Gasol makes free throw 2 of 2
3:23.0,T. Harris enters the game for S. Johnson,,41-46,,
3:23.0,,,41-46,,W. Selden enters the game for V. Carter
3:09.0,J. Leuer misses 2-pt shot from 8 ft,,41-47,,
3:07.0,Offensive rebound by A. Drummond,,41-47,,
3:00.0,I. Smith misses 3-pt shot from 24 ft,,41-47,,
3:00.0,Offensive rebound by Team,,41-47,,
3:00.0,,,41-47,,Loose ball foul by M. Gasol (drawn by J. Leuer)
3:00.0,J. Leuer misses free throw 1 of 2,,41-47,,
3:00.0,Offensive rebound by Team,,41-47,,
3:00.0,J. Leuer makes free throw 2 of 2,1,42-47,,
3:00.0,,,41-47,,A. Harrison enters the game for M. Conley
2:47.0,,,42-49,2,M. Gasol makes 2-pt shot from 9 ft (assist by A. Harrison)
2:34.0,Shooting foul by J. Green (drawn by J. Leuer),,42-49,,
2:34.0,,,42-49,,Memphis full timeout
2:34.0,J. Leuer makes free throw 1 of 2,1,43-49,,
2:34.0,J. Leuer misses free throw 2 of 2,,43-49,,
2:34.0,R. Bullock enters the game for D. Hilliard,,42-49,,
2:33.0,,,43-49,,Defensive rebound by M. Gasol
2:10.0,,,43-52,3,J. Green makes 3-pt shot from 23 ft (assist by A. Harrison)
1:45.0,Turnover by T. Harris (bad pass; steal by A. Harrison),,43-52,,
1:36.0,,,43-55,3,M. Gasol makes 3-pt shot from 30 ft (assist by A. Harrison)
1:21.0,I. Smith misses 2-pt shot from 20 ft,,43-55,,
1:20.0,Offensive rebound by A. Drummond,,43-55,,
1:14.0,A. Drummond makes 2-pt shot from 8 ft,2,45-55,,
0:49.0,,,45-55,,W. Selden misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by A. Drummond,,45-55,,
0:40.0,I. Smith misses 2-pt shot from 2 ft,,45-55,,
0:38.0,Offensive rebound by T. Harris,,45-55,,
0:37.0,R. Bullock makes 3-pt shot from 23 ft (assist by T. Harris),3,48-55,,
0:33.0,,,48-55,,Memphis full timeout
0:33.0,,,48-55,,M. Conley enters the game for T. Allen
0:33.0,,,48-55,,V. Carter enters the game for A. Harrison
0:18.0,,,48-57,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
0:00.0,R. Bullock misses 3-pt shot from 24 ft,,48-57,,
0:00.0,Offensive rebound by Team,,48-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,I. Smith misses 2-pt shot from 9 ft (block by M. Gasol),,48-57,,
11:40.0,Offensive rebound by R. Bullock,,48-57,,
11:37.0,Turnover by A. Drummond (lost ball; steal by T. Allen),,48-57,,
11:17.0,Personal foul by I. Smith (drawn by M. Gasol),,48-57,,
11:12.0,,,48-57,,Shooting foul by R. Bullock (drawn by M. Conley)
11:12.0,,,48-57,,M. Conley misses free throw 1 of 2
11:12.0,,,48-57,,Offensive rebound by Team
11:12.0,,,48-58,1,M. Conley makes free throw 2 of 2
10:51.0,R. Bullock misses 3-pt shot from 24 ft,,48-58,,
10:51.0,,,48-58,,Defensive rebound by T. Allen
10:37.0,,,48-60,2,J. Green makes 2-pt shot from 16 ft (assist by M. Conley)
10:20.0,I. Smith makes 2-pt shot from 14 ft,2,50-60,,
9:57.0,,,50-60,,Turnover by V. Carter (bad pass; steal by R. Bullock)
9:52.0,Turnover by J. Leuer (lost ball),,50-60,,
9:32.0,,,50-60,,Turnover by M. Gasol (lost ball; steal by T. Harris)
9:27.0,Shooting foul by M. Conley (drawn by I. Smith),,50-60,,
9:27.0,I. Smith makes free throw 1 of 2,1,51-60,,
9:27.0,I. Smith misses free throw 2 of 2,,51-60,,
9:27.0,,,51-60,,Defensive rebound by M. Gasol
9:09.0,,,51-60,,M. Conley misses 2-pt shot from 13 ft
9:07.0,Defensive rebound by A. Drummond,,51-60,,
8:53.0,J. Leuer misses 3-pt shot from 24 ft,,51-60,,
8:52.0,Offensive rebound by A. Drummond,,51-60,,
8:42.0,J. Leuer makes 2-pt shot from 1 ft (assist by I. Smith),2,53-60,,
8:25.0,,,53-60,,Turnover by M. Conley (lost ball)
8:13.0,,,53-60,,Personal foul by M. Conley (drawn by I. Smith)
8:04.0,I. Smith misses 2-pt shot from 8 ft,,53-60,,
8:03.0,,,53-60,,Defensive rebound by M. Conley
7:57.0,,,53-60,,M. Conley misses 2-pt shot from 6 ft
7:51.0,Defensive rebound by T. Harris,,53-60,,
7:47.0,R. Bullock makes 2-pt shot from 18 ft,2,55-60,,
7:46.0,,,55-60,,Memphis full timeout
7:23.0,,,55-60,,Turnover by J. Green (bad pass; steal by J. Leuer)
7:17.0,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith),3,58-60,,
6:58.0,,,58-60,,T. Allen misses 2-pt shot from 4 ft (block by A. Drummond)
6:58.0,,,58-60,,Offensive rebound by Team
6:54.0,,,58-62,2,M. Conley makes 2-pt shot from 3 ft (assist by T. Allen)
6:33.0,Turnover by I. Smith (bad pass; steal by M. Gasol),,58-62,,
6:25.0,,,58-62,,V. Carter misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by A. Drummond,,58-62,,
6:12.0,A. Drummond misses 2-pt shot from 4 ft,,58-62,,
6:10.0,,,58-62,,Defensive rebound by J. Green
6:02.0,,,58-62,,M. Gasol misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by I. Smith,,58-62,,
5:51.0,I. Smith makes 2-pt shot from 11 ft,2,60-62,,
5:37.0,,,60-62,,Turnover by M. Gasol (bad pass)
5:37.0,,,60-62,,W. Selden enters the game for T. Allen
5:30.0,Offensive foul by A. Drummond,,60-62,,
5:30.0,Turnover by A. Drummond (offensive foul),,60-62,,
5:19.0,,,60-62,,Turnover by J. Green (traveling)
5:19.0,H. Ellenson enters the game for J. Leuer,,60-62,,
5:05.0,Turnover by T. Harris (lost ball; steal by M. Conley),,60-62,,
5:01.0,,,60-62,,Shooting foul by R. Bullock (drawn by M. Conley)
5:01.0,,,60-63,1,M. Conley makes free throw 1 of 3
5:01.0,,,60-64,1,M. Conley makes free throw 2 of 3
5:01.0,,,60-65,1,M. Conley makes free throw 3 of 3
5:01.0,,,60-64,,T. Daniels enters the game for V. Carter
4:49.0,H. Ellenson misses 3-pt shot from 25 ft,,60-65,,
4:48.0,,,60-65,,Defensive rebound by M. Conley
4:29.0,,,60-65,,J. Green misses 2-pt shot at rim
4:27.0,Defensive rebound by H. Ellenson,,60-65,,
4:22.0,T. Harris misses 3-pt shot from 24 ft,,60-65,,
4:21.0,Offensive rebound by A. Drummond,,60-65,,
4:18.0,A. Drummond misses 2-pt shot from 4 ft,,60-65,,
4:16.0,,,60-65,,Defensive rebound by J. Green
4:11.0,,,60-65,,Turnover by M. Gasol (bad pass; steal by T. Harris)
3:56.0,R. Bullock makes 3-pt shot from 24 ft (assist by H. Ellenson),3,63-65,,
3:37.0,,,63-65,,Turnover by M. Conley (bad pass)
3:37.0,B. Udrih enters the game for I. Smith,,63-65,,
3:37.0,,,63-65,,A. Harrison enters the game for M. Conley
3:19.0,Turnover by B. Udrih (lost ball),,63-65,,
3:19.0,,,63-65,,D. Davis enters the game for M. Gasol
2:59.0,,,63-65,,W. Selden misses 2-pt shot from 3 ft
2:57.0,Defensive rebound by H. Ellenson,,63-65,,
2:36.0,R. Bullock makes 3-pt shot from 27 ft (assist by B. Udrih),3,66-65,,
2:16.0,,,66-65,,Offensive foul by J. Green
2:16.0,,,66-65,,Turnover by J. Green (offensive foul)
2:16.0,Detroit full timeout,,66-65,,
2:16.0,,,66-65,,J. Martin enters the game for J. Green
2:16.0,B. Marjanovic enters the game for T. Harris,,66-65,,
2:16.0,S. Johnson enters the game for A. Drummond,,66-65,,
2:07.0,Offensive charge foul by H. Ellenson,,66-65,,
2:07.0,Turnover by H. Ellenson (offensive foul),,66-65,,
1:57.0,,,66-65,,T. Daniels misses 2-pt shot from 19 ft
1:56.0,Defensive rebound by B. Marjanovic,,66-65,,
1:47.0,,,66-65,,Personal foul by D. Davis (drawn by B. Marjanovic)
1:39.0,,,66-65,,Personal foul by D. Davis (drawn by B. Marjanovic)
1:39.0,B. Marjanovic misses free throw 1 of 2,,66-65,,
1:39.0,Offensive rebound by Team,,66-65,,
1:39.0,B. Marjanovic makes free throw 2 of 2,1,67-65,,
1:26.0,,,67-65,,T. Daniels misses 2-pt shot from 21 ft
1:25.0,Defensive rebound by S. Johnson,,67-65,,
1:08.0,H. Ellenson misses 3-pt shot from 26 ft,,67-65,,
1:08.0,Offensive rebound by Team,,67-65,,
1:08.0,,,67-65,,Loose ball foul by J. Martin (drawn by B. Marjanovic)
1:08.0,B. Marjanovic makes free throw 1 of 2,1,68-65,,
1:08.0,B. Marjanovic makes free throw 2 of 2,1,69-65,,
0:55.0,,,69-67,2,A. Harrison makes 2-pt shot from 13 ft
0:42.0,S. Johnson makes 3-pt shot from 23 ft (assist by B. Udrih),3,72-67,,
0:34.0,Personal foul by B. Marjanovic (drawn by T. Daniels),,72-67,,
0:27.0,,,72-67,,T. Daniels misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by S. Johnson,,72-67,,
0:04.0,H. Ellenson makes 3-pt shot from 25 ft (assist by B. Udrih),3,75-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,75-69,2,T. Daniels makes 2-pt shot from 22 ft (assist by W. Baldwin)
11:28.0,B. Udrih makes 2-pt shot from 19 ft,2,77-69,,
11:12.0,Personal foul by B. Udrih (drawn by W. Baldwin),,77-69,,
11:03.0,,,77-69,,W. Baldwin misses 2-pt shot from 6 ft
11:01.0,Defensive rebound by B. Udrih,,77-69,,
10:55.0,H. Ellenson misses 2-pt shot from 2 ft,,77-69,,
10:51.0,Offensive rebound by H. Ellenson,,77-69,,
10:51.0,H. Ellenson misses 2-pt shot from 1 ft,,77-69,,
10:49.0,Offensive rebound by H. Ellenson,,77-69,,
10:49.0,H. Ellenson misses 2-pt shot from 2 ft (block by J. Martin),,77-69,,
10:46.0,,,77-69,,Defensive rebound by J. Martin
10:35.0,,,77-71,2,D. Davis makes 2-pt shot from 6 ft
10:19.0,Turnover by S. Johnson (bad pass; steal by D. Davis),,77-71,,
10:12.0,,,77-71,,W. Baldwin misses 2-pt shot from 2 ft
10:08.0,Defensive rebound by H. Ellenson,,77-71,,
10:04.0,D. Hilliard makes 3-pt shot from 24 ft (assist by S. Johnson),3,80-71,,
9:52.0,,,80-74,3,T. Daniels makes 3-pt shot from 25 ft
9:40.0,Turnover by D. Hilliard (lost ball),,80-74,,
9:31.0,Personal foul by D. Hilliard (drawn by D. Davis),,80-74,,
9:18.0,,,80-74,,T. Daniels misses 2-pt shot from 12 ft
9:15.0,Defensive rebound by H. Ellenson,,80-74,,
9:09.0,Turnover by H. Ellenson (bad pass; steal by D. Davis),,80-74,,
9:03.0,,,80-74,,J. Martin misses 2-pt shot from 4 ft
8:59.0,,,80-74,,Offensive rebound by J. Ennis
8:52.0,,,80-76,2,W. Baldwin makes 2-pt shot from 20 ft
8:51.0,Detroit full timeout,,80-76,,
8:51.0,,,80-76,,W. Selden enters the game for T. Daniels
8:37.0,Turnover by D. Hilliard (bad pass; steal by J. Martin),,80-76,,
8:32.0,,,80-78,2,J. Ennis makes 2-pt shot at rim (assist by J. Martin)
8:12.0,D. Hilliard makes 3-pt shot from 24 ft (assist by S. Johnson),3,83-78,,
7:52.0,,,83-80,2,J. Martin makes 2-pt shot from 19 ft (assist by W. Selden)
7:25.0,B. Udrih misses 2-pt shot from 16 ft,,83-80,,
7:24.0,Offensive rebound by B. Marjanovic,,83-80,,
7:21.0,Turnover by B. Marjanovic (lost ball; steal by J. Martin),,83-80,,
7:11.0,,,83-82,2,W. Baldwin makes 2-pt shot from 2 ft
6:56.0,D. Hilliard makes 2-pt shot from 20 ft,2,85-82,,
6:38.0,,,85-82,,J. Ennis misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by B. Marjanovic,,85-82,,
6:24.0,S. Johnson misses 3-pt shot from 24 ft,,85-82,,
6:23.0,,,85-82,,Defensive rebound by J. Martin
6:23.0,,,85-82,,Memphis full timeout
6:02.0,,,85-82,,W. Baldwin misses 2-pt shot from 9 ft
6:00.0,Defensive rebound by H. Ellenson,,85-82,,
5:38.0,B. Udrih makes 3-pt shot from 25 ft (assist by S. Johnson),3,88-82,,
5:35.0,,,88-82,,Memphis full timeout
5:35.0,I. Smith enters the game for B. Udrih,,88-82,,
5:18.0,,,88-82,,W. Selden misses 2-pt shot from 22 ft
5:17.0,Defensive rebound by B. Marjanovic,,88-82,,
5:06.0,H. Ellenson makes 3-pt shot from 25 ft (assist by I. Smith),3,91-82,,
4:48.0,,,91-84,2,J. Martin makes 2-pt shot at rim (assist by J. Ennis)
4:25.0,Turnover by D. Hilliard (lost ball; steal by W. Baldwin),,91-84,,
4:21.0,,,91-84,,Offensive charge foul by J. Ennis
4:21.0,,,91-84,,Turnover by J. Ennis (offensive foul)
4:09.0,H. Ellenson makes 3-pt shot from 25 ft (assist by I. Smith),3,94-84,,
3:53.0,,,94-84,,W. Selden misses 2-pt shot from 3 ft (block by D. Hilliard)
3:53.0,,,94-84,,Offensive rebound by Team
3:47.0,,,94-84,,W. Selden misses 2-pt shot at rim
3:44.0,Defensive rebound by H. Ellenson,,94-84,,
3:24.0,S. Johnson misses 2-pt shot from 2 ft,,94-84,,
3:22.0,,,94-84,,Defensive rebound by J. Ennis
3:14.0,,,94-84,,W. Baldwin misses 2-pt shot from 2 ft
3:11.0,,,94-84,,Offensive rebound by W. Baldwin
3:11.0,,,94-84,,W. Baldwin misses 2-pt shot from 1 ft
3:09.0,Defensive rebound by S. Johnson,,94-84,,
2:54.0,D. Hilliard makes 3-pt shot from 24 ft (assist by I. Smith),3,97-84,,
2:33.0,,,97-86,2,W. Baldwin makes 2-pt shot from 11 ft
2:06.0,I. Smith misses 2-pt shot from 22 ft,,97-86,,
2:05.0,Offensive rebound by B. Marjanovic,,97-86,,
2:02.0,B. Marjanovic makes 2-pt shot from 4 ft,2,99-86,,
1:42.0,,,99-88,2,J. Martin makes 2-pt shot from 19 ft
1:30.0,I. Smith makes 2-pt shot from 17 ft,2,101-88,,
1:16.0,,,101-88,,W. Selden misses 3-pt shot from 24 ft
1:14.0,Defensive rebound by I. Smith,,101-88,,
0:58.0,Turnover by I. Smith (bad pass),,101-88,,
0:58.0,,,101-88,,Memphis full timeout
0:48.0,,,101-90,2,W. Selden makes 2-pt shot from 1 ft
0:23.0,H. Ellenson misses 2-pt shot from 14 ft,,101-90,,
0:22.0,Offensive rebound by B. Marjanovic,,101-90,,
0:22.0,B. Marjanovic makes 2-pt shot from 3 ft,2,103-90,,
0:09.0,,,103-90,,D. Davis misses 2-pt shot from 7 ft
0:08.0,Defensive rebound by B. Marjanovic,,103-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
