time,Boston,pts.away,score,pts.home,Golden State
7:23.0,,,2-7,,Shooting foul by J. Crowder (drawn by S. Curry)
7:23.0,,,2-8,1,S. Curry makes free throw 1 of 3
7:23.0,,,2-9,1,S. Curry makes free throw 2 of 3
7:23.0,,,2-10,1,S. Curry makes free throw 3 of 3
7:14.0,Shooting foul by S. Curry (drawn by I. Thomas),,2-10,,
7:14.0,I. Thomas makes free throw 1 of 3,1,3-10,,
7:14.0,I. Thomas makes free throw 2 of 3,1,4-10,,
7:14.0,I. Thomas makes free throw 3 of 3,1,5-10,,
6:55.0,,,5-12,2,S. Curry makes 2-pt shot from 3 ft
6:49.0,Turnover by I. Thomas (lost ball; steal by D. Green),,5-12,,
6:42.0,,,5-12,,K. Thompson misses 3-pt shot from 26 ft
6:40.0,Defensive rebound by J. Crowder,,5-12,,
6:32.0,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford),2,7-12,,
6:17.0,,,7-15,3,S. Curry makes 3-pt shot from 26 ft
5:53.0,J. Crowder misses 3-pt shot from 25 ft,,7-15,,
5:52.0,,,7-15,,Defensive rebound by K. Thompson
5:41.0,,,7-15,,Z. Pachulia misses 2-pt shot from 11 ft
5:41.0,Defensive rebound by J. Crowder,,7-15,,
5:35.0,A. Bradley makes 2-pt shot from 21 ft (assist by J. Crowder),2,9-15,,
5:22.0,,,9-15,,Z. Pachulia misses 2-pt shot from 14 ft
5:21.0,Defensive rebound by J. Crowder,,9-15,,
5:13.0,I. Thomas makes 3-pt shot from 29 ft,3,12-15,,
5:03.0,,,12-15,,Golden State full timeout
5:03.0,,,12-15,,A. Iguodala enters the game for P. McCaw
5:03.0,,,12-15,,J. McGee enters the game for Z. Pachulia
5:03.0,M. Smart enters the game for A. Horford,,12-15,,
5:03.0,J. Jerebko enters the game for A. Bradley,,12-15,,
4:50.0,,,12-15,,D. Green misses 2-pt shot from 19 ft
4:49.0,,,12-15,,Offensive rebound by J. McGee
4:37.0,,,12-17,2,J. McGee makes 2-pt shot from 9 ft
4:19.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Jerebko),3,15-17,,
4:08.0,,,15-17,,Turnover by D. Green (bad pass; steal by A. Johnson)
4:02.0,Turnover by J. Crowder (lost ball; steal by A. Iguodala),,15-17,,
3:55.0,,,15-17,,J. McGee misses 2-pt shot at rim
3:55.0,,,15-17,,Offensive rebound by S. Curry
3:54.0,,,15-19,2,S. Curry makes 2-pt shot from 2 ft
3:41.0,I. Thomas misses 3-pt shot from 25 ft,,15-19,,
3:41.0,,,15-19,,Defensive rebound by Team
3:41.0,,,15-19,,M. Barnes enters the game for D. Green
3:41.0,,,15-19,,P. McCaw enters the game for K. Thompson
3:26.0,,,15-21,2,P. McCaw makes 2-pt shot from 2 ft
3:16.0,I. Thomas makes 2-pt shot from 3 ft,2,17-21,,
3:01.0,,,17-24,3,A. Iguodala makes 3-pt shot from 23 ft (assist by M. Barnes)
2:41.0,Turnover by J. Crowder (lost ball; steal by M. Barnes),,17-24,,
2:36.0,,,17-24,,M. Barnes misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by J. Jerebko,,17-24,,
2:28.0,Boston full timeout,,17-24,,
2:28.0,J. Brown enters the game for A. Johnson,,17-24,,
2:28.0,K. Olynyk enters the game for J. Crowder,,17-24,,
2:21.0,J. Jerebko makes 2-pt shot from 17 ft (assist by J. Brown),2,19-24,,
2:06.0,,,19-24,,S. Curry misses 3-pt shot from 27 ft
2:05.0,,,19-24,,Offensive rebound by J. McGee
2:03.0,,,19-24,,J. McGee misses 2-pt shot from 3 ft
2:02.0,Defensive rebound by J. Jerebko,,19-24,,
1:43.0,J. Jerebko makes 3-pt shot from 26 ft (assist by M. Smart),3,22-24,,
1:35.0,,,22-26,2,J. McGee makes 2-pt shot from 1 ft (assist by M. Barnes)
1:18.0,I. Thomas misses 2-pt shot from 2 ft (block by M. Barnes),,22-26,,
1:17.0,,,22-26,,Defensive rebound by J. McGee
1:13.0,T. Rozier enters the game for I. Thomas,,22-26,,
1:05.0,,,22-26,,Turnover by S. Curry (step out of bounds)
0:50.0,,,22-26,,Personal foul by P. McCaw (drawn by M. Smart)
0:36.0,T. Rozier makes 3-pt shot from 23 ft (assist by J. Brown),3,25-26,,
0:20.0,,,25-28,2,A. Iguodala makes 2-pt shot from 1 ft
0:04.0,T. Rozier misses 3-pt shot from 27 ft,,25-28,,
0:02.0,,,25-28,,Defensive rebound by A. Iguodala
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,M. Smart misses 2-pt shot from 2 ft,,25-28,,
11:40.0,,,25-28,,Defensive rebound by D. Green
11:23.0,,,25-30,2,A. Iguodala makes 2-pt shot from 20 ft (assist by S. Livingston)
11:00.0,Turnover by A. Horford (bad pass),,25-30,,
10:47.0,,,25-32,2,D. Green makes 2-pt shot from 7 ft (assist by D. West)
10:28.0,K. Olynyk makes 2-pt shot from 13 ft (assist by T. Rozier),2,27-32,,
10:17.0,,,27-32,,Turnover by K. Thompson (lost ball; steal by M. Smart)
10:12.0,K. Olynyk makes 2-pt shot at rim (assist by M. Smart),2,29-32,,
9:54.0,,,29-34,2,K. Thompson makes 2-pt shot from 20 ft (assist by D. West)
9:43.0,T. Rozier misses 3-pt shot from 25 ft,,29-34,,
9:42.0,,,29-34,,Defensive rebound by A. Iguodala
9:32.0,,,29-34,,Turnover by K. Thompson (bad pass; steal by K. Olynyk)
9:25.0,T. Rozier makes 2-pt shot from 2 ft (assist by K. Olynyk),2,31-34,,
9:05.0,,,31-34,,D. Green misses 3-pt shot from 27 ft
9:05.0,Defensive rebound by T. Rozier,,31-34,,
8:51.0,A. Horford makes 2-pt shot from 8 ft,2,33-34,,
8:51.0,Shooting foul by D. Green (drawn by A. Horford),,33-34,,
8:51.0,Official timeout,,33-34,,
8:51.0,A. Horford makes free throw 1 of 1,1,34-34,,
8:35.0,,,34-36,2,K. Thompson makes 2-pt shot from 20 ft (assist by D. Green)
8:11.0,M. Smart misses 3-pt shot from 25 ft (block by K. Thompson),,34-36,,
8:10.0,,,34-36,,Defensive rebound by A. Iguodala
8:00.0,,,34-36,,K. Thompson misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by K. Olynyk,,34-36,,
7:47.0,A. Horford makes 2-pt shot from 2 ft (assist by T. Rozier),2,36-36,,
7:28.0,,,36-36,,D. West misses 2-pt shot from 19 ft
7:28.0,Defensive rebound by J. Brown,,36-36,,
7:13.0,J. Brown makes 2-pt shot from 2 ft (assist by A. Horford),2,38-36,,
7:13.0,Shooting foul by D. West (drawn by J. Brown),,38-36,,
7:13.0,J. Brown misses free throw 1 of 1,,38-36,,
7:13.0,,,38-36,,P. McCaw enters the game for A. Iguodala
7:13.0,,,38-36,,M. Barnes enters the game for D. Green
7:13.0,A. Bradley enters the game for M. Smart,,38-36,,
7:11.0,,,38-36,,Defensive rebound by M. Barnes
6:49.0,,,38-36,,Turnover by Team (shot clock)
6:29.0,K. Olynyk makes 2-pt shot from 2 ft (assist by A. Horford),2,40-36,,
6:11.0,,,40-36,,K. Thompson misses 3-pt shot from 25 ft (block by A. Bradley)
6:11.0,Defensive rebound by A. Bradley,,40-36,,
6:11.0,,,40-36,,Personal foul by K. Thompson (drawn by A. Bradley)
6:11.0,,,40-36,,S. Curry enters the game for K. Thompson
6:11.0,I. Thomas enters the game for T. Rozier,,40-36,,
5:59.0,,,40-36,,Z. Pachulia enters the game for D. West
5:47.0,A. Horford misses 2-pt shot from 7 ft (block by S. Livingston),,40-36,,
5:46.0,,,40-36,,Defensive rebound by S. Livingston
5:39.0,,,40-38,2,S. Livingston makes 2-pt shot from 11 ft
5:23.0,A. Bradley misses 3-pt shot from 25 ft (block by S. Livingston),,40-38,,
5:21.0,,,40-38,,Defensive rebound by Z. Pachulia
5:15.0,,,40-38,,Z. Pachulia misses 2-pt shot from 1 ft
5:14.0,Defensive rebound by K. Olynyk,,40-38,,
5:13.0,,,40-38,,Personal foul by S. Livingston (drawn by K. Olynyk)
5:13.0,,,40-38,,Golden State full timeout
5:13.0,A. Johnson enters the game for A. Horford,,40-38,,
5:13.0,J. Crowder enters the game for J. Brown,,40-38,,
4:49.0,Turnover by J. Crowder (bad pass; steal by S. Livingston),,40-38,,
4:44.0,,,40-40,2,P. McCaw makes 2-pt shot from 1 ft (assist by Z. Pachulia)
4:26.0,K. Olynyk makes 3-pt shot from 26 ft (assist by I. Thomas),3,43-40,,
4:09.0,Personal foul by A. Bradley (drawn by S. Curry),,43-40,,
4:09.0,,,43-40,,D. Green enters the game for S. Livingston
4:03.0,,,43-40,,Turnover by S. Curry (bad pass; steal by K. Olynyk)
3:59.0,A. Bradley misses 2-pt shot from 4 ft (block by M. Barnes),,43-40,,
3:59.0,Offensive rebound by Team,,43-40,,
3:48.0,A. Johnson makes 2-pt shot from 2 ft (assist by K. Olynyk),2,45-40,,
3:30.0,,,45-40,,P. McCaw misses 2-pt shot from 20 ft
3:29.0,,,45-40,,Offensive rebound by Z. Pachulia
3:20.0,,,45-42,2,S. Curry makes 2-pt shot from 13 ft
3:09.0,I. Thomas misses 2-pt shot from 2 ft (block by Z. Pachulia),,45-42,,
3:08.0,,,45-42,,Defensive rebound by Z. Pachulia
3:04.0,,,45-42,,S. Curry misses 3-pt shot from 27 ft
3:03.0,Defensive rebound by K. Olynyk,,45-42,,
2:58.0,I. Thomas misses 2-pt shot from 2 ft,,45-42,,
2:57.0,Offensive rebound by J. Crowder,,45-42,,
2:57.0,J. Crowder misses 2-pt shot from 1 ft,,45-42,,
2:56.0,,,45-42,,Defensive rebound by Z. Pachulia
2:49.0,Personal foul by A. Johnson (drawn by Z. Pachulia),,45-42,,
2:49.0,Boston full timeout,,45-42,,
2:49.0,,,45-42,,A. Iguodala enters the game for Z. Pachulia
2:49.0,,,45-42,,K. Thompson enters the game for M. Barnes
2:49.0,M. Smart enters the game for A. Johnson,,45-42,,
2:49.0,A. Horford enters the game for K. Olynyk,,45-42,,
2:41.0,,,45-44,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
2:14.0,I. Thomas misses 3-pt shot from 29 ft,,45-44,,
2:13.0,Offensive rebound by J. Crowder,,45-44,,
2:13.0,,,45-44,,Personal foul by K. Thompson (drawn by J. Crowder)
2:13.0,J. Crowder makes free throw 1 of 2,1,46-44,,
2:13.0,J. Crowder misses free throw 2 of 2,,46-44,,
2:11.0,,,46-44,,Defensive rebound by D. Green
1:59.0,,,46-44,,A. Iguodala misses 3-pt shot from 23 ft
1:58.0,Defensive rebound by A. Horford,,46-44,,
1:53.0,J. Crowder misses 2-pt shot from 2 ft (block by D. Green),,46-44,,
1:52.0,Offensive rebound by A. Bradley,,46-44,,
1:50.0,A. Bradley misses 2-pt shot from 1 ft (block by K. Thompson),,46-44,,
1:49.0,,,46-44,,Defensive rebound by K. Thompson
1:41.0,,,46-46,2,K. Thompson makes 2-pt shot at rim (assist by P. McCaw)
1:20.0,M. Smart misses 3-pt shot from 26 ft,,46-46,,
1:19.0,,,46-46,,Defensive rebound by S. Curry
1:17.0,,,46-48,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
1:17.0,Boston full timeout,,46-48,,
0:55.0,A. Bradley misses 3-pt shot from 23 ft,,46-48,,
0:54.0,Offensive rebound by Team,,46-48,,
0:54.0,Turnover by Team (shot clock),,46-48,,
0:44.0,,,46-48,,K. Thompson misses 3-pt shot from 25 ft
0:42.0,,,46-48,,Offensive rebound by S. Curry
0:30.0,,,46-50,2,D. Green makes 2-pt shot from 8 ft (assist by S. Curry)
0:13.0,M. Smart misses 2-pt shot from 2 ft,,46-50,,
0:13.0,,,46-50,,Defensive rebound by K. Thompson
0:06.0,Personal foul by I. Thomas (drawn by S. Curry),,46-50,,
0:06.0,,,46-50,,Golden State full timeout
0:06.0,J. Jerebko enters the game for I. Thomas,,46-50,,
0:04.0,,,46-50,,D. Green misses 3-pt shot from 27 ft
0:02.0,Defensive rebound by J. Jerebko,,46-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,I. Thomas makes 2-pt shot from 9 ft (assist by A. Horford),2,48-50,,
11:15.0,,,48-50,,S. Curry misses 3-pt shot from 23 ft
11:14.0,Defensive rebound by A. Bradley,,48-50,,
11:06.0,Turnover by A. Johnson (lost ball),,48-50,,
10:57.0,,,48-50,,K. Thompson misses 2-pt shot from 3 ft
10:56.0,Defensive rebound by A. Bradley,,48-50,,
10:46.0,A. Horford makes 3-pt shot from 26 ft (assist by A. Bradley),3,51-50,,
10:45.0,,,51-50,,Golden State full timeout
10:30.0,,,51-52,2,Z. Pachulia makes 2-pt shot at rim
10:07.0,I. Thomas misses 2-pt shot from 8 ft (block by D. Green),,51-52,,
10:05.0,,,51-52,,Defensive rebound by S. Curry
9:56.0,,,51-52,,Z. Pachulia misses 2-pt shot from 18 ft
9:55.0,,,51-52,,Offensive rebound by S. Curry
9:55.0,Personal foul by I. Thomas (drawn by S. Curry),,51-52,,
9:50.0,,,51-54,2,K. Thompson makes 2-pt shot from 16 ft (assist by S. Curry)
9:38.0,I. Thomas misses 3-pt shot from 23 ft,,51-54,,
9:38.0,,,51-54,,Defensive rebound by Team
9:16.0,,,51-56,2,K. Thompson makes 2-pt shot from 14 ft (assist by Z. Pachulia)
8:53.0,A. Bradley misses 2-pt shot from 6 ft,,51-56,,
8:53.0,,,51-56,,Defensive rebound by D. Green
8:41.0,,,51-56,,P. McCaw misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by A. Horford,,51-56,,
8:32.0,A. Johnson makes 2-pt shot at rim (assist by J. Crowder),2,53-56,,
8:09.0,,,53-56,,Offensive charge foul by Z. Pachulia
8:09.0,,,53-56,,Turnover by Z. Pachulia (offensive foul)
7:52.0,A. Johnson makes 2-pt shot from 11 ft,2,55-56,,
7:37.0,,,55-58,2,K. Thompson makes 2-pt shot from 15 ft (assist by D. Green)
7:12.0,I. Thomas makes 3-pt shot from 23 ft (assist by J. Crowder),3,58-58,,
6:58.0,,,58-58,,D. Green misses 2-pt shot from 9 ft
6:58.0,,,58-58,,Offensive rebound by K. Thompson
6:55.0,,,58-60,2,K. Thompson makes 2-pt shot from 20 ft
6:47.0,,,58-60,,Personal foul by S. Curry (drawn by I. Thomas)
6:30.0,A. Horford misses 2-pt shot from 13 ft,,58-60,,
6:29.0,,,58-60,,Defensive rebound by P. McCaw
6:21.0,,,58-60,,K. Thompson misses 3-pt shot from 26 ft
6:19.0,,,58-60,,Offensive rebound by P. McCaw
6:16.0,,,58-63,3,K. Thompson makes 3-pt shot from 26 ft (assist by P. McCaw)
6:03.0,I. Thomas misses 2-pt shot from 3 ft (block by K. Thompson),,58-63,,
6:03.0,Offensive rebound by Team,,58-63,,
6:03.0,K. Olynyk enters the game for A. Horford,,58-63,,
6:03.0,M. Smart enters the game for J. Crowder,,58-63,,
5:56.0,Turnover by K. Olynyk (lost ball; steal by D. Green),,58-63,,
5:45.0,,,58-63,,K. Thompson misses 2-pt shot from 18 ft
5:44.0,Defensive rebound by A. Johnson,,58-63,,
5:32.0,Shooting foul by D. Green (drawn by M. Smart),,58-63,,
5:32.0,M. Smart misses free throw 1 of 2,,58-63,,
5:32.0,Offensive rebound by Team,,58-63,,
5:32.0,M. Smart makes free throw 2 of 2,1,59-63,,
5:32.0,,,58-63,,A. Iguodala enters the game for D. Green
5:20.0,,,59-63,,S. Curry misses 3-pt shot from 27 ft
5:20.0,Defensive rebound by A. Johnson,,59-63,,
5:08.0,Turnover by M. Smart (bad pass; steal by K. Thompson),,59-63,,
5:04.0,,,59-63,,Turnover by P. McCaw (bad pass; steal by I. Thomas)
4:57.0,I. Thomas misses 3-pt shot from 27 ft,,59-63,,
4:53.0,Offensive rebound by A. Bradley,,59-63,,
4:52.0,A. Bradley makes 2-pt shot from 2 ft,2,61-63,,
4:39.0,,,61-65,2,S. Curry makes 2-pt shot from 2 ft
4:15.0,A. Johnson makes 2-pt shot at rim (assist by K. Olynyk),2,63-65,,
4:02.0,,,63-65,,S. Curry misses 2-pt shot from 8 ft
3:59.0,Defensive rebound by A. Johnson,,63-65,,
3:55.0,Turnover by I. Thomas (lost ball),,63-65,,
3:55.0,,,63-65,,M. Barnes enters the game for P. McCaw
3:45.0,,,63-67,2,S. Curry makes 2-pt shot from 23 ft (assist by K. Thompson)
3:35.0,,,63-67,,Personal foul by M. Barnes (drawn by I. Thomas)
3:35.0,,,63-67,,J. McAdoo enters the game for Z. Pachulia
3:35.0,,,63-67,,S. Livingston enters the game for K. Thompson
3:35.0,J. Jerebko enters the game for A. Johnson,,63-67,,
3:35.0,J. Brown enters the game for A. Bradley,,63-67,,
3:28.0,K. Olynyk misses 2-pt shot from 17 ft,,63-67,,
3:28.0,Offensive rebound by J. Jerebko,,63-67,,
3:26.0,,,63-67,,Personal foul by J. McAdoo (drawn by K. Olynyk)
3:17.0,M. Smart misses 2-pt shot from 5 ft (block by J. McAdoo),,63-67,,
3:15.0,,,63-67,,Defensive rebound by M. Barnes
3:10.0,,,63-67,,Shooting foul by M. Smart (drawn by S. Curry)
3:10.0,,,63-68,1,S. Curry makes free throw 1 of 2
3:10.0,,,63-69,1,S. Curry makes free throw 2 of 2
2:56.0,K. Olynyk makes 2-pt shot from 3 ft (assist by I. Thomas),2,65-69,,
2:41.0,,,65-69,,M. Barnes misses 3-pt shot from 27 ft
2:41.0,Defensive rebound by K. Olynyk,,65-69,,
2:35.0,,,65-69,,Personal foul by M. Barnes (drawn by I. Thomas)
2:35.0,Boston full timeout,,65-69,,
2:35.0,I. Thomas makes free throw 1 of 2,1,66-69,,
2:35.0,I. Thomas makes free throw 2 of 2,1,67-69,,
2:19.0,,,67-69,,S. Curry misses 3-pt shot from 26 ft
2:18.0,,,67-69,,Offensive rebound by J. McAdoo
2:14.0,,,67-69,,Turnover by S. Livingston (traveling)
2:14.0,A. Horford enters the game for J. Jerebko,,67-69,,
2:14.0,T. Rozier enters the game for I. Thomas,,67-69,,
1:49.0,T. Rozier misses 3-pt shot from 26 ft,,67-69,,
1:48.0,,,67-69,,Defensive rebound by M. Barnes
1:40.0,,,67-71,2,S. Curry makes 2-pt shot from 2 ft (assist by A. Iguodala)
1:27.0,Shooting foul by M. Barnes (drawn by J. Brown),,67-71,,
1:27.0,J. Brown misses free throw 1 of 2,,67-71,,
1:27.0,Offensive rebound by Team,,67-71,,
1:27.0,J. Brown makes free throw 2 of 2,1,68-71,,
1:27.0,,,67-71,,D. Green enters the game for J. McAdoo
1:10.0,,,68-71,,M. Barnes misses 3-pt shot from 26 ft
1:10.0,Defensive rebound by M. Smart,,68-71,,
1:00.0,K. Olynyk makes 2-pt shot at rim (assist by M. Smart),2,70-71,,
0:41.0,,,70-71,,S. Livingston misses 2-pt shot from 13 ft
0:41.0,Defensive rebound by K. Olynyk,,70-71,,
0:28.0,Turnover by J. Brown (bad pass; steal by A. Iguodala),,70-71,,
0:22.0,,,70-71,,S. Curry misses 3-pt shot from 26 ft
0:21.0,Defensive rebound by J. Brown,,70-71,,
0:18.0,,,70-71,,Personal foul by S. Curry (drawn by M. Smart)
0:18.0,M. Smart makes free throw 1 of 2,1,71-71,,
0:18.0,M. Smart makes free throw 2 of 2,1,72-71,,
0:18.0,,,71-71,,K. Thompson enters the game for M. Barnes
0:18.0,,,71-71,,I. Clark enters the game for S. Livingston
0:18.0,A. Bradley enters the game for K. Olynyk,,71-71,,
0:01.0,,,72-74,3,S. Curry makes 3-pt shot from 26 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,72-74,,Turnover by S. Livingston (bad pass; steal by A. Horford)
11:37.0,T. Rozier misses 2-pt shot from 1 ft,,72-74,,
11:37.0,Offensive rebound by M. Smart,,72-74,,
11:35.0,M. Smart misses 2-pt shot from 2 ft,,72-74,,
11:32.0,,,72-74,,Defensive rebound by D. West
11:25.0,,,72-74,,K. Thompson misses 2-pt shot from 5 ft
11:25.0,Defensive rebound by J. Brown,,72-74,,
11:03.0,M. Smart makes 2-pt shot from 10 ft,2,74-74,,
10:45.0,,,74-74,,K. Thompson misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by A. Horford,,74-74,,
10:35.0,Shooting foul by D. Green (drawn by K. Olynyk),,74-74,,
10:35.0,K. Olynyk makes free throw 1 of 2,1,75-74,,
10:35.0,K. Olynyk makes free throw 2 of 2,1,76-74,,
10:35.0,J. Crowder enters the game for J. Brown,,75-74,,
10:19.0,,,76-74,,D. Green misses 3-pt shot from 26 ft
10:18.0,Defensive rebound by J. Crowder,,76-74,,
9:57.0,M. Smart misses 2-pt shot from 6 ft,,76-74,,
9:57.0,,,76-74,,Defensive rebound by D. West
9:42.0,,,76-74,,Turnover by A. Iguodala (bad pass; steal by A. Horford)
9:29.0,K. Olynyk misses 3-pt shot from 26 ft,,76-74,,
9:29.0,,,76-74,,Defensive rebound by D. Green
9:21.0,,,76-74,,K. Thompson misses 3-pt shot from 27 ft
9:20.0,Defensive rebound by J. Crowder,,76-74,,
9:13.0,,,76-74,,Violation by D. Green (kicked ball)
8:56.0,A. Horford misses 2-pt shot from 8 ft,,76-74,,
8:56.0,,,76-74,,Defensive rebound by D. Green
8:41.0,,,76-74,,D. Green misses 2-pt shot from 8 ft
8:41.0,,,76-74,,Offensive rebound by D. West
8:41.0,Personal foul by A. Horford (drawn by D. West),,76-74,,
8:41.0,Official timeout,,76-74,,
8:41.0,I. Thomas enters the game for M. Smart,,76-74,,
8:41.0,,,76-74,,I. Clark enters the game for S. Livingston
8:30.0,,,76-76,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
8:10.0,A. Horford makes 2-pt shot from 10 ft (assist by T. Rozier),2,78-76,,
7:45.0,,,78-76,,Shooting foul by T. Rozier (drawn by K. Thompson)
7:45.0,,,78-76,,K. Thompson misses free throw 1 of 2
7:45.0,,,78-76,,Offensive rebound by Team
7:45.0,,,78-77,1,K. Thompson makes free throw 2 of 2
7:45.0,J. Jerebko enters the game for A. Horford,,78-76,,
7:45.0,A. Bradley enters the game for T. Rozier,,78-76,,
7:26.0,I. Thomas misses 3-pt shot from 26 ft,,78-77,,
7:22.0,,,78-77,,Defensive rebound by D. Green
7:19.0,,,78-79,2,D. Green makes 2-pt shot at rim (assist by D. West)
6:58.0,K. Olynyk makes 2-pt shot at rim,2,80-79,,
6:45.0,,,80-79,,Turnover by D. West (bad pass)
6:45.0,,,80-79,,S. Curry enters the game for K. Thompson
6:27.0,I. Thomas misses 2-pt shot from 8 ft,,80-79,,
6:27.0,,,80-79,,Defensive rebound by D. West
6:23.0,,,80-79,,Turnover by S. Curry (lost ball; steal by J. Jerebko)
6:12.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,83-79,,
6:08.0,,,83-79,,Golden State full timeout
6:08.0,,,83-79,,J. McAdoo enters the game for D. Green
6:08.0,,,83-79,,P. McCaw enters the game for D. West
5:40.0,,,83-79,,A. Iguodala misses 2-pt shot from 15 ft
5:40.0,Defensive rebound by J. Crowder,,83-79,,
5:25.0,J. Crowder makes 3-pt shot from 26 ft (assist by K. Olynyk),3,86-79,,
5:05.0,,,86-79,,Turnover by A. Iguodala (bad pass; steal by A. Bradley)
5:01.0,A. Bradley makes 2-pt shot at rim,2,88-79,,
4:50.0,,,88-79,,Turnover by S. Curry (lost ball; steal by K. Olynyk)
4:46.0,A. Bradley misses 2-pt shot from 2 ft (block by S. Curry),,88-79,,
4:46.0,Offensive rebound by Team,,88-79,,
4:42.0,I. Thomas makes 2-pt shot from 16 ft (assist by J. Crowder),2,90-79,,
4:39.0,,,90-79,,Golden State full timeout
4:39.0,,,90-79,,K. Thompson enters the game for J. McAdoo
4:39.0,,,90-79,,D. Green enters the game for I. Clark
4:27.0,,,90-79,,S. Curry misses 3-pt shot from 27 ft
4:26.0,Defensive rebound by J. Jerebko,,90-79,,
4:00.0,I. Thomas makes 3-pt shot from 26 ft (assist by K. Olynyk),3,93-79,,
3:52.0,Violation by K. Olynyk (kicked ball),,93-79,,
3:47.0,,,93-82,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
3:26.0,I. Thomas misses 3-pt shot from 26 ft,,93-82,,
3:26.0,,,93-82,,Defensive rebound by K. Thompson
3:21.0,,,93-82,,Offensive charge foul by D. Green
3:21.0,,,93-82,,Turnover by D. Green (offensive foul)
3:21.0,M. Smart enters the game for J. Crowder,,93-82,,
3:21.0,A. Horford enters the game for K. Olynyk,,93-82,,
3:03.0,J. Jerebko misses 2-pt shot from 7 ft,,93-82,,
3:02.0,,,93-82,,Defensive rebound by D. Green
2:53.0,,,93-84,2,P. McCaw makes 2-pt shot at rim
2:53.0,Boston full timeout,,93-84,,
2:45.0,J. Crowder enters the game for J. Jerebko,,93-84,,
2:30.0,J. Crowder misses 3-pt shot from 26 ft,,93-84,,
2:29.0,Offensive rebound by M. Smart,,93-84,,
2:09.0,J. Crowder misses 3-pt shot from 26 ft,,93-84,,
2:08.0,Offensive rebound by A. Horford,,93-84,,
1:55.0,,,93-84,,Personal foul by S. Curry (drawn by I. Thomas)
