time,Philadelphia,pts.away,score,pts.home,Atlanta
1:52.0,G. Henderson misses 3-pt shot from 24 ft,,25-21,,
1:50.0,,,25-21,,Defensive rebound by K. Humphries
1:39.0,,,25-23,2,M. Delaney makes 2-pt shot from 2 ft
1:34.0,,,25-23,,Personal foul by M. Delaney (drawn by N. Stauskas)
1:25.0,D. Saric misses 3-pt shot from 25 ft,,25-23,,
1:23.0,,,25-23,,Defensive rebound by K. Humphries
1:12.0,,,25-25,2,P. Millsap makes 2-pt shot from 14 ft (assist by T. Hardaway)
0:55.0,D. Saric misses 2-pt shot from 6 ft,,25-25,,
0:53.0,,,25-25,,Defensive rebound by P. Millsap
0:45.0,,,25-25,,T. Hardaway misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by N. Noel,,25-25,,
0:32.0,Turnover by G. Henderson (step out of bounds),,25-25,,
0:27.0,,,25-25,,M. Delaney misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by N. Stauskas,,25-25,,
0:19.0,D. Saric misses 2-pt shot from 1 ft,,25-25,,
0:17.0,,,25-25,,Defensive rebound by P. Millsap
0:02.0,,,25-25,,T. Hardaway misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by G. Henderson,,25-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Shooting foul by M. Dunleavy (drawn by T. Luwawu-Cabarrot),,25-25,,
11:39.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,26-25,,
11:39.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,27-25,,
11:17.0,,,27-25,,M. Dunleavy misses 2-pt shot from 12 ft
11:16.0,Defensive rebound by Team,,27-25,,
11:09.0,D. Saric misses 2-pt shot from 16 ft,,27-25,,
11:07.0,,,27-25,,Defensive rebound by D. Howard
10:59.0,,,27-25,,T. Hardaway misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by D. Saric,,27-25,,
10:45.0,D. Saric makes 3-pt shot from 24 ft (assist by T. Luwawu-Cabarrot),3,30-25,,
10:23.0,,,30-25,,M. Scott misses 3-pt shot from 23 ft
10:21.0,,,30-25,,Offensive rebound by D. Howard
10:18.0,,,30-28,3,T. Hardaway makes 3-pt shot from 24 ft (assist by D. Howard)
10:05.0,N. Stauskas misses 2-pt shot from 11 ft,,30-28,,
10:02.0,,,30-28,,Defensive rebound by M. Scott
9:53.0,,,30-31,3,T. Hardaway makes 3-pt shot from 27 ft (assist by M. Dunleavy)
9:46.0,Philadelphia full timeout,,30-31,,
9:46.0,T. McConnell enters the game for N. Stauskas,,30-31,,
9:46.0,R. Covington enters the game for G. Henderson,,30-31,,
9:38.0,D. Saric misses 2-pt shot from 23 ft,,30-31,,
9:35.0,Offensive rebound by R. Covington,,30-31,,
9:31.0,D. Saric misses 3-pt shot from 24 ft,,30-31,,
9:30.0,,,30-31,,Defensive rebound by D. Howard
9:20.0,,,30-31,,Turnover by T. Hardaway (bad pass)
9:20.0,E. Ilyasova enters the game for D. Saric,,30-31,,
9:08.0,Turnover by T. McConnell (lost ball; steal by M. Delaney),,30-31,,
8:57.0,,,30-33,2,M. Delaney makes 2-pt shot from 20 ft (assist by D. Howard)
8:56.0,Philadelphia full timeout,,30-33,,
8:35.0,T. Luwawu-Cabarrot makes 3-pt shot from 27 ft (assist by E. Ilyasova),3,33-33,,
8:13.0,,,33-35,2,T. Hardaway makes 2-pt shot from 3 ft
8:04.0,N. Noel makes 2-pt shot at rim (assist by R. Covington),2,35-35,,
7:48.0,,,35-35,,M. Scott misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by Team,,35-35,,
7:46.0,,,35-35,,K. Bazemore enters the game for M. Dunleavy
7:34.0,T. Luwawu-Cabarrot misses 2-pt shot from 18 ft,,35-35,,
7:32.0,,,35-35,,Defensive rebound by D. Howard
7:28.0,,,35-35,,Shooting foul by T. McConnell (drawn by M. Delaney)
7:28.0,,,35-37,2,M. Delaney makes 2-pt shot from 19 ft
7:28.0,,,35-37,,M. Delaney misses free throw 1 of 1
7:28.0,,,35-37,,D. Schroder enters the game for T. Hardaway
7:26.0,Defensive rebound by T. McConnell,,35-37,,
7:20.0,T. Luwawu-Cabarrot makes 2-pt shot at rim (assist by T. McConnell),2,37-37,,
7:11.0,,,37-37,,Shooting foul by N. Noel (drawn by D. Howard)
7:11.0,,,37-38,1,D. Howard makes free throw 1 of 2
7:11.0,,,37-38,,D. Howard misses free throw 2 of 2
7:09.0,Defensive rebound by N. Noel,,37-38,,
6:58.0,E. Ilyasova makes 2-pt shot from 3 ft (assist by T. McConnell),2,39-38,,
6:37.0,,,39-40,2,K. Bazemore makes 2-pt shot from 19 ft
6:31.0,E. Ilyasova makes 2-pt shot from 3 ft (assist by N. Noel),2,41-40,,
6:31.0,Shooting foul by M. Scott (drawn by E. Ilyasova),,41-40,,
6:31.0,E. Ilyasova makes free throw 1 of 1,1,42-40,,
6:31.0,,,41-40,,P. Millsap enters the game for M. Scott
6:15.0,,,42-40,,Turnover by K. Bazemore (bad pass; steal by R. Covington)
6:13.0,Turnover by T. Luwawu-Cabarrot (dbl dribble),,42-40,,
6:13.0,,,42-40,,T. Sefolosha enters the game for M. Delaney
6:10.0,,,42-40,,Offensive foul by K. Bazemore
6:10.0,,,42-40,,Turnover by K. Bazemore (offensive foul)
5:57.0,T. McConnell misses 2-pt shot from 11 ft,,42-40,,
5:55.0,,,42-40,,Defensive rebound by K. Bazemore
5:48.0,,,42-42,2,D. Howard makes 2-pt shot from 1 ft (assist by P. Millsap)
5:48.0,,,42-42,,Shooting foul by N. Noel (drawn by D. Howard)
5:48.0,Official timeout,,42-42,,
5:48.0,,,42-42,,D. Howard misses free throw 1 of 1
5:48.0,J. Okafor enters the game for T. Luwawu-Cabarrot,,42-42,,
5:48.0,G. Henderson enters the game for N. Noel,,42-42,,
5:46.0,Defensive rebound by G. Henderson,,42-42,,
5:28.0,Turnover by E. Ilyasova (bad pass; steal by D. Schroder),,42-42,,
5:24.0,,,42-42,,D. Schroder misses 2-pt shot at rim
5:21.0,,,42-42,,Offensive rebound by P. Millsap
5:18.0,,,42-44,2,P. Millsap makes 2-pt shot from 3 ft (assist by D. Schroder)
4:52.0,E. Ilyasova makes 2-pt shot at rim (assist by T. McConnell),2,44-44,,
4:42.0,,,44-44,,Atlanta full timeout
4:28.0,,,44-46,2,K. Bazemore makes 2-pt shot from 20 ft
4:10.0,G. Henderson makes 2-pt shot from 15 ft,2,46-46,,
3:57.0,,,46-49,3,D. Schroder makes 3-pt shot from 25 ft (assist by K. Bazemore)
3:45.0,T. McConnell makes 2-pt shot from 1 ft,2,48-49,,
3:33.0,,,48-51,2,K. Bazemore makes 2-pt shot from 19 ft (assist by D. Howard)
3:17.0,Turnover by T. McConnell (lost ball; steal by D. Schroder),,48-51,,
3:00.0,,,48-51,,Shooting foul by T. McConnell (drawn by D. Howard)
3:00.0,,,48-51,,D. Howard misses free throw 1 of 2
3:00.0,,,48-51,,Offensive rebound by Team
3:00.0,,,48-52,1,D. Howard makes free throw 2 of 2
3:00.0,N. Stauskas enters the game for R. Covington,,48-51,,
2:47.0,,,48-52,,Personal foul by K. Bazemore (drawn by N. Stauskas)
2:47.0,,,48-52,,K. Humphries enters the game for D. Howard
2:43.0,,,48-52,,Personal foul by T. Sefolosha (drawn by G. Henderson)
2:43.0,,,48-52,,T. Hardaway enters the game for K. Bazemore
2:36.0,G. Henderson misses 3-pt shot from 25 ft,,48-52,,
2:34.0,,,48-52,,Defensive rebound by K. Humphries
2:22.0,,,48-54,2,K. Humphries makes 2-pt shot from 1 ft (assist by T. Hardaway)
2:12.0,T. McConnell makes 2-pt shot from 2 ft,2,50-54,,
1:57.0,,,50-54,,D. Schroder misses 2-pt shot from 18 ft
1:55.0,Defensive rebound by E. Ilyasova,,50-54,,
1:49.0,E. Ilyasova makes 2-pt shot from 21 ft (assist by G. Henderson),2,52-54,,
1:30.0,,,52-54,,P. Millsap misses 3-pt shot from 25 ft
1:28.0,,,52-54,,Offensive rebound by T. Sefolosha
1:27.0,,,52-56,2,T. Sefolosha makes 2-pt shot from 1 ft
1:13.0,Turnover by J. Okafor (lost ball),,52-56,,
0:56.0,,,52-58,2,K. Humphries makes 2-pt shot from 14 ft (assist by T. Hardaway)
0:37.0,Shooting foul by T. Sefolosha (drawn by G. Henderson),,52-58,,
0:37.0,G. Henderson makes free throw 1 of 2,1,53-58,,
0:37.0,G. Henderson makes free throw 2 of 2,1,54-58,,
0:37.0,T. Luwawu-Cabarrot enters the game for E. Ilyasova,,53-58,,
0:37.0,D. Saric enters the game for T. McConnell,,53-58,,
0:37.0,,,53-58,,M. Dunleavy enters the game for T. Sefolosha
0:31.0,,,54-60,2,D. Schroder makes 2-pt shot from 1 ft
0:09.0,G. Henderson misses 2-pt shot from 16 ft,,54-60,,
0:07.0,,,54-60,,Defensive rebound by P. Millsap
0:00.0,,,54-62,2,P. Millsap makes 2-pt shot from 17 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,J. Okafor misses 2-pt shot from 6 ft,,54-62,,
11:40.0,,,54-62,,Defensive rebound by T. Sefolosha
11:32.0,,,54-62,,K. Bazemore misses 2-pt shot from 21 ft
11:31.0,Defensive rebound by T. McConnell,,54-62,,
11:20.0,Turnover by R. Covington (bad pass),,54-62,,
11:06.0,,,54-62,,Shooting foul by N. Stauskas (drawn by T. Sefolosha)
11:06.0,,,54-62,,T. Sefolosha misses free throw 1 of 3
11:06.0,,,54-62,,Offensive rebound by Team
11:06.0,,,54-63,1,T. Sefolosha makes free throw 2 of 3
11:06.0,,,54-64,1,T. Sefolosha makes free throw 3 of 3
10:54.0,E. Ilyasova misses 3-pt shot from 24 ft,,54-64,,
10:52.0,Offensive rebound by E. Ilyasova,,54-64,,
10:45.0,E. Ilyasova misses 2-pt shot from 2 ft (block by D. Howard),,54-64,,
10:43.0,,,54-64,,Defensive rebound by P. Millsap
10:30.0,,,54-64,,D. Schroder misses 2-pt shot from 22 ft
10:28.0,Defensive rebound by Team,,54-64,,
10:16.0,N. Stauskas makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,57-64,,
10:02.0,Personal foul by T. McConnell (drawn by D. Schroder),,57-64,,
9:51.0,,,57-66,2,K. Bazemore makes 2-pt shot from 18 ft
9:33.0,R. Covington misses 3-pt shot from 25 ft,,57-66,,
9:31.0,,,57-66,,Defensive rebound by D. Howard
9:14.0,,,57-66,,K. Bazemore misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by J. Okafor,,57-66,,
9:07.0,R. Covington misses 2-pt shot from 3 ft,,57-66,,
9:06.0,,,57-66,,Defensive rebound by Team
8:47.0,,,57-66,,T. Sefolosha misses 2-pt shot from 20 ft
8:45.0,Defensive rebound by R. Covington,,57-66,,
8:38.0,Turnover by R. Covington (lost ball),,57-66,,
8:28.0,,,57-68,2,P. Millsap makes 2-pt shot from 19 ft (assist by D. Schroder)
8:27.0,Philadelphia full timeout,,57-68,,
8:11.0,J. Okafor misses 2-pt shot from 17 ft,,57-68,,
8:10.0,,,57-68,,Defensive rebound by K. Bazemore
8:03.0,Personal foul by J. Okafor (drawn by D. Howard),,57-68,,
7:56.0,,,57-70,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
7:44.0,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell),3,60-70,,
7:27.0,,,60-70,,K. Bazemore misses 2-pt shot from 10 ft (block by E. Ilyasova)
7:26.0,Defensive rebound by N. Stauskas,,60-70,,
7:22.0,R. Covington makes 2-pt shot from 1 ft (assist by N. Stauskas),2,62-70,,
7:06.0,,,62-70,,D. Schroder misses 2-pt shot from 1 ft
7:04.0,,,62-70,,Offensive rebound by D. Howard
7:04.0,,,62-72,2,D. Howard makes 2-pt shot at rim
6:52.0,E. Ilyasova misses 3-pt shot from 24 ft,,62-72,,
6:51.0,,,62-72,,Defensive rebound by D. Howard
6:39.0,,,62-74,2,P. Millsap makes 2-pt shot from 17 ft (assist by D. Schroder)
6:23.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by T. McConnell),3,65-74,,
6:04.0,,,65-74,,Turnover by P. Millsap (bad pass)
6:04.0,D. Saric enters the game for E. Ilyasova,,65-74,,
6:04.0,G. Henderson enters the game for N. Stauskas,,65-74,,
5:46.0,R. Covington misses 3-pt shot from 23 ft,,65-74,,
5:45.0,,,65-74,,Defensive rebound by D. Howard
5:36.0,,,65-76,2,D. Schroder makes 2-pt shot from 1 ft
5:26.0,,,65-76,,Def 3 sec tech foul by K. Bazemore
5:26.0,G. Henderson misses technical free throw,,65-76,,
5:26.0,Offensive rebound by Team,,65-76,,
5:26.0,N. Noel enters the game for J. Okafor,,65-76,,
5:26.0,T. Luwawu-Cabarrot enters the game for R. Covington,,65-76,,
5:26.0,,,65-76,,T. Hardaway enters the game for K. Bazemore
5:16.0,Turnover by D. Saric (3 sec),,65-76,,
5:12.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Schroder),,65-76,,
5:01.0,,,65-76,,D. Schroder misses 3-pt shot from 26 ft
5:00.0,Defensive rebound by T. McConnell,,65-76,,
4:48.0,D. Saric misses 2-pt shot from 20 ft,,65-76,,
4:46.0,,,65-76,,Defensive rebound by Team
4:35.0,,,65-76,,K. Humphries enters the game for D. Howard
4:26.0,,,65-78,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Schroder)
4:03.0,Turnover by T. McConnell (traveling),,65-78,,
3:50.0,,,65-78,,Turnover by P. Millsap (lost ball; steal by T. McConnell)
3:45.0,Shooting foul by K. Humphries (drawn by T. Luwawu-Cabarrot),,65-78,,
3:45.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,66-78,,
3:45.0,T. Luwawu-Cabarrot misses free throw 2 of 2,,66-78,,
3:45.0,,,66-78,,M. Dunleavy enters the game for T. Sefolosha
3:45.0,N. Stauskas enters the game for T. McConnell,,66-78,,
3:44.0,Offensive rebound by N. Noel,,66-78,,
3:41.0,Turnover by N. Noel (lost ball; steal by T. Hardaway),,66-78,,
3:33.0,Away from play foul by T. Luwawu-Cabarrot (drawn by P. Millsap),,66-78,,
3:33.0,,,66-79,1,P. Millsap makes free throw 1 of 2
3:33.0,,,66-80,1,P. Millsap makes free throw 2 of 2
3:33.0,,,66-79,,M. Delaney enters the game for D. Schroder
3:21.0,D. Saric misses 3-pt shot from 25 ft,,66-80,,
3:20.0,,,66-80,,Defensive rebound by M. Dunleavy
3:13.0,Personal foul by T. Luwawu-Cabarrot (drawn by P. Millsap),,66-80,,
3:13.0,,,66-81,1,P. Millsap makes free throw 1 of 2
3:13.0,,,66-81,,P. Millsap misses free throw 2 of 2
3:12.0,Defensive rebound by D. Saric,,66-81,,
2:59.0,,,66-81,,Personal foul by M. Delaney (drawn by N. Noel)
2:59.0,,,66-81,,Atlanta full timeout
2:51.0,N. Noel makes 2-pt shot at rim (assist by G. Henderson),2,68-81,,
2:40.0,Personal foul by N. Noel (drawn by K. Humphries),,68-81,,
2:40.0,,,68-81,,K. Humphries misses free throw 1 of 2
2:40.0,,,68-81,,Offensive rebound by Team
2:40.0,,,68-82,1,K. Humphries makes free throw 2 of 2
2:29.0,G. Henderson misses 3-pt shot from 24 ft,,68-82,,
2:27.0,,,68-82,,Defensive rebound by K. Humphries
2:21.0,Away from play foul by G. Henderson (drawn by K. Humphries),,68-82,,
2:21.0,,,68-83,1,K. Humphries makes free throw 1 of 2
2:21.0,,,68-84,1,K. Humphries makes free throw 2 of 2
2:12.0,N. Stauskas misses 2-pt shot from 1 ft,,68-84,,
2:10.0,,,68-84,,Defensive rebound by K. Humphries
2:03.0,,,68-86,2,M. Dunleavy makes 2-pt shot from 2 ft (assist by T. Hardaway)
2:02.0,Philadelphia full timeout,,68-86,,
2:02.0,E. Ilyasova enters the game for G. Henderson,,68-86,,
2:02.0,T. McConnell enters the game for D. Saric,,68-86,,
2:02.0,J. Okafor enters the game for T. Luwawu-Cabarrot,,68-86,,
2:02.0,R. Covington enters the game for N. Noel,,68-86,,
1:49.0,Turnover by J. Okafor (3 sec),,68-86,,
1:40.0,,,68-86,,M. Dunleavy misses 2-pt shot from 17 ft (block by R. Covington)
1:38.0,,,68-86,,Offensive rebound by T. Hardaway
1:35.0,,,68-86,,T. Hardaway misses 2-pt shot from 2 ft (block by J. Okafor)
1:33.0,Defensive rebound by N. Stauskas,,68-86,,
1:29.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by N. Stauskas),2,70-86,,
1:15.0,,,70-88,2,T. Hardaway makes 2-pt shot from 6 ft
0:59.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,73-88,,
0:49.0,,,73-90,2,M. Delaney makes 2-pt shot from 17 ft (assist by T. Hardaway)
0:40.0,Shooting foul by K. Humphries (drawn by R. Covington),,73-90,,
0:40.0,R. Covington makes free throw 1 of 2,1,74-90,,
0:40.0,R. Covington makes free throw 2 of 2,1,75-90,,
0:28.0,,,75-90,,M. Delaney misses 2-pt shot from 10 ft
0:27.0,Defensive rebound by Team,,75-90,,
0:27.0,,,75-90,,Loose ball foul by M. Delaney (drawn by T. McConnell)
0:27.0,T. McConnell makes free throw 1 of 2,1,76-90,,
0:27.0,T. McConnell makes free throw 2 of 2,1,77-90,,
0:11.0,,,77-90,,T. Hardaway misses 2-pt shot from 1 ft
0:10.0,Defensive rebound by R. Covington,,77-90,,
0:05.0,N. Stauskas misses 3-pt shot from 25 ft,,77-90,,
0:04.0,Offensive rebound by E. Ilyasova,,77-90,,
0:02.0,E. Ilyasova misses 2-pt shot at rim (block by M. Dunleavy),,77-90,,
0:01.0,,,77-90,,Defensive rebound by T. Hardaway
0:01.0,,,77-90,,T. Hardaway misses 3-pt shot from 40 ft
0:00.0,,,77-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,77-90,,Turnover by T. Hardaway (bad pass; steal by J. Okafor)
11:39.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,80-90,,
11:18.0,,,80-90,,M. Delaney misses 3-pt shot from 23 ft
11:16.0,,,80-90,,Offensive rebound by T. Hardaway
11:01.0,,,80-90,,T. Sefolosha misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by Team,,80-90,,
11:01.0,,,80-90,,Loose ball foul by D. Howard (drawn by J. Okafor)
10:45.0,Shooting foul by D. Howard (drawn by E. Ilyasova),,80-90,,
10:45.0,E. Ilyasova misses free throw 1 of 2,,80-90,,
10:45.0,Offensive rebound by Team,,80-90,,
10:45.0,E. Ilyasova makes free throw 2 of 2,1,81-90,,
10:27.0,,,81-92,2,M. Dunleavy makes 2-pt shot from 17 ft (assist by T. Sefolosha)
10:07.0,N. Stauskas misses 3-pt shot from 25 ft,,81-92,,
10:05.0,,,81-92,,Defensive rebound by Team
10:05.0,T. Luwawu-Cabarrot enters the game for R. Covington,,81-92,,
9:53.0,,,81-92,,Turnover by T. Hardaway (bad pass; steal by T. Luwawu-Cabarrot)
9:45.0,Turnover by T. Luwawu-Cabarrot (bad pass),,81-92,,
9:32.0,,,81-94,2,M. Delaney makes 2-pt shot from 18 ft
9:17.0,J. Okafor makes 2-pt shot from 15 ft,2,83-94,,
9:07.0,,,83-94,,Offensive foul by D. Howard
9:07.0,,,83-94,,Turnover by D. Howard (offensive foul)
8:57.0,T. McConnell misses 2-pt shot from 18 ft,,83-94,,
8:54.0,,,83-94,,Defensive rebound by M. Dunleavy
8:34.0,,,83-94,,M. Dunleavy misses 2-pt shot from 22 ft
8:33.0,,,83-94,,Offensive rebound by Team
8:33.0,Official timeout,,83-94,,
8:33.0,,,83-94,,K. Bazemore enters the game for M. Dunleavy
8:33.0,R. Covington enters the game for E. Ilyasova,,83-94,,
8:33.0,Personal foul by J. Okafor (drawn by D. Howard),,83-94,,
8:19.0,,,83-94,,T. Sefolosha misses 2-pt shot from 13 ft
8:17.0,Defensive rebound by R. Covington,,83-94,,
8:08.0,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell),2,85-94,,
7:47.0,,,85-94,,T. Hardaway misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by T. McConnell,,85-94,,
7:36.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by T. Hardaway),,85-94,,
7:36.0,Personal foul by R. Covington (drawn by M. Delaney),,85-94,,
7:36.0,,,85-94,,D. Schroder enters the game for T. Hardaway
7:36.0,,,85-94,,P. Millsap enters the game for M. Delaney
7:36.0,R. Holmes enters the game for J. Okafor,,85-94,,
7:21.0,,,85-94,,P. Millsap misses 2-pt shot from 1 ft
7:20.0,Defensive rebound by N. Stauskas,,85-94,,
7:13.0,Turnover by N. Stauskas (bad pass; steal by P. Millsap),,85-94,,
6:51.0,,,85-94,,P. Millsap misses 2-pt shot from 7 ft
6:49.0,Defensive rebound by R. Covington,,85-94,,
6:46.0,Shooting foul by K. Bazemore (drawn by T. Luwawu-Cabarrot),,85-94,,
6:46.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,86-94,,
6:46.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,87-94,,
6:36.0,,,87-94,,D. Schroder misses 2-pt shot from 17 ft
6:34.0,Defensive rebound by R. Covington,,87-94,,
6:28.0,R. Covington misses 3-pt shot from 25 ft,,87-94,,
6:26.0,,,87-94,,Defensive rebound by T. Sefolosha
6:08.0,,,87-94,,Shooting foul by R. Covington (drawn by D. Schroder)
6:08.0,,,87-95,1,D. Schroder makes free throw 1 of 2
