time,Minnesota,pts.away,score,pts.home,Milwaukee
7:06.0,,,7-9,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
6:53.0,,,7-9,,Personal foul by T. Snell (drawn by A. Wiggins)
6:53.0,,,7-9,,G. Monroe enters the game for T. Maker
6:41.0,R. Rubio misses 2-pt shot from 9 ft,,7-9,,
6:41.0,,,7-9,,Defensive rebound by Team
6:41.0,Loose ball foul by R. Rubio (drawn by G. Antetokounmpo),,7-9,,
6:41.0,K. Dunn enters the game for R. Rubio,,7-9,,
6:26.0,,,7-11,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
6:04.0,K. Towns misses 3-pt shot from 23 ft,,7-11,,
6:03.0,,,7-11,,Defensive rebound by T. Snell
5:54.0,,,7-11,,G. Monroe misses 2-pt shot from 15 ft
5:52.0,Defensive rebound by K. Dunn,,7-11,,
5:40.0,K. Dunn makes 2-pt shot from 13 ft,2,9-11,,
5:25.0,,,9-11,,M. Dellavedova misses 2-pt shot from 6 ft (block by K. Towns)
5:23.0,,,9-11,,Offensive rebound by J. Terry
5:18.0,,,9-11,,J. Terry misses 2-pt shot from 6 ft
5:17.0,Defensive rebound by B. Rush,,9-11,,
5:05.0,K. Towns makes 2-pt shot from 4 ft,2,11-11,,
4:49.0,,,11-14,3,T. Snell makes 3-pt shot from 24 ft (assist by J. Terry)
4:25.0,,,11-14,,Personal foul by G. Antetokounmpo (drawn by A. Wiggins)
4:25.0,,,11-14,,Milwaukee full timeout
4:25.0,,,11-14,,K. Middleton enters the game for G. Antetokounmpo
4:25.0,,,11-14,,J. Henson enters the game for T. Snell
4:25.0,N. Bjelica enters the game for K. Towns,,11-14,,
4:12.0,K. Dunn misses 3-pt shot from 29 ft,,11-14,,
4:11.0,,,11-14,,Defensive rebound by J. Terry
3:52.0,,,11-16,2,G. Monroe makes 2-pt shot from 8 ft
3:41.0,,,11-16,,R. Vaughn enters the game for M. Dellavedova
3:41.0,S. Muhammad enters the game for B. Rush,,11-16,,
3:27.0,S. Muhammad misses 3-pt shot from 27 ft,,11-16,,
3:24.0,Offensive rebound by A. Wiggins,,11-16,,
3:12.0,N. Bjelica makes 2-pt shot at rim (assist by S. Muhammad),2,13-16,,
2:53.0,,,13-16,,K. Middleton misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by K. Dunn,,13-16,,
2:44.0,S. Muhammad misses 2-pt shot from 15 ft,,13-16,,
2:43.0,Offensive rebound by Team,,13-16,,
2:43.0,,,13-16,,Loose ball foul by J. Henson (drawn by G. Dieng)
2:43.0,Minnesota full timeout,,13-16,,
2:43.0,G. Dieng makes free throw 1 of 2,1,14-16,,
2:43.0,G. Dieng makes free throw 2 of 2,1,15-16,,
2:23.0,,,15-16,,G. Monroe misses 2-pt shot from 6 ft
2:20.0,,,15-16,,Offensive rebound by J. Henson
2:20.0,,,15-16,,J. Henson misses 2-pt shot from 1 ft
2:18.0,,,15-16,,Offensive rebound by G. Monroe
2:15.0,,,15-18,2,G. Monroe makes 2-pt shot from 2 ft
1:58.0,A. Wiggins misses 2-pt shot from 19 ft,,15-18,,
1:56.0,Offensive rebound by G. Dieng,,15-18,,
1:53.0,N. Bjelica makes 2-pt shot at rim (assist by K. Dunn),2,17-18,,
1:29.0,,,17-20,2,J. Terry makes 2-pt shot from 3 ft
1:29.0,,,17-20,,Shooting foul by A. Wiggins (drawn by J. Terry)
1:29.0,,,17-21,1,J. Terry makes free throw 1 of 1
1:29.0,T. Jones enters the game for A. Wiggins,,17-20,,
1:12.0,S. Muhammad makes 2-pt shot at rim (assist by T. Jones),2,19-21,,
0:52.0,,,19-21,,G. Monroe misses 2-pt shot from 6 ft
0:51.0,Defensive rebound by K. Dunn,,19-21,,
0:43.0,Turnover by K. Dunn (bad pass; steal by R. Vaughn),,19-21,,
0:40.0,,,19-23,2,R. Vaughn makes 2-pt shot from 1 ft
0:13.0,K. Dunn misses 2-pt shot from 19 ft,,19-23,,
0:11.0,,,19-23,,Defensive rebound by K. Middleton
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,K. Towns makes 2-pt shot from 1 ft (assist by K. Dunn),2,21-23,,
11:32.0,Personal block foul by K. Dunn (drawn by J. Terry),,21-23,,
11:27.0,,,21-23,,G. Antetokounmpo misses 3-pt shot from 28 ft
11:26.0,Defensive rebound by T. Jones,,21-23,,
11:20.0,T. Jones misses 2-pt shot at rim,,21-23,,
11:18.0,,,21-23,,Defensive rebound by G. Monroe
11:11.0,,,21-25,2,G. Antetokounmpo makes 2-pt shot from 1 ft
10:55.0,K. Towns makes 2-pt shot from 7 ft,2,23-25,,
10:55.0,Shooting foul by G. Monroe (drawn by K. Towns),,23-25,,
10:55.0,K. Towns misses free throw 1 of 1,,23-25,,
10:53.0,,,23-25,,Defensive rebound by G. Monroe
10:52.0,,,23-25,,Turnover by G. Monroe (bad pass)
10:47.0,K. Towns makes 2-pt shot from 1 ft,2,25-25,,
10:22.0,,,25-25,,R. Vaughn misses 3-pt shot from 25 ft
10:22.0,,,25-25,,Offensive rebound by Team
9:56.0,,,25-25,,G. Antetokounmpo misses 2-pt shot from 14 ft
9:54.0,Defensive rebound by K. Towns,,25-25,,
9:41.0,K. Towns makes 2-pt shot at rim (assist by N. Bjelica),2,27-25,,
9:17.0,,,27-25,,G. Monroe misses 2-pt shot from 6 ft
9:16.0,Defensive rebound by K. Towns,,27-25,,
9:08.0,S. Muhammad makes 2-pt shot at rim (assist by T. Jones),2,29-25,,
9:08.0,Shooting foul by R. Vaughn (drawn by S. Muhammad),,29-25,,
9:08.0,,,29-25,,Milwaukee full timeout
9:08.0,S. Muhammad misses free throw 1 of 1,,29-25,,
9:08.0,,,29-25,,M. Dellavedova enters the game for J. Terry
9:08.0,,,29-25,,S. Hawes enters the game for G. Monroe
9:07.0,,,29-25,,Defensive rebound by J. Henson
8:55.0,,,29-25,,Turnover by S. Hawes (lost ball; steal by T. Jones)
8:55.0,Offensive foul by S. Muhammad,,29-25,,
8:55.0,Turnover by S. Muhammad (offensive foul),,29-25,,
8:42.0,,,29-25,,R. Vaughn misses 2-pt shot from 5 ft
8:41.0,Defensive rebound by K. Towns,,29-25,,
8:32.0,K. Towns misses 2-pt shot from 17 ft,,29-25,,
8:31.0,,,29-25,,Defensive rebound by Team
8:22.0,,,29-27,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:04.0,,,29-27,,Personal foul by J. Henson (drawn by K. Towns)
7:59.0,S. Muhammad misses 2-pt shot from 2 ft,,29-27,,
7:59.0,,,29-27,,Defensive rebound by Team
7:59.0,Loose ball foul by K. Towns (drawn by R. Vaughn),,29-27,,
7:51.0,,,29-30,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
7:20.0,K. Dunn misses 3-pt shot from 25 ft,,29-30,,
7:19.0,,,29-30,,Defensive rebound by R. Vaughn
7:14.0,,,29-32,2,J. Henson makes 2-pt shot at rim (assist by R. Vaughn)
7:02.0,Minnesota full timeout,,29-32,,
7:02.0,R. Rubio enters the game for K. Dunn,,29-32,,
7:02.0,A. Wiggins enters the game for S. Muhammad,,29-32,,
6:52.0,K. Towns misses 2-pt shot from 7 ft,,29-32,,
6:50.0,Offensive rebound by K. Towns,,29-32,,
6:45.0,N. Bjelica misses 2-pt shot from 1 ft (block by J. Henson),,29-32,,
6:43.0,,,29-32,,Defensive rebound by S. Hawes
6:34.0,,,29-34,2,G. Antetokounmpo makes 2-pt shot from 16 ft
6:23.0,,,29-34,,Personal foul by M. Dellavedova (drawn by R. Rubio)
6:13.0,A. Wiggins misses 2-pt shot from 14 ft,,29-34,,
6:12.0,,,29-34,,Defensive rebound by S. Hawes
5:56.0,,,29-34,,Turnover by M. Dellavedova (bad pass; steal by K. Towns)
5:52.0,Shooting foul by J. Henson (drawn by R. Rubio),,29-34,,
5:52.0,R. Rubio makes 2-pt shot from 18 ft,2,31-34,,
5:52.0,R. Rubio makes free throw 1 of 1,1,32-34,,
5:52.0,,,31-34,,G. Monroe enters the game for J. Henson
5:36.0,,,32-34,,G. Antetokounmpo misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by K. Towns,,32-34,,
5:25.0,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins),,32-34,,
5:25.0,A. Wiggins makes free throw 1 of 2,1,33-34,,
5:25.0,A. Wiggins misses free throw 2 of 2,,33-34,,
5:25.0,,,33-34,,T. Snell enters the game for R. Vaughn
5:25.0,,,33-34,,K. Middleton enters the game for S. Hawes
5:25.0,B. Rush enters the game for T. Jones,,33-34,,
5:23.0,,,33-34,,Defensive rebound by T. Snell
5:07.0,,,33-36,2,G. Monroe makes 2-pt shot from 1 ft
4:48.0,B. Rush makes 2-pt shot from 9 ft (assist by R. Rubio),2,35-36,,
4:23.0,,,35-36,,G. Antetokounmpo misses 2-pt shot from 17 ft
4:22.0,Defensive rebound by B. Rush,,35-36,,
4:15.0,,,35-36,,Personal foul by K. Middleton (drawn by A. Wiggins)
4:15.0,A. Wiggins makes free throw 1 of 2,1,36-36,,
4:15.0,A. Wiggins makes free throw 2 of 2,1,37-36,,
4:04.0,,,37-38,2,K. Middleton makes 2-pt shot from 1 ft (assist by G. Monroe)
3:50.0,R. Rubio makes 2-pt shot from 2 ft,2,39-38,,
3:25.0,,,39-38,,G. Monroe misses 2-pt shot from 5 ft
3:24.0,Defensive rebound by B. Rush,,39-38,,
3:13.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,41-38,,
2:58.0,,,41-38,,T. Snell misses 3-pt shot from 25 ft
2:57.0,,,41-38,,Offensive rebound by G. Monroe
2:55.0,,,41-40,2,G. Monroe makes 2-pt shot from 1 ft
2:36.0,B. Rush makes 2-pt shot from 19 ft (assist by N. Bjelica),2,43-40,,
2:11.0,,,43-40,,K. Middleton misses 2-pt shot from 2 ft
2:11.0,,,43-40,,Offensive rebound by Team
2:11.0,Official timeout,,43-40,,
2:04.0,,,43-40,,K. Middleton misses 2-pt shot from 16 ft
2:03.0,,,43-40,,Offensive rebound by G. Monroe
1:59.0,,,43-43,3,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
1:44.0,Turnover by A. Wiggins (lost ball; steal by T. Snell),,43-43,,
1:39.0,,,43-43,,G. Monroe misses 2-pt shot from 1 ft
1:38.0,Defensive rebound by K. Towns,,43-43,,
1:17.0,A. Wiggins makes 2-pt shot from 17 ft,2,45-43,,
1:03.0,,,45-45,2,G. Antetokounmpo makes 2-pt shot at rim
0:49.0,Offensive foul by K. Towns,,45-45,,
0:49.0,Turnover by K. Towns (offensive foul),,45-45,,
0:34.0,,,45-45,,T. Snell misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by K. Towns,,45-45,,
0:19.0,R. Rubio makes 3-pt shot from 27 ft (assist by K. Towns),3,48-45,,
0:19.0,Violation by Team (delay of game),,48-45,,
0:02.0,,,48-48,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
0:00.0,R. Rubio misses 3-pt shot from 38 ft,,48-48,,
0:00.0,Offensive rebound by Team,,48-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,R. Rubio makes 2-pt shot from 1 ft,2,50-48,,
11:22.0,,,50-50,2,M. Dellavedova makes 2-pt shot from 6 ft
11:02.0,K. Towns misses 2-pt shot from 6 ft,,50-50,,
11:02.0,,,50-50,,Defensive rebound by Team
10:51.0,,,50-50,,M. Dellavedova misses 2-pt shot from 6 ft (block by K. Towns)
10:49.0,,,50-50,,Offensive rebound by K. Middleton
10:45.0,,,50-50,,G. Antetokounmpo misses 2-pt shot at rim
10:44.0,,,50-50,,Offensive rebound by J. Henson
10:44.0,,,50-50,,J. Henson misses 2-pt shot from 2 ft
10:42.0,,,50-50,,Offensive rebound by J. Henson
10:42.0,,,50-52,2,J. Henson makes 2-pt shot from 1 ft
10:28.0,K. Towns makes 3-pt shot from 28 ft (assist by R. Rubio),3,53-52,,
10:15.0,,,53-52,,Shooting foul by R. Rubio (drawn by M. Dellavedova)
10:15.0,,,53-53,1,M. Dellavedova makes free throw 1 of 2
10:15.0,,,53-54,1,M. Dellavedova makes free throw 2 of 2
10:05.0,K. Towns makes 3-pt shot from 26 ft (assist by R. Rubio),3,56-54,,
9:53.0,Violation by G. Dieng (kicked ball),,56-54,,
9:45.0,,,56-56,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
9:28.0,Turnover by B. Rush (traveling),,56-56,,
9:08.0,,,56-58,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova)
8:52.0,K. Towns misses 3-pt shot from 26 ft,,56-58,,
8:51.0,,,56-58,,Defensive rebound by G. Antetokounmpo
8:43.0,,,56-60,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
8:43.0,Violation by G. Dieng (def goaltending),,56-60,,
8:43.0,Technical foul by Team,,56-60,,
8:43.0,,,56-61,1,K. Middleton makes technical free throw
8:23.0,A. Wiggins misses 2-pt shot from 11 ft,,56-61,,
8:23.0,,,56-61,,Defensive rebound by K. Middleton
8:16.0,,,56-61,,M. Dellavedova misses 3-pt shot from 29 ft
8:16.0,,,56-61,,Offensive rebound by Team
8:12.0,,,56-64,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Middleton)
7:49.0,R. Rubio makes 3-pt shot from 25 ft (assist by B. Rush),3,59-64,,
7:22.0,,,59-64,,K. Middleton misses 3-pt shot from 29 ft
7:22.0,Defensive rebound by Team,,59-64,,
7:13.0,Turnover by R. Rubio (bad pass; steal by K. Middleton),,59-64,,
7:01.0,,,59-64,,T. Snell misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by K. Towns,,59-64,,
6:38.0,G. Dieng misses 2-pt shot from 9 ft,,59-64,,
6:36.0,,,59-64,,Defensive rebound by J. Henson
6:25.0,Personal block foul by R. Rubio (drawn by G. Antetokounmpo),,59-64,,
6:25.0,,,59-64,,J. Terry enters the game for K. Middleton
6:25.0,K. Dunn enters the game for R. Rubio,,59-64,,
6:11.0,,,59-64,,J. Henson misses 2-pt shot from 15 ft
6:08.0,Defensive rebound by G. Dieng,,59-64,,
5:53.0,A. Wiggins misses 2-pt shot from 1 ft,,59-64,,
5:51.0,Offensive rebound by K. Towns,,59-64,,
5:51.0,K. Towns makes 2-pt shot at rim,2,61-64,,
5:40.0,,,61-64,,M. Dellavedova misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by A. Wiggins,,61-64,,
5:31.0,,,61-64,,Personal foul by J. Henson (drawn by K. Towns)
5:31.0,,,61-64,,Technical foul by J. Henson (drawn by K. Towns)
5:31.0,,,61-64,,Milwaukee full timeout
5:31.0,K. Towns misses technical free throw,,61-64,,
5:31.0,Offensive rebound by Team,,61-64,,
5:31.0,,,61-64,,R. Vaughn enters the game for M. Dellavedova
5:31.0,,,61-64,,G. Monroe enters the game for J. Henson
5:16.0,A. Wiggins makes 2-pt shot from 1 ft,2,63-64,,
4:52.0,,,63-64,,G. Monroe misses 2-pt shot from 5 ft
4:51.0,Defensive rebound by K. Towns,,63-64,,
4:41.0,,,63-64,,Shooting block foul by G. Monroe (drawn by A. Wiggins)
4:41.0,A. Wiggins makes free throw 1 of 2,1,64-64,,
4:41.0,A. Wiggins makes free throw 2 of 2,1,65-64,,
4:20.0,,,65-64,,R. Vaughn misses 3-pt shot from 24 ft
4:18.0,Defensive rebound by G. Dieng,,65-64,,
4:11.0,K. Towns makes 2-pt shot at rim (assist by K. Dunn),2,67-64,,
3:49.0,,,67-67,3,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
3:29.0,,,67-67,,Shooting block foul by G. Monroe (drawn by K. Dunn)
3:29.0,K. Dunn makes free throw 1 of 2,1,68-67,,
3:29.0,K. Dunn makes free throw 2 of 2,1,69-67,,
3:29.0,N. Bjelica enters the game for K. Towns,,68-67,,
3:05.0,,,69-67,,Turnover by Team (bad pass)
2:56.0,Turnover by K. Dunn (bad pass; steal by T. Snell),,69-67,,
2:51.0,,,69-69,2,T. Snell makes 2-pt shot at rim
2:32.0,G. Dieng makes 2-pt shot from 17 ft (assist by A. Wiggins),2,71-69,,
2:16.0,,,71-69,,Shooting foul by K. Dunn (drawn by J. Terry)
2:16.0,Minnesota full timeout,,71-69,,
2:16.0,,,71-70,1,J. Terry makes free throw 1 of 2
2:16.0,,,71-71,1,J. Terry makes free throw 2 of 2
2:02.0,A. Wiggins makes 2-pt shot from 13 ft,2,73-71,,
1:41.0,,,73-74,3,T. Snell makes 3-pt shot from 25 ft (assist by J. Terry)
1:14.0,Turnover by Team (shot clock),,73-74,,
1:14.0,,,73-74,,K. Middleton enters the game for G. Antetokounmpo
1:00.0,Personal foul by K. Dunn (drawn by G. Monroe),,73-74,,
1:00.0,S. Muhammad enters the game for B. Rush,,73-74,,
0:47.0,,,73-76,2,K. Middleton makes 2-pt shot from 14 ft
0:28.0,N. Bjelica misses 2-pt shot from 1 ft,,73-76,,
0:27.0,,,73-76,,Defensive rebound by J. Terry
0:06.0,,,73-76,,Turnover by K. Middleton (bad pass; steal by K. Dunn)
0:02.0,K. Dunn misses 2-pt shot from 1 ft,,73-76,,
0:01.0,Offensive rebound by N. Bjelica,,73-76,,
0:01.0,N. Bjelica misses 2-pt shot from 1 ft,,73-76,,
0:01.0,Offensive rebound by N. Bjelica,,73-76,,
0:00.0,N. Bjelica makes 2-pt shot from 1 ft,2,75-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,75-76,,Shooting foul by S. Muhammad (drawn by K. Middleton)
11:45.0,,,75-77,1,K. Middleton makes free throw 1 of 2
11:45.0,,,75-78,1,K. Middleton makes free throw 2 of 2
11:37.0,,,75-78,,Personal foul by R. Vaughn (drawn by T. Jones)
11:28.0,Turnover by N. Bjelica (lost ball),,75-78,,
11:14.0,,,75-78,,Shooting foul by K. Dunn (drawn by J. Henson)
11:14.0,,,75-79,1,J. Henson makes free throw 1 of 2
11:14.0,,,75-79,,J. Henson misses free throw 2 of 2
11:12.0,Defensive rebound by S. Muhammad,,75-79,,
11:07.0,Shooting foul by K. Middleton (drawn by K. Towns),,75-79,,
11:07.0,K. Towns makes free throw 1 of 2,1,76-79,,
11:07.0,K. Towns makes free throw 2 of 2,1,77-79,,
10:45.0,,,77-81,2,R. Vaughn makes 2-pt shot from 1 ft
10:37.0,S. Muhammad misses 2-pt shot from 19 ft,,77-81,,
10:36.0,Offensive rebound by K. Towns,,77-81,,
10:35.0,K. Towns misses 2-pt shot from 1 ft (block by J. Henson),,77-81,,
10:32.0,,,77-81,,Defensive rebound by J. Henson
10:22.0,,,77-81,,J. Terry misses 2-pt shot from 10 ft
10:21.0,,,77-81,,Offensive rebound by G. Monroe
10:21.0,,,77-83,2,G. Monroe makes 2-pt shot from 1 ft
10:21.0,Minnesota full timeout,,77-83,,
10:05.0,T. Jones misses 2-pt shot from 10 ft,,77-83,,
10:03.0,Offensive rebound by K. Towns,,77-83,,
9:56.0,K. Dunn misses 2-pt shot from 1 ft (block by R. Vaughn),,77-83,,
9:52.0,,,77-83,,Defensive rebound by K. Middleton
9:50.0,,,77-83,,G. Monroe misses 2-pt shot from 1 ft (block by N. Bjelica)
9:47.0,Defensive rebound by S. Muhammad,,77-83,,
9:40.0,,,77-83,,Personal foul by J. Henson (drawn by N. Bjelica)
9:40.0,R. Rubio enters the game for K. Dunn,,77-83,,
9:40.0,,,77-83,,G. Antetokounmpo enters the game for J. Henson
9:35.0,,,77-83,,Personal foul by G. Antetokounmpo (drawn by N. Bjelica)
9:25.0,S. Muhammad misses 2-pt shot from 7 ft,,77-83,,
9:23.0,,,77-83,,Defensive rebound by K. Middleton
9:20.0,,,77-85,2,R. Vaughn makes 2-pt shot at rim (assist by K. Middleton)
9:03.0,Shooting foul by G. Antetokounmpo (drawn by K. Towns),,77-85,,
9:03.0,K. Towns makes free throw 1 of 2,1,78-85,,
9:03.0,K. Towns makes free throw 2 of 2,1,79-85,,
8:41.0,,,79-85,,R. Vaughn misses 2-pt shot from 11 ft
8:40.0,Defensive rebound by N. Bjelica,,79-85,,
8:17.0,R. Rubio misses 2-pt shot from 20 ft,,79-85,,
8:16.0,,,79-85,,Defensive rebound by K. Middleton
8:06.0,,,79-87,2,G. Monroe makes 2-pt shot at rim (assist by R. Vaughn)
7:44.0,R. Rubio misses 2-pt shot from 1 ft,,79-87,,
7:43.0,,,79-87,,Defensive rebound by G. Antetokounmpo
7:43.0,Personal block foul by K. Towns (drawn by G. Antetokounmpo),,79-87,,
7:43.0,A. Wiggins enters the game for T. Jones,,79-87,,
7:28.0,,,79-87,,Turnover by K. Middleton (bad pass; steal by A. Wiggins)
7:14.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,81-87,,
6:46.0,Personal foul by K. Towns (drawn by G. Monroe),,81-87,,
6:29.0,,,81-87,,Turnover by Team (shot clock)
6:10.0,R. Rubio makes 2-pt shot from 13 ft (assist by N. Bjelica),2,83-87,,
5:47.0,,,83-89,2,R. Vaughn makes 2-pt shot from 1 ft
5:31.0,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio),3,86-89,,
5:16.0,,,86-89,,Shooting foul by N. Bjelica (drawn by G. Antetokounmpo)
5:16.0,Official timeout,,86-89,,
5:16.0,,,86-90,1,G. Antetokounmpo makes free throw 1 of 2
5:16.0,,,86-91,1,G. Antetokounmpo makes free throw 2 of 2
5:16.0,B. Rush enters the game for S. Muhammad,,86-89,,
4:59.0,R. Rubio makes 2-pt shot from 16 ft,2,88-91,,
4:34.0,,,88-93,2,R. Vaughn makes 2-pt shot from 1 ft (assist by G. Monroe)
4:21.0,,,88-93,,Personal block foul by R. Vaughn (drawn by R. Rubio)
4:21.0,R. Rubio misses free throw 1 of 2,,88-93,,
4:21.0,Offensive rebound by Team,,88-93,,
4:21.0,R. Rubio makes free throw 2 of 2,1,89-93,,
4:21.0,,,88-93,,M. Dellavedova enters the game for R. Vaughn
4:10.0,,,89-93,,Offensive charge foul by G. Antetokounmpo
4:10.0,,,89-93,,Turnover by G. Antetokounmpo (offensive foul)
3:54.0,A. Wiggins misses 2-pt shot from 6 ft,,89-93,,
3:52.0,,,89-93,,Defensive rebound by G. Antetokounmpo
3:42.0,,,89-95,2,K. Middleton makes 2-pt shot from 7 ft (assist by G. Antetokounmpo)
3:27.0,R. Rubio makes 2-pt shot at rim,2,91-95,,
2:59.0,,,91-95,,G. Antetokounmpo misses 2-pt shot from 11 ft
2:59.0,,,91-95,,Offensive rebound by Team
2:59.0,,,91-95,,Turnover by Team (shot clock)
2:59.0,,,91-95,,Milwaukee full timeout
2:59.0,,,91-95,,T. Snell enters the game for J. Terry
2:49.0,R. Rubio makes 2-pt shot from 13 ft,2,93-95,,
2:36.0,Personal foul by N. Bjelica (drawn by G. Antetokounmpo),,93-95,,
2:36.0,,,93-96,1,G. Antetokounmpo makes free throw 1 of 2
2:36.0,,,93-97,1,G. Antetokounmpo makes free throw 2 of 2
2:19.0,R. Rubio misses 2-pt shot from 5 ft (block by G. Antetokounmpo),,93-97,,
2:16.0,,,93-97,,Defensive rebound by T. Snell
1:56.0,,,93-97,,Turnover by Team (shot clock)
1:42.0,B. Rush misses 2-pt shot from 8 ft,,93-97,,
1:41.0,,,93-97,,Defensive rebound by K. Middleton
1:30.0,,,93-97,,Turnover by G. Monroe (bad pass)
1:14.0,Turnover by K. Towns (bad pass; steal by G. Monroe),,93-97,,
0:59.0,,,93-97,,G. Antetokounmpo misses 2-pt shot from 1 ft
0:58.0,Defensive rebound by Team,,93-97,,
0:58.0,Minnesota full timeout,,93-97,,
0:49.0,A. Wiggins misses 2-pt shot from 15 ft,,93-97,,
0:48.0,Offensive rebound by N. Bjelica,,93-97,,
0:46.0,N. Bjelica misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,93-97,,
0:44.0,,,93-97,,Defensive rebound by M. Dellavedova
