time,Orlando,pts.away,score,pts.home,Phoenix
5:23.0,,,13-12,,Defensive rebound by M. Chriss
5:17.0,,,13-12,,M. Chriss misses 2-pt shot from 1 ft
5:17.0,,,13-12,,Offensive rebound by A. Len
5:15.0,,,13-14,2,A. Len makes 2-pt shot from 1 ft
5:10.0,E. Payton misses 2-pt shot from 2 ft,,13-14,,
5:10.0,Offensive rebound by Team,,13-14,,
5:10.0,,,13-14,,Loose ball foul by D. Booker (drawn by E. Payton)
5:10.0,,,13-14,,Phoenix full timeout
5:10.0,,,13-14,,A. Williams enters the game for A. Len
5:05.0,Offensive foul by T. Ross,,13-14,,
5:05.0,Turnover by T. Ross (offensive foul),,13-14,,
4:54.0,,,13-14,,T. Warren misses 2-pt shot from 16 ft
4:52.0,Defensive rebound by N. Vucevic,,13-14,,
4:44.0,N. Vucevic misses 2-pt shot from 4 ft (block by M. Chriss),,13-14,,
4:43.0,,,13-14,,Defensive rebound by T. Ulis
4:37.0,,,13-14,,A. Williams misses 2-pt shot from 3 ft
4:35.0,Defensive rebound by E. Payton,,13-14,,
4:31.0,,,13-14,,Shooting block foul by M. Chriss (drawn by E. Payton)
4:31.0,E. Payton makes free throw 1 of 2,1,14-14,,
4:31.0,E. Payton makes free throw 2 of 2,1,15-14,,
4:31.0,,,14-14,,J. Dudley enters the game for M. Chriss
4:31.0,M. Hezonja enters the game for T. Ross,,14-14,,
4:11.0,,,15-14,,Turnover by D. Booker (bad pass; steal by M. Hezonja)
4:05.0,M. Hezonja makes 2-pt shot from 1 ft,2,17-14,,
3:53.0,,,17-14,,Turnover by T. Ulis (bad pass; steal by N. Vucevic)
3:47.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,19-14,,
3:44.0,,,19-14,,Phoenix full timeout
3:44.0,,,19-14,,R. Price enters the game for T. Ulis
3:32.0,,,19-14,,D. Booker misses 2-pt shot from 20 ft
3:30.0,Defensive rebound by M. Hezonja,,19-14,,
3:22.0,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton),2,21-14,,
3:09.0,,,21-14,,Turnover by T. Warren (bad pass; steal by E. Fournier)
3:06.0,Shooting foul by A. Williams (drawn by M. Hezonja),,21-14,,
3:06.0,M. Hezonja misses free throw 1 of 2,,21-14,,
3:06.0,Offensive rebound by Team,,21-14,,
3:06.0,M. Hezonja makes free throw 2 of 2,1,22-14,,
3:06.0,D. Augustin enters the game for E. Payton,,21-14,,
3:06.0,J. Green enters the game for A. Gordon,,21-14,,
2:48.0,,,22-14,,J. Dudley misses 3-pt shot from 28 ft
2:48.0,,,22-14,,Offensive rebound by Team
2:48.0,Loose ball foul by N. Vucevic (drawn by A. Williams),,22-14,,
2:48.0,Orlando full timeout,,22-14,,
2:44.0,Personal foul by E. Fournier (drawn by D. Booker),,22-14,,
2:38.0,Violation by N. Vucevic (kicked ball),,22-14,,
2:24.0,,,22-14,,T. Warren misses 2-pt shot from 20 ft
2:23.0,Defensive rebound by N. Vucevic,,22-14,,
2:10.0,E. Fournier makes 3-pt shot from 24 ft (assist by J. Green),3,25-14,,
1:53.0,,,25-14,,Turnover by D. Booker (bad pass; steal by M. Hezonja)
1:48.0,E. Fournier makes 3-pt shot from 24 ft (assist by M. Hezonja),3,28-14,,
1:30.0,,,28-16,2,J. Dudley makes 2-pt shot from 20 ft (assist by A. Williams)
1:14.0,E. Fournier misses 3-pt shot from 24 ft,,28-16,,
1:13.0,Offensive rebound by J. Green,,28-16,,
1:11.0,J. Green misses 2-pt shot from 2 ft,,28-16,,
1:09.0,,,28-16,,Defensive rebound by A. Williams
1:05.0,Shooting block foul by D. Augustin,,28-16,,
1:05.0,,,28-17,1,T. Warren makes free throw 1 of 2
1:05.0,,,28-18,1,T. Warren makes free throw 2 of 2
1:05.0,B. Biyombo enters the game for N. Vucevic,,28-17,,
0:52.0,E. Fournier misses 3-pt shot from 25 ft,,28-18,,
0:52.0,,,28-18,,Defensive rebound by R. Price
0:45.0,,,28-20,2,A. Williams makes 2-pt shot from 4 ft (assist by R. Price)
0:45.0,,,28-20,,Shooting foul by B. Biyombo (drawn by A. Williams)
0:45.0,,,28-20,,A. Williams misses free throw 1 of 1
0:45.0,Defensive rebound by J. Green,,28-20,,
0:31.0,D. Augustin makes 2-pt shot from 20 ft,2,30-20,,
0:10.0,,,30-20,,Shooting foul by B. Biyombo
0:10.0,,,30-21,1,T. Warren makes free throw 1 of 2
0:10.0,,,30-22,1,T. Warren makes free throw 2 of 2
0:01.0,M. Hezonja misses 2-pt shot from 8 ft,,30-22,,
0:00.0,,,30-22,,Defensive rebound by D. Booker
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Jump ball: B. Biyombo vs. J. Dudley (C. Watson gains possession),,,,Jump ball: B. Biyombo vs. J. Dudley (C. Watson gains possession)
11:34.0,J. Green misses 2-pt shot from 20 ft,,30-22,,
11:34.0,,,30-22,,Defensive rebound by R. Price
11:26.0,,,30-22,,Offensive charge foul by A. Williams
11:26.0,,,30-22,,Turnover by A. Williams (offensive foul)
11:11.0,M. Hezonja misses 2-pt shot from 21 ft,,30-22,,
11:11.0,,,30-22,,Defensive rebound by A. Williams
11:03.0,,,30-22,,Shooting foul by J. Green (drawn by A. Williams)
11:03.0,,,30-23,1,A. Williams makes free throw 1 of 2
11:03.0,,,30-24,1,A. Williams makes free throw 2 of 2
10:49.0,J. Green misses 3-pt shot from 26 ft,,30-24,,
10:49.0,,,30-24,,Defensive rebound by A. Williams
10:37.0,,,30-26,2,T. Ulis makes 2-pt shot from 5 ft
10:20.0,D. Augustin misses 2-pt shot from 3 ft,,30-26,,
10:20.0,Offensive rebound by Team,,30-26,,
10:20.0,,,30-26,,Loose ball foul by J. Dudley (drawn by B. Biyombo)
10:20.0,,,30-26,,A. Len enters the game for A. Williams
10:15.0,Turnover by M. Hezonja (bad pass; steal by A. Len),,30-26,,
10:05.0,,,30-28,2,T. Ulis makes 2-pt shot from 19 ft (assist by R. Price)
9:43.0,B. Biyombo makes 2-pt shot from 9 ft (assist by C. Watson),2,32-28,,
9:32.0,Personal foul by D. Augustin (drawn by T. Ulis),,32-28,,
9:19.0,,,32-28,,A. Len misses 2-pt shot from 14 ft
9:18.0,Defensive rebound by J. Green,,32-28,,
9:06.0,J. Green misses 2-pt shot at rim,,32-28,,
9:04.0,,,32-28,,Defensive rebound by A. Len
8:56.0,,,32-28,,Shooting foul by J. Green (drawn by A. Len)
8:56.0,Official timeout,,32-28,,
8:56.0,,,32-29,1,A. Len makes free throw 1 of 2
8:56.0,,,32-30,1,A. Len makes free throw 2 of 2
8:34.0,J. Green misses 2-pt shot from 23 ft,,32-30,,
8:34.0,,,32-30,,Defensive rebound by J. Dudley
8:18.0,,,32-32,2,D. Jones makes 2-pt shot at rim (assist by T. Ulis)
8:01.0,M. Hezonja misses 2-pt shot from 16 ft,,32-32,,
8:00.0,,,32-32,,Defensive rebound by J. Dudley
7:51.0,,,32-32,,R. Price misses 3-pt shot from 26 ft
7:51.0,Defensive rebound by B. Biyombo,,32-32,,
7:40.0,J. Green makes 2-pt shot from 6 ft,2,34-32,,
7:30.0,Personal foul by D. Augustin (drawn by J. Dudley),,34-32,,
7:30.0,T. Ross enters the game for M. Hezonja,,34-32,,
7:30.0,E. Payton enters the game for D. Augustin,,34-32,,
7:30.0,A. Gordon enters the game for J. Green,,34-32,,
7:25.0,,,34-34,2,T. Ulis makes 2-pt shot from 1 ft
7:05.0,A. Gordon makes 2-pt shot from 12 ft,2,36-34,,
6:53.0,,,36-34,,A. Len misses 2-pt shot from 1 ft (block by A. Gordon)
6:52.0,Defensive rebound by A. Gordon,,36-34,,
6:47.0,A. Gordon makes 2-pt shot from 1 ft (assist by T. Ross),2,38-34,,
6:27.0,,,38-36,2,T. Ulis makes 2-pt shot from 15 ft
6:11.0,C. Watson makes 2-pt shot from 16 ft,2,40-36,,
6:02.0,Personal foul by E. Payton (drawn by T. Ulis),,40-36,,
6:02.0,,,40-37,1,T. Ulis makes free throw 1 of 2
6:02.0,,,40-38,1,T. Ulis makes free throw 2 of 2
6:02.0,,,40-37,,T. Warren enters the game for R. Price
5:51.0,C. Watson makes 2-pt shot from 18 ft (assist by B. Biyombo),2,42-38,,
5:32.0,,,42-38,,A. Len misses 2-pt shot from 11 ft
5:31.0,,,42-38,,Offensive rebound by D. Jones
5:30.0,,,42-40,2,D. Jones makes 2-pt shot from 1 ft
5:29.0,Orlando full timeout,,42-40,,
5:29.0,N. Vucevic enters the game for B. Biyombo,,42-40,,
5:29.0,E. Fournier enters the game for C. Watson,,42-40,,
5:10.0,N. Vucevic makes 2-pt shot from 19 ft (assist by T. Ross),2,44-40,,
4:56.0,,,44-40,,J. Dudley misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by E. Payton,,44-40,,
4:51.0,T. Ross makes 3-pt shot from 26 ft (assist by E. Payton),3,47-40,,
4:37.0,,,47-40,,T. Ulis misses 2-pt shot from 19 ft
4:36.0,Defensive rebound by N. Vucevic,,47-40,,
4:29.0,T. Ross makes 2-pt shot from 1 ft (assist by E. Payton),2,49-40,,
4:20.0,,,49-40,,T. Ulis misses 2-pt shot from 1 ft (block by A. Gordon)
4:18.0,,,49-40,,Offensive rebound by T. Ulis
4:13.0,,,49-40,,J. Dudley misses 3-pt shot from 24 ft
4:13.0,,,49-40,,Offensive rebound by D. Jones
4:10.0,,,49-42,2,D. Jones makes 2-pt shot from 2 ft
3:56.0,A. Gordon makes 3-pt shot from 26 ft (assist by E. Payton),3,52-42,,
3:49.0,,,52-42,,Phoenix full timeout
3:49.0,,,52-42,,M. Chriss enters the game for A. Len
3:49.0,,,52-42,,D. Booker enters the game for J. Dudley
3:49.0,,,52-42,,A. Williams enters the game for D. Jones
3:40.0,,,52-42,,Turnover by A. Williams (lost ball; steal by E. Payton)
3:36.0,E. Payton makes 2-pt shot from 1 ft,2,54-42,,
3:29.0,,,54-44,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
3:09.0,T. Ross misses 2-pt shot from 20 ft,,54-44,,
3:09.0,,,54-44,,Defensive rebound by M. Chriss
2:58.0,,,54-46,2,A. Williams makes 2-pt shot from 11 ft (assist by D. Booker)
2:45.0,N. Vucevic misses 2-pt shot from 11 ft,,54-46,,
2:44.0,,,54-46,,Defensive rebound by T. Ulis
2:22.0,,,54-48,2,M. Chriss makes 2-pt shot from 6 ft
2:04.0,A. Gordon misses 2-pt shot from 18 ft,,54-48,,
2:03.0,,,54-48,,Defensive rebound by A. Williams
1:55.0,,,54-48,,A. Williams misses 2-pt shot from 7 ft
1:54.0,Defensive rebound by N. Vucevic,,54-48,,
1:54.0,Turnover by N. Vucevic (lost ball),,54-48,,
1:49.0,,,54-50,2,T. Warren makes 2-pt shot from 14 ft
1:46.0,Orlando full timeout,,54-50,,
1:35.0,N. Vucevic misses 2-pt shot from 6 ft,,54-50,,
1:34.0,Offensive rebound by N. Vucevic,,54-50,,
1:34.0,N. Vucevic misses 2-pt shot from 4 ft,,54-50,,
1:33.0,,,54-50,,Defensive rebound by T. Ulis
1:28.0,,,54-52,2,A. Williams makes 2-pt shot from 2 ft (assist by T. Ulis)
1:20.0,E. Payton misses 2-pt shot from 1 ft (block by M. Chriss),,54-52,,
1:19.0,Offensive rebound by N. Vucevic,,54-52,,
1:17.0,N. Vucevic makes 2-pt shot from 1 ft,2,56-52,,
1:11.0,,,56-54,2,A. Williams makes 2-pt shot from 1 ft (assist by T. Ulis)
1:11.0,,,56-54,,Shooting foul by N. Vucevic (drawn by A. Williams)
1:11.0,,,56-54,,A. Williams misses free throw 1 of 1
1:11.0,,,56-54,,D. Jones enters the game for D. Booker
1:10.0,Defensive rebound by N. Vucevic,,56-54,,
0:56.0,E. Payton makes 2-pt shot from 1 ft,2,58-54,,
0:47.0,,,58-54,,T. Ulis misses 2-pt shot from 18 ft
0:46.0,,,58-54,,Offensive rebound by A. Williams
0:44.0,Personal foul by E. Payton (drawn by A. Williams),,58-54,,
0:44.0,,,58-55,1,A. Williams makes free throw 1 of 2
0:44.0,,,58-56,1,A. Williams makes free throw 2 of 2
0:44.0,C. Watson enters the game for E. Payton,,58-55,,
0:34.0,,,58-56,,Personal foul by A. Williams (drawn by N. Vucevic)
0:34.0,,,58-56,,A. Len enters the game for A. Williams
0:27.0,N. Vucevic makes 2-pt shot from 10 ft,2,60-56,,
0:05.0,,,60-58,2,T. Ulis makes 2-pt shot from 16 ft
0:01.0,E. Fournier misses 3-pt shot from 28 ft,,60-58,,
0:00.0,Offensive rebound by Team,,60-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,E. Payton misses 2-pt shot from 1 ft,,60-58,,
11:47.0,,,60-58,,Defensive rebound by A. Len
11:25.0,,,60-58,,T. Ulis misses 3-pt shot from 28 ft
11:24.0,,,60-58,,Offensive rebound by A. Len
11:23.0,Personal foul by T. Ross (drawn by A. Len),,60-58,,
11:18.0,,,60-60,2,M. Chriss makes 2-pt shot at rim (assist by T. Warren)
11:05.0,N. Vucevic misses 2-pt shot from 21 ft,,60-60,,
11:04.0,,,60-60,,Defensive rebound by D. Booker
10:55.0,,,60-60,,Turnover by A. Len (traveling)
10:42.0,E. Fournier misses 2-pt shot from 13 ft (block by T. Warren),,60-60,,
10:41.0,Offensive rebound by Team,,60-60,,
10:41.0,E. Fournier makes 2-pt shot at rim (assist by E. Payton),2,62-60,,
10:41.0,Shooting foul by T. Warren (drawn by E. Fournier),,62-60,,
10:41.0,E. Fournier makes free throw 1 of 1,1,63-60,,
10:24.0,,,63-60,,D. Booker misses 2-pt shot from 17 ft
10:23.0,,,63-60,,Offensive rebound by T. Warren
10:18.0,,,63-62,2,T. Warren makes 2-pt shot from 9 ft
10:03.0,N. Vucevic misses 2-pt shot from 18 ft,,63-62,,
10:02.0,,,63-62,,Defensive rebound by M. Chriss
9:56.0,,,63-64,2,T. Ulis makes 2-pt shot from 15 ft
9:48.0,E. Fournier misses 2-pt shot from 3 ft (block by M. Chriss),,63-64,,
9:47.0,Offensive rebound by Team,,63-64,,
9:45.0,Turnover by A. Gordon (bad pass; steal by D. Booker),,63-64,,
9:40.0,,,63-66,2,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker)
9:39.0,Orlando full timeout,,63-66,,
9:24.0,T. Ross makes 2-pt shot from 20 ft (assist by N. Vucevic),2,65-66,,
9:10.0,,,65-68,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
8:57.0,Offensive foul by T. Ross,,65-68,,
8:57.0,Turnover by T. Ross (offensive foul),,65-68,,
8:40.0,,,65-68,,D. Booker misses 2-pt shot from 5 ft
8:40.0,Defensive rebound by E. Fournier,,65-68,,
8:31.0,A. Gordon misses 3-pt shot from 24 ft,,65-68,,
8:30.0,Offensive rebound by Team,,65-68,,
8:30.0,,,65-68,,Loose ball foul by A. Len (drawn by N. Vucevic)
8:21.0,Turnover by E. Payton (bad pass; steal by T. Warren),,65-68,,
8:03.0,,,65-70,2,T. Warren makes 2-pt shot from 2 ft (assist by T. Ulis)
7:45.0,Shooting foul by M. Chriss (drawn by A. Gordon),,65-70,,
7:45.0,A. Gordon makes free throw 1 of 2,1,66-70,,
7:45.0,A. Gordon makes free throw 2 of 2,1,67-70,,
7:36.0,,,67-70,,Turnover by A. Len (offensive foul)
7:36.0,,,67-70,,Offensive foul by A. Len
7:21.0,Turnover by N. Vucevic (bad pass; steal by T. Ulis),,67-70,,
7:15.0,,,67-70,,D. Booker misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by A. Gordon,,67-70,,
7:06.0,A. Gordon misses 2-pt shot from 18 ft,,67-70,,
7:04.0,,,67-70,,Defensive rebound by D. Booker
6:56.0,,,67-70,,T. Warren misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by A. Gordon,,67-70,,
6:50.0,A. Gordon makes 2-pt shot from 1 ft,2,69-70,,
6:38.0,Personal foul by E. Fournier (drawn by D. Booker),,69-70,,
6:30.0,,,69-70,,D. Booker misses 2-pt shot from 17 ft
6:29.0,Defensive rebound by N. Vucevic,,69-70,,
6:17.0,A. Gordon misses 2-pt shot from 9 ft,,69-70,,
6:17.0,Offensive rebound by N. Vucevic,,69-70,,
6:17.0,,,69-70,,Loose ball foul by M. Chriss (drawn by N. Vucevic)
6:17.0,,,69-70,,J. Dudley enters the game for M. Chriss
6:07.0,N. Vucevic makes 2-pt shot from 7 ft (assist by E. Fournier),2,71-70,,
5:57.0,,,71-70,,T. Warren misses 2-pt shot from 10 ft
5:56.0,,,71-70,,Offensive rebound by A. Len
5:54.0,,,71-70,,A. Len misses 2-pt shot from 1 ft
5:52.0,Defensive rebound by N. Vucevic,,71-70,,
5:44.0,N. Vucevic misses 3-pt shot from 25 ft,,71-70,,
5:43.0,,,71-70,,Defensive rebound by J. Dudley
5:34.0,,,71-70,,T. Ulis misses 2-pt shot from 3 ft
5:33.0,,,71-70,,Offensive rebound by A. Len
5:31.0,,,71-72,2,A. Len makes 2-pt shot from 1 ft
5:16.0,E. Payton makes 2-pt shot from 4 ft,2,73-72,,
5:01.0,,,73-72,,Shooting foul by A. Gordon (drawn by D. Booker)
5:01.0,,,73-73,1,D. Booker makes free throw 1 of 2
5:01.0,,,73-74,1,D. Booker makes free throw 2 of 2
5:01.0,,,73-73,,A. Williams enters the game for A. Len
4:50.0,,,73-74,,Violation by T. Ulis (kicked ball)
4:50.0,,,73-74,,R. Price enters the game for D. Booker
4:40.0,T. Ross makes 2-pt shot from 21 ft (assist by N. Vucevic),2,75-74,,
4:22.0,,,75-76,2,T. Warren makes 2-pt shot from 2 ft
3:59.0,E. Fournier makes 2-pt shot from 6 ft,2,77-76,,
3:42.0,,,77-76,,Turnover by J. Dudley (bad pass; steal by N. Vucevic)
3:42.0,,,77-76,,Personal take foul by A. Williams (drawn by N. Vucevic)
3:42.0,N. Vucevic makes free throw 1 of 2,1,78-76,,
3:42.0,N. Vucevic makes free throw 2 of 2,1,79-76,,
3:42.0,,,78-76,,A. Len enters the game for A. Williams
3:42.0,,,78-76,,D. Booker enters the game for T. Ulis
3:42.0,M. Hezonja enters the game for T. Ross,,78-76,,
3:30.0,,,79-76,,Shooting foul by E. Payton (drawn by R. Price)
3:30.0,,,79-76,,R. Price misses free throw 1 of 2
3:30.0,,,79-76,,Offensive rebound by Team
3:30.0,,,79-77,1,R. Price makes free throw 2 of 2
3:30.0,D. Augustin enters the game for E. Payton,,79-76,,
3:13.0,E. Fournier misses 3-pt shot from 24 ft,,79-77,,
3:12.0,,,79-77,,Defensive rebound by T. Warren
3:01.0,,,79-77,,Shooting foul by M. Hezonja
3:01.0,,,79-78,1,T. Warren makes free throw 1 of 2
3:01.0,,,79-79,1,T. Warren makes free throw 2 of 2
2:49.0,Shooting foul by J. Dudley (drawn by E. Fournier),,79-79,,
2:49.0,,,79-79,,Phoenix full timeout
2:49.0,E. Fournier makes free throw 1 of 2,1,80-79,,
2:49.0,E. Fournier makes free throw 2 of 2,1,81-79,,
2:49.0,B. Biyombo enters the game for A. Gordon,,79-79,,
2:49.0,J. Green enters the game for N. Vucevic,,79-79,,
2:37.0,,,81-79,,J. Dudley misses 2-pt shot from 22 ft
2:36.0,Defensive rebound by E. Fournier,,81-79,,
2:14.0,J. Green misses 2-pt shot from 14 ft,,81-79,,
2:14.0,Offensive rebound by Team,,81-79,,
2:14.0,,,81-79,,Loose ball foul by J. Dudley (drawn by B. Biyombo)
2:14.0,B. Biyombo makes free throw 1 of 2,1,82-79,,
2:14.0,B. Biyombo makes free throw 2 of 2,1,83-79,,
2:03.0,,,83-81,2,D. Booker makes 2-pt shot from 11 ft
1:45.0,J. Green misses 3-pt shot from 24 ft,,83-81,,
1:44.0,,,83-81,,Defensive rebound by T. Warren
1:27.0,,,83-81,,D. Booker misses 2-pt shot from 14 ft
1:26.0,Defensive rebound by M. Hezonja,,83-81,,
1:12.0,J. Green misses 2-pt shot from 11 ft (block by A. Len),,83-81,,
1:11.0,Offensive rebound by J. Green,,83-81,,
1:09.0,Turnover by J. Green (lost ball; steal by T. Warren),,83-81,,
1:09.0,Personal foul by E. Fournier,,83-81,,
1:09.0,,,83-82,1,T. Warren makes free throw 1 of 2
1:09.0,,,83-83,1,T. Warren makes free throw 2 of 2
1:09.0,C. Watson enters the game for E. Fournier,,83-82,,
0:51.0,,,83-83,,Personal foul by R. Price (drawn by D. Augustin)
0:51.0,D. Augustin misses free throw 1 of 2,,83-83,,
0:51.0,Offensive rebound by Team,,83-83,,
0:51.0,D. Augustin makes free throw 2 of 2,1,84-83,,
0:40.0,,,84-83,,Shooting foul by C. Watson (drawn by D. Booker)
0:40.0,,,84-84,1,D. Booker makes free throw 1 of 2
0:40.0,,,84-85,1,D. Booker makes free throw 2 of 2
0:24.0,M. Hezonja misses 3-pt shot from 27 ft,,84-85,,
0:24.0,,,84-85,,Defensive rebound by A. Len
0:01.0,,,84-85,,D. Booker misses 2-pt shot from 17 ft
0:00.0,,,84-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,84-85,,A. Len misses 2-pt shot from 1 ft
11:48.0,Defensive rebound by J. Green,,84-85,,
11:32.0,D. Augustin misses 2-pt shot from 18 ft,,84-85,,
11:31.0,,,84-85,,Defensive rebound by J. Dudley
11:25.0,,,84-85,,D. Jones misses 2-pt shot from 2 ft
11:23.0,Defensive rebound by J. Green,,84-85,,
11:16.0,C. Watson misses 3-pt shot from 25 ft,,84-85,,
11:15.0,,,84-85,,Defensive rebound by A. Len
11:05.0,Personal foul by B. Biyombo (drawn by T. Ulis),,84-85,,
10:53.0,,,84-85,,D. Jones misses 2-pt shot from 12 ft
10:52.0,Defensive rebound by B. Biyombo,,84-85,,
10:37.0,D. Augustin makes 2-pt shot from 21 ft,2,86-85,,
10:26.0,,,86-85,,T. Ulis misses 2-pt shot from 14 ft
10:25.0,Defensive rebound by J. Green,,86-85,,
10:21.0,Turnover by D. Augustin (lost ball; steal by R. Price),,86-85,,
10:15.0,,,86-85,,D. Jones misses 2-pt shot from 1 ft
10:11.0,,,86-85,,Offensive rebound by R. Price
10:06.0,,,86-85,,R. Price misses 2-pt shot from 19 ft
10:05.0,Defensive rebound by B. Biyombo,,86-85,,
9:55.0,D. Augustin makes 2-pt shot from 18 ft,2,88-85,,
9:36.0,,,88-88,3,J. Dudley makes 3-pt shot from 26 ft (assist by A. Len)
9:11.0,D. Augustin makes 3-pt shot from 28 ft,3,91-88,,
8:47.0,,,91-88,,A. Len misses 2-pt shot from 10 ft
8:47.0,Defensive rebound by J. Green,,91-88,,
8:34.0,Shooting foul by A. Len (drawn by D. Augustin),,91-88,,
8:34.0,Official timeout,,91-88,,
8:34.0,D. Augustin makes free throw 1 of 2,1,92-88,,
8:34.0,D. Augustin makes free throw 2 of 2,1,93-88,,
8:34.0,,,91-88,,M. Chriss enters the game for A. Len
8:34.0,A. Gordon enters the game for M. Hezonja,,91-88,,
8:34.0,T. Ross enters the game for J. Green,,91-88,,
8:11.0,,,93-90,2,M. Chriss makes 2-pt shot from 2 ft
7:54.0,D. Augustin misses 3-pt shot from 26 ft,,93-90,,
7:54.0,,,93-90,,Defensive rebound by J. Dudley
7:41.0,,,93-90,,M. Chriss misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by D. Augustin,,93-90,,
7:27.0,T. Ross misses 3-pt shot from 27 ft,,93-90,,
7:26.0,,,93-90,,Defensive rebound by M. Chriss
7:13.0,,,93-90,,M. Chriss misses 2-pt shot from 17 ft
7:13.0,,,93-90,,Offensive rebound by J. Dudley
7:13.0,,,93-92,2,J. Dudley makes 2-pt shot from 1 ft
6:45.0,D. Augustin misses 2-pt shot from 18 ft,,93-92,,
6:45.0,Offensive rebound by Team,,93-92,,
6:45.0,Turnover by Team (shot clock),,93-92,,
6:45.0,E. Payton enters the game for D. Augustin,,93-92,,
6:45.0,E. Fournier enters the game for B. Biyombo,,93-92,,
