time,LA Clippers,pts.away,score,pts.home,Denver
6:53.0,Defensive rebound by M. Speights,,8-8,,
6:47.0,M. Speights makes 3-pt shot from 25 ft (assist by A. Rivers),3,11-8,,
6:29.0,,,11-10,2,G. Harris makes 2-pt shot from 1 ft
6:29.0,,,11-10,,Shooting foul by L. Mbah a Moute (drawn by G. Harris)
6:29.0,,,11-11,1,G. Harris makes free throw 1 of 1
6:14.0,Offensive foul by M. Speights,,11-11,,
6:14.0,Turnover by M. Speights (offensive foul),,11-11,,
6:02.0,,,11-11,,J. Hernangomez misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by J. Redick,,11-11,,
5:52.0,C. Paul misses 3-pt shot from 25 ft,,11-11,,
5:51.0,,,11-11,,Defensive rebound by J. Hernangomez
5:35.0,,,11-13,2,N. Jokic makes 2-pt shot from 4 ft
5:27.0,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul),2,13-13,,
5:11.0,,,13-15,2,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Jokic)
5:06.0,LA Clippers full timeout,,13-15,,
5:06.0,W. Johnson enters the game for L. Mbah a Moute,,13-15,,
5:06.0,B. Bass enters the game for M. Speights,,13-15,,
5:06.0,,,13-15,,W. Barton enters the game for J. Hernangomez
5:06.0,,,13-15,,J. Murray enters the game for G. Harris
4:51.0,C. Paul misses 2-pt shot from 17 ft,,13-15,,
4:49.0,,,13-15,,Defensive rebound by J. Murray
4:44.0,Personal foul by A. Rivers (drawn by M. Plumlee),,13-15,,
4:44.0,R. Felton enters the game for A. Rivers,,13-15,,
4:44.0,J. Crawford enters the game for J. Redick,,13-15,,
4:37.0,,,13-17,2,N. Jokic makes 2-pt shot from 4 ft (assist by J. Nelson)
4:13.0,W. Johnson misses 2-pt shot from 14 ft,,13-17,,
4:12.0,,,13-17,,Defensive rebound by N. Jokic
4:10.0,,,13-17,,Turnover by N. Jokic (bad pass)
4:01.0,B. Bass misses 2-pt shot from 3 ft,,13-17,,
4:00.0,,,13-17,,Defensive rebound by M. Plumlee
4:00.0,Personal foul by C. Paul (drawn by M. Plumlee),,13-17,,
4:00.0,,,13-17,,K. Faried enters the game for M. Plumlee
3:50.0,,,13-19,2,J. Murray makes 2-pt shot from 2 ft (assist by W. Barton)
3:29.0,R. Felton misses 2-pt shot from 20 ft,,13-19,,
3:28.0,,,13-19,,Defensive rebound by K. Faried
3:19.0,A. Anderson enters the game for C. Paul,,13-19,,
3:09.0,,,13-21,2,N. Jokic makes 2-pt shot from 3 ft (assist by J. Nelson)
2:51.0,J. Crawford misses 2-pt shot from 10 ft,,13-21,,
2:51.0,,,13-21,,Defensive rebound by N. Jokic
2:42.0,,,13-21,,N. Jokic misses 2-pt shot from 18 ft
2:41.0,,,13-21,,Offensive rebound by Team
2:41.0,Loose ball foul by A. Anderson (drawn by K. Faried),,13-21,,
2:41.0,,,13-21,,Denver full timeout
2:41.0,,,13-22,1,K. Faried makes free throw 1 of 2
2:41.0,,,13-23,1,K. Faried makes free throw 2 of 2
2:41.0,,,13-21,,M. Plumlee enters the game for N. Jokic
2:41.0,,,13-21,,G. Harris enters the game for J. Nelson
2:22.0,A. Anderson makes 3-pt shot from 25 ft (assist by W. Johnson),3,16-23,,
2:05.0,,,16-23,,W. Barton misses 2-pt shot from 3 ft (block by B. Bass)
2:00.0,,,16-23,,Offensive rebound by K. Faried
2:00.0,,,16-25,2,K. Faried makes 2-pt shot from 2 ft
1:44.0,W. Johnson makes 2-pt shot from 7 ft (assist by J. Crawford),2,18-25,,
1:26.0,,,18-25,,K. Faried misses 2-pt shot from 9 ft
1:24.0,Defensive rebound by R. Felton,,18-25,,
1:09.0,Turnover by J. Crawford (lost ball; steal by J. Murray),,18-25,,
1:03.0,,,18-25,,J. Murray misses 2-pt shot from 1 ft
1:01.0,,,18-25,,Offensive rebound by W. Barton
1:01.0,,,18-27,2,W. Barton makes 2-pt shot from 1 ft
0:44.0,R. Felton misses 2-pt shot from 2 ft (block by M. Plumlee),,18-27,,
0:43.0,,,18-27,,Defensive rebound by K. Faried
0:23.0,,,18-27,,K. Faried misses 2-pt shot from 6 ft
0:20.0,Defensive rebound by W. Johnson,,18-27,,
0:06.0,,,18-27,,Personal take foul by J. Murray (drawn by J. Crawford)
0:01.0,Shooting foul by K. Faried (drawn by B. Bass),,18-27,,
0:01.0,B. Bass misses free throw 1 of 2,,18-27,,
0:01.0,Offensive rebound by Team,,18-27,,
0:01.0,B. Bass makes free throw 2 of 2,1,19-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Crawford misses 2-pt shot from 2 ft,,19-27,,
11:43.0,,,19-27,,Defensive rebound by M. Plumlee
11:27.0,,,19-27,,J. Murray misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by J. Crawford,,19-27,,
11:18.0,B. Bass misses 2-pt shot from 2 ft (block by M. Plumlee),,19-27,,
11:16.0,Offensive rebound by B. Bass,,19-27,,
11:12.0,B. Bass makes 2-pt shot from 2 ft,2,21-27,,
10:59.0,,,21-30,3,W. Barton makes 3-pt shot from 26 ft (assist by G. Harris)
10:46.0,J. Crawford misses 2-pt shot from 19 ft,,21-30,,
10:46.0,,,21-30,,Defensive rebound by W. Barton
10:27.0,,,21-30,,J. Murray misses 3-pt shot from 24 ft
10:26.0,,,21-30,,Offensive rebound by K. Faried
10:22.0,,,21-30,,K. Faried misses 2-pt shot from 8 ft (block by J. Crawford)
10:20.0,Defensive rebound by J. Crawford,,21-30,,
10:07.0,B. Bass makes 2-pt shot from 12 ft,2,23-30,,
9:55.0,,,23-33,3,W. Barton makes 3-pt shot from 26 ft (assist by M. Plumlee)
9:39.0,W. Johnson misses 3-pt shot from 24 ft,,23-33,,
9:38.0,,,23-33,,Defensive rebound by M. Plumlee
9:29.0,,,23-35,2,M. Plumlee makes 2-pt shot at rim (assist by K. Faried)
9:29.0,LA Clippers full timeout,,23-35,,
9:29.0,J. Redick enters the game for W. Johnson,,23-35,,
9:29.0,M. Speights enters the game for R. Felton,,23-35,,
9:29.0,A. Rivers enters the game for A. Anderson,,23-35,,
9:29.0,,,23-35,,J. Hernangomez enters the game for K. Faried
9:06.0,J. Crawford makes 3-pt shot from 25 ft,3,26-35,,
8:54.0,,,26-35,,Shooting foul by M. Speights (drawn by G. Harris)
8:54.0,,,26-36,1,G. Harris makes free throw 1 of 2
8:54.0,,,26-37,1,G. Harris makes free throw 2 of 2
8:54.0,C. Paul enters the game for M. Speights,,26-36,,
8:54.0,P. Pierce enters the game for J. Crawford,,26-36,,
8:37.0,P. Pierce misses 3-pt shot from 25 ft,,26-37,,
8:36.0,,,26-37,,Defensive rebound by J. Hernangomez
8:31.0,,,26-40,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Hernangomez)
8:09.0,Turnover by C. Paul (bad pass; steal by J. Murray),,26-40,,
8:03.0,,,26-40,,W. Barton misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by A. Rivers,,26-40,,
7:52.0,J. Redick makes 2-pt shot from 20 ft,2,28-40,,
7:36.0,,,28-43,3,J. Hernangomez makes 3-pt shot from 23 ft (assist by W. Barton)
7:08.0,P. Pierce misses 2-pt shot from 20 ft,,28-43,,
7:07.0,,,28-43,,Defensive rebound by J. Murray
6:56.0,,,28-43,,W. Barton misses 2-pt shot from 17 ft
6:55.0,,,28-43,,Offensive rebound by W. Barton
6:46.0,,,28-43,,J. Hernangomez misses 2-pt shot from 8 ft
6:45.0,Defensive rebound by B. Bass,,28-43,,
6:36.0,C. Paul makes 2-pt shot from 3 ft,2,30-43,,
6:21.0,,,30-43,,J. Murray misses 2-pt shot from 3 ft
6:18.0,Defensive rebound by P. Pierce,,30-43,,
6:16.0,Turnover by P. Pierce (bad pass; steal by J. Murray),,30-43,,
6:12.0,,,30-43,,J. Murray misses 2-pt shot from 8 ft
6:11.0,,,30-43,,Offensive rebound by J. Murray
6:11.0,,,30-45,2,J. Murray makes 2-pt shot from 2 ft
5:46.0,A. Rivers makes 3-pt shot from 26 ft (assist by C. Paul),3,33-45,,
5:36.0,,,33-47,2,W. Barton makes 2-pt shot from 2 ft
5:14.0,A. Rivers makes 2-pt shot from 8 ft,2,35-47,,
4:55.0,,,35-49,2,M. Plumlee makes 2-pt shot from 3 ft (assist by G. Harris)
4:32.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,38-49,,
4:32.0,,,38-49,,Denver full timeout
4:32.0,L. Mbah a Moute enters the game for B. Bass,,38-49,,
4:32.0,,,38-49,,N. Jokic enters the game for M. Plumlee
4:32.0,,,38-49,,J. Nelson enters the game for J. Murray
4:12.0,,,38-49,,Turnover by J. Nelson (bad pass; steal by J. Redick)
4:06.0,C. Paul makes 2-pt shot from 2 ft,2,40-49,,
3:46.0,,,40-49,,W. Barton misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by L. Mbah a Moute,,40-49,,
3:31.0,J. Redick makes 2-pt shot from 4 ft,2,42-49,,
3:20.0,,,42-49,,Shooting foul by L. Mbah a Moute (drawn by G. Harris)
3:20.0,,,42-50,1,G. Harris makes free throw 1 of 2
3:20.0,,,42-51,1,G. Harris makes free throw 2 of 2
3:03.0,A. Rivers makes 2-pt shot from 3 ft (assist by C. Paul),2,44-51,,
2:50.0,,,44-51,,G. Harris misses 2-pt shot from 2 ft
2:49.0,Defensive rebound by J. Redick,,44-51,,
2:36.0,J. Redick misses 3-pt shot from 23 ft,,44-51,,
2:36.0,,,44-51,,Defensive rebound by N. Jokic
2:31.0,,,44-54,3,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic)
2:08.0,C. Paul makes 2-pt shot from 20 ft,2,46-54,,
2:00.0,,,46-54,,Turnover by J. Nelson (bad pass)
2:00.0,Official timeout,,46-54,,
1:50.0,C. Paul misses 2-pt shot from 17 ft,,46-54,,
1:49.0,Offensive rebound by Team,,46-54,,
1:49.0,,,46-54,,Loose ball foul by G. Harris (drawn by L. Mbah a Moute)
1:36.0,P. Pierce misses 3-pt shot from 24 ft,,46-54,,
1:35.0,,,46-54,,Defensive rebound by G. Harris
1:23.0,,,46-54,,N. Jokic misses 2-pt shot from 13 ft
1:21.0,Defensive rebound by P. Pierce,,46-54,,
1:12.0,J. Redick misses 3-pt shot from 24 ft,,46-54,,
1:11.0,,,46-54,,Defensive rebound by N. Jokic
1:00.0,,,46-56,2,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic)
0:43.0,L. Mbah a Moute misses 2-pt shot from 17 ft,,46-56,,
0:42.0,,,46-56,,Defensive rebound by J. Hernangomez
0:32.0,,,46-56,,N. Jokic misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by J. Redick,,46-56,,
0:25.0,LA Clippers full timeout,,46-56,,
0:25.0,J. Crawford enters the game for P. Pierce,,46-56,,
0:08.0,A. Rivers misses 3-pt shot from 25 ft,,46-56,,
0:07.0,,,46-56,,Defensive rebound by W. Barton
0:05.0,Personal take foul by C. Paul (drawn by W. Barton),,46-56,,
0:05.0,,,46-56,,Denver full timeout
0:05.0,B. Bass enters the game for L. Mbah a Moute,,46-56,,
0:05.0,W. Johnson enters the game for J. Crawford,,46-56,,
0:02.0,,,46-59,3,J. Nelson makes 3-pt shot from 26 ft (assist by N. Jokic)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Speights makes 3-pt shot from 26 ft (assist by C. Paul),3,49-59,,
11:28.0,,,49-61,2,J. Nelson makes 2-pt shot from 15 ft (assist by N. Jokic)
11:10.0,M. Speights misses 2-pt shot from 17 ft,,49-61,,
11:09.0,,,49-61,,Defensive rebound by N. Jokic
11:02.0,,,49-61,,J. Hernangomez misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by L. Mbah a Moute,,49-61,,
10:53.0,C. Paul makes 3-pt shot from 24 ft (assist by J. Redick),3,52-61,,
10:32.0,,,52-61,,J. Nelson misses 2-pt shot from 20 ft
10:30.0,Defensive rebound by J. Redick,,52-61,,
10:11.0,A. Rivers makes 3-pt shot from 23 ft (assist by C. Paul),3,55-61,,
10:11.0,,,55-61,,Denver full timeout
9:54.0,,,55-61,,Shooting foul by A. Rivers
9:54.0,,,55-62,1,J. Hernangomez makes free throw 1 of 2
9:54.0,,,55-63,1,J. Hernangomez makes free throw 2 of 2
9:44.0,C. Paul misses 2-pt shot from 16 ft,,55-63,,
9:43.0,,,55-63,,Defensive rebound by M. Plumlee
9:37.0,,,55-65,2,G. Harris makes 2-pt shot from 2 ft (assist by M. Plumlee)
9:24.0,J. Redick makes 2-pt shot from 21 ft (assist by M. Speights),2,57-65,,
9:08.0,,,57-65,,Shooting foul by C. Paul (drawn by N. Jokic)
9:08.0,,,57-66,1,N. Jokic makes free throw 1 of 2
9:08.0,,,57-67,1,N. Jokic makes free throw 2 of 2
8:49.0,A. Rivers misses 3-pt shot from 25 ft,,57-67,,
8:48.0,Offensive rebound by L. Mbah a Moute,,57-67,,
8:44.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,60-67,,
8:24.0,,,60-70,3,G. Harris makes 3-pt shot from 24 ft (assist by M. Plumlee)
8:07.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,60-70,,
8:06.0,,,60-70,,Defensive rebound by N. Jokic
7:59.0,,,60-73,3,J. Nelson makes 3-pt shot from 25 ft (assist by N. Jokic)
7:59.0,LA Clippers full timeout,,60-73,,
7:46.0,Turnover by J. Redick (lost ball; steal by J. Hernangomez),,60-73,,
7:45.0,Personal take foul by J. Redick,,60-73,,
7:28.0,,,60-73,,G. Harris misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by L. Mbah a Moute,,60-73,,
7:21.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,60-73,,
7:20.0,Offensive rebound by M. Speights,,60-73,,
7:17.0,M. Speights makes 2-pt shot from 2 ft,2,62-73,,
7:14.0,,,62-73,,K. Faried enters the game for M. Plumlee
7:03.0,,,62-73,,Shooting foul by C. Paul (drawn by J. Nelson)
7:03.0,,,62-74,1,J. Nelson makes free throw 1 of 2
7:03.0,,,62-75,1,J. Nelson makes free throw 2 of 2
7:03.0,R. Felton enters the game for C. Paul,,62-74,,
6:59.0,,,62-75,,Personal foul by N. Jokic (drawn by L. Mbah a Moute)
6:52.0,J. Redick makes 3-pt shot from 26 ft (assist by L. Mbah a Moute),3,65-75,,
6:34.0,,,65-77,2,N. Jokic makes 2-pt shot from 7 ft
6:30.0,A. Rivers makes 2-pt shot from 3 ft,2,67-77,,
6:30.0,Shooting foul by J. Hernangomez (drawn by A. Rivers),,67-77,,
6:30.0,A. Rivers misses free throw 1 of 1,,67-77,,
6:30.0,,,67-77,,W. Barton enters the game for J. Hernangomez
6:28.0,,,67-77,,Defensive rebound by K. Faried
6:15.0,,,67-79,2,K. Faried makes 2-pt shot from 3 ft
6:15.0,,,67-79,,Shooting foul by M. Speights (drawn by K. Faried)
6:15.0,,,67-79,,K. Faried misses free throw 1 of 1
6:13.0,Defensive rebound by M. Speights,,67-79,,
5:52.0,A. Rivers misses 3-pt shot from 24 ft,,67-79,,
5:51.0,,,67-79,,Defensive rebound by G. Harris
5:41.0,,,67-79,,Turnover by J. Nelson (bad pass)
5:41.0,J. Crawford enters the game for J. Redick,,67-79,,
5:30.0,M. Speights misses 3-pt shot from 24 ft,,67-79,,
5:29.0,,,67-79,,Defensive rebound by N. Jokic
5:10.0,,,67-79,,N. Jokic misses 2-pt shot from 3 ft (block by L. Mbah a Moute)
5:09.0,,,67-79,,Offensive rebound by N. Jokic
5:04.0,,,67-81,2,K. Faried makes 2-pt shot from 9 ft (assist by N. Jokic)
4:50.0,J. Crawford misses 2-pt shot from 17 ft,,67-81,,
4:48.0,Offensive rebound by L. Mbah a Moute,,67-81,,
4:39.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by J. Crawford),3,70-81,,
4:27.0,,,70-81,,K. Faried misses 2-pt shot from 19 ft
4:26.0,,,70-81,,Offensive rebound by N. Jokic
4:26.0,,,70-83,2,N. Jokic makes 2-pt shot from 3 ft
4:26.0,,,70-83,,Shooting foul by A. Rivers (drawn by N. Jokic)
4:26.0,,,70-84,1,N. Jokic makes free throw 1 of 1
4:26.0,W. Johnson enters the game for M. Speights,,70-83,,
4:26.0,,,70-83,,J. Murray enters the game for G. Harris
4:11.0,A. Rivers makes 2-pt shot from 2 ft,2,72-84,,
3:59.0,,,72-86,2,K. Faried makes 2-pt shot from 6 ft (assist by N. Jokic)
3:45.0,Turnover by R. Felton (bad pass),,72-86,,
3:45.0,,,72-86,,M. Plumlee enters the game for N. Jokic
3:34.0,,,72-88,2,W. Barton makes 2-pt shot at rim (assist by J. Nelson)
3:19.0,Technical foul by J. Crawford,,72-88,,
3:19.0,,,72-89,1,J. Murray makes technical free throw
3:19.0,B. Bass enters the game for L. Mbah a Moute,,72-89,,
3:09.0,W. Johnson misses 3-pt shot from 25 ft,,72-89,,
3:08.0,,,72-89,,Defensive rebound by K. Faried
2:55.0,,,72-89,,J. Murray misses 2-pt shot from 7 ft
2:53.0,,,72-89,,Offensive rebound by M. Plumlee
2:53.0,,,72-91,2,M. Plumlee makes 2-pt shot at rim
2:53.0,LA Clippers full timeout,,72-91,,
2:39.0,,,72-91,,Loose ball foul by M. Plumlee (drawn by J. Crawford)
2:33.0,Shooting foul by M. Plumlee (drawn by R. Felton),,72-91,,
2:33.0,R. Felton makes free throw 1 of 2,1,73-91,,
2:33.0,R. Felton makes free throw 2 of 2,1,74-91,,
2:14.0,,,74-91,,Turnover by M. Plumlee (3 sec)
2:01.0,W. Johnson makes 3-pt shot from 25 ft (assist by R. Felton),3,77-91,,
1:34.0,,,77-94,3,J. Murray makes 3-pt shot from 26 ft
1:21.0,W. Johnson misses 3-pt shot from 25 ft,,77-94,,
1:20.0,,,77-94,,Defensive rebound by W. Barton
1:12.0,,,77-94,,J. Murray misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by J. Crawford,,77-94,,
1:03.0,J. Crawford misses 3-pt shot from 26 ft,,77-94,,
1:02.0,,,77-94,,Defensive rebound by M. Plumlee
0:56.0,,,77-97,3,W. Barton makes 3-pt shot from 25 ft (assist by M. Plumlee)
0:41.0,A. Rivers makes 3-pt shot from 25 ft (assist by R. Felton),3,80-97,,
0:29.0,,,80-100,3,W. Barton makes 3-pt shot from 27 ft (assist by J. Nelson)
0:18.0,A. Rivers misses 2-pt shot from 3 ft,,80-100,,
0:17.0,,,80-100,,Defensive rebound by J. Murray
0:02.0,,,80-100,,Shooting foul by W. Johnson (drawn by W. Barton)
0:02.0,,,80-101,1,W. Barton makes free throw 1 of 3
0:02.0,,,80-102,1,W. Barton makes free throw 2 of 3
0:02.0,,,80-103,1,W. Barton makes free throw 3 of 3
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,80-105,2,J. Murray makes 2-pt shot from 2 ft (assist by G. Harris)
11:34.0,Shooting foul by J. Murray (drawn by R. Felton),,80-105,,
11:34.0,R. Felton makes free throw 1 of 2,1,81-105,,
11:34.0,R. Felton misses free throw 2 of 2,,81-105,,
11:34.0,P. Pierce enters the game for W. Johnson,,81-105,,
11:32.0,,,81-105,,Defensive rebound by N. Jokic
11:15.0,,,81-105,,Turnover by W. Barton (traveling)
11:15.0,A. Anderson enters the game for R. Felton,,81-105,,
11:05.0,B. Bass makes 2-pt shot at rim (assist by C. Paul),2,83-105,,
11:05.0,Shooting foul by G. Harris (drawn by B. Bass),,83-105,,
11:05.0,B. Bass makes free throw 1 of 1,1,84-105,,
10:46.0,,,84-105,,J. Murray misses 2-pt shot from 7 ft
10:45.0,,,84-105,,Offensive rebound by N. Jokic
10:44.0,,,84-105,,N. Jokic misses 2-pt shot from 2 ft
10:42.0,,,84-105,,Offensive rebound by J. Hernangomez
10:42.0,,,84-107,2,J. Hernangomez makes 2-pt shot from 2 ft
10:17.0,B. Bass makes 2-pt shot from 2 ft (assist by J. Crawford),2,86-107,,
10:11.0,,,86-107,,Turnover by N. Jokic (bad pass; steal by B. Bass)
10:02.0,A. Anderson makes 2-pt shot from 2 ft,2,88-107,,
10:02.0,,,88-107,,Denver full timeout
9:51.0,,,88-107,,Shooting foul by A. Anderson (drawn by W. Barton)
9:51.0,,,88-108,1,W. Barton makes free throw 1 of 2
9:51.0,,,88-108,,W. Barton misses free throw 2 of 2
9:49.0,Defensive rebound by P. Pierce,,88-108,,
9:29.0,P. Pierce misses 3-pt shot from 23 ft,,88-108,,
9:28.0,,,88-108,,Defensive rebound by N. Jokic
9:17.0,,,88-108,,G. Harris misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by B. Bass,,88-108,,
9:05.0,B. Bass makes 2-pt shot at rim (assist by C. Paul),2,90-108,,
8:43.0,,,90-108,,W. Barton misses 2-pt shot from 16 ft
8:42.0,Defensive rebound by P. Pierce,,90-108,,
8:41.0,,,90-108,,Personal foul by N. Jokic (drawn by P. Pierce)
8:22.0,A. Anderson makes 2-pt shot from 2 ft,2,92-108,,
8:13.0,,,92-108,,Turnover by J. Hernangomez (lost ball; steal by C. Paul)
8:04.0,B. Bass makes 2-pt shot from 17 ft (assist by C. Paul),2,94-108,,
8:04.0,,,94-108,,Denver full timeout
8:04.0,,,94-108,,K. Faried enters the game for J. Hernangomez
8:04.0,,,94-108,,J. Nelson enters the game for J. Murray
7:44.0,Personal foul by C. Paul (drawn by J. Nelson),,94-108,,
7:44.0,,,94-109,1,J. Nelson makes free throw 1 of 3
7:44.0,,,94-110,1,J. Nelson makes free throw 2 of 3
7:44.0,,,94-111,1,J. Nelson makes free throw 3 of 3
7:28.0,P. Pierce makes 2-pt shot from 11 ft (assist by C. Paul),2,96-111,,
7:13.0,,,96-114,3,G. Harris makes 3-pt shot from 23 ft (assist by J. Nelson)
7:01.0,P. Pierce makes 3-pt shot from 26 ft (assist by C. Paul),3,99-114,,
6:31.0,,,99-114,,J. Nelson misses 2-pt shot from 7 ft
6:28.0,Defensive rebound by C. Paul,,99-114,,
6:20.0,P. Pierce misses 3-pt shot from 25 ft,,99-114,,
6:19.0,,,99-114,,Defensive rebound by N. Jokic
6:08.0,,,99-116,2,K. Faried makes 2-pt shot from 5 ft (assist by W. Barton)
5:46.0,C. Paul makes 2-pt shot from 14 ft,2,101-116,,
5:29.0,,,101-118,2,N. Jokic makes 2-pt shot from 3 ft (assist by G. Harris)
5:14.0,C. Paul makes 3-pt shot from 25 ft,3,104-118,,
4:49.0,,,104-121,3,J. Nelson makes 3-pt shot from 30 ft (assist by N. Jokic)
4:25.0,Shooting foul by W. Barton (drawn by B. Bass),,104-121,,
4:25.0,B. Bass misses free throw 1 of 2,,104-121,,
4:25.0,Offensive rebound by Team,,104-121,,
4:25.0,B. Bass makes free throw 2 of 2,1,105-121,,
4:25.0,J. Redick enters the game for C. Paul,,104-121,,
4:25.0,A. Rivers enters the game for J. Crawford,,104-121,,
4:07.0,,,105-124,3,W. Barton makes 3-pt shot from 25 ft
3:51.0,,,105-124,,Personal foul by G. Harris (drawn by A. Anderson)
3:51.0,A. Anderson makes free throw 1 of 3,1,106-124,,
3:51.0,A. Anderson misses free throw 2 of 3,,106-124,,
3:51.0,Offensive rebound by Team,,106-124,,
3:51.0,A. Anderson makes free throw 3 of 3,1,107-124,,
3:51.0,,,106-124,,J. Murray enters the game for K. Faried
3:42.0,,,107-124,,J. Murray misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by Team,,107-124,,
3:41.0,LA Clippers full timeout,,107-124,,
3:41.0,B. Johnson enters the game for B. Bass,,107-124,,
3:41.0,J. Crawford enters the game for P. Pierce,,107-124,,
3:41.0,,,107-124,,M. Plumlee enters the game for N. Jokic
3:22.0,B. Johnson misses 2-pt shot from 5 ft,,107-124,,
3:22.0,,,107-124,,Defensive rebound by M. Plumlee
3:11.0,,,107-124,,W. Barton misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by B. Johnson,,107-124,,
2:57.0,J. Redick makes 3-pt shot from 26 ft (assist by B. Johnson),3,110-124,,
2:37.0,,,110-124,,Turnover by W. Barton (bad pass; steal by B. Johnson)
2:28.0,Turnover by A. Rivers (bad pass; steal by W. Barton),,110-124,,
2:22.0,,,110-126,2,W. Barton makes 2-pt shot from 2 ft
1:55.0,B. Johnson makes 2-pt shot from 2 ft (assist by J. Crawford),2,112-126,,
1:33.0,,,112-126,,J. Nelson misses 2-pt shot from 3 ft (block by B. Johnson)
1:30.0,Defensive rebound by J. Redick,,112-126,,
1:28.0,,,112-126,,Personal block foul by M. Plumlee (drawn by J. Redick)
1:28.0,J. Redick makes free throw 1 of 2,1,113-126,,
1:28.0,J. Redick makes free throw 2 of 2,1,114-126,,
1:22.0,Personal take foul by A. Rivers (drawn by J. Nelson),,114-126,,
