time,New Orleans,pts.away,score,pts.home,Houston
8:02.0,,,3-9,,Defensive rebound by C. Capela
7:56.0,,,3-11,2,J. Harden makes 2-pt shot from 2 ft
7:43.0,Turnover by T. Frazier (lost ball; steal by J. Harden),,3-11,,
7:40.0,,,3-11,,Turnover by P. Beverley (bad pass)
7:24.0,D. Cousins makes 2-pt shot from 7 ft,2,5-11,,
7:24.0,Shooting foul by C. Capela (drawn by D. Cousins),,5-11,,
7:24.0,D. Cousins makes free throw 1 of 1,1,6-11,,
7:18.0,,,6-11,,Offensive charge foul by C. Capela
7:18.0,,,6-11,,Turnover by C. Capela (offensive foul)
7:18.0,,,6-11,,N. Hilario enters the game for C. Capela
7:05.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday),2,8-11,,
6:51.0,,,8-11,,Turnover by R. Anderson (bad pass)
6:40.0,D. Cousins misses 2-pt shot from 19 ft,,8-11,,
6:39.0,,,8-11,,Defensive rebound by N. Hilario
6:33.0,,,8-11,,J. Harden misses 3-pt shot from 26 ft
6:32.0,Defensive rebound by S. Hill,,8-11,,
6:18.0,S. Hill makes 3-pt shot from 27 ft (assist by T. Frazier),3,11-11,,
6:06.0,,,11-11,,Turnover by J. Harden (bad pass; steal by A. Davis)
6:00.0,S. Hill makes 3-pt shot from 25 ft (assist by A. Davis),3,14-11,,
5:48.0,,,14-11,,R. Anderson misses 3-pt shot from 29 ft
5:46.0,Defensive rebound by S. Hill,,14-11,,
5:32.0,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday),3,17-11,,
5:31.0,,,17-11,,Houston full timeout
5:31.0,,,17-11,,E. Gordon enters the game for P. Beverley
5:20.0,,,17-13,2,J. Harden makes 2-pt shot from 2 ft (assist by N. Hilario)
5:08.0,D. Cousins misses 2-pt shot from 1 ft,,17-13,,
5:07.0,Offensive rebound by A. Davis,,17-13,,
5:07.0,A. Davis makes 2-pt shot from 1 ft,2,19-13,,
4:49.0,,,19-13,,T. Ariza misses 2-pt shot from 5 ft (block by D. Cousins)
4:47.0,,,19-13,,Offensive rebound by N. Hilario
4:44.0,,,19-13,,E. Gordon misses 3-pt shot from 24 ft
4:44.0,,,19-13,,Offensive rebound by Team
4:44.0,E. Moore enters the game for T. Frazier,,19-13,,
4:44.0,,,19-13,,L. Williams enters the game for R. Anderson
4:44.0,T. Frazier enters the game for J. Holiday,,19-13,,
4:38.0,,,19-16,3,J. Harden makes 3-pt shot from 25 ft (assist by N. Hilario)
4:24.0,E. Moore makes 2-pt shot from 2 ft (assist by D. Cousins),2,21-16,,
4:11.0,,,21-16,,T. Ariza misses 2-pt shot from 13 ft
4:10.0,Defensive rebound by A. Davis,,21-16,,
4:01.0,A. Davis misses 2-pt shot from 20 ft,,21-16,,
4:00.0,,,21-16,,Defensive rebound by N. Hilario
3:46.0,,,21-16,,L. Williams misses 2-pt shot from 8 ft
3:45.0,,,21-16,,Offensive rebound by L. Williams
3:41.0,,,21-16,,T. Ariza misses 3-pt shot from 24 ft
3:40.0,Defensive rebound by D. Cousins,,21-16,,
3:29.0,D. Cousins misses 2-pt shot from 7 ft,,21-16,,
3:27.0,Offensive rebound by A. Davis,,21-16,,
3:26.0,A. Davis misses 2-pt shot from 7 ft,,21-16,,
3:24.0,,,21-16,,Defensive rebound by T. Ariza
3:13.0,,,21-16,,N. Hilario misses 2-pt shot from 17 ft
3:12.0,Defensive rebound by D. Cousins,,21-16,,
3:06.0,S. Hill misses 3-pt shot from 26 ft,,21-16,,
3:05.0,,,21-16,,Defensive rebound by N. Hilario
2:56.0,,,21-18,2,J. Harden makes 2-pt shot from 6 ft
2:36.0,,,21-18,,Personal foul by N. Hilario (drawn by D. Cousins)
2:36.0,,,21-18,,S. Dekker enters the game for T. Ariza
2:36.0,D. Cunningham enters the game for A. Davis,,21-18,,
2:30.0,D. Cousins makes 3-pt shot from 26 ft (assist by T. Frazier),3,24-18,,
2:30.0,Shooting foul by N. Hilario (drawn by D. Cousins),,24-18,,
2:30.0,D. Cousins makes free throw 1 of 1,1,25-18,,
2:19.0,,,25-20,2,N. Hilario makes 2-pt shot at rim (assist by L. Williams)
2:01.0,T. Frazier misses 2-pt shot from 11 ft,,25-20,,
2:00.0,,,25-20,,Defensive rebound by E. Gordon
1:52.0,,,25-20,,Turnover by E. Gordon (bad pass)
1:38.0,D. Cunningham misses 3-pt shot from 24 ft,,25-20,,
1:37.0,,,25-20,,Defensive rebound by S. Dekker
1:31.0,,,25-20,,Shooting foul by D. Cousins (drawn by J. Harden)
1:31.0,,,25-21,1,J. Harden makes free throw 1 of 2
1:31.0,,,25-22,1,J. Harden makes free throw 2 of 2
1:31.0,A. Davis enters the game for D. Cousins,,25-21,,
1:31.0,J. Holiday enters the game for T. Frazier,,25-21,,
1:15.0,S. Hill makes 3-pt shot from 25 ft (assist by J. Holiday),3,28-22,,
1:03.0,,,28-25,3,J. Harden makes 3-pt shot from 26 ft
0:48.0,A. Davis misses 2-pt shot from 7 ft,,28-25,,
0:46.0,,,28-25,,Defensive rebound by J. Harden
0:40.0,,,28-28,3,J. Harden makes 3-pt shot from 28 ft
0:32.0,J. Holiday makes 3-pt shot from 26 ft (assist by S. Hill),3,31-28,,
0:27.0,,,31-28,,J. Harden misses 2-pt shot from 3 ft
0:26.0,Defensive rebound by D. Cunningham,,31-28,,
0:06.0,J. Holiday makes 2-pt shot from 20 ft,2,33-28,,
0:01.0,,,33-28,,L. Williams misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by A. Davis,,33-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,A. Davis misses 2-pt shot from 4 ft (block by C. Capela),,33-28,,
11:46.0,,,33-28,,Defensive rebound by C. Capela
11:38.0,,,33-30,2,L. Williams makes 2-pt shot from 13 ft
11:24.0,J. Crawford misses 3-pt shot from 27 ft,,33-30,,
11:23.0,,,33-30,,Defensive rebound by C. Capela
11:10.0,,,33-30,,Turnover by L. Williams (bad pass; steal by J. Holiday)
11:03.0,J. Crawford misses 2-pt shot from 21 ft,,33-30,,
11:02.0,,,33-30,,Defensive rebound by E. Gordon
10:57.0,,,33-32,2,E. Gordon makes 2-pt shot from 1 ft
10:57.0,,,33-32,,Shooting foul by E. Moore (drawn by E. Gordon)
10:57.0,,,33-32,,E. Gordon misses free throw 1 of 1
10:55.0,Defensive rebound by A. Davis,,33-32,,
10:42.0,E. Moore misses 2-pt shot from 7 ft,,33-32,,
10:41.0,,,33-32,,Defensive rebound by E. Gordon
10:33.0,,,33-32,,E. Gordon misses 3-pt shot from 26 ft
10:32.0,,,33-32,,Offensive rebound by C. Capela
10:22.0,,,33-32,,Turnover by P. Beverley (bad pass; steal by J. Holiday)
10:17.0,E. Moore makes 2-pt shot from 1 ft (assist by J. Holiday),2,35-32,,
10:07.0,,,35-32,,Turnover by P. Beverley (traveling)
9:57.0,A. Davis makes 2-pt shot from 17 ft (assist by E. Moore),2,37-32,,
9:36.0,,,37-32,,Turnover by E. Gordon (lost ball; steal by A. Davis)
9:24.0,E. Moore misses 3-pt shot from 25 ft,,37-32,,
9:22.0,Offensive rebound by A. Davis,,37-32,,
9:22.0,,,37-32,,Personal foul by P. Beverley (drawn by A. Davis)
9:06.0,A. Davis misses 2-pt shot from 20 ft,,37-32,,
9:05.0,,,37-32,,Defensive rebound by S. Dekker
8:54.0,,,37-32,,L. Williams misses 2-pt shot from 12 ft
8:53.0,,,37-32,,Offensive rebound by C. Capela
8:51.0,,,37-32,,C. Capela misses 2-pt shot at rim
8:50.0,,,37-32,,Offensive rebound by S. Dekker
8:49.0,,,37-32,,S. Dekker misses 2-pt shot from 1 ft
8:48.0,Defensive rebound by A. Davis,,37-32,,
8:37.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Crawford),2,39-32,,
8:12.0,,,39-32,,Turnover by Team (shot clock)
8:12.0,Official timeout,,39-32,,
8:12.0,,,39-32,,R. Anderson enters the game for S. Dekker
8:12.0,D. Cousins enters the game for D. Cunningham,,39-32,,
7:53.0,A. Davis makes 2-pt shot from 1 ft (assist by D. Cousins),2,41-32,,
7:40.0,,,41-32,,E. Gordon misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by J. Crawford,,41-32,,
7:28.0,D. Cousins misses 3-pt shot from 26 ft,,41-32,,
7:27.0,,,41-32,,Defensive rebound by C. Capela
7:17.0,,,41-35,3,R. Anderson makes 3-pt shot from 26 ft (assist by E. Gordon)
7:01.0,Offensive foul by D. Cousins,,41-35,,
7:01.0,Turnover by D. Cousins (offensive foul),,41-35,,
6:43.0,,,41-35,,E. Gordon misses 2-pt shot from 8 ft (block by J. Holiday)
6:43.0,,,41-35,,Offensive rebound by Team
6:43.0,D. Cunningham enters the game for A. Davis,,41-35,,
6:43.0,S. Hill enters the game for E. Moore,,41-35,,
6:37.0,,,41-35,,Turnover by E. Gordon (traveling)
6:24.0,D. Cousins misses 2-pt shot from 18 ft,,41-35,,
6:23.0,,,41-35,,Defensive rebound by P. Beverley
6:15.0,,,41-35,,R. Anderson misses 3-pt shot from 28 ft
6:14.0,,,41-35,,Offensive rebound by C. Capela
6:07.0,,,41-37,2,C. Capela makes 2-pt shot from 2 ft (assist by E. Gordon)
6:00.0,Turnover by J. Crawford (lost ball; steal by E. Gordon),,41-37,,
5:55.0,,,41-37,,Turnover by E. Gordon (bad pass; steal by J. Holiday)
5:41.0,J. Holiday misses 3-pt shot from 24 ft,,41-37,,
5:40.0,,,41-37,,Defensive rebound by C. Capela
5:25.0,,,41-37,,R. Anderson misses 2-pt shot from 5 ft
5:23.0,Defensive rebound by D. Cunningham,,41-37,,
5:16.0,J. Crawford makes 2-pt shot from 15 ft,2,43-37,,
5:16.0,,,43-37,,Houston full timeout
5:16.0,T. Frazier enters the game for J. Holiday,,43-37,,
5:16.0,,,43-37,,N. Hilario enters the game for C. Capela
5:16.0,,,43-37,,J. Harden enters the game for E. Gordon
5:16.0,,,43-37,,T. Ariza enters the game for L. Williams
4:58.0,,,43-37,,J. Harden misses 3-pt shot from 26 ft
4:58.0,Defensive rebound by Team,,43-37,,
4:34.0,J. Crawford misses 3-pt shot from 25 ft,,43-37,,
4:33.0,,,43-37,,Defensive rebound by T. Ariza
4:18.0,,,43-37,,P. Beverley misses 2-pt shot at rim (block by D. Cousins)
4:17.0,Defensive rebound by T. Frazier,,43-37,,
4:12.0,J. Crawford makes 3-pt shot from 24 ft (assist by S. Hill),3,46-37,,
3:55.0,,,46-39,2,N. Hilario makes 2-pt shot from 9 ft (assist by J. Harden)
3:42.0,,,46-39,,Personal foul by N. Hilario (drawn by D. Cousins)
3:42.0,A. Davis enters the game for D. Cousins,,46-39,,
3:42.0,,,46-39,,E. Gordon enters the game for P. Beverley
3:42.0,,,46-39,,C. Capela enters the game for N. Hilario
3:31.0,T. Frazier misses 3-pt shot from 26 ft,,46-39,,
3:30.0,,,46-39,,Defensive rebound by C. Capela
3:26.0,,,46-39,,Shooting foul by S. Hill (drawn by J. Harden)
3:26.0,,,46-40,1,J. Harden makes free throw 1 of 3
3:26.0,,,46-41,1,J. Harden makes free throw 2 of 3
3:26.0,,,46-41,,J. Harden misses free throw 3 of 3
3:26.0,Defensive rebound by S. Hill,,46-41,,
3:17.0,A. Davis misses 2-pt shot from 8 ft,,46-41,,
3:16.0,,,46-41,,Defensive rebound by J. Harden
3:13.0,Violation by S. Hill (kicked ball),,46-41,,
3:02.0,,,46-43,2,R. Anderson makes 2-pt shot from 13 ft (assist by J. Harden)
2:46.0,Offensive charge foul by A. Davis,,46-43,,
2:46.0,Turnover by A. Davis (offensive foul),,46-43,,
2:46.0,New Orleans full timeout,,46-43,,
2:26.0,,,46-45,2,J. Harden makes 2-pt shot from 16 ft
2:03.0,Shooting foul by T. Ariza (drawn by J. Crawford),,46-45,,
2:03.0,J. Crawford makes free throw 1 of 2,1,47-45,,
2:03.0,J. Crawford makes free throw 2 of 2,1,48-45,,
2:03.0,J. Holiday enters the game for T. Frazier,,47-45,,
1:53.0,,,48-47,2,E. Gordon makes 2-pt shot from 2 ft (assist by J. Harden)
1:40.0,J. Crawford misses 3-pt shot from 27 ft,,48-47,,
1:38.0,,,48-47,,Defensive rebound by C. Capela
1:30.0,,,48-47,,J. Harden misses 2-pt shot from 13 ft
1:29.0,,,48-47,,Offensive rebound by J. Harden
1:23.0,,,48-47,,J. Harden misses 3-pt shot from 23 ft
1:22.0,,,48-47,,Offensive rebound by C. Capela
1:12.0,,,48-47,,Turnover by E. Gordon (lost ball; steal by A. Davis)
1:05.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Crawford),2,50-47,,
0:47.0,,,50-47,,R. Anderson misses 2-pt shot from 8 ft
0:46.0,,,50-47,,Offensive rebound by R. Anderson
0:43.0,,,50-47,,J. Harden misses 2-pt shot from 3 ft (block by J. Holiday)
0:43.0,,,50-47,,Offensive rebound by Team
0:43.0,E. Moore enters the game for J. Crawford,,50-47,,
0:33.0,,,50-49,2,E. Gordon makes 2-pt shot from 2 ft
0:18.0,,,50-49,,Personal foul by E. Gordon (drawn by A. Davis)
0:18.0,New Orleans full timeout,,50-49,,
0:18.0,J. Crawford enters the game for D. Cunningham,,50-49,,
0:04.0,Turnover by J. Crawford (bad pass; steal by J. Harden),,50-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,D. Cousins misses 2-pt shot from 20 ft,,50-49,,
11:46.0,,,50-49,,Defensive rebound by J. Harden
11:32.0,,,50-49,,R. Anderson misses 3-pt shot from 28 ft
11:31.0,,,50-49,,Offensive rebound by Team
11:22.0,,,50-51,2,J. Harden makes 2-pt shot from 8 ft (assist by C. Capela)
10:58.0,J. Holiday makes 3-pt shot from 28 ft (assist by S. Hill),3,53-51,,
10:49.0,Personal foul by T. Frazier (drawn by C. Capela),,53-51,,
10:33.0,,,53-51,,P. Beverley misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by T. Frazier,,53-51,,
10:20.0,D. Cousins misses 2-pt shot from 3 ft,,53-51,,
10:18.0,,,53-51,,Defensive rebound by C. Capela
10:10.0,,,53-53,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
9:51.0,A. Davis misses 2-pt shot from 21 ft,,53-53,,
9:50.0,Offensive rebound by D. Cousins,,53-53,,
9:47.0,D. Cousins misses 2-pt shot from 1 ft,,53-53,,
9:47.0,Offensive rebound by D. Cousins,,53-53,,
9:47.0,Shooting foul by J. Harden (drawn by D. Cousins),,53-53,,
9:47.0,D. Cousins makes free throw 1 of 2,1,54-53,,
9:47.0,D. Cousins misses free throw 2 of 2,,54-53,,
9:47.0,,,54-53,,Defensive rebound by T. Ariza
9:24.0,,,54-55,2,J. Harden makes 2-pt shot from 18 ft
9:17.0,S. Hill misses 3-pt shot from 25 ft,,54-55,,
9:16.0,,,54-55,,Defensive rebound by P. Beverley
9:07.0,Personal foul by D. Cousins (drawn by R. Anderson),,54-55,,
9:07.0,D. Cunningham enters the game for D. Cousins,,54-55,,
8:56.0,,,54-57,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
8:38.0,J. Holiday makes 2-pt shot from 19 ft,2,56-57,,
8:27.0,,,56-60,3,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden)
8:13.0,J. Holiday makes 3-pt shot from 28 ft,3,59-60,,
7:53.0,,,59-60,,Shooting foul by D. Cunningham (drawn by J. Harden)
7:53.0,,,59-60,,J. Harden misses free throw 1 of 3
7:53.0,,,59-60,,Offensive rebound by Team
7:53.0,,,59-61,1,J. Harden makes free throw 2 of 3
7:53.0,,,59-62,1,J. Harden makes free throw 3 of 3
7:41.0,S. Hill misses 3-pt shot from 26 ft,,59-62,,
7:40.0,,,59-62,,Defensive rebound by T. Ariza
7:30.0,,,59-62,,J. Harden misses 3-pt shot from 29 ft
7:29.0,Defensive rebound by A. Davis,,59-62,,
7:25.0,,,59-62,,Personal block foul by T. Ariza (drawn by S. Hill)
7:22.0,,,59-62,,Personal foul by J. Harden (drawn by S. Hill)
7:20.0,,,59-62,,Personal foul by T. Ariza (drawn by J. Holiday)
7:13.0,A. Davis makes 2-pt shot from 22 ft (assist by S. Hill),2,61-62,,
6:54.0,,,61-62,,T. Ariza misses 2-pt shot from 7 ft
6:54.0,Defensive rebound by Team,,61-62,,
6:54.0,,,61-62,,Loose ball foul by C. Capela (drawn by A. Davis)
6:54.0,A. Davis misses free throw 1 of 2,,61-62,,
6:54.0,Offensive rebound by Team,,61-62,,
6:54.0,A. Davis makes free throw 2 of 2,1,62-62,,
6:54.0,,,61-62,,N. Hilario enters the game for C. Capela
6:41.0,Personal foul by J. Holiday (drawn by T. Ariza),,62-62,,
6:33.0,,,62-62,,J. Harden misses 2-pt shot from 19 ft
6:32.0,Defensive rebound by D. Cunningham,,62-62,,
6:21.0,Turnover by S. Hill (lost ball; steal by P. Beverley),,62-62,,
6:13.0,,,62-62,,P. Beverley misses 3-pt shot from 25 ft
6:11.0,,,62-62,,Offensive rebound by R. Anderson
6:10.0,,,62-64,2,R. Anderson makes 2-pt shot at rim
5:47.0,A. Davis misses 3-pt shot from 26 ft,,62-64,,
5:46.0,,,62-64,,Defensive rebound by N. Hilario
5:31.0,,,62-64,,J. Harden misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by A. Davis,,62-64,,
5:19.0,,,62-64,,Personal foul by P. Beverley (drawn by A. Davis)
5:19.0,,,62-64,,Houston full timeout
5:19.0,A. Davis makes free throw 1 of 2,1,63-64,,
5:19.0,A. Davis makes free throw 2 of 2,1,64-64,,
5:19.0,,,62-64,,E. Gordon enters the game for P. Beverley
5:04.0,,,64-66,2,N. Hilario makes 2-pt shot from 2 ft (assist by J. Harden)
4:47.0,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday),2,66-66,,
4:35.0,,,66-66,,E. Gordon misses 2-pt shot from 3 ft
4:34.0,,,66-66,,Offensive rebound by E. Gordon
4:34.0,,,66-66,,Shooting foul by A. Davis (drawn by E. Gordon)
4:34.0,,,66-67,1,E. Gordon makes free throw 1 of 2
4:34.0,,,66-68,1,E. Gordon makes free throw 2 of 2
4:34.0,E. Moore enters the game for J. Holiday,,66-67,,
4:34.0,,,66-67,,L. Williams enters the game for R. Anderson
4:18.0,T. Frazier misses 3-pt shot from 25 ft,,66-68,,
4:17.0,,,66-68,,Defensive rebound by E. Gordon
4:10.0,,,66-70,2,N. Hilario makes 2-pt shot from 2 ft (assist by E. Gordon)
3:55.0,Shooting foul by N. Hilario (drawn by A. Davis),,66-70,,
3:55.0,A. Davis makes free throw 1 of 2,1,67-70,,
3:55.0,A. Davis makes free throw 2 of 2,1,68-70,,
3:55.0,,,67-70,,C. Capela enters the game for N. Hilario
3:46.0,,,68-70,,L. Williams misses 3-pt shot from 26 ft
3:45.0,Defensive rebound by A. Davis,,68-70,,
3:33.0,A. Davis makes 2-pt shot from 16 ft (assist by E. Moore),2,70-70,,
3:22.0,,,70-70,,T. Ariza misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by T. Frazier,,70-70,,
3:14.0,A. Davis makes 2-pt shot from 2 ft (assist by E. Moore),2,72-70,,
2:53.0,,,72-72,2,C. Capela makes 2-pt shot from 6 ft (assist by J. Harden)
2:31.0,T. Frazier misses 3-pt shot from 25 ft,,72-72,,
2:30.0,,,72-72,,Defensive rebound by T. Ariza
2:20.0,,,72-72,,T. Ariza misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by A. Davis,,72-72,,
2:10.0,A. Davis makes 2-pt shot from 17 ft (assist by T. Frazier),2,74-72,,
2:00.0,Violation by S. Hill (kicked ball),,74-72,,
2:00.0,New Orleans full timeout,,74-72,,
1:47.0,,,74-74,2,T. Ariza makes 2-pt shot from 5 ft (assist by E. Gordon)
1:31.0,A. Davis makes 2-pt shot from 18 ft (assist by E. Moore),2,76-74,,
1:22.0,Personal foul by E. Moore (drawn by L. Williams),,76-74,,
1:22.0,,,76-75,1,L. Williams makes free throw 1 of 2
1:22.0,,,76-75,,L. Williams misses free throw 2 of 2
1:22.0,Defensive rebound by E. Moore,,76-75,,
1:22.0,J. Holiday enters the game for T. Frazier,,76-75,,
1:22.0,J. Crawford enters the game for S. Hill,,76-75,,
1:07.0,J. Crawford misses 2-pt shot from 19 ft,,76-75,,
1:07.0,,,76-75,,Defensive rebound by Team
0:54.0,,,76-78,3,J. Harden makes 3-pt shot from 27 ft
0:37.0,A. Davis misses 2-pt shot from 21 ft,,76-78,,
0:36.0,,,76-78,,Defensive rebound by T. Ariza
0:29.0,,,76-80,2,T. Ariza makes 2-pt shot from 3 ft (assist by J. Harden)
0:15.0,J. Crawford makes 3-pt shot from 27 ft,3,79-80,,
0:00.0,,,79-80,,Turnover by J. Harden (lost ball; steal by J. Crawford)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,79-82,2,L. Williams makes 2-pt shot from 3 ft (assist by C. Capela)
11:26.0,D. Cousins misses 2-pt shot from 6 ft (block by C. Capela),,79-82,,
11:24.0,,,79-82,,Defensive rebound by L. Williams
11:15.0,,,79-85,3,P. Beverley makes 3-pt shot from 25 ft (assist by L. Williams)
11:13.0,New Orleans full timeout,,79-85,,
11:13.0,,,79-85,,N. Hilario enters the game for C. Capela
10:51.0,J. Crawford makes 2-pt shot from 5 ft,2,81-85,,
10:34.0,Personal foul by E. Moore (drawn by E. Gordon),,81-85,,
10:27.0,,,81-85,,L. Williams misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by D. Cunningham,,81-85,,
10:15.0,J. Holiday makes 3-pt shot from 25 ft (assist by D. Cousins),3,84-85,,
10:02.0,,,84-85,,Shooting foul by D. Cousins (drawn by T. Ariza)
10:02.0,,,84-86,1,T. Ariza makes free throw 1 of 2
10:02.0,,,84-87,1,T. Ariza makes free throw 2 of 2
9:51.0,D. Cousins misses 2-pt shot from 3 ft,,84-87,,
9:50.0,,,84-87,,Defensive rebound by N. Hilario
9:42.0,,,84-90,3,E. Gordon makes 3-pt shot from 26 ft (assist by P. Beverley)
9:27.0,D. Cousins misses 3-pt shot from 26 ft,,84-90,,
9:26.0,,,84-90,,Defensive rebound by T. Ariza
9:13.0,,,84-90,,N. Hilario misses 2-pt shot from 17 ft
9:12.0,Defensive rebound by J. Holiday,,84-90,,
8:59.0,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday),3,87-90,,
8:58.0,,,87-90,,Technical foul by P. Beverley
8:58.0,J. Holiday misses technical free throw,,87-90,,
8:58.0,,,87-90,,Offensive rebound by Team
8:58.0,A. Davis enters the game for D. Cunningham,,87-90,,
8:46.0,,,87-90,,L. Williams misses 2-pt shot from 3 ft (block by D. Cousins)
8:46.0,,,87-90,,Offensive rebound by Team
8:42.0,,,87-90,,Turnover by N. Hilario (offensive goaltending)
8:29.0,D. Cousins makes 2-pt shot from 6 ft,2,89-90,,
8:29.0,Shooting foul by T. Ariza (drawn by D. Cousins),,89-90,,
8:29.0,D. Cousins makes free throw 1 of 1,1,90-90,,
8:29.0,,,89-90,,J. Harden enters the game for T. Ariza
8:29.0,,,89-90,,R. Anderson enters the game for L. Williams
8:14.0,,,90-92,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
8:01.0,J. Crawford misses 3-pt shot from 25 ft,,90-92,,
8:00.0,,,90-92,,Defensive rebound by J. Harden
7:53.0,,,90-92,,J. Harden misses 3-pt shot from 26 ft
7:49.0,,,90-92,,Offensive rebound by N. Hilario
7:32.0,,,90-92,,J. Harden misses 2-pt shot from 2 ft (block by A. Davis)
7:29.0,,,90-92,,Offensive rebound by R. Anderson
7:24.0,,,90-92,,P. Beverley misses 2-pt shot from 23 ft
7:23.0,Defensive rebound by A. Davis,,90-92,,
7:17.0,J. Holiday misses 3-pt shot from 26 ft,,90-92,,
7:14.0,,,90-92,,Defensive rebound by P. Beverley
7:06.0,,,90-95,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
6:48.0,D. Cousins misses 3-pt shot from 26 ft,,90-95,,
6:47.0,,,90-95,,Defensive rebound by N. Hilario
6:41.0,,,90-95,,R. Anderson misses 3-pt shot from 28 ft
6:39.0,,,90-95,,Offensive rebound by P. Beverley
6:39.0,,,90-97,2,P. Beverley makes 2-pt shot from 1 ft
6:39.0,New Orleans full timeout,,90-97,,
6:39.0,S. Hill enters the game for J. Crawford,,90-97,,
6:28.0,J. Holiday makes 2-pt shot at rim (assist by E. Moore),2,92-97,,
6:07.0,,,92-97,,N. Hilario misses 2-pt shot from 2 ft
6:07.0,Defensive rebound by D. Cousins,,92-97,,
5:59.0,Turnover by S. Hill (bad pass; steal by N. Hilario),,92-97,,
5:53.0,,,92-100,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
5:36.0,A. Davis makes 2-pt shot from 20 ft (assist by D. Cousins),2,94-100,,
5:10.0,,,94-102,2,N. Hilario makes 2-pt shot from 5 ft
4:54.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,96-102,,
4:33.0,,,96-105,3,E. Gordon makes 3-pt shot from 24 ft (assist by P. Beverley)
4:14.0,D. Cousins makes 2-pt shot from 8 ft,2,98-105,,
4:07.0,,,98-105,,N. Hilario misses 2-pt shot at rim (block by D. Cousins)
3:59.0,Defensive rebound by A. Davis,,98-105,,
3:56.0,D. Cousins misses 2-pt shot from 1 ft,,98-105,,
3:55.0,,,98-105,,Defensive rebound by J. Harden
