time,Orlando,pts.away,score,pts.home,Utah
10:36.0,S. Ibaka misses 3-pt shot from 24 ft,,69-64,,
10:35.0,,,69-64,,Defensive rebound by R. Gobert
10:24.0,,,69-64,,Shooting foul by J. Meeks (drawn by D. Favors)
10:24.0,,,69-65,1,D. Favors makes free throw 1 of 2
10:24.0,,,69-66,1,D. Favors makes free throw 2 of 2
10:10.0,E. Payton misses 3-pt shot from 24 ft,,69-66,,
10:09.0,,,69-66,,Defensive rebound by R. Gobert
10:03.0,,,69-66,,G. Hill misses 2-pt shot from 2 ft (block by E. Payton)
10:03.0,Defensive rebound by E. Payton,,69-66,,
9:49.0,S. Ibaka makes 2-pt shot from 23 ft (assist by E. Payton),2,71-66,,
9:28.0,,,71-66,,G. Hayward misses 2-pt shot from 4 ft
9:28.0,Defensive rebound by A. Gordon,,71-66,,
9:21.0,N. Vucevic misses 2-pt shot from 3 ft,,71-66,,
9:20.0,Offensive rebound by N. Vucevic,,71-66,,
9:19.0,Shooting foul by R. Hood (drawn by J. Meeks),,71-66,,
9:19.0,J. Meeks misses free throw 1 of 2,,71-66,,
9:19.0,Offensive rebound by Team,,71-66,,
9:19.0,J. Meeks makes free throw 2 of 2,1,72-66,,
9:06.0,,,72-66,,R. Hood misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by A. Gordon,,72-66,,
8:53.0,N. Vucevic misses 2-pt shot from 2 ft,,72-66,,
8:52.0,,,72-66,,Defensive rebound by D. Favors
8:36.0,,,72-68,2,G. Hayward makes 2-pt shot from 16 ft
8:19.0,N. Vucevic makes 3-pt shot from 23 ft (assist by E. Payton),3,75-68,,
8:03.0,,,75-68,,G. Hill misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by S. Ibaka,,75-68,,
7:45.0,N. Vucevic makes 2-pt shot from 13 ft (assist by E. Payton),2,77-68,,
7:27.0,,,77-68,,R. Hood misses 2-pt shot from 4 ft
7:26.0,Defensive rebound by N. Vucevic,,77-68,,
7:14.0,N. Vucevic misses 2-pt shot from 21 ft,,77-68,,
7:13.0,,,77-68,,Defensive rebound by D. Favors
6:58.0,,,77-68,,D. Favors misses 2-pt shot from 2 ft
6:58.0,,,77-68,,Offensive rebound by Team
6:58.0,,,77-68,,B. Diaw enters the game for D. Favors
6:49.0,,,77-68,,B. Diaw misses 3-pt shot from 25 ft
6:48.0,,,77-68,,Offensive rebound by R. Gobert
6:33.0,,,77-68,,B. Diaw misses 2-pt shot from 18 ft
6:32.0,,,77-68,,Offensive rebound by R. Gobert
6:28.0,,,77-71,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert)
6:10.0,E. Payton misses 2-pt shot from 2 ft,,77-71,,
6:10.0,,,77-71,,Defensive rebound by R. Gobert
6:02.0,,,77-73,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
6:02.0,Orlando full timeout,,77-73,,
6:02.0,Technical foul by Team,,77-73,,
6:02.0,,,77-73,,G. Hayward misses technical free throw
6:02.0,Offensive rebound by Team,,77-73,,
6:02.0,,,77-73,,A. Burks enters the game for R. Hood
5:44.0,S. Ibaka misses 3-pt shot from 23 ft,,77-73,,
5:42.0,,,77-73,,Defensive rebound by R. Gobert
5:25.0,,,77-75,2,G. Hayward makes 2-pt shot from 10 ft
5:00.0,N. Vucevic misses 3-pt shot from 25 ft,,77-75,,
4:59.0,Offensive rebound by E. Payton,,77-75,,
4:53.0,J. Meeks makes 3-pt shot from 24 ft (assist by E. Payton),3,80-75,,
4:40.0,,,80-75,,A. Burks misses 2-pt shot from 1 ft
4:40.0,Defensive rebound by N. Vucevic,,80-75,,
4:34.0,Turnover by N. Vucevic (traveling),,80-75,,
4:22.0,,,80-77,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
4:01.0,E. Payton misses 2-pt shot from 1 ft,,80-77,,
4:01.0,Offensive rebound by Team,,80-77,,
4:01.0,D. Augustin enters the game for J. Meeks,,80-77,,
4:01.0,,,80-77,,R. Neto enters the game for G. Hill
3:54.0,A. Gordon misses 2-pt shot from 18 ft,,80-77,,
3:53.0,,,80-77,,Defensive rebound by A. Burks
3:47.0,,,80-77,,Shooting foul by N. Vucevic (drawn by A. Burks)
3:47.0,,,80-78,1,A. Burks makes free throw 1 of 2
3:47.0,,,80-78,,A. Burks misses free throw 2 of 2
3:46.0,Defensive rebound by E. Payton,,80-78,,
3:26.0,A. Gordon makes 2-pt shot from 7 ft,2,82-78,,
3:03.0,,,82-78,,B. Diaw misses 3-pt shot from 26 ft
3:03.0,Defensive rebound by Team,,82-78,,
3:03.0,B. Biyombo enters the game for N. Vucevic,,82-78,,
3:03.0,J. Green enters the game for S. Ibaka,,82-78,,
2:49.0,A. Gordon misses 2-pt shot from 15 ft,,82-78,,
2:48.0,,,82-78,,Defensive rebound by R. Gobert
2:42.0,Personal foul by D. Augustin (drawn by R. Neto),,82-78,,
2:42.0,,,82-78,,Utah full timeout
2:38.0,,,82-80,2,G. Hayward makes 2-pt shot at rim (assist by R. Neto)
2:25.0,Offensive foul by B. Biyombo,,82-80,,
2:25.0,Turnover by B. Biyombo (offensive foul),,82-80,,
2:25.0,,,82-80,,D. Favors enters the game for R. Gobert
2:11.0,,,82-82,2,A. Burks makes 2-pt shot from 2 ft
2:11.0,,,82-82,,Shooting foul by B. Biyombo (drawn by A. Burks)
2:11.0,,,82-82,,A. Burks misses free throw 1 of 1
2:10.0,Defensive rebound by B. Biyombo,,82-82,,
1:46.0,D. Augustin misses 2-pt shot from 5 ft,,82-82,,
1:46.0,,,82-82,,Defensive rebound by R. Neto
1:32.0,,,82-84,2,D. Favors makes 2-pt shot from 7 ft (assist by R. Neto)
1:19.0,,,82-84,,Personal foul by R. Neto (drawn by J. Green)
1:19.0,C. Watson enters the game for E. Payton,,82-84,,
1:16.0,,,82-84,,Personal foul by G. Hayward (drawn by A. Gordon)
1:16.0,A. Gordon misses free throw 1 of 2,,82-84,,
1:16.0,Offensive rebound by Team,,82-84,,
1:16.0,A. Gordon makes free throw 2 of 2,1,83-84,,
1:16.0,,,82-84,,J. Ingles enters the game for G. Hayward
0:59.0,,,83-84,,Turnover by B. Diaw (bad pass; steal by C. Watson)
0:51.0,Turnover by J. Green (bad pass; steal by A. Burks),,83-84,,
0:45.0,,,83-84,,B. Diaw misses 2-pt shot from 2 ft
0:44.0,Defensive rebound by J. Green,,83-84,,
0:28.0,Offensive foul by B. Biyombo,,83-84,,
0:28.0,Turnover by B. Biyombo (offensive foul),,83-84,,
0:28.0,,,83-84,,R. Hood enters the game for B. Diaw
0:28.0,J. Meeks enters the game for A. Gordon,,83-84,,
0:08.0,,,83-84,,D. Favors misses 2-pt shot from 1 ft
0:08.0,Defensive rebound by B. Biyombo,,83-84,,
0:01.0,J. Green misses 2-pt shot from 12 ft,,83-84,,
0:00.0,,,83-84,,Defensive rebound by J. Ingles
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,83-86,2,R. Hood makes 2-pt shot from 10 ft
11:22.0,Shooting foul by T. Lyles (drawn by B. Biyombo),,83-86,,
11:22.0,B. Biyombo makes free throw 1 of 2,1,84-86,,
11:22.0,B. Biyombo makes free throw 2 of 2,1,85-86,,
11:13.0,,,85-86,,D. Favors misses 2-pt shot from 17 ft
11:12.0,Defensive rebound by J. Green,,85-86,,
11:02.0,D. Augustin misses 3-pt shot from 24 ft,,85-86,,
11:01.0,,,85-86,,Defensive rebound by R. Hood
10:51.0,,,85-88,2,R. Hood makes 2-pt shot from 18 ft
10:30.0,Turnover by J. Green (bad pass; steal by T. Lyles),,85-88,,
10:21.0,,,85-88,,R. Hood misses 2-pt shot from 18 ft
10:19.0,Defensive rebound by D. Augustin,,85-88,,
10:09.0,Turnover by C. Watson (bad pass; steal by R. Neto),,85-88,,
10:05.0,,,85-90,2,J. Ingles makes 2-pt shot from 3 ft (assist by R. Neto)
9:41.0,J. Green makes 2-pt shot from 2 ft,2,87-90,,
9:26.0,,,87-90,,T. Lyles misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by D. Augustin,,87-90,,
9:17.0,C. Watson misses 3-pt shot from 24 ft,,87-90,,
9:17.0,,,87-90,,Defensive rebound by R. Hood
9:11.0,,,87-90,,Utah full timeout
9:11.0,,,87-90,,G. Hill enters the game for R. Neto
9:11.0,,,87-90,,R. Gobert enters the game for D. Favors
9:11.0,E. Payton enters the game for D. Augustin,,87-90,,
9:04.0,,,87-90,,Turnover by R. Hood (lost ball; steal by C. Watson)
9:00.0,Shooting foul by G. Hill (drawn by E. Payton),,87-90,,
9:00.0,E. Payton makes free throw 1 of 2,1,88-90,,
9:00.0,E. Payton makes free throw 2 of 2,1,89-90,,
9:00.0,,,88-90,,G. Hayward enters the game for J. Ingles
9:00.0,A. Gordon enters the game for C. Watson,,88-90,,
8:40.0,,,89-90,,G. Hayward misses 2-pt shot from 12 ft
8:39.0,Defensive rebound by J. Green,,89-90,,
8:29.0,J. Green misses 2-pt shot from 16 ft,,89-90,,
8:28.0,Offensive rebound by J. Green,,89-90,,
8:21.0,E. Payton misses 2-pt shot from 16 ft,,89-90,,
8:20.0,,,89-90,,Defensive rebound by G. Hayward
8:14.0,,,89-90,,Shooting foul by E. Payton (drawn by R. Gobert)
8:14.0,,,89-91,1,R. Gobert makes free throw 1 of 2
8:14.0,,,89-92,1,R. Gobert makes free throw 2 of 2
8:01.0,J. Meeks makes 3-pt shot from 25 ft (assist by A. Gordon),3,92-92,,
7:39.0,,,92-94,2,G. Hill makes 2-pt shot from 2 ft (assist by T. Lyles)
7:25.0,S. Ibaka enters the game for J. Green,,92-94,,
7:25.0,N. Vucevic enters the game for B. Biyombo,,92-94,,
7:24.0,Jump ball: T. Lyles vs. J. Meeks (G. Hill gains possession),,,,Jump ball: T. Lyles vs. J. Meeks (G. Hill gains possession)
7:24.0,Turnover by J. Meeks (lost ball; steal by G. Hill),,92-94,,
7:06.0,,,92-94,,G. Hayward misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by S. Ibaka,,92-94,,
6:46.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,94-94,,
6:20.0,,,94-94,,T. Lyles misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by A. Gordon,,94-94,,
6:03.0,A. Gordon misses 3-pt shot from 25 ft,,94-94,,
