time,Houston,pts.away,score,pts.home,Dallas
6:44.0,,,61-57,,J. Anderson enters the game for J. Barea
6:43.0,,,61-57,,Defensive rebound by A. Bogut
6:26.0,,,61-59,2,W. Matthews makes 2-pt shot from 13 ft
6:13.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,64-59,,
5:42.0,,,64-59,,W. Matthews misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by E. Gordon,,64-59,,
5:40.0,,,64-59,,Technical foul by A. Bogut
5:40.0,,,64-59,,Dallas full timeout
5:40.0,J. Harden makes technical free throw,1,65-59,,
5:40.0,K. McDaniels enters the game for E. Gordon,,64-59,,
5:16.0,Turnover by C. Capela (bad pass; steal by W. Matthews),,65-59,,
5:03.0,,,65-59,,Turnover by D. Williams (bad pass; steal by C. Capela)
4:54.0,K. McDaniels makes 2-pt shot from 1 ft (assist by J. Harden),2,67-59,,
4:30.0,,,67-59,,D. Williams misses 2-pt shot from 2 ft
4:28.0,,,67-59,,Offensive rebound by A. Bogut
4:28.0,,,67-61,2,A. Bogut makes 2-pt shot from 1 ft
4:06.0,R. Anderson misses 2-pt shot from 17 ft,,67-61,,
4:03.0,,,67-61,,Defensive rebound by Team
4:03.0,S. Dekker enters the game for R. Anderson,,67-61,,
3:45.0,,,67-63,2,H. Barnes makes 2-pt shot from 18 ft
3:37.0,Offensive charge foul by J. Harden,,67-63,,
3:37.0,Turnover by J. Harden (offensive foul),,67-63,,
3:37.0,C. Brewer enters the game for T. Ariza,,67-63,,
3:22.0,,,67-63,,H. Barnes misses 2-pt shot from 10 ft
3:19.0,Defensive rebound by K. McDaniels,,67-63,,
3:08.0,K. McDaniels misses 3-pt shot from 24 ft,,67-63,,
3:07.0,,,67-63,,Defensive rebound by A. Bogut
2:46.0,,,67-65,2,W. Matthews makes 2-pt shot from 10 ft
2:29.0,C. Brewer misses 2-pt shot from 1 ft (block by J. Anderson),,67-65,,
2:29.0,Offensive rebound by Team,,67-65,,
2:29.0,Houston full timeout,,67-65,,
2:29.0,,,67-65,,D. Powell enters the game for A. Bogut
2:29.0,N. Hilario enters the game for C. Capela,,67-65,,
2:26.0,J. Harden makes 3-pt shot from 24 ft (assist by C. Brewer),3,70-65,,
2:03.0,,,70-67,2,H. Barnes makes 2-pt shot from 5 ft
1:51.0,J. Harden makes 3-pt shot from 25 ft,3,73-67,,
1:36.0,,,73-67,,J. Anderson misses 2-pt shot from 15 ft
1:35.0,Defensive rebound by S. Dekker,,73-67,,
1:18.0,Shooting foul by H. Barnes (drawn by N. Hilario),,73-67,,
1:18.0,N. Hilario makes free throw 1 of 2,1,74-67,,
1:18.0,N. Hilario misses free throw 2 of 2,,74-67,,
1:18.0,,,74-67,,J. Barea enters the game for D. Williams
1:17.0,Offensive rebound by K. McDaniels,,74-67,,
1:07.0,C. Brewer misses 3-pt shot from 24 ft,,74-67,,
1:06.0,,,74-67,,Defensive rebound by J. Barea
0:44.0,,,74-67,,H. Barnes misses 3-pt shot from 23 ft
0:43.0,Defensive rebound by N. Hilario,,74-67,,
0:36.0,J. Harden makes 3-pt shot from 26 ft,3,77-67,,
0:25.0,,,77-67,,J. Anderson misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by Team,,77-67,,
0:04.0,Turnover by J. Harden (lost ball; steal by D. Powell),,77-67,,
0:01.0,,,77-67,,W. Matthews misses 3-pt shot from 24 ft
0:00.0,,,77-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,K. McDaniels misses 3-pt shot from 24 ft,,77-67,,
11:37.0,,,77-67,,Defensive rebound by J. Anderson
11:25.0,Personal foul by T. Ennis (drawn by D. Powell),,77-67,,
11:15.0,Shooting block foul by T. Ennis,,77-67,,
11:15.0,,,77-68,1,J. Barea makes free throw 1 of 2
11:15.0,,,77-69,1,J. Barea makes free throw 2 of 2
11:02.0,,,77-69,,Personal block foul by D. Powell (drawn by N. Hilario)
10:53.0,Turnover by N. Hilario (lost ball; steal by J. Anderson),,77-69,,
10:50.0,,,77-69,,Shooting foul by T. Ariza (drawn by J. Anderson)
10:50.0,,,77-70,1,J. Anderson makes free throw 1 of 2
10:50.0,,,77-71,1,J. Anderson makes free throw 2 of 2
10:40.0,E. Gordon misses 3-pt shot from 25 ft,,77-71,,
10:39.0,,,77-71,,Defensive rebound by D. Powell
10:26.0,,,77-71,,Turnover by J. Anderson (bad pass; steal by K. McDaniels)
10:23.0,Turnover by K. McDaniels (bad pass; steal by J. Barea),,77-71,,
10:00.0,,,77-71,,J. Barea misses 2-pt shot from 1 ft
9:58.0,Defensive rebound by T. Ennis,,77-71,,
9:55.0,,,77-71,,Shooting block foul by Q. Acy (drawn by E. Gordon)
9:55.0,E. Gordon makes free throw 1 of 2,1,78-71,,
9:55.0,E. Gordon makes free throw 2 of 2,1,79-71,,
9:32.0,,,79-71,,J. Anderson misses 3-pt shot from 23 ft
9:31.0,,,79-71,,Offensive rebound by D. Powell
9:14.0,,,79-73,2,S. Curry makes 2-pt shot from 4 ft (assist by J. Barea)
9:02.0,T. Ariza makes 3-pt shot from 24 ft (assist by T. Ennis),3,82-73,,
8:36.0,,,82-73,,Q. Acy misses 2-pt shot at rim
8:35.0,Defensive rebound by N. Hilario,,82-73,,
8:27.0,T. Ariza misses 3-pt shot from 24 ft,,82-73,,
8:26.0,Offensive rebound by Team,,82-73,,
8:25.0,Official timeout,,82-73,,
8:25.0,,,82-73,,D. Williams enters the game for J. Barea
8:25.0,,,82-73,,H. Barnes enters the game for Q. Acy
8:24.0,C. Capela enters the game for N. Hilario,,82-73,,
8:22.0,T. Ariza makes 2-pt shot from 3 ft (assist by E. Gordon),2,84-73,,
8:02.0,,,84-73,,H. Barnes misses 2-pt shot from 7 ft
8:00.0,,,84-73,,Offensive rebound by J. Anderson
8:00.0,,,84-75,2,J. Anderson makes 2-pt shot from 1 ft
7:41.0,Turnover by K. McDaniels (lost ball; steal by D. Powell),,84-75,,
7:36.0,,,84-75,,Turnover by D. Williams (lost ball; steal by K. McDaniels)
7:26.0,K. McDaniels makes 3-pt shot from 23 ft (assist by E. Gordon),3,87-75,,
6:59.0,,,87-75,,Turnover by Team (shot clock)
6:59.0,,,87-75,,A. Bogut enters the game for D. Powell
6:59.0,,,87-75,,W. Matthews enters the game for J. Anderson
6:47.0,E. Gordon misses 2-pt shot from 7 ft,,87-75,,
6:46.0,,,87-75,,Defensive rebound by Team
6:33.0,,,87-78,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams)
6:32.0,Houston full timeout,,87-78,,
6:32.0,J. Harden enters the game for T. Ennis,,87-78,,
6:15.0,Turnover by E. Gordon (kicked ball),,87-78,,
6:07.0,Personal foul by T. Ariza (drawn by H. Barnes),,87-78,,
5:59.0,,,87-78,,W. Matthews misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by E. Gordon,,87-78,,
5:40.0,K. McDaniels makes 2-pt shot at rim (assist by J. Harden),2,89-78,,
5:13.0,,,89-78,,D. Williams misses 2-pt shot from 6 ft (block by C. Capela)
5:10.0,Defensive rebound by E. Gordon,,89-78,,
5:06.0,,,89-78,,Personal foul by D. Williams (drawn by J. Harden)
4:55.0,,,89-78,,Shooting block foul by S. Curry (drawn by T. Ariza)
4:55.0,T. Ariza makes free throw 1 of 3,1,90-78,,
4:55.0,T. Ariza makes free throw 2 of 3,1,91-78,,
4:55.0,T. Ariza makes free throw 3 of 3,1,92-78,,
4:55.0,,,92-78,,Dallas full timeout
4:55.0,,,91-78,,J. Barea enters the game for S. Curry
4:55.0,N. Hilario enters the game for C. Capela,,91-78,,
4:34.0,,,92-78,,D. Williams misses 3-pt shot from 26 ft
4:34.0,Defensive rebound by T. Ariza,,92-78,,
4:28.0,,,92-78,,Personal take foul by D. Williams (drawn by N. Hilario)
4:28.0,N. Hilario misses free throw 1 of 2,,92-78,,
4:28.0,Offensive rebound by Team,,92-78,,
4:28.0,N. Hilario makes free throw 2 of 2,1,93-78,,
4:17.0,,,93-78,,H. Barnes misses 2-pt shot from 7 ft
4:16.0,,,93-78,,Offensive rebound by H. Barnes
4:11.0,,,93-78,,W. Matthews misses 3-pt shot from 25 ft
4:11.0,,,93-78,,Offensive rebound by Team
4:11.0,Loose ball foul by K. McDaniels (drawn by H. Barnes),,93-78,,
4:11.0,,,93-79,1,H. Barnes makes free throw 1 of 2
4:11.0,,,93-80,1,H. Barnes makes free throw 2 of 2
4:11.0,,,93-79,,D. Powell enters the game for A. Bogut
4:07.0,,,93-80,,Personal take foul by D. Williams (drawn by N. Hilario)
4:07.0,N. Hilario makes free throw 1 of 2,1,94-80,,
4:07.0,N. Hilario makes free throw 2 of 2,1,95-80,,
3:49.0,,,95-82,2,H. Barnes makes 2-pt shot from 20 ft (assist by J. Barea)
3:28.0,N. Hilario misses 2-pt shot from 14 ft,,95-82,,
3:28.0,,,95-82,,Defensive rebound by H. Barnes
3:21.0,,,95-84,2,H. Barnes makes 2-pt shot from 18 ft
3:03.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden),3,98-84,,
2:52.0,,,98-84,,Shooting foul by N. Hilario (drawn by D. Williams)
2:52.0,,,98-85,1,D. Williams makes free throw 1 of 2
2:52.0,,,98-85,,D. Williams misses free throw 2 of 2
2:51.0,Defensive rebound by J. Harden,,98-85,,
2:51.0,,,98-85,,Personal take foul by D. Powell (drawn by N. Hilario)
2:51.0,N. Hilario makes free throw 1 of 2,1,99-85,,
2:51.0,N. Hilario makes free throw 2 of 2,1,100-85,,
2:51.0,,,99-85,,S. Curry enters the game for D. Williams
2:37.0,,,100-88,3,J. Barea makes 3-pt shot from 24 ft (assist by W. Matthews)
2:18.0,J. Harden makes 2-pt shot from 1 ft,2,102-88,,
2:05.0,,,102-90,2,H. Barnes makes 2-pt shot at rim
1:40.0,Turnover by N. Hilario (lost ball),,102-90,,
1:30.0,,,102-90,,W. Matthews misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by T. Ariza,,102-90,,
1:26.0,,,102-90,,Personal take foul by W. Matthews (drawn by J. Harden)
1:26.0,J. Harden makes free throw 1 of 2,1,103-90,,
1:26.0,,,103-90,,Dallas full timeout
1:26.0,J. Harden makes free throw 2 of 2,1,104-90,,
1:26.0,,,103-90,,A. Hammons enters the game for W. Matthews
1:26.0,,,103-90,,S. Mejri enters the game for J. Barea
1:26.0,,,103-90,,N. Brussino enters the game for H. Barnes
1:26.0,,,103-90,,D. Finney-Smith enters the game for D. Powell
1:26.0,M. Harrell enters the game for T. Ariza,,103-90,,
1:26.0,T. Ennis enters the game for E. Gordon,,103-90,,
1:26.0,S. Dekker enters the game for N. Hilario,,103-90,,
