time,Chicago,pts.away,score,pts.home,Brooklyn
5:11.0,,,10-19,,Turnover by B. Lopez (dbl dribble)
5:11.0,,,10-19,,I. Whitehead enters the game for R. Foye
4:51.0,P. Zipser misses 3-pt shot from 23 ft,,10-19,,
4:49.0,,,10-19,,Defensive rebound by Team
4:38.0,,,10-19,,Shooting foul by P. Zipser (drawn by R. Hollis-Jefferson)
4:38.0,,,10-20,1,R. Hollis-Jefferson makes free throw 1 of 2
4:38.0,,,10-21,1,R. Hollis-Jefferson makes free throw 2 of 2
4:38.0,,,10-20,,S. Dinwiddie enters the game for J. Lin
4:38.0,,,10-20,,K. McDaniels enters the game for C. LeVert
4:38.0,B. Portis enters the game for P. Zipser,,10-20,,
4:38.0,D. Valentine enters the game for N. Mirotic,,10-20,,
4:23.0,Turnover by J. Butler (lost ball; steal by R. Hollis-Jefferson),,10-21,,
4:18.0,,,10-21,,I. Whitehead misses 2-pt shot from 1 ft
4:16.0,,,10-21,,Offensive rebound by I. Whitehead
4:12.0,,,10-23,2,S. Dinwiddie makes 2-pt shot from 14 ft (assist by I. Whitehead)
3:58.0,J. Lauvergne misses 3-pt shot from 24 ft,,10-23,,
3:57.0,,,10-23,,Defensive rebound by R. Hollis-Jefferson
3:51.0,,,10-23,,Turnover by B. Lopez (lost ball; steal by B. Portis)
3:45.0,M. Carter-Williams misses 2-pt shot from 8 ft,,10-23,,
3:44.0,Offensive rebound by J. Lauvergne,,10-23,,
3:40.0,J. Lauvergne misses 2-pt shot from 2 ft (block by B. Lopez),,10-23,,
3:39.0,,,10-23,,Defensive rebound by B. Lopez
3:31.0,,,10-25,2,R. Hollis-Jefferson makes 2-pt shot from 15 ft (assist by S. Dinwiddie)
3:31.0,Chicago full timeout,,10-25,,
3:31.0,,,10-25,,T. Booker enters the game for R. Hollis-Jefferson
3:31.0,,,10-25,,Q. Acy enters the game for B. Lopez
3:18.0,D. Valentine misses 2-pt shot from 6 ft,,10-25,,
3:16.0,Offensive rebound by J. Lauvergne,,10-25,,
3:14.0,J. Lauvergne misses 2-pt shot from 1 ft,,10-25,,
3:13.0,,,10-25,,Defensive rebound by T. Booker
3:08.0,,,10-25,,Turnover by I. Whitehead (lost ball)
2:57.0,M. Carter-Williams misses 2-pt shot from 2 ft,,10-25,,
2:56.0,Offensive rebound by J. Lauvergne,,10-25,,
2:54.0,J. Lauvergne makes 2-pt shot from 2 ft,2,12-25,,
2:48.0,,,12-25,,Q. Acy misses 2-pt shot from 2 ft
2:47.0,Defensive rebound by B. Portis,,12-25,,
2:38.0,Shooting foul by I. Whitehead (drawn by B. Portis),,12-25,,
2:38.0,,,12-25,,Brooklyn full timeout
2:38.0,B. Portis misses free throw 1 of 2,,12-25,,
2:38.0,Offensive rebound by Team,,12-25,,
2:38.0,B. Portis makes free throw 2 of 2,1,13-25,,
2:28.0,,,13-27,2,T. Booker makes 2-pt shot from 3 ft (assist by S. Dinwiddie)
2:10.0,B. Portis makes 3-pt shot from 25 ft (assist by J. Butler),3,16-27,,
1:51.0,,,16-27,,Turnover by K. McDaniels (lost ball; steal by M. Carter-Williams)
1:48.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by I. Whitehead),,16-27,,
1:47.0,Offensive rebound by Team,,16-27,,
1:40.0,Turnover by J. Butler (lost ball; steal by Q. Acy),,16-27,,
1:31.0,,,16-27,,I. Whitehead misses 2-pt shot from 1 ft (block by M. Carter-Williams)
1:30.0,,,16-27,,Offensive rebound by Team
1:23.0,,,16-30,3,Q. Acy makes 3-pt shot from 25 ft (assist by I. Whitehead)
0:57.0,M. Carter-Williams makes 3-pt shot from 25 ft (assist by D. Valentine),3,19-30,,
0:43.0,,,19-30,,Turnover by K. McDaniels (traveling)
0:30.0,J. Butler makes 3-pt shot from 25 ft,3,22-30,,
0:11.0,,,22-32,2,S. Dinwiddie makes 2-pt shot from 2 ft
0:00.0,J. Butler makes 3-pt shot from 26 ft,3,25-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Turnover by D. Valentine (lost ball; steal by A. Goodwin),,25-32,,
11:36.0,,,25-34,2,I. Whitehead makes 2-pt shot from 3 ft (assist by A. Goodwin)
11:23.0,Turnover by D. Wade (bad pass; steal by T. Booker),,25-34,,
11:19.0,,,25-36,2,K. McDaniels makes 2-pt shot from 2 ft
11:04.0,D. Wade misses 3-pt shot from 25 ft,,25-36,,
11:03.0,,,25-36,,Defensive rebound by K. McDaniels
10:54.0,,,25-36,,Q. Acy misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by D. Wade,,25-36,,
10:45.0,B. Portis misses 2-pt shot from 12 ft,,25-36,,
10:44.0,,,25-36,,Defensive rebound by K. McDaniels
10:37.0,,,25-38,2,T. Booker makes 2-pt shot from 2 ft (assist by K. McDaniels)
10:37.0,,,25-38,,Shooting foul by C. Felicio (drawn by T. Booker)
10:37.0,,,25-39,1,T. Booker makes free throw 1 of 1
10:37.0,J. Grant enters the game for M. Carter-Williams,,25-38,,
10:37.0,A. Morrow enters the game for D. Valentine,,25-38,,
10:25.0,J. Grant makes 2-pt shot from 1 ft,2,27-39,,
10:10.0,,,27-42,3,A. Goodwin makes 3-pt shot from 23 ft (assist by I. Whitehead)
9:55.0,C. Felicio makes 2-pt shot from 7 ft (assist by D. Wade),2,29-42,,
9:43.0,Violation by B. Portis (kicked ball),,29-42,,
9:29.0,,,29-42,,Q. Acy misses 3-pt shot from 26 ft
9:28.0,Defensive rebound by C. Felicio,,29-42,,
9:18.0,C. Felicio makes 2-pt shot from 20 ft (assist by J. Grant),2,31-42,,
8:53.0,,,31-42,,T. Booker misses 2-pt shot from 13 ft
8:52.0,Defensive rebound by Team,,31-42,,
8:52.0,,,31-42,,Loose ball foul by Q. Acy (drawn by C. Felicio)
8:52.0,Official timeout,,31-42,,
8:52.0,,,31-42,,S. Dinwiddie enters the game for I. Whitehead
8:36.0,J. Grant makes 3-pt shot from 25 ft (assist by B. Portis),3,34-42,,
8:21.0,,,34-42,,K. McDaniels misses 2-pt shot from 7 ft
8:20.0,Defensive rebound by B. Portis,,34-42,,
8:13.0,Turnover by D. Wade (lost ball; steal by K. McDaniels),,34-42,,
8:10.0,,,34-42,,A. Goodwin misses 2-pt shot from 1 ft
8:08.0,Defensive rebound by C. Felicio,,34-42,,
8:02.0,D. Wade makes 2-pt shot from 2 ft (assist by J. Grant),2,36-42,,
7:41.0,,,36-42,,Q. Acy misses 3-pt shot from 24 ft
7:39.0,,,36-42,,Offensive rebound by T. Booker
7:35.0,,,36-42,,T. Booker misses 2-pt shot from 12 ft
7:33.0,Defensive rebound by B. Portis,,36-42,,
7:26.0,Turnover by D. Wade (bad pass),,36-42,,
7:26.0,,,36-42,,Brooklyn full timeout
7:26.0,J. Butler enters the game for D. Wade,,36-42,,
7:26.0,,,36-42,,B. Lopez enters the game for K. McDaniels
7:26.0,,,36-42,,J. Lin enters the game for Q. Acy
7:04.0,,,36-42,,S. Dinwiddie misses 3-pt shot from 24 ft
7:02.0,Defensive rebound by C. Felicio,,36-42,,
6:50.0,A. Morrow misses 3-pt shot from 23 ft,,36-42,,
6:49.0,,,36-42,,Defensive rebound by T. Booker
6:35.0,,,36-42,,B. Lopez misses 2-pt shot from 21 ft
6:34.0,Defensive rebound by B. Portis,,36-42,,
6:25.0,J. Butler makes 3-pt shot from 25 ft,3,39-42,,
6:09.0,,,39-42,,Turnover by T. Booker (bad pass)
5:52.0,J. Butler misses 2-pt shot from 21 ft,,39-42,,
5:51.0,,,39-42,,Defensive rebound by A. Goodwin
5:32.0,,,39-42,,T. Booker misses 2-pt shot from 6 ft
5:31.0,Defensive rebound by J. Grant,,39-42,,
5:20.0,B. Portis misses 2-pt shot from 19 ft,,39-42,,
5:19.0,,,39-42,,Defensive rebound by S. Dinwiddie
5:13.0,,,39-44,2,A. Goodwin makes 2-pt shot from 13 ft
4:49.0,Turnover by C. Felicio (lost ball; steal by S. Dinwiddie),,39-44,,
4:42.0,,,39-47,3,J. Lin makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
4:42.0,Chicago full timeout,,39-47,,
4:42.0,R. Lopez enters the game for B. Portis,,39-47,,
4:42.0,N. Mirotic enters the game for C. Felicio,,39-47,,
4:42.0,,,39-47,,C. LeVert enters the game for T. Booker
4:42.0,,,39-47,,R. Hollis-Jefferson enters the game for A. Goodwin
4:19.0,J. Grant misses 2-pt shot from 17 ft,,39-47,,
4:17.0,,,39-47,,Defensive rebound by R. Hollis-Jefferson
4:04.0,,,39-47,,S. Dinwiddie misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by J. Butler,,39-47,,
3:43.0,Turnover by J. Grant (bad pass; steal by S. Dinwiddie),,39-47,,
3:31.0,,,39-47,,B. Lopez misses 2-pt shot from 14 ft
3:29.0,Defensive rebound by Team,,39-47,,
3:29.0,,,39-47,,Loose ball foul by B. Lopez (drawn by R. Lopez)
3:29.0,D. Valentine enters the game for A. Morrow,,39-47,,
3:05.0,N. Mirotic misses 2-pt shot from 18 ft,,39-47,,
3:04.0,,,39-47,,Defensive rebound by J. Lin
2:58.0,,,39-47,,Turnover by J. Lin (lost ball)
2:42.0,R. Lopez makes 2-pt shot from 19 ft,2,41-47,,
2:24.0,,,41-47,,J. Lin misses 3-pt shot from 25 ft
2:23.0,Defensive rebound by N. Mirotic,,41-47,,
2:15.0,N. Mirotic misses 3-pt shot from 25 ft,,41-47,,
2:14.0,,,41-47,,Defensive rebound by R. Hollis-Jefferson
2:04.0,Personal foul by D. Valentine (drawn by J. Lin),,41-47,,
1:55.0,,,41-47,,R. Hollis-Jefferson misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by J. Butler,,41-47,,
1:43.0,Turnover by J. Butler (bad pass; steal by J. Lin),,41-47,,
1:39.0,,,41-47,,Turnover by J. Lin (bad pass; steal by N. Mirotic)
1:35.0,Shooting foul by C. LeVert (drawn by R. Lopez),,41-47,,
1:35.0,R. Lopez makes free throw 1 of 2,1,42-47,,
1:35.0,R. Lopez makes free throw 2 of 2,1,43-47,,
1:21.0,,,43-49,2,R. Hollis-Jefferson makes 2-pt shot from 12 ft
1:01.0,J. Grant makes 2-pt shot from 3 ft,2,45-49,,
0:49.0,,,45-49,,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by N. Mirotic)
0:47.0,,,45-49,,Offensive rebound by R. Hollis-Jefferson
0:45.0,,,45-49,,Turnover by R. Hollis-Jefferson (lost ball; steal by J. Grant)
0:36.0,D. Valentine misses 2-pt shot from 6 ft,,45-49,,
0:35.0,,,45-49,,Defensive rebound by Team
0:31.0,,,45-51,2,J. Lin makes 2-pt shot from 2 ft
0:16.0,J. Butler misses 2-pt shot from 12 ft,,45-51,,
0:15.0,,,45-51,,Defensive rebound by C. LeVert
0:02.0,,,45-51,,J. Lin misses 2-pt shot from 3 ft
0:01.0,Defensive rebound by R. Lopez,,45-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Wade misses 2-pt shot from 19 ft,,45-51,,
11:43.0,,,45-51,,Defensive rebound by J. Lin
11:33.0,,,45-51,,B. Lopez misses 2-pt shot from 7 ft
11:32.0,Defensive rebound by Team,,45-51,,
11:16.0,Shooting foul by J. Lin (drawn by N. Mirotic),,45-51,,
11:16.0,N. Mirotic misses free throw 1 of 2,,45-51,,
11:16.0,Offensive rebound by Team,,45-51,,
11:16.0,N. Mirotic makes free throw 2 of 2,1,46-51,,
11:06.0,,,46-51,,R. Foye misses 3-pt shot from 25 ft
11:05.0,,,46-51,,Offensive rebound by R. Hollis-Jefferson
10:58.0,,,46-53,2,B. Lopez makes 2-pt shot at rim (assist by J. Lin)
10:41.0,,,46-53,,Personal foul by R. Hollis-Jefferson (drawn by J. Butler)
10:34.0,J. Butler misses 2-pt shot from 13 ft,,46-53,,
10:33.0,,,46-53,,Defensive rebound by R. Hollis-Jefferson
10:27.0,,,46-53,,J. Lin misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by N. Mirotic,,46-53,,
10:15.0,R. Lopez misses 2-pt shot from 18 ft,,46-53,,
10:14.0,,,46-53,,Defensive rebound by R. Hollis-Jefferson
9:57.0,,,46-53,,R. Foye misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by D. Wade,,46-53,,
9:49.0,Turnover by N. Mirotic (bad pass; steal by J. Lin),,46-53,,
9:46.0,,,46-53,,C. LeVert misses 2-pt shot from 1 ft (block by D. Wade)
9:45.0,,,46-53,,Offensive rebound by Team
9:45.0,B. Portis enters the game for N. Mirotic,,46-53,,
9:32.0,,,46-55,2,R. Hollis-Jefferson makes 2-pt shot from 12 ft (assist by C. LeVert)
9:17.0,J. Butler makes 2-pt shot from 2 ft,2,48-55,,
9:04.0,,,48-55,,B. Lopez misses 2-pt shot from 1 ft (block by R. Lopez)
9:03.0,,,48-55,,Offensive rebound by B. Lopez
9:01.0,,,48-55,,B. Lopez misses 2-pt shot at rim
9:00.0,,,48-55,,Offensive rebound by B. Lopez
8:55.0,,,48-55,,R. Foye misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by R. Lopez,,48-55,,
8:41.0,D. Wade makes 2-pt shot from 11 ft,2,50-55,,
8:26.0,,,50-55,,J. Lin misses 2-pt shot from 5 ft
8:25.0,,,50-55,,Offensive rebound by J. Lin
8:21.0,,,50-55,,C. LeVert misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by B. Portis,,50-55,,
8:09.0,B. Portis makes 3-pt shot from 24 ft (assist by J. Grant),3,53-55,,
8:08.0,,,53-55,,Brooklyn full timeout
8:08.0,,,53-55,,T. Booker enters the game for R. Hollis-Jefferson
7:50.0,,,53-55,,Turnover by C. LeVert (bad pass)
7:35.0,R. Lopez makes 2-pt shot at rim (assist by D. Wade),2,55-55,,
7:20.0,,,55-58,3,C. LeVert makes 3-pt shot from 24 ft
7:02.0,J. Grant makes 3-pt shot from 25 ft,3,58-58,,
6:49.0,,,58-60,2,C. LeVert makes 2-pt shot from 1 ft
6:37.0,Shooting foul by C. LeVert (drawn by D. Wade),,58-60,,
6:37.0,D. Wade makes free throw 1 of 2,1,59-60,,
6:37.0,D. Wade makes free throw 2 of 2,1,60-60,,
6:37.0,,,59-60,,I. Whitehead enters the game for R. Foye
6:37.0,,,59-60,,S. Dinwiddie enters the game for J. Lin
6:17.0,,,60-62,2,I. Whitehead makes 2-pt shot from 1 ft
6:01.0,B. Portis misses 3-pt shot from 25 ft,,60-62,,
6:00.0,Offensive rebound by J. Butler,,60-62,,
5:58.0,R. Lopez makes 2-pt shot at rim (assist by J. Butler),2,62-62,,
5:41.0,,,62-62,,T. Booker misses 2-pt shot from 5 ft
5:40.0,Defensive rebound by B. Portis,,62-62,,
5:29.0,B. Portis makes 2-pt shot from 9 ft,2,64-62,,
5:14.0,,,64-62,,J. Hamilton enters the game for B. Lopez
5:14.0,,,64-62,,K. McDaniels enters the game for C. LeVert
5:14.0,P. Zipser enters the game for D. Wade,,64-62,,
5:10.0,,,64-64,2,S. Dinwiddie makes 2-pt shot from 1 ft
5:10.0,,,64-64,,Shooting foul by R. Lopez (drawn by S. Dinwiddie)
5:10.0,,,64-65,1,S. Dinwiddie makes free throw 1 of 1
4:55.0,R. Lopez makes 2-pt shot from 19 ft (assist by J. Butler),2,66-65,,
4:41.0,,,66-65,,K. McDaniels misses 2-pt shot from 10 ft
4:40.0,,,66-65,,Offensive rebound by J. Hamilton
4:39.0,,,66-65,,J. Hamilton misses 2-pt shot at rim
4:38.0,Defensive rebound by J. Butler,,66-65,,
4:31.0,J. Butler makes 2-pt shot from 1 ft,2,68-65,,
4:08.0,,,68-65,,Shooting foul by J. Grant
4:08.0,,,68-66,1,K. McDaniels makes free throw 1 of 2
4:08.0,,,68-67,1,K. McDaniels makes free throw 2 of 2
3:44.0,J. Butler makes 3-pt shot from 23 ft (assist by B. Portis),3,71-67,,
3:33.0,,,71-67,,Offensive foul by J. Hamilton
3:33.0,,,71-67,,Turnover by J. Hamilton (offensive foul)
3:21.0,J. Butler misses 2-pt shot from 21 ft,,71-67,,
3:20.0,,,71-67,,Defensive rebound by T. Booker
3:05.0,,,71-67,,T. Booker misses 2-pt shot from 7 ft
3:04.0,Defensive rebound by J. Grant,,71-67,,
2:59.0,B. Portis misses 2-pt shot from 2 ft (block by J. Hamilton),,71-67,,
2:57.0,Offensive rebound by R. Lopez,,71-67,,
2:56.0,R. Lopez makes 2-pt shot from 2 ft,2,73-67,,
2:43.0,,,73-67,,J. Hamilton misses 3-pt shot from 26 ft
2:42.0,Defensive rebound by B. Portis,,73-67,,
2:31.0,J. Butler misses 2-pt shot from 15 ft (block by K. McDaniels),,73-67,,
2:29.0,,,73-67,,Defensive rebound by I. Whitehead
2:27.0,,,73-69,2,K. McDaniels makes 2-pt shot at rim
2:07.0,J. Grant makes 3-pt shot from 23 ft,3,76-69,,
1:39.0,,,76-71,2,T. Booker makes 2-pt shot from 2 ft
1:26.0,J. Butler makes 2-pt shot from 1 ft,2,78-71,,
1:15.0,,,78-73,2,T. Booker makes 2-pt shot from 22 ft (assist by S. Dinwiddie)
1:00.0,J. Grant makes 2-pt shot from 1 ft,2,80-73,,
0:52.0,,,80-73,,K. McDaniels misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by J. Butler,,80-73,,
0:42.0,J. Grant misses 3-pt shot from 25 ft,,80-73,,
0:40.0,,,80-73,,Defensive rebound by I. Whitehead
0:33.0,,,80-73,,I. Whitehead misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by Team,,80-73,,
0:32.0,Chicago full timeout,,80-73,,
0:32.0,C. Felicio enters the game for R. Lopez,,80-73,,
0:32.0,N. Mirotic enters the game for B. Portis,,80-73,,
0:32.0,,,80-73,,R. Hollis-Jefferson enters the game for J. Hamilton
0:10.0,J. Butler makes 2-pt shot from 17 ft,2,82-73,,
0:05.0,Personal foul by J. Grant (drawn by S. Dinwiddie),,82-73,,
0:05.0,M. Carter-Williams enters the game for J. Grant,,82-73,,
0:05.0,,,82-73,,B. Lopez enters the game for T. Booker
0:05.0,,,82-73,,J. Lin enters the game for I. Whitehead
0:02.0,,,82-75,2,J. Lin makes 2-pt shot from 17 ft (assist by R. Hollis-Jefferson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,82-77,2,S. Dinwiddie makes 2-pt shot from 2 ft
11:46.0,,,82-77,,Shooting foul by D. Valentine (drawn by S. Dinwiddie)
11:46.0,,,82-78,1,S. Dinwiddie makes free throw 1 of 1
11:35.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,84-78,,
11:24.0,,,84-78,,S. Dinwiddie misses 2-pt shot from 11 ft
11:23.0,,,84-78,,Offensive rebound by S. Dinwiddie
11:16.0,,,84-78,,Shooting foul by M. Carter-Williams (drawn by A. Goodwin)
11:16.0,,,84-79,1,A. Goodwin makes free throw 1 of 2
11:16.0,,,84-79,,A. Goodwin misses free throw 2 of 2
11:15.0,Defensive rebound by N. Mirotic,,84-79,,
11:07.0,Shooting foul by T. Booker (drawn by M. Carter-Williams),,84-79,,
11:07.0,M. Carter-Williams makes free throw 1 of 2,1,85-79,,
11:07.0,M. Carter-Williams makes free throw 2 of 2,1,86-79,,
10:53.0,,,86-79,,T. Booker misses 2-pt shot from 2 ft
10:52.0,Defensive rebound by N. Mirotic,,86-79,,
10:32.0,M. Carter-Williams misses 2-pt shot from 16 ft,,86-79,,
10:32.0,,,86-79,,Defensive rebound by K. McDaniels
10:28.0,Personal foul by D. Valentine (drawn by T. Booker),,86-79,,
10:28.0,D. Wade enters the game for D. Valentine,,86-79,,
10:21.0,,,86-79,,A. Goodwin misses 2-pt shot from 1 ft
10:20.0,Defensive rebound by C. Felicio,,86-79,,
10:09.0,N. Mirotic misses 3-pt shot from 25 ft,,86-79,,
10:05.0,Offensive rebound by D. Wade,,86-79,,
10:01.0,Turnover by P. Zipser (lost ball; steal by T. Booker),,86-79,,
9:51.0,,,86-79,,A. Goodwin misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by D. Wade,,86-79,,
9:41.0,D. Wade misses 2-pt shot from 22 ft,,86-79,,
9:40.0,Offensive rebound by C. Felicio,,86-79,,
9:28.0,Turnover by D. Wade (lost ball; steal by K. McDaniels),,86-79,,
9:24.0,,,86-81,2,S. Dinwiddie makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson)
9:08.0,M. Carter-Williams misses 2-pt shot at rim,,86-81,,
9:07.0,Offensive rebound by C. Felicio,,86-81,,
9:06.0,C. Felicio makes 2-pt shot from 1 ft,2,88-81,,
8:51.0,,,88-81,,Turnover by S. Dinwiddie (bad pass; steal by M. Carter-Williams)
8:40.0,D. Wade misses 3-pt shot from 25 ft,,88-81,,
8:39.0,,,88-81,,Defensive rebound by Team
8:39.0,Official timeout,,88-81,,
8:39.0,,,88-81,,B. Lopez enters the game for T. Booker
8:39.0,,,88-81,,I. Whitehead enters the game for S. Dinwiddie
8:39.0,,,88-81,,J. Lin enters the game for A. Goodwin
8:22.0,,,88-83,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Lin)
8:10.0,M. Carter-Williams misses 2-pt shot from 17 ft,,88-83,,
8:09.0,,,88-83,,Defensive rebound by I. Whitehead
8:00.0,,,88-83,,J. Lin misses 2-pt shot from 6 ft
7:59.0,Defensive rebound by N. Mirotic,,88-83,,
7:48.0,D. Wade makes 2-pt shot from 13 ft,2,90-83,,
7:29.0,,,90-83,,K. McDaniels misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by P. Zipser,,90-83,,
7:14.0,D. Wade makes 2-pt shot from 14 ft,2,92-83,,
6:56.0,,,92-86,3,B. Lopez makes 3-pt shot from 25 ft (assist by J. Lin)
6:38.0,D. Wade misses 2-pt shot from 4 ft (block by K. McDaniels),,92-86,,
6:37.0,Offensive rebound by D. Wade,,92-86,,
6:36.0,Shooting foul by R. Hollis-Jefferson (drawn by D. Wade),,92-86,,
6:36.0,D. Wade makes free throw 1 of 2,1,93-86,,
6:36.0,D. Wade makes free throw 2 of 2,1,94-86,,
6:36.0,,,93-86,,C. LeVert enters the game for K. McDaniels
6:36.0,J. Butler enters the game for P. Zipser,,93-86,,
6:36.0,R. Lopez enters the game for C. Felicio,,93-86,,
6:25.0,,,94-86,,J. Lin misses 2-pt shot from 15 ft
6:23.0,Defensive rebound by J. Butler,,94-86,,
6:14.0,J. Butler misses 2-pt shot from 16 ft,,94-86,,
6:13.0,,,94-86,,Defensive rebound by C. LeVert
6:00.0,,,94-86,,B. Lopez misses 2-pt shot from 3 ft
5:58.0,Defensive rebound by R. Lopez,,94-86,,
5:45.0,D. Wade misses 2-pt shot from 19 ft,,94-86,,
5:44.0,,,94-86,,Defensive rebound by C. LeVert
5:29.0,,,94-86,,J. Lin misses 2-pt shot from 17 ft
5:28.0,Defensive rebound by J. Butler,,94-86,,
