time,Atlanta,pts.away,score,pts.home,Chicago
7:39.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,33-37,,
7:23.0,,,33-40,3,D. McDermott makes 3-pt shot from 27 ft (assist by R. Rondo)
7:02.0,D. Schroder makes 3-pt shot from 26 ft (assist by T. Hardaway),3,36-40,,
6:39.0,,,36-42,2,D. Wade makes 2-pt shot from 8 ft
6:28.0,T. Hardaway makes 3-pt shot from 24 ft (assist by D. Schroder),3,39-42,,
6:06.0,,,39-42,,J. Butler misses 2-pt shot from 16 ft
6:03.0,Defensive rebound by K. Bazemore,,39-42,,
5:54.0,D. Howard misses 2-pt shot from 4 ft,,39-42,,
5:54.0,Offensive rebound by Team,,39-42,,
5:54.0,,,39-42,,Violation by R. Rondo (kicked ball)
5:54.0,P. Millsap enters the game for T. Hardaway,,39-42,,
5:54.0,,,39-42,,T. Gibson enters the game for R. Rondo
5:48.0,K. Bazemore misses 3-pt shot from 25 ft,,39-42,,
5:47.0,,,39-42,,Defensive rebound by C. Felicio
5:31.0,,,39-44,2,D. Wade makes 2-pt shot from 18 ft (assist by C. Felicio)
5:16.0,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Howard),2,41-44,,
4:58.0,,,41-46,2,D. McDermott makes 2-pt shot from 15 ft
4:40.0,Offensive charge foul by P. Millsap,,41-46,,
4:40.0,Turnover by P. Millsap (offensive foul),,41-46,,
4:40.0,,,41-46,,R. Lopez enters the game for C. Felicio
4:18.0,,,41-48,2,J. Butler makes 2-pt shot from 18 ft (assist by R. Lopez)
3:50.0,D. Schroder misses 2-pt shot from 2 ft (block by T. Gibson),,41-48,,
3:48.0,,,41-48,,Defensive rebound by R. Lopez
3:35.0,,,41-50,2,D. Wade makes 2-pt shot from 11 ft
3:15.0,Shooting foul by T. Gibson (drawn by P. Millsap),,41-50,,
3:15.0,P. Millsap misses free throw 1 of 2,,41-50,,
3:15.0,Offensive rebound by Team,,41-50,,
3:15.0,P. Millsap makes free throw 2 of 2,1,42-50,,
3:15.0,K. Humphries enters the game for D. Howard,,41-50,,
3:15.0,T. Hardaway enters the game for K. Bazemore,,41-50,,
3:06.0,Shooting block foul by K. Humphries (drawn by D. Wade),,42-50,,
3:06.0,,,42-50,,D. Wade misses free throw 1 of 2
3:06.0,,,42-50,,Offensive rebound by Team
3:06.0,,,42-51,1,D. Wade makes free throw 2 of 2
2:50.0,K. Humphries makes 2-pt shot from 2 ft (assist by T. Hardaway),2,44-51,,
2:28.0,,,44-51,,D. Wade misses 3-pt shot from 26 ft
2:27.0,Defensive rebound by P. Millsap,,44-51,,
2:09.0,K. Humphries misses 3-pt shot from 23 ft,,44-51,,
2:08.0,,,44-51,,Defensive rebound by D. McDermott
1:55.0,,,44-53,2,D. Wade makes 2-pt shot from 21 ft
1:43.0,D. Schroder misses 2-pt shot from 2 ft,,44-53,,
1:42.0,,,44-53,,Defensive rebound by T. Gibson
1:37.0,,,44-53,,Shooting foul by K. Humphries (drawn by J. Butler)
1:37.0,,,44-53,,Chicago full timeout
1:37.0,,,44-54,1,J. Butler makes free throw 1 of 2
1:37.0,,,44-55,1,J. Butler makes free throw 2 of 2
1:19.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder),3,47-55,,
1:19.0,Shooting foul by D. Wade (drawn by T. Hardaway),,47-55,,
1:19.0,T. Hardaway makes free throw 1 of 1,1,48-55,,
1:08.0,Personal foul by T. Hardaway (drawn by J. Butler),,48-55,,
1:08.0,,,48-56,1,J. Butler makes free throw 1 of 2
1:08.0,,,48-57,1,J. Butler makes free throw 2 of 2
0:53.0,Turnover by T. Hardaway (bad pass),,48-57,,
0:31.0,,,48-59,2,D. Wade makes 2-pt shot from 22 ft (assist by T. Gibson)
0:28.0,D. Schroder makes 3-pt shot from 25 ft,3,51-59,,
0:05.0,,,51-59,,D. McDermott misses 3-pt shot from 24 ft
0:03.0,,,51-59,,Offensive rebound by T. Gibson
0:03.0,,,51-59,,T. Gibson misses 2-pt shot from 2 ft
0:00.0,,,51-59,,Offensive rebound by J. Butler
0:00.0,,,51-59,,J. Butler misses 2-pt shot from 21 ft
0:00.0,,,51-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,T. Sefolosha misses 3-pt shot from 26 ft,,51-59,,
11:36.0,Offensive rebound by Team,,51-59,,
11:36.0,Turnover by Team (shot clock),,51-59,,
11:20.0,,,51-59,,D. Wade misses 2-pt shot from 12 ft
11:18.0,Defensive rebound by P. Millsap,,51-59,,
11:06.0,Shooting foul by T. Gibson (drawn by D. Schroder),,51-59,,
11:06.0,D. Schroder makes free throw 1 of 2,1,52-59,,
11:06.0,D. Schroder makes free throw 2 of 2,1,53-59,,
10:57.0,Personal foul by D. Schroder (drawn by J. Butler),,53-59,,
10:48.0,,,53-59,,R. Lopez misses 2-pt shot from 19 ft
10:47.0,Defensive rebound by K. Bazemore,,53-59,,
10:28.0,K. Bazemore misses 2-pt shot from 16 ft,,53-59,,
10:27.0,,,53-59,,Defensive rebound by T. Gibson
10:15.0,,,53-61,2,D. Wade makes 2-pt shot from 2 ft
10:00.0,K. Bazemore makes 3-pt shot from 28 ft (assist by D. Schroder),3,56-61,,
9:43.0,,,56-61,,J. Butler misses 2-pt shot from 18 ft
9:42.0,Defensive rebound by D. Howard,,56-61,,
9:29.0,K. Bazemore misses 2-pt shot from 17 ft (block by D. Wade),,56-61,,
9:25.0,,,56-61,,Defensive rebound by J. Grant
9:25.0,,,56-61,,Shooting foul by D. Schroder (drawn by J. Butler)
9:25.0,,,56-62,1,J. Butler makes free throw 1 of 2
9:25.0,,,56-63,1,J. Butler makes free throw 2 of 2
9:13.0,D. Schroder misses 3-pt shot from 26 ft,,56-63,,
9:11.0,,,56-63,,Defensive rebound by D. Wade
8:58.0,,,56-63,,D. Wade misses 2-pt shot at rim
8:57.0,Defensive rebound by D. Schroder,,56-63,,
8:50.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Schroder),2,58-63,,
8:42.0,,,58-63,,Shooting foul by P. Millsap (drawn by T. Gibson)
8:42.0,,,58-63,,T. Gibson misses free throw 1 of 2
8:42.0,,,58-63,,Offensive rebound by Team
8:42.0,,,58-63,,T. Gibson misses free throw 2 of 2
8:40.0,Defensive rebound by P. Millsap,,58-63,,
8:24.0,K. Bazemore misses 2-pt shot from 2 ft,,58-63,,
8:23.0,,,58-63,,Defensive rebound by R. Lopez
8:05.0,,,58-63,,J. Grant misses 3-pt shot from 27 ft
8:04.0,Defensive rebound by D. Howard,,58-63,,
7:54.0,D. Howard misses 2-pt shot from 2 ft,,58-63,,
7:52.0,,,58-63,,Defensive rebound by T. Gibson
7:41.0,,,58-65,2,J. Butler makes 2-pt shot from 6 ft (assist by J. Grant)
7:27.0,P. Millsap misses 3-pt shot from 27 ft,,58-65,,
7:26.0,,,58-65,,Defensive rebound by J. Butler
7:19.0,,,58-65,,D. Wade misses 2-pt shot from 2 ft
7:17.0,,,58-65,,Offensive rebound by D. Wade
7:17.0,,,58-65,,D. Wade misses 2-pt shot at rim
7:16.0,Defensive rebound by D. Howard,,58-65,,
7:11.0,P. Millsap misses 2-pt shot from 2 ft,,58-65,,
7:10.0,Offensive rebound by T. Sefolosha,,58-65,,
7:08.0,T. Sefolosha misses 2-pt shot from 1 ft (block by R. Lopez),,58-65,,
7:05.0,,,58-65,,Defensive rebound by J. Grant
7:04.0,,,58-67,2,T. Gibson makes 2-pt shot at rim (assist by J. Grant)
7:04.0,Atlanta full timeout,,58-67,,
7:04.0,M. Delaney enters the game for D. Schroder,,58-67,,
7:04.0,T. Hardaway enters the game for T. Sefolosha,,58-67,,
6:50.0,Turnover by P. Millsap (bad pass),,58-67,,
6:38.0,,,58-70,3,J. Grant makes 3-pt shot from 26 ft
6:23.0,P. Millsap makes 2-pt shot from 2 ft,2,60-70,,
6:19.0,,,60-70,,Shooting foul by M. Delaney (drawn by D. Wade)
6:19.0,,,60-70,,D. Wade misses free throw 1 of 2
6:19.0,,,60-70,,Offensive rebound by Team
6:19.0,,,60-70,,D. Wade misses free throw 2 of 2
6:18.0,Defensive rebound by P. Millsap,,60-70,,
5:52.0,P. Millsap makes 3-pt shot from 27 ft (assist by K. Bazemore),3,63-70,,
5:39.0,,,63-70,,T. Gibson misses 2-pt shot from 18 ft
5:38.0,Defensive rebound by D. Howard,,63-70,,
5:25.0,,,63-70,,Personal foul by J. Grant (drawn by T. Hardaway)
5:25.0,,,63-70,,D. McDermott enters the game for D. Wade
5:18.0,P. Millsap makes 3-pt shot from 23 ft (assist by K. Bazemore),3,66-70,,
4:56.0,,,66-70,,R. Lopez misses 2-pt shot from 18 ft
4:55.0,,,66-70,,Offensive rebound by J. Butler
4:51.0,,,66-70,,J. Butler misses 3-pt shot from 26 ft
4:50.0,Defensive rebound by T. Hardaway,,66-70,,
4:44.0,K. Bazemore makes 3-pt shot from 27 ft (assist by T. Hardaway),3,69-70,,
4:44.0,,,69-70,,Chicago full timeout
4:44.0,,,69-70,,N. Mirotic enters the game for T. Gibson
4:19.0,,,69-70,,D. McDermott misses 3-pt shot from 24 ft
4:18.0,,,69-70,,Offensive rebound by Team
4:15.0,,,69-72,2,J. Butler makes 2-pt shot from 1 ft (assist by J. Grant)
4:06.0,,,69-72,,Personal foul by R. Lopez (drawn by D. Howard)
