time,Golden State,pts.away,score,pts.home,Denver
8:25.0,,,9-14,2,J. Hernangomez makes 2-pt shot at rim (assist by N. Jokic)
8:25.0,Golden State full timeout,,9-14,,
8:12.0,K. Durant makes 2-pt shot at rim (assist by P. McCaw),2,11-14,,
8:03.0,,,11-14,,W. Barton misses 2-pt shot from 1 ft
8:02.0,Defensive rebound by J. McGee,,11-14,,
7:54.0,S. Curry misses 3-pt shot from 25 ft,,11-14,,
7:53.0,,,11-14,,Defensive rebound by N. Jokic
7:43.0,,,11-17,3,W. Barton makes 3-pt shot from 25 ft
7:22.0,J. McGee misses 2-pt shot from 2 ft,,11-17,,
7:21.0,,,11-17,,Defensive rebound by J. Nelson
7:16.0,Personal foul by J. McGee (drawn by N. Jokic),,11-17,,
7:07.0,,,11-17,,W. Barton misses 2-pt shot at rim
7:07.0,Defensive rebound by J. McGee,,11-17,,
6:52.0,S. Curry misses 2-pt shot from 21 ft,,11-17,,
6:51.0,,,11-17,,Defensive rebound by W. Barton
6:36.0,,,11-20,3,J. Hernangomez makes 3-pt shot from 23 ft (assist by J. Nelson)
6:18.0,D. Green misses 3-pt shot from 25 ft,,11-20,,
6:17.0,,,11-20,,Defensive rebound by W. Barton
6:06.0,,,11-20,,Turnover by J. Nelson (bad pass; steal by K. Durant)
6:00.0,K. Durant makes 2-pt shot from 2 ft,2,13-20,,
5:52.0,,,13-20,,W. Barton misses 3-pt shot from 26 ft
5:51.0,Defensive rebound by J. McGee,,13-20,,
5:42.0,Shooting foul by J. Hernangomez (drawn by D. Green),,13-20,,
5:42.0,D. Green makes free throw 1 of 2,1,14-20,,
5:42.0,D. Green makes free throw 2 of 2,1,15-20,,
5:42.0,,,14-20,,J. Murray enters the game for G. Harris
5:29.0,,,15-20,,Turnover by W. Barton (lost ball; steal by D. Green)
5:23.0,D. Green misses 2-pt shot from 3 ft,,15-20,,
5:22.0,,,15-20,,Defensive rebound by J. Nelson
5:13.0,,,15-23,3,J. Murray makes 3-pt shot from 23 ft (assist by J. Nelson)
4:58.0,S. Curry misses 3-pt shot from 26 ft,,15-23,,
4:57.0,,,15-23,,Defensive rebound by N. Jokic
4:44.0,,,15-25,2,J. Murray makes 2-pt shot from 2 ft (assist by N. Jokic)
4:23.0,Turnover by J. McGee (lost ball; steal by N. Jokic),,15-25,,
4:18.0,,,15-25,,J. Nelson misses 3-pt shot from 25 ft
4:17.0,,,15-25,,Offensive rebound by N. Jokic
4:16.0,,,15-25,,N. Jokic misses 2-pt shot from 2 ft (block by K. Durant)
4:15.0,Defensive rebound by K. Durant,,15-25,,
4:14.0,Turnover by K. Durant (lost ball; steal by N. Jokic),,15-25,,
4:12.0,,,15-27,2,N. Jokic makes 2-pt shot from 2 ft
4:12.0,Golden State full timeout,,15-27,,
4:12.0,I. Clark enters the game for J. McGee,,15-27,,
4:12.0,A. Iguodala enters the game for D. Green,,15-27,,
4:12.0,K. Looney enters the game for P. McCaw,,15-27,,
3:59.0,S. Curry makes 2-pt shot from 19 ft,2,17-27,,
3:45.0,,,17-29,2,N. Jokic makes 2-pt shot from 17 ft (assist by J. Nelson)
3:28.0,K. Durant makes 2-pt shot from 18 ft (assist by A. Iguodala),2,19-29,,
3:14.0,,,19-29,,Shooting foul by I. Clark (drawn by J. Murray)
3:14.0,,,19-30,1,J. Murray makes free throw 1 of 2
3:14.0,,,19-31,1,J. Murray makes free throw 2 of 2
2:55.0,A. Iguodala makes 2-pt shot from 2 ft (assist by K. Durant),2,21-31,,
2:46.0,,,21-33,2,J. Nelson makes 2-pt shot from 2 ft
2:31.0,I. Clark misses 2-pt shot from 9 ft,,21-33,,
2:30.0,,,21-33,,Defensive rebound by N. Jokic
2:22.0,,,21-36,3,J. Nelson makes 3-pt shot from 27 ft (assist by W. Barton)
2:12.0,Shooting foul by J. Murray (drawn by S. Curry),,21-36,,
2:12.0,,,21-36,,Denver full timeout
2:12.0,S. Curry makes free throw 1 of 2,1,22-36,,
2:12.0,S. Curry makes free throw 2 of 2,1,23-36,,
2:12.0,D. Green enters the game for K. Durant,,21-36,,
2:12.0,,,21-36,,G. Harris enters the game for N. Jokic
2:12.0,,,21-36,,J. O'Bryant enters the game for J. Nelson
1:49.0,,,23-36,,Turnover by J. Murray (bad pass; steal by D. Green)
1:41.0,I. Clark makes 3-pt shot from 25 ft (assist by D. Green),3,26-36,,
1:17.0,,,26-39,3,J. Hernangomez makes 3-pt shot from 26 ft (assist by W. Barton)
1:03.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,28-39,,
0:50.0,,,28-39,,J. Hernangomez misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by I. Clark,,28-39,,
0:43.0,,,28-39,,M. Miller enters the game for J. Hernangomez
0:42.0,A. Iguodala makes 2-pt shot at rim (assist by S. Curry),2,30-39,,
0:27.0,,,30-42,3,J. O'Bryant makes 3-pt shot from 24 ft (assist by J. Murray)
0:06.0,S. Curry misses 3-pt shot from 24 ft,,30-42,,
0:06.0,,,30-42,,Defensive rebound by W. Barton
0:01.0,,,30-42,,W. Barton misses 2-pt shot from 3 ft
0:01.0,Defensive rebound by A. Iguodala,,30-42,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,I. Clark makes 2-pt shot from 12 ft (assist by D. Green),2,32-42,,
11:25.0,,,32-42,,Turnover by J. O'Bryant (lost ball; steal by J. McAdoo)
11:19.0,I. Clark makes 2-pt shot from 1 ft (assist by D. Green),2,34-42,,
11:12.0,Personal foul by B. Weber (drawn by J. Murray),,34-42,,
11:03.0,,,34-44,2,J. Murray makes 2-pt shot from 20 ft
10:39.0,I. Clark misses 2-pt shot from 21 ft,,34-44,,
10:39.0,,,34-44,,Defensive rebound by J. Hernangomez
10:31.0,,,34-47,3,M. Miller makes 3-pt shot from 25 ft (assist by J. Murray)
10:07.0,Turnover by I. Clark (step out of bounds),,34-47,,
9:54.0,,,34-47,,Turnover by M. Beasley (traveling)
9:39.0,,,34-47,,Personal foul by M. Miller (drawn by D. Green)
9:31.0,A. Iguodala misses 3-pt shot from 26 ft,,34-47,,
9:31.0,,,34-47,,Defensive rebound by Team
9:14.0,,,34-50,3,J. Hernangomez makes 3-pt shot from 26 ft (assist by J. Murray)
8:53.0,D. Green misses 2-pt shot from 3 ft,,34-50,,
8:52.0,,,34-50,,Defensive rebound by J. O'Bryant
8:51.0,,,34-50,,Turnover by J. Murray (bad pass)
8:51.0,Official timeout,,34-50,,
8:51.0,Golden State full timeout,,34-50,,
8:34.0,,,34-50,,Personal foul by J. O'Bryant (drawn by J. McAdoo)
8:28.0,Turnover by I. Clark (bad pass; steal by J. Murray),,34-50,,
8:23.0,,,34-50,,Turnover by J. Hernangomez (lost ball; steal by I. Clark)
8:11.0,K. Durant enters the game for D. Green,,34-50,,
8:11.0,P. McCaw enters the game for A. Iguodala,,34-50,,
8:03.0,K. Durant misses 3-pt shot from 25 ft,,34-50,,
8:02.0,,,34-50,,Defensive rebound by M. Miller
7:58.0,,,34-50,,J. Hernangomez misses 2-pt shot from 4 ft
7:57.0,,,34-50,,Offensive rebound by J. O'Bryant
7:56.0,,,34-50,,Shooting foul by P. McCaw (drawn by J. O'Bryant)
7:56.0,,,34-51,1,J. O'Bryant makes free throw 1 of 2
7:56.0,,,34-52,1,J. O'Bryant makes free throw 2 of 2
7:31.0,P. McCaw makes 3-pt shot from 27 ft (assist by K. Durant),3,37-52,,
7:10.0,,,37-52,,J. Murray misses 3-pt shot from 26 ft
7:09.0,,,37-52,,Offensive rebound by J. O'Bryant
7:05.0,,,37-55,3,M. Miller makes 3-pt shot from 25 ft (assist by J. O'Bryant)
6:52.0,K. Durant makes 3-pt shot from 27 ft,3,40-55,,
6:28.0,,,40-57,2,J. Murray makes 2-pt shot from 2 ft
6:14.0,I. Clark makes 3-pt shot from 26 ft (assist by K. Durant),3,43-57,,
6:00.0,,,43-57,,Turnover by M. Beasley (lost ball)
6:00.0,,,43-57,,W. Barton enters the game for J. O'Bryant
6:00.0,,,43-57,,G. Harris enters the game for M. Miller
6:00.0,,,43-57,,N. Jokic enters the game for M. Beasley
6:00.0,S. Curry enters the game for I. Clark,,43-57,,
6:00.0,J. McGee enters the game for J. McAdoo,,43-57,,
5:42.0,S. Curry misses 2-pt shot from 9 ft,,43-57,,
5:41.0,,,43-57,,Defensive rebound by J. Murray
5:35.0,,,43-60,3,G. Harris makes 3-pt shot from 24 ft (assist by J. Murray)
5:23.0,K. Durant makes 2-pt shot at rim,2,45-60,,
5:15.0,,,45-60,,J. Murray misses 2-pt shot from 2 ft (block by B. Weber)
5:14.0,,,45-60,,Offensive rebound by Team
5:14.0,,,45-60,,J. Nelson enters the game for J. Murray
4:55.0,,,45-63,3,W. Barton makes 3-pt shot from 24 ft (assist by J. Nelson)
4:48.0,Turnover by S. Curry (bad pass),,45-63,,
4:43.0,,,45-65,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
4:25.0,K. Durant misses 2-pt shot from 10 ft,,45-65,,
4:24.0,,,45-65,,Defensive rebound by J. Nelson
4:16.0,,,45-65,,Turnover by G. Harris (bad pass; steal by S. Curry)
3:56.0,J. McGee makes 2-pt shot from 2 ft,2,47-65,,
3:43.0,,,47-65,,G. Harris misses 3-pt shot from 24 ft
3:42.0,,,47-65,,Offensive rebound by N. Jokic
3:37.0,,,47-68,3,J. Nelson makes 3-pt shot from 24 ft (assist by N. Jokic)
3:25.0,K. Durant misses 2-pt shot from 16 ft,,47-68,,
3:24.0,Offensive rebound by K. Durant,,47-68,,
3:19.0,P. McCaw misses 3-pt shot from 23 ft,,47-68,,
3:18.0,,,47-68,,Defensive rebound by N. Jokic
3:09.0,,,47-68,,J. Nelson misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by J. McGee,,47-68,,
3:06.0,,,47-68,,Shooting block foul by J. Hernangomez (drawn by K. Durant)
3:06.0,K. Durant makes free throw 1 of 2,1,48-68,,
3:06.0,K. Durant makes free throw 2 of 2,1,49-68,,
3:06.0,D. Green enters the game for B. Weber,,48-68,,
3:06.0,A. Iguodala enters the game for J. McGee,,48-68,,
2:48.0,,,49-71,3,W. Barton makes 3-pt shot from 24 ft (assist by N. Jokic)
2:36.0,S. Curry makes 3-pt shot from 26 ft,3,52-71,,
2:15.0,,,52-71,,N. Jokic misses 2-pt shot from 19 ft
2:15.0,Defensive rebound by K. Durant,,52-71,,
2:09.0,S. Curry misses 3-pt shot from 25 ft,,52-71,,
2:08.0,,,52-71,,Defensive rebound by N. Jokic
1:55.0,,,52-74,3,J. Hernangomez makes 3-pt shot from 26 ft (assist by G. Harris)
1:43.0,S. Curry misses 3-pt shot from 26 ft,,52-74,,
1:42.0,,,52-74,,Defensive rebound by N. Jokic
1:31.0,,,52-77,3,G. Harris makes 3-pt shot from 26 ft (assist by J. Hernangomez)
1:14.0,A. Iguodala misses 3-pt shot from 23 ft,,52-77,,
1:13.0,,,52-77,,Defensive rebound by N. Jokic
1:03.0,,,52-79,2,J. Nelson makes 2-pt shot from 2 ft (assist by N. Jokic)
0:46.0,K. Durant misses 3-pt shot from 26 ft,,52-79,,
0:45.0,,,52-79,,Defensive rebound by J. Hernangomez
0:34.0,,,52-79,,Offensive foul by N. Jokic
0:34.0,,,52-79,,Turnover by N. Jokic (offensive foul)
0:34.0,,,52-79,,Denver full timeout
0:27.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,54-79,,
0:07.0,,,54-79,,Turnover by J. Nelson (lost ball)
0:02.0,S. Curry misses 3-pt shot from 25 ft,,54-79,,
0:00.0,,,54-79,,Defensive rebound by N. Jokic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,S. Curry misses 3-pt shot from 23 ft,,54-79,,
11:36.0,,,54-79,,Defensive rebound by W. Barton
11:23.0,,,54-79,,Offensive foul by N. Jokic
11:23.0,,,54-79,,Turnover by N. Jokic (offensive foul)
11:10.0,K. Durant makes 2-pt shot from 2 ft (assist by D. Green),2,56-79,,
10:53.0,,,56-82,3,W. Barton makes 3-pt shot from 25 ft
10:36.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,58-82,,
10:19.0,,,58-82,,J. Nelson misses 2-pt shot from 16 ft
10:18.0,Defensive rebound by S. Curry,,58-82,,
10:12.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,61-82,,
9:54.0,,,61-82,,N. Jokic misses 2-pt shot from 2 ft (block by J. McGee)
9:51.0,,,61-82,,Offensive rebound by J. Hernangomez
9:51.0,,,61-82,,J. Hernangomez misses 2-pt shot from 2 ft
9:50.0,Defensive rebound by J. McGee,,61-82,,
9:44.0,S. Curry misses 3-pt shot from 25 ft,,61-82,,
9:42.0,Offensive rebound by S. Curry,,61-82,,
9:33.0,D. Green makes 2-pt shot from 2 ft,2,63-82,,
9:16.0,,,63-82,,Turnover by J. Nelson (traveling)
8:57.0,J. McGee makes 2-pt shot from 5 ft,2,65-82,,
8:57.0,,,65-82,,Denver full timeout
8:44.0,,,65-82,,J. Hernangomez misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by J. McGee,,65-82,,
8:25.0,S. Curry misses 3-pt shot from 24 ft,,65-82,,
8:22.0,,,65-82,,Defensive rebound by J. Hernangomez
8:16.0,,,65-84,2,N. Jokic makes 2-pt shot from 1 ft (assist by J. Nelson)
8:11.0,Turnover by J. McGee (bad pass; steal by G. Harris),,65-84,,
8:06.0,,,65-84,,W. Barton misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by J. McGee,,65-84,,
7:58.0,Shooting foul by J. Hernangomez (drawn by D. Green),,65-84,,
7:58.0,D. Green misses free throw 1 of 2,,65-84,,
7:58.0,Offensive rebound by Team,,65-84,,
7:58.0,D. Green makes free throw 2 of 2,1,66-84,,
7:42.0,,,66-84,,J. Hernangomez misses 2-pt shot from 2 ft (block by D. Green)
7:40.0,Defensive rebound by D. Green,,66-84,,
7:31.0,P. McCaw makes 2-pt shot from 2 ft,2,68-84,,
7:19.0,,,68-86,2,W. Barton makes 2-pt shot at rim
7:06.0,Turnover by K. Durant (lost ball; steal by W. Barton),,68-86,,
7:04.0,Clear path foul by D. Green,,68-86,,
7:04.0,,,68-86,,N. Jokic misses clear path free throw 1 of 2
7:04.0,,,68-86,,Offensive rebound by Team
7:04.0,,,68-87,1,N. Jokic makes clear path free throw 2 of 2
7:04.0,A. Iguodala enters the game for J. McGee,,68-86,,
6:47.0,,,68-90,3,J. Nelson makes 3-pt shot from 25 ft (assist by W. Barton)
6:28.0,K. Durant makes 2-pt shot from 5 ft (assist by A. Iguodala),2,70-90,,
6:05.0,,,70-90,,Turnover by W. Barton (lost ball; steal by A. Iguodala)
5:58.0,P. McCaw makes 2-pt shot at rim (assist by S. Curry),2,72-90,,
5:44.0,,,72-90,,Turnover by N. Jokic (lost ball; steal by D. Green)
5:35.0,K. Durant misses 3-pt shot from 25 ft,,72-90,,
5:34.0,,,72-90,,Defensive rebound by Team
5:24.0,,,72-90,,Shooting foul by D. Green (drawn by N. Jokic)
5:24.0,,,72-91,1,N. Jokic makes free throw 1 of 2
5:24.0,,,72-92,1,N. Jokic makes free throw 2 of 2
5:24.0,,,72-91,,J. Murray enters the game for G. Harris
5:13.0,K. Durant misses 2-pt shot from 2 ft,,72-92,,
5:11.0,,,72-92,,Defensive rebound by J. Hernangomez
4:59.0,,,72-95,3,J. Nelson makes 3-pt shot from 27 ft (assist by J. Hernangomez)
4:42.0,S. Curry misses 2-pt shot from 3 ft,,72-95,,
4:41.0,,,72-95,,Defensive rebound by N. Jokic
4:31.0,,,72-98,3,J. Murray makes 3-pt shot from 27 ft (assist by N. Jokic)
4:31.0,Golden State full timeout,,72-98,,
4:31.0,I. Clark enters the game for D. Green,,72-98,,
4:31.0,J. McAdoo enters the game for P. McCaw,,72-98,,
4:19.0,S. Curry misses 2-pt shot from 16 ft,,72-98,,
4:18.0,,,72-98,,Defensive rebound by Team
4:01.0,,,72-98,,W. Barton misses 3-pt shot from 27 ft
3:59.0,,,72-98,,Offensive rebound by J. Hernangomez
3:59.0,,,72-100,2,J. Hernangomez makes 2-pt shot at rim
3:42.0,A. Iguodala makes 2-pt shot from 2 ft (assist by S. Curry),2,74-100,,
3:20.0,,,74-100,,J. Hernangomez misses 3-pt shot from 27 ft
3:19.0,,,74-100,,Offensive rebound by N. Jokic
3:18.0,Personal foul by J. McAdoo (drawn by N. Jokic),,74-100,,
3:18.0,K. Looney enters the game for K. Durant,,74-100,,
3:18.0,B. Weber enters the game for S. Curry,,74-100,,
3:10.0,,,74-100,,W. Barton misses 2-pt shot from 3 ft
3:10.0,Defensive rebound by J. McAdoo,,74-100,,
3:02.0,A. Iguodala makes 2-pt shot from 17 ft,2,76-100,,
2:47.0,,,76-102,2,J. Nelson makes 2-pt shot from 2 ft
2:27.0,A. Iguodala misses 3-pt shot from 25 ft,,76-102,,
2:26.0,,,76-102,,Defensive rebound by J. Hernangomez
2:15.0,,,76-102,,Turnover by N. Jokic (bad pass; steal by A. Iguodala)
2:15.0,,,76-102,,Personal take foul by N. Jokic (drawn by A. Iguodala)
1:56.0,B. Weber makes 2-pt shot from 21 ft,2,78-102,,
1:36.0,,,78-102,,Turnover by W. Barton (bad pass; steal by J. McAdoo)
1:33.0,Shooting foul by J. Nelson (drawn by A. Iguodala),,78-102,,
1:33.0,A. Iguodala makes free throw 1 of 2,1,79-102,,
1:33.0,A. Iguodala makes free throw 2 of 2,1,80-102,,
1:33.0,D. Jones enters the game for J. McAdoo,,79-102,,
1:19.0,,,80-105,3,J. Nelson makes 3-pt shot from 25 ft (assist by N. Jokic)
1:01.0,I. Clark makes 2-pt shot from 20 ft (assist by B. Weber),2,82-105,,
0:40.0,,,82-105,,Turnover by J. Nelson (bad pass)
0:28.0,A. Iguodala makes 3-pt shot from 26 ft,3,85-105,,
0:07.0,,,85-107,2,N. Jokic makes 2-pt shot from 3 ft (assist by W. Barton)
0:02.0,I. Clark misses 2-pt shot from 18 ft,,85-107,,
0:00.0,Offensive rebound by Team,,85-107,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,85-107,,W. Barton misses 2-pt shot from 3 ft (block by D. Jones)
11:41.0,Defensive rebound by Team,,85-107,,
11:22.0,I. Clark misses 3-pt shot from 26 ft,,85-107,,
11:22.0,,,85-107,,Defensive rebound by G. Harris
11:14.0,,,85-107,,G. Harris misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by Team,,85-107,,
10:55.0,K. Looney misses 2-pt shot from 2 ft (block by J. O'Bryant),,85-107,,
10:54.0,Offensive rebound by K. Looney,,85-107,,
10:50.0,D. Jones makes 2-pt shot from 2 ft (assist by K. Looney),2,87-107,,
10:41.0,,,87-107,,G. Harris misses 2-pt shot from 4 ft
10:40.0,,,87-107,,Offensive rebound by G. Harris
10:40.0,,,87-107,,G. Harris misses 2-pt shot from 2 ft
10:39.0,Defensive rebound by Team,,87-107,,
10:29.0,K. Looney makes 3-pt shot from 27 ft (assist by B. Weber),3,90-107,,
10:29.0,,,90-107,,Denver full timeout
10:06.0,,,90-107,,Turnover by J. O'Bryant (lost ball)
9:48.0,B. Weber misses 2-pt shot from 21 ft,,90-107,,
9:48.0,,,90-107,,Defensive rebound by M. Miller
9:38.0,,,90-107,,Turnover by G. Harris (bad pass; steal by B. Weber)
9:35.0,P. McCaw makes 2-pt shot from 1 ft,2,92-107,,
9:35.0,Shooting foul by M. Miller (drawn by P. McCaw),,92-107,,
9:35.0,P. McCaw makes free throw 1 of 1,1,93-107,,
9:35.0,,,90-107,,N. Jokic enters the game for J. O'Bryant
9:14.0,,,93-107,,J. Murray misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by K. Looney,,93-107,,
9:04.0,I. Clark misses 2-pt shot from 15 ft,,93-107,,
9:04.0,,,93-107,,Defensive rebound by N. Jokic
9:00.0,,,93-109,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
9:00.0,Golden State full timeout,,93-109,,
9:00.0,J. McAdoo enters the game for K. Looney,,93-109,,
8:48.0,P. McCaw makes 2-pt shot from 1 ft,2,95-109,,
8:48.0,Shooting foul by J. Murray (drawn by P. McCaw),,95-109,,
8:48.0,P. McCaw makes free throw 1 of 1,1,96-109,,
8:48.0,,,93-109,,J. Nelson enters the game for W. Barton
8:35.0,,,96-109,,Turnover by G. Harris (bad pass; steal by I. Clark)
8:26.0,P. McCaw misses 3-pt shot from 25 ft,,96-109,,
8:25.0,,,96-109,,Defensive rebound by N. Jokic
8:16.0,,,96-109,,Shooting foul by J. McAdoo (drawn by G. Harris)
8:16.0,,,96-109,,G. Harris misses free throw 1 of 2
8:16.0,,,96-109,,Offensive rebound by Team
8:16.0,,,96-109,,G. Harris misses free throw 2 of 2
8:15.0,Defensive rebound by D. Jones,,96-109,,
8:01.0,P. McCaw makes 2-pt shot from 5 ft,2,98-109,,
8:01.0,,,98-109,,Denver full timeout
7:51.0,,,98-109,,J. Hernangomez enters the game for J. Murray
7:51.0,,,98-109,,W. Barton enters the game for M. Miller
7:51.0,Personal foul by B. Weber (drawn by J. Nelson),,98-109,,
7:43.0,,,98-109,,Turnover by N. Jokic (bad pass)
7:29.0,D. Jones makes 2-pt shot from 2 ft (assist by P. McCaw),2,100-109,,
7:06.0,,,100-111,2,W. Barton makes 2-pt shot from 4 ft (assist by J. Nelson)
6:49.0,P. McCaw misses 2-pt shot from 10 ft,,100-111,,
6:48.0,,,100-111,,Defensive rebound by N. Jokic
6:33.0,,,100-113,2,N. Jokic makes 2-pt shot from 13 ft (assist by J. Nelson)
6:27.0,Offensive foul by D. Jones,,100-113,,
6:27.0,Turnover by D. Jones (offensive foul),,100-113,,
6:11.0,,,100-115,2,J. Nelson makes 2-pt shot from 22 ft
5:55.0,J. McAdoo misses 2-pt shot from 4 ft (block by J. Hernangomez),,100-115,,
5:54.0,,,100-115,,Defensive rebound by N. Jokic
5:49.0,,,100-117,2,W. Barton makes 2-pt shot from 4 ft (assist by N. Jokic)
5:49.0,Golden State full timeout,,100-117,,
5:47.0,K. Looney enters the game for D. Jones,,100-117,,
5:31.0,P. McCaw makes 2-pt shot from 23 ft (assist by B. Weber),2,102-117,,
5:17.0,,,102-117,,N. Jokic misses 2-pt shot from 6 ft
5:16.0,,,102-117,,Offensive rebound by N. Jokic
5:16.0,,,102-119,2,N. Jokic makes 2-pt shot from 3 ft
5:04.0,I. Clark makes 2-pt shot from 12 ft,2,104-119,,
4:41.0,,,104-122,3,J. Hernangomez makes 3-pt shot from 23 ft (assist by W. Barton)
4:26.0,P. McCaw misses 3-pt shot from 26 ft,,104-122,,
4:25.0,,,104-122,,Defensive rebound by Team
4:14.0,Personal foul by J. McAdoo,,104-122,,
4:14.0,,,104-123,1,J. Hernangomez makes free throw 1 of 3
4:14.0,,,104-123,,J. Hernangomez misses free throw 2 of 3
4:14.0,,,104-123,,Offensive rebound by Team
4:14.0,,,104-124,1,J. Hernangomez makes free throw 3 of 3
4:14.0,D. Jones enters the game for J. McAdoo,,104-123,,
3:56.0,D. Jones misses 2-pt shot from 19 ft,,104-124,,
3:52.0,,,104-124,,Defensive rebound by W. Barton
3:46.0,,,104-127,3,G. Harris makes 3-pt shot from 23 ft (assist by W. Barton)
3:36.0,I. Clark makes 2-pt shot from 7 ft,2,106-127,,
3:17.0,,,106-127,,G. Harris misses 3-pt shot from 26 ft
3:16.0,Defensive rebound by K. Looney,,106-127,,
3:00.0,I. Clark misses 2-pt shot from 1 ft,,106-127,,
2:57.0,,,106-127,,Defensive rebound by N. Jokic
2:46.0,,,106-127,,J. Nelson misses 2-pt shot from 11 ft
2:46.0,Defensive rebound by K. Looney,,106-127,,
2:31.0,K. Looney misses 2-pt shot from 2 ft,,106-127,,
2:30.0,,,106-127,,Defensive rebound by W. Barton
2:10.0,,,106-130,3,J. Hernangomez makes 3-pt shot from 27 ft (assist by W. Barton)
1:52.0,I. Clark misses 2-pt shot from 19 ft,,106-130,,
1:52.0,Offensive rebound by K. Looney,,106-130,,
1:46.0,P. McCaw misses 3-pt shot from 22 ft,,106-130,,
1:46.0,,,106-130,,Defensive rebound by W. Barton
1:26.0,,,106-132,2,W. Barton makes 2-pt shot from 19 ft
1:24.0,,,106-132,,Personal take foul by J. Nelson (drawn by B. Weber)
1:23.0,,,106-132,,J. Murray enters the game for N. Jokic
1:23.0,,,106-132,,J. O'Bryant enters the game for G. Harris
1:23.0,,,106-132,,M. Beasley enters the game for J. Nelson
1:04.0,B. Weber misses 3-pt shot from 25 ft,,106-132,,
1:04.0,,,106-132,,Defensive rebound by J. Hernangomez
0:58.0,,,106-132,,M. Beasley misses 3-pt shot from 24 ft
