time,Memphis,pts.away,score,pts.home,Minnesota
1:26.0,,,13-25,,Offensive rebound by K. Towns
1:22.0,,,13-27,2,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Towns)
1:01.0,Z. Randolph misses 2-pt shot from 3 ft,,13-27,,
1:00.0,Offensive rebound by B. Wright,,13-27,,
1:00.0,B. Wright makes 2-pt shot from 2 ft,2,15-27,,
0:48.0,,,15-27,,Shooting foul by B. Wright (drawn by K. Towns)
0:48.0,,,15-27,,Minnesota full timeout
0:48.0,,,15-28,1,K. Towns makes free throw 1 of 2
0:48.0,,,15-29,1,K. Towns makes free throw 2 of 2
0:48.0,,,15-27,,T. Jones enters the game for R. Rubio
0:48.0,M. Conley enters the game for A. Harrison,,15-27,,
0:48.0,J. Green enters the game for Z. Randolph,,15-27,,
0:39.0,T. Daniels misses 3-pt shot from 25 ft,,15-29,,
0:38.0,,,15-29,,Defensive rebound by K. Towns
0:24.0,,,15-31,2,G. Dieng makes 2-pt shot at rim (assist by K. Towns)
0:17.0,,,15-31,,Personal foul by T. Jones (drawn by M. Conley)
0:17.0,,,15-31,,N. Bjelica enters the game for G. Dieng
0:01.0,T. Daniels misses 3-pt shot from 27 ft,,15-31,,
0:00.0,,,15-31,,Defensive rebound by K. Towns
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,V. Carter misses 2-pt shot from 17 ft,,15-31,,
11:46.0,,,15-31,,Defensive rebound by B. Rush
11:26.0,,,15-31,,N. Bjelica misses 2-pt shot from 9 ft
11:24.0,,,15-31,,Offensive rebound by S. Muhammad
11:22.0,,,15-33,2,S. Muhammad makes 2-pt shot from 10 ft
11:07.0,T. Daniels makes 3-pt shot from 25 ft (assist by M. Conley),3,18-33,,
10:43.0,,,18-35,2,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Jones)
10:30.0,Shooting foul by C. Aldrich (drawn by J. Green),,18-35,,
10:30.0,J. Green makes free throw 1 of 2,1,19-35,,
10:30.0,J. Green makes free throw 2 of 2,1,20-35,,
10:30.0,J. Ennis enters the game for B. Wright,,19-35,,
10:06.0,,,20-37,2,N. Bjelica makes 2-pt shot from 7 ft
9:51.0,T. Daniels misses 3-pt shot from 25 ft,,20-37,,
9:50.0,,,20-37,,Defensive rebound by N. Bjelica
9:36.0,,,20-37,,Offensive charge foul by B. Rush
9:36.0,,,20-37,,Turnover by B. Rush (offensive foul)
9:19.0,Shooting foul by S. Muhammad (drawn by T. Daniels),,20-37,,
9:19.0,T. Daniels misses free throw 1 of 2,,20-37,,
9:19.0,Offensive rebound by Team,,20-37,,
9:19.0,T. Daniels makes free throw 2 of 2,1,21-37,,
9:08.0,,,21-37,,Turnover by N. Bjelica (bad pass; steal by J. Green)
9:05.0,J. Green makes 2-pt shot at rim,2,23-37,,
9:05.0,Shooting foul by N. Bjelica (drawn by J. Green),,23-37,,
9:05.0,J. Green makes free throw 1 of 1,1,24-37,,
8:56.0,,,24-37,,Turnover by T. Jones (bad pass; steal by V. Carter)
8:52.0,T. Daniels makes 3-pt shot from 25 ft (assist by V. Carter),3,27-37,,
8:47.0,,,27-37,,Minnesota full timeout
8:47.0,,,27-37,,K. Towns enters the game for C. Aldrich
8:47.0,,,27-37,,G. Dieng enters the game for N. Bjelica
8:47.0,,,27-37,,R. Rubio enters the game for S. Muhammad
8:39.0,Personal foul by J. Ennis (drawn by K. Towns),,27-37,,
8:29.0,,,27-39,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
8:09.0,J. Green misses 3-pt shot from 25 ft,,27-39,,
8:08.0,,,27-39,,Defensive rebound by G. Dieng
7:54.0,,,27-39,,T. Jones misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by J. Ennis,,27-39,,
7:44.0,M. Conley misses 3-pt shot from 23 ft,,27-39,,
7:43.0,,,27-39,,Defensive rebound by G. Dieng
7:24.0,,,27-39,,Turnover by T. Jones (lost ball)
7:24.0,Z. Randolph enters the game for J. Green,,27-39,,
7:14.0,T. Daniels misses 3-pt shot from 25 ft,,27-39,,
7:13.0,,,27-39,,Defensive rebound by K. Towns
7:01.0,Personal foul by T. Daniels (drawn by K. Towns),,27-39,,
7:01.0,T. Douglas enters the game for M. Conley,,27-39,,
6:57.0,Personal foul by T. Douglas (drawn by R. Rubio),,27-39,,
6:57.0,B. Wright enters the game for V. Carter,,27-39,,
6:45.0,,,27-39,,K. Towns misses 2-pt shot from 9 ft
6:42.0,,,27-39,,Offensive rebound by B. Rush
6:40.0,,,27-39,,K. Towns misses 2-pt shot from 3 ft
6:37.0,,,27-39,,Offensive rebound by T. Jones
6:33.0,,,27-41,2,R. Rubio makes 2-pt shot from 19 ft (assist by T. Jones)
6:17.0,T. Daniels makes 2-pt shot from 21 ft (assist by T. Douglas),2,29-41,,
6:04.0,,,29-41,,R. Rubio misses 2-pt shot from 20 ft
6:03.0,Defensive rebound by Team,,29-41,,
5:52.0,B. Wright makes 2-pt shot at rim (assist by T. Daniels),2,31-41,,
5:33.0,,,31-43,2,T. Jones makes 2-pt shot from 13 ft
5:11.0,T. Douglas misses 2-pt shot from 14 ft,,31-43,,
5:10.0,,,31-43,,Defensive rebound by K. Towns
5:09.0,,,31-43,,Minnesota full timeout
5:09.0,,,31-43,,A. Wiggins enters the game for T. Jones
5:09.0,M. Conley enters the game for T. Daniels,,31-43,,
5:04.0,Personal foul by J. Ennis (drawn by A. Wiggins),,31-43,,
5:04.0,V. Carter enters the game for J. Ennis,,31-43,,
4:54.0,,,31-43,,G. Dieng misses 2-pt shot from 4 ft (block by Z. Randolph)
4:52.0,Defensive rebound by T. Douglas,,31-43,,
4:45.0,T. Douglas makes 2-pt shot from 7 ft,2,33-43,,
4:25.0,,,33-43,,Turnover by R. Rubio (bad pass)
4:25.0,,,33-43,,N. Bjelica enters the game for G. Dieng
4:11.0,,,33-43,,Personal foul by A. Wiggins (drawn by M. Conley)
4:03.0,Z. Randolph misses 2-pt shot from 21 ft,,33-43,,
4:02.0,Offensive rebound by Z. Randolph,,33-43,,
4:01.0,Z. Randolph makes 2-pt shot from 1 ft,2,35-43,,
4:01.0,Shooting foul by N. Bjelica (drawn by Z. Randolph),,35-43,,
4:01.0,Z. Randolph misses free throw 1 of 1,,35-43,,
4:01.0,,,35-43,,Defensive rebound by N. Bjelica
3:43.0,,,35-43,,Turnover by N. Bjelica (bad pass; steal by B. Wright)
3:34.0,,,35-43,,Personal foul by K. Towns (drawn by Z. Randolph)
3:34.0,Z. Randolph makes free throw 1 of 2,1,36-43,,
3:34.0,Z. Randolph misses free throw 2 of 2,,36-43,,
3:33.0,Offensive rebound by B. Wright,,36-43,,
3:25.0,Z. Randolph misses 2-pt shot from 1 ft,,36-43,,
3:24.0,Offensive rebound by B. Wright,,36-43,,
3:18.0,Shooting foul by A. Wiggins (drawn by M. Conley),,36-43,,
3:18.0,M. Conley misses free throw 1 of 3,,36-43,,
3:18.0,Offensive rebound by Team,,36-43,,
3:18.0,M. Conley makes free throw 2 of 3,1,37-43,,
3:18.0,M. Conley makes free throw 3 of 3,1,38-43,,
3:18.0,,,37-43,,G. Dieng enters the game for N. Bjelica
3:02.0,,,38-43,,G. Dieng misses 2-pt shot from 20 ft
3:01.0,,,38-43,,Offensive rebound by K. Towns
2:58.0,,,38-43,,Shooting foul by Z. Randolph (drawn by K. Towns)
2:58.0,Memphis full timeout,,38-43,,
2:58.0,,,38-44,1,K. Towns makes free throw 1 of 2
2:58.0,,,38-45,1,K. Towns makes free throw 2 of 2
2:41.0,V. Carter misses 2-pt shot from 20 ft,,38-45,,
2:40.0,Offensive rebound by Z. Randolph,,38-45,,
2:39.0,Shooting foul by G. Dieng (drawn by Z. Randolph),,38-45,,
2:39.0,Z. Randolph makes free throw 1 of 2,1,39-45,,
2:39.0,Z. Randolph makes free throw 2 of 2,1,40-45,,
2:39.0,J. Green enters the game for B. Wright,,39-45,,
2:20.0,,,40-45,,A. Wiggins misses 2-pt shot from 20 ft
2:19.0,Defensive rebound by T. Douglas,,40-45,,
2:05.0,Shooting foul by K. Towns (drawn by J. Green),,40-45,,
2:05.0,J. Green makes free throw 1 of 2,1,41-45,,
2:05.0,J. Green makes free throw 2 of 2,1,42-45,,
1:58.0,,,42-45,,A. Wiggins misses 2-pt shot from 13 ft
1:57.0,Defensive rebound by Z. Randolph,,42-45,,
1:53.0,Shooting foul by R. Rubio (drawn by J. Green),,42-45,,
1:53.0,J. Green makes free throw 1 of 2,1,43-45,,
1:53.0,J. Green makes free throw 2 of 2,1,44-45,,
1:53.0,Inbound foul by T. Douglas,,44-45,,
1:53.0,,,44-46,1,R. Rubio makes free throw 1 of 1
1:46.0,,,44-46,,Shooting foul by V. Carter (drawn by A. Wiggins)
1:46.0,,,44-47,1,A. Wiggins makes free throw 1 of 2
1:46.0,,,44-48,1,A. Wiggins makes free throw 2 of 2
1:23.0,M. Conley makes 2-pt shot from 9 ft,2,46-48,,
1:02.0,,,46-48,,G. Dieng misses 2-pt shot from 19 ft
1:01.0,Defensive rebound by J. Green,,46-48,,
0:44.0,J. Green makes 2-pt shot from 1 ft,2,48-48,,
0:27.0,B. Wright enters the game for J. Green,,48-48,,
0:25.0,,,48-48,,K. Towns misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by M. Conley,,48-48,,
0:02.0,M. Conley misses 2-pt shot from 20 ft,,48-48,,
0:00.0,Offensive rebound by Team,,48-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,Z. Randolph misses 3-pt shot from 26 ft,,48-48,,
11:35.0,,,48-48,,Defensive rebound by K. Towns
11:17.0,,,48-48,,K. Towns misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by T. Douglas,,48-48,,
11:09.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley),2,50-48,,
10:54.0,,,50-48,,Shooting foul by M. Conley (drawn by A. Wiggins)
10:54.0,,,50-48,,A. Wiggins misses free throw 1 of 2
10:54.0,,,50-48,,Offensive rebound by Team
10:54.0,,,50-49,1,A. Wiggins makes free throw 2 of 2
10:41.0,B. Wright misses 2-pt shot from 1 ft,,50-49,,
10:40.0,,,50-49,,Defensive rebound by G. Dieng
10:32.0,,,50-49,,Turnover by R. Rubio (bad pass; steal by B. Wright)
10:21.0,J. Ennis makes 3-pt shot from 26 ft (assist by Z. Randolph),3,53-49,,
9:59.0,,,53-49,,A. Wiggins misses 3-pt shot from 25 ft
9:58.0,,,53-49,,Offensive rebound by G. Dieng
9:45.0,,,53-51,2,A. Wiggins makes 2-pt shot from 1 ft
9:21.0,T. Douglas misses 3-pt shot from 25 ft,,53-51,,
9:19.0,Offensive rebound by J. Ennis,,53-51,,
9:13.0,M. Conley misses 3-pt shot from 25 ft,,53-51,,
9:12.0,,,53-51,,Defensive rebound by K. Towns
9:06.0,Personal foul by T. Douglas (drawn by R. Rubio),,53-51,,
8:52.0,,,53-51,,R. Rubio misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by Team,,53-51,,
8:38.0,M. Conley misses 3-pt shot from 25 ft,,53-51,,
8:37.0,,,53-51,,Defensive rebound by G. Dieng
8:22.0,,,53-51,,B. Rush misses 2-pt shot from 4 ft
8:21.0,Defensive rebound by T. Douglas,,53-51,,
8:09.0,J. Ennis makes 3-pt shot from 23 ft (assist by M. Conley),3,56-51,,
8:08.0,,,56-51,,Minnesota full timeout
7:42.0,,,56-51,,R. Rubio misses 3-pt shot from 26 ft
7:41.0,Defensive rebound by B. Wright,,56-51,,
7:21.0,J. Ennis makes 3-pt shot from 25 ft (assist by M. Conley),3,59-51,,
7:02.0,,,59-53,2,A. Wiggins makes 2-pt shot from 16 ft
6:51.0,Turnover by M. Conley (illegal screen),,59-53,,
6:51.0,,,59-53,,S. Muhammad enters the game for B. Rush
6:33.0,,,59-55,2,K. Towns makes 2-pt shot from 8 ft
6:13.0,Shooting foul by R. Rubio (drawn by M. Conley),,59-55,,
6:13.0,M. Conley misses free throw 1 of 2,,59-55,,
6:13.0,Offensive rebound by Team,,59-55,,
6:13.0,M. Conley makes free throw 2 of 2,1,60-55,,
5:57.0,,,60-55,,A. Wiggins misses 2-pt shot from 5 ft
5:56.0,Defensive rebound by M. Conley,,60-55,,
5:48.0,M. Conley misses 2-pt shot from 21 ft,,60-55,,
5:47.0,,,60-55,,Defensive rebound by Team
5:21.0,Personal foul by T. Douglas (drawn by R. Rubio),,60-55,,
5:21.0,V. Carter enters the game for M. Conley,,60-55,,
5:21.0,A. Harrison enters the game for T. Douglas,,60-55,,
5:21.0,J. Green enters the game for B. Wright,,60-55,,
5:10.0,,,60-55,,K. Towns misses 2-pt shot from 18 ft
5:09.0,Defensive rebound by V. Carter,,60-55,,
5:00.0,V. Carter makes 3-pt shot from 25 ft (assist by A. Harrison),3,63-55,,
4:42.0,,,63-55,,A. Wiggins misses 3-pt shot from 27 ft
4:41.0,Defensive rebound by J. Green,,63-55,,
4:33.0,V. Carter makes 3-pt shot from 26 ft (assist by A. Harrison),3,66-55,,
4:33.0,,,66-55,,Minnesota full timeout
4:33.0,,,66-55,,T. Jones enters the game for R. Rubio
4:33.0,,,66-55,,N. Bjelica enters the game for K. Towns
4:15.0,,,66-55,,S. Muhammad misses 3-pt shot from 25 ft
4:14.0,,,66-55,,Offensive rebound by S. Muhammad
4:04.0,,,66-55,,Turnover by T. Jones (lost ball)
3:52.0,,,66-55,,Personal foul by A. Wiggins (drawn by J. Green)
3:42.0,Z. Randolph misses 2-pt shot from 19 ft,,66-55,,
3:41.0,Offensive rebound by J. Ennis,,66-55,,
3:40.0,Turnover by J. Ennis (traveling),,66-55,,
3:28.0,,,66-57,2,N. Bjelica makes 2-pt shot from 22 ft (assist by G. Dieng)
3:27.0,Memphis full timeout,,66-57,,
3:15.0,V. Carter misses 3-pt shot from 26 ft,,66-57,,
3:14.0,,,66-57,,Defensive rebound by T. Jones
3:12.0,Personal foul by J. Green (drawn by T. Jones),,66-57,,
2:59.0,,,66-60,3,N. Bjelica makes 3-pt shot from 23 ft (assist by T. Jones)
2:42.0,Offensive charge foul by Z. Randolph,,66-60,,
2:42.0,Turnover by Z. Randolph (offensive foul),,66-60,,
2:42.0,B. Wright enters the game for Z. Randolph,,66-60,,
2:42.0,M. Conley enters the game for J. Ennis,,66-60,,
2:24.0,,,66-60,,A. Wiggins misses 2-pt shot from 8 ft
2:23.0,Defensive rebound by M. Conley,,66-60,,
2:01.0,J. Green makes 3-pt shot from 23 ft (assist by M. Conley),3,69-60,,
1:45.0,,,69-60,,T. Jones misses 3-pt shot from 27 ft
1:43.0,Defensive rebound by V. Carter,,69-60,,
1:34.0,,,69-60,,Personal foul by T. Jones (drawn by B. Wright)
1:26.0,Turnover by B. Wright (bad pass),,69-60,,
1:11.0,,,69-60,,G. Dieng misses 2-pt shot from 19 ft
1:10.0,,,69-60,,Offensive rebound by S. Muhammad
1:09.0,,,69-62,2,S. Muhammad makes 2-pt shot from 7 ft
0:45.0,J. Green misses 2-pt shot from 3 ft,,69-62,,
0:44.0,,,69-62,,Defensive rebound by N. Bjelica
0:37.0,,,69-64,2,S. Muhammad makes 2-pt shot from 2 ft (assist by N. Bjelica)
0:37.0,,,69-64,,Shooting foul by B. Wright (drawn by S. Muhammad)
0:37.0,,,69-64,,S. Muhammad misses free throw 1 of 1
0:37.0,Defensive rebound by V. Carter,,69-64,,
0:24.0,B. Wright misses 2-pt shot from 3 ft,,69-64,,
0:23.0,Offensive rebound by B. Wright,,69-64,,
0:23.0,B. Wright misses 2-pt shot from 3 ft,,69-64,,
0:22.0,,,69-64,,Defensive rebound by G. Dieng
0:01.0,,,69-67,3,S. Muhammad makes 3-pt shot from 24 ft (assist by T. Jones)
0:00.0,A. Harrison misses 3-pt shot from 62 ft,,69-67,,
0:00.0,Offensive rebound by Team,,69-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,69-70,3,T. Jones makes 3-pt shot from 26 ft (assist by A. Wiggins)
11:14.0,M. Conley makes 2-pt shot from 2 ft,2,71-70,,
10:48.0,,,71-70,,S. Muhammad misses 2-pt shot from 20 ft
10:48.0,,,71-70,,Offensive rebound by Team
10:48.0,,,71-70,,Turnover by Team (shot clock)
10:48.0,,,71-70,,R. Rubio enters the game for A. Wiggins
10:27.0,J. Green misses 2-pt shot from 22 ft,,71-70,,
10:26.0,,,71-70,,Defensive rebound by T. Jones
10:10.0,,,71-72,2,R. Rubio makes 2-pt shot from 17 ft (assist by T. Jones)
9:53.0,Shooting foul by N. Bjelica (drawn by J. Green),,71-72,,
9:53.0,J. Green makes 2-pt shot from 1 ft (assist by M. Conley),2,73-72,,
9:53.0,J. Green makes free throw 1 of 1,1,74-72,,
9:53.0,,,73-72,,K. Towns enters the game for G. Dieng
9:53.0,T. Daniels enters the game for A. Harrison,,73-72,,
9:37.0,,,74-72,,Turnover by N. Bjelica (traveling)
9:20.0,M. Conley misses 2-pt shot from 22 ft,,74-72,,
9:19.0,,,74-72,,Defensive rebound by N. Bjelica
9:09.0,,,74-72,,Turnover by K. Towns (lost ball; steal by J. Ennis)
9:05.0,Shooting foul by R. Rubio (drawn by J. Ennis),,74-72,,
9:05.0,J. Ennis makes free throw 1 of 2,1,75-72,,
9:05.0,J. Ennis makes free throw 2 of 2,1,76-72,,
8:42.0,,,76-75,3,T. Jones makes 3-pt shot from 25 ft (assist by N. Bjelica)
8:14.0,Turnover by T. Daniels (lost ball; steal by T. Jones),,76-75,,
8:11.0,,,76-75,,S. Muhammad misses 2-pt shot from 1 ft (block by V. Carter)
8:11.0,,,76-75,,Offensive rebound by Team
8:11.0,,,76-75,,Minnesota full timeout
8:11.0,Z. Randolph enters the game for J. Green,,76-75,,
8:11.0,T. Douglas enters the game for M. Conley,,76-75,,
7:59.0,,,76-75,,S. Muhammad misses 2-pt shot from 7 ft
7:58.0,Defensive rebound by Z. Randolph,,76-75,,
7:38.0,T. Daniels makes 2-pt shot from 1 ft (assist by Z. Randolph),2,78-75,,
7:23.0,,,78-75,,R. Rubio misses 2-pt shot from 19 ft
7:22.0,,,78-75,,Offensive rebound by K. Towns
7:22.0,,,78-75,,Shooting foul by Z. Randolph (drawn by K. Towns)
7:22.0,,,78-76,1,K. Towns makes free throw 1 of 2
7:22.0,,,78-77,1,K. Towns makes free throw 2 of 2
7:01.0,Z. Randolph misses 2-pt shot from 6 ft,,78-77,,
6:58.0,Offensive rebound by J. Ennis,,78-77,,
6:58.0,Turnover by Team (shot clock),,78-77,,
6:58.0,,,78-77,,A. Wiggins enters the game for N. Bjelica
6:44.0,,,78-77,,R. Rubio misses 2-pt shot from 18 ft
6:43.0,Defensive rebound by T. Douglas,,78-77,,
6:30.0,T. Douglas makes 2-pt shot from 6 ft,2,80-77,,
6:14.0,Personal foul by Z. Randolph (drawn by K. Towns),,80-77,,
6:14.0,J. Green enters the game for V. Carter,,80-77,,
6:14.0,,,80-77,,Minnesota full timeout
6:04.0,,,80-77,,K. Towns misses 2-pt shot from 4 ft
6:02.0,Defensive rebound by T. Douglas,,80-77,,
5:45.0,Z. Randolph misses 2-pt shot from 12 ft (block by T. Jones),,80-77,,
5:44.0,Offensive rebound by Team,,80-77,,
5:41.0,Z. Randolph misses 3-pt shot from 26 ft,,80-77,,
5:40.0,Offensive rebound by Team,,80-77,,
5:40.0,,,80-77,,Loose ball foul by S. Muhammad (drawn by J. Green)
5:40.0,,,80-77,,G. Dieng enters the game for S. Muhammad
5:27.0,J. Ennis makes 2-pt shot from 3 ft (assist by J. Green),2,82-77,,
5:12.0,,,82-77,,A. Wiggins misses 2-pt shot from 5 ft (block by J. Green)
5:10.0,,,82-77,,Offensive rebound by K. Towns
5:09.0,Personal foul by Z. Randolph (drawn by K. Towns),,82-77,,
5:09.0,Technical foul by Z. Randolph (drawn by K. Towns),,82-77,,
5:09.0,,,82-78,1,R. Rubio makes technical free throw
5:02.0,,,82-80,2,K. Towns makes 2-pt shot from 9 ft
5:02.0,,,82-80,,Shooting foul by Z. Randolph (drawn by K. Towns)
5:02.0,,,82-81,1,K. Towns makes free throw 1 of 1
5:02.0,V. Carter enters the game for Z. Randolph,,82-80,,
5:02.0,M. Conley enters the game for T. Daniels,,82-80,,
4:52.0,V. Carter makes 3-pt shot from 25 ft,3,85-81,,
4:34.0,,,85-81,,Shooting foul by V. Carter (drawn by K. Towns)
4:34.0,,,85-81,,K. Towns misses free throw 1 of 2
4:34.0,,,85-81,,Offensive rebound by Team
4:34.0,,,85-82,1,K. Towns makes free throw 2 of 2
4:34.0,,,85-81,,S. Muhammad enters the game for G. Dieng
4:23.0,M. Conley makes 2-pt shot from 2 ft,2,87-82,,
4:23.0,Shooting foul by S. Muhammad (drawn by M. Conley),,87-82,,
4:23.0,M. Conley makes free throw 1 of 1,1,88-82,,
4:09.0,,,88-82,,A. Wiggins misses 2-pt shot from 2 ft
4:08.0,Defensive rebound by T. Douglas,,88-82,,
3:47.0,M. Conley misses 3-pt shot from 25 ft,,88-82,,
3:46.0,Offensive rebound by J. Green,,88-82,,
3:45.0,Shooting foul by K. Towns (drawn by J. Green),,88-82,,
3:45.0,J. Green makes free throw 1 of 2,1,89-82,,
3:45.0,J. Green makes free throw 2 of 2,1,90-82,,
3:27.0,,,90-84,2,A. Wiggins makes 2-pt shot from 19 ft
3:10.0,M. Conley misses 2-pt shot from 6 ft,,90-84,,
3:09.0,Offensive rebound by J. Green,,90-84,,
3:08.0,J. Green makes 2-pt shot from 2 ft,2,92-84,,
2:54.0,,,92-84,,Turnover by A. Wiggins (lost ball; steal by J. Ennis)
