time,Indiana,pts.away,score,pts.home,Oklahoma City
5:23.0,M. Turner misses free throw 1 of 2,,18-14,,
5:23.0,Offensive rebound by Team,,18-14,,
5:23.0,M. Turner makes free throw 2 of 2,1,19-14,,
5:23.0,,,18-14,,A. Abrines enters the game for V. Oladipo
5:12.0,,,19-14,,D. Sabonis misses 3-pt shot from 22 ft
5:12.0,Defensive rebound by M. Ellis,,19-14,,
5:07.0,T. Young makes 2-pt shot at rim (assist by M. Ellis),2,21-14,,
4:41.0,,,21-14,,D. Sabonis misses 3-pt shot from 25 ft
4:40.0,,,21-14,,Offensive rebound by Team
4:40.0,R. Stuckey enters the game for G. Robinson,,21-14,,
4:32.0,,,21-14,,Turnover by R. Westbrook (lost ball; steal by J. Teague)
4:24.0,J. Teague misses 2-pt shot from 9 ft,,21-14,,
4:24.0,Offensive rebound by M. Turner,,21-14,,
4:17.0,R. Stuckey makes 2-pt shot from 14 ft,2,23-14,,
3:59.0,,,23-16,2,R. Westbrook makes 2-pt shot from 1 ft
3:39.0,Turnover by M. Ellis (bad pass; steal by D. Sabonis),,23-16,,
3:36.0,Personal block foul by J. Teague (drawn by R. Westbrook),,23-16,,
3:36.0,,,23-16,,J. Lauvergne enters the game for D. Sabonis
3:36.0,A. Jefferson enters the game for M. Turner,,23-16,,
3:30.0,,,23-16,,R. Westbrook misses 2-pt shot from 15 ft
3:29.0,Defensive rebound by J. Teague,,23-16,,
3:17.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,25-16,,
3:02.0,,,25-18,2,A. Abrines makes 2-pt shot from 16 ft (assist by R. Westbrook)
2:49.0,Turnover by A. Jefferson (lost ball),,25-18,,
2:49.0,Indiana full timeout,,25-18,,
2:49.0,,,25-18,,E. Kanter enters the game for S. Adams
2:49.0,,,25-18,,V. Oladipo enters the game for R. Westbrook
2:49.0,A. Brooks enters the game for J. Teague,,25-18,,
2:41.0,,,25-18,,Turnover by V. Oladipo (bad pass; steal by R. Stuckey)
2:17.0,A. Brooks makes 3-pt shot from 26 ft,3,28-18,,
1:55.0,G. Robinson enters the game for M. Ellis,,28-18,,
1:55.0,L. Allen enters the game for T. Young,,28-18,,
1:51.0,,,28-21,3,V. Oladipo makes 3-pt shot from 22 ft (assist by E. Kanter)
1:29.0,A. Jefferson makes 2-pt shot from 3 ft,2,30-21,,
1:16.0,,,30-21,,E. Kanter misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by G. Robinson,,30-21,,
1:08.0,Offensive charge foul by A. Brooks,,30-21,,
1:08.0,Turnover by A. Brooks (offensive foul),,30-21,,
0:55.0,,,30-21,,A. Abrines misses 2-pt shot from 23 ft
0:54.0,,,30-21,,Offensive rebound by J. Lauvergne
0:51.0,,,30-21,,V. Oladipo misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by A. Jefferson,,30-21,,
0:42.0,R. Stuckey misses 2-pt shot from 1 ft (block by E. Kanter),,30-21,,
0:41.0,,,30-21,,Defensive rebound by V. Oladipo
0:38.0,Personal foul by A. Jefferson (drawn by V. Oladipo),,30-21,,
0:38.0,,,30-21,,Oklahoma City full timeout
0:33.0,,,30-21,,E. Kanter misses 2-pt shot from 2 ft
0:33.0,Defensive rebound by L. Allen,,30-21,,
0:15.0,A. Jefferson misses 2-pt shot from 9 ft (block by E. Kanter),,30-21,,
0:14.0,,,30-21,,Defensive rebound by J. Lauvergne
0:00.0,,,30-21,,V. Oladipo misses 2-pt shot from 16 ft
0:00.0,,,30-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,L. Allen misses 2-pt shot from 16 ft,,30-21,,
11:37.0,,,30-21,,Defensive rebound by V. Oladipo
11:24.0,,,30-23,2,A. Abrines makes 2-pt shot from 5 ft
11:06.0,A. Jefferson misses 2-pt shot from 3 ft,,30-23,,
11:05.0,,,30-23,,Defensive rebound by E. Kanter
11:00.0,,,30-25,2,J. Grant makes 2-pt shot at rim (assist by V. Oladipo)
10:43.0,Turnover by G. Robinson (lost ball; steal by V. Oladipo),,30-25,,
10:36.0,,,30-25,,Turnover by V. Oladipo (bad pass)
10:28.0,Offensive foul by A. Jefferson,,30-25,,
10:28.0,Turnover by A. Jefferson (offensive foul),,30-25,,
10:17.0,,,30-28,3,J. Lauvergne makes 3-pt shot from 24 ft (assist by V. Oladipo)
9:55.0,R. Stuckey misses 2-pt shot from 15 ft,,30-28,,
9:54.0,,,30-28,,Defensive rebound by V. Oladipo
9:47.0,,,30-30,2,V. Oladipo makes 2-pt shot from 18 ft
9:28.0,A. Brooks makes 2-pt shot from 1 ft,2,32-30,,
9:07.0,,,32-32,2,A. Abrines makes 2-pt shot from 16 ft (assist by J. Lauvergne)
8:54.0,A. Brooks misses 3-pt shot from 25 ft,,32-32,,
8:54.0,Offensive rebound by A. Jefferson,,32-32,,
8:50.0,R. Stuckey makes 3-pt shot from 23 ft (assist by L. Allen),3,35-32,,
8:34.0,,,35-32,,Shooting foul by L. Allen (drawn by E. Kanter)
8:34.0,Official timeout,,35-32,,
8:34.0,,,35-33,1,E. Kanter makes free throw 1 of 2
8:34.0,,,35-34,1,E. Kanter makes free throw 2 of 2
8:34.0,,,35-32,,S. Adams enters the game for A. Abrines
8:34.0,,,35-32,,R. Westbrook enters the game for J. Lauvergne
8:34.0,M. Ellis enters the game for G. Robinson,,35-32,,
8:34.0,M. Turner enters the game for A. Jefferson,,35-32,,
8:34.0,J. Teague enters the game for A. Brooks,,35-32,,
8:20.0,Shooting foul by S. Adams (drawn by M. Turner),,35-34,,
8:20.0,M. Turner makes free throw 1 of 2,1,36-34,,
8:20.0,M. Turner makes free throw 2 of 2,1,37-34,,
8:08.0,,,37-36,2,E. Kanter makes 2-pt shot from 5 ft (assist by R. Westbrook)
7:56.0,M. Turner misses 2-pt shot from 17 ft,,37-36,,
7:55.0,,,37-36,,Defensive rebound by S. Adams
7:50.0,,,37-36,,Turnover by R. Westbrook (bad pass)
7:50.0,G. Robinson enters the game for R. Stuckey,,37-36,,
7:34.0,G. Robinson misses 2-pt shot from 14 ft,,37-36,,
7:33.0,,,37-36,,Defensive rebound by E. Kanter
7:27.0,,,37-38,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:06.0,Turnover by M. Turner (lost ball; steal by R. Westbrook),,37-38,,
7:02.0,Shooting block foul by G. Robinson (drawn by E. Kanter),,37-38,,
7:02.0,,,37-38,,E. Kanter misses free throw 1 of 2
7:02.0,,,37-38,,Offensive rebound by Team
7:02.0,,,37-39,1,E. Kanter makes free throw 2 of 2
7:02.0,,,37-38,,A. Abrines enters the game for V. Oladipo
6:59.0,Indiana full timeout,,37-39,,
6:59.0,T. Young enters the game for L. Allen,,37-39,,
6:43.0,J. Teague misses 2-pt shot from 8 ft (block by J. Grant),,37-39,,
6:42.0,Offensive rebound by T. Young,,37-39,,
6:39.0,T. Young misses 2-pt shot from 20 ft,,37-39,,
6:37.0,,,37-39,,Defensive rebound by E. Kanter
6:24.0,,,37-41,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:12.0,Shooting foul by J. Grant (drawn by M. Turner),,37-41,,
6:12.0,M. Turner makes free throw 1 of 2,1,38-41,,
6:12.0,M. Turner makes free throw 2 of 2,1,39-41,,
6:12.0,,,38-41,,D. Sabonis enters the game for E. Kanter
6:12.0,,,38-41,,A. Roberson enters the game for J. Grant
6:03.0,,,39-41,,Offensive charge foul by S. Adams
6:03.0,,,39-41,,Turnover by S. Adams (offensive foul)
5:53.0,Shooting foul by D. Sabonis (drawn by M. Turner),,39-41,,
5:53.0,M. Turner makes free throw 1 of 2,1,40-41,,
5:53.0,M. Turner makes free throw 2 of 2,1,41-41,,
5:42.0,,,41-43,2,S. Adams makes 2-pt shot at rim (assist by A. Abrines)
5:17.0,Turnover by M. Ellis (bad pass),,41-43,,
5:11.0,,,41-43,,Offensive foul by S. Adams
5:11.0,,,41-43,,Turnover by S. Adams (offensive foul)
5:11.0,,,41-43,,J. Lauvergne enters the game for S. Adams
5:00.0,Turnover by J. Teague (lost ball; steal by D. Sabonis),,41-43,,
4:55.0,,,41-43,,R. Westbrook misses 2-pt shot from 1 ft
4:54.0,Defensive rebound by M. Turner,,41-43,,
4:48.0,T. Young misses 3-pt shot from 23 ft,,41-43,,
4:47.0,,,41-43,,Defensive rebound by D. Sabonis
4:37.0,,,41-43,,A. Abrines misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by J. Teague,,41-43,,
4:24.0,G. Robinson makes 3-pt shot from 23 ft (assist by J. Teague),3,44-43,,
4:16.0,,,44-43,,Oklahoma City full timeout
4:16.0,,,44-43,,V. Oladipo enters the game for A. Abrines
4:10.0,,,44-43,,D. Sabonis misses 3-pt shot from 22 ft
4:09.0,Defensive rebound by M. Ellis,,44-43,,
3:48.0,T. Young makes 3-pt shot from 23 ft (assist by M. Ellis),3,47-43,,
3:33.0,,,47-43,,V. Oladipo misses 2-pt shot from 18 ft
3:33.0,Defensive rebound by G. Robinson,,47-43,,
3:22.0,J. Teague makes 2-pt shot from 6 ft,2,49-43,,
3:08.0,,,49-45,2,D. Sabonis makes 2-pt shot from 19 ft (assist by R. Westbrook)
2:47.0,M. Ellis makes 2-pt shot from 4 ft,2,51-45,,
2:34.0,,,51-45,,R. Westbrook misses 2-pt shot from 9 ft
2:33.0,Defensive rebound by M. Turner,,51-45,,
2:17.0,T. Young misses 2-pt shot from 5 ft,,51-45,,
2:16.0,,,51-45,,Defensive rebound by J. Lauvergne
2:14.0,,,51-45,,Turnover by R. Westbrook (bad pass; steal by J. Teague)
2:06.0,G. Robinson makes 3-pt shot from 24 ft (assist by M. Ellis),3,54-45,,
1:51.0,,,54-45,,R. Westbrook misses 2-pt shot from 1 ft
1:50.0,Defensive rebound by M. Ellis,,54-45,,
1:45.0,M. Ellis makes 2-pt shot from 1 ft,2,56-45,,
1:34.0,,,56-45,,J. Lauvergne misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by G. Robinson,,56-45,,
1:23.0,Shooting foul by J. Lauvergne (drawn by M. Turner),,56-45,,
1:23.0,M. Turner makes free throw 1 of 2,1,57-45,,
1:23.0,M. Turner makes free throw 2 of 2,1,58-45,,
1:17.0,Personal foul by M. Turner (drawn by J. Lauvergne),,58-45,,
1:12.0,,,58-47,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by R. Westbrook)
1:12.0,,,58-47,,Shooting foul by M. Ellis (drawn by J. Lauvergne)
1:12.0,,,58-47,,J. Lauvergne misses free throw 1 of 1
1:10.0,,,58-47,,Offensive rebound by Team
1:07.0,,,58-49,2,R. Westbrook makes 2-pt shot from 18 ft (assist by A. Roberson)
0:45.0,M. Ellis misses 2-pt shot from 12 ft,,58-49,,
0:44.0,,,58-49,,Defensive rebound by J. Lauvergne
0:31.0,,,58-52,3,A. Roberson makes 3-pt shot from 23 ft (assist by R. Westbrook)
0:10.0,J. Teague misses 3-pt shot from 25 ft,,58-52,,
0:09.0,,,58-52,,Defensive rebound by A. Roberson
0:01.0,,,58-54,2,R. Westbrook makes 2-pt shot from 2 ft
0:01.0,,,58-54,,Shooting foul by M. Turner (drawn by R. Westbrook)
0:01.0,Indiana full timeout,,58-54,,
0:01.0,,,58-54,,R. Westbrook misses free throw 1 of 1
0:01.0,Defensive rebound by G. Robinson,,58-54,,
0:01.0,,,58-54,,J. Grant enters the game for D. Sabonis
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Turner misses 2-pt shot from 18 ft,,58-54,,
11:44.0,,,58-54,,Defensive rebound by A. Roberson
11:28.0,,,58-54,,R. Westbrook misses 2-pt shot from 7 ft
11:28.0,Defensive rebound by M. Turner,,58-54,,
11:08.0,Turnover by M. Ellis (bad pass; steal by S. Adams),,58-54,,
10:48.0,,,58-54,,D. Sabonis misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by T. Young,,58-54,,
10:32.0,G. Robinson misses 3-pt shot from 25 ft,,58-54,,
10:32.0,,,58-54,,Defensive rebound by S. Adams
10:25.0,,,58-54,,V. Oladipo misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by T. Young,,58-54,,
10:09.0,J. Teague misses 2-pt shot from 2 ft,,58-54,,
10:07.0,Offensive rebound by G. Robinson,,58-54,,
10:07.0,G. Robinson misses 2-pt shot from 1 ft,,58-54,,
10:07.0,,,58-54,,Defensive rebound by D. Sabonis
9:56.0,,,58-56,2,R. Westbrook makes 2-pt shot from 14 ft
9:38.0,M. Ellis makes 3-pt shot from 24 ft (assist by G. Robinson),3,61-56,,
9:22.0,,,61-56,,Turnover by V. Oladipo (lost ball; steal by J. Teague)
9:16.0,T. Young misses 2-pt shot from 5 ft,,61-56,,
9:16.0,,,61-56,,Defensive rebound by Team
9:16.0,Loose ball foul by G. Robinson (drawn by A. Roberson),,61-56,,
9:16.0,,,61-56,,Oklahoma City full timeout
9:06.0,,,61-56,,Turnover by R. Westbrook (bad pass; steal by M. Ellis)
9:05.0,Turnover by M. Ellis (bad pass),,61-56,,
8:58.0,,,61-56,,Turnover by R. Westbrook (lost ball; steal by J. Teague)
8:54.0,,,61-56,,Personal foul by R. Westbrook (drawn by J. Teague)
8:42.0,Turnover by G. Robinson (lost ball; steal by A. Roberson),,61-56,,
8:42.0,Jump ball: A. Roberson vs. G. Robinson (R. Westbrook gains possession),,,,Jump ball: A. Roberson vs. G. Robinson (R. Westbrook gains possession)
8:35.0,,,61-56,,R. Westbrook misses 2-pt shot from 2 ft
8:34.0,Defensive rebound by M. Turner,,61-56,,
8:20.0,Turnover by J. Teague (lost ball),,61-56,,
8:02.0,,,61-56,,R. Westbrook misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by M. Ellis,,61-56,,
7:42.0,T. Young misses 3-pt shot from 24 ft,,61-56,,
7:42.0,Offensive rebound by M. Turner,,61-56,,
7:31.0,M. Ellis misses 3-pt shot from 24 ft,,61-56,,
7:29.0,Offensive rebound by G. Robinson,,61-56,,
7:29.0,G. Robinson makes 2-pt shot at rim,2,63-56,,
7:16.0,,,63-56,,Offensive foul by D. Sabonis
7:16.0,,,63-56,,Turnover by D. Sabonis (offensive foul)
7:16.0,,,63-56,,A. Abrines enters the game for V. Oladipo
7:07.0,J. Teague makes 2-pt shot from 1 ft,2,65-56,,
6:47.0,,,65-56,,A. Roberson misses 2-pt shot from 2 ft
6:46.0,,,65-56,,Offensive rebound by D. Sabonis
6:46.0,,,65-56,,D. Sabonis misses 2-pt shot from 3 ft
6:45.0,,,65-56,,Offensive rebound by D. Sabonis
6:45.0,,,65-56,,D. Sabonis misses 2-pt shot from 2 ft
6:44.0,Defensive rebound by G. Robinson,,65-56,,
6:32.0,M. Ellis makes 2-pt shot from 1 ft,2,67-56,,
6:19.0,,,67-56,,R. Westbrook misses 2-pt shot from 13 ft
6:18.0,,,67-56,,Offensive rebound by R. Westbrook
6:17.0,,,67-56,,Shooting foul by G. Robinson (drawn by R. Westbrook)
6:17.0,,,67-56,,R. Westbrook misses free throw 1 of 2
6:17.0,,,67-56,,Offensive rebound by Team
6:17.0,,,67-57,1,R. Westbrook makes free throw 2 of 2
6:17.0,,,67-56,,E. Kanter enters the game for D. Sabonis
6:07.0,T. Young misses 2-pt shot from 15 ft,,67-57,,
6:06.0,,,67-57,,Defensive rebound by A. Roberson
5:56.0,,,67-57,,A. Abrines misses 3-pt shot from 23 ft
5:56.0,Defensive rebound by T. Young,,67-57,,
5:46.0,J. Teague makes 2-pt shot from 19 ft,2,69-57,,
5:30.0,,,69-57,,R. Westbrook misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by G. Robinson,,69-57,,
5:08.0,M. Ellis misses 2-pt shot from 15 ft,,69-57,,
5:08.0,,,69-57,,Defensive rebound by Team
5:07.0,Loose ball foul by M. Turner (drawn by S. Adams),,69-57,,
5:07.0,A. Jefferson enters the game for M. Turner,,69-57,,
4:51.0,,,69-57,,R. Westbrook misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by T. Young,,69-57,,
4:39.0,T. Young makes 2-pt shot at rim (assist by J. Teague),2,71-57,,
4:39.0,,,71-57,,Oklahoma City full timeout
4:39.0,R. Stuckey enters the game for G. Robinson,,71-57,,
4:30.0,,,71-57,,Turnover by A. Abrines (lost ball; steal by M. Ellis)
4:25.0,M. Ellis misses 2-pt shot from 1 ft (block by A. Roberson),,71-57,,
4:23.0,Offensive rebound by R. Stuckey,,71-57,,
4:23.0,Turnover by R. Stuckey (lost ball; steal by R. Westbrook),,71-57,,
4:19.0,Shooting block foul by A. Jefferson (drawn by R. Westbrook),,71-57,,
4:19.0,,,71-58,1,R. Westbrook makes free throw 1 of 2
4:19.0,,,71-59,1,R. Westbrook makes free throw 2 of 2
4:07.0,J. Teague misses 2-pt shot from 2 ft (block by E. Kanter),,71-59,,
4:05.0,,,71-59,,Defensive rebound by R. Westbrook
4:01.0,,,71-61,2,A. Abrines makes 2-pt shot from 2 ft (assist by R. Westbrook)
3:44.0,R. Stuckey makes 2-pt shot from 17 ft (assist by A. Jefferson),2,73-61,,
3:26.0,,,73-61,,A. Roberson misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by A. Jefferson,,73-61,,
3:21.0,,,73-61,,Personal foul by E. Kanter (drawn by J. Teague)
3:21.0,,,73-61,,J. Grant enters the game for A. Roberson
3:21.0,L. Allen enters the game for T. Young,,73-61,,
3:05.0,J. Teague makes 3-pt shot from 25 ft (assist by R. Stuckey),3,76-61,,
2:47.0,,,76-61,,Turnover by E. Kanter (step out of bounds)
2:47.0,Indiana full timeout,,76-61,,
2:47.0,,,76-61,,V. Oladipo enters the game for R. Westbrook
2:47.0,A. Brooks enters the game for J. Teague,,76-61,,
2:35.0,R. Stuckey misses 2-pt shot from 2 ft,,76-61,,
2:34.0,Offensive rebound by A. Jefferson,,76-61,,
2:34.0,A. Jefferson misses 2-pt shot from 2 ft,,76-61,,
2:34.0,,,76-61,,Defensive rebound by E. Kanter
2:19.0,G. Niang enters the game for M. Ellis,,76-61,,
2:19.0,Jump ball: L. Allen vs. E. Kanter (R. Stuckey gains possession),,,,Jump ball: L. Allen vs. E. Kanter (R. Stuckey gains possession)
2:19.0,,,76-61,,Turnover by E. Kanter (lost ball; steal by L. Allen)
2:01.0,Turnover by A. Brooks (bad pass),,76-61,,
2:01.0,,,76-61,,J. Lauvergne enters the game for S. Adams
1:47.0,,,76-61,,Shooting foul by G. Niang (drawn by J. Grant)
1:47.0,,,76-62,1,J. Grant makes free throw 1 of 2
1:47.0,,,76-63,1,J. Grant makes free throw 2 of 2
1:30.0,Turnover by G. Niang (traveling),,76-63,,
1:21.0,,,76-63,,Shooting foul by L. Allen (drawn by E. Kanter)
1:21.0,,,76-64,1,E. Kanter makes free throw 1 of 2
1:21.0,,,76-65,1,E. Kanter makes free throw 2 of 2
0:59.0,G. Niang misses 2-pt shot from 3 ft (block by J. Lauvergne),,76-65,,
0:58.0,,,76-65,,Defensive rebound by V. Oladipo
0:53.0,,,76-67,2,J. Grant makes 2-pt shot at rim (assist by V. Oladipo)
0:36.0,,,76-67,,Shooting block foul by E. Kanter (drawn by R. Stuckey)
0:36.0,R. Stuckey makes free throw 1 of 2,1,77-67,,
0:36.0,R. Stuckey misses free throw 2 of 2,,77-67,,
0:36.0,Offensive rebound by L. Allen,,77-67,,
0:22.0,A. Brooks makes 2-pt shot from 2 ft,2,79-67,,
0:00.0,,,79-70,3,E. Kanter makes 3-pt shot from 24 ft (assist by V. Oladipo)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,79-73,3,J. Grant makes 3-pt shot from 24 ft (assist by J. Lauvergne)
11:17.0,A. Jefferson misses 2-pt shot from 14 ft,,79-73,,
11:17.0,Offensive rebound by L. Allen,,79-73,,
11:12.0,Turnover by L. Allen (bad pass; steal by A. Abrines),,79-73,,
11:07.0,,,79-73,,A. Abrines misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by G. Robinson,,79-73,,
10:45.0,R. Stuckey misses 2-pt shot from 20 ft,,79-73,,
10:44.0,Offensive rebound by A. Jefferson,,79-73,,
10:34.0,A. Brooks misses 2-pt shot from 15 ft,,79-73,,
10:33.0,,,79-73,,Defensive rebound by J. Grant
10:23.0,Personal foul by A. Jefferson (drawn by J. Lauvergne),,79-73,,
10:15.0,,,79-75,2,V. Oladipo makes 2-pt shot from 15 ft (assist by E. Kanter)
9:54.0,R. Stuckey misses 2-pt shot from 2 ft,,79-75,,
9:53.0,,,79-75,,Defensive rebound by Team
9:42.0,,,79-75,,V. Oladipo misses 3-pt shot from 24 ft
9:40.0,,,79-75,,Offensive rebound by Team
9:40.0,M. Turner enters the game for A. Jefferson,,79-75,,
9:28.0,,,79-77,2,E. Kanter makes 2-pt shot from 7 ft (assist by V. Oladipo)
9:09.0,R. Stuckey misses 3-pt shot from 23 ft (block by J. Grant),,79-77,,
9:08.0,Offensive rebound by A. Brooks,,79-77,,
9:03.0,A. Brooks makes 3-pt shot from 26 ft,3,82-77,,
8:37.0,,,82-77,,A. Abrines misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by R. Stuckey,,82-77,,
8:23.0,L. Allen makes 2-pt shot from 4 ft (assist by A. Brooks),2,84-77,,
8:22.0,,,84-77,,Oklahoma City full timeout
8:22.0,,,84-77,,A. Morrow enters the game for V. Oladipo
8:22.0,,,84-77,,R. Westbrook enters the game for A. Abrines
8:22.0,J. Teague enters the game for R. Stuckey,,84-77,,
8:22.0,M. Ellis enters the game for A. Brooks,,84-77,,
8:12.0,,,84-79,2,J. Lauvergne makes 2-pt shot at rim (assist by R. Westbrook)
7:50.0,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis),2,86-79,,
7:35.0,,,86-79,,E. Kanter misses 3-pt shot from 23 ft
7:33.0,,,86-79,,Offensive rebound by R. Westbrook
7:30.0,Personal foul by M. Ellis (drawn by J. Grant),,86-79,,
7:30.0,T. Young enters the game for L. Allen,,86-79,,
7:24.0,,,86-81,2,R. Westbrook makes 2-pt shot from 14 ft (assist by E. Kanter)
7:08.0,M. Ellis makes 2-pt shot from 11 ft,2,88-81,,
7:08.0,Shooting foul by J. Grant (drawn by M. Ellis),,88-81,,
7:08.0,M. Ellis makes free throw 1 of 1,1,89-81,,
6:53.0,,,89-83,2,A. Morrow makes 2-pt shot from 9 ft
6:36.0,M. Turner misses 2-pt shot from 15 ft,,89-83,,
6:36.0,,,89-83,,Defensive rebound by J. Lauvergne
6:23.0,,,89-85,2,R. Westbrook makes 2-pt shot from 12 ft
6:10.0,,,89-85,,Personal block foul by J. Grant (drawn by M. Ellis)
6:10.0,,,89-85,,A. Roberson enters the game for J. Grant
6:10.0,,,89-85,,S. Adams enters the game for J. Lauvergne
5:58.0,G. Robinson misses 2-pt shot from 21 ft,,89-85,,
5:58.0,,,89-85,,Defensive rebound by R. Westbrook
5:48.0,Personal foul by J. Teague (drawn by R. Westbrook),,89-85,,
5:48.0,Official timeout,,89-85,,
5:41.0,,,89-85,,Shooting foul by M. Turner (drawn by S. Adams)
5:41.0,,,89-86,1,S. Adams makes free throw 1 of 2
5:41.0,,,89-87,1,S. Adams makes free throw 2 of 2
5:32.0,J. Teague misses 2-pt shot from 6 ft,,89-87,,
5:32.0,Offensive rebound by T. Young,,89-87,,
5:14.0,Turnover by M. Ellis (traveling),,89-87,,
4:59.0,,,89-87,,R. Westbrook misses 2-pt shot from 12 ft
4:57.0,Defensive rebound by J. Teague,,89-87,,
4:54.0,Shooting foul by R. Westbrook (drawn by J. Teague),,89-87,,
4:54.0,J. Teague makes free throw 1 of 2,1,90-87,,
4:54.0,J. Teague makes free throw 2 of 2,1,91-87,,
4:43.0,,,91-87,,A. Morrow misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by T. Young,,91-87,,
4:38.0,Shooting foul by A. Roberson (drawn by G. Robinson),,91-87,,
4:38.0,G. Robinson makes free throw 1 of 2,1,92-87,,
4:38.0,G. Robinson makes free throw 2 of 2,1,93-87,,
