time,Portland,pts.away,score,pts.home,Charlotte
2:57.0,,,20-17,,Defensive rebound by M. Belinelli
2:46.0,,,20-19,2,M. Belinelli makes 2-pt shot from 19 ft
2:27.0,M. Plumlee makes 2-pt shot from 9 ft,2,22-19,,
2:12.0,,,22-21,2,M. Belinelli makes 2-pt shot from 20 ft (assist by K. Walker)
2:11.0,Portland full timeout,,22-21,,
2:11.0,,,22-21,,R. Sessions enters the game for C. Zeller
2:11.0,,,22-21,,R. Hibbert enters the game for K. Walker
2:11.0,M. Leonard enters the game for M. Plumlee,,22-21,,
1:56.0,E. Turner makes 2-pt shot from 18 ft (assist by M. Leonard),2,24-21,,
1:46.0,Personal foul by A. Crabbe (drawn by M. Belinelli),,24-21,,
1:40.0,,,24-21,,N. Batum misses 3-pt shot from 26 ft
1:38.0,Defensive rebound by D. Lillard,,24-21,,
1:27.0,N. Vonleh misses 2-pt shot from 3 ft (block by R. Hibbert),,24-21,,
1:25.0,Offensive rebound by N. Vonleh,,24-21,,
1:25.0,N. Vonleh misses 2-pt shot from 1 ft (block by R. Hibbert),,24-21,,
1:22.0,Offensive rebound by N. Vonleh,,24-21,,
1:22.0,N. Vonleh misses 2-pt shot from 1 ft,,24-21,,
1:20.0,Offensive rebound by N. Vonleh,,24-21,,
1:20.0,N. Vonleh misses 2-pt shot from 2 ft,,24-21,,
1:17.0,,,24-21,,Defensive rebound by R. Hibbert
1:12.0,,,24-21,,N. Batum misses 2-pt shot from 6 ft
1:10.0,Defensive rebound by M. Leonard,,24-21,,
1:09.0,,,24-21,,Personal foul by R. Sessions (drawn by M. Leonard)
1:02.0,Turnover by D. Lillard (bad pass; steal by F. Kaminsky),,24-21,,
0:48.0,,,24-21,,R. Sessions misses 2-pt shot from 10 ft
0:45.0,Defensive rebound by D. Lillard,,24-21,,
0:33.0,A. Crabbe misses 3-pt shot from 25 ft,,24-21,,
0:31.0,,,24-21,,Defensive rebound by R. Sessions
0:19.0,,,24-21,,Shooting foul by E. Turner (drawn by N. Batum)
0:19.0,,,24-22,1,N. Batum makes free throw 1 of 2
0:19.0,,,24-23,1,N. Batum makes free throw 2 of 2
0:00.0,E. Turner makes 2-pt shot from 16 ft,2,26-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,26-23,,R. Hibbert misses 2-pt shot from 1 ft (block by N. Vonleh)
11:46.0,Defensive rebound by M. Leonard,,26-23,,
11:43.0,,,26-23,,Personal block foul by M. Kidd-Gilchrist (drawn by M. Leonard)
11:32.0,E. Turner misses 3-pt shot from 24 ft,,26-23,,
11:30.0,Offensive rebound by E. Turner,,26-23,,
11:27.0,E. Turner makes 2-pt shot from 9 ft,2,28-23,,
11:09.0,,,28-25,2,R. Hibbert makes 2-pt shot from 17 ft (assist by M. Belinelli)
10:52.0,A. Crabbe misses 3-pt shot from 25 ft,,28-25,,
10:50.0,Offensive rebound by M. Leonard,,28-25,,
10:50.0,M. Leonard misses 2-pt shot at rim,,28-25,,
10:48.0,,,28-25,,Defensive rebound by M. Kidd-Gilchrist
10:42.0,,,28-27,2,R. Sessions makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
10:27.0,E. Turner makes 2-pt shot from 13 ft (assist by C. McCollum),2,30-27,,
10:08.0,,,30-29,2,R. Hibbert makes 2-pt shot at rim
10:04.0,Turnover by E. Turner (bad pass),,30-29,,
10:04.0,A. Aminu enters the game for N. Vonleh,,30-29,,
9:50.0,,,30-31,2,R. Hibbert makes 2-pt shot from 19 ft
9:34.0,A. Crabbe misses 2-pt shot from 18 ft,,30-31,,
9:32.0,,,30-31,,Defensive rebound by M. Williams
9:22.0,,,30-31,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft
9:21.0,Defensive rebound by A. Aminu,,30-31,,
9:20.0,Turnover by A. Aminu (lost ball; steal by M. Kidd-Gilchrist),,30-31,,
9:16.0,,,30-31,,R. Sessions misses 2-pt shot from 2 ft
9:14.0,,,30-31,,Offensive rebound by M. Kidd-Gilchrist
9:11.0,,,30-31,,Turnover by M. Kidd-Gilchrist (bad pass; steal by A. Crabbe)
9:05.0,C. McCollum makes 2-pt shot from 13 ft,2,32-31,,
8:52.0,,,32-31,,M. Williams misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by E. Turner,,32-31,,
8:43.0,A. Aminu misses 3-pt shot from 25 ft,,32-31,,
8:42.0,,,32-31,,Defensive rebound by M. Kidd-Gilchrist
8:20.0,,,32-31,,M. Kidd-Gilchrist misses 2-pt shot from 20 ft
8:19.0,Defensive rebound by A. Aminu,,32-31,,
8:07.0,M. Leonard misses 2-pt shot from 20 ft,,32-31,,
8:02.0,,,32-31,,Defensive rebound by M. Williams
7:58.0,,,32-31,,R. Sessions misses 2-pt shot from 6 ft (block by M. Leonard)
7:58.0,,,32-31,,Offensive rebound by Team
7:58.0,Official timeout,,32-31,,
7:58.0,,,32-31,,K. Walker enters the game for M. Belinelli
7:52.0,,,32-31,,M. Williams misses 2-pt shot from 22 ft
7:51.0,Defensive rebound by E. Turner,,32-31,,
7:36.0,Turnover by M. Leonard (bad pass; steal by K. Walker),,32-31,,
7:36.0,,,32-31,,Charlotte full timeout
7:22.0,,,32-31,,M. Williams misses 2-pt shot from 11 ft
7:21.0,Defensive rebound by E. Turner,,32-31,,
7:09.0,A. Aminu misses 3-pt shot from 26 ft,,32-31,,
7:08.0,,,32-31,,Defensive rebound by K. Walker
7:00.0,,,32-33,2,K. Walker makes 2-pt shot from 12 ft
6:40.0,C. McCollum misses 2-pt shot from 17 ft,,32-33,,
6:39.0,,,32-33,,Defensive rebound by M. Kidd-Gilchrist
6:23.0,,,32-35,2,R. Hibbert makes 2-pt shot from 18 ft (assist by K. Walker)
6:04.0,M. Leonard misses 3-pt shot from 24 ft,,32-35,,
6:02.0,,,32-35,,Defensive rebound by M. Williams
5:56.0,,,32-35,,Shooting foul by C. McCollum (drawn by K. Walker)
5:56.0,,,32-35,,K. Walker misses free throw 1 of 3
5:56.0,,,32-35,,Offensive rebound by Team
5:56.0,,,32-35,,K. Walker misses free throw 2 of 3
5:56.0,,,32-35,,Offensive rebound by Team
5:56.0,,,32-36,1,K. Walker makes free throw 3 of 3
5:56.0,M. Plumlee enters the game for A. Crabbe,,32-35,,
5:56.0,M. Harkless enters the game for M. Leonard,,32-35,,
5:56.0,,,32-35,,N. Batum enters the game for R. Hibbert
5:56.0,,,32-35,,C. Zeller enters the game for R. Sessions
5:45.0,Shooting foul by C. Zeller (drawn by C. McCollum),,32-36,,
5:45.0,C. McCollum makes free throw 1 of 2,1,33-36,,
5:45.0,C. McCollum makes free throw 2 of 2,1,34-36,,
5:28.0,,,34-36,,M. Williams misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by Team,,34-36,,
5:28.0,D. Lillard enters the game for C. McCollum,,34-36,,
5:13.0,D. Lillard makes 3-pt shot from 25 ft (assist by M. Harkless),3,37-36,,
4:57.0,,,37-38,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by N. Batum)
4:38.0,E. Turner misses 3-pt shot from 25 ft,,37-38,,
4:37.0,,,37-38,,Defensive rebound by M. Williams
4:29.0,,,37-40,2,N. Batum makes 2-pt shot from 12 ft
4:13.0,Turnover by D. Lillard (bad pass; steal by M. Williams),,37-40,,
4:00.0,,,37-42,2,K. Walker makes 2-pt shot at rim (assist by M. Williams)
4:00.0,Portland full timeout,,37-42,,
4:00.0,,,37-42,,M. Belinelli enters the game for M. Kidd-Gilchrist
4:00.0,,,37-42,,F. Kaminsky enters the game for M. Williams
3:47.0,Turnover by E. Turner (lost ball; steal by M. Belinelli),,37-42,,
3:42.0,,,37-42,,M. Belinelli misses 2-pt shot from 2 ft (block by M. Harkless)
3:40.0,,,37-42,,Offensive rebound by C. Zeller
3:23.0,,,37-42,,F. Kaminsky misses 3-pt shot from 28 ft
3:21.0,Defensive rebound by A. Aminu,,37-42,,
3:11.0,D. Lillard misses 3-pt shot from 26 ft,,37-42,,
3:10.0,Offensive rebound by E. Turner,,37-42,,
3:05.0,A. Aminu misses 3-pt shot from 24 ft,,37-42,,
3:03.0,,,37-42,,Defensive rebound by F. Kaminsky
2:56.0,,,37-42,,N. Batum misses 3-pt shot from 28 ft
2:54.0,Defensive rebound by D. Lillard,,37-42,,
2:46.0,D. Lillard makes 2-pt shot at rim,2,39-42,,
2:27.0,,,39-44,2,N. Batum makes 2-pt shot from 12 ft (assist by M. Belinelli)
2:05.0,M. Harkless misses 2-pt shot from 22 ft,,39-44,,
2:04.0,,,39-44,,Defensive rebound by K. Walker
1:46.0,,,39-46,2,C. Zeller makes 2-pt shot from 17 ft (assist by K. Walker)
1:46.0,Portland full timeout,,39-46,,
1:46.0,C. McCollum enters the game for E. Turner,,39-46,,
1:29.0,D. Lillard makes 2-pt shot from 1 ft,2,41-46,,
1:10.0,,,41-49,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
0:59.0,Shooting foul by K. Walker (drawn by D. Lillard),,41-49,,
0:59.0,D. Lillard makes free throw 1 of 3,1,42-49,,
0:59.0,D. Lillard makes free throw 2 of 3,1,43-49,,
0:59.0,D. Lillard makes free throw 3 of 3,1,44-49,,
0:59.0,A. Crabbe enters the game for C. McCollum,,43-49,,
0:48.0,,,44-52,3,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum)
0:31.0,Shooting foul by F. Kaminsky (drawn by A. Aminu),,44-52,,
0:31.0,A. Aminu makes free throw 1 of 2,1,45-52,,
0:31.0,A. Aminu makes free throw 2 of 2,1,46-52,,
0:13.0,,,46-54,2,N. Batum makes 2-pt shot from 2 ft (assist by K. Walker)
0:01.0,A. Crabbe misses 2-pt shot from 10 ft (block by N. Batum),,46-54,,
0:00.0,,,46-54,,Defensive rebound by C. Zeller
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,46-54,,C. Zeller misses 2-pt shot from 1 ft (block by M. Plumlee)
11:50.0,,,46-54,,Offensive rebound by Team
11:41.0,,,46-54,,C. Zeller misses 2-pt shot from 9 ft
11:40.0,Defensive rebound by A. Aminu,,46-54,,
11:30.0,Turnover by A. Aminu (bad pass; steal by M. Williams),,46-54,,
11:21.0,,,46-56,2,N. Batum makes 2-pt shot from 12 ft
11:02.0,C. McCollum misses 2-pt shot from 2 ft,,46-56,,
11:01.0,,,46-56,,Defensive rebound by C. Zeller
10:57.0,,,46-56,,Shooting foul by M. Plumlee (drawn by M. Kidd-Gilchrist)
10:57.0,,,46-56,,M. Kidd-Gilchrist misses free throw 1 of 2
10:57.0,,,46-56,,Offensive rebound by Team
10:57.0,,,46-57,1,M. Kidd-Gilchrist makes free throw 2 of 2
10:37.0,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard),3,49-57,,
10:26.0,,,49-57,,K. Walker misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by A. Aminu,,49-57,,
10:03.0,M. Harkless misses 3-pt shot from 24 ft,,49-57,,
10:01.0,,,49-57,,Defensive rebound by N. Batum
9:50.0,,,49-57,,Shooting foul by M. Harkless (drawn by M. Kidd-Gilchrist)
9:50.0,,,49-58,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:50.0,,,49-59,1,M. Kidd-Gilchrist makes free throw 2 of 2
9:35.0,C. McCollum misses 3-pt shot from 25 ft,,49-59,,
9:32.0,,,49-59,,Defensive rebound by C. Zeller
9:13.0,,,49-62,3,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum)
9:12.0,Portland full timeout,,49-62,,
8:59.0,D. Lillard makes 3-pt shot from 25 ft (assist by M. Harkless),3,52-62,,
8:39.0,,,52-64,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
8:23.0,D. Lillard makes 2-pt shot from 1 ft (assist by M. Harkless),2,54-64,,
8:07.0,,,54-64,,Shooting foul by A. Aminu (drawn by K. Walker)
8:07.0,,,54-65,1,K. Walker makes free throw 1 of 2
8:07.0,,,54-66,1,K. Walker makes free throw 2 of 2
7:50.0,M. Plumlee misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,54-66,,
7:48.0,Offensive rebound by M. Plumlee,,54-66,,
7:44.0,M. Plumlee makes 2-pt shot from 7 ft,2,56-66,,
7:20.0,,,56-69,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
7:03.0,M. Harkless makes 3-pt shot from 25 ft (assist by M. Plumlee),3,59-69,,
6:50.0,,,59-69,,N. Batum misses 2-pt shot from 9 ft (block by C. McCollum)
6:48.0,,,59-69,,Offensive rebound by C. Zeller
6:43.0,,,59-69,,Turnover by N. Batum (bad pass; steal by C. McCollum)
6:42.0,,,59-69,,Personal foul by C. Zeller (drawn by M. Plumlee)
6:29.0,D. Lillard misses 3-pt shot from 25 ft,,59-69,,
6:29.0,Offensive rebound by Team,,59-69,,
6:29.0,,,59-69,,Loose ball foul by C. Zeller (drawn by M. Plumlee)
6:19.0,M. Harkless misses 2-pt shot from 1 ft (block by N. Batum),,59-69,,
6:18.0,,,59-69,,Defensive rebound by C. Zeller
6:17.0,,,59-69,,Turnover by C. Zeller (bad pass; steal by M. Harkless)
6:03.0,D. Lillard misses 2-pt shot from 1 ft,,59-69,,
6:02.0,,,59-69,,Defensive rebound by C. Zeller
5:50.0,,,59-71,2,C. Zeller makes 2-pt shot from 2 ft (assist by M. Williams)
5:38.0,C. McCollum makes 2-pt shot at rim,2,61-71,,
5:20.0,,,61-71,,N. Batum misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by M. Plumlee,,61-71,,
5:05.0,M. Harkless misses 3-pt shot from 26 ft,,61-71,,
5:03.0,,,61-71,,Defensive rebound by C. Zeller
4:56.0,,,61-71,,Offensive foul by C. Zeller
4:56.0,,,61-71,,Turnover by C. Zeller (offensive foul)
4:56.0,A. Crabbe enters the game for A. Aminu,,61-71,,
4:56.0,N. Vonleh enters the game for M. Harkless,,61-71,,
4:56.0,,,61-71,,M. Belinelli enters the game for M. Kidd-Gilchrist
4:56.0,,,61-71,,F. Kaminsky enters the game for M. Williams
4:56.0,,,61-71,,R. Hibbert enters the game for C. Zeller
4:40.0,A. Crabbe misses 2-pt shot from 14 ft,,61-71,,
4:39.0,,,61-71,,Defensive rebound by N. Batum
4:27.0,,,61-73,2,M. Belinelli makes 2-pt shot from 1 ft (assist by N. Batum)
4:09.0,Turnover by C. McCollum (bad pass; steal by K. Walker),,61-73,,
3:56.0,,,61-73,,Shooting foul by A. Crabbe (drawn by R. Hibbert)
3:56.0,,,61-74,1,R. Hibbert makes free throw 1 of 2
3:56.0,,,61-75,1,R. Hibbert makes free throw 2 of 2
3:56.0,E. Turner enters the game for M. Plumlee,,61-74,,
3:56.0,M. Leonard enters the game for C. McCollum,,61-74,,
3:44.0,,,61-75,,Personal foul by M. Belinelli (drawn by E. Turner)
3:36.0,N. Vonleh makes 2-pt shot from 16 ft (assist by E. Turner),2,63-75,,
3:15.0,,,63-75,,N. Batum misses 2-pt shot from 9 ft
3:14.0,Defensive rebound by E. Turner,,63-75,,
3:05.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard),3,66-75,,
3:05.0,,,66-75,,Charlotte full timeout
2:53.0,,,66-75,,F. Kaminsky misses 3-pt shot from 26 ft
2:52.0,Defensive rebound by E. Turner,,66-75,,
2:36.0,M. Leonard misses 3-pt shot from 26 ft,,66-75,,
2:35.0,,,66-75,,Defensive rebound by N. Batum
2:16.0,,,66-75,,F. Kaminsky misses 2-pt shot from 12 ft
2:15.0,Defensive rebound by E. Turner,,66-75,,
2:11.0,,,66-75,,Personal foul by F. Kaminsky (drawn by N. Vonleh)
2:11.0,,,66-75,,R. Sessions enters the game for K. Walker
1:54.0,M. Leonard misses 2-pt shot from 16 ft,,66-75,,
1:53.0,,,66-75,,Defensive rebound by M. Belinelli
1:40.0,,,66-77,2,R. Hibbert makes 2-pt shot from 18 ft
1:25.0,D. Lillard misses 2-pt shot from 15 ft,,66-77,,
1:24.0,,,66-77,,Defensive rebound by R. Hibbert
1:17.0,,,66-77,,Turnover by N. Batum (bad pass; steal by E. Turner)
1:12.0,A. Crabbe makes 2-pt shot from 2 ft (assist by E. Turner),2,68-77,,
0:49.0,,,68-77,,M. Belinelli misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by E. Turner,,68-77,,
0:34.0,,,68-77,,Personal foul by F. Kaminsky (drawn by D. Lillard)
0:34.0,D. Lillard makes free throw 1 of 2,1,69-77,,
0:34.0,D. Lillard makes free throw 2 of 2,1,70-77,,
0:26.0,Personal foul by E. Turner (drawn by M. Belinelli),,70-77,,
0:26.0,,,70-78,1,M. Belinelli makes free throw 1 of 2
0:26.0,,,70-79,1,M. Belinelli makes free throw 2 of 2
0:26.0,C. McCollum enters the game for M. Leonard,,70-78,,
0:26.0,,,70-78,,M. Kidd-Gilchrist enters the game for R. Hibbert
0:06.0,D. Lillard misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,70-79,,
0:04.0,Offensive rebound by N. Vonleh,,70-79,,
0:04.0,N. Vonleh makes 2-pt shot from 2 ft,2,72-79,,
0:03.0,,,72-79,,Turnover by M. Belinelli (bad pass; steal by D. Lillard)
0:01.0,D. Lillard misses 3-pt shot from 29 ft,,72-79,,
0:00.0,Offensive rebound by Team,,72-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,E. Turner misses 2-pt shot from 4 ft,,72-79,,
11:37.0,Offensive rebound by N. Vonleh,,72-79,,
11:37.0,N. Vonleh misses 2-pt shot from 1 ft,,72-79,,
11:36.0,,,72-79,,Defensive rebound by M. Belinelli
11:27.0,,,72-82,3,F. Kaminsky makes 3-pt shot from 27 ft (assist by M. Belinelli)
11:09.0,E. Turner misses 2-pt shot from 18 ft,,72-82,,
11:07.0,,,72-82,,Defensive rebound by R. Sessions
10:50.0,,,72-84,2,F. Kaminsky makes 2-pt shot from 2 ft (assist by R. Sessions)
10:34.0,C. McCollum misses 2-pt shot from 18 ft,,72-84,,
10:33.0,,,72-84,,Defensive rebound by R. Hibbert
10:22.0,,,72-84,,R. Sessions misses 2-pt shot from 6 ft (block by N. Vonleh)
10:22.0,,,72-84,,Offensive rebound by R. Hibbert
10:22.0,,,72-86,2,R. Hibbert makes 2-pt shot at rim
10:22.0,Portland full timeout,,72-86,,
10:22.0,M. Plumlee enters the game for N. Vonleh,,72-86,,
10:22.0,A. Aminu enters the game for M. Leonard,,72-86,,
10:08.0,C. McCollum misses 2-pt shot from 7 ft,,72-86,,
10:06.0,,,72-86,,Defensive rebound by R. Sessions
10:00.0,,,72-88,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by R. Sessions)
9:43.0,Shooting foul by R. Hibbert (drawn by M. Plumlee),,72-88,,
9:43.0,M. Plumlee makes free throw 1 of 2,1,73-88,,
9:43.0,M. Plumlee makes free throw 2 of 2,1,74-88,,
9:43.0,M. Harkless enters the game for A. Crabbe,,73-88,,
9:43.0,D. Lillard enters the game for E. Turner,,73-88,,
9:28.0,,,74-88,,F. Kaminsky misses 2-pt shot from 7 ft (block by A. Aminu)
9:26.0,Defensive rebound by C. McCollum,,74-88,,
9:15.0,Turnover by C. McCollum (bad pass; steal by R. Sessions),,74-88,,
9:01.0,,,74-91,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by R. Sessions)
8:38.0,C. McCollum misses 3-pt shot from 27 ft,,74-91,,
8:37.0,,,74-91,,Defensive rebound by M. Belinelli
8:26.0,,,74-91,,Turnover by M. Belinelli (bad pass; steal by A. Aminu)
8:22.0,,,74-91,,Personal foul by R. Sessions (drawn by D. Lillard)
8:11.0,D. Lillard makes 2-pt shot from 17 ft,2,76-91,,
7:56.0,,,76-93,2,M. Belinelli makes 2-pt shot from 19 ft (assist by R. Sessions)
7:40.0,A. Aminu misses 3-pt shot from 26 ft,,76-93,,
7:39.0,,,76-93,,Defensive rebound by M. Belinelli
7:32.0,,,76-93,,K. Walker enters the game for R. Sessions
7:18.0,,,76-93,,F. Kaminsky misses 2-pt shot from 16 ft
7:16.0,Defensive rebound by M. Plumlee,,76-93,,
6:58.0,C. McCollum misses 2-pt shot from 1 ft,,76-93,,
6:57.0,,,76-93,,Defensive rebound by M. Kidd-Gilchrist
6:50.0,Violation by M. Plumlee (kicked ball),,76-93,,
6:50.0,,,76-93,,N. Batum enters the game for M. Belinelli
6:39.0,,,76-93,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
6:38.0,Defensive rebound by C. McCollum,,76-93,,
6:29.0,C. McCollum makes 2-pt shot from 12 ft,2,78-93,,
6:07.0,,,78-93,,Turnover by F. Kaminsky (lost ball; steal by C. McCollum)
6:03.0,Turnover by C. McCollum (bad pass; steal by F. Kaminsky),,78-93,,
6:00.0,,,78-95,2,N. Batum makes 2-pt shot at rim (assist by M. Kidd-Gilchrist)
5:49.0,D. Lillard misses 2-pt shot from 1 ft,,78-95,,
5:47.0,,,78-95,,Defensive rebound by F. Kaminsky
5:33.0,,,78-98,3,K. Walker makes 3-pt shot from 25 ft
5:33.0,Portland full timeout,,78-98,,
5:33.0,,,78-98,,C. Zeller enters the game for F. Kaminsky
5:33.0,,,78-98,,M. Williams enters the game for R. Hibbert
5:14.0,Offensive foul by M. Plumlee,,78-98,,
5:14.0,Turnover by M. Plumlee (offensive foul),,78-98,,
5:02.0,,,78-98,,K. Walker misses 2-pt shot from 19 ft
5:01.0,Defensive rebound by A. Aminu,,78-98,,
4:53.0,C. McCollum makes 2-pt shot from 19 ft (assist by A. Aminu),2,80-98,,
4:30.0,,,80-98,,K. Walker misses 3-pt shot from 25 ft (block by D. Lillard)
4:27.0,Defensive rebound by M. Plumlee,,80-98,,
4:24.0,M. Plumlee misses 2-pt shot from 2 ft,,80-98,,
4:24.0,,,80-98,,Defensive rebound by Team
4:24.0,Loose ball foul by C. McCollum (drawn by N. Batum),,80-98,,
