time,Detroit,pts.away,score,pts.home,Oklahoma City
0:18.0,Defensive rebound by Team,,18-27,,
0:18.0,,,18-27,,Loose ball foul by E. Kanter (drawn by A. Baynes)
0:18.0,A. Baynes makes free throw 1 of 2,1,19-27,,
0:18.0,A. Baynes misses free throw 2 of 2,,19-27,,
0:18.0,,,19-27,,Defensive rebound by J. Lauvergne
0:18.0,,,18-27,,A. Roberson enters the game for A. Morrow
0:18.0,,,19-27,,A. Morrow enters the game for A. Roberson
0:02.0,,,19-27,,S. Christon misses 2-pt shot from 11 ft
0:02.0,,,19-27,,Offensive rebound by Team
0:02.0,Loose ball foul by D. Hilliard (drawn by A. Morrow),,19-27,,
0:02.0,,,19-28,1,A. Morrow makes free throw 1 of 2
0:02.0,,,19-29,1,A. Morrow makes free throw 2 of 2
0:00.0,M. Morris misses 3-pt shot from 57 ft,,19-29,,
0:00.0,Offensive rebound by Team,,19-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,19-31,2,A. Morrow makes 2-pt shot from 2 ft (assist by J. Lauvergne)
11:23.0,D. Hilliard makes 2-pt shot from 13 ft,2,21-31,,
11:11.0,,,21-33,2,E. Kanter makes 2-pt shot from 1 ft (assist by S. Christon)
11:11.0,,,21-33,,Shooting foul by A. Baynes (drawn by E. Kanter)
11:11.0,,,21-34,1,E. Kanter makes free throw 1 of 1
11:11.0,,,21-33,,V. Oladipo enters the game for S. Christon
11:11.0,S. Johnson enters the game for D. Hilliard,,21-33,,
10:55.0,T. Harris makes 2-pt shot from 1 ft,2,23-34,,
10:32.0,,,23-34,,J. Grant misses 2-pt shot from 4 ft
10:32.0,,,23-34,,Offensive rebound by J. Grant
10:28.0,,,23-34,,A. Morrow misses 3-pt shot from 25 ft
10:28.0,,,23-34,,Offensive rebound by J. Lauvergne
10:28.0,,,23-34,,Shooting foul by T. Harris (drawn by J. Lauvergne)
10:28.0,,,23-35,1,J. Lauvergne makes free throw 1 of 2
10:28.0,,,23-35,,J. Lauvergne misses free throw 2 of 2
10:27.0,Defensive rebound by S. Johnson,,23-35,,
10:08.0,Shooting foul by J. Grant (drawn by T. Harris),,23-35,,
10:08.0,T. Harris misses free throw 1 of 2,,23-35,,
10:08.0,Offensive rebound by Team,,23-35,,
10:08.0,T. Harris makes free throw 2 of 2,1,24-35,,
9:52.0,,,24-35,,E. Kanter misses 2-pt shot from 9 ft
9:52.0,Defensive rebound by T. Harris,,24-35,,
9:44.0,Turnover by A. Baynes (lost ball),,24-35,,
9:30.0,,,24-35,,J. Grant misses 3-pt shot from 22 ft
9:30.0,Defensive rebound by S. Johnson,,24-35,,
9:20.0,T. Harris misses 3-pt shot from 25 ft,,24-35,,
9:17.0,Offensive rebound by A. Baynes,,24-35,,
9:14.0,A. Baynes misses 2-pt shot from 2 ft,,24-35,,
9:14.0,Offensive rebound by A. Baynes,,24-35,,
9:13.0,A. Baynes makes 2-pt shot from 1 ft,2,26-35,,
9:02.0,,,26-35,,Shooting foul by S. Johnson (drawn by V. Oladipo)
9:02.0,,,26-36,1,V. Oladipo makes free throw 1 of 2
9:02.0,,,26-36,,V. Oladipo misses free throw 2 of 2
9:02.0,,,26-36,,R. Westbrook enters the game for A. Morrow
9:02.0,,,26-36,,S. Adams enters the game for J. Lauvergne
9:02.0,,,26-36,,A. Roberson enters the game for E. Kanter
9:02.0,K. Caldwell-Pope enters the game for S. Johnson,,26-36,,
9:01.0,,,26-36,,Offensive rebound by V. Oladipo
8:50.0,Personal foul by J. Leuer (drawn by J. Grant),,26-36,,
8:50.0,Official timeout,,26-36,,
8:50.0,A. Drummond enters the game for A. Baynes,,26-36,,
8:43.0,,,26-36,,Turnover by R. Westbrook (bad pass; steal by A. Drummond)
8:23.0,B. Udrih makes 2-pt shot from 9 ft,2,28-36,,
8:10.0,,,28-38,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
7:53.0,B. Udrih makes 2-pt shot from 9 ft,2,30-38,,
7:36.0,,,30-38,,Turnover by J. Grant (lost ball; steal by A. Drummond)
7:23.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,30-38,,
7:22.0,,,30-38,,Defensive rebound by R. Westbrook
7:16.0,,,30-40,2,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook)
7:04.0,J. Leuer misses 3-pt shot from 24 ft,,30-40,,
7:04.0,,,30-40,,Defensive rebound by S. Adams
6:48.0,,,30-40,,A. Roberson misses 3-pt shot from 22 ft
6:48.0,Defensive rebound by J. Leuer,,30-40,,
6:39.0,A. Drummond makes 2-pt shot from 1 ft (assist by B. Udrih),2,32-40,,
6:21.0,,,32-43,3,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook)
6:07.0,T. Harris misses 3-pt shot from 23 ft,,32-43,,
6:06.0,,,32-43,,Defensive rebound by A. Roberson
5:58.0,,,32-45,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:49.0,Detroit full timeout,,32-45,,
5:49.0,I. Smith enters the game for J. Leuer,,32-45,,
5:49.0,M. Morris enters the game for B. Udrih,,32-45,,
5:49.0,,,32-45,,D. Sabonis enters the game for J. Grant
5:38.0,T. Harris makes 2-pt shot from 13 ft,2,34-45,,
5:14.0,,,34-45,,D. Sabonis misses 2-pt shot from 5 ft
5:14.0,Defensive rebound by A. Drummond,,34-45,,
4:55.0,T. Harris misses 3-pt shot from 26 ft,,34-45,,
4:55.0,Offensive rebound by Team,,34-45,,
4:55.0,,,34-45,,Loose ball foul by D. Sabonis (drawn by A. Drummond)
4:44.0,Turnover by M. Morris (lost ball; steal by R. Westbrook),,34-45,,
4:39.0,,,34-47,2,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Roberson)
4:22.0,I. Smith misses 2-pt shot from 16 ft,,34-47,,
4:21.0,,,34-47,,Defensive rebound by R. Westbrook
4:17.0,,,34-49,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
3:51.0,A. Drummond makes 2-pt shot at rim (assist by I. Smith),2,36-49,,
3:28.0,,,36-51,2,S. Adams makes 2-pt shot from 4 ft
3:07.0,I. Smith makes 2-pt shot from 1 ft,2,38-51,,
2:56.0,,,38-51,,Shooting foul by I. Smith (drawn by V. Oladipo)
2:56.0,,,38-51,,Oklahoma City full timeout
2:56.0,,,38-51,,V. Oladipo misses free throw 1 of 2
2:56.0,,,38-51,,Offensive rebound by Team
2:56.0,,,38-52,1,V. Oladipo makes free throw 2 of 2
2:43.0,M. Morris misses 2-pt shot from 19 ft,,38-52,,
2:42.0,,,38-52,,Defensive rebound by D. Sabonis
2:38.0,,,38-52,,Shooting foul by A. Drummond (drawn by S. Adams)
2:38.0,,,38-52,,S. Adams misses free throw 1 of 2
2:38.0,,,38-52,,Offensive rebound by Team
2:38.0,,,38-53,1,S. Adams makes free throw 2 of 2
2:14.0,A. Drummond misses 2-pt shot from 6 ft,,38-53,,
2:13.0,Offensive rebound by Team,,38-53,,
2:13.0,,,38-53,,Loose ball foul by D. Sabonis (drawn by T. Harris)
2:05.0,M. Morris misses 3-pt shot from 23 ft,,38-53,,
2:05.0,,,38-53,,Defensive rebound by R. Westbrook
1:56.0,,,38-55,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
1:56.0,,,38-55,,Shooting foul by M. Morris (drawn by S. Adams)
1:56.0,,,38-56,1,S. Adams makes free throw 1 of 1
1:56.0,J. Leuer enters the game for M. Morris,,38-55,,
1:56.0,B. Udrih enters the game for I. Smith,,38-55,,
1:40.0,Turnover by J. Leuer (lost ball),,38-56,,
1:24.0,,,38-56,,Shooting foul by A. Drummond (drawn by S. Adams)
1:24.0,,,38-56,,S. Adams misses free throw 1 of 2
1:24.0,,,38-56,,Offensive rebound by Team
1:24.0,,,38-56,,S. Adams misses free throw 2 of 2
1:24.0,Defensive rebound by J. Leuer,,38-56,,
1:24.0,A. Baynes enters the game for A. Drummond,,38-56,,
1:03.0,Shooting foul by D. Sabonis (drawn by A. Baynes),,38-56,,
1:03.0,A. Baynes makes free throw 1 of 2,1,39-56,,
1:03.0,A. Baynes makes free throw 2 of 2,1,40-56,,
1:03.0,,,39-56,,J. Lauvergne enters the game for D. Sabonis
0:54.0,,,40-56,,Turnover by R. Westbrook (bad pass; steal by T. Harris)
0:45.0,,,40-56,,Personal foul by V. Oladipo (drawn by T. Harris)
0:45.0,T. Harris makes free throw 1 of 2,1,41-56,,
0:45.0,,,41-56,,Oklahoma City full timeout
0:45.0,T. Harris makes free throw 2 of 2,1,42-56,,
0:45.0,,,41-56,,A. Morrow enters the game for A. Roberson
0:38.0,,,42-56,,A. Morrow misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by J. Leuer,,42-56,,
0:28.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,44-56,,
0:12.0,,,44-56,,Turnover by R. Westbrook (bad pass; steal by T. Harris)
0:08.0,J. Leuer makes 2-pt shot at rim (assist by T. Harris),2,46-56,,
0:00.0,,,46-56,,R. Westbrook misses 2-pt shot from 2 ft
0:00.0,,,46-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,46-56,,R. Westbrook misses 2-pt shot from 14 ft
11:49.0,,,46-56,,Offensive rebound by R. Westbrook
11:46.0,,,46-56,,R. Westbrook misses 2-pt shot from 2 ft
11:46.0,,,46-56,,Offensive rebound by R. Westbrook
11:46.0,,,46-56,,R. Westbrook misses 2-pt shot from 2 ft
11:44.0,Defensive rebound by I. Smith,,46-56,,
11:38.0,I. Smith misses 2-pt shot from 4 ft,,46-56,,
11:36.0,Offensive rebound by A. Drummond,,46-56,,
11:36.0,A. Drummond makes 2-pt shot from 2 ft,2,48-56,,
11:20.0,,,48-56,,R. Westbrook misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by A. Drummond,,48-56,,
11:05.0,,,48-56,,Personal foul by R. Westbrook (drawn by A. Drummond)
10:55.0,M. Morris misses 3-pt shot from 25 ft,,48-56,,
10:55.0,,,48-56,,Defensive rebound by S. Adams
10:31.0,,,48-56,,A. Roberson misses 2-pt shot from 17 ft
10:31.0,,,48-56,,Offensive rebound by Team
10:31.0,,,48-56,,Turnover by Team (shot clock)
10:08.0,T. Harris misses 2-pt shot from 14 ft,,48-56,,
10:08.0,,,48-56,,Defensive rebound by S. Adams
10:00.0,,,48-59,3,D. Sabonis makes 3-pt shot from 25 ft (assist by A. Roberson)
9:33.0,Turnover by Team (shot clock),,48-59,,
9:33.0,K. Caldwell-Pope enters the game for D. Hilliard,,48-59,,
9:10.0,,,48-59,,Turnover by R. Westbrook (bad pass; steal by T. Harris)
9:06.0,,,48-59,,Personal foul by D. Sabonis (drawn by A. Drummond)
9:06.0,,,48-59,,J. Lauvergne enters the game for D. Sabonis
8:49.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,48-59,,
8:49.0,,,48-59,,Defensive rebound by R. Westbrook
8:46.0,,,48-59,,Shooting foul by K. Caldwell-Pope (drawn by J. Lauvergne)
8:46.0,,,48-59,,J. Lauvergne misses free throw 1 of 2
8:46.0,,,48-59,,Offensive rebound by Team
8:46.0,,,48-60,1,J. Lauvergne makes free throw 2 of 2
8:43.0,Detroit full timeout,,48-60,,
8:25.0,A. Drummond makes 2-pt shot from 4 ft (assist by M. Morris),2,50-60,,
8:09.0,,,50-63,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
7:46.0,T. Harris makes 2-pt shot from 2 ft,2,52-63,,
7:29.0,,,52-63,,V. Oladipo misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by M. Morris,,52-63,,
7:14.0,I. Smith makes 2-pt shot at rim,2,54-63,,
7:14.0,,,54-63,,Oklahoma City full timeout
7:02.0,,,54-63,,R. Westbrook misses 2-pt shot from 18 ft
7:01.0,Defensive rebound by K. Caldwell-Pope,,54-63,,
6:55.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,54-63,,
6:53.0,,,54-63,,Defensive rebound by J. Lauvergne
6:44.0,,,54-63,,J. Lauvergne misses 2-pt shot from 10 ft
6:43.0,Defensive rebound by M. Morris,,54-63,,
6:36.0,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith),3,57-63,,
6:20.0,,,57-63,,J. Lauvergne misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by K. Caldwell-Pope,,57-63,,
6:10.0,I. Smith makes 2-pt shot from 1 ft,2,59-63,,
5:53.0,,,59-65,2,R. Westbrook makes 2-pt shot from 1 ft
5:31.0,,,59-65,,Personal foul by V. Oladipo (drawn by K. Caldwell-Pope)
5:31.0,,,59-65,,A. Morrow enters the game for V. Oladipo
5:31.0,,,59-65,,J. Grant enters the game for J. Lauvergne
5:21.0,I. Smith misses 2-pt shot from 6 ft,,59-65,,
5:20.0,Offensive rebound by A. Drummond,,59-65,,
5:16.0,A. Drummond makes 2-pt shot from 5 ft,2,61-65,,
4:58.0,,,61-65,,Turnover by S. Adams (3 sec)
4:58.0,,,61-65,,E. Kanter enters the game for S. Adams
4:47.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,61-65,,
4:46.0,,,61-65,,Defensive rebound by J. Grant
4:38.0,,,61-65,,R. Westbrook misses 2-pt shot from 2 ft
4:38.0,Defensive rebound by Team,,61-65,,
4:31.0,,,61-65,,Technical foul by R. Westbrook
4:31.0,T. Harris makes technical free throw,1,62-65,,
4:17.0,Offensive foul by T. Harris,,62-65,,
4:17.0,Turnover by T. Harris (offensive foul),,62-65,,
4:07.0,,,62-68,3,J. Grant makes 3-pt shot from 22 ft (assist by R. Westbrook)
3:51.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by M. Morris),2,64-68,,
3:37.0,,,64-70,2,A. Morrow makes 2-pt shot from 11 ft (assist by R. Westbrook)
3:22.0,Shooting foul by A. Morrow (drawn by K. Caldwell-Pope),,64-70,,
3:22.0,K. Caldwell-Pope makes free throw 1 of 2,1,65-70,,
3:22.0,K. Caldwell-Pope makes free throw 2 of 2,1,66-70,,
3:22.0,J. Leuer enters the game for T. Harris,,65-70,,
3:04.0,,,66-72,2,A. Morrow makes 2-pt shot from 7 ft
2:34.0,I. Smith misses 2-pt shot from 6 ft (block by J. Grant),,66-72,,
2:33.0,,,66-72,,Defensive rebound by J. Grant
2:29.0,,,66-74,2,R. Westbrook makes 2-pt shot from 1 ft
2:05.0,J. Leuer makes 2-pt shot from 11 ft (assist by I. Smith),2,68-74,,
1:50.0,Personal foul by J. Leuer (drawn by A. Roberson),,68-74,,
1:50.0,,,68-74,,V. Oladipo enters the game for R. Westbrook
1:44.0,,,68-74,,Turnover by E. Kanter (traveling)
1:44.0,D. Hilliard enters the game for K. Caldwell-Pope,,68-74,,
1:44.0,A. Baynes enters the game for A. Drummond,,68-74,,
1:24.0,M. Morris misses 2-pt shot from 11 ft,,68-74,,
1:24.0,,,68-74,,Defensive rebound by Team
1:06.0,,,68-77,3,A. Morrow makes 3-pt shot from 27 ft (assist by V. Oladipo)
0:48.0,M. Morris misses 2-pt shot from 8 ft,,68-77,,
0:47.0,Offensive rebound by M. Morris,,68-77,,
0:47.0,Shooting foul by E. Kanter (drawn by M. Morris),,68-77,,
0:47.0,M. Morris misses free throw 1 of 2,,68-77,,
0:47.0,Offensive rebound by Team,,68-77,,
0:47.0,,,68-77,,Oklahoma City full timeout
0:47.0,M. Morris misses free throw 2 of 2,,68-77,,
0:46.0,,,68-77,,Defensive rebound by E. Kanter
0:32.0,,,68-77,,E. Kanter misses 2-pt shot from 3 ft (block by A. Baynes)
0:31.0,Defensive rebound by D. Hilliard,,68-77,,
0:23.0,M. Morris misses 2-pt shot from 16 ft,,68-77,,
0:23.0,,,68-77,,Defensive rebound by V. Oladipo
0:00.0,,,68-77,,V. Oladipo misses 2-pt shot from 12 ft
0:00.0,,,68-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,T. Harris makes 2-pt shot from 5 ft,2,70-77,,
11:16.0,,,70-77,,A. Morrow misses 3-pt shot from 23 ft
11:16.0,,,70-77,,Offensive rebound by Team
11:16.0,Jump ball: A. Baynes vs. J. Grant (V. Oladipo gains possession),,,,Jump ball: A. Baynes vs. J. Grant (V. Oladipo gains possession)
10:56.0,Personal foul by T. Harris (drawn by J. Grant),,70-77,,
10:47.0,,,70-80,3,V. Oladipo makes 3-pt shot from 25 ft
10:30.0,Offensive foul by A. Baynes,,70-80,,
10:30.0,Turnover by A. Baynes (offensive foul),,70-80,,
10:19.0,,,70-80,,J. Grant misses 2-pt shot from 19 ft
10:18.0,Defensive rebound by A. Baynes,,70-80,,
10:03.0,J. Leuer makes 2-pt shot from 1 ft (assist by A. Baynes),2,72-80,,
9:40.0,,,72-82,2,E. Kanter makes 2-pt shot from 1 ft
9:11.0,J. Leuer misses 3-pt shot from 25 ft,,72-82,,
9:11.0,,,72-82,,Defensive rebound by E. Kanter
9:00.0,,,72-82,,Turnover by E. Kanter (lost ball)
9:00.0,,,72-82,,R. Westbrook enters the game for A. Morrow
8:44.0,D. Hilliard misses 2-pt shot from 3 ft,,72-82,,
8:44.0,,,72-82,,Defensive rebound by E. Kanter
8:38.0,,,72-82,,R. Westbrook misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by B. Udrih,,72-82,,
8:32.0,D. Hilliard misses 3-pt shot from 25 ft,,72-82,,
8:31.0,,,72-82,,Defensive rebound by V. Oladipo
8:15.0,,,72-82,,R. Westbrook misses 2-pt shot from 17 ft
8:14.0,Defensive rebound by T. Harris,,72-82,,
8:04.0,T. Harris misses 2-pt shot from 4 ft (block by E. Kanter),,72-82,,
8:04.0,Offensive rebound by Team,,72-82,,
8:04.0,Official timeout,,72-82,,
8:04.0,,,72-82,,A. Morrow enters the game for V. Oladipo
8:04.0,K. Caldwell-Pope enters the game for A. Baynes,,72-82,,
8:04.0,A. Drummond enters the game for D. Hilliard,,72-82,,
7:54.0,T. Harris misses 2-pt shot from 14 ft,,72-82,,
7:53.0,,,72-82,,Defensive rebound by R. Westbrook
7:41.0,,,72-84,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:24.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,72-84,,
7:24.0,,,72-84,,Defensive rebound by R. Westbrook
7:09.0,,,72-86,2,A. Morrow makes 2-pt shot from 9 ft
7:08.0,Detroit full timeout,,72-86,,
7:08.0,M. Morris enters the game for J. Leuer,,72-86,,
6:56.0,,,72-86,,Personal foul by J. Grant (drawn by M. Morris)
6:46.0,T. Harris makes 2-pt shot from 5 ft,2,74-86,,
6:33.0,,,74-88,2,J. Grant makes 2-pt shot at rim (assist by R. Westbrook)
6:18.0,T. Harris makes 2-pt shot from 5 ft,2,76-88,,
6:04.0,,,76-90,2,E. Kanter makes 2-pt shot from 12 ft (assist by R. Westbrook)
5:43.0,M. Morris misses 3-pt shot from 25 ft,,76-90,,
5:43.0,,,76-90,,Defensive rebound by D. Sabonis
5:29.0,,,76-92,2,R. Westbrook makes 2-pt shot from 1 ft
5:17.0,B. Udrih makes 2-pt shot from 15 ft,2,78-92,,
5:01.0,,,78-92,,E. Kanter misses 2-pt shot from 5 ft
5:01.0,Defensive rebound by Team,,78-92,,
5:01.0,I. Smith enters the game for B. Udrih,,78-92,,
4:45.0,I. Smith makes 2-pt shot from 18 ft,2,80-92,,
4:30.0,,,80-94,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:14.0,Shooting foul by D. Sabonis (drawn by I. Smith),,80-94,,
4:14.0,I. Smith makes free throw 1 of 2,1,81-94,,
4:14.0,I. Smith makes free throw 2 of 2,1,82-94,,
4:14.0,,,81-94,,S. Adams enters the game for E. Kanter
4:14.0,,,81-94,,V. Oladipo enters the game for D. Sabonis
4:01.0,,,82-96,2,R. Westbrook makes 2-pt shot from 2 ft
3:38.0,I. Smith makes 2-pt shot from 15 ft,2,84-96,,
3:20.0,,,84-98,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
3:02.0,A. Drummond misses 2-pt shot from 5 ft,,84-98,,
3:02.0,,,84-98,,Defensive rebound by A. Morrow
2:45.0,,,84-98,,Turnover by R. Westbrook (lost ball; steal by A. Drummond)
2:42.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by A. Drummond),2,86-98,,
