time,Milwaukee,pts.away,score,pts.home,Orlando
10:06.0,,,60-56,,A. Gordon misses 2-pt shot from 18 ft
10:05.0,Defensive rebound by T. Snell,,60-56,,
9:59.0,Offensive foul by G. Antetokounmpo,,60-56,,
9:59.0,Turnover by G. Antetokounmpo (offensive foul),,60-56,,
9:41.0,,,60-56,,A. Gordon misses 2-pt shot from 7 ft
9:40.0,Defensive rebound by G. Antetokounmpo,,60-56,,
9:33.0,J. Parker misses 2-pt shot from 3 ft,,60-56,,
9:31.0,,,60-56,,Defensive rebound by A. Gordon
9:24.0,,,60-58,2,S. Ibaka makes 2-pt shot from 13 ft (assist by A. Gordon)
9:12.0,Turnover by G. Antetokounmpo (bad pass),,60-58,,
8:53.0,,,60-58,,B. Biyombo misses 2-pt shot from 3 ft
8:52.0,Defensive rebound by G. Antetokounmpo,,60-58,,
8:46.0,M. Dellavedova misses 3-pt shot from 26 ft,,60-58,,
8:45.0,,,60-58,,Defensive rebound by S. Ibaka
8:39.0,,,60-60,2,E. Fournier makes 2-pt shot from 2 ft
8:18.0,J. Parker misses 2-pt shot from 23 ft,,60-60,,
8:17.0,,,60-60,,Defensive rebound by D. Augustin
8:10.0,,,60-60,,A. Gordon misses 3-pt shot from 24 ft
8:10.0,Defensive rebound by G. Antetokounmpo,,60-60,,
8:10.0,Milwaukee full timeout,,60-60,,
7:54.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by S. Ibaka),,60-60,,
7:54.0,Offensive rebound by Team,,60-60,,
7:47.0,M. Dellavedova misses 3-pt shot from 26 ft,,60-60,,
7:46.0,,,60-60,,Defensive rebound by B. Biyombo
7:31.0,,,60-60,,A. Gordon misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
7:29.0,,,60-60,,Offensive rebound by A. Gordon
7:28.0,,,60-60,,A. Gordon misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
7:25.0,Defensive rebound by T. Snell,,60-60,,
7:20.0,J. Parker makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,63-60,,
7:03.0,,,63-62,2,S. Ibaka makes 2-pt shot from 18 ft (assist by D. Augustin)
6:48.0,M. Dellavedova misses 2-pt shot from 7 ft,,63-62,,
6:46.0,Offensive rebound by J. Henson,,63-62,,
6:42.0,J. Henson makes 2-pt shot at rim,2,65-62,,
6:19.0,,,65-62,,D. Augustin misses 3-pt shot from 26 ft
6:17.0,,,65-62,,Offensive rebound by E. Fournier
6:01.0,,,65-62,,S. Ibaka misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by T. Snell,,65-62,,
5:48.0,Shooting foul by S. Ibaka (drawn by J. Parker),,65-62,,
5:48.0,J. Parker makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,67-62,,
5:48.0,J. Parker misses free throw 1 of 1,,67-62,,
5:48.0,G. Monroe enters the game for J. Henson,,67-62,,
5:48.0,M. Brogdon enters the game for M. Dellavedova,,67-62,,
5:48.0,,,67-62,,N. Vucevic enters the game for B. Biyombo
5:47.0,,,67-62,,Defensive rebound by S. Ibaka
5:24.0,,,67-62,,Turnover by Team (shot clock)
5:09.0,G. Monroe makes 2-pt shot from 19 ft (assist by J. Parker),2,69-62,,
5:09.0,,,69-62,,Orlando full timeout
5:09.0,,,69-62,,E. Payton enters the game for A. Gordon
5:09.0,,,69-62,,C. Watson enters the game for D. Augustin
4:57.0,,,69-65,3,E. Fournier makes 3-pt shot from 23 ft (assist by N. Vucevic)
