time,Indiana,pts.away,score,pts.home,New Orleans
9:24.0,Defensive rebound by L. Allen,,26-26,,
9:11.0,C. Miles misses 2-pt shot from 21 ft,,26-26,,
9:11.0,,,26-26,,Defensive rebound by O. Asik
9:04.0,,,26-26,,Turnover by E. Moore (lost ball)
8:47.0,Shooting foul by O. Asik (drawn by A. Jefferson),,26-26,,
8:47.0,Official timeout,,26-26,,
8:47.0,A. Jefferson makes free throw 1 of 2,1,27-26,,
8:47.0,A. Jefferson makes free throw 2 of 2,1,28-26,,
8:47.0,,,26-26,,A. Davis enters the game for O. Asik
8:47.0,,,26-26,,J. Holiday enters the game for T. Evans
8:35.0,,,28-28,2,J. Holiday makes 2-pt shot from 13 ft
8:15.0,A. Jefferson misses 2-pt shot from 6 ft (block by A. Davis),,28-28,,
8:14.0,Offensive rebound by A. Jefferson,,28-28,,
8:10.0,A. Jefferson misses 2-pt shot from 6 ft,,28-28,,
8:10.0,,,28-28,,Defensive rebound by A. Davis
7:58.0,,,28-28,,A. Davis misses 2-pt shot from 15 ft
7:57.0,Defensive rebound by A. Brooks,,28-28,,
7:49.0,L. Allen misses 2-pt shot from 22 ft,,28-28,,
7:48.0,,,28-28,,Defensive rebound by Team
7:32.0,,,28-31,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Holiday)
7:20.0,Turnover by A. Brooks (lost ball; steal by L. Galloway),,28-31,,
7:15.0,,,28-33,2,A. Davis makes 2-pt shot at rim (assist by E. Moore)
7:10.0,Indiana full timeout,,28-33,,
7:10.0,M. Turner enters the game for A. Jefferson,,28-33,,
7:10.0,J. Teague enters the game for L. Allen,,28-33,,
7:10.0,P. George enters the game for A. Brooks,,28-33,,
6:56.0,P. George makes 2-pt shot from 3 ft (assist by J. Teague),2,30-33,,
6:37.0,,,30-33,,T. Jones misses 2-pt shot from 6 ft
6:35.0,Defensive rebound by M. Turner,,30-33,,
6:25.0,C. Miles makes 3-pt shot from 26 ft (assist by J. Teague),3,33-33,,
6:10.0,,,33-33,,L. Galloway misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by M. Turner,,33-33,,
5:53.0,M. Turner makes 2-pt shot at rim,2,35-33,,
5:45.0,,,35-35,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
5:45.0,,,35-35,,Shooting foul by M. Turner (drawn by A. Davis)
5:45.0,,,35-35,,A. Davis misses free throw 1 of 1
5:45.0,T. Young enters the game for C. Miles,,35-35,,
5:45.0,,,35-35,,B. Hield enters the game for E. Moore
5:45.0,,,35-35,,S. Hill enters the game for T. Jones
5:43.0,Defensive rebound by T. Young,,35-35,,
5:24.0,Shooting foul by A. Davis (drawn by M. Turner),,35-35,,
5:24.0,M. Turner misses free throw 1 of 2,,35-35,,
5:24.0,Offensive rebound by Team,,35-35,,
5:24.0,M. Turner makes free throw 2 of 2,1,36-35,,
5:10.0,,,36-35,,J. Holiday misses 2-pt shot from 17 ft
5:09.0,Defensive rebound by G. Robinson,,36-35,,
