time,Detroit,pts.away,score,pts.home,Dallas
6:45.0,,,4-7,3,H. Barnes makes 3-pt shot from 25 ft (assist by W. Matthews)
6:36.0,Detroit full timeout,,4-7,,
6:30.0,Turnover by K. Caldwell-Pope (bad pass),,4-7,,
6:15.0,,,4-7,,D. Williams misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by A. Drummond,,4-7,,
6:07.0,R. Jackson misses 3-pt shot from 24 ft,,4-7,,
6:05.0,,,4-7,,Defensive rebound by S. Mejri
6:00.0,Personal block foul by R. Jackson (drawn by D. Williams),,4-7,,
6:00.0,I. Smith enters the game for R. Jackson,,4-7,,
6:00.0,J. Leuer enters the game for T. Harris,,4-7,,
5:51.0,Def 3 sec tech foul by A. Drummond,,4-7,,
5:51.0,,,4-8,1,D. Williams makes technical free throw
5:41.0,,,4-8,,H. Barnes misses 2-pt shot from 8 ft
5:40.0,Defensive rebound by A. Drummond,,4-8,,
5:16.0,I. Smith misses 2-pt shot from 16 ft,,4-8,,
5:14.0,Offensive rebound by A. Drummond,,4-8,,
5:12.0,Turnover by A. Drummond (lost ball; steal by W. Matthews),,4-8,,
4:59.0,,,4-8,,D. Finney-Smith misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by I. Smith,,4-8,,
4:47.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,4-8,,
4:45.0,Offensive rebound by A. Drummond,,4-8,,
4:41.0,I. Smith misses 3-pt shot from 25 ft,,4-8,,
4:40.0,Offensive rebound by A. Drummond,,4-8,,
4:30.0,M. Morris misses 3-pt shot from 24 ft,,4-8,,
4:29.0,,,4-8,,Defensive rebound by H. Barnes
4:14.0,,,4-8,,Shooting foul by I. Smith (drawn by D. Williams)
4:14.0,,,4-9,1,D. Williams makes free throw 1 of 2
4:14.0,,,4-10,1,D. Williams makes free throw 2 of 2
4:14.0,,,4-9,,D. Powell enters the game for S. Mejri
4:14.0,,,4-9,,D. Harris enters the game for H. Barnes
3:55.0,J. Leuer makes 2-pt shot from 13 ft (assist by I. Smith),2,6-10,,
3:45.0,,,6-10,,W. Matthews misses 2-pt shot from 4 ft
3:44.0,Defensive rebound by J. Leuer,,6-10,,
3:38.0,M. Morris makes 3-pt shot from 25 ft (assist by I. Smith),3,9-10,,
3:38.0,,,9-10,,Dallas full timeout
3:38.0,,,9-10,,S. Curry enters the game for D. Williams
3:22.0,,,9-10,,Turnover by D. Finney-Smith (lost ball)
3:08.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,9-10,,
3:07.0,Offensive rebound by I. Smith,,9-10,,
3:00.0,S. Johnson enters the game for K. Caldwell-Pope,,9-10,,
2:50.0,M. Morris misses 2-pt shot from 16 ft,,9-10,,
2:49.0,Offensive rebound by A. Drummond,,9-10,,
2:47.0,A. Drummond makes 2-pt shot from 1 ft,2,11-10,,
2:33.0,,,11-10,,D. Powell misses 2-pt shot from 20 ft
2:32.0,Defensive rebound by S. Johnson,,11-10,,
2:23.0,A. Drummond misses 2-pt shot from 13 ft,,11-10,,
2:21.0,,,11-10,,Defensive rebound by D. Finney-Smith
2:12.0,Personal foul by S. Johnson (drawn by D. Harris),,11-10,,
2:01.0,,,11-13,3,D. Harris makes 3-pt shot from 25 ft (assist by W. Matthews)
1:45.0,J. Leuer makes 2-pt shot from 11 ft (assist by M. Morris),2,13-13,,
1:32.0,Personal foul by S. Johnson (drawn by D. Harris),,13-13,,
1:25.0,,,13-13,,S. Curry misses 2-pt shot from 15 ft
1:24.0,Defensive rebound by A. Drummond,,13-13,,
1:23.0,,,13-13,,Loose ball foul by D. Powell (drawn by A. Drummond)
1:23.0,,,13-13,,H. Barnes enters the game for D. Finney-Smith
1:04.0,Turnover by M. Morris (bad pass; steal by D. Powell),,13-13,,
0:56.0,,,13-16,3,S. Curry makes 3-pt shot from 25 ft (assist by W. Matthews)
0:44.0,,,13-16,,Personal foul by D. Harris (drawn by S. Johnson)
0:44.0,S. Johnson makes free throw 1 of 2,1,14-16,,
0:44.0,S. Johnson makes free throw 2 of 2,1,15-16,,
0:33.0,,,15-18,2,D. Harris makes 2-pt shot from 21 ft
0:20.0,Shooting foul by S. Curry (drawn by M. Morris),,15-18,,
0:20.0,M. Morris makes free throw 1 of 2,1,16-18,,
0:20.0,M. Morris makes free throw 2 of 2,1,17-18,,
0:04.0,,,17-20,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Harris)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,R. Jackson misses 2-pt shot from 19 ft,,17-20,,
11:36.0,,,17-20,,Defensive rebound by J. Anderson
11:15.0,,,17-23,3,J. Anderson makes 3-pt shot from 24 ft (assist by D. Powell)
11:04.0,Turnover by S. Johnson (step out of bounds),,17-23,,
10:40.0,,,17-23,,J. Anderson misses 2-pt shot from 6 ft
10:37.0,Defensive rebound by J. Leuer,,17-23,,
10:22.0,T. Harris misses 2-pt shot from 4 ft,,17-23,,
10:20.0,Offensive rebound by J. Leuer,,17-23,,
10:16.0,Turnover by J. Leuer (lost ball; steal by S. Curry),,17-23,,
10:04.0,,,17-23,,J. Anderson misses 3-pt shot from 23 ft
10:02.0,Defensive rebound by J. Leuer,,17-23,,
9:48.0,R. Jackson makes 3-pt shot from 25 ft (assist by J. Leuer),3,20-23,,
9:34.0,,,20-26,3,J. Anderson makes 3-pt shot from 23 ft (assist by D. Williams)
9:19.0,R. Jackson makes 2-pt shot from 2 ft,2,22-26,,
9:02.0,,,22-26,,Turnover by H. Barnes (lost ball; steal by J. Leuer)
9:00.0,,,22-26,,Personal foul by D. Williams (drawn by R. Jackson)
8:49.0,T. Harris makes 2-pt shot from 13 ft (assist by S. Johnson),2,24-26,,
8:27.0,,,24-26,,H. Barnes misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by A. Baynes,,24-26,,
8:16.0,S. Johnson misses 3-pt shot from 23 ft,,24-26,,
8:14.0,Offensive rebound by S. Johnson,,24-26,,
8:10.0,J. Leuer makes 2-pt shot from 1 ft (assist by R. Jackson),2,26-26,,
8:09.0,,,26-26,,Dallas full timeout
8:09.0,,,26-26,,D. Harris enters the game for H. Barnes
8:09.0,,,26-26,,S. Mejri enters the game for D. Powell
8:09.0,,,26-26,,W. Matthews enters the game for S. Curry
8:08.0,K. Caldwell-Pope enters the game for S. Johnson,,26-26,,
7:59.0,Personal foul by T. Harris (drawn by W. Matthews),,26-26,,
7:49.0,,,26-28,2,J. Anderson makes 2-pt shot from 6 ft
7:36.0,T. Harris makes 2-pt shot from 9 ft (assist by R. Jackson),2,28-28,,
7:18.0,,,28-28,,J. Anderson misses 2-pt shot from 7 ft
7:17.0,Defensive rebound by J. Leuer,,28-28,,
7:08.0,J. Leuer makes 2-pt shot from 9 ft,2,30-28,,
6:49.0,,,30-28,,Shooting foul by R. Jackson (drawn by D. Williams)
6:49.0,,,30-29,1,D. Williams makes free throw 1 of 2
6:49.0,,,30-30,1,D. Williams makes free throw 2 of 2
6:31.0,A. Baynes misses 2-pt shot from 18 ft,,30-30,,
6:31.0,Offensive rebound by Team,,30-30,,
6:31.0,,,30-30,,Loose ball foul by J. Anderson (drawn by K. Caldwell-Pope)
6:20.0,R. Jackson makes 2-pt shot from 18 ft,2,32-30,,
6:04.0,,,32-33,3,D. Williams makes 3-pt shot from 24 ft (assist by D. Harris)
5:41.0,J. Leuer makes 2-pt shot from 9 ft (assist by R. Jackson),2,34-33,,
5:28.0,Personal foul by R. Jackson (drawn by D. Williams),,34-33,,
5:28.0,Official timeout,,34-33,,
5:28.0,,,34-33,,S. Curry enters the game for D. Williams
5:28.0,,,34-33,,H. Barnes enters the game for J. Anderson
5:18.0,I. Smith enters the game for R. Jackson,,34-33,,
5:18.0,,,34-35,2,W. Matthews makes 2-pt shot from 19 ft
4:55.0,A. Baynes makes 2-pt shot from 4 ft (assist by J. Leuer),2,36-35,,
4:39.0,,,36-35,,W. Matthews misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by A. Baynes,,36-35,,
4:30.0,I. Smith makes 2-pt shot from 1 ft,2,38-35,,
4:11.0,,,38-35,,H. Barnes misses 2-pt shot from 9 ft
4:10.0,Defensive rebound by A. Baynes,,38-35,,
4:03.0,J. Leuer makes 2-pt shot from 1 ft (assist by I. Smith),2,40-35,,
4:01.0,,,40-35,,Dallas full timeout
4:01.0,,,40-35,,D. Williams enters the game for D. Harris
4:01.0,A. Drummond enters the game for J. Leuer,,40-35,,
4:01.0,M. Morris enters the game for A. Baynes,,40-35,,
3:44.0,Violation by A. Drummond (def goaltending),,40-35,,
3:44.0,,,40-37,2,H. Barnes makes 2-pt shot from 7 ft (assist by D. Williams)
3:29.0,A. Drummond misses 2-pt shot from 2 ft (block by S. Mejri),,40-37,,
3:26.0,Offensive rebound by T. Harris,,40-37,,
3:22.0,T. Harris misses 2-pt shot from 12 ft,,40-37,,
3:21.0,,,40-37,,Defensive rebound by S. Mejri
3:05.0,,,40-39,2,S. Curry makes 2-pt shot from 17 ft (assist by W. Matthews)
2:48.0,M. Morris makes 2-pt shot from 17 ft (assist by I. Smith),2,42-39,,
2:38.0,,,42-39,,S. Curry misses 2-pt shot from 17 ft
2:34.0,Defensive rebound by A. Drummond,,42-39,,
2:32.0,Shooting foul by S. Curry (drawn by M. Morris),,42-39,,
2:32.0,Detroit full timeout,,42-39,,
2:32.0,I. Smith misses free throw 1 of 2,,42-39,,
2:32.0,Offensive rebound by Team,,42-39,,
2:32.0,I. Smith makes free throw 2 of 2,1,43-39,,
2:32.0,,,42-39,,D. Finney-Smith enters the game for S. Curry
2:20.0,,,43-39,,Turnover by D. Finney-Smith (bad pass; steal by T. Harris)
2:16.0,T. Harris misses 2-pt shot at rim (block by S. Mejri),,43-39,,
2:16.0,Offensive rebound by Team,,43-39,,
2:10.0,T. Harris misses 3-pt shot from 24 ft,,43-39,,
2:08.0,,,43-39,,Defensive rebound by Team
1:52.0,,,43-41,2,W. Matthews makes 2-pt shot from 1 ft (assist by D. Williams)
1:28.0,Turnover by A. Drummond (lost ball; steal by S. Mejri),,43-41,,
1:19.0,,,43-41,,H. Barnes misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by A. Drummond,,43-41,,
1:14.0,Turnover by I. Smith (bad pass),,43-41,,
1:03.0,,,43-41,,D. Williams misses 2-pt shot from 6 ft
1:01.0,Defensive rebound by M. Morris,,43-41,,
0:59.0,I. Smith misses 2-pt shot from 5 ft,,43-41,,
0:59.0,,,43-41,,Defensive rebound by Team
0:58.0,Loose ball foul by A. Drummond (drawn by D. Finney-Smith),,43-41,,
0:58.0,A. Baynes enters the game for A. Drummond,,43-41,,
0:36.0,,,43-43,2,D. Williams makes 2-pt shot from 20 ft
0:15.0,Turnover by M. Morris (lost ball; steal by H. Barnes),,43-43,,
0:00.0,,,43-43,,D. Williams misses 2-pt shot from 11 ft
0:00.0,,,43-43,,Offensive rebound by H. Barnes
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,R. Jackson makes 2-pt shot from 6 ft,2,45-43,,
11:24.0,,,45-43,,D. Williams misses 2-pt shot from 22 ft
11:22.0,Defensive rebound by M. Morris,,45-43,,
11:16.0,,,45-43,,Personal foul by W. Matthews (drawn by A. Drummond)
10:59.0,M. Morris misses 2-pt shot from 22 ft,,45-43,,
10:58.0,,,45-43,,Defensive rebound by D. Finney-Smith
10:47.0,,,45-45,2,D. Williams makes 2-pt shot from 18 ft
10:32.0,K. Caldwell-Pope makes 2-pt shot from 10 ft (assist by T. Harris),2,47-45,,
10:14.0,,,47-45,,Offensive foul by S. Mejri
10:14.0,,,47-45,,Turnover by S. Mejri (offensive foul)
9:56.0,R. Jackson misses 3-pt shot from 23 ft,,47-45,,
9:55.0,,,47-45,,Defensive rebound by W. Matthews
9:51.0,Personal foul by K. Caldwell-Pope (drawn by S. Mejri),,47-45,,
9:40.0,,,47-47,2,D. Finney-Smith makes 2-pt shot at rim (assist by D. Williams)
9:25.0,R. Jackson misses 2-pt shot from 5 ft,,47-47,,
9:24.0,,,47-47,,Defensive rebound by S. Mejri
9:05.0,,,47-47,,D. Williams misses 3-pt shot from 23 ft
9:04.0,Defensive rebound by R. Jackson,,47-47,,
8:46.0,T. Harris misses 2-pt shot from 11 ft,,47-47,,
8:43.0,,,47-47,,Defensive rebound by D. Williams
8:36.0,Def 3 sec tech foul by A. Drummond,,47-47,,
8:36.0,,,47-48,1,D. Williams makes technical free throw
8:23.0,,,47-50,2,H. Barnes makes 2-pt shot from 8 ft
7:59.0,Turnover by T. Harris (lost ball; steal by W. Matthews),,47-50,,
7:39.0,,,47-52,2,H. Barnes makes 2-pt shot from 9 ft
7:39.0,Detroit full timeout,,47-52,,
7:29.0,R. Jackson misses 2-pt shot from 6 ft (block by S. Mejri),,47-52,,
7:27.0,,,47-52,,Defensive rebound by D. Finney-Smith
7:18.0,,,47-55,3,D. Finney-Smith makes 3-pt shot from 23 ft (assist by H. Barnes)
7:03.0,Turnover by M. Morris (bad pass; steal by D. Finney-Smith),,47-55,,
6:51.0,,,47-55,,Turnover by D. Williams (traveling)
6:37.0,Shooting foul by D. Finney-Smith (drawn by T. Harris),,47-55,,
6:37.0,T. Harris makes 2-pt shot from 11 ft,2,49-55,,
6:37.0,T. Harris misses free throw 1 of 1,,49-55,,
6:37.0,,,49-55,,S. Curry enters the game for D. Williams
6:35.0,,,49-55,,Defensive rebound by S. Mejri
6:21.0,,,49-57,2,S. Mejri makes 2-pt shot from 1 ft (assist by S. Curry)
5:56.0,M. Morris misses 3-pt shot from 24 ft,,49-57,,
5:56.0,,,49-57,,Defensive rebound by S. Mejri
5:56.0,Loose ball foul by A. Drummond (drawn by S. Mejri),,49-57,,
5:56.0,J. Leuer enters the game for M. Morris,,49-57,,
5:56.0,,,49-57,,D. Harris enters the game for H. Barnes
5:46.0,,,49-57,,W. Matthews misses 3-pt shot from 24 ft
5:44.0,,,49-57,,Offensive rebound by S. Mejri
5:44.0,,,49-59,2,S. Mejri makes 2-pt shot at rim
5:33.0,Shooting foul by D. Finney-Smith (drawn by A. Drummond),,49-59,,
5:33.0,A. Drummond makes free throw 1 of 2,1,50-59,,
5:33.0,A. Drummond misses free throw 2 of 2,,50-59,,
5:32.0,,,50-59,,Defensive rebound by S. Mejri
5:13.0,,,50-59,,Turnover by W. Matthews (lost ball)
5:13.0,A. Baynes enters the game for A. Drummond,,50-59,,
5:13.0,I. Smith enters the game for R. Jackson,,50-59,,
4:52.0,T. Harris makes 2-pt shot from 16 ft,2,52-59,,
4:25.0,,,52-59,,D. Harris misses 3-pt shot from 26 ft
4:24.0,Defensive rebound by T. Harris,,52-59,,
4:20.0,Turnover by I. Smith (lost ball; steal by S. Curry),,52-59,,
4:10.0,,,52-59,,Dallas full timeout
4:10.0,,,52-59,,D. Powell enters the game for S. Mejri
4:01.0,,,52-61,2,S. Curry makes 2-pt shot from 16 ft
3:45.0,,,52-61,,Personal block foul by D. Harris (drawn by K. Caldwell-Pope)
3:36.0,J. Leuer misses 2-pt shot from 12 ft,,52-61,,
3:34.0,,,52-61,,Defensive rebound by D. Harris
3:20.0,,,52-63,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Harris)
3:20.0,,,52-63,,Shooting foul by I. Smith (drawn by D. Powell)
3:20.0,,,52-64,1,D. Powell makes free throw 1 of 1
3:20.0,M. Morris enters the game for T. Harris,,52-63,,
3:09.0,K. Caldwell-Pope makes 2-pt shot from 21 ft,2,54-64,,
2:52.0,,,54-64,,S. Curry misses 2-pt shot from 13 ft
2:48.0,Defensive rebound by I. Smith,,54-64,,
2:42.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,54-64,,
2:40.0,,,54-64,,Defensive rebound by D. Powell
2:15.0,,,54-64,,D. Harris misses 2-pt shot from 21 ft
2:14.0,Defensive rebound by A. Baynes,,54-64,,
2:05.0,J. Leuer makes 2-pt shot from 4 ft (assist by M. Morris),2,56-64,,
1:58.0,,,56-64,,Dallas full timeout
1:58.0,,,56-64,,J. Anderson enters the game for D. Finney-Smith
1:58.0,,,56-64,,D. Williams enters the game for W. Matthews
1:58.0,,,56-64,,H. Barnes enters the game for D. Harris
1:58.0,S. Johnson enters the game for K. Caldwell-Pope,,56-64,,
1:45.0,,,56-64,,S. Curry misses 2-pt shot from 19 ft
1:44.0,Defensive rebound by A. Baynes,,56-64,,
1:34.0,S. Johnson misses 2-pt shot from 19 ft,,56-64,,
1:33.0,,,56-64,,Defensive rebound by J. Anderson
1:11.0,,,56-64,,D. Williams misses 2-pt shot from 15 ft
1:09.0,Defensive rebound by M. Morris,,56-64,,
1:00.0,A. Baynes misses 2-pt shot from 1 ft,,56-64,,
0:58.0,Offensive rebound by A. Baynes,,56-64,,
0:58.0,Shooting foul by J. Anderson (drawn by A. Baynes),,56-64,,
0:58.0,A. Baynes makes free throw 1 of 2,1,57-64,,
0:58.0,A. Baynes makes free throw 2 of 2,1,58-64,,
0:43.0,,,58-64,,J. Anderson misses 2-pt shot from 11 ft
0:42.0,Defensive rebound by Team,,58-64,,
0:23.0,Shooting foul by D. Williams (drawn by S. Johnson),,58-64,,
0:23.0,S. Johnson makes free throw 1 of 2,1,59-64,,
0:23.0,S. Johnson makes free throw 2 of 2,1,60-64,,
0:02.0,,,60-64,,H. Barnes misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by M. Morris,,60-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,60-64,,Shooting foul by A. Baynes (drawn by J. Anderson)
11:45.0,,,60-65,1,J. Anderson makes free throw 1 of 2
11:45.0,,,60-65,,J. Anderson misses free throw 2 of 2
11:44.0,Defensive rebound by A. Baynes,,60-65,,
11:33.0,,,60-65,,Violation by J. Anderson (def goaltending)
11:33.0,I. Smith makes 2-pt shot from 2 ft,2,62-65,,
11:15.0,,,62-67,2,H. Barnes makes 2-pt shot from 20 ft
10:58.0,S. Johnson makes 3-pt shot from 27 ft (assist by I. Smith),3,65-67,,
10:33.0,,,65-67,,D. Williams misses 2-pt shot from 18 ft
10:32.0,Defensive rebound by I. Smith,,65-67,,
10:28.0,Shooting foul by S. Curry (drawn by J. Leuer),,65-67,,
10:28.0,,,65-67,,Violation by J. Anderson (def goaltending)
10:28.0,J. Leuer makes 2-pt shot from 2 ft (assist by I. Smith),2,67-67,,
10:28.0,J. Leuer makes free throw 1 of 1,1,68-67,,
10:28.0,A. Drummond enters the game for A. Baynes,,67-67,,
10:28.0,R. Jackson enters the game for I. Smith,,67-67,,
10:15.0,,,68-67,,Offensive foul by D. Powell
10:15.0,,,68-67,,Turnover by D. Powell (offensive foul)
9:54.0,M. Morris misses 2-pt shot from 6 ft,,68-67,,
9:51.0,,,68-67,,Defensive rebound by J. Anderson
9:46.0,,,68-67,,Turnover by H. Barnes (lost ball; steal by M. Morris)
9:29.0,Turnover by R. Jackson (bad pass; steal by H. Barnes),,68-67,,
9:19.0,,,68-69,2,D. Powell makes 2-pt shot from 18 ft (assist by S. Curry)
8:58.0,M. Morris makes 2-pt shot from 21 ft,2,70-69,,
8:43.0,,,70-69,,D. Williams misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by M. Morris,,70-69,,
8:42.0,,,70-69,,Loose ball foul by D. Powell (drawn by M. Morris)
8:42.0,Official timeout,,70-69,,
8:40.0,,,70-69,,D. Harris enters the game for D. Williams
8:40.0,,,70-69,,S. Mejri enters the game for D. Powell
8:40.0,,,70-69,,W. Matthews enters the game for J. Anderson
8:40.0,K. Caldwell-Pope enters the game for S. Johnson,,70-69,,
8:27.0,R. Jackson misses 2-pt shot from 6 ft,,70-69,,
8:25.0,,,70-69,,Defensive rebound by S. Mejri
8:04.0,,,70-69,,D. Harris misses 3-pt shot from 24 ft
8:04.0,Defensive rebound by A. Drummond,,70-69,,
7:54.0,M. Morris makes 3-pt shot from 23 ft (assist by R. Jackson),3,73-69,,
7:34.0,,,73-69,,S. Curry misses 2-pt shot from 20 ft
7:32.0,Defensive rebound by A. Drummond,,73-69,,
7:14.0,Shooting foul by S. Mejri (drawn by J. Leuer),,73-69,,
7:14.0,J. Leuer makes free throw 1 of 2,1,74-69,,
7:14.0,J. Leuer makes free throw 2 of 2,1,75-69,,
7:14.0,,,74-69,,D. Williams enters the game for S. Curry
7:14.0,,,74-69,,D. Finney-Smith enters the game for D. Harris
7:01.0,,,75-69,,H. Barnes misses 3-pt shot from 25 ft
7:01.0,,,75-69,,Offensive rebound by D. Finney-Smith
6:48.0,,,75-69,,D. Finney-Smith misses 2-pt shot from 19 ft (block by J. Leuer)
6:47.0,Defensive rebound by M. Morris,,75-69,,
6:38.0,Offensive charge foul by A. Drummond,,75-69,,
6:38.0,Turnover by A. Drummond (offensive foul),,75-69,,
6:22.0,,,75-69,,Offensive foul by S. Mejri
6:22.0,,,75-69,,Turnover by S. Mejri (offensive foul)
6:10.0,R. Jackson makes 2-pt shot from 10 ft,2,77-69,,
5:59.0,Personal foul by M. Morris (drawn by H. Barnes),,77-69,,
5:59.0,,,77-69,,Dallas full timeout
5:43.0,,,77-69,,W. Matthews misses 3-pt shot from 25 ft
5:43.0,,,77-69,,Offensive rebound by D. Finney-Smith
5:33.0,,,77-69,,Dallas full timeout
5:33.0,,,77-69,,D. Powell enters the game for S. Mejri
5:27.0,,,77-69,,H. Barnes misses 2-pt shot from 19 ft
5:26.0,Defensive rebound by A. Drummond,,77-69,,
5:25.0,,,77-69,,Personal take foul by W. Matthews (drawn by A. Drummond)
5:25.0,A. Baynes enters the game for A. Drummond,,77-69,,
5:09.0,A. Baynes makes 2-pt shot from 1 ft (assist by R. Jackson),2,79-69,,
4:53.0,,,79-69,,D. Powell misses 2-pt shot from 18 ft
4:52.0,,,79-69,,Offensive rebound by H. Barnes
4:48.0,,,79-72,3,D. Finney-Smith makes 3-pt shot from 25 ft (assist by H. Barnes)
4:34.0,Offensive foul by A. Baynes,,79-72,,
4:34.0,Turnover by A. Baynes (offensive foul),,79-72,,
4:26.0,,,79-74,2,D. Powell makes 2-pt shot at rim (assist by D. Williams)
4:25.0,Detroit full timeout,,79-74,,
4:02.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,81-74,,
3:54.0,,,81-74,,Shooting foul by R. Jackson (drawn by D. Williams)
3:54.0,,,81-75,1,D. Williams makes free throw 1 of 3
3:54.0,,,81-76,1,D. Williams makes free throw 2 of 3
3:54.0,,,81-77,1,D. Williams makes free throw 3 of 3
3:40.0,R. Jackson misses 2-pt shot from 2 ft,,81-77,,
3:39.0,Offensive rebound by A. Baynes,,81-77,,
3:39.0,A. Baynes makes 2-pt shot from 3 ft,2,83-77,,
3:25.0,,,83-79,2,H. Barnes makes 2-pt shot at rim (assist by D. Powell)
3:07.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson),3,86-79,,
2:56.0,,,86-79,,Turnover by D. Williams (bad pass; steal by M. Morris)
2:48.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,86-79,,
2:47.0,,,86-79,,Defensive rebound by W. Matthews
2:42.0,,,86-79,,W. Matthews misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by A. Baynes,,86-79,,
2:31.0,,,86-79,,Personal foul by D. Williams (drawn by R. Jackson)
2:31.0,R. Jackson makes free throw 1 of 2,1,87-79,,
2:31.0,R. Jackson makes free throw 2 of 2,1,88-79,,
2:31.0,Violation by Team (jump ball),,88-79,,
2:31.0,,,87-79,,S. Curry enters the game for D. Finney-Smith
2:31.0,S. Johnson enters the game for J. Leuer,,87-79,,
2:21.0,,,88-81,2,H. Barnes makes 2-pt shot from 11 ft
2:00.0,M. Morris misses 3-pt shot from 25 ft,,88-81,,
1:59.0,,,88-81,,Defensive rebound by D. Williams
1:46.0,,,88-81,,H. Barnes misses 2-pt shot from 12 ft
1:44.0,Defensive rebound by A. Baynes,,88-81,,
1:28.0,R. Jackson makes 2-pt shot from 1 ft,2,90-81,,
1:28.0,,,90-81,,Dallas full timeout
1:22.0,,,90-81,,W. Matthews misses 2-pt shot from 2 ft (block by A. Baynes)
1:20.0,Defensive rebound by K. Caldwell-Pope,,90-81,,
1:17.0,,,90-81,,Personal block foul by W. Matthews (drawn by R. Jackson)
1:17.0,R. Jackson makes free throw 1 of 2,1,91-81,,
1:17.0,R. Jackson misses free throw 2 of 2,,91-81,,
1:17.0,,,91-81,,D. Finney-Smith enters the game for H. Barnes
1:17.0,,,91-81,,J. Anderson enters the game for W. Matthews
1:17.0,,,91-81,,N. Brussino enters the game for D. Williams
1:17.0,J. Leuer enters the game for A. Baynes,,91-81,,
1:17.0,,,91-81,,A. Hammons enters the game for D. Powell
1:17.0,,,91-81,,J. Gibson enters the game for S. Curry
1:16.0,,,91-81,,Defensive rebound by J. Anderson
1:04.0,,,91-83,2,N. Brussino makes 2-pt shot from 19 ft (assist by D. Finney-Smith)
0:43.0,R. Jackson makes 2-pt shot from 6 ft,2,93-83,,
0:35.0,,,93-83,,Shooting foul by S. Johnson (drawn by A. Hammons)
0:35.0,,,93-83,,A. Hammons misses free throw 1 of 2
0:35.0,,,93-83,,Offensive rebound by Team
0:35.0,,,93-83,,A. Hammons misses free throw 2 of 2
0:34.0,Defensive rebound by K. Caldwell-Pope,,93-83,,
0:32.0,,,93-83,,Loose ball foul by N. Brussino (drawn by K. Caldwell-Pope)
