time,New York,pts.away,score,pts.home,Detroit
4:47.0,,,14-22,1,T. Harris makes free throw 1 of 2
4:47.0,,,14-23,1,T. Harris makes free throw 2 of 2
4:35.0,K. Porzingis makes 2-pt shot at rim (assist by D. Rose),2,16-23,,
4:17.0,,,16-23,,Turnover by I. Smith (bad pass; steal by K. O'Quinn)
4:04.0,K. Porzingis misses 3-pt shot from 27 ft,,16-23,,
4:04.0,,,16-23,,Defensive rebound by Team
4:03.0,L. Thomas enters the game for K. Porzingis,,16-23,,
3:46.0,,,16-25,2,A. Drummond makes 2-pt shot from 7 ft (assist by T. Harris)
3:26.0,C. Anthony misses 3-pt shot from 26 ft,,16-25,,
3:25.0,,,16-25,,Defensive rebound by A. Drummond
3:14.0,,,16-28,3,M. Morris makes 3-pt shot from 24 ft (assist by I. Smith)
3:07.0,Shooting foul by I. Smith (drawn by D. Rose),,16-28,,
3:07.0,D. Rose makes free throw 1 of 2,1,17-28,,
3:07.0,D. Rose misses free throw 2 of 2,,17-28,,
3:07.0,J. Holiday enters the game for C. Lee,,17-28,,
3:04.0,,,17-28,,Defensive rebound by A. Drummond
2:46.0,,,17-28,,T. Harris misses 2-pt shot from 14 ft
2:46.0,Defensive rebound by Team,,17-28,,
2:46.0,,,17-28,,Detroit full timeout
2:46.0,,,17-28,,A. Baynes enters the game for A. Drummond
2:46.0,,,17-28,,J. Leuer enters the game for T. Harris
2:21.0,K. O'Quinn misses 2-pt shot from 8 ft,,17-28,,
2:21.0,,,17-28,,Defensive rebound by I. Smith
2:13.0,,,17-28,,I. Smith misses 2-pt shot from 17 ft
2:13.0,Defensive rebound by K. O'Quinn,,17-28,,
2:04.0,C. Anthony misses 2-pt shot from 21 ft,,17-28,,
2:04.0,,,17-28,,Defensive rebound by Team
2:04.0,Loose ball foul by K. O'Quinn (drawn by M. Morris),,17-28,,
2:04.0,C. Randle enters the game for D. Rose,,17-28,,
1:50.0,,,17-31,3,J. Leuer makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
1:37.0,Turnover by C. Anthony (bad pass; steal by I. Smith),,17-31,,
1:31.0,,,17-31,,I. Smith misses 2-pt shot from 1 ft (block by J. Holiday)
1:30.0,,,17-31,,Offensive rebound by K. Caldwell-Pope
1:28.0,,,17-33,2,K. Caldwell-Pope makes 2-pt shot at rim
1:13.0,J. Holiday misses 2-pt shot from 18 ft,,17-33,,
1:13.0,,,17-33,,Defensive rebound by I. Smith
1:05.0,,,17-35,2,A. Baynes makes 2-pt shot from 18 ft (assist by I. Smith)
0:51.0,C. Randle makes 3-pt shot from 26 ft (assist by J. Holiday),3,20-35,,
0:38.0,,,20-35,,K. Caldwell-Pope misses 3-pt shot from 27 ft
0:37.0,Defensive rebound by L. Thomas,,20-35,,
0:27.0,C. Anthony misses 3-pt shot from 27 ft,,20-35,,
0:26.0,,,20-35,,Defensive rebound by K. Caldwell-Pope
0:04.0,,,20-35,,M. Morris misses 2-pt shot from 14 ft
0:03.0,Defensive rebound by C. Randle,,20-35,,
0:00.0,C. Randle makes 3-pt shot from 38 ft,3,23-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,K. O'Quinn makes 2-pt shot from 16 ft (assist by C. Randle),2,25-35,,
11:14.0,,,25-37,2,J. Leuer makes 2-pt shot from 17 ft (assist by R. Jackson)
10:55.0,K. Porzingis makes 3-pt shot from 25 ft (assist by K. O'Quinn),3,28-37,,
10:40.0,,,28-37,,R. Jackson misses 2-pt shot from 16 ft
10:39.0,Defensive rebound by L. Thomas,,28-37,,
10:26.0,C. Randle misses 2-pt shot from 4 ft (block by R. Jackson),,28-37,,
10:26.0,Offensive rebound by Team,,28-37,,
10:20.0,K. Porzingis misses 3-pt shot from 27 ft,,28-37,,
10:19.0,,,28-37,,Defensive rebound by A. Baynes
10:04.0,,,28-40,3,R. Jackson makes 3-pt shot from 26 ft (assist by S. Johnson)
9:43.0,J. Holiday makes 3-pt shot from 26 ft (assist by C. Randle),3,31-40,,
9:25.0,,,31-40,,R. Bullock misses 3-pt shot from 26 ft
9:25.0,Defensive rebound by L. Thomas,,31-40,,
9:22.0,,,31-40,,Personal foul by R. Jackson (drawn by C. Randle)
9:09.0,K. Porzingis misses 2-pt shot from 6 ft,,31-40,,
9:09.0,,,31-40,,Defensive rebound by S. Johnson
9:05.0,,,31-40,,S. Johnson misses 2-pt shot from 7 ft
9:04.0,,,31-40,,Offensive rebound by S. Johnson
9:03.0,,,31-40,,S. Johnson misses 2-pt shot from 1 ft
9:02.0,,,31-40,,Offensive rebound by A. Baynes
9:01.0,,,31-40,,A. Baynes misses 2-pt shot from 1 ft
8:57.0,Defensive rebound by L. Thomas,,31-40,,
8:49.0,C. Randle misses 3-pt shot from 28 ft,,31-40,,
8:48.0,Offensive rebound by K. O'Quinn,,31-40,,
8:48.0,Turnover by C. Randle (lost ball),,31-40,,
8:48.0,Official timeout,,31-40,,
8:48.0,W. Hernangomez enters the game for K. O'Quinn,,31-40,,
8:38.0,,,31-40,,Offensive foul by A. Baynes
8:38.0,,,31-40,,Turnover by A. Baynes (offensive foul)
8:26.0,,,31-40,,Violation by A. Baynes (def goaltending)
8:26.0,K. Porzingis makes 2-pt shot from 14 ft (assist by C. Randle),2,33-40,,
8:19.0,Personal foul by J. Holiday (drawn by R. Bullock),,33-40,,
8:12.0,,,33-42,2,R. Jackson makes 2-pt shot at rim
8:01.0,Turnover by J. Holiday (bad pass; steal by R. Bullock),,33-42,,
7:54.0,,,33-44,2,S. Johnson makes 2-pt shot from 19 ft (assist by R. Jackson)
7:41.0,,,33-44,,Personal foul by S. Johnson (drawn by L. Thomas)
7:41.0,C. Lee enters the game for J. Holiday,,33-44,,
7:34.0,C. Randle makes 3-pt shot from 27 ft (assist by W. Hernangomez),3,36-44,,
7:20.0,,,36-44,,Turnover by R. Jackson (bad pass; steal by C. Lee)
7:14.0,C. Lee makes 2-pt shot at rim,2,38-44,,
7:07.0,,,38-44,,Detroit full timeout
7:07.0,C. Anthony enters the game for L. Thomas,,38-44,,
7:07.0,,,38-44,,T. Harris enters the game for A. Baynes
7:07.0,,,38-44,,A. Drummond enters the game for J. Leuer
6:50.0,,,38-46,2,T. Harris makes 2-pt shot from 8 ft (assist by R. Jackson)
6:33.0,K. Porzingis misses 3-pt shot from 26 ft,,38-46,,
6:33.0,,,38-46,,Defensive rebound by A. Drummond
6:28.0,,,38-46,,S. Johnson misses 2-pt shot from 18 ft
6:24.0,,,38-46,,Offensive rebound by S. Johnson
6:21.0,,,38-49,3,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson)
6:04.0,C. Lee makes 2-pt shot from 17 ft,2,40-49,,
5:44.0,,,40-49,,S. Johnson misses 3-pt shot from 26 ft
5:44.0,Defensive rebound by K. Porzingis,,40-49,,
5:35.0,Turnover by C. Lee (bad pass; steal by R. Bullock),,40-49,,
5:20.0,,,40-52,3,T. Harris makes 3-pt shot from 26 ft (assist by S. Johnson)
4:58.0,,,40-52,,Personal foul by S. Johnson (drawn by C. Anthony)
4:58.0,,,40-52,,I. Smith enters the game for R. Jackson
4:58.0,,,40-52,,K. Caldwell-Pope enters the game for R. Bullock
4:58.0,,,40-52,,M. Morris enters the game for S. Johnson
4:58.0,D. Rose enters the game for C. Randle,,40-52,,
4:51.0,D. Rose misses 2-pt shot from 6 ft,,40-52,,
4:51.0,,,40-52,,Defensive rebound by M. Morris
4:40.0,,,40-54,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
4:13.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by K. Porzingis),2,42-54,,
4:08.0,,,42-54,,T. Harris misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by Team,,42-54,,
4:08.0,,,42-54,,Personal foul by A. Drummond (drawn by W. Hernangomez)
3:53.0,Shooting foul by M. Morris (drawn by C. Anthony),,42-54,,
3:53.0,C. Anthony makes free throw 1 of 2,1,43-54,,
3:53.0,C. Anthony makes free throw 2 of 2,1,44-54,,
3:40.0,,,44-54,,Shooting foul by C. Lee (drawn by A. Drummond)
3:40.0,,,44-55,1,A. Drummond makes free throw 1 of 2
3:40.0,,,44-55,,A. Drummond misses free throw 2 of 2
3:39.0,Defensive rebound by W. Hernangomez,,44-55,,
3:15.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by C. Lee),2,46-55,,
3:03.0,,,46-55,,Turnover by K. Caldwell-Pope (bad pass)
2:44.0,W. Hernangomez makes 2-pt shot from 7 ft,2,48-55,,
2:29.0,,,48-57,2,I. Smith makes 2-pt shot from 1 ft
2:05.0,D. Rose makes 2-pt shot from 16 ft,2,50-57,,
1:49.0,,,50-57,,I. Smith misses 2-pt shot from 18 ft
1:48.0,,,50-57,,Offensive rebound by A. Drummond
1:48.0,,,50-59,2,A. Drummond makes 2-pt shot from 1 ft
1:48.0,New York full timeout,,50-59,,
1:48.0,,,50-59,,A. Baynes enters the game for A. Drummond
1:31.0,K. Porzingis misses 3-pt shot from 27 ft,,50-59,,
1:30.0,,,50-59,,Defensive rebound by M. Morris
1:22.0,,,50-59,,I. Smith misses 2-pt shot from 16 ft
1:22.0,Defensive rebound by W. Hernangomez,,50-59,,
1:15.0,Offensive charge foul by W. Hernangomez,,50-59,,
1:15.0,Turnover by W. Hernangomez (offensive foul),,50-59,,
1:00.0,,,50-61,2,T. Harris makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
0:42.0,D. Rose makes 2-pt shot from 17 ft (assist by C. Lee),2,52-61,,
0:36.0,Personal foul by C. Lee (drawn by K. Caldwell-Pope),,52-61,,
0:36.0,,,52-62,1,K. Caldwell-Pope makes free throw 1 of 3
0:36.0,,,52-63,1,K. Caldwell-Pope makes free throw 2 of 3
0:36.0,,,52-64,1,K. Caldwell-Pope makes free throw 3 of 3
0:14.0,Shooting foul by K. Caldwell-Pope (drawn by C. Lee),,52-64,,
0:14.0,C. Lee misses free throw 1 of 2,,52-64,,
0:14.0,Offensive rebound by Team,,52-64,,
0:14.0,C. Lee makes free throw 2 of 2,1,53-64,,
0:14.0,L. Thomas enters the game for W. Hernangomez,,52-64,,
0:01.0,,,53-66,2,T. Harris makes 2-pt shot from 15 ft
0:01.0,,,53-66,,Shooting foul by L. Thomas (drawn by T. Harris)
0:01.0,,,53-66,,T. Harris misses free throw 1 of 1
0:00.0,,,53-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,K. Porzingis makes 3-pt shot from 26 ft (assist by C. Anthony),3,56-66,,
11:30.0,,,56-66,,T. Harris misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by D. Rose,,56-66,,
11:18.0,C. Anthony misses 2-pt shot from 20 ft,,56-66,,
11:18.0,Offensive rebound by W. Hernangomez,,56-66,,
11:17.0,W. Hernangomez misses 2-pt shot from 1 ft,,56-66,,
11:15.0,,,56-66,,Defensive rebound by A. Drummond
11:02.0,,,56-68,2,T. Harris makes 2-pt shot from 15 ft (assist by R. Jackson)
10:43.0,Turnover by W. Hernangomez (traveling),,56-68,,
10:36.0,Personal foul by C. Anthony (drawn by R. Jackson),,56-68,,
10:20.0,,,56-70,2,A. Drummond makes 2-pt shot at rim (assist by T. Harris)
10:01.0,Turnover by D. Rose (bad pass; steal by A. Drummond),,56-70,,
9:54.0,,,56-72,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by R. Jackson)
9:37.0,D. Rose makes 2-pt shot from 18 ft (assist by W. Hernangomez),2,58-72,,
9:17.0,,,58-72,,T. Harris misses 2-pt shot from 5 ft
9:17.0,,,58-72,,Offensive rebound by A. Drummond
9:17.0,,,58-72,,Shooting foul by K. Porzingis (drawn by A. Drummond)
9:17.0,,,58-73,1,A. Drummond makes free throw 1 of 2
9:17.0,,,58-73,,A. Drummond misses free throw 2 of 2
9:17.0,,,58-73,,Offensive rebound by T. Harris
9:09.0,,,58-73,,M. Morris misses 2-pt shot from 15 ft
9:09.0,Defensive rebound by C. Lee,,58-73,,
8:57.0,C. Lee misses 3-pt shot from 24 ft,,58-73,,
8:57.0,Offensive rebound by C. Lee,,58-73,,
8:52.0,W. Hernangomez makes 2-pt shot at rim (assist by K. Porzingis),2,60-73,,
8:26.0,,,60-75,2,T. Harris makes 2-pt shot from 1 ft
8:08.0,Turnover by W. Hernangomez (bad pass; steal by A. Drummond),,60-75,,
8:02.0,,,60-75,,T. Harris misses 2-pt shot from 6 ft (block by K. Porzingis)
8:01.0,Defensive rebound by W. Hernangomez,,60-75,,
7:49.0,C. Lee misses 3-pt shot from 23 ft,,60-75,,
7:49.0,,,60-75,,Defensive rebound by K. Caldwell-Pope
7:39.0,,,60-75,,Turnover by A. Drummond (bad pass; steal by W. Hernangomez)
7:27.0,W. Hernangomez makes 2-pt shot from 5 ft (assist by K. Porzingis),2,62-75,,
7:13.0,,,62-77,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
6:56.0,C. Anthony makes 3-pt shot from 27 ft (assist by C. Lee),3,65-77,,
6:35.0,,,65-77,,K. Caldwell-Pope misses 2-pt shot from 4 ft
6:34.0,Defensive rebound by C. Lee,,65-77,,
6:21.0,K. Porzingis makes 2-pt shot from 14 ft (assist by W. Hernangomez),2,67-77,,
6:21.0,Shooting foul by A. Drummond (drawn by K. Porzingis),,67-77,,
6:21.0,K. Porzingis misses free throw 1 of 1,,67-77,,
6:21.0,K. O'Quinn enters the game for W. Hernangomez,,67-77,,
6:20.0,,,67-77,,Defensive rebound by A. Drummond
6:04.0,,,67-77,,T. Harris misses 3-pt shot from 27 ft
6:03.0,Defensive rebound by C. Lee,,67-77,,
5:56.0,C. Lee makes 2-pt shot from 16 ft,2,69-77,,
5:56.0,,,69-77,,Detroit full timeout
5:56.0,,,69-77,,J. Leuer enters the game for T. Harris
5:56.0,,,69-77,,I. Smith enters the game for R. Jackson
5:45.0,,,69-77,,M. Morris misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by K. Porzingis,,69-77,,
5:31.0,D. Rose misses 2-pt shot from 17 ft,,69-77,,
5:31.0,,,69-77,,Defensive rebound by I. Smith
5:19.0,,,69-77,,I. Smith misses 2-pt shot from 13 ft
5:19.0,Defensive rebound by K. O'Quinn,,69-77,,
4:56.0,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Anthony),3,72-77,,
4:35.0,,,72-77,,M. Morris misses 2-pt shot from 18 ft
4:35.0,Defensive rebound by K. O'Quinn,,72-77,,
4:23.0,D. Rose misses 2-pt shot from 7 ft,,72-77,,
4:23.0,,,72-77,,Defensive rebound by M. Morris
4:08.0,,,72-77,,K. Caldwell-Pope misses 3-pt shot from 25 ft
4:08.0,,,72-77,,Offensive rebound by Team
4:08.0,Loose ball foul by K. Porzingis (drawn by A. Drummond),,72-77,,
4:08.0,,,72-77,,S. Johnson enters the game for K. Caldwell-Pope
4:08.0,L. Thomas enters the game for K. Porzingis,,72-77,,
4:00.0,,,72-79,2,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith)
3:47.0,,,72-79,,Violation by M. Morris (kicked ball)
3:40.0,L. Thomas misses 3-pt shot from 26 ft,,72-79,,
3:40.0,,,72-79,,Defensive rebound by S. Johnson
3:30.0,,,72-79,,S. Johnson misses 3-pt shot from 27 ft
3:30.0,,,72-79,,Offensive rebound by A. Drummond
3:26.0,,,72-79,,A. Drummond misses 2-pt shot from 6 ft
3:25.0,Defensive rebound by K. O'Quinn,,72-79,,
3:20.0,Turnover by D. Rose (bad pass; steal by S. Johnson),,72-79,,
3:14.0,,,72-81,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
2:56.0,K. O'Quinn misses 2-pt shot from 17 ft,,72-81,,
2:56.0,Offensive rebound by K. O'Quinn,,72-81,,
2:51.0,,,72-81,,Personal foul by J. Leuer (drawn by K. O'Quinn)
2:51.0,New York full timeout,,72-81,,
2:51.0,C. Randle enters the game for D. Rose,,72-81,,
2:31.0,C. Lee makes 3-pt shot from 26 ft,3,75-81,,
2:08.0,,,75-81,,I. Smith misses 2-pt shot from 18 ft
2:07.0,,,75-81,,Offensive rebound by M. Morris
2:02.0,,,75-81,,I. Smith misses 2-pt shot at rim
2:01.0,Defensive rebound by C. Lee,,75-81,,
1:54.0,C. Randle makes 3-pt shot from 26 ft (assist by C. Lee),3,78-81,,
1:25.0,,,78-83,2,M. Morris makes 2-pt shot from 17 ft (assist by I. Smith)
1:06.0,L. Thomas misses 3-pt shot from 27 ft,,78-83,,
1:05.0,,,78-83,,Defensive rebound by A. Drummond
0:55.0,,,78-85,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
0:44.0,C. Anthony makes 3-pt shot from 23 ft (assist by K. O'Quinn),3,81-85,,
0:29.0,,,81-87,2,I. Smith makes 2-pt shot from 6 ft
0:09.0,C. Randle misses 3-pt shot from 26 ft,,81-87,,
0:09.0,,,81-87,,Defensive rebound by J. Leuer
0:04.0,Personal foul by C. Randle (drawn by I. Smith),,81-87,,
0:01.0,,,81-89,2,J. Leuer makes 2-pt shot from 12 ft (assist by S. Johnson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,81-89,,R. Jackson misses 3-pt shot from 27 ft
11:36.0,Defensive rebound by K. O'Quinn,,81-89,,
11:20.0,C. Randle misses 2-pt shot from 5 ft (block by A. Baynes),,81-89,,
11:20.0,,,81-89,,Defensive rebound by R. Jackson
11:03.0,,,81-89,,J. Leuer misses 2-pt shot from 12 ft
11:02.0,,,81-89,,Offensive rebound by A. Baynes
10:59.0,,,81-91,2,A. Baynes makes 2-pt shot from 1 ft
10:46.0,J. Holiday misses 3-pt shot from 27 ft,,81-91,,
10:45.0,,,81-91,,Defensive rebound by J. Leuer
10:36.0,,,81-91,,R. Jackson misses 3-pt shot from 26 ft
10:36.0,Defensive rebound by K. O'Quinn,,81-91,,
10:26.0,,,81-91,,Personal foul by R. Jackson (drawn by C. Randle)
10:26.0,K. Porzingis enters the game for C. Lee,,81-91,,
10:20.0,M. Kuzminskas makes 2-pt shot at rim (assist by K. O'Quinn),2,83-91,,
10:02.0,,,83-91,,J. Leuer misses 2-pt shot from 12 ft
10:01.0,,,83-91,,Offensive rebound by A. Baynes
9:58.0,,,83-91,,A. Baynes misses 2-pt shot from 9 ft
9:57.0,Defensive rebound by J. Holiday,,83-91,,
9:50.0,Turnover by J. Holiday (lost ball; steal by A. Baynes),,83-91,,
9:39.0,,,83-93,2,J. Leuer makes 2-pt shot from 9 ft (assist by R. Jackson)
9:28.0,C. Randle misses 3-pt shot from 25 ft,,83-93,,
9:28.0,,,83-93,,Defensive rebound by S. Johnson
9:13.0,,,83-93,,J. Leuer misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by Team,,83-93,,
8:54.0,J. Holiday misses 3-pt shot from 26 ft,,83-93,,
8:54.0,,,83-93,,Defensive rebound by T. Harris
8:49.0,Personal foul by J. Holiday (drawn by J. Leuer),,83-93,,
8:49.0,Official timeout,,83-93,,
8:49.0,S. Vujacic enters the game for K. O'Quinn,,83-93,,
8:49.0,W. Hernangomez enters the game for J. Holiday,,83-93,,
8:39.0,,,83-93,,R. Jackson misses 2-pt shot from 1 ft (block by K. Porzingis)
8:38.0,Defensive rebound by S. Vujacic,,83-93,,
8:23.0,Shooting foul by A. Baynes (drawn by M. Kuzminskas),,83-93,,
8:23.0,M. Kuzminskas makes free throw 1 of 2,1,84-93,,
8:23.0,M. Kuzminskas makes free throw 2 of 2,1,85-93,,
8:15.0,Personal foul by M. Kuzminskas (drawn by R. Jackson),,85-93,,
8:02.0,,,85-95,2,J. Leuer makes 2-pt shot at rim (assist by T. Harris)
7:41.0,W. Hernangomez misses 2-pt shot at rim,,85-95,,
7:41.0,,,85-95,,Defensive rebound by A. Baynes
7:26.0,,,85-95,,Shooting foul by M. Kuzminskas (drawn by T. Harris)
7:26.0,,,85-96,1,T. Harris makes free throw 1 of 2
7:26.0,,,85-96,,T. Harris misses free throw 2 of 2
7:25.0,Defensive rebound by W. Hernangomez,,85-96,,
7:09.0,M. Kuzminskas misses 2-pt shot from 16 ft (block by T. Harris),,85-96,,
7:08.0,,,85-96,,Defensive rebound by J. Leuer
7:02.0,,,85-96,,R. Jackson misses 2-pt shot from 6 ft (block by K. Porzingis)
7:01.0,Defensive rebound by M. Kuzminskas,,85-96,,
6:54.0,S. Vujacic misses 2-pt shot from 16 ft,,85-96,,
6:54.0,,,85-96,,Defensive rebound by T. Harris
6:41.0,,,85-96,,T. Harris misses 2-pt shot from 4 ft (block by K. Porzingis)
6:39.0,Defensive rebound by C. Randle,,85-96,,
6:37.0,Turnover by M. Kuzminskas (lost ball; steal by S. Johnson),,85-96,,
6:29.0,,,85-96,,T. Harris misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by C. Randle,,85-96,,
6:29.0,New York full timeout,,85-96,,
6:29.0,,,85-96,,A. Drummond enters the game for A. Baynes
6:29.0,,,85-96,,K. Caldwell-Pope enters the game for J. Leuer
6:29.0,,,85-96,,M. Morris enters the game for S. Johnson
6:29.0,C. Lee enters the game for M. Kuzminskas,,85-96,,
6:29.0,C. Anthony enters the game for S. Vujacic,,85-96,,
6:10.0,K. Porzingis misses 2-pt shot from 16 ft,,85-96,,
6:10.0,,,85-96,,Defensive rebound by A. Drummond
6:03.0,,,85-96,,R. Jackson misses 2-pt shot from 4 ft (block by K. Porzingis)
6:02.0,,,85-96,,Offensive rebound by A. Drummond
6:01.0,,,85-98,2,A. Drummond makes 2-pt shot at rim
5:50.0,C. Anthony makes 3-pt shot from 23 ft (assist by K. Porzingis),3,88-98,,
5:32.0,,,88-100,2,M. Morris makes 2-pt shot from 12 ft (assist by T. Harris)
5:14.0,Turnover by W. Hernangomez (bad pass; steal by K. Caldwell-Pope),,88-100,,
5:03.0,,,88-100,,K. Caldwell-Pope misses 3-pt shot from 28 ft
5:02.0,Defensive rebound by W. Hernangomez,,88-100,,
4:52.0,C. Randle misses 2-pt shot from 15 ft,,88-100,,
4:52.0,,,88-100,,Defensive rebound by A. Drummond
4:41.0,,,88-102,2,R. Jackson makes 2-pt shot at rim
4:41.0,,,88-102,,Shooting foul by C. Randle (drawn by R. Jackson)
4:41.0,,,88-103,1,R. Jackson makes free throw 1 of 1
4:41.0,D. Rose enters the game for C. Randle,,88-102,,
4:21.0,C. Anthony misses 3-pt shot from 27 ft,,88-103,,
4:21.0,,,88-103,,Defensive rebound by R. Jackson
4:14.0,,,88-103,,Shooting foul by K. Porzingis (drawn by A. Drummond)
4:14.0,,,88-103,,A. Drummond misses free throw 1 of 2
4:14.0,,,88-103,,Offensive rebound by Team
4:14.0,,,88-103,,A. Drummond misses free throw 2 of 2
4:13.0,Defensive rebound by Team,,88-103,,
3:59.0,C. Lee misses 2-pt shot from 17 ft,,88-103,,
3:58.0,,,88-103,,Defensive rebound by A. Drummond
3:47.0,,,88-103,,M. Morris misses 3-pt shot from 26 ft
3:46.0,Defensive rebound by W. Hernangomez,,88-103,,
3:31.0,D. Rose misses 2-pt shot from 13 ft,,88-103,,
3:30.0,Offensive rebound by K. Porzingis,,88-103,,
3:25.0,D. Rose misses 2-pt shot from 16 ft,,88-103,,
3:25.0,,,88-103,,Defensive rebound by T. Harris
3:17.0,Personal take foul by W. Hernangomez (drawn by A. Drummond),,88-103,,
3:17.0,,,88-104,1,A. Drummond makes free throw 1 of 2
3:17.0,,,88-104,,A. Drummond misses free throw 2 of 2
