time,Boston,pts.away,score,pts.home,Dallas
3:11.0,Offensive rebound by Team,,20-19,,
3:11.0,I. Thomas makes free throw 2 of 2,1,21-19,,
3:11.0,,,20-19,,D. Harris enters the game for W. Matthews
2:54.0,,,21-21,2,Y. Ferrell makes 2-pt shot from 16 ft
2:42.0,J. Crowder misses 3-pt shot from 25 ft,,21-21,,
2:41.0,,,21-21,,Defensive rebound by S. Curry
2:25.0,,,21-24,3,Y. Ferrell makes 3-pt shot from 25 ft
2:04.0,T. Rozier makes 2-pt shot from 22 ft,2,23-24,,
1:49.0,,,23-24,,S. Curry misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by T. Rozier,,23-24,,
1:32.0,J. Crowder misses 3-pt shot from 23 ft,,23-24,,
1:31.0,,,23-24,,Defensive rebound by Y. Ferrell
1:25.0,,,23-26,2,Y. Ferrell makes 2-pt shot from 15 ft
1:14.0,Shooting foul by Y. Ferrell (drawn by I. Thomas),,23-26,,
1:14.0,I. Thomas makes free throw 1 of 2,1,24-26,,
1:14.0,I. Thomas makes free throw 2 of 2,1,25-26,,
1:14.0,G. Green enters the game for J. Crowder,,24-26,,
1:14.0,,,24-26,,D. Nowitzki enters the game for H. Barnes
0:54.0,,,25-26,,Turnover by Y. Ferrell (bad pass)
0:54.0,M. Smart enters the game for I. Thomas,,25-26,,
0:54.0,A. Johnson enters the game for J. Jerebko,,25-26,,
0:39.0,M. Smart makes 2-pt shot from 19 ft (assist by A. Johnson),2,27-26,,
0:31.0,,,27-26,,D. Powell misses 2-pt shot from 4 ft (block by A. Johnson)
0:29.0,Defensive rebound by A. Johnson,,27-26,,
0:07.0,M. Smart makes 3-pt shot from 25 ft (assist by A. Johnson),3,30-26,,
0:02.0,,,30-28,2,Y. Ferrell makes 2-pt shot from 2 ft
0:00.0,M. Smart misses 3-pt shot from 60 ft,,30-28,,
0:00.0,Offensive rebound by Team,,30-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,30-30,2,Y. Ferrell makes 2-pt shot at rim (assist by D. Powell)
11:27.0,M. Smart makes 2-pt shot from 5 ft (assist by K. Olynyk),2,32-30,,
11:08.0,,,32-30,,Y. Ferrell misses 3-pt shot from 24 ft
11:07.0,Defensive rebound by A. Johnson,,32-30,,
10:49.0,A. Johnson makes 3-pt shot from 24 ft (assist by G. Green),3,35-30,,
10:30.0,,,35-30,,S. Curry enters the game for Y. Ferrell
10:26.0,,,35-30,,S. Curry misses 2-pt shot from 11 ft
10:26.0,,,35-30,,Offensive rebound by Team
10:26.0,Loose ball foul by G. Green (drawn by D. Powell),,35-30,,
10:20.0,,,35-30,,D. Nowitzki misses 2-pt shot from 21 ft
10:18.0,Defensive rebound by Team,,35-30,,
10:04.0,K. Olynyk misses 3-pt shot from 24 ft,,35-30,,
10:03.0,Offensive rebound by A. Johnson,,35-30,,
10:02.0,A. Johnson makes 2-pt shot from 2 ft,2,37-30,,
9:49.0,Personal foul by A. Johnson (drawn by D. Nowitzki),,37-30,,
9:36.0,,,37-30,,D. Harris misses 2-pt shot from 19 ft
9:35.0,,,37-30,,Offensive rebound by D. Powell
9:32.0,,,37-30,,D. Harris misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by K. Olynyk,,37-30,,
9:23.0,G. Green makes 3-pt shot from 25 ft,3,40-30,,
9:22.0,,,40-30,,Dallas full timeout
9:10.0,Personal block foul by M. Smart (drawn by D. Harris),,40-30,,
8:58.0,,,40-32,2,D. Nowitzki makes 2-pt shot from 9 ft (assist by S. Curry)
8:38.0,G. Green makes 2-pt shot from 14 ft (assist by M. Smart),2,42-32,,
8:27.0,,,42-35,3,S. Curry makes 3-pt shot from 25 ft
8:06.0,G. Green makes 2-pt shot from 16 ft,2,44-35,,
7:53.0,,,44-35,,D. Nowitzki misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by T. Rozier,,44-35,,
7:44.0,T. Rozier misses 2-pt shot from 15 ft,,44-35,,
7:43.0,,,44-35,,Defensive rebound by D. Harris
7:38.0,Shooting block foul by T. Rozier (drawn by D. Harris),,44-35,,
7:38.0,,,44-36,1,D. Harris makes free throw 1 of 2
7:38.0,,,44-37,1,D. Harris makes free throw 2 of 2
7:38.0,A. Horford enters the game for K. Olynyk,,44-36,,
7:38.0,,,44-36,,H. Barnes enters the game for D. Nowitzki
7:38.0,,,44-36,,W. Matthews enters the game for D. Finney-Smith
7:24.0,Turnover by A. Johnson (lost ball; steal by H. Barnes),,44-37,,
7:17.0,,,44-37,,Turnover by H. Barnes (bad pass; steal by M. Smart)
7:14.0,Shooting foul by S. Curry (drawn by M. Smart),,44-37,,
7:14.0,M. Smart makes free throw 1 of 2,1,45-37,,
7:14.0,M. Smart makes free throw 2 of 2,1,46-37,,
6:49.0,,,46-39,2,W. Matthews makes 2-pt shot from 20 ft
6:32.0,G. Green misses 3-pt shot from 23 ft,,46-39,,
6:31.0,,,46-39,,Defensive rebound by H. Barnes
6:20.0,,,46-39,,H. Barnes misses 2-pt shot from 6 ft
6:18.0,Defensive rebound by G. Green,,46-39,,
6:14.0,A. Horford makes 2-pt shot from 1 ft (assist by G. Green),2,48-39,,
6:05.0,,,48-39,,Dallas full timeout
6:05.0,,,48-39,,D. Williams enters the game for S. Curry
6:05.0,,,48-39,,Y. Ferrell enters the game for D. Powell
6:05.0,,,48-39,,S. Mejri enters the game for D. Harris
6:05.0,I. Thomas enters the game for M. Smart,,48-39,,
5:57.0,,,48-41,2,H. Barnes makes 2-pt shot from 16 ft (assist by Y. Ferrell)
5:43.0,T. Rozier misses 2-pt shot from 5 ft,,48-41,,
5:42.0,,,48-41,,Defensive rebound by S. Mejri
5:33.0,,,48-41,,Turnover by D. Williams (bad pass; steal by A. Horford)
5:26.0,I. Thomas misses 2-pt shot from 23 ft,,48-41,,
5:25.0,,,48-41,,Defensive rebound by S. Mejri
5:07.0,,,48-41,,H. Barnes misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by T. Rozier,,48-41,,
4:55.0,G. Green makes 3-pt shot from 25 ft (assist by T. Rozier),3,51-41,,
4:35.0,,,51-41,,Shooting foul by A. Johnson (drawn by H. Barnes)
4:35.0,Official timeout,,51-41,,
4:35.0,,,51-42,1,H. Barnes makes free throw 1 of 2
4:35.0,,,51-42,,H. Barnes misses free throw 2 of 2
4:35.0,J. Crowder enters the game for A. Johnson,,51-41,,
4:35.0,K. Olynyk enters the game for T. Rozier,,51-41,,
4:34.0,Defensive rebound by K. Olynyk,,51-42,,
4:20.0,K. Olynyk makes 2-pt shot from 1 ft (assist by A. Horford),2,53-42,,
4:06.0,,,53-44,2,D. Williams makes 2-pt shot from 20 ft (assist by W. Matthews)
3:44.0,G. Green misses 2-pt shot from 5 ft,,53-44,,
3:43.0,,,53-44,,Defensive rebound by S. Mejri
3:28.0,,,53-44,,W. Matthews misses 3-pt shot from 25 ft
3:27.0,,,53-44,,Offensive rebound by S. Mejri
3:22.0,,,53-46,2,S. Mejri makes 2-pt shot from 4 ft
2:56.0,G. Green misses 2-pt shot from 14 ft,,53-46,,
2:55.0,,,53-46,,Defensive rebound by W. Matthews
2:47.0,,,53-46,,Turnover by D. Williams (back court)
2:47.0,Boston full timeout,,53-46,,
2:47.0,M. Smart enters the game for G. Green,,53-46,,
2:28.0,J. Crowder misses 2-pt shot from 21 ft,,53-46,,
2:27.0,,,53-46,,Defensive rebound by S. Mejri
2:09.0,,,53-46,,W. Matthews misses 3-pt shot from 24 ft
2:07.0,,,53-46,,Offensive rebound by S. Mejri
1:48.0,,,53-48,2,Y. Ferrell makes 2-pt shot from 1 ft (assist by W. Matthews)
1:23.0,J. Crowder misses 2-pt shot from 19 ft,,53-48,,
1:22.0,,,53-48,,Defensive rebound by D. Williams
1:12.0,,,53-50,2,H. Barnes makes 2-pt shot from 18 ft
0:58.0,M. Smart makes 2-pt shot from 2 ft (assist by I. Thomas),2,55-50,,
0:36.0,,,55-50,,Offensive foul by D. Williams
0:36.0,,,55-50,,Turnover by D. Williams (offensive foul)
0:36.0,,,55-50,,Technical foul by D. Williams
0:36.0,,,55-50,,Technical foul by D. Williams
0:36.0,I. Thomas misses technical free throw,,55-50,,
0:36.0,Offensive rebound by Team,,55-50,,
0:36.0,I. Thomas makes technical free throw,1,56-50,,
0:36.0,,,55-50,,S. Curry enters the game for D. Williams
0:29.0,I. Thomas makes 2-pt shot from 2 ft,2,58-50,,
0:08.0,,,58-50,,H. Barnes misses 2-pt shot from 7 ft
0:07.0,Defensive rebound by A. Horford,,58-50,,
0:01.0,,,58-50,,Shooting block foul by Y. Ferrell (drawn by I. Thomas)
0:01.0,I. Thomas makes free throw 1 of 3,1,59-50,,
0:01.0,I. Thomas makes free throw 2 of 3,1,60-50,,
0:01.0,I. Thomas makes free throw 3 of 3,1,61-50,,
0:01.0,A. Johnson enters the game for K. Olynyk,,60-50,,
0:00.0,,,61-50,,W. Matthews misses 3-pt shot from 66 ft (block by M. Smart)
0:00.0,,,61-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Violation by A. Horford (def goaltending),,61-50,,
11:43.0,,,61-52,2,H. Barnes makes 2-pt shot from 5 ft
11:22.0,I. Thomas makes 2-pt shot from 23 ft,2,63-52,,
11:07.0,,,63-52,,Turnover by Y. Ferrell (lost ball)
10:55.0,J. Crowder misses 3-pt shot from 24 ft,,63-52,,
10:54.0,,,63-52,,Defensive rebound by S. Curry
10:43.0,,,63-52,,Shooting foul by J. Crowder (drawn by W. Matthews)
10:43.0,,,63-53,1,W. Matthews makes free throw 1 of 2
10:43.0,,,63-54,1,W. Matthews makes free throw 2 of 2
10:26.0,M. Smart misses 2-pt shot from 11 ft,,63-54,,
10:24.0,,,63-54,,Defensive rebound by W. Matthews
10:16.0,,,63-54,,W. Matthews misses 2-pt shot from 13 ft
10:15.0,Defensive rebound by A. Johnson,,63-54,,
10:05.0,A. Horford misses 2-pt shot from 11 ft,,63-54,,
10:03.0,,,63-54,,Defensive rebound by H. Barnes
9:55.0,,,63-56,2,Y. Ferrell makes 2-pt shot from 12 ft
9:34.0,M. Smart misses 3-pt shot from 24 ft,,63-56,,
9:32.0,,,63-56,,Defensive rebound by D. Nowitzki
9:28.0,Personal foul by J. Crowder (drawn by D. Nowitzki),,63-56,,
9:21.0,,,63-56,,Shooting foul by I. Thomas (drawn by Y. Ferrell)
9:21.0,,,63-57,1,Y. Ferrell makes free throw 1 of 2
9:21.0,,,63-58,1,Y. Ferrell makes free throw 2 of 2
9:08.0,I. Thomas misses 3-pt shot from 24 ft,,63-58,,
9:07.0,,,63-58,,Defensive rebound by S. Curry
8:50.0,,,63-58,,Turnover by S. Curry (bad pass)
8:36.0,I. Thomas makes 2-pt shot from 3 ft (assist by A. Horford),2,65-58,,
8:19.0,,,65-60,2,S. Curry makes 2-pt shot from 5 ft
8:01.0,A. Horford misses 2-pt shot from 17 ft,,65-60,,
8:01.0,Offensive rebound by A. Johnson,,65-60,,
7:59.0,A. Johnson makes 2-pt shot from 6 ft,2,67-60,,
7:46.0,,,67-63,3,Y. Ferrell makes 3-pt shot from 24 ft (assist by D. Nowitzki)
7:30.0,I. Thomas misses 3-pt shot from 25 ft,,67-63,,
7:29.0,,,67-63,,Defensive rebound by D. Nowitzki
7:23.0,,,67-63,,Shooting foul by J. Crowder (drawn by W. Matthews)
7:23.0,,,67-63,,W. Matthews misses free throw 1 of 2
7:23.0,,,67-63,,Offensive rebound by Team
7:23.0,,,67-63,,W. Matthews misses free throw 2 of 2
7:22.0,Defensive rebound by M. Smart,,67-63,,
7:05.0,A. Horford makes 3-pt shot from 25 ft (assist by J. Crowder),3,70-63,,
7:03.0,,,70-63,,Dallas full timeout
6:47.0,,,70-63,,H. Barnes misses 2-pt shot from 8 ft
6:46.0,Defensive rebound by J. Crowder,,70-63,,
6:30.0,Shooting foul by S. Curry (drawn by M. Smart),,70-63,,
6:30.0,M. Smart makes free throw 1 of 2,1,71-63,,
6:30.0,M. Smart makes free throw 2 of 2,1,72-63,,
6:18.0,Personal foul by A. Johnson (drawn by W. Matthews),,72-63,,
6:18.0,,,72-64,1,W. Matthews makes free throw 1 of 2
6:18.0,,,72-64,,W. Matthews misses free throw 2 of 2
6:17.0,Defensive rebound by A. Johnson,,72-64,,
6:06.0,,,72-64,,Personal foul by Y. Ferrell (drawn by A. Johnson)
6:06.0,,,72-64,,D. Harris enters the game for Y. Ferrell
5:56.0,A. Horford makes 2-pt shot from 8 ft,2,74-64,,
5:40.0,Personal foul by A. Horford (drawn by H. Barnes),,74-64,,
5:40.0,,,74-65,1,H. Barnes makes free throw 1 of 2
5:40.0,,,74-66,1,H. Barnes makes free throw 2 of 2
5:40.0,K. Olynyk enters the game for A. Johnson,,74-65,,
5:28.0,Turnover by K. Olynyk (bad pass; steal by S. Curry),,74-66,,
5:14.0,,,74-66,,Turnover by H. Barnes (bad pass; steal by M. Smart)
5:09.0,I. Thomas misses 3-pt shot from 25 ft,,74-66,,
5:08.0,Offensive rebound by A. Horford,,74-66,,
5:06.0,A. Horford misses 2-pt shot from 2 ft,,74-66,,
5:05.0,,,74-66,,Defensive rebound by D. Nowitzki
5:01.0,,,74-68,2,D. Harris makes 2-pt shot from 7 ft
5:01.0,,,74-68,,Shooting foul by M. Smart (drawn by D. Harris)
5:01.0,,,74-68,,D. Harris misses free throw 1 of 1
5:01.0,T. Rozier enters the game for M. Smart,,74-68,,
5:01.0,,,74-68,,S. Mejri enters the game for D. Nowitzki
5:00.0,Defensive rebound by K. Olynyk,,74-68,,
4:46.0,Turnover by A. Horford (traveling),,74-68,,
4:35.0,,,74-68,,S. Curry misses 2-pt shot from 8 ft
4:33.0,Defensive rebound by Team,,74-68,,
4:16.0,K. Olynyk makes 2-pt shot from 1 ft (assist by T. Rozier),2,76-68,,
4:01.0,,,76-70,2,W. Matthews makes 2-pt shot from 4 ft
3:45.0,I. Thomas misses 2-pt shot from 3 ft (block by H. Barnes),,76-70,,
3:44.0,,,76-70,,Defensive rebound by S. Curry
3:37.0,,,76-70,,Turnover by D. Harris (bad pass; steal by J. Crowder)
3:34.0,J. Crowder makes 2-pt shot from 1 ft,2,78-70,,
3:34.0,Shooting foul by W. Matthews (drawn by J. Crowder),,78-70,,
3:34.0,J. Crowder makes free throw 1 of 1,1,79-70,,
3:34.0,G. Green enters the game for I. Thomas,,78-70,,
3:25.0,Personal block foul by K. Olynyk (drawn by D. Harris),,79-70,,
3:25.0,,,79-71,1,D. Harris makes free throw 1 of 2
3:25.0,,,79-72,1,D. Harris makes free throw 2 of 2
3:12.0,A. Horford makes 2-pt shot from 18 ft (assist by K. Olynyk),2,81-72,,
2:59.0,,,81-75,3,H. Barnes makes 3-pt shot from 25 ft (assist by S. Curry)
2:37.0,G. Green misses 2-pt shot from 11 ft,,81-75,,
2:36.0,,,81-75,,Defensive rebound by S. Mejri
2:26.0,,,81-78,3,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes)
2:25.0,Boston full timeout,,81-78,,
2:25.0,J. Jerebko enters the game for J. Crowder,,81-78,,
2:25.0,M. Smart enters the game for A. Horford,,81-78,,
2:17.0,Offensive foul by K. Olynyk,,81-78,,
2:17.0,Turnover by K. Olynyk (offensive foul),,81-78,,
2:10.0,Personal foul by J. Jerebko (drawn by H. Barnes),,81-78,,
2:10.0,,,81-78,,H. Barnes misses free throw 1 of 2
2:10.0,,,81-78,,Offensive rebound by Team
2:10.0,,,81-78,,Turnover by S. Mejri (lane violation.)
1:53.0,Shooting foul by H. Barnes (drawn by K. Olynyk),,81-78,,
1:53.0,K. Olynyk makes free throw 1 of 2,1,82-78,,
1:53.0,K. Olynyk makes free throw 2 of 2,1,83-78,,
1:53.0,,,82-78,,D. Nowitzki enters the game for H. Barnes
1:35.0,,,83-80,2,W. Matthews makes 2-pt shot from 1 ft (assist by S. Curry)
1:21.0,M. Smart misses 3-pt shot from 25 ft,,83-80,,
1:20.0,,,83-80,,Defensive rebound by S. Mejri
1:16.0,Personal foul by M. Smart (drawn by W. Matthews),,83-80,,
1:16.0,,,83-81,1,W. Matthews makes free throw 1 of 2
1:16.0,,,83-82,1,W. Matthews makes free throw 2 of 2
1:01.0,J. Jerebko misses 3-pt shot from 24 ft,,83-82,,
1:00.0,Offensive rebound by K. Olynyk,,83-82,,
1:00.0,K. Olynyk misses 2-pt shot from 2 ft (block by S. Mejri),,83-82,,
0:59.0,Offensive rebound by Team,,83-82,,
0:49.0,Turnover by J. Jerebko (bad pass; steal by D. Nowitzki),,83-82,,
0:34.0,,,83-82,,D. Nowitzki misses 2-pt shot from 7 ft
0:33.0,,,83-82,,Offensive rebound by S. Mejri
0:32.0,A. Johnson enters the game for K. Olynyk,,83-82,,
0:24.0,,,83-82,,S. Curry misses 2-pt shot from 19 ft
0:22.0,,,83-82,,Offensive rebound by Team
0:22.0,J. Young enters the game for G. Green,,83-82,,
0:06.0,,,83-82,,D. Nowitzki misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by T. Rozier,,83-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,A. Johnson misses 2-pt shot from 7 ft,,83-82,,
11:45.0,,,83-82,,Defensive rebound by S. Mejri
11:33.0,,,83-82,,D. Harris misses 3-pt shot from 25 ft
11:32.0,Defensive rebound by A. Johnson,,83-82,,
11:22.0,Turnover by T. Rozier (bad pass; steal by D. Nowitzki),,83-82,,
11:15.0,,,83-82,,D. Harris misses 2-pt shot from 2 ft
11:14.0,Defensive rebound by J. Jerebko,,83-82,,
11:10.0,Turnover by M. Smart (bad pass; steal by S. Mejri),,83-82,,
11:09.0,Personal take foul by J. Jerebko (drawn by D. Harris),,83-82,,
11:09.0,K. Olynyk enters the game for A. Johnson,,83-82,,
10:56.0,,,83-82,,D. Nowitzki misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by M. Smart,,83-82,,
10:53.0,,,83-82,,Personal foul by S. Mejri (drawn by M. Smart)
10:53.0,,,83-82,,D. Powell enters the game for S. Mejri
10:53.0,,,83-82,,Y. Ferrell enters the game for S. Curry
10:53.0,I. Thomas enters the game for T. Rozier,,83-82,,
10:43.0,,,83-82,,Personal foul by D. Finney-Smith (drawn by M. Smart)
10:28.0,I. Thomas misses 3-pt shot from 27 ft,,83-82,,
10:26.0,,,83-82,,Defensive rebound by Y. Ferrell
10:14.0,Personal foul by I. Thomas (drawn by D. Nowitzki),,83-82,,
10:04.0,,,83-82,,Y. Ferrell misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by M. Smart,,83-82,,
10:00.0,I. Thomas makes 2-pt shot at rim (assist by M. Smart),2,85-82,,
9:41.0,,,85-84,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by Y. Ferrell)
9:25.0,J. Jerebko makes 3-pt shot from 25 ft (assist by I. Thomas),3,88-84,,
9:15.0,Personal foul by J. Jerebko (drawn by D. Nowitzki),,88-84,,
9:02.0,,,88-87,3,D. Harris makes 3-pt shot from 24 ft (assist by D. Nowitzki)
8:50.0,K. Olynyk makes 2-pt shot from 1 ft,2,90-87,,
8:32.0,,,90-87,,Turnover by D. Nowitzki (bad pass; steal by J. Young)
8:24.0,I. Thomas misses 2-pt shot from 10 ft,,90-87,,
8:23.0,,,90-87,,Defensive rebound by D. Powell
8:10.0,,,90-87,,D. Nowitzki misses 2-pt shot from 16 ft
8:09.0,Defensive rebound by J. Young,,90-87,,
7:57.0,,,90-87,,Personal foul by D. Powell (drawn by M. Smart)
7:57.0,Official timeout,,90-87,,
7:57.0,,,90-87,,H. Barnes enters the game for D. Nowitzki
7:57.0,,,90-87,,W. Matthews enters the game for D. Harris
7:57.0,,,90-87,,S. Curry enters the game for D. Finney-Smith
7:48.0,I. Thomas misses 2-pt shot from 6 ft,,90-87,,
7:48.0,Offensive rebound by K. Olynyk,,90-87,,
7:48.0,,,90-87,,Loose ball foul by Y. Ferrell (drawn by K. Olynyk)
7:48.0,A. Horford enters the game for J. Jerebko,,90-87,,
7:39.0,K. Olynyk misses 2-pt shot from 4 ft,,90-87,,
7:38.0,Offensive rebound by J. Young,,90-87,,
7:38.0,J. Young misses 2-pt shot at rim,,90-87,,
7:37.0,Offensive rebound by J. Young,,90-87,,
7:25.0,M. Smart misses 3-pt shot from 27 ft,,90-87,,
7:24.0,,,90-87,,Defensive rebound by D. Powell
6:59.0,,,90-87,,Y. Ferrell misses 2-pt shot from 17 ft
6:58.0,Defensive rebound by I. Thomas,,90-87,,
6:53.0,K. Olynyk makes 2-pt shot from 2 ft (assist by I. Thomas),2,92-87,,
6:36.0,,,92-87,,H. Barnes misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by Team,,92-87,,
6:22.0,A. Horford misses 3-pt shot from 25 ft,,92-87,,
6:21.0,,,92-87,,Defensive rebound by W. Matthews
6:14.0,Personal foul by J. Young (drawn by W. Matthews),,92-87,,
6:04.0,,,92-87,,S. Curry misses 3-pt shot from 26 ft
6:03.0,Defensive rebound by K. Olynyk,,92-87,,
5:54.0,,,92-87,,Dallas full timeout
5:52.0,J. Crowder enters the game for M. Smart,,92-87,,
5:42.0,I. Thomas makes 2-pt shot from 1 ft (assist by A. Horford),2,94-87,,
5:21.0,,,94-89,2,H. Barnes makes 2-pt shot from 19 ft (assist by Y. Ferrell)
5:03.0,K. Olynyk makes 3-pt shot from 24 ft (assist by I. Thomas),3,97-89,,
4:48.0,,,97-89,,H. Barnes misses 2-pt shot from 13 ft
4:47.0,Defensive rebound by K. Olynyk,,97-89,,
4:32.0,I. Thomas makes 3-pt shot from 25 ft,3,100-89,,
4:31.0,,,100-89,,Dallas full timeout
4:31.0,,,100-89,,D. Nowitzki enters the game for D. Powell
4:14.0,,,100-91,2,D. Nowitzki makes 2-pt shot from 8 ft (assist by Y. Ferrell)
4:14.0,,,100-91,,Shooting foul by K. Olynyk (drawn by D. Nowitzki)
4:14.0,,,100-92,1,D. Nowitzki makes free throw 1 of 1
4:01.0,J. Young makes 2-pt shot from 1 ft (assist by A. Horford),2,102-92,,
3:46.0,,,102-92,,W. Matthews misses 2-pt shot from 4 ft
3:44.0,Defensive rebound by J. Crowder,,102-92,,
3:38.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,105-92,,
3:36.0,,,105-92,,Dallas full timeout
3:26.0,,,105-92,,H. Barnes misses 2-pt shot from 16 ft
3:25.0,Defensive rebound by J. Young,,105-92,,
3:07.0,K. Olynyk makes 2-pt shot from 1 ft (assist by I. Thomas),2,107-92,,
3:01.0,Personal foul by J. Crowder (drawn by W. Matthews),,107-92,,
3:01.0,,,107-93,1,W. Matthews makes free throw 1 of 2
3:01.0,,,107-94,1,W. Matthews makes free throw 2 of 2
2:51.0,I. Thomas misses 3-pt shot from 24 ft,,107-94,,
2:50.0,,,107-94,,Defensive rebound by H. Barnes
2:36.0,,,107-94,,D. Nowitzki misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by J. Crowder,,107-94,,
2:18.0,Shooting foul by Y. Ferrell (drawn by J. Crowder),,107-94,,
2:18.0,J. Crowder makes free throw 1 of 2,1,108-94,,
2:18.0,J. Crowder misses free throw 2 of 2,,108-94,,
2:18.0,M. Smart enters the game for I. Thomas,,108-94,,
2:17.0,,,108-94,,Defensive rebound by S. Curry
2:04.0,,,108-94,,H. Barnes misses 2-pt shot from 6 ft
2:03.0,Defensive rebound by J. Crowder,,108-94,,
1:48.0,Offensive foul by J. Crowder,,108-94,,
