time,Miami,pts.away,score,pts.home,New Orleans
2:11.0,,,21-19,2,E. Moore makes 2-pt shot from 4 ft
2:11.0,,,21-19,,Shooting foul by G. Dragic (drawn by E. Moore)
2:11.0,,,21-19,,E. Moore misses free throw 1 of 1
2:11.0,J. Richardson enters the game for H. Whiteside,,21-19,,
2:11.0,W. Reed enters the game for J. Winslow,,21-19,,
2:08.0,Defensive rebound by J. Johnson,,21-19,,
1:53.0,G. Dragic misses 2-pt shot from 21 ft,,21-19,,
1:53.0,,,21-19,,Defensive rebound by E. Moore
1:47.0,,,21-22,3,L. Galloway makes 3-pt shot from 26 ft (assist by E. Moore)
1:20.0,G. Dragic makes 2-pt shot from 14 ft,2,23-22,,
1:06.0,,,23-24,2,A. Davis makes 2-pt shot at rim
1:06.0,,,23-24,,Shooting foul by W. Reed (drawn by A. Davis)
1:06.0,,,23-25,1,A. Davis makes free throw 1 of 1
1:06.0,L. Babbitt enters the game for G. Dragic,,23-24,,
0:47.0,Shooting foul by S. Hill (drawn by J. Johnson),,23-25,,
0:47.0,J. Johnson makes free throw 1 of 2,1,24-25,,
0:47.0,J. Johnson makes free throw 2 of 2,1,25-25,,
0:47.0,,,24-25,,A. Ajinca enters the game for A. Davis
0:32.0,,,25-25,,T. Frazier misses 3-pt shot from 28 ft
0:31.0,Defensive rebound by J. Johnson,,25-25,,
0:23.0,L. Babbitt makes 3-pt shot from 23 ft (assist by J. Johnson),3,28-25,,
0:00.0,,,28-25,,E. Moore misses 2-pt shot from 15 ft (block by J. Johnson)
0:00.0,,,28-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Richardson makes 2-pt shot from 16 ft,2,30-25,,
11:27.0,,,30-25,,Turnover by L. Galloway (bad pass; steal by L. Babbitt)
11:20.0,,,30-25,,Personal foul by T. Evans (drawn by J. Johnson)
11:05.0,L. Babbitt misses 2-pt shot from 21 ft,,30-25,,
11:05.0,,,30-25,,Defensive rebound by T. Frazier
10:57.0,,,30-25,,T. Evans misses 2-pt shot from 7 ft (block by W. Reed)
10:55.0,Defensive rebound by W. Reed,,30-25,,
10:49.0,T. Johnson misses 3-pt shot from 26 ft,,30-25,,
10:49.0,,,30-25,,Defensive rebound by A. Ajinca
10:37.0,,,30-25,,T. Frazier misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by W. Reed,,30-25,,
10:20.0,J. Richardson misses 3-pt shot from 26 ft,,30-25,,
10:19.0,,,30-25,,Defensive rebound by T. Evans
10:11.0,,,30-25,,L. Galloway misses 2-pt shot from 3 ft
10:10.0,Defensive rebound by W. Reed,,30-25,,
9:59.0,Offensive charge foul by J. Richardson,,30-25,,
9:59.0,Turnover by J. Richardson (offensive foul),,30-25,,
9:59.0,,,30-25,,D. Cunningham enters the game for T. Frazier
9:48.0,,,30-25,,L. Galloway misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by W. Reed,,30-25,,
9:35.0,Turnover by J. Richardson (bad pass; steal by T. Evans),,30-25,,
9:31.0,,,30-25,,Shooting foul by W. Reed (drawn by T. Evans)
9:31.0,,,30-26,1,T. Evans makes free throw 1 of 2
9:31.0,,,30-27,1,T. Evans makes free throw 2 of 2
9:31.0,J. Winslow enters the game for T. Johnson,,30-26,,
9:11.0,J. Johnson makes 2-pt shot from 20 ft,2,32-27,,
8:58.0,,,32-29,2,D. Cunningham makes 2-pt shot from 3 ft (assist by T. Evans)
8:38.0,J. Johnson misses 2-pt shot from 3 ft,,32-29,,
8:37.0,Offensive rebound by L. Babbitt,,32-29,,
8:32.0,L. Babbitt makes 2-pt shot from 2 ft,2,34-29,,
8:26.0,,,34-31,2,A. Ajinca makes 2-pt shot from 6 ft (assist by T. Evans)
8:11.0,,,34-31,,Personal foul by T. Evans (drawn by W. Reed)
8:11.0,Official timeout,,34-31,,
8:11.0,D. Williams enters the game for J. Johnson,,34-31,,
8:11.0,,,34-31,,J. Holiday enters the game for L. Galloway
8:01.0,L. Babbitt misses 2-pt shot from 20 ft,,34-31,,
8:00.0,Offensive rebound by W. Reed,,34-31,,
7:55.0,W. Reed misses 2-pt shot from 2 ft (block by D. Cunningham),,34-31,,
7:54.0,,,34-31,,Defensive rebound by T. Evans
7:46.0,Personal foul by L. Babbitt (drawn by T. Evans),,34-31,,
7:46.0,,,34-31,,A. Davis enters the game for A. Ajinca
7:46.0,H. Whiteside enters the game for W. Reed,,34-31,,
7:33.0,,,34-31,,D. Cunningham misses 2-pt shot from 4 ft
7:33.0,Defensive rebound by H. Whiteside,,34-31,,
7:10.0,J. Richardson misses 3-pt shot from 26 ft,,34-31,,
7:08.0,,,34-31,,Defensive rebound by A. Davis
6:53.0,,,34-33,2,J. Holiday makes 2-pt shot from 2 ft
6:35.0,Shooting foul by E. Moore (drawn by H. Whiteside),,34-33,,
6:35.0,H. Whiteside makes free throw 1 of 2,1,35-33,,
6:35.0,H. Whiteside misses free throw 2 of 2,,35-33,,
6:32.0,,,35-33,,Defensive rebound by T. Evans
6:21.0,,,35-35,2,J. Holiday makes 2-pt shot from 10 ft
6:12.0,,,35-35,,Personal foul by E. Moore (drawn by J. Richardson)
6:12.0,G. Dragic enters the game for J. Richardson,,35-35,,
6:12.0,T. Johnson enters the game for L. Babbitt,,35-35,,
6:00.0,Turnover by D. Williams (bad pass; steal by E. Moore),,35-35,,
5:54.0,,,35-35,,Turnover by E. Moore (bad pass; steal by T. Johnson)
5:47.0,D. Williams makes 2-pt shot at rim,2,37-35,,
5:47.0,,,37-35,,New Orleans full timeout
5:47.0,,,37-35,,B. Hield enters the game for E. Moore
5:47.0,,,37-35,,S. Hill enters the game for T. Evans
5:35.0,,,37-35,,J. Holiday misses 2-pt shot from 19 ft
5:34.0,Defensive rebound by D. Williams,,37-35,,
5:12.0,G. Dragic makes 2-pt shot from 2 ft (assist by D. Williams),2,39-35,,
4:57.0,,,39-35,,A. Davis misses 2-pt shot from 16 ft
4:56.0,,,39-35,,Offensive rebound by S. Hill
4:53.0,,,39-35,,D. Cunningham misses 2-pt shot from 5 ft
4:52.0,Defensive rebound by T. Johnson,,39-35,,
4:41.0,Shooting foul by A. Davis (drawn by H. Whiteside),,39-35,,
4:41.0,H. Whiteside makes free throw 1 of 2,1,40-35,,
4:41.0,Official timeout,,40-35,,
4:41.0,H. Whiteside misses free throw 2 of 2,,40-35,,
4:40.0,,,40-35,,Defensive rebound by A. Davis
4:20.0,,,40-35,,A. Davis misses 2-pt shot from 5 ft
4:20.0,,,40-35,,Offensive rebound by S. Hill
4:13.0,,,40-35,,B. Hield misses 3-pt shot from 26 ft
4:13.0,Defensive rebound by D. Williams,,40-35,,
3:58.0,J. Winslow misses 3-pt shot from 26 ft,,40-35,,
3:57.0,Offensive rebound by H. Whiteside,,40-35,,
3:57.0,Turnover by J. Winslow (lost ball),,40-35,,
3:47.0,,,40-35,,D. Cunningham misses 2-pt shot from 2 ft
3:46.0,Defensive rebound by T. Johnson,,40-35,,
3:33.0,D. Williams makes 3-pt shot from 26 ft (assist by G. Dragic),3,43-35,,
3:25.0,,,43-35,,Offensive foul by A. Davis
3:25.0,,,43-35,,Turnover by A. Davis (offensive foul)
3:07.0,J. Winslow makes 2-pt shot from 7 ft (assist by G. Dragic),2,45-35,,
3:00.0,,,45-37,2,J. Holiday makes 2-pt shot from 8 ft
3:00.0,,,45-37,,Shooting foul by T. Johnson (drawn by J. Holiday)
3:00.0,,,45-37,,J. Holiday misses free throw 1 of 1
3:00.0,,,45-37,,A. Ajinca enters the game for A. Davis
2:51.0,Defensive rebound by H. Whiteside,,45-37,,
2:42.0,T. Johnson makes 2-pt shot from 18 ft (assist by H. Whiteside),2,47-37,,
2:28.0,,,47-40,3,J. Holiday makes 3-pt shot from 26 ft (assist by D. Cunningham)
2:13.0,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow),2,49-40,,
1:56.0,,,49-40,,Shooting foul by H. Whiteside (drawn by A. Ajinca)
1:56.0,Miami full timeout,,49-40,,
1:56.0,,,49-41,1,A. Ajinca makes free throw 1 of 2
1:56.0,,,49-41,,A. Ajinca misses free throw 2 of 2
1:56.0,,,49-40,,L. Galloway enters the game for J. Holiday
1:52.0,Defensive rebound by H. Whiteside,,49-41,,
1:37.0,,,49-41,,Personal foul by D. Cunningham (drawn by G. Dragic)
1:37.0,G. Dragic misses free throw 1 of 2,,49-41,,
1:37.0,Offensive rebound by Team,,49-41,,
1:37.0,G. Dragic misses free throw 2 of 2,,49-41,,
1:37.0,J. Richardson enters the game for T. Johnson,,49-41,,
1:35.0,,,49-41,,Defensive rebound by D. Cunningham
1:20.0,,,49-41,,L. Galloway misses 2-pt shot from 19 ft
1:20.0,Defensive rebound by D. Williams,,49-41,,
1:06.0,H. Whiteside misses 2-pt shot from 19 ft,,49-41,,
1:05.0,,,49-41,,Defensive rebound by S. Hill
0:57.0,,,49-41,,S. Hill misses 2-pt shot from 3 ft (block by H. Whiteside)
0:55.0,Defensive rebound by D. Williams,,49-41,,
0:49.0,G. Dragic misses 3-pt shot from 26 ft,,49-41,,
0:48.0,,,49-41,,Defensive rebound by D. Cunningham
0:39.0,,,49-41,,S. Hill misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by D. Williams,,49-41,,
0:20.0,J. Winslow misses 2-pt shot from 13 ft,,49-41,,
0:20.0,,,49-41,,Defensive rebound by D. Cunningham
0:02.0,,,49-44,3,D. Cunningham makes 3-pt shot from 24 ft (assist by B. Hield)
0:00.0,D. Williams misses 3-pt shot from 47 ft,,49-44,,
0:00.0,Offensive rebound by Team,,49-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,J. Richardson misses 2-pt shot from 3 ft,,49-44,,
11:40.0,,,49-44,,Defensive rebound by B. Hield
11:25.0,,,49-44,,A. Ajinca misses 2-pt shot from 2 ft
11:24.0,Defensive rebound by J. Winslow,,49-44,,
11:14.0,J. Winslow makes 2-pt shot from 2 ft,2,51-44,,
11:02.0,,,51-44,,J. Holiday misses 2-pt shot from 12 ft
11:01.0,,,51-44,,Offensive rebound by A. Davis
10:56.0,,,51-46,2,A. Davis makes 2-pt shot from 2 ft
10:34.0,J. Winslow misses 2-pt shot from 15 ft,,51-46,,
10:33.0,,,51-46,,Defensive rebound by J. Holiday
10:20.0,,,51-46,,B. Hield misses 3-pt shot from 26 ft
10:19.0,Defensive rebound by J. Richardson,,51-46,,
10:09.0,G. Dragic makes 2-pt shot from 17 ft,2,53-46,,
9:42.0,,,53-46,,Turnover by Team (shot clock)
9:25.0,H. Whiteside makes 2-pt shot from 8 ft (assist by J. Richardson),2,55-46,,
9:24.0,,,55-46,,New Orleans full timeout
9:08.0,,,55-46,,Turnover by A. Davis (lost ball; steal by J. McRoberts)
8:56.0,,,55-46,,Personal foul by J. Holiday (drawn by J. Richardson)
8:44.0,J. Winslow makes 2-pt shot from 2 ft,2,57-46,,
8:36.0,Personal foul by J. Richardson (drawn by A. Davis),,57-46,,
8:27.0,,,57-46,,J. Holiday misses 2-pt shot from 4 ft
8:27.0,Defensive rebound by H. Whiteside,,57-46,,
8:00.0,Turnover by G. Dragic (lost ball; steal by A. Ajinca),,57-46,,
7:56.0,Personal foul by H. Whiteside (drawn by A. Davis),,57-46,,
7:56.0,,,57-47,1,A. Davis makes free throw 1 of 2
7:56.0,,,57-48,1,A. Davis makes free throw 2 of 2
7:56.0,,,57-47,,S. Hill enters the game for B. Hield
7:56.0,,,57-47,,L. Galloway enters the game for A. Ajinca
7:32.0,G. Dragic misses 3-pt shot from 24 ft,,57-48,,
7:31.0,,,57-48,,Defensive rebound by L. Galloway
7:21.0,,,57-48,,L. Galloway misses 2-pt shot from 19 ft
7:20.0,Defensive rebound by H. Whiteside,,57-48,,
7:12.0,Turnover by G. Dragic (bad pass; steal by A. Davis),,57-48,,
7:08.0,,,57-48,,Offensive charge foul by A. Davis
7:08.0,,,57-48,,Turnover by A. Davis (offensive foul)
6:52.0,,,57-48,,Personal foul by D. Cunningham (drawn by H. Whiteside)
6:41.0,J. Richardson makes 3-pt shot from 26 ft (assist by J. McRoberts),3,60-48,,
6:28.0,,,60-51,3,A. Davis makes 3-pt shot from 26 ft (assist by J. Holiday)
6:06.0,J. McRoberts misses 2-pt shot from 7 ft,,60-51,,
6:05.0,,,60-51,,Defensive rebound by D. Cunningham
5:54.0,,,60-53,2,J. Holiday makes 2-pt shot from 2 ft
5:39.0,Turnover by G. Dragic (bad pass; steal by L. Galloway),,60-53,,
5:29.0,,,60-53,,L. Galloway misses 3-pt shot from 27 ft
5:28.0,Defensive rebound by G. Dragic,,60-53,,
5:17.0,G. Dragic makes 2-pt shot from 1 ft,2,62-53,,
5:03.0,,,62-53,,S. Hill misses 2-pt shot from 3 ft
5:03.0,Defensive rebound by J. McRoberts,,62-53,,
4:55.0,J. Winslow makes 2-pt shot from 3 ft (assist by G. Dragic),2,64-53,,
4:44.0,,,64-53,,Shooting foul by J. Winslow (drawn by A. Davis)
4:44.0,,,64-53,,A. Davis misses free throw 1 of 2
4:44.0,,,64-53,,Offensive rebound by Team
4:44.0,,,64-54,1,A. Davis makes free throw 2 of 2
4:44.0,,,64-53,,E. Moore enters the game for S. Hill
4:44.0,T. Johnson enters the game for J. Richardson,,64-53,,
4:43.0,Miami full timeout,,64-54,,
4:43.0,J. Johnson enters the game for J. McRoberts,,64-54,,
4:43.0,,,64-54,,T. Evans enters the game for J. Holiday
4:21.0,J. Johnson misses 2-pt shot from 6 ft,,64-54,,
4:20.0,,,64-54,,Defensive rebound by A. Davis
4:06.0,,,64-54,,T. Evans misses 2-pt shot from 4 ft (block by H. Whiteside)
4:04.0,Defensive rebound by J. Winslow,,64-54,,
4:00.0,G. Dragic makes 2-pt shot from 3 ft (assist by J. Winslow),2,66-54,,
3:38.0,,,66-54,,L. Galloway misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by H. Whiteside,,66-54,,
3:22.0,J. Winslow makes 2-pt shot at rim (assist by J. Johnson),2,68-54,,
3:22.0,,,68-54,,New Orleans full timeout
3:09.0,,,68-56,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans)
2:49.0,J. Winslow misses 2-pt shot from 8 ft,,68-56,,
2:48.0,Offensive rebound by H. Whiteside,,68-56,,
2:48.0,,,68-56,,Personal foul by L. Galloway (drawn by H. Whiteside)
2:33.0,J. Johnson misses 3-pt shot from 24 ft,,68-56,,
2:32.0,,,68-56,,Defensive rebound by A. Davis
2:13.0,,,68-59,3,T. Evans makes 3-pt shot from 31 ft (assist by D. Cunningham)
1:56.0,G. Dragic misses 2-pt shot from 4 ft (block by A. Davis),,68-59,,
1:56.0,Offensive rebound by Team,,68-59,,
1:56.0,J. Richardson enters the game for G. Dragic,,68-59,,
1:43.0,Turnover by Team (shot clock),,68-59,,
1:43.0,,,68-59,,S. Hill enters the game for D. Cunningham
1:25.0,,,68-59,,L. Galloway misses 3-pt shot from 26 ft
1:25.0,Defensive rebound by J. Johnson,,68-59,,
1:00.0,H. Whiteside misses 2-pt shot from 3 ft,,68-59,,
0:59.0,,,68-59,,Defensive rebound by T. Evans
0:56.0,,,68-59,,Turnover by T. Evans (bad pass)
0:39.0,T. Johnson misses 2-pt shot from 18 ft,,68-59,,
0:39.0,,,68-59,,Defensive rebound by A. Davis
0:27.0,,,68-59,,T. Evans misses 2-pt shot from 1 ft
0:27.0,,,68-59,,Offensive rebound by A. Davis
0:26.0,,,68-61,2,A. Davis makes 2-pt shot from 1 ft
0:11.0,T. Johnson misses 2-pt shot from 20 ft,,68-61,,
0:11.0,,,68-61,,Defensive rebound by A. Davis
0:00.0,,,68-64,3,A. Davis makes 3-pt shot from 25 ft (assist by T. Evans)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,68-64,,T. Evans misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by J. Johnson,,68-64,,
11:23.0,J. Johnson misses 2-pt shot from 2 ft,,68-64,,
11:22.0,,,68-64,,Defensive rebound by A. Ajinca
11:22.0,,,68-64,,Shooting foul by T. Johnson (drawn by T. Evans)
11:22.0,,,68-65,1,T. Evans makes free throw 1 of 2
11:22.0,,,68-66,1,T. Evans makes free throw 2 of 2
11:01.0,T. Johnson misses 2-pt shot from 3 ft,,68-66,,
11:01.0,,,68-66,,Defensive rebound by E. Moore
10:52.0,,,68-69,3,S. Hill makes 3-pt shot from 28 ft (assist by T. Evans)
10:23.0,Turnover by Team (shot clock),,68-69,,
10:10.0,,,68-69,,E. Moore misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by J. Johnson,,68-69,,
9:56.0,Jump ball: J. Johnson vs. E. Moore (J. Richardson gains possession),,,,Jump ball: J. Johnson vs. E. Moore (J. Richardson gains possession)
9:46.0,Turnover by W. Reed (lost ball; steal by S. Hill),,68-69,,
9:32.0,,,68-69,,T. Evans misses 2-pt shot from 19 ft
9:31.0,Defensive rebound by W. Reed,,68-69,,
9:17.0,J. Johnson makes 3-pt shot from 26 ft (assist by T. Johnson),3,71-69,,
9:01.0,,,71-69,,E. Moore misses 2-pt shot from 2 ft
8:58.0,,,71-69,,Offensive rebound by A. Ajinca
8:54.0,,,71-69,,A. Ajinca misses 2-pt shot from 1 ft
8:52.0,Defensive rebound by J. Johnson,,71-69,,
8:52.0,,,71-69,,Personal foul by L. Galloway (drawn by J. Richardson)
8:52.0,Official timeout,,71-69,,
8:52.0,J. Richardson makes free throw 1 of 2,1,72-69,,
8:52.0,J. Richardson makes free throw 2 of 2,1,73-69,,
8:52.0,,,71-69,,A. Davis enters the game for A. Ajinca
8:43.0,Personal foul by J. Richardson (drawn by A. Davis),,73-69,,
8:30.0,,,73-69,,T. Evans misses 2-pt shot from 3 ft
8:29.0,Defensive rebound by J. Johnson,,73-69,,
8:13.0,J. Richardson misses 2-pt shot from 4 ft,,73-69,,
8:13.0,,,73-69,,Defensive rebound by T. Evans
8:09.0,,,73-69,,Turnover by S. Hill (bad pass)
8:09.0,,,73-69,,J. Holiday enters the game for T. Evans
7:54.0,T. Johnson makes 2-pt shot from 11 ft,2,75-69,,
7:34.0,,,75-69,,E. Moore misses 2-pt shot from 20 ft
7:34.0,Defensive rebound by W. Reed,,75-69,,
7:17.0,J. Johnson makes 2-pt shot from 14 ft,2,77-69,,
7:03.0,,,77-69,,J. Holiday misses 3-pt shot from 26 ft
7:03.0,Defensive rebound by W. Reed,,77-69,,
6:41.0,J. Richardson misses 3-pt shot from 26 ft,,77-69,,
6:40.0,,,77-69,,Defensive rebound by A. Davis
6:25.0,,,77-69,,J. Holiday misses 2-pt shot from 3 ft
6:25.0,,,77-69,,Offensive rebound by A. Davis
6:21.0,Personal foul by W. Reed (drawn by A. Davis),,77-69,,
6:21.0,J. Winslow enters the game for J. Johnson,,77-69,,
6:21.0,H. Whiteside enters the game for L. Babbitt,,77-69,,
6:21.0,G. Dragic enters the game for W. Reed,,77-69,,
6:21.0,,,77-69,,New Orleans full timeout
6:14.0,,,77-71,2,L. Galloway makes 2-pt shot from 16 ft (assist by A. Davis)
5:52.0,J. Winslow misses 2-pt shot from 20 ft,,77-71,,
5:51.0,,,77-71,,Defensive rebound by A. Davis
5:44.0,,,77-71,,S. Hill misses 2-pt shot from 3 ft
5:44.0,Defensive rebound by H. Whiteside,,77-71,,
5:32.0,Turnover by G. Dragic (traveling),,77-71,,
5:32.0,J. Johnson enters the game for J. Richardson,,77-71,,
5:20.0,,,77-71,,Offensive foul by S. Hill
5:20.0,,,77-71,,Turnover by S. Hill (offensive foul)
5:08.0,Turnover by Team (3 sec),,77-71,,
4:41.0,,,77-74,3,E. Moore makes 3-pt shot from 26 ft
4:38.0,Offensive foul by J. Johnson,,77-74,,
4:38.0,Turnover by J. Johnson (offensive foul),,77-74,,
4:38.0,,,77-74,,D. Cunningham enters the game for S. Hill
4:28.0,,,77-74,,J. Holiday misses 2-pt shot from 6 ft
4:27.0,,,77-74,,Offensive rebound by A. Davis
4:27.0,,,77-76,2,A. Davis makes 2-pt shot from 2 ft
4:27.0,Miami full timeout,,77-76,,
4:04.0,J. Winslow misses 2-pt shot from 6 ft (block by E. Moore),,77-76,,
4:02.0,,,77-76,,Defensive rebound by E. Moore
3:49.0,,,77-79,3,L. Galloway makes 3-pt shot from 26 ft (assist by J. Holiday)
3:31.0,Turnover by H. Whiteside (lost ball; steal by J. Holiday),,77-79,,
3:28.0,,,77-79,,Shooting foul by T. Johnson (drawn by J. Holiday)
3:28.0,,,77-80,1,J. Holiday makes free throw 1 of 2
3:28.0,,,77-81,1,J. Holiday makes free throw 2 of 2
3:13.0,J. Johnson misses 2-pt shot from 4 ft,,77-81,,
3:11.0,Offensive rebound by H. Whiteside,,77-81,,
3:08.0,H. Whiteside makes 2-pt shot from 3 ft,2,79-81,,
2:52.0,,,79-81,,A. Davis misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by J. Johnson,,79-81,,
2:33.0,H. Whiteside misses 2-pt shot from 8 ft,,79-81,,
2:32.0,Offensive rebound by J. Johnson,,79-81,,
2:27.0,J. Johnson misses 2-pt shot from 3 ft,,79-81,,
2:24.0,,,79-81,,Defensive rebound by J. Holiday
2:19.0,,,79-81,,D. Cunningham misses 2-pt shot from 3 ft
2:16.0,Defensive rebound by G. Dragic,,79-81,,
2:08.0,T. Johnson makes 2-pt shot from 18 ft (assist by G. Dragic),2,81-81,,
1:59.0,,,81-83,2,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday)
