time,San Antonio,pts.away,score,pts.home,Memphis
3:57.0,Shooting foul by J. Green (drawn by L. Aldridge),,58-72,,
3:57.0,L. Aldridge makes free throw 1 of 1,1,59-72,,
3:57.0,,,58-72,,M. Conley enters the game for V. Carter
3:40.0,,,59-72,,Shooting foul by D. Green (drawn by M. Gasol)
3:40.0,,,59-73,1,M. Gasol makes free throw 1 of 2
3:40.0,,,59-74,1,M. Gasol makes free throw 2 of 2
3:23.0,,,59-74,,Personal foul by J. Green (drawn by P. Gasol)
3:10.0,T. Parker misses 2-pt shot from 7 ft,,59-74,,
3:09.0,Offensive rebound by L. Aldridge,,59-74,,
3:07.0,L. Aldridge makes 2-pt shot at rim,2,61-74,,
2:50.0,,,61-77,3,M. Conley makes 3-pt shot from 25 ft (assist by A. Harrison)
2:31.0,K. Leonard misses 3-pt shot from 25 ft,,61-77,,
2:31.0,,,61-77,,Defensive rebound by M. Gasol
2:25.0,,,61-79,2,J. Green makes 2-pt shot at rim (assist by M. Conley)
2:07.0,D. Green misses 3-pt shot from 23 ft,,61-79,,
2:07.0,Offensive rebound by P. Gasol,,61-79,,
2:06.0,,,61-79,,Personal foul by J. Ennis (drawn by P. Gasol)
2:06.0,,,61-79,,Memphis full timeout
2:06.0,P. Gasol makes free throw 1 of 2,1,62-79,,
2:06.0,P. Gasol misses free throw 2 of 2,,62-79,,
2:06.0,P. Mills enters the game for T. Parker,,61-79,,
2:05.0,,,62-79,,Defensive rebound by J. Green
1:50.0,,,62-79,,M. Gasol misses 2-pt shot from 15 ft
1:50.0,Defensive rebound by Team,,62-79,,
1:50.0,D. Dedmon enters the game for P. Gasol,,62-79,,
1:50.0,,,62-79,,W. Selden enters the game for J. Ennis
1:29.0,Shooting foul by M. Gasol (drawn by L. Aldridge),,62-79,,
1:29.0,L. Aldridge misses free throw 1 of 2,,62-79,,
1:29.0,Offensive rebound by Team,,62-79,,
1:29.0,L. Aldridge makes free throw 2 of 2,1,63-79,,
1:09.0,,,63-79,,A. Harrison misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by L. Aldridge,,63-79,,
1:03.0,Turnover by K. Leonard (traveling),,63-79,,
0:51.0,,,63-81,2,M. Conley makes 2-pt shot from 12 ft (assist by M. Gasol)
0:28.0,D. Green misses 3-pt shot from 25 ft,,63-81,,
0:27.0,Offensive rebound by L. Aldridge,,63-81,,
0:24.0,Turnover by L. Aldridge (step out of bounds),,63-81,,
0:02.0,,,63-81,,M. Gasol misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by Team,,63-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,63-81,,Z. Randolph misses 2-pt shot from 19 ft
11:36.0,Defensive rebound by D. Green,,63-81,,
11:26.0,K. Leonard makes 2-pt shot at rim,2,65-81,,
11:03.0,,,65-81,,Z. Randolph misses 2-pt shot from 4 ft
11:02.0,,,65-81,,Offensive rebound by J. Green
10:59.0,,,65-81,,Memphis full timeout
10:55.0,Personal foul by D. Green (drawn by Z. Randolph),,65-81,,
10:42.0,,,65-81,,J. Green misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by P. Mills,,65-81,,
10:34.0,Turnover by P. Mills (dbl dribble),,65-81,,
10:20.0,,,65-83,2,M. Conley makes 2-pt shot from 11 ft
10:06.0,D. Green misses 3-pt shot from 24 ft,,65-83,,
10:05.0,Offensive rebound by D. Green,,65-83,,
10:04.0,San Antonio full timeout,,65-83,,
10:04.0,D. Lee enters the game for L. Aldridge,,65-83,,
10:04.0,J. Simmons enters the game for K. Leonard,,65-83,,
10:01.0,D. Green misses 2-pt shot from 15 ft,,65-83,,
10:01.0,,,65-83,,Defensive rebound by W. Selden
9:52.0,,,65-83,,Turnover by M. Conley (bad pass)
9:52.0,K. Anderson enters the game for D. Green,,65-83,,
9:44.0,D. Bertans misses 3-pt shot from 26 ft,,65-83,,
9:43.0,,,65-83,,Defensive rebound by V. Carter
9:21.0,,,65-85,2,J. Green makes 2-pt shot from 8 ft
9:07.0,J. Simmons makes 2-pt shot from 14 ft,2,67-85,,
8:46.0,,,67-87,2,M. Conley makes 2-pt shot from 16 ft
8:36.0,Offensive foul by D. Lee,,67-87,,
8:36.0,Turnover by D. Lee (offensive foul),,67-87,,
8:20.0,,,67-89,2,W. Selden makes 2-pt shot at rim
8:02.0,K. Anderson makes 2-pt shot from 3 ft,2,69-89,,
7:32.0,,,69-89,,Z. Randolph misses 2-pt shot from 6 ft
7:30.0,Defensive rebound by D. Lee,,69-89,,
7:21.0,D. Lee misses 2-pt shot from 1 ft,,69-89,,
7:19.0,,,69-89,,Defensive rebound by J. Green
7:14.0,,,69-89,,Shooting foul by P. Mills (drawn by M. Conley)
7:14.0,,,69-90,1,M. Conley makes free throw 1 of 2
7:14.0,,,69-91,1,M. Conley makes free throw 2 of 2
7:14.0,D. Murray enters the game for P. Mills,,69-90,,
7:14.0,,,69-90,,M. Gasol enters the game for J. Green
7:06.0,,,69-91,,Personal foul by W. Selden (drawn by J. Simmons)
6:58.0,K. Anderson misses 2-pt shot from 10 ft,,69-91,,
6:57.0,Offensive rebound by K. Anderson,,69-91,,
6:53.0,J. Simmons makes 3-pt shot from 23 ft (assist by K. Anderson),3,72-91,,
6:31.0,,,72-91,,M. Conley misses 2-pt shot from 2 ft
6:28.0,Defensive rebound by D. Murray,,72-91,,
6:23.0,J. Simmons makes 3-pt shot from 26 ft (assist by D. Murray),3,75-91,,
6:16.0,,,75-91,,Memphis full timeout
6:16.0,,,75-91,,J. Green enters the game for Z. Randolph
6:16.0,,,75-91,,J. Ennis enters the game for M. Conley
6:16.0,,,75-91,,A. Harrison enters the game for W. Selden
6:02.0,,,75-93,2,J. Ennis makes 2-pt shot from 1 ft (assist by A. Harrison)
5:52.0,Turnover by J. Simmons (lost ball; steal by J. Ennis),,75-93,,
5:41.0,,,75-93,,A. Harrison misses 2-pt shot at rim
5:40.0,,,75-93,,Offensive rebound by A. Harrison
5:40.0,,,75-93,,A. Harrison misses 2-pt shot from 2 ft
5:38.0,Defensive rebound by D. Murray,,75-93,,
5:35.0,Turnover by D. Murray (traveling),,75-93,,
5:18.0,,,75-95,2,M. Gasol makes 2-pt shot from 20 ft (assist by V. Carter)
5:06.0,J. Simmons misses 3-pt shot from 25 ft,,75-95,,
5:05.0,,,75-95,,Defensive rebound by J. Ennis
5:02.0,Personal foul by D. Lee (drawn by M. Gasol),,75-95,,
4:40.0,,,75-95,,V. Carter misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by J. Simmons,,75-95,,
4:38.0,,,75-95,,Personal foul by J. Green (drawn by D. Bertans)
4:38.0,D. Dedmon enters the game for D. Lee,,75-95,,
4:25.0,D. Murray makes 2-pt shot from 6 ft,2,77-95,,
4:25.0,Shooting foul by M. Gasol (drawn by D. Murray),,77-95,,
4:25.0,D. Murray makes free throw 1 of 1,1,78-95,,
4:25.0,,,77-95,,M. Conley enters the game for J. Green
4:15.0,Personal foul by J. Simmons (drawn by A. Harrison),,78-95,,
4:02.0,,,78-95,,M. Conley misses 3-pt shot from 26 ft
3:59.0,,,78-95,,Offensive rebound by M. Gasol
3:44.0,,,78-98,3,J. Ennis makes 3-pt shot from 23 ft (assist by M. Conley)
3:28.0,D. Bertans makes 3-pt shot from 26 ft (assist by K. Anderson),3,81-98,,
3:10.0,,,81-98,,Shooting foul by D. Murray (drawn by M. Conley)
3:10.0,,,81-99,1,M. Conley makes free throw 1 of 3
3:10.0,,,81-100,1,M. Conley makes free throw 2 of 3
3:10.0,,,81-101,1,M. Conley makes free throw 3 of 3
3:00.0,,,81-101,,W. Baldwin enters the game for M. Conley
2:54.0,K. Anderson makes 2-pt shot at rim,2,83-101,,
2:33.0,,,83-101,,Turnover by J. Ennis (lost ball)
2:33.0,San Antonio full timeout,,83-101,,
2:33.0,,,83-101,,W. Selden enters the game for V. Carter
2:14.0,D. Dedmon makes 2-pt shot from 1 ft (assist by J. Simmons),2,85-101,,
1:59.0,,,85-101,,Shooting foul by D. Murray (drawn by J. Ennis)
1:59.0,,,85-102,1,J. Ennis makes free throw 1 of 2
1:59.0,,,85-103,1,J. Ennis makes free throw 2 of 2
1:59.0,,,85-102,,D. Davis enters the game for M. Gasol
1:50.0,,,85-103,,J. Martin enters the game for J. Ennis
1:47.0,D. Bertans misses 2-pt shot from 12 ft,,85-103,,
1:47.0,Offensive rebound by D. Dedmon,,85-103,,
1:38.0,,,85-103,,Personal foul by J. Martin (drawn by D. Bertans)
1:35.0,Shooting foul by W. Baldwin (drawn by D. Murray),,85-103,,
1:35.0,D. Murray misses free throw 1 of 2,,85-103,,
1:35.0,Offensive rebound by Team,,85-103,,
1:35.0,D. Murray makes free throw 2 of 2,1,86-103,,
1:16.0,,,86-103,,D. Davis misses 2-pt shot from 1 ft
1:16.0,Defensive rebound by D. Dedmon,,86-103,,
1:14.0,D. Bertans makes 3-pt shot from 25 ft (assist by J. Simmons),3,89-103,,
1:07.0,Personal foul by D. Murray (drawn by A. Harrison),,89-103,,
1:07.0,,,89-104,1,A. Harrison makes free throw 1 of 2
1:07.0,,,89-105,1,A. Harrison makes free throw 2 of 2
1:02.0,K. Anderson makes 2-pt shot from 14 ft,2,91-105,,
1:02.0,Shooting foul by W. Selden (drawn by K. Anderson),,91-105,,
1:02.0,K. Anderson makes free throw 1 of 1,1,92-105,,
0:54.0,,,92-105,,Turnover by A. Harrison (bad pass)
0:45.0,Shooting foul by A. Harrison (drawn by D. Dedmon),,92-105,,
0:45.0,D. Dedmon misses free throw 1 of 2,,92-105,,
0:45.0,Offensive rebound by Team,,92-105,,
0:45.0,D. Dedmon misses free throw 2 of 2,,92-105,,
