time,Oklahoma City,pts.away,score,pts.home,Phoenix
8:01.0,S. Adams misses 2-pt shot from 4 ft,,2-10,,
7:59.0,,,2-10,,Defensive rebound by T. Warren
7:52.0,,,2-10,,T. Warren misses 2-pt shot from 5 ft
7:52.0,,,2-10,,Offensive rebound by T. Warren
7:49.0,,,2-12,2,T. Warren makes 2-pt shot from 2 ft
7:30.0,V. Oladipo misses 2-pt shot from 19 ft,,2-12,,
7:29.0,,,2-12,,Defensive rebound by A. Len
7:15.0,,,2-12,,M. Chriss misses 2-pt shot at rim (block by T. Gibson)
7:12.0,,,2-12,,Offensive rebound by A. Len
7:12.0,,,2-14,2,A. Len makes 2-pt shot from 1 ft
6:57.0,T. Gibson makes 2-pt shot from 4 ft (assist by R. Westbrook),2,4-14,,
6:36.0,,,4-14,,A. Len misses 2-pt shot from 10 ft
6:34.0,Defensive rebound by T. Gibson,,4-14,,
6:29.0,Shooting foul by T. Warren (drawn by S. Adams),,4-14,,
6:29.0,S. Adams misses free throw 1 of 2,,4-14,,
6:29.0,Offensive rebound by Team,,4-14,,
6:29.0,S. Adams makes free throw 2 of 2,1,5-14,,
6:09.0,,,5-16,2,A. Len makes 2-pt shot from 2 ft
6:02.0,Shooting foul by M. Chriss (drawn by V. Oladipo),,5-16,,
6:02.0,V. Oladipo makes free throw 1 of 2,1,6-16,,
6:02.0,V. Oladipo misses free throw 2 of 2,,6-16,,
6:02.0,E. Kanter enters the game for S. Adams,,6-16,,
6:01.0,,,6-16,,Defensive rebound by A. Len
5:47.0,,,6-18,2,T. Warren makes 2-pt shot at rim
5:33.0,T. Gibson makes 2-pt shot at rim (assist by R. Westbrook),2,8-18,,
5:17.0,,,8-20,2,T. Warren makes 2-pt shot from 10 ft (assist by T. Ulis)
5:01.0,D. McDermott misses 3-pt shot from 25 ft,,8-20,,
5:01.0,Offensive rebound by R. Westbrook,,8-20,,
4:58.0,,,8-20,,Personal foul by A. Len (drawn by R. Westbrook)
4:58.0,S. Adams enters the game for T. Gibson,,8-20,,
4:52.0,R. Westbrook misses 3-pt shot from 25 ft,,8-20,,
4:51.0,Offensive rebound by S. Adams,,8-20,,
4:44.0,Shooting foul by D. Booker (drawn by V. Oladipo),,8-20,,
4:44.0,V. Oladipo misses free throw 1 of 2,,8-20,,
4:44.0,Offensive rebound by Team,,8-20,,
4:44.0,V. Oladipo misses free throw 2 of 2,,8-20,,
4:44.0,Offensive rebound by E. Kanter,,8-20,,
4:44.0,,,8-20,,A. Williams enters the game for A. Len
4:41.0,E. Kanter misses 2-pt shot at rim,,8-20,,
4:41.0,Offensive rebound by E. Kanter,,8-20,,
4:41.0,Shooting foul by T. Warren (drawn by E. Kanter),,8-20,,
4:41.0,E. Kanter makes free throw 1 of 2,1,9-20,,
4:41.0,E. Kanter makes free throw 2 of 2,1,10-20,,
4:29.0,,,10-22,2,A. Williams makes 2-pt shot from 2 ft (assist by D. Booker)
4:16.0,S. Christon enters the game for V. Oladipo,,10-22,,
4:13.0,E. Kanter misses 3-pt shot from 23 ft,,10-22,,
4:12.0,Offensive rebound by R. Westbrook,,10-22,,
4:04.0,D. McDermott misses 3-pt shot from 24 ft,,10-22,,
4:04.0,Offensive rebound by E. Kanter,,10-22,,
4:01.0,E. Kanter makes 2-pt shot from 2 ft,2,12-22,,
3:49.0,,,12-22,,D. Booker misses 2-pt shot from 13 ft
3:47.0,Defensive rebound by S. Adams,,12-22,,
3:42.0,R. Westbrook misses 2-pt shot from 3 ft,,12-22,,
3:41.0,Offensive rebound by D. McDermott,,12-22,,
3:41.0,D. McDermott makes 2-pt shot at rim,2,14-22,,
3:41.0,,,14-22,,Phoenix full timeout
3:41.0,,,14-22,,J. Dudley enters the game for M. Chriss
3:28.0,,,14-22,,J. Dudley misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by S. Christon,,14-22,,
3:14.0,Turnover by R. Westbrook (lost ball; steal by T. Ulis),,14-22,,
3:11.0,,,14-24,2,T. Warren makes 2-pt shot from 2 ft (assist by D. Booker)
3:11.0,,,14-24,,Shooting foul by D. McDermott
3:11.0,,,14-25,1,T. Warren makes free throw 1 of 1
2:57.0,R. Westbrook misses 2-pt shot from 2 ft (block by A. Williams),,14-25,,
2:56.0,,,14-25,,Defensive rebound by J. Dudley
2:43.0,,,14-25,,T. Ulis misses 3-pt shot from 27 ft
2:43.0,,,14-25,,Offensive rebound by T. Warren
2:38.0,,,14-25,,J. Dudley misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by R. Westbrook,,14-25,,
2:28.0,,,14-25,,Def 3 sec tech foul by A. Williams
2:28.0,R. Westbrook makes technical free throw,1,15-25,,
2:28.0,N. Cole enters the game for R. Westbrook,,15-25,,
2:28.0,,,15-25,,D. Jones enters the game for T. Ulis
2:18.0,S. Christon makes 2-pt shot from 16 ft,2,17-25,,
1:59.0,,,17-27,2,D. Booker makes 2-pt shot from 2 ft
1:42.0,Shooting foul by A. Williams (drawn by E. Kanter),,17-27,,
1:42.0,E. Kanter makes free throw 1 of 2,1,18-27,,
1:42.0,E. Kanter makes free throw 2 of 2,1,19-27,,
1:25.0,,,19-27,,Shooting foul by S. Christon (drawn by D. Booker)
1:25.0,,,19-27,,D. Booker misses free throw 1 of 2
1:25.0,,,19-27,,Offensive rebound by Team
1:25.0,,,19-28,1,D. Booker makes free throw 2 of 2
1:01.0,S. Christon misses 2-pt shot from 18 ft,,19-28,,
1:01.0,Offensive rebound by Team,,19-28,,
1:01.0,Turnover by Team (shot clock),,19-28,,
0:44.0,,,19-28,,D. Booker misses 2-pt shot from 19 ft
0:43.0,,,19-28,,Offensive rebound by A. Williams
0:40.0,,,19-28,,D. Booker misses 2-pt shot from 1 ft
0:40.0,,,19-28,,Offensive rebound by D. Jones
0:40.0,,,19-30,2,D. Jones makes 2-pt shot at rim
0:24.0,D. McDermott misses 2-pt shot from 16 ft,,19-30,,
0:22.0,,,19-30,,Defensive rebound by D. Booker
0:02.0,,,19-32,2,D. Booker makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,19-32,,Turnover by J. Dudley (bad pass; steal by N. Cole)
11:20.0,E. Kanter makes 2-pt shot from 3 ft,2,21-32,,
11:03.0,,,21-34,2,T. Ulis makes 2-pt shot from 12 ft
11:03.0,Shooting block foul by N. Cole (drawn by T. Ulis),,21-34,,
11:03.0,,,21-35,1,T. Ulis makes free throw 1 of 1
10:45.0,E. Kanter makes 2-pt shot from 2 ft (assist by V. Oladipo),2,23-35,,
10:25.0,,,23-35,,A. Williams misses 2-pt shot from 2 ft
10:23.0,Defensive rebound by E. Kanter,,23-35,,
10:16.0,V. Oladipo makes 2-pt shot at rim,2,25-35,,
10:05.0,Personal foul by N. Cole (drawn by T. Ulis),,25-35,,
9:52.0,,,25-35,,Shooting foul by E. Kanter (drawn by A. Williams)
9:52.0,,,25-36,1,A. Williams makes free throw 1 of 2
9:52.0,,,25-37,1,A. Williams makes free throw 2 of 2
9:52.0,,,25-36,,D. Bender enters the game for R. Price
9:33.0,E. Kanter misses 2-pt shot from 19 ft,,25-37,,
9:33.0,,,25-37,,Defensive rebound by Team
9:28.0,,,25-39,2,A. Williams makes 2-pt shot from 1 ft (assist by T. Ulis)
9:13.0,D. Sabonis makes 2-pt shot from 1 ft,2,27-39,,
8:57.0,,,27-39,,Shooting foul by S. Christon (drawn by A. Williams)
8:57.0,Official timeout,,27-39,,
8:57.0,,,27-40,1,A. Williams makes free throw 1 of 2
8:57.0,,,27-40,,A. Williams misses free throw 2 of 2
8:57.0,R. Westbrook enters the game for S. Christon,,27-39,,
8:57.0,D. McDermott enters the game for N. Cole,,27-39,,
8:56.0,Defensive rebound by R. Westbrook,,27-40,,
8:45.0,E. Kanter misses 2-pt shot from 2 ft (block by D. Bender),,27-40,,
8:44.0,,,27-40,,Defensive rebound by J. Dudley
8:40.0,,,27-40,,Shooting foul by V. Oladipo (drawn by D. Jones)
8:40.0,,,27-40,,D. Jones misses free throw 1 of 2
8:40.0,,,27-40,,Offensive rebound by Team
8:40.0,,,27-41,1,D. Jones makes free throw 2 of 2
8:26.0,D. Sabonis makes 3-pt shot from 24 ft (assist by V. Oladipo),3,30-41,,
8:08.0,,,30-43,2,D. Jones makes 2-pt shot from 2 ft (assist by J. Dudley)
7:54.0,V. Oladipo misses 2-pt shot from 15 ft,,30-43,,
7:54.0,,,30-43,,Defensive rebound by J. Dudley
7:44.0,,,30-45,2,D. Bender makes 2-pt shot from 2 ft
7:35.0,,,30-45,,Personal foul by T. Ulis (drawn by R. Westbrook)
7:33.0,,,30-45,,Personal foul by T. Ulis (drawn by R. Westbrook)
7:20.0,V. Oladipo makes 2-pt shot from 2 ft,2,32-45,,
7:10.0,,,32-47,2,T. Ulis makes 2-pt shot from 3 ft
7:10.0,,,32-47,,Shooting foul by E. Kanter (drawn by T. Ulis)
7:10.0,,,32-48,1,T. Ulis makes free throw 1 of 1
7:10.0,S. Adams enters the game for E. Kanter,,32-47,,
6:46.0,S. Adams makes 2-pt shot from 2 ft (assist by V. Oladipo),2,34-48,,
6:41.0,,,34-48,,Turnover by T. Ulis (bad pass)
6:31.0,R. Westbrook misses 3-pt shot from 26 ft,,34-48,,
6:31.0,,,34-48,,Defensive rebound by A. Williams
6:22.0,,,34-50,2,J. Dudley makes 2-pt shot from 3 ft (assist by T. Ulis)
6:05.0,D. Sabonis misses 3-pt shot from 25 ft,,34-50,,
6:05.0,,,34-50,,Defensive rebound by D. Bender
5:57.0,,,34-53,3,J. Dudley makes 3-pt shot from 25 ft (assist by D. Bender)
5:57.0,Oklahoma City full timeout,,34-53,,
5:57.0,J. Grant enters the game for D. Sabonis,,34-53,,
5:57.0,,,34-53,,D. Booker enters the game for T. Ulis
5:48.0,R. Westbrook misses 2-pt shot from 3 ft (block by D. Jones),,34-53,,
5:48.0,Offensive rebound by Team,,34-53,,
5:38.0,R. Westbrook misses 2-pt shot from 1 ft,,34-53,,
5:37.0,Offensive rebound by S. Adams,,34-53,,
5:37.0,S. Adams makes 2-pt shot at rim,2,36-53,,
5:25.0,,,36-53,,Shooting foul by R. Westbrook (drawn by A. Williams)
5:25.0,,,36-54,1,A. Williams makes free throw 1 of 2
5:25.0,,,36-55,1,A. Williams makes free throw 2 of 2
5:08.0,J. Grant makes 3-pt shot from 23 ft (assist by R. Westbrook),3,39-55,,
4:54.0,,,39-58,3,J. Dudley makes 3-pt shot from 25 ft (assist by A. Williams)
4:32.0,R. Westbrook misses 3-pt shot from 25 ft,,39-58,,
4:32.0,Offensive rebound by S. Adams,,39-58,,
4:21.0,D. McDermott makes 3-pt shot from 26 ft (assist by S. Adams),3,42-58,,
4:05.0,,,42-60,2,A. Williams makes 2-pt shot from 3 ft (assist by D. Booker)
3:52.0,Shooting foul by D. Booker (drawn by S. Adams),,42-60,,
3:52.0,S. Adams misses free throw 1 of 2,,42-60,,
3:52.0,Offensive rebound by Team,,42-60,,
3:52.0,S. Adams makes free throw 2 of 2,1,43-60,,
3:52.0,,,42-60,,T. Warren enters the game for D. Bender
3:32.0,,,43-62,2,T. Warren makes 2-pt shot from 19 ft
3:20.0,,,43-62,,Personal foul by D. Jones (drawn by R. Westbrook)
3:08.0,V. Oladipo misses 3-pt shot from 25 ft,,43-62,,
3:08.0,,,43-62,,Defensive rebound by T. Warren
2:51.0,,,43-64,2,D. Jones makes 2-pt shot from 1 ft (assist by A. Williams)
2:39.0,J. Grant misses 3-pt shot from 23 ft,,43-64,,
2:38.0,,,43-64,,Defensive rebound by T. Warren
2:24.0,,,43-64,,T. Warren misses 2-pt shot from 10 ft
2:23.0,Defensive rebound by V. Oladipo,,43-64,,
2:14.0,R. Westbrook misses 3-pt shot from 24 ft,,43-64,,
2:14.0,,,43-64,,Defensive rebound by T. Warren
2:06.0,,,43-67,3,D. Booker makes 3-pt shot from 25 ft
2:04.0,Oklahoma City full timeout,,43-67,,
2:04.0,,,43-67,,Phoenix full timeout
2:04.0,,,43-67,,M. Chriss enters the game for A. Williams
2:04.0,,,43-67,,T. Ulis enters the game for J. Dudley
2:04.0,,,43-67,,A. Len enters the game for D. Jones
1:50.0,S. Adams misses 2-pt shot from 9 ft,,43-67,,
1:49.0,,,43-67,,Defensive rebound by T. Warren
1:32.0,,,43-67,,D. Booker misses 2-pt shot from 3 ft
1:32.0,,,43-67,,Offensive rebound by A. Len
1:32.0,,,43-67,,Shooting foul by V. Oladipo (drawn by A. Len)
1:32.0,,,43-68,1,A. Len makes free throw 1 of 2
1:32.0,,,43-69,1,A. Len makes free throw 2 of 2
1:32.0,S. Christon enters the game for V. Oladipo,,43-68,,
1:20.0,Turnover by R. Westbrook (bad pass; steal by T. Ulis),,43-69,,
1:08.0,,,43-69,,A. Len misses 2-pt shot from 2 ft (block by R. Westbrook)
1:06.0,,,43-69,,Offensive rebound by T. Warren
1:03.0,,,43-71,2,T. Warren makes 2-pt shot from 20 ft
0:50.0,R. Westbrook makes 2-pt shot from 17 ft,2,45-71,,
0:35.0,,,45-71,,A. Len misses 2-pt shot from 3 ft
0:33.0,Defensive rebound by J. Grant,,45-71,,
0:28.0,R. Westbrook makes 2-pt shot from 2 ft,2,47-71,,
0:28.0,Shooting foul by A. Len (drawn by R. Westbrook),,47-71,,
0:28.0,R. Westbrook makes free throw 1 of 1,1,48-71,,
0:03.0,,,48-71,,D. Booker misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by R. Westbrook,,48-71,,
0:00.0,D. McDermott misses 3-pt shot at rim,,48-71,,
0:00.0,Offensive rebound by Team,,48-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,48-71,,D. Booker misses 2-pt shot from 22 ft
11:44.0,Defensive rebound by T. Gibson,,48-71,,
11:28.0,T. Gibson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,50-71,,
11:07.0,,,50-71,,A. Len misses 2-pt shot from 16 ft
11:06.0,Defensive rebound by D. McDermott,,50-71,,
10:57.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,52-71,,
10:48.0,Personal foul by R. Westbrook (drawn by T. Ulis),,52-71,,
10:38.0,,,52-71,,D. Booker misses 2-pt shot from 12 ft
10:37.0,Defensive rebound by T. Gibson,,52-71,,
10:36.0,V. Oladipo makes 2-pt shot from 2 ft (assist by R. Westbrook),2,54-71,,
10:36.0,Shooting foul by D. Booker (drawn by V. Oladipo),,54-71,,
10:36.0,V. Oladipo misses free throw 1 of 1,,54-71,,
10:36.0,,,54-71,,A. Williams enters the game for M. Chriss
10:36.0,,,54-71,,J. Dudley enters the game for A. Len
10:35.0,,,54-71,,Defensive rebound by Team
10:20.0,,,54-73,2,T. Warren makes 2-pt shot from 2 ft
10:06.0,D. McDermott makes 2-pt shot from 11 ft,2,56-73,,
9:46.0,,,56-75,2,T. Ulis makes 2-pt shot from 18 ft
9:34.0,T. Gibson misses 2-pt shot from 17 ft,,56-75,,
9:34.0,,,56-75,,Defensive rebound by D. Booker
9:24.0,,,56-75,,J. Dudley misses 2-pt shot from 2 ft
9:22.0,Defensive rebound by S. Adams,,56-75,,
9:18.0,V. Oladipo misses 3-pt shot from 25 ft,,56-75,,
9:14.0,,,56-75,,Defensive rebound by T. Warren
9:07.0,,,56-75,,A. Williams misses 2-pt shot from 6 ft
9:06.0,Defensive rebound by V. Oladipo,,56-75,,
8:54.0,T. Gibson makes 2-pt shot from 2 ft,2,58-75,,
8:54.0,,,58-75,,Phoenix full timeout
8:32.0,,,58-75,,Shooting foul by D. McDermott (drawn by T. Ulis)
8:32.0,,,58-76,1,T. Ulis makes free throw 1 of 2
8:32.0,,,58-77,1,T. Ulis makes free throw 2 of 2
8:16.0,R. Westbrook makes 3-pt shot from 25 ft,3,61-77,,
7:55.0,,,61-77,,Turnover by A. Williams (offensive foul)
7:55.0,,,61-77,,Offensive foul by A. Williams
7:39.0,T. Gibson misses 2-pt shot from 17 ft,,61-77,,
7:39.0,,,61-77,,Defensive rebound by T. Warren
7:21.0,,,61-77,,D. Booker misses 2-pt shot from 22 ft
7:20.0,Defensive rebound by Team,,61-77,,
7:07.0,S. Adams misses 2-pt shot from 4 ft,,61-77,,
7:06.0,Offensive rebound by R. Westbrook,,61-77,,
7:02.0,R. Westbrook makes 3-pt shot from 24 ft,3,64-77,,
6:54.0,Personal foul by R. Westbrook (drawn by T. Ulis),,64-77,,
6:45.0,,,64-77,,Turnover by D. Booker (bad pass)
6:33.0,,,64-77,,Flagrant foul type 1 by A. Williams (drawn by R. Westbrook)
6:33.0,R. Westbrook makes flagrant free throw 1 of 2,1,65-77,,
6:33.0,R. Westbrook makes flagrant free throw 2 of 2,1,66-77,,
6:25.0,R. Westbrook misses 3-pt shot from 25 ft,,66-77,,
6:22.0,,,66-77,,Defensive rebound by D. Booker
6:11.0,,,66-77,,Shooting foul by S. Adams (drawn by D. Booker)
6:11.0,,,66-78,1,D. Booker makes free throw 1 of 2
6:11.0,,,66-78,,D. Booker misses free throw 2 of 2
6:09.0,Defensive rebound by R. Westbrook,,66-78,,
5:50.0,S. Adams misses 2-pt shot from 4 ft,,66-78,,
5:50.0,Offensive rebound by V. Oladipo,,66-78,,
5:32.0,R. Westbrook misses 3-pt shot from 25 ft,,66-78,,
5:32.0,,,66-78,,Defensive rebound by T. Warren
5:20.0,,,66-80,2,T. Warren makes 2-pt shot from 1 ft
5:10.0,Offensive charge foul by R. Westbrook,,66-80,,
5:10.0,Turnover by R. Westbrook (offensive foul),,66-80,,
5:10.0,,,66-80,,Technical foul by A. Williams
5:10.0,Technical foul by T. Gibson,,66-80,,
5:07.0,S. Christon enters the game for V. Oladipo,,66-80,,
4:56.0,,,66-80,,D. Booker misses 2-pt shot from 13 ft
4:56.0,Defensive rebound by Team,,66-80,,
4:42.0,S. Christon misses 3-pt shot from 24 ft,,66-80,,
4:42.0,,,66-80,,Defensive rebound by T. Warren
4:33.0,,,66-80,,Turnover by T. Ulis (bad pass)
4:19.0,R. Westbrook makes 2-pt shot from 2 ft,2,68-80,,
4:07.0,,,68-82,2,D. Booker makes 2-pt shot from 11 ft (assist by J. Dudley)
3:48.0,T. Gibson misses 2-pt shot from 2 ft,,68-82,,
3:47.0,Offensive rebound by R. Westbrook,,68-82,,
3:39.0,T. Gibson makes 2-pt shot from 2 ft,2,70-82,,
3:21.0,,,70-82,,D. Booker misses 2-pt shot from 14 ft
3:21.0,Defensive rebound by T. Gibson,,70-82,,
3:11.0,R. Westbrook misses 3-pt shot from 25 ft,,70-82,,
3:09.0,Offensive rebound by S. Adams,,70-82,,
3:05.0,T. Gibson misses 2-pt shot from 12 ft,,70-82,,
3:05.0,Offensive rebound by Team,,70-82,,
3:05.0,,,70-82,,Loose ball foul by T. Warren
3:05.0,J. Grant enters the game for T. Gibson,,70-82,,
3:05.0,E. Kanter enters the game for S. Adams,,70-82,,
2:58.0,R. Westbrook misses 2-pt shot from 19 ft,,70-82,,
2:57.0,,,70-82,,Defensive rebound by T. Warren
2:40.0,,,70-84,2,T. Warren makes 2-pt shot from 1 ft
2:24.0,J. Grant misses 3-pt shot from 25 ft,,70-84,,
2:24.0,,,70-84,,Defensive rebound by A. Williams
2:14.0,,,70-87,3,J. Dudley makes 3-pt shot from 24 ft (assist by T. Ulis)
2:13.0,Oklahoma City full timeout,,70-87,,
2:13.0,V. Oladipo enters the game for R. Westbrook,,70-87,,
2:13.0,,,70-87,,D. Jones enters the game for T. Ulis
2:13.0,,,70-87,,A. Len enters the game for A. Williams
1:57.0,E. Kanter misses 2-pt shot from 6 ft (block by T. Warren),,70-87,,
1:56.0,,,70-87,,Defensive rebound by D. Booker
1:48.0,Personal foul by V. Oladipo (drawn by D. Jones),,70-87,,
1:48.0,,,70-88,1,D. Jones makes free throw 1 of 2
1:48.0,,,70-89,1,D. Jones makes free throw 2 of 2
1:32.0,Offensive foul by V. Oladipo,,70-89,,
1:32.0,Turnover by V. Oladipo (offensive foul),,70-89,,
1:23.0,,,70-89,,D. Booker misses 2-pt shot from 2 ft
1:23.0,,,70-89,,Offensive rebound by A. Len
1:23.0,,,70-91,2,A. Len makes 2-pt shot at rim
1:23.0,Oklahoma City full timeout,,70-91,,
1:11.0,V. Oladipo misses 2-pt shot from 1 ft,,70-91,,
1:09.0,,,70-91,,Defensive rebound by D. Booker
1:01.0,,,70-91,,T. Warren misses 2-pt shot from 17 ft
1:00.0,Defensive rebound by J. Grant,,70-91,,
0:50.0,E. Kanter makes 2-pt shot from 3 ft,2,72-91,,
0:33.0,,,72-93,2,D. Booker makes 2-pt shot from 4 ft
0:22.0,E. Kanter misses 2-pt shot from 2 ft,,72-93,,
0:21.0,,,72-93,,Defensive rebound by T. Warren
0:02.0,,,72-93,,D. Booker misses 3-pt shot from 26 ft
0:02.0,,,72-93,,Offensive rebound by D. Jones
0:00.0,,,72-95,2,D. Jones makes 2-pt shot from 14 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,J. Grant misses 2-pt shot from 3 ft,,72-95,,
11:40.0,Offensive rebound by J. Grant,,72-95,,
11:35.0,E. Kanter misses 2-pt shot from 2 ft (block by A. Len),,72-95,,
11:35.0,Offensive rebound by Team,,72-95,,
11:23.0,E. Kanter misses 2-pt shot from 15 ft,,72-95,,
11:23.0,,,72-95,,Defensive rebound by D. Jones
11:08.0,Personal foul by N. Cole (drawn by D. Jones),,72-95,,
11:03.0,,,72-95,,T. Ulis misses 2-pt shot from 18 ft
11:01.0,,,72-95,,Offensive rebound by D. Jones
10:55.0,,,72-95,,A. Len misses 2-pt shot at rim (block by J. Grant)
10:53.0,Defensive rebound by S. Christon,,72-95,,
10:42.0,E. Kanter makes 2-pt shot from 1 ft,2,74-95,,
10:42.0,Shooting foul by A. Len (drawn by E. Kanter),,74-95,,
10:42.0,E. Kanter makes free throw 1 of 1,1,75-95,,
10:42.0,R. Westbrook enters the game for S. Christon,,74-95,,
10:25.0,,,75-95,,T. Ulis misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by N. Cole,,75-95,,
10:21.0,Oklahoma City full timeout,,75-95,,
10:07.0,N. Cole makes 3-pt shot from 26 ft (assist by R. Westbrook),3,78-95,,
9:40.0,,,78-95,,D. Bender misses 2-pt shot from 19 ft
9:40.0,,,78-95,,Offensive rebound by Team
9:40.0,,,78-95,,Turnover by Team (shot clock)
9:29.0,Shooting foul by D. Bender (drawn by E. Kanter),,78-95,,
9:29.0,E. Kanter makes free throw 1 of 2,1,79-95,,
9:29.0,E. Kanter makes free throw 2 of 2,1,80-95,,
9:29.0,,,79-95,,D. Booker enters the game for D. Bender
9:09.0,,,80-95,,D. Booker misses 2-pt shot from 8 ft
9:09.0,Defensive rebound by Team,,80-95,,
8:53.0,N. Cole misses 3-pt shot from 26 ft,,80-95,,
8:53.0,,,80-95,,Defensive rebound by J. Dudley
8:43.0,,,80-95,,Turnover by A. Len (bad pass)
8:31.0,R. Westbrook misses 3-pt shot from 26 ft,,80-95,,
8:29.0,,,80-95,,Defensive rebound by A. Len
8:19.0,Personal foul by N. Cole (drawn by T. Ulis),,80-95,,
8:19.0,S. Adams enters the game for J. Grant,,80-95,,
8:05.0,,,80-98,3,D. Booker makes 3-pt shot from 26 ft (assist by A. Len)
7:48.0,R. Westbrook misses 3-pt shot from 25 ft,,80-98,,
7:47.0,Offensive rebound by K. Singler,,80-98,,
7:36.0,E. Kanter misses 2-pt shot at rim,,80-98,,
7:35.0,Offensive rebound by S. Adams,,80-98,,
7:35.0,S. Adams makes 2-pt shot from 1 ft,2,82-98,,
7:11.0,,,82-100,2,D. Booker makes 2-pt shot from 9 ft
7:11.0,,,82-100,,Shooting foul by E. Kanter (drawn by D. Booker)
7:11.0,,,82-101,1,D. Booker makes free throw 1 of 1
7:11.0,D. McDermott enters the game for N. Cole,,82-100,,
6:55.0,R. Westbrook misses 3-pt shot from 25 ft,,82-101,,
6:54.0,,,82-101,,Defensive rebound by A. Len
6:34.0,,,82-104,3,D. Booker makes 3-pt shot from 26 ft (assist by J. Dudley)
6:28.0,,,82-104,,Personal foul by D. Jones (drawn by R. Westbrook)
6:23.0,Turnover by R. Westbrook (bad pass; steal by A. Len),,82-104,,
6:13.0,,,82-107,3,D. Booker makes 3-pt shot from 27 ft
6:13.0,Oklahoma City full timeout,,82-107,,
5:56.0,Shooting foul by A. Len (drawn by R. Westbrook),,82-107,,
5:56.0,R. Westbrook makes free throw 1 of 2,1,83-107,,
5:56.0,R. Westbrook makes free throw 2 of 2,1,84-107,,
5:56.0,J. Grant enters the game for E. Kanter,,83-107,,
5:33.0,,,84-107,,D. Booker misses 3-pt shot from 26 ft
5:32.0,Defensive rebound by R. Westbrook,,84-107,,
5:28.0,R. Westbrook makes 2-pt shot from 3 ft,2,86-107,,
5:28.0,Shooting foul by J. Dudley (drawn by R. Westbrook),,86-107,,
5:28.0,R. Westbrook makes free throw 1 of 1,1,87-107,,
5:28.0,,,86-107,,T. Warren enters the game for D. Jones
5:09.0,,,87-109,2,D. Booker makes 2-pt shot from 9 ft
4:58.0,R. Westbrook misses 2-pt shot from 1 ft,,87-109,,
4:58.0,Offensive rebound by S. Adams,,87-109,,
4:55.0,S. Adams misses 2-pt shot from 1 ft,,87-109,,
4:53.0,,,87-109,,Defensive rebound by A. Len
4:36.0,,,87-109,,Shooting foul by K. Singler (drawn by D. Booker)
4:36.0,,,87-111,2,D. Booker makes 2-pt shot from 9 ft
