time,Brooklyn,pts.away,score,pts.home,Golden State
8:09.0,,,57-74,,Personal foul by D. Green (drawn by J. Lin)
8:05.0,J. Lin makes 2-pt shot from 14 ft (assist by R. Foye),2,59-74,,
7:50.0,,,59-74,,J. McGee misses 2-pt shot from 3 ft (block by J. Harris)
7:50.0,,,59-74,,Offensive rebound by Team
7:46.0,,,59-74,,K. Thompson misses 2-pt shot from 16 ft
7:46.0,Defensive rebound by R. Hollis-Jefferson,,59-74,,
7:35.0,J. Harris misses 2-pt shot from 4 ft (block by P. McCaw),,59-74,,
7:33.0,,,59-74,,Defensive rebound by P. McCaw
7:29.0,,,59-74,,Shooting foul by R. Hollis-Jefferson (drawn by D. Green)
7:29.0,,,59-75,1,D. Green makes free throw 1 of 2
7:29.0,,,59-76,1,D. Green makes free throw 2 of 2
7:29.0,S. Kilpatrick enters the game for J. Lin,,59-75,,
7:29.0,S. Dinwiddie enters the game for R. Foye,,59-75,,
7:10.0,S. Kilpatrick misses 2-pt shot from 16 ft (block by K. Thompson),,59-76,,
7:09.0,,,59-76,,Defensive rebound by D. Green
7:04.0,,,59-76,,D. Green misses 2-pt shot from 3 ft
7:03.0,Defensive rebound by S. Kilpatrick,,59-76,,
6:55.0,S. Kilpatrick misses 2-pt shot from 3 ft (block by P. McCaw),,59-76,,
6:53.0,,,59-76,,Defensive rebound by J. McGee
6:45.0,,,59-78,2,P. McCaw makes 2-pt shot from 2 ft (assist by K. Thompson)
6:45.0,Brooklyn full timeout,,59-78,,
6:29.0,J. Harris misses 3-pt shot from 25 ft,,59-78,,
6:29.0,,,59-78,,Defensive rebound by K. Thompson
6:14.0,,,59-78,,J. McGee misses 2-pt shot from 1 ft
6:13.0,Defensive rebound by R. Hollis-Jefferson,,59-78,,
6:00.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Harris),2,61-78,,
5:45.0,,,61-78,,D. Green misses 3-pt shot from 26 ft
5:45.0,Defensive rebound by S. Kilpatrick,,61-78,,
5:42.0,Shooting foul by S. Curry (drawn by R. Hollis-Jefferson),,61-78,,
5:42.0,R. Hollis-Jefferson makes free throw 1 of 2,1,62-78,,
5:42.0,R. Hollis-Jefferson makes free throw 2 of 2,1,63-78,,
5:42.0,,,62-78,,A. Iguodala enters the game for D. Green
5:30.0,,,63-80,2,K. Thompson makes 2-pt shot at rim (assist by A. Iguodala)
5:15.0,B. Lopez makes 2-pt shot from 6 ft,2,65-80,,
5:09.0,,,65-80,,K. Thompson misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by R. Hollis-Jefferson,,65-80,,
4:59.0,B. Lopez makes 3-pt shot from 28 ft (assist by S. Dinwiddie),3,68-80,,
4:48.0,,,68-80,,S. Curry misses 2-pt shot from 20 ft
4:47.0,Defensive rebound by S. Kilpatrick,,68-80,,
4:33.0,B. Lopez misses 2-pt shot from 7 ft,,68-80,,
4:33.0,,,68-80,,Defensive rebound by A. Iguodala
4:24.0,,,68-82,2,K. Thompson makes 2-pt shot from 13 ft (assist by A. Iguodala)
4:10.0,B. Lopez misses 3-pt shot from 26 ft,,68-82,,
4:10.0,,,68-82,,Defensive rebound by Team
4:09.0,I. Whitehead enters the game for J. Harris,,68-82,,
3:54.0,,,68-82,,I. Clark enters the game for K. Thompson
3:54.0,T. Booker enters the game for R. Hollis-Jefferson,,68-82,,
3:54.0,,,68-82,,Golden State full timeout
3:54.0,J. Hamilton enters the game for B. Lopez,,68-82,,
3:50.0,,,68-84,2,J. McGee makes 2-pt shot from 6 ft (assist by P. McCaw)
3:50.0,,,68-84,,Shooting foul by J. Hamilton (drawn by J. McGee)
3:50.0,,,68-84,,J. McGee misses free throw 1 of 1
3:49.0,Defensive rebound by T. Booker,,68-84,,
3:28.0,S. Dinwiddie misses 3-pt shot from 25 ft,,68-84,,
3:27.0,,,68-84,,Defensive rebound by S. Curry
3:21.0,,,68-84,,Turnover by A. Iguodala (bad pass; steal by I. Whitehead)
3:09.0,I. Whitehead makes 2-pt shot from 2 ft,2,70-84,,
3:02.0,,,70-84,,S. Curry misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by S. Kilpatrick,,70-84,,
2:54.0,S. Kilpatrick misses 2-pt shot from 19 ft,,70-84,,
2:53.0,,,70-84,,Defensive rebound by J. McGee
2:35.0,,,70-84,,P. McCaw misses 3-pt shot from 25 ft
2:34.0,,,70-84,,Offensive rebound by S. Curry
2:32.0,,,70-84,,S. Curry misses 2-pt shot from 3 ft
2:31.0,Defensive rebound by T. Booker,,70-84,,
2:20.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by J. Hamilton),2,72-84,,
2:02.0,,,72-86,2,J. McGee makes 2-pt shot at rim (assist by I. Clark)
1:46.0,I. Whitehead makes 2-pt shot from 3 ft (assist by J. Hamilton),2,74-86,,
1:35.0,Personal foul by S. Dinwiddie (drawn by J. McGee),,74-86,,
1:35.0,,,74-86,,J. McGee misses free throw 1 of 2
1:35.0,,,74-86,,Offensive rebound by Team
1:35.0,,,74-87,1,J. McGee makes free throw 2 of 2
1:35.0,,,74-86,,D. Green enters the game for P. McCaw
1:19.0,S. Kilpatrick makes 2-pt shot from 10 ft (assist by S. Dinwiddie),2,76-87,,
1:08.0,,,76-87,,Offensive foul by S. Curry
1:08.0,,,76-87,,Turnover by S. Curry (offensive foul)
1:08.0,,,76-87,,D. West enters the game for J. McGee
0:47.0,S. Kilpatrick misses 3-pt shot from 25 ft,,76-87,,
0:46.0,,,76-87,,Defensive rebound by D. Green
0:28.0,,,76-87,,D. Green misses 3-pt shot from 26 ft
0:27.0,,,76-87,,Offensive rebound by I. Clark
0:27.0,,,76-89,2,I. Clark makes 2-pt shot from 2 ft
0:07.0,Turnover by I. Whitehead (bad pass; steal by S. Curry),,76-89,,
0:03.0,,,76-91,2,S. Curry makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Hamilton misses 2-pt shot from 9 ft,,76-91,,
11:45.0,,,76-91,,Defensive rebound by D. Green
11:39.0,,,76-91,,D. Green misses 2-pt shot from 9 ft
11:38.0,,,76-91,,Offensive rebound by D. Green
11:31.0,,,76-91,,K. Thompson misses 2-pt shot from 21 ft
11:31.0,Defensive rebound by S. Dinwiddie,,76-91,,
11:27.0,T. Booker misses 2-pt shot from 3 ft (block by D. West),,76-91,,
11:26.0,Offensive rebound by Team,,76-91,,
11:16.0,I. Whitehead misses 2-pt shot from 1 ft,,76-91,,
11:15.0,Offensive rebound by S. Kilpatrick,,76-91,,
11:14.0,S. Kilpatrick misses 2-pt shot at rim,,76-91,,
11:12.0,Offensive rebound by I. Whitehead,,76-91,,
11:12.0,I. Whitehead misses 2-pt shot from 2 ft (block by A. Iguodala),,76-91,,
11:12.0,Offensive rebound by Team,,76-91,,
11:02.0,I. Whitehead misses 2-pt shot from 11 ft,,76-91,,
11:02.0,,,76-91,,Defensive rebound by D. West
10:44.0,,,76-91,,K. Thompson misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by S. Kilpatrick,,76-91,,
10:33.0,T. Booker misses 2-pt shot from 14 ft,,76-91,,
10:32.0,,,76-91,,Defensive rebound by D. West
10:25.0,Personal foul by J. Hamilton (drawn by D. West),,76-91,,
10:25.0,,,76-91,,Technical foul by D. West
10:25.0,S. Dinwiddie misses technical free throw,,76-91,,
10:25.0,,,76-91,,Offensive rebound by Team
10:25.0,B. Lopez enters the game for J. Hamilton,,76-91,,
10:25.0,,,76-91,,J. McAdoo enters the game for D. Green
10:15.0,,,76-93,2,D. West makes 2-pt shot from 16 ft (assist by A. Iguodala)
10:05.0,Turnover by I. Whitehead (bad pass),,76-93,,
9:49.0,,,76-93,,S. Livingston misses 2-pt shot from 13 ft
9:49.0,Defensive rebound by B. Lopez,,76-93,,
9:36.0,Shooting foul by D. West (drawn by I. Whitehead),,76-93,,
9:36.0,I. Whitehead makes free throw 1 of 2,1,77-93,,
9:36.0,I. Whitehead misses free throw 2 of 2,,77-93,,
9:34.0,,,77-93,,Defensive rebound by A. Iguodala
9:19.0,,,77-93,,A. Iguodala misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by I. Whitehead,,77-93,,
9:13.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by I. Whitehead),2,79-93,,
9:13.0,,,79-93,,Golden State full timeout
8:58.0,,,79-93,,K. Thompson misses 3-pt shot from 27 ft
8:58.0,,,79-93,,Offensive rebound by J. McAdoo
