time,New Orleans,pts.away,score,pts.home,Utah
4:36.0,J. Holiday misses 2-pt shot from 21 ft,,12-24,,
4:35.0,,,12-24,,Defensive rebound by A. Burks
4:19.0,,,12-24,,G. Hayward misses 3-pt shot from 24 ft
4:19.0,Defensive rebound by Team,,12-24,,
4:10.0,Turnover by E. Moore (lost ball),,12-24,,
4:03.0,Personal foul by J. Holiday (drawn by D. Exum),,12-24,,
4:03.0,,,12-25,1,D. Exum makes free throw 1 of 2
4:03.0,,,12-25,,D. Exum misses free throw 2 of 2
4:02.0,Defensive rebound by S. Hill,,12-25,,
3:49.0,Turnover by A. Davis (lost ball),,12-25,,
3:27.0,,,12-27,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
3:17.0,A. Davis misses 2-pt shot from 10 ft,,12-27,,
3:16.0,,,12-27,,Defensive rebound by A. Burks
3:10.0,,,12-27,,A. Burks misses 2-pt shot from 2 ft
3:10.0,Defensive rebound by A. Davis,,12-27,,
3:04.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,14-27,,
2:54.0,,,14-27,,Utah full timeout
2:54.0,D. Cunningham enters the game for S. Hill,,14-27,,
2:48.0,,,14-27,,Turnover by B. Diaw (bad pass; steal by A. Davis)
2:31.0,,,14-27,,Personal foul by B. Diaw (drawn by A. Davis)
2:31.0,,,14-27,,D. Favors enters the game for D. Exum
2:31.0,,,14-27,,J. Ingles enters the game for G. Hayward
2:31.0,,,14-27,,R. Neto enters the game for R. Gobert
2:24.0,Turnover by D. Cunningham (bad pass; steal by R. Neto),,14-27,,
2:20.0,,,14-27,,Turnover by R. Neto (lost ball)
2:20.0,D. Cousins enters the game for A. Davis,,14-27,,
2:20.0,T. Frazier enters the game for J. Holiday,,14-27,,
2:02.0,D. Cunningham misses 3-pt shot from 24 ft,,14-27,,
2:02.0,,,14-27,,Defensive rebound by A. Burks
1:48.0,,,14-27,,R. Neto misses 3-pt shot from 23 ft
1:47.0,Defensive rebound by D. Cousins,,14-27,,
1:32.0,D. Cunningham misses 3-pt shot from 24 ft,,14-27,,
1:32.0,,,14-27,,Defensive rebound by A. Burks
1:22.0,,,14-27,,D. Favors misses 2-pt shot from 18 ft
1:21.0,Defensive rebound by E. Moore,,14-27,,
1:08.0,D. Cunningham misses 3-pt shot from 24 ft,,14-27,,
1:07.0,,,14-27,,Defensive rebound by A. Burks
1:02.0,,,14-29,2,A. Burks makes 2-pt shot from 6 ft
0:47.0,D. Cousins misses 3-pt shot from 26 ft,,14-29,,
0:47.0,,,14-29,,Defensive rebound by J. Ingles
0:29.0,,,14-29,,A. Burks misses 3-pt shot from 24 ft
0:29.0,,,14-29,,Offensive rebound by A. Burks
0:05.0,,,14-29,,D. Favors misses 2-pt shot from 13 ft
0:05.0,Defensive rebound by D. Cousins,,14-29,,
0:01.0,T. Frazier misses 3-pt shot from 29 ft,,14-29,,
0:00.0,Offensive rebound by Team,,14-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Crawford makes 2-pt shot from 18 ft,2,16-29,,
11:29.0,,,16-32,3,R. Hood makes 3-pt shot from 25 ft (assist by B. Diaw)
11:15.0,J. Crawford misses 2-pt shot from 19 ft,,16-32,,
11:14.0,,,16-32,,Defensive rebound by Team
11:01.0,,,16-32,,Turnover by R. Hood (offensive foul)
11:01.0,,,16-32,,Offensive charge foul by R. Hood
10:46.0,D. Cousins misses 2-pt shot from 4 ft,,16-32,,
10:45.0,Offensive rebound by Team,,16-32,,
10:32.0,Turnover by D. Cousins (lost ball; steal by R. Neto),,16-32,,
10:27.0,,,16-34,2,R. Neto makes 2-pt shot from 1 ft
10:09.0,Turnover by T. Frazier (bad pass; steal by D. Favors),,16-34,,
10:01.0,,,16-34,,Turnover by B. Diaw (bad pass; steal by J. Crawford)
9:57.0,New Orleans full timeout,,16-34,,
9:56.0,,,16-34,,Personal foul by R. Neto (drawn by T. Frazier)
9:38.0,T. Frazier makes 3-pt shot from 24 ft (assist by J. Crawford),3,19-34,,
9:24.0,,,19-34,,Turnover by D. Favors (lost ball)
9:08.0,J. Crawford makes 3-pt shot from 25 ft (assist by D. Cousins),3,22-34,,
8:51.0,,,22-34,,Turnover by J. Ingles (bad pass)
8:38.0,Shooting foul by R. Neto (drawn by T. Frazier),,22-34,,
8:38.0,T. Frazier misses free throw 1 of 2,,22-34,,
8:38.0,Offensive rebound by Team,,22-34,,
8:38.0,T. Frazier makes free throw 2 of 2,1,23-34,,
8:38.0,,,22-34,,R. Gobert enters the game for D. Favors
8:38.0,,,22-34,,G. Hayward enters the game for J. Ingles
8:22.0,,,23-36,2,B. Diaw makes 2-pt shot from 2 ft
8:11.0,J. Crawford misses 2-pt shot from 18 ft,,23-36,,
8:11.0,,,23-36,,Defensive rebound by G. Hayward
7:57.0,,,23-36,,B. Diaw misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by J. Crawford,,23-36,,
7:44.0,D. Cousins misses 2-pt shot at rim (block by R. Gobert),,23-36,,
7:43.0,Offensive rebound by Team,,23-36,,
7:43.0,A. Davis enters the game for D. Motiejunas,,23-36,,
7:43.0,,,23-36,,A. Burks enters the game for B. Diaw
7:43.0,,,23-36,,T. Lyles enters the game for R. Hood
7:29.0,D. Cousins misses 2-pt shot from 2 ft,,23-36,,
7:29.0,,,23-36,,Defensive rebound by A. Burks
7:17.0,,,23-36,,G. Hayward misses 2-pt shot from 12 ft
7:16.0,Defensive rebound by D. Cousins,,23-36,,
7:02.0,,,23-36,,Personal foul by T. Lyles (drawn by A. Davis)
7:02.0,,,23-36,,D. Exum enters the game for R. Neto
6:53.0,D. Cousins makes 2-pt shot at rim,2,25-36,,
6:36.0,,,25-36,,Turnover by D. Exum (traveling)
6:25.0,D. Cousins misses 3-pt shot from 24 ft,,25-36,,
6:25.0,Offensive rebound by D. Cunningham,,25-36,,
6:20.0,D. Cunningham makes 2-pt shot from 1 ft,2,27-36,,
6:06.0,,,27-36,,T. Lyles misses 2-pt shot from 16 ft
6:05.0,Defensive rebound by D. Cousins,,27-36,,
5:59.0,J. Crawford misses 2-pt shot from 17 ft,,27-36,,
5:58.0,Offensive rebound by A. Davis,,27-36,,
5:55.0,A. Davis misses 2-pt shot from 3 ft,,27-36,,
5:54.0,,,27-36,,Defensive rebound by R. Gobert
5:49.0,,,27-36,,Utah full timeout
5:49.0,J. Holiday enters the game for J. Crawford,,27-36,,
5:49.0,A. Ajinca enters the game for D. Cousins,,27-36,,
5:34.0,,,27-36,,A. Burks misses 2-pt shot from 7 ft (block by J. Holiday)
5:32.0,Defensive rebound by J. Holiday,,27-36,,
5:31.0,,,27-36,,Personal foul by G. Hayward (drawn by J. Holiday)
5:23.0,J. Holiday misses 2-pt shot from 14 ft,,27-36,,
5:22.0,Offensive rebound by J. Holiday,,27-36,,
5:17.0,J. Holiday misses 2-pt shot from 22 ft,,27-36,,
5:17.0,Offensive rebound by A. Ajinca,,27-36,,
5:17.0,Shooting foul by G. Hayward (drawn by A. Ajinca),,27-36,,
5:17.0,A. Ajinca misses free throw 1 of 2,,27-36,,
5:17.0,Offensive rebound by Team,,27-36,,
5:17.0,A. Ajinca makes free throw 2 of 2,1,28-36,,
5:05.0,,,28-36,,G. Hayward misses 2-pt shot from 19 ft
5:05.0,Defensive rebound by D. Cunningham,,28-36,,
4:47.0,J. Holiday misses 2-pt shot from 3 ft,,28-36,,
4:47.0,,,28-36,,Defensive rebound by R. Gobert
4:34.0,,,28-38,2,D. Exum makes 2-pt shot from 1 ft
4:19.0,D. Cunningham misses 3-pt shot from 22 ft,,28-38,,
4:19.0,Offensive rebound by A. Ajinca,,28-38,,
4:05.0,A. Ajinca misses 2-pt shot from 10 ft,,28-38,,
4:03.0,,,28-38,,Defensive rebound by A. Burks
3:56.0,,,28-38,,D. Exum misses 3-pt shot from 23 ft
3:55.0,Defensive rebound by D. Cunningham,,28-38,,
3:50.0,Shooting foul by D. Exum (drawn by T. Frazier),,28-38,,
3:50.0,T. Frazier makes free throw 1 of 2,1,29-38,,
3:50.0,T. Frazier misses free throw 2 of 2,,29-38,,
3:50.0,,,29-38,,R. Hood enters the game for A. Burks
3:50.0,,,29-38,,B. Diaw enters the game for T. Lyles
3:50.0,D. Cousins enters the game for A. Ajinca,,29-38,,
3:49.0,,,29-38,,Defensive rebound by R. Gobert
3:33.0,,,29-41,3,G. Hayward makes 3-pt shot from 24 ft
3:19.0,J. Holiday makes 3-pt shot from 24 ft,3,32-41,,
3:01.0,,,32-41,,R. Hood misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by T. Frazier,,32-41,,
2:48.0,Turnover by A. Davis (bad pass; steal by R. Hood),,32-41,,
2:34.0,,,32-41,,D. Exum misses 2-pt shot from 2 ft
2:33.0,,,32-41,,Offensive rebound by D. Exum
2:33.0,,,32-41,,D. Exum misses 2-pt shot from 2 ft
2:32.0,,,32-41,,Offensive rebound by R. Gobert
2:30.0,,,32-41,,R. Gobert misses 2-pt shot from 4 ft
2:29.0,Defensive rebound by D. Cunningham,,32-41,,
2:10.0,Shooting foul by B. Diaw (drawn by A. Davis),,32-41,,
2:10.0,New Orleans full timeout,,32-41,,
2:10.0,A. Davis makes free throw 1 of 2,1,33-41,,
2:10.0,A. Davis makes free throw 2 of 2,1,34-41,,
2:10.0,S. Hill enters the game for D. Cunningham,,32-41,,
2:10.0,,,32-41,,D. Favors enters the game for B. Diaw
2:10.0,,,32-41,,J. Ingles enters the game for D. Exum
2:10.0,J. Crawford enters the game for T. Frazier,,32-41,,
1:52.0,,,34-41,,Turnover by G. Hayward (bad pass; steal by S. Hill)
1:34.0,D. Cousins misses 2-pt shot from 2 ft,,34-41,,
1:33.0,,,34-41,,Defensive rebound by D. Favors
1:23.0,,,34-41,,R. Hood misses 2-pt shot from 7 ft
1:21.0,,,34-41,,Offensive rebound by R. Gobert
1:21.0,,,34-41,,R. Gobert misses 2-pt shot from 2 ft
1:20.0,Defensive rebound by J. Holiday,,34-41,,
1:09.0,Turnover by J. Holiday (bad pass; steal by J. Ingles),,34-41,,
1:05.0,,,34-43,2,G. Hayward makes 2-pt shot from 1 ft (assist by J. Ingles)
0:50.0,A. Davis misses 3-pt shot from 25 ft,,34-43,,
0:50.0,,,34-43,,Defensive rebound by G. Hayward
0:37.0,,,34-43,,G. Hayward misses 2-pt shot from 14 ft
0:35.0,,,34-43,,Offensive rebound by J. Ingles
0:29.0,,,34-43,,R. Hood misses 3-pt shot from 25 ft
0:27.0,,,34-43,,Offensive rebound by R. Gobert
0:27.0,,,34-43,,R. Gobert misses 2-pt shot from 2 ft
0:27.0,,,34-43,,Offensive rebound by Team
0:27.0,,,34-43,,Turnover by R. Gobert (traveling)
0:27.0,E. Moore enters the game for S. Hill,,34-43,,
0:04.0,J. Crawford misses 3-pt shot from 25 ft,,34-43,,
0:03.0,,,34-43,,Defensive rebound by G. Hayward
0:00.0,,,34-43,,G. Hayward misses 3-pt shot from 52 ft
0:00.0,,,34-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,A. Davis makes 2-pt shot from 17 ft,2,36-43,,
11:18.0,,,36-43,,D. Exum misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by S. Hill,,36-43,,
11:06.0,A. Davis misses 2-pt shot from 3 ft,,36-43,,
11:05.0,,,36-43,,Defensive rebound by G. Hayward
10:58.0,,,36-43,,D. Exum misses 3-pt shot from 24 ft
10:57.0,,,36-43,,Offensive rebound by D. Favors
10:45.0,Personal foul by A. Davis (drawn by G. Hayward),,36-43,,
10:35.0,,,36-46,3,J. Ingles makes 3-pt shot from 24 ft
10:18.0,H. Thompson misses 3-pt shot from 24 ft,,36-46,,
10:18.0,,,36-46,,Defensive rebound by D. Exum
10:12.0,,,36-46,,D. Exum misses 2-pt shot at rim (block by J. Holiday)
10:11.0,Defensive rebound by S. Hill,,36-46,,
9:54.0,S. Hill misses 3-pt shot from 25 ft,,36-46,,
9:54.0,Offensive rebound by A. Davis,,36-46,,
9:45.0,A. Davis misses 2-pt shot from 15 ft,,36-46,,
9:44.0,Offensive rebound by Team,,36-46,,
9:33.0,J. Holiday misses 2-pt shot from 16 ft,,36-46,,
9:32.0,,,36-46,,Defensive rebound by D. Favors
9:20.0,Jump ball: G. Hayward vs. S. Hill (J. Ingles gains possession),,,,Jump ball: G. Hayward vs. S. Hill (J. Ingles gains possession)
9:11.0,,,36-46,,D. Favors misses 2-pt shot from 19 ft
9:11.0,Defensive rebound by D. Cousins,,36-46,,
8:58.0,,,36-46,,Personal foul by R. Gobert (drawn by D. Cousins)
8:55.0,Offensive foul by J. Holiday,,36-46,,
8:55.0,Turnover by J. Holiday (offensive foul),,36-46,,
8:44.0,,,36-46,,G. Hayward misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by H. Thompson,,36-46,,
8:39.0,New Orleans full timeout,,36-46,,
8:32.0,H. Thompson misses 3-pt shot from 23 ft,,36-46,,
8:32.0,Offensive rebound by S. Hill,,36-46,,
8:29.0,S. Hill misses 2-pt shot from 2 ft (block by R. Gobert),,36-46,,
8:28.0,,,36-46,,Defensive rebound by G. Hayward
8:20.0,,,36-46,,Turnover by G. Hayward (bad pass)
7:56.0,D. Cousins misses 2-pt shot from 23 ft,,36-46,,
7:55.0,Offensive rebound by A. Davis,,36-46,,
7:44.0,H. Thompson misses 3-pt shot from 25 ft,,36-46,,
7:44.0,,,36-46,,Defensive rebound by J. Ingles
7:36.0,,,36-46,,Turnover by J. Ingles (bad pass; steal by H. Thompson)
7:31.0,H. Thompson makes 3-pt shot from 25 ft,3,39-46,,
7:12.0,,,39-46,,G. Hayward misses 2-pt shot from 16 ft
7:12.0,Defensive rebound by J. Holiday,,39-46,,
7:00.0,Turnover by D. Cousins (traveling),,39-46,,
7:00.0,,,39-46,,B. Diaw enters the game for D. Exum
7:00.0,,,39-46,,R. Neto enters the game for D. Favors
7:00.0,E. Moore enters the game for H. Thompson,,39-46,,
6:51.0,,,39-48,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
6:42.0,Shooting foul by R. Neto (drawn by J. Holiday),,39-48,,
6:42.0,J. Holiday misses free throw 1 of 2,,39-48,,
6:42.0,Offensive rebound by Team,,39-48,,
6:42.0,J. Holiday makes free throw 2 of 2,1,40-48,,
6:29.0,,,40-50,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
6:20.0,Turnover by J. Holiday (lost ball),,40-50,,
6:04.0,,,40-50,,G. Hayward misses 2-pt shot from 2 ft
6:02.0,,,40-50,,Offensive rebound by R. Gobert
6:02.0,,,40-52,2,R. Gobert makes 2-pt shot from 2 ft
5:44.0,D. Cousins makes 2-pt shot from 2 ft,2,42-52,,
5:32.0,,,42-52,,R. Neto misses 2-pt shot from 3 ft (block by J. Holiday)
5:31.0,Defensive rebound by A. Davis,,42-52,,
5:26.0,Turnover by A. Davis (bad pass),,42-52,,
5:26.0,,,42-52,,A. Burks enters the game for J. Ingles
5:13.0,,,42-52,,B. Diaw misses 2-pt shot from 23 ft
5:13.0,Defensive rebound by S. Hill,,42-52,,
5:00.0,D. Cousins misses 2-pt shot from 2 ft,,42-52,,
5:00.0,Offensive rebound by Team,,42-52,,
4:55.0,Turnover by J. Holiday (traveling),,42-52,,
4:48.0,,,42-52,,Turnover by R. Neto (lost ball; steal by J. Holiday)
4:43.0,J. Holiday misses 2-pt shot from 2 ft,,42-52,,
4:43.0,Offensive rebound by A. Davis,,42-52,,
4:43.0,A. Davis misses 2-pt shot from 2 ft,,42-52,,
4:43.0,Offensive rebound by A. Davis,,42-52,,
4:43.0,Shooting foul by R. Neto (drawn by A. Davis),,42-52,,
4:43.0,A. Davis misses free throw 1 of 2,,42-52,,
4:43.0,Offensive rebound by Team,,42-52,,
4:43.0,A. Davis makes free throw 2 of 2,1,43-52,,
4:43.0,T. Frazier enters the game for J. Holiday,,42-52,,
4:43.0,A. Ajinca enters the game for D. Cousins,,42-52,,
4:31.0,,,43-52,,Turnover by B. Diaw (traveling)
4:16.0,E. Moore makes 2-pt shot from 10 ft,2,45-52,,
4:01.0,,,45-54,2,G. Hayward makes 2-pt shot from 14 ft (assist by B. Diaw)
3:43.0,A. Davis makes 2-pt shot at rim (assist by A. Ajinca),2,47-54,,
3:23.0,,,47-57,3,A. Burks makes 3-pt shot from 24 ft (assist by B. Diaw)
3:04.0,A. Davis misses 2-pt shot from 23 ft,,47-57,,
3:04.0,,,47-57,,Defensive rebound by R. Gobert
2:47.0,,,47-57,,Shooting foul by A. Ajinca (drawn by A. Burks)
2:47.0,,,47-57,,Utah full timeout
2:47.0,,,47-58,1,A. Burks makes free throw 1 of 2
2:47.0,,,47-59,1,A. Burks makes free throw 2 of 2
2:47.0,,,47-57,,D. Favors enters the game for R. Gobert
2:47.0,D. Cunningham enters the game for S. Hill,,47-57,,
2:47.0,,,47-57,,J. Ingles enters the game for G. Hayward
2:29.0,E. Moore misses 3-pt shot from 25 ft,,47-59,,
2:28.0,,,47-59,,Defensive rebound by B. Diaw
2:10.0,,,47-59,,J. Ingles misses 2-pt shot from 21 ft
2:10.0,Defensive rebound by A. Davis,,47-59,,
2:01.0,Turnover by A. Ajinca (traveling),,47-59,,
1:43.0,,,47-59,,Turnover by B. Diaw (lost ball; steal by A. Ajinca)
1:33.0,T. Frazier makes 2-pt shot from 19 ft,2,49-59,,
1:07.0,,,49-59,,A. Burks misses 2-pt shot from 18 ft
1:06.0,Defensive rebound by T. Frazier,,49-59,,
0:48.0,E. Moore misses 2-pt shot from 8 ft,,49-59,,
0:48.0,Offensive rebound by Team,,49-59,,
0:48.0,,,49-59,,Loose ball foul by A. Burks (drawn by A. Ajinca)
0:48.0,D. Cousins enters the game for A. Davis,,49-59,,
0:34.0,E. Moore makes 3-pt shot from 23 ft (assist by D. Cousins),3,52-59,,
0:12.0,Violation by T. Frazier (kicked ball),,52-59,,
0:12.0,S. Hill enters the game for A. Ajinca,,52-59,,
0:05.0,,,52-61,2,D. Favors makes 2-pt shot from 12 ft (assist by J. Ingles)
0:00.0,E. Moore misses 2-pt shot from 22 ft,,52-61,,
0:00.0,Offensive rebound by Team,,52-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,52-63,2,D. Favors makes 2-pt shot from 15 ft (assist by D. Exum)
11:22.0,Turnover by A. Ajinca (lost ball; steal by R. Hood),,52-63,,
11:14.0,,,52-63,,B. Diaw misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by A. Ajinca,,52-63,,
11:03.0,D. Cousins misses 3-pt shot from 25 ft,,52-63,,
11:03.0,,,52-63,,Defensive rebound by R. Hood
10:52.0,,,52-63,,Turnover by R. Hood (lost ball; steal by D. Cousins)
10:46.0,D. Cunningham makes 2-pt shot from 2 ft (assist by D. Cousins),2,54-63,,
10:28.0,,,54-63,,D. Favors misses 2-pt shot from 16 ft
10:27.0,Defensive rebound by D. Cousins,,54-63,,
10:14.0,J. Crawford makes 3-pt shot from 25 ft (assist by T. Frazier),3,57-63,,
9:55.0,,,57-66,3,J. Ingles makes 3-pt shot from 24 ft
9:34.0,A. Ajinca misses 2-pt shot from 4 ft,,57-66,,
9:33.0,,,57-66,,Defensive rebound by D. Favors
9:16.0,,,57-66,,J. Ingles misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by Team,,57-66,,
8:58.0,T. Frazier misses 2-pt shot from 12 ft,,57-66,,
8:58.0,Offensive rebound by T. Frazier,,57-66,,
8:52.0,J. Crawford misses 3-pt shot from 27 ft,,57-66,,
8:51.0,Offensive rebound by D. Cunningham,,57-66,,
8:44.0,J. Crawford makes 2-pt shot from 2 ft,2,59-66,,
8:43.0,,,59-66,,Utah full timeout
8:43.0,A. Davis enters the game for A. Ajinca,,59-66,,
8:43.0,,,59-66,,G. Hayward enters the game for J. Ingles
8:43.0,,,59-66,,R. Gobert enters the game for D. Favors
8:20.0,,,59-68,2,R. Hood makes 2-pt shot from 12 ft
8:07.0,Shooting foul by R. Hood (drawn by A. Davis),,59-68,,
8:07.0,A. Davis makes free throw 1 of 2,1,60-68,,
8:07.0,A. Davis makes free throw 2 of 2,1,61-68,,
7:52.0,,,61-68,,Turnover by D. Exum (bad pass; steal by J. Crawford)
7:32.0,J. Crawford misses 3-pt shot from 25 ft,,61-68,,
7:31.0,,,61-68,,Defensive rebound by R. Gobert
7:06.0,,,61-68,,D. Exum misses 3-pt shot from 23 ft
7:05.0,Defensive rebound by T. Frazier,,61-68,,
6:45.0,A. Davis makes 2-pt shot from 1 ft (assist by T. Frazier),2,63-68,,
6:31.0,,,63-70,2,G. Hayward makes 2-pt shot from 2 ft
6:17.0,J. Crawford makes 2-pt shot from 2 ft (assist by A. Davis),2,65-70,,
5:57.0,,,65-70,,Shooting foul by D. Cousins (drawn by R. Hood)
5:57.0,,,65-70,,Utah full timeout
5:57.0,,,65-71,1,R. Hood makes free throw 1 of 2
5:57.0,,,65-72,1,R. Hood makes free throw 2 of 2
5:57.0,,,65-70,,A. Burks enters the game for D. Exum
5:57.0,,,65-70,,D. Favors enters the game for B. Diaw
5:57.0,A. Ajinca enters the game for D. Cousins,,65-70,,
5:44.0,J. Crawford makes 2-pt shot from 10 ft,2,67-72,,
5:29.0,,,67-72,,A. Burks misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by A. Ajinca,,67-72,,
5:10.0,J. Crawford makes 2-pt shot from 21 ft,2,69-72,,
4:47.0,,,69-75,3,A. Burks makes 3-pt shot from 25 ft (assist by R. Gobert)
4:34.0,A. Davis makes 2-pt shot at rim (assist by J. Crawford),2,71-75,,
4:11.0,,,71-75,,D. Favors misses 2-pt shot from 12 ft
4:11.0,,,71-75,,Offensive rebound by R. Gobert
4:10.0,Personal foul by A. Ajinca (drawn by R. Gobert),,71-75,,
4:10.0,,,71-75,,J. Ingles enters the game for A. Burks
4:10.0,D. Cousins enters the game for A. Ajinca,,71-75,,
3:59.0,Personal foul by T. Frazier (drawn by R. Gobert),,71-75,,
3:47.0,,,71-75,,R. Hood misses 2-pt shot from 10 ft
3:46.0,Defensive rebound by A. Davis,,71-75,,
3:24.0,A. Davis misses 3-pt shot from 25 ft,,71-75,,
3:24.0,,,71-75,,Defensive rebound by G. Hayward
3:12.0,,,71-78,3,G. Hayward makes 3-pt shot from 25 ft
3:12.0,New Orleans full timeout,,71-78,,
3:02.0,,,71-78,,Personal foul by R. Gobert (drawn by D. Cousins)
2:54.0,Shooting foul by R. Gobert (drawn by D. Cousins),,71-78,,
2:54.0,D. Cousins makes free throw 1 of 2,1,72-78,,
2:54.0,D. Cousins makes free throw 2 of 2,1,73-78,,
2:52.0,,,73-78,,Turnover by R. Gobert (bad pass; steal by D. Cunningham)
2:32.0,D. Cousins misses 2-pt shot from 4 ft,,73-78,,
2:32.0,,,73-78,,Defensive rebound by R. Gobert
2:24.0,,,73-78,,R. Hood misses 3-pt shot from 23 ft
2:23.0,,,73-78,,Offensive rebound by R. Gobert
2:21.0,,,73-80,2,R. Gobert makes 2-pt shot from 1 ft
2:19.0,Turnover by A. Davis (inbound),,73-80,,
2:07.0,,,73-80,,G. Hayward misses 2-pt shot from 4 ft
2:07.0,Defensive rebound by D. Cousins,,73-80,,
1:58.0,Turnover by D. Cousins (lost ball; steal by R. Gobert),,73-80,,
1:51.0,,,73-83,3,J. Ingles makes 3-pt shot from 24 ft
1:51.0,New Orleans full timeout,,73-83,,
1:51.0,E. Moore enters the game for D. Cunningham,,73-83,,
