time,New Orleans,pts.away,score,pts.home,Orlando
0:02.0,S. Hill makes free throw 1 of 2,1,18-21,,
0:02.0,S. Hill makes free throw 2 of 2,1,19-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,19-21,,Turnover by A. Gordon (lost ball; steal by D. Cunningham)
11:22.0,S. Hill misses 2-pt shot from 2 ft (block by A. Gordon),,19-21,,
11:19.0,,,19-21,,Defensive rebound by A. Gordon
11:12.0,,,19-21,,A. Gordon misses 2-pt shot from 16 ft
11:11.0,Defensive rebound by B. Hield,,19-21,,
10:59.0,A. Ajinca misses 2-pt shot from 3 ft,,19-21,,
10:58.0,Offensive rebound by A. Ajinca,,19-21,,
10:58.0,Shooting foul by B. Biyombo (drawn by A. Ajinca),,19-21,,
10:58.0,A. Ajinca makes free throw 1 of 2,1,20-21,,
10:58.0,A. Ajinca makes free throw 2 of 2,1,21-21,,
10:47.0,,,21-21,,D. Rudez misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by B. Hield,,21-21,,
10:35.0,A. Ajinca makes 2-pt shot from 19 ft (assist by B. Hield),2,23-21,,
10:20.0,,,23-21,,A. Gordon misses 2-pt shot from 17 ft
10:19.0,Defensive rebound by D. Cunningham,,23-21,,
10:13.0,Turnover by B. Hield (lost ball; steal by C. Watson),,23-21,,
10:09.0,,,23-21,,Shooting foul by L. Galloway (drawn by B. Biyombo)
10:09.0,,,23-21,,B. Biyombo misses free throw 1 of 2
10:09.0,,,23-21,,Offensive rebound by Team
10:09.0,,,23-22,1,B. Biyombo makes free throw 2 of 2
9:58.0,L. Galloway misses 3-pt shot from 26 ft,,23-22,,
9:56.0,,,23-22,,Defensive rebound by C. Watson
9:49.0,,,23-25,3,D. Rudez makes 3-pt shot from 27 ft (assist by C. Watson)
9:38.0,Offensive foul by A. Ajinca,,23-25,,
9:38.0,Turnover by A. Ajinca (offensive foul),,23-25,,
9:29.0,,,23-25,,A. Gordon misses 2-pt shot from 18 ft
9:27.0,,,23-25,,Offensive rebound by B. Biyombo
9:25.0,,,23-27,2,A. Gordon makes 2-pt shot from 4 ft
9:25.0,,,23-27,,Shooting foul by A. Ajinca (drawn by A. Gordon)
9:25.0,,,23-27,,A. Gordon misses free throw 1 of 1
9:25.0,O. Asik enters the game for A. Ajinca,,23-27,,
9:23.0,Defensive rebound by D. Cunningham,,23-27,,
9:12.0,L. Galloway makes 2-pt shot from 12 ft (assist by B. Hield),2,25-27,,
8:58.0,,,25-27,,Shooting foul by L. Galloway (drawn by D. Augustin)
8:58.0,Official timeout,,25-27,,
8:58.0,,,25-28,1,D. Augustin makes free throw 1 of 2
8:58.0,,,25-29,1,D. Augustin makes free throw 2 of 2
8:58.0,E. Moore enters the game for D. Cunningham,,25-27,,
8:58.0,T. Frazier enters the game for L. Galloway,,25-27,,
8:38.0,B. Hield misses 2-pt shot from 14 ft,,25-29,,
8:36.0,,,25-29,,Defensive rebound by B. Biyombo
8:19.0,,,25-29,,D. Augustin misses 2-pt shot from 17 ft
8:18.0,Defensive rebound by T. Frazier,,25-29,,
8:08.0,B. Hield makes 3-pt shot from 25 ft (assist by S. Hill),3,28-29,,
7:44.0,,,28-32,3,D. Rudez makes 3-pt shot from 26 ft (assist by B. Biyombo)
7:28.0,E. Moore misses 2-pt shot from 15 ft,,28-32,,
7:26.0,,,28-32,,Defensive rebound by C. Watson
7:16.0,Violation by T. Frazier (kicked ball),,28-32,,
7:16.0,,,28-32,,N. Vucevic enters the game for D. Rudez
7:16.0,T. Jones enters the game for B. Hield,,28-32,,
7:08.0,,,28-32,,A. Gordon misses 2-pt shot from 21 ft
7:07.0,Defensive rebound by O. Asik,,28-32,,
6:50.0,E. Moore misses 2-pt shot from 9 ft,,28-32,,
6:49.0,,,28-32,,Defensive rebound by N. Vucevic
6:46.0,,,28-32,,Shooting foul by T. Frazier (drawn by C. Watson)
6:46.0,,,28-33,1,C. Watson makes free throw 1 of 2
6:46.0,,,28-34,1,C. Watson makes free throw 2 of 2
6:32.0,Turnover by O. Asik (lost ball; steal by A. Gordon),,28-34,,
6:28.0,,,28-36,2,D. Augustin makes 2-pt shot from 1 ft (assist by A. Gordon)
6:21.0,New Orleans full timeout,,28-36,,
6:21.0,B. Hield enters the game for S. Hill,,28-36,,
6:13.0,T. Frazier misses 2-pt shot from 16 ft,,28-36,,
6:11.0,,,28-36,,Defensive rebound by N. Vucevic
5:54.0,,,28-36,,D. Augustin misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by B. Hield,,28-36,,
5:40.0,Turnover by B. Hield (traveling),,28-36,,
5:24.0,,,28-36,,Turnover by D. Augustin (back court)
5:24.0,,,28-36,,E. Payton enters the game for D. Augustin
5:24.0,,,28-36,,J. Green enters the game for A. Gordon
5:12.0,,,28-36,,Def 3 sec tech foul by N. Vucevic
5:12.0,B. Hield makes technical free throw,1,29-36,,
4:58.0,B. Hield misses 2-pt shot from 22 ft,,29-36,,
4:56.0,Offensive rebound by O. Asik,,29-36,,
4:56.0,O. Asik misses 2-pt shot from 3 ft,,29-36,,
4:54.0,,,29-36,,Defensive rebound by E. Payton
4:50.0,,,29-39,3,C. Watson makes 3-pt shot from 27 ft (assist by E. Payton)
4:33.0,T. Jones misses 2-pt shot from 8 ft,,29-39,,
4:31.0,,,29-39,,Defensive rebound by E. Payton
4:27.0,Violation by T. Frazier (kicked ball),,29-39,,
4:27.0,,,29-39,,S. Ibaka enters the game for B. Biyombo
4:27.0,A. Goodwin enters the game for B. Hield,,29-39,,
4:27.0,A. Ajinca enters the game for O. Asik,,29-39,,
4:17.0,,,29-39,,N. Vucevic misses 2-pt shot from 11 ft
4:16.0,Defensive rebound by T. Jones,,29-39,,
4:03.0,A. Ajinca misses 2-pt shot from 8 ft,,29-39,,
4:02.0,,,29-39,,Defensive rebound by C. Watson
3:54.0,,,29-42,3,S. Ibaka makes 3-pt shot from 24 ft (assist by C. Watson)
3:33.0,Shooting foul by J. Green (drawn by T. Jones),,29-42,,
3:33.0,T. Jones makes free throw 1 of 2,1,30-42,,
3:33.0,T. Jones makes free throw 2 of 2,1,31-42,,
3:33.0,,,30-42,,E. Fournier enters the game for C. Watson
3:22.0,,,31-42,,N. Vucevic misses 2-pt shot from 17 ft
3:21.0,Defensive rebound by T. Jones,,31-42,,
3:14.0,A. Ajinca makes 2-pt shot from 3 ft (assist by T. Jones),2,33-42,,
2:56.0,,,33-45,3,S. Ibaka makes 3-pt shot from 24 ft (assist by E. Fournier)
2:40.0,Turnover by T. Frazier (bad pass; steal by E. Fournier),,33-45,,
2:34.0,,,33-47,2,S. Ibaka makes 2-pt shot from 3 ft (assist by E. Payton)
2:26.0,,,33-47,,Personal foul by E. Fournier (drawn by T. Frazier)
2:26.0,,,33-47,,Orlando full timeout
2:17.0,E. Moore makes 2-pt shot from 5 ft (assist by T. Frazier),2,35-47,,
2:00.0,,,35-49,2,E. Payton makes 2-pt shot from 1 ft
1:53.0,Turnover by T. Frazier (lost ball),,35-49,,
1:41.0,,,35-49,,Shooting foul by A. Ajinca (drawn by N. Vucevic)
1:41.0,,,35-49,,N. Vucevic misses free throw 1 of 2
1:41.0,,,35-49,,Offensive rebound by Team
1:41.0,,,35-49,,N. Vucevic misses free throw 2 of 2
1:41.0,O. Asik enters the game for A. Ajinca,,35-49,,
1:40.0,Defensive rebound by O. Asik,,35-49,,
1:27.0,E. Moore misses 2-pt shot from 18 ft,,35-49,,
1:26.0,,,35-49,,Defensive rebound by N. Vucevic
1:24.0,,,35-49,,Turnover by E. Payton (dbl dribble)
1:09.0,Shooting foul by S. Ibaka (drawn by T. Jones),,35-49,,
1:09.0,T. Jones makes free throw 1 of 2,1,36-49,,
1:09.0,,,36-49,,Orlando full timeout
1:09.0,T. Jones makes free throw 2 of 2,1,37-49,,
0:59.0,,,37-52,3,E. Fournier makes 3-pt shot from 25 ft (assist by J. Green)
0:39.0,T. Jones makes 3-pt shot from 29 ft (assist by E. Moore),3,40-52,,
0:27.0,,,40-52,,Turnover by N. Vucevic (bad pass)
0:04.0,E. Moore misses 3-pt shot from 26 ft,,40-52,,
0:03.0,,,40-52,,Defensive rebound by J. Green
0:00.0,,,40-52,,J. Green misses 3-pt shot from 61 ft (block by A. Goodwin)
0:00.0,,,40-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,40-52,,J. Green misses 3-pt shot from 26 ft
11:34.0,Defensive rebound by O. Asik,,40-52,,
11:14.0,Turnover by E. Moore (bad pass; steal by E. Payton),,40-52,,
11:08.0,,,40-54,2,E. Payton makes 2-pt shot at rim
10:47.0,T. Frazier misses 2-pt shot from 5 ft (block by N. Vucevic),,40-54,,
10:45.0,,,40-54,,Defensive rebound by S. Ibaka
10:45.0,,,40-54,,Turnover by S. Ibaka (lost ball)
10:27.0,T. Jones makes 2-pt shot from 3 ft,2,42-54,,
10:12.0,,,42-54,,J. Green misses 2-pt shot from 18 ft
10:10.0,Defensive rebound by T. Jones,,42-54,,
10:04.0,,,42-54,,Personal foul by E. Fournier (drawn by T. Jones)
10:04.0,D. Cunningham enters the game for S. Hill,,42-54,,
9:57.0,D. Cunningham misses 2-pt shot from 18 ft,,42-54,,
9:56.0,Offensive rebound by O. Asik,,42-54,,
9:53.0,T. Frazier misses 3-pt shot from 26 ft,,42-54,,
9:51.0,Offensive rebound by D. Cunningham,,42-54,,
9:51.0,D. Cunningham misses 2-pt shot from 2 ft,,42-54,,
9:49.0,,,42-54,,Defensive rebound by E. Fournier
9:40.0,,,42-54,,N. Vucevic misses 2-pt shot from 18 ft
9:39.0,,,42-54,,Offensive rebound by E. Payton
9:37.0,,,42-54,,E. Payton misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by T. Jones,,42-54,,
9:26.0,T. Jones makes 2-pt shot from 8 ft (assist by E. Moore),2,44-54,,
9:26.0,Shooting foul by S. Ibaka (drawn by T. Jones),,44-54,,
9:26.0,T. Jones makes free throw 1 of 1,1,45-54,,
9:13.0,,,45-54,,J. Green misses 2-pt shot from 1 ft
9:11.0,Defensive rebound by T. Jones,,45-54,,
8:56.0,E. Moore makes 2-pt shot from 17 ft (assist by T. Frazier),2,47-54,,
8:56.0,,,47-54,,Orlando full timeout
8:31.0,,,47-54,,S. Ibaka misses 2-pt shot from 9 ft
8:30.0,Defensive rebound by O. Asik,,47-54,,
8:17.0,T. Jones makes 2-pt shot from 18 ft (assist by E. Moore),2,49-54,,
8:05.0,,,49-54,,N. Vucevic misses 2-pt shot from 6 ft (block by T. Jones)
8:02.0,Defensive rebound by O. Asik,,49-54,,
7:56.0,T. Jones makes 3-pt shot from 26 ft (assist by E. Moore),3,52-54,,
7:45.0,Personal foul by E. Moore (drawn by E. Fournier),,52-54,,
7:33.0,,,52-56,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Fournier)
7:13.0,T. Jones misses 2-pt shot from 3 ft (block by N. Vucevic),,52-56,,
7:10.0,,,52-56,,Defensive rebound by E. Payton
7:06.0,,,52-56,,J. Green misses 3-pt shot from 27 ft
7:04.0,,,52-56,,Offensive rebound by S. Ibaka
7:02.0,,,52-58,2,S. Ibaka makes 2-pt shot from 10 ft
6:47.0,E. Moore misses 3-pt shot from 28 ft,,52-58,,
6:45.0,,,52-58,,Defensive rebound by S. Ibaka
6:38.0,,,52-58,,E. Fournier misses 3-pt shot from 26 ft
6:38.0,Defensive rebound by D. Cunningham,,52-58,,
6:30.0,Shooting foul by N. Vucevic (drawn by O. Asik),,52-58,,
6:30.0,O. Asik misses free throw 1 of 2,,52-58,,
6:30.0,Offensive rebound by Team,,52-58,,
6:30.0,O. Asik misses free throw 2 of 2,,52-58,,
6:29.0,,,52-58,,Defensive rebound by J. Green
6:15.0,,,52-58,,J. Green misses 2-pt shot from 3 ft (block by D. Cunningham)
6:12.0,Defensive rebound by T. Frazier,,52-58,,
6:08.0,T. Frazier makes 2-pt shot from 12 ft,2,54-58,,
5:55.0,,,54-58,,J. Green misses 2-pt shot from 21 ft
5:53.0,,,54-58,,Offensive rebound by N. Vucevic
5:53.0,,,54-58,,N. Vucevic misses 2-pt shot from 1 ft
5:51.0,Defensive rebound by T. Jones,,54-58,,
5:36.0,T. Jones misses 2-pt shot from 18 ft,,54-58,,
5:35.0,,,54-58,,Defensive rebound by N. Vucevic
5:27.0,,,54-58,,Turnover by S. Ibaka (3 sec)
5:27.0,,,54-58,,B. Biyombo enters the game for N. Vucevic
5:27.0,,,54-58,,A. Gordon enters the game for J. Green
5:27.0,A. Ajinca enters the game for O. Asik,,54-58,,
5:15.0,A. Ajinca misses 2-pt shot from 18 ft,,54-58,,
5:14.0,,,54-58,,Defensive rebound by S. Ibaka
5:04.0,,,54-58,,E. Payton misses 2-pt shot from 3 ft (block by A. Ajinca)
5:01.0,Defensive rebound by E. Moore,,54-58,,
4:46.0,Turnover by E. Moore (lost ball; steal by E. Payton),,54-58,,
4:42.0,,,54-58,,E. Fournier misses 2-pt shot from 1 ft (block by D. Cunningham)
4:38.0,Defensive rebound by A. Ajinca,,54-58,,
4:35.0,Shooting foul by E. Payton (drawn by T. Frazier),,54-58,,
4:35.0,T. Frazier makes free throw 1 of 2,1,55-58,,
4:35.0,T. Frazier makes free throw 2 of 2,1,56-58,,
4:35.0,B. Hield enters the game for E. Moore,,55-58,,
4:35.0,S. Hill enters the game for T. Jones,,55-58,,
4:23.0,,,56-58,,Shooting foul by B. Hield (drawn by E. Fournier)
4:23.0,,,56-59,1,E. Fournier makes free throw 1 of 2
4:23.0,,,56-60,1,E. Fournier makes free throw 2 of 2
4:09.0,Turnover by D. Cunningham (lost ball),,56-60,,
3:59.0,,,56-62,2,E. Fournier makes 2-pt shot from 1 ft
3:37.0,Turnover by T. Frazier (lost ball),,56-62,,
3:25.0,,,56-62,,E. Fournier misses 2-pt shot from 3 ft
3:23.0,,,56-62,,Offensive rebound by B. Biyombo
3:09.0,,,56-62,,S. Ibaka misses 2-pt shot from 7 ft
3:08.0,Defensive rebound by A. Ajinca,,56-62,,
3:00.0,D. Cunningham misses 2-pt shot from 18 ft,,56-62,,
3:00.0,,,56-62,,Defensive rebound by Team
2:39.0,,,56-62,,E. Payton misses 3-pt shot from 26 ft
2:38.0,Defensive rebound by S. Hill,,56-62,,
2:35.0,New Orleans full timeout,,56-62,,
2:35.0,,,56-62,,D. Rudez enters the game for S. Ibaka
2:35.0,,,56-62,,D. Augustin enters the game for E. Payton
2:35.0,L. Galloway enters the game for T. Frazier,,56-62,,
2:20.0,L. Galloway misses 3-pt shot from 27 ft,,56-62,,
2:18.0,,,56-62,,Defensive rebound by A. Gordon
2:04.0,,,56-62,,A. Gordon misses 2-pt shot from 3 ft
2:04.0,,,56-62,,Offensive rebound by B. Biyombo
2:04.0,Personal foul by L. Galloway (drawn by B. Biyombo),,56-62,,
1:55.0,,,56-62,,Turnover by D. Augustin (bad pass; steal by L. Galloway)
1:51.0,L. Galloway makes 2-pt shot from 1 ft,2,58-62,,
1:33.0,,,58-62,,A. Gordon misses 2-pt shot from 8 ft (block by A. Ajinca)
1:32.0,Defensive rebound by D. Cunningham,,58-62,,
1:20.0,D. Cunningham makes 3-pt shot from 26 ft (assist by B. Hield),3,61-62,,
0:56.0,,,61-62,,E. Fournier misses 3-pt shot from 26 ft
0:55.0,,,61-62,,Offensive rebound by B. Biyombo
0:54.0,,,61-64,2,B. Biyombo makes 2-pt shot from 2 ft
0:44.0,Turnover by S. Hill (bad pass),,61-64,,
0:35.0,,,61-64,,Shooting foul by A. Ajinca (drawn by E. Fournier)
0:35.0,,,61-64,,Technical foul by E. Fournier
0:35.0,L. Galloway misses technical free throw,,61-64,,
0:35.0,,,61-64,,Offensive rebound by Team
0:35.0,,,61-64,,E. Fournier misses free throw 1 of 2
0:35.0,,,61-64,,Offensive rebound by Team
0:35.0,,,61-65,1,E. Fournier makes free throw 2 of 2
0:35.0,T. Jones enters the game for A. Ajinca,,61-64,,
0:25.0,T. Jones makes 2-pt shot at rim (assist by B. Hield),2,63-65,,
0:02.0,,,63-65,,E. Fournier misses 2-pt shot from 7 ft
0:01.0,Defensive rebound by L. Galloway,,63-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,T. Jones misses 2-pt shot from 5 ft,,63-65,,
11:42.0,,,63-65,,Defensive rebound by A. Gordon
11:26.0,,,63-67,2,A. Gordon makes 2-pt shot from 16 ft
11:15.0,L. Galloway makes 3-pt shot from 24 ft (assist by S. Hill),3,66-67,,
10:58.0,,,66-67,,A. Gordon misses 3-pt shot from 26 ft
10:57.0,,,66-67,,Offensive rebound by B. Biyombo
10:46.0,,,66-69,2,A. Gordon makes 2-pt shot from 2 ft (assist by D. Augustin)
10:27.0,,,66-69,,Personal foul by B. Biyombo (drawn by T. Jones)
10:20.0,B. Hield makes 2-pt shot from 2 ft,2,68-69,,
9:56.0,,,68-69,,B. Biyombo misses 2-pt shot from 5 ft
9:55.0,Defensive rebound by Team,,68-69,,
9:41.0,T. Jones misses 2-pt shot from 5 ft,,68-69,,
9:41.0,Offensive rebound by Team,,68-69,,
9:41.0,A. Ajinca enters the game for D. Cunningham,,68-69,,
9:30.0,B. Hield makes 2-pt shot from 18 ft,2,70-69,,
9:16.0,,,70-71,2,D. Augustin makes 2-pt shot from 10 ft
9:02.0,S. Hill misses 2-pt shot from 1 ft,,70-71,,
9:00.0,,,70-71,,Defensive rebound by A. Gordon
8:50.0,,,70-74,3,D. Augustin makes 3-pt shot from 25 ft (assist by A. Gordon)
8:36.0,L. Galloway makes 3-pt shot from 27 ft (assist by S. Hill),3,73-74,,
8:22.0,,,73-77,3,D. Rudez makes 3-pt shot from 25 ft (assist by C. Watson)
8:07.0,Turnover by S. Hill (lost ball; steal by D. Augustin),,73-77,,
8:02.0,,,73-77,,D. Augustin misses 2-pt shot from 3 ft
8:02.0,,,73-77,,Offensive rebound by D. Rudez
8:02.0,Violation by B. Hield (def goaltending),,73-77,,
8:02.0,,,73-79,2,D. Rudez makes 2-pt shot from 2 ft
8:02.0,New Orleans full timeout,,73-79,,
7:43.0,L. Galloway misses 3-pt shot from 26 ft,,73-79,,
7:42.0,,,73-79,,Defensive rebound by C. Watson
7:28.0,,,73-79,,D. Augustin misses 3-pt shot from 26 ft
7:25.0,Defensive rebound by B. Hield,,73-79,,
7:16.0,B. Hield misses 3-pt shot from 29 ft,,73-79,,
7:15.0,Offensive rebound by Team,,73-79,,
7:15.0,,,73-79,,Loose ball foul by C. Watson (drawn by T. Jones)
7:15.0,E. Moore enters the game for B. Hield,,73-79,,
7:15.0,,,73-79,,N. Vucevic enters the game for D. Rudez
7:05.0,Turnover by T. Jones (lost ball),,73-79,,
6:49.0,,,73-79,,N. Vucevic misses 2-pt shot from 16 ft
6:48.0,Defensive rebound by T. Jones,,73-79,,
6:34.0,E. Moore makes 2-pt shot from 20 ft (assist by L. Galloway),2,75-79,,
6:14.0,D. Cunningham enters the game for S. Hill,,75-79,,
6:14.0,,,75-79,,E. Fournier enters the game for C. Watson
6:14.0,,,75-79,,E. Payton enters the game for D. Augustin
6:12.0,Jump ball: B. Biyombo vs. E. Moore (L. Galloway gains possession),,,,Jump ball: B. Biyombo vs. E. Moore (L. Galloway gains possession)
6:12.0,,,75-79,,Turnover by B. Biyombo (lost ball; steal by E. Moore)
6:08.0,T. Jones makes 2-pt shot at rim (assist by L. Galloway),2,77-79,,
6:08.0,,,77-79,,Orlando full timeout
6:08.0,,,77-79,,S. Ibaka enters the game for B. Biyombo
5:45.0,,,77-81,2,S. Ibaka makes 2-pt shot from 5 ft (assist by E. Fournier)
5:33.0,,,77-81,,Personal foul by E. Payton (drawn by T. Jones)
5:17.0,L. Galloway makes 2-pt shot from 16 ft,2,79-81,,
5:02.0,,,79-81,,E. Fournier misses 2-pt shot from 8 ft
5:01.0,Defensive rebound by A. Ajinca,,79-81,,
4:38.0,Turnover by Team (shot clock),,79-81,,
4:19.0,,,79-84,3,A. Gordon makes 3-pt shot from 26 ft (assist by S. Ibaka)
3:49.0,T. Jones misses 2-pt shot from 5 ft,,79-84,,
3:48.0,,,79-84,,Defensive rebound by N. Vucevic
3:28.0,,,79-84,,E. Payton misses 3-pt shot from 23 ft
3:26.0,,,79-84,,Offensive rebound by S. Ibaka
3:26.0,,,79-84,,S. Ibaka misses 2-pt shot from 1 ft
3:24.0,Defensive rebound by D. Cunningham,,79-84,,
3:08.0,L. Galloway misses 2-pt shot from 9 ft,,79-84,,
3:05.0,Offensive rebound by L. Galloway,,79-84,,
