time,Charlotte,pts.away,score,pts.home,Philadelphia
2:53.0,,,60-69,,D. Saric misses 3-pt shot from 27 ft
2:51.0,Defensive rebound by M. Kidd-Gilchrist,,60-69,,
2:38.0,K. Walker makes 3-pt shot from 25 ft,3,63-69,,
2:38.0,Shooting foul by T. Luwawu-Cabarrot (drawn by K. Walker),,63-69,,
2:38.0,K. Walker makes free throw 1 of 1,1,64-69,,
2:26.0,,,64-71,2,D. Saric makes 2-pt shot from 22 ft
2:11.0,Shooting foul by T. Luwawu-Cabarrot (drawn by M. Belinelli),,64-71,,
2:11.0,M. Belinelli makes free throw 1 of 3,1,65-71,,
2:11.0,M. Belinelli makes free throw 2 of 3,1,66-71,,
2:11.0,M. Belinelli makes free throw 3 of 3,1,67-71,,
1:56.0,,,67-71,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by Team,,67-71,,
1:44.0,K. Walker misses 2-pt shot from 3 ft (block by N. Noel),,67-71,,
1:44.0,Offensive rebound by Team,,67-71,,
1:36.0,K. Walker misses 3-pt shot from 26 ft (block by G. Henderson),,67-71,,
1:35.0,Offensive rebound by Team,,67-71,,
1:32.0,F. Kaminsky misses 3-pt shot from 26 ft,,67-71,,
1:29.0,,,67-71,,Defensive rebound by G. Henderson
1:28.0,Personal foul by R. Hibbert (drawn by G. Henderson),,67-71,,
1:14.0,,,67-71,,G. Henderson misses 2-pt shot from 17 ft
1:12.0,Defensive rebound by M. Belinelli,,67-71,,
1:07.0,F. Kaminsky misses 3-pt shot from 28 ft,,67-71,,
1:05.0,,,67-71,,Defensive rebound by S. Rodriguez
0:59.0,,,67-73,2,S. Rodriguez makes 2-pt shot from 1 ft
0:59.0,,,67-73,,Shooting foul by R. Hibbert (drawn by S. Rodriguez)
0:59.0,,,67-74,1,S. Rodriguez makes free throw 1 of 1
0:46.0,M. Belinelli makes 2-pt shot from 18 ft,2,69-74,,
0:31.0,,,69-74,,Turnover by D. Saric (bad pass)
0:11.0,K. Walker makes 2-pt shot from 2 ft,2,71-74,,
0:01.0,,,71-76,2,N. Noel makes 2-pt shot from 18 ft (assist by S. Rodriguez)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,71-79,3,N. Stauskas makes 3-pt shot from 26 ft (assist by T. McConnell)
11:32.0,M. Belinelli misses 2-pt shot from 17 ft,,71-79,,
11:29.0,,,71-79,,Defensive rebound by G. Henderson
11:25.0,,,71-81,2,J. Embiid makes 2-pt shot from 2 ft (assist by G. Henderson)
11:10.0,Turnover by M. Belinelli (traveling),,71-81,,
10:50.0,,,71-81,,Turnover by T. McConnell (bad pass; steal by M. Belinelli)
10:44.0,K. Walker makes 2-pt shot from 3 ft,2,73-81,,
10:32.0,,,73-81,,N. Stauskas misses 2-pt shot from 2 ft
10:31.0,Defensive rebound by M. Belinelli,,73-81,,
10:14.0,M. Belinelli misses 3-pt shot from 23 ft,,73-81,,
10:12.0,Offensive rebound by R. Hibbert,,73-81,,
10:11.0,R. Hibbert misses 2-pt shot from 1 ft,,73-81,,
10:10.0,,,73-81,,Defensive rebound by T. McConnell
10:06.0,,,73-83,2,G. Henderson makes 2-pt shot from 1 ft (assist by T. McConnell)
10:06.0,Charlotte full timeout,,73-83,,
10:06.0,C. Zeller enters the game for R. Hibbert,,73-83,,
9:49.0,N. Batum makes 2-pt shot from 12 ft (assist by K. Walker),2,75-83,,
9:35.0,,,75-83,,Shooting foul by C. Zeller (drawn by J. Embiid)
9:35.0,,,75-84,1,J. Embiid makes free throw 1 of 2
9:35.0,,,75-85,1,J. Embiid makes free throw 2 of 2
9:22.0,N. Batum misses 3-pt shot from 28 ft,,75-85,,
9:21.0,,,75-85,,Defensive rebound by Team
9:21.0,Loose ball foul by C. Zeller (drawn by E. Ilyasova),,75-85,,
9:21.0,,,75-85,,R. Covington enters the game for G. Henderson
9:04.0,,,75-88,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Embiid)
8:44.0,Turnover by M. Belinelli (lost ball; steal by J. Embiid),,75-88,,
8:33.0,,,75-88,,E. Ilyasova misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by C. Zeller,,75-88,,
8:24.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,75-88,,
8:24.0,M. Williams enters the game for M. Belinelli,,75-88,,
8:24.0,,,75-88,,N. Noel enters the game for J. Embiid
8:16.0,K. Walker misses 3-pt shot from 25 ft,,75-88,,
8:14.0,Offensive rebound by C. Zeller,,75-88,,
7:57.0,M. Kidd-Gilchrist makes 2-pt shot from 16 ft,2,77-88,,
7:37.0,,,77-88,,N. Stauskas misses 3-pt shot from 28 ft
7:35.0,Defensive rebound by K. Walker,,77-88,,
7:31.0,K. Walker misses 2-pt shot from 1 ft (block by N. Noel),,77-88,,
7:31.0,Offensive rebound by Team,,77-88,,
7:31.0,,,77-88,,D. Saric enters the game for E. Ilyasova
7:26.0,N. Batum misses 2-pt shot from 5 ft,,77-88,,
7:24.0,,,77-88,,Defensive rebound by R. Covington
7:17.0,,,77-88,,R. Covington misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by Team,,77-88,,
7:17.0,,,77-88,,S. Rodriguez enters the game for T. McConnell
