time,LA Lakers,pts.away,score,pts.home,Minnesota
3:45.0,,,18-24,,K. Towns misses 2-pt shot at rim (block by T. Mozgov)
3:43.0,,,18-24,,Offensive rebound by C. Aldrich
3:32.0,,,18-27,3,A. Wiggins makes 3-pt shot from 25 ft (assist by C. Aldrich)
3:12.0,J. Clarkson makes 2-pt shot from 20 ft,2,20-27,,
2:59.0,,,20-27,,Shooting foul by T. Mozgov (drawn by A. Wiggins)
2:59.0,,,20-27,,Minnesota full timeout
2:59.0,,,20-28,1,A. Wiggins makes free throw 1 of 2
2:59.0,,,20-29,1,A. Wiggins makes free throw 2 of 2
2:59.0,L. Nance enters the game for J. Randle,,20-27,,
2:59.0,T. Black enters the game for T. Mozgov,,20-27,,
2:44.0,T. Black misses 2-pt shot from 1 ft,,20-29,,
2:43.0,,,20-29,,Defensive rebound by K. Towns
2:21.0,,,20-29,,K. Dunn misses 2-pt shot from 6 ft
2:20.0,Defensive rebound by L. Nance,,20-29,,
2:10.0,B. Ingram misses 2-pt shot from 15 ft (block by A. Wiggins),,20-29,,
2:08.0,,,20-29,,Defensive rebound by K. Dunn
2:04.0,,,20-31,2,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Dunn)
1:42.0,L. Nance misses 3-pt shot from 23 ft,,20-31,,
1:41.0,,,20-31,,Defensive rebound by C. Aldrich
1:35.0,,,20-33,2,K. Towns makes 2-pt shot from 21 ft (assist by K. Dunn)
1:19.0,Shooting foul by C. Aldrich (drawn by B. Ingram),,20-33,,
1:19.0,B. Ingram misses free throw 1 of 2,,20-33,,
1:19.0,Offensive rebound by Team,,20-33,,
1:19.0,B. Ingram makes free throw 2 of 2,1,21-33,,
1:19.0,,,20-33,,T. Jones enters the game for A. Wiggins
1:06.0,,,21-33,,C. Aldrich misses 2-pt shot from 2 ft
1:04.0,Defensive rebound by L. Nance,,21-33,,
0:59.0,,,21-33,,Personal foul by K. Dunn (drawn by J. Clarkson)
0:59.0,J. Clarkson makes free throw 1 of 2,1,22-33,,
0:59.0,J. Clarkson makes free throw 2 of 2,1,23-33,,
0:42.0,,,23-33,,Shooting foul by L. Nance (drawn by K. Towns)
0:42.0,,,23-34,1,K. Towns makes free throw 1 of 2
0:42.0,,,23-34,,K. Towns misses free throw 2 of 2
0:41.0,Defensive rebound by B. Ingram,,23-34,,
0:33.0,L. Williams makes 2-pt shot from 22 ft,2,25-34,,
0:23.0,,,25-34,,K. Towns misses 2-pt shot from 19 ft
0:22.0,Defensive rebound by L. Nance,,25-34,,
0:04.0,L. Williams misses 2-pt shot from 8 ft,,25-34,,
0:04.0,,,25-34,,Defensive rebound by Team
0:04.0,Loose ball foul by L. Nance (drawn by K. Dunn),,25-34,,
0:04.0,,,25-35,1,K. Dunn makes free throw 1 of 2
0:04.0,,,25-36,1,K. Dunn makes free throw 2 of 2
0:01.0,,,25-36,,Personal foul by N. Bjelica (drawn by B. Ingram)
0:01.0,B. Ingram makes free throw 1 of 2,1,26-36,,
0:01.0,B. Ingram makes free throw 2 of 2,1,27-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,B. Ingram makes 2-pt shot at rim (assist by L. Williams),2,29-36,,
11:20.0,,,29-36,,T. Jones misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by J. Clarkson,,29-36,,
11:13.0,J. Clarkson makes 2-pt shot from 21 ft,2,31-36,,
11:06.0,,,31-36,,Minnesota full timeout
11:06.0,,,31-36,,A. Wiggins enters the game for N. Bjelica
11:06.0,,,31-36,,A. Payne enters the game for K. Towns
10:51.0,,,31-39,3,A. Payne makes 3-pt shot from 25 ft (assist by T. Jones)
10:38.0,Turnover by B. Ingram (bad pass; steal by C. Aldrich),,31-39,,
10:34.0,,,31-39,,Shooting foul by T. Black (drawn by K. Dunn)
10:34.0,,,31-39,,K. Dunn misses free throw 1 of 2
10:34.0,,,31-39,,Offensive rebound by Team
10:34.0,,,31-40,1,K. Dunn makes free throw 2 of 2
10:17.0,L. Nance makes 2-pt shot at rim (assist by J. Clarkson),2,33-40,,
10:01.0,,,33-40,,Turnover by T. Jones (bad pass; steal by J. Clarkson)
9:55.0,J. Clarkson makes 2-pt shot from 8 ft,2,35-40,,
9:40.0,,,35-40,,A. Wiggins misses 2-pt shot from 21 ft (block by B. Ingram)
9:38.0,Defensive rebound by L. Williams,,35-40,,
9:29.0,L. Nance makes 2-pt shot from 3 ft (assist by L. Williams),2,37-40,,
9:14.0,Personal foul by T. Black (drawn by A. Wiggins),,37-40,,
9:01.0,,,37-40,,C. Aldrich misses 2-pt shot from 3 ft (block by T. Black)
8:59.0,Defensive rebound by L. Williams,,37-40,,
8:56.0,Shooting foul by T. Jones,,37-40,,
8:56.0,L. Williams makes free throw 1 of 2,1,38-40,,
8:56.0,L. Williams makes free throw 2 of 2,1,39-40,,
8:56.0,,,38-40,,G. Dieng enters the game for C. Aldrich
8:38.0,Personal foul by B. Ingram (drawn by K. Dunn),,39-40,,
8:27.0,,,39-42,2,K. Dunn makes 2-pt shot from 1 ft (assist by T. Jones)
8:27.0,,,39-42,,Shooting foul by L. Williams (drawn by K. Dunn)
8:27.0,,,39-42,,K. Dunn misses free throw 1 of 1
8:25.0,,,39-42,,Offensive rebound by A. Payne
8:12.0,,,39-42,,A. Wiggins misses 2-pt shot from 2 ft (block by T. Black)
8:11.0,,,39-42,,Offensive rebound by A. Wiggins
8:11.0,,,39-44,2,A. Wiggins makes 2-pt shot from 1 ft
8:11.0,,,39-44,,Shooting foul by T. Black (drawn by A. Wiggins)
8:11.0,,,39-45,1,A. Wiggins makes free throw 1 of 1
8:11.0,T. Robinson enters the game for T. Black,,39-44,,
7:59.0,Turnover by L. Williams (traveling),,39-45,,
7:45.0,,,39-45,,A. Wiggins misses 2-pt shot from 17 ft
7:44.0,Defensive rebound by L. Williams,,39-45,,
7:36.0,J. Clarkson makes 2-pt shot from 10 ft,2,41-45,,
7:16.0,,,41-47,2,A. Wiggins makes 2-pt shot from 1 ft
7:16.0,,,41-47,,Shooting foul by B. Ingram (drawn by A. Wiggins)
7:16.0,,,41-47,,A. Wiggins misses free throw 1 of 1
7:16.0,,,41-47,,R. Rubio enters the game for K. Dunn
7:16.0,D. Russell enters the game for L. Williams,,41-47,,
7:14.0,Defensive rebound by T. Robinson,,41-47,,
6:50.0,D. Russell misses 3-pt shot from 25 ft,,41-47,,
6:49.0,,,41-47,,Defensive rebound by A. Wiggins
6:37.0,,,41-50,3,A. Payne makes 3-pt shot from 25 ft (assist by A. Wiggins)
6:36.0,LA Lakers full timeout,,41-50,,
6:36.0,N. Young enters the game for J. Clarkson,,41-50,,
6:36.0,L. Deng enters the game for B. Ingram,,41-50,,
6:36.0,J. Randle enters the game for L. Nance,,41-50,,
6:36.0,T. Mozgov enters the game for T. Robinson,,41-50,,
6:20.0,J. Randle misses 2-pt shot from 8 ft,,41-50,,
6:18.0,,,41-50,,Defensive rebound by G. Dieng
6:04.0,,,41-52,2,A. Payne makes 2-pt shot from 20 ft (assist by A. Wiggins)
5:48.0,Offensive foul by D. Russell,,41-52,,
5:48.0,Turnover by D. Russell (offensive foul),,41-52,,
5:48.0,,,41-52,,N. Bjelica enters the game for T. Jones
5:30.0,,,41-52,,Turnover by R. Rubio (bad pass; steal by D. Russell)
5:06.0,L. Deng misses 2-pt shot from 18 ft,,41-52,,
5:05.0,,,41-52,,Defensive rebound by G. Dieng
4:50.0,,,41-52,,Turnover by G. Dieng (bad pass)
4:32.0,D. Russell misses 2-pt shot from 1 ft,,41-52,,
4:29.0,Offensive rebound by J. Randle,,41-52,,
4:25.0,D. Russell misses 3-pt shot from 25 ft,,41-52,,
4:23.0,,,41-52,,Defensive rebound by R. Rubio
4:15.0,,,41-52,,A. Payne misses 2-pt shot from 2 ft
4:14.0,Defensive rebound by T. Mozgov,,41-52,,
4:09.0,Shooting foul by A. Payne (drawn by J. Randle),,41-52,,
4:09.0,J. Randle makes free throw 1 of 2,1,42-52,,
4:09.0,J. Randle misses free throw 2 of 2,,42-52,,
4:09.0,,,42-52,,K. Towns enters the game for A. Payne
4:08.0,,,42-52,,Defensive rebound by K. Towns
3:57.0,,,42-52,,Shooting foul by T. Mozgov (drawn by K. Towns)
3:57.0,,,42-53,1,K. Towns makes free throw 1 of 2
3:57.0,,,42-54,1,K. Towns makes free throw 2 of 2
3:43.0,D. Russell makes 2-pt shot from 7 ft,2,44-54,,
3:43.0,Shooting foul by N. Bjelica (drawn by D. Russell),,44-54,,
3:43.0,D. Russell misses free throw 1 of 1,,44-54,,
3:43.0,,,44-54,,Defensive rebound by G. Dieng
3:31.0,,,44-54,,Shooting foul by T. Mozgov (drawn by K. Towns)
3:31.0,,,44-54,,K. Towns misses free throw 1 of 2
3:31.0,,,44-54,,Offensive rebound by Team
3:31.0,,,44-54,,K. Towns misses free throw 2 of 2
3:30.0,Defensive rebound by J. Randle,,44-54,,
3:24.0,Offensive foul by T. Mozgov,,44-54,,
3:24.0,Turnover by T. Mozgov (offensive foul),,44-54,,
3:24.0,L. Nance enters the game for T. Mozgov,,44-54,,
3:09.0,,,44-56,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
3:03.0,Turnover by J. Randle (back court),,44-56,,
2:49.0,,,44-58,2,A. Wiggins makes 2-pt shot from 20 ft
2:28.0,L. Deng misses 2-pt shot from 9 ft,,44-58,,
2:27.0,,,44-58,,Defensive rebound by N. Bjelica
2:19.0,,,44-61,3,N. Bjelica makes 3-pt shot from 26 ft (assist by R. Rubio)
2:01.0,,,44-61,,Personal foul by R. Rubio (drawn by L. Nance)
2:01.0,LA Lakers full timeout,,44-61,,
1:55.0,D. Russell misses 2-pt shot from 11 ft,,44-61,,
1:53.0,Jump ball: D. Russell vs. A. Wiggins (N. Bjelica gains possession),,,,Jump ball: D. Russell vs. A. Wiggins (N. Bjelica gains possession)
1:53.0,,,44-61,,Defensive rebound by Team
1:33.0,,,44-63,2,G. Dieng makes 2-pt shot at rim (assist by K. Towns)
1:14.0,N. Young misses 3-pt shot from 24 ft,,44-63,,
1:12.0,,,44-63,,Defensive rebound by K. Towns
1:01.0,,,44-63,,N. Bjelica misses 2-pt shot from 9 ft
1:00.0,,,44-63,,Offensive rebound by N. Bjelica
0:58.0,,,44-65,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
0:42.0,J. Randle makes 2-pt shot from 2 ft,2,46-65,,
0:35.0,Personal foul by N. Young (drawn by R. Rubio),,46-65,,
0:35.0,,,46-65,,R. Rubio misses free throw 1 of 2
0:35.0,,,46-65,,Offensive rebound by Team
0:35.0,,,46-66,1,R. Rubio makes free throw 2 of 2
0:28.0,N. Young misses 3-pt shot from 25 ft,,46-66,,
0:27.0,,,46-66,,Defensive rebound by N. Bjelica
0:06.0,,,46-69,3,A. Wiggins makes 3-pt shot from 24 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,J. Randle makes 3-pt shot from 24 ft (assist by D. Russell),3,49-69,,
11:11.0,,,49-69,,K. Towns misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by J. Randle,,49-69,,
11:02.0,N. Young makes 3-pt shot from 24 ft (assist by J. Randle),3,52-69,,
11:02.0,,,52-69,,Minnesota full timeout
10:47.0,,,52-69,,G. Dieng misses 2-pt shot from 16 ft
10:46.0,Defensive rebound by D. Russell,,52-69,,
10:37.0,J. Randle misses 2-pt shot from 8 ft,,52-69,,
10:36.0,,,52-69,,Defensive rebound by A. Wiggins
10:28.0,,,52-69,,A. Wiggins misses 2-pt shot from 21 ft
10:27.0,Defensive rebound by Team,,52-69,,
10:16.0,Turnover by N. Young (lost ball; steal by N. Bjelica),,52-69,,
10:11.0,,,52-71,2,A. Wiggins makes 2-pt shot from 1 ft (assist by N. Bjelica)
9:58.0,D. Russell makes 2-pt shot from 12 ft,2,54-71,,
9:44.0,,,54-71,,Shooting foul by T. Mozgov (drawn by K. Towns)
9:44.0,,,54-72,1,K. Towns makes free throw 1 of 2
9:44.0,,,54-72,,K. Towns misses free throw 2 of 2
9:44.0,Defensive rebound by L. Deng,,54-72,,
9:44.0,I. Zubac enters the game for T. Mozgov,,54-71,,
9:24.0,D. Russell misses 3-pt shot from 24 ft,,54-72,,
9:23.0,,,54-72,,Defensive rebound by G. Dieng
9:12.0,,,54-74,2,K. Towns makes 2-pt shot from 5 ft (assist by N. Bjelica)
9:05.0,J. Randle makes 2-pt shot from 3 ft,2,56-74,,
9:05.0,Shooting foul by K. Towns (drawn by J. Randle),,56-74,,
9:05.0,J. Randle misses free throw 1 of 1,,56-74,,
9:04.0,,,56-74,,Defensive rebound by K. Towns
8:52.0,Def 3 sec tech foul by I. Zubac,,56-74,,
8:52.0,,,56-75,1,A. Wiggins makes technical free throw
8:44.0,,,56-75,,Turnover by A. Wiggins (traveling)
8:27.0,N. Young makes 2-pt shot from 21 ft (assist by J. Randle),2,58-75,,
8:15.0,,,58-75,,G. Dieng misses 2-pt shot from 2 ft
8:13.0,Defensive rebound by I. Zubac,,58-75,,
8:02.0,I. Zubac misses 2-pt shot from 1 ft (block by N. Bjelica),,58-75,,
8:00.0,,,58-75,,Defensive rebound by N. Bjelica
7:55.0,,,58-75,,R. Rubio misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by D. Russell,,58-75,,
7:50.0,Shooting foul by R. Rubio (drawn by L. Deng),,58-75,,
7:50.0,L. Deng makes free throw 1 of 2,1,59-75,,
7:50.0,L. Deng makes free throw 2 of 2,1,60-75,,
7:37.0,Personal foul by N. Young (drawn by A. Wiggins),,60-75,,
7:28.0,,,60-75,,N. Bjelica misses 2-pt shot from 8 ft
7:26.0,Jump ball: L. Deng vs. G. Dieng (R. Rubio gains possession),,,,Jump ball: L. Deng vs. G. Dieng (R. Rubio gains possession)
7:26.0,,,60-75,,Offensive rebound by Team
7:20.0,,,60-75,,N. Bjelica misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by N. Young,,60-75,,
7:13.0,,,60-75,,Shooting block foul by N. Bjelica (drawn by L. Deng)
7:13.0,L. Deng makes free throw 1 of 3,1,61-75,,
7:13.0,L. Deng makes free throw 2 of 3,1,62-75,,
7:13.0,L. Deng makes free throw 3 of 3,1,63-75,,
7:13.0,J. Calderon enters the game for D. Russell,,62-75,,
6:59.0,,,63-75,,K. Towns misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by I. Zubac,,63-75,,
6:50.0,N. Young misses 3-pt shot from 25 ft,,63-75,,
6:49.0,,,63-75,,Defensive rebound by A. Wiggins
6:41.0,,,63-75,,A. Wiggins misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by L. Deng,,63-75,,
6:33.0,Turnover by L. Deng (lost ball),,63-75,,
6:12.0,,,63-77,2,K. Towns makes 2-pt shot from 7 ft
6:02.0,Offensive foul by I. Zubac,,63-77,,
6:02.0,Turnover by I. Zubac (offensive foul),,63-77,,
6:02.0,J. Clarkson enters the game for N. Young,,63-77,,
6:02.0,B. Ingram enters the game for L. Deng,,63-77,,
5:44.0,,,63-77,,K. Towns misses 2-pt shot from 3 ft
5:43.0,,,63-77,,Offensive rebound by G. Dieng
5:25.0,,,63-77,,Turnover by R. Rubio (bad pass; steal by J. Randle)
5:18.0,J. Clarkson misses 2-pt shot from 1 ft,,63-77,,
5:17.0,,,63-77,,Defensive rebound by G. Dieng
5:10.0,,,63-79,2,N. Bjelica makes 2-pt shot from 4 ft
4:58.0,J. Calderon misses 2-pt shot from 16 ft,,63-79,,
4:56.0,,,63-79,,Defensive rebound by G. Dieng
4:51.0,Personal foul by B. Ingram (drawn by A. Wiggins),,63-79,,
4:51.0,,,63-79,,Minnesota full timeout
4:51.0,L. Nance enters the game for J. Randle,,63-79,,
4:51.0,T. Black enters the game for I. Zubac,,63-79,,
4:38.0,,,63-82,3,N. Bjelica makes 3-pt shot from 22 ft (assist by R. Rubio)
4:12.0,B. Ingram makes 3-pt shot from 24 ft (assist by J. Calderon),3,66-82,,
3:50.0,,,66-82,,A. Wiggins misses 3-pt shot from 24 ft
3:48.0,,,66-82,,Offensive rebound by Team
3:45.0,,,66-84,2,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio)
3:29.0,J. Clarkson misses 2-pt shot from 21 ft,,66-84,,
3:28.0,,,66-84,,Defensive rebound by N. Bjelica
3:19.0,,,66-84,,K. Towns misses 2-pt shot from 21 ft
3:17.0,,,66-84,,Offensive rebound by G. Dieng
3:07.0,,,66-84,,T. Jones enters the game for A. Wiggins
3:00.0,,,66-84,,K. Towns misses 2-pt shot from 17 ft
2:59.0,Defensive rebound by J. Clarkson,,66-84,,
2:51.0,J. Clarkson makes 2-pt shot from 3 ft,2,68-84,,
2:39.0,,,68-84,,N. Bjelica misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by J. Calderon,,68-84,,
2:29.0,Turnover by J. Calderon (bad pass; steal by N. Bjelica),,68-84,,
2:17.0,,,68-84,,Turnover by K. Towns (3 sec)
2:17.0,LA Lakers full timeout,,68-84,,
2:17.0,,,68-84,,C. Aldrich enters the game for G. Dieng
2:05.0,J. Clarkson misses 2-pt shot from 5 ft,,68-84,,
2:04.0,Offensive rebound by T. Black,,68-84,,
2:03.0,Shooting foul by C. Aldrich (drawn by T. Black),,68-84,,
2:03.0,T. Black makes free throw 1 of 2,1,69-84,,
2:03.0,T. Black makes free throw 2 of 2,1,70-84,,
2:03.0,,,69-84,,K. Dunn enters the game for R. Rubio
1:48.0,,,70-84,,K. Towns misses 2-pt shot at rim
1:47.0,Defensive rebound by J. Calderon,,70-84,,
1:24.0,J. Calderon misses 3-pt shot from 24 ft,,70-84,,
1:20.0,Offensive rebound by J. Calderon,,70-84,,
1:12.0,J. Clarkson misses 2-pt shot from 1 ft (block by K. Towns),,70-84,,
1:10.0,,,70-84,,Defensive rebound by C. Aldrich
1:03.0,,,70-84,,N. Bjelica misses 2-pt shot from 2 ft
1:01.0,Defensive rebound by T. Black,,70-84,,
0:48.0,Turnover by L. Nance (bad pass; steal by K. Dunn),,70-84,,
0:34.0,,,70-84,,Shooting foul by J. Clarkson (drawn by C. Aldrich)
0:34.0,,,70-84,,C. Aldrich misses free throw 1 of 2
0:34.0,,,70-84,,Offensive rebound by Team
0:34.0,,,70-84,,C. Aldrich misses free throw 2 of 2
0:34.0,Defensive rebound by L. Nance,,70-84,,
0:12.0,B. Ingram makes 2-pt shot at rim,2,72-84,,
0:00.0,,,72-87,3,K. Towns makes 3-pt shot from 24 ft (assist by T. Jones)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,72-87,,K. Towns misses 2-pt shot from 16 ft
11:45.0,Defensive rebound by L. Williams,,72-87,,
11:37.0,Shooting foul by T. Jones,,72-87,,
11:37.0,L. Williams makes free throw 1 of 3,1,73-87,,
11:37.0,L. Williams makes free throw 2 of 3,1,74-87,,
11:37.0,L. Williams makes free throw 3 of 3,1,75-87,,
11:37.0,,,74-87,,A. Wiggins enters the game for N. Bjelica
11:37.0,,,74-87,,A. Payne enters the game for K. Towns
11:37.0,N. Young enters the game for T. Black,,74-87,,
11:26.0,,,75-87,,Shooting foul by L. Nance (drawn by A. Wiggins)
11:26.0,,,75-88,1,A. Wiggins makes free throw 1 of 2
11:26.0,,,75-89,1,A. Wiggins makes free throw 2 of 2
11:17.0,,,75-89,,Violation by C. Aldrich (kicked ball)
11:05.0,L. Williams makes 3-pt shot from 23 ft (assist by B. Ingram),3,78-89,,
10:44.0,,,78-89,,Turnover by T. Jones (lost ball; steal by B. Ingram)
10:38.0,L. Williams makes 2-pt shot from 11 ft,2,80-89,,
10:37.0,,,80-89,,Minnesota full timeout
10:37.0,,,80-89,,G. Dieng enters the game for C. Aldrich
10:37.0,,,80-89,,R. Rubio enters the game for K. Dunn
10:37.0,,,80-89,,K. Towns enters the game for A. Payne
10:23.0,Personal foul by N. Young (drawn by K. Towns),,80-89,,
10:17.0,,,80-91,2,A. Wiggins makes 2-pt shot from 22 ft
10:01.0,L. Williams makes 3-pt shot from 24 ft,3,83-91,,
9:47.0,,,83-91,,Shooting foul by L. Nance (drawn by A. Wiggins)
9:47.0,,,83-92,1,A. Wiggins makes free throw 1 of 2
9:47.0,,,83-93,1,A. Wiggins makes free throw 2 of 2
9:47.0,,,83-92,,N. Bjelica enters the game for T. Jones
9:34.0,L. Nance makes 2-pt shot at rim (assist by L. Williams),2,85-93,,
9:15.0,,,85-95,2,N. Bjelica makes 2-pt shot from 3 ft
9:04.0,Turnover by L. Williams (bad pass; steal by R. Rubio),,85-95,,
8:56.0,,,85-95,,N. Bjelica misses 3-pt shot from 23 ft
8:53.0,Defensive rebound by J. Clarkson,,85-95,,
8:47.0,L. Williams misses 3-pt shot from 25 ft,,85-95,,
8:45.0,,,85-95,,Defensive rebound by K. Towns
8:28.0,,,85-95,,K. Towns misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by L. Williams,,85-95,,
8:24.0,L. Nance makes 2-pt shot at rim (assist by L. Williams),2,87-95,,
8:24.0,,,87-95,,Minnesota full timeout
8:24.0,T. Mozgov enters the game for N. Young,,87-95,,
8:09.0,,,87-95,,Shooting foul by T. Mozgov (drawn by K. Towns)
8:09.0,,,87-96,1,K. Towns makes free throw 1 of 2
8:09.0,,,87-97,1,K. Towns makes free throw 2 of 2
8:09.0,J. Randle enters the game for T. Mozgov,,87-95,,
7:56.0,J. Clarkson makes 2-pt shot from 12 ft,2,89-97,,
7:40.0,,,89-97,,Shooting foul by B. Ingram (drawn by A. Wiggins)
7:40.0,,,89-97,,A. Wiggins misses free throw 1 of 3
7:40.0,,,89-97,,Offensive rebound by Team
7:40.0,,,89-98,1,A. Wiggins makes free throw 2 of 3
7:40.0,,,89-99,1,A. Wiggins makes free throw 3 of 3
7:16.0,Turnover by J. Randle (lost ball; steal by R. Rubio),,89-99,,
6:55.0,,,89-99,,Shooting foul by J. Clarkson (drawn by A. Wiggins)
6:55.0,,,89-100,1,A. Wiggins makes free throw 1 of 2
6:55.0,,,89-100,,A. Wiggins misses free throw 2 of 2
6:54.0,Defensive rebound by J. Randle,,89-100,,
6:47.0,L. Williams misses 2-pt shot at rim,,89-100,,
6:45.0,,,89-100,,Defensive rebound by K. Towns
6:25.0,,,89-103,3,K. Towns makes 3-pt shot from 23 ft (assist by R. Rubio)
6:23.0,LA Lakers full timeout,,89-103,,
6:23.0,D. Russell enters the game for J. Clarkson,,89-103,,
6:23.0,L. Deng enters the game for L. Nance,,89-103,,
6:11.0,L. Williams misses 3-pt shot from 26 ft,,89-103,,
6:10.0,Offensive rebound by L. Deng,,89-103,,
6:04.0,J. Randle makes 2-pt shot from 2 ft,2,91-103,,
5:46.0,,,91-105,2,A. Wiggins makes 2-pt shot from 1 ft
