time,Houston,pts.away,score,pts.home,Portland
5:48.0,,,18-19,,M. Harkless misses 2-pt shot from 2 ft (block by C. Capela)
5:48.0,,,18-19,,Offensive rebound by M. Plumlee
5:43.0,,,18-21,2,M. Plumlee makes 2-pt shot from 3 ft
5:32.0,P. Beverley misses 3-pt shot from 23 ft,,18-21,,
5:30.0,,,18-21,,Defensive rebound by C. McCollum
5:20.0,,,18-21,,Shooting foul by C. Capela (drawn by C. McCollum)
5:20.0,,,18-22,1,C. McCollum makes free throw 1 of 2
5:20.0,,,18-23,1,C. McCollum makes free throw 2 of 2
5:04.0,J. Harden makes 3-pt shot from 25 ft (assist by R. Anderson),3,21-23,,
4:50.0,Personal foul by R. Anderson (drawn by D. Lillard),,21-23,,
4:50.0,E. Gordon enters the game for P. Beverley,,21-23,,
4:36.0,,,21-23,,M. Plumlee misses 2-pt shot from 19 ft
4:35.0,Defensive rebound by R. Anderson,,21-23,,
4:22.0,R. Anderson makes 2-pt shot from 18 ft (assist by T. Ariza),2,23-23,,
4:05.0,,,23-25,2,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard)
3:58.0,,,23-25,,Personal foul by D. Lillard (drawn by T. Ariza)
3:58.0,,,23-25,,A. Crabbe enters the game for C. McCollum
3:58.0,,,23-25,,E. Turner enters the game for M. Harkless
3:49.0,S. Dekker enters the game for R. Anderson,,23-25,,
3:49.0,Jump ball: C. Capela vs. D. Lillard (E. Gordon gains possession),,,,Jump ball: C. Capela vs. D. Lillard (E. Gordon gains possession)
3:41.0,E. Gordon makes 2-pt shot at rim,2,25-25,,
3:33.0,,,25-25,,Turnover by A. Crabbe (bad pass; steal by E. Gordon)
3:27.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,27-25,,
3:08.0,,,27-28,3,E. Turner makes 3-pt shot from 24 ft (assist by D. Lillard)
2:44.0,S. Dekker misses 3-pt shot from 23 ft,,27-28,,
2:43.0,,,27-28,,Defensive rebound by A. Crabbe
2:34.0,,,27-30,2,D. Lillard makes 2-pt shot from 1 ft
2:34.0,Houston full timeout,,27-30,,
2:34.0,N. Hilario enters the game for C. Capela,,27-30,,
2:34.0,,,27-30,,M. Leonard enters the game for E. Davis
2:34.0,,,27-30,,S. Napier enters the game for M. Plumlee
2:22.0,E. Gordon misses 3-pt shot from 25 ft,,27-30,,
2:21.0,,,27-30,,Defensive rebound by A. Crabbe
2:10.0,,,27-32,2,M. Leonard makes 2-pt shot from 9 ft (assist by D. Lillard)
2:00.0,Shooting foul by M. Leonard (drawn by J. Harden),,27-32,,
2:00.0,J. Harden misses free throw 1 of 2,,27-32,,
2:00.0,Offensive rebound by Team,,27-32,,
2:00.0,J. Harden makes free throw 2 of 2,1,28-32,,
2:00.0,C. Brewer enters the game for T. Ariza,,27-32,,
1:47.0,,,28-32,,Shooting foul by C. Brewer (drawn by D. Lillard)
1:47.0,,,28-32,,D. Lillard misses free throw 1 of 2
1:47.0,,,28-32,,Offensive rebound by Team
1:47.0,,,28-33,1,D. Lillard makes free throw 2 of 2
1:47.0,P. Beverley enters the game for J. Harden,,28-32,,
1:34.0,N. Hilario makes 2-pt shot at rim (assist by P. Beverley),2,30-33,,
1:21.0,,,30-33,,Shooting foul by P. Beverley (drawn by D. Lillard)
1:21.0,,,30-34,1,D. Lillard makes free throw 1 of 2
1:21.0,,,30-35,1,D. Lillard makes free throw 2 of 2
1:03.0,E. Gordon misses 3-pt shot from 26 ft,,30-35,,
1:01.0,,,30-35,,Defensive rebound by S. Napier
0:56.0,,,30-35,,S. Napier misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by E. Gordon,,30-35,,
0:49.0,Turnover by E. Gordon (lost ball; steal by S. Napier),,30-35,,
0:41.0,,,30-35,,D. Lillard misses 2-pt shot from 2 ft (block by P. Beverley)
0:40.0,Defensive rebound by C. Brewer,,30-35,,
0:32.0,N. Hilario misses 2-pt shot from 20 ft,,30-35,,
0:31.0,Offensive rebound by P. Beverley,,30-35,,
0:27.0,E. Gordon makes 3-pt shot from 27 ft (assist by P. Beverley),3,33-35,,
0:05.0,,,33-35,,D. Lillard misses 2-pt shot from 2 ft (block by S. Dekker)
0:05.0,,,33-35,,Offensive rebound by Team
0:05.0,,,33-35,,Turnover by D. Lillard (bad pass; steal by S. Dekker)
0:01.0,S. Dekker makes 2-pt shot at rim,2,35-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,35-35,,S. Napier misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by C. Brewer,,35-35,,
11:36.0,Turnover by C. Brewer (lost ball),,35-35,,
11:20.0,,,35-35,,M. Leonard misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by S. Dekker,,35-35,,
11:03.0,E. Gordon makes 3-pt shot from 24 ft (assist by N. Hilario),3,38-35,,
11:03.0,Shooting foul by S. Napier (drawn by E. Gordon),,38-35,,
11:03.0,E. Gordon makes free throw 1 of 1,1,39-35,,
10:50.0,,,39-37,2,C. McCollum makes 2-pt shot from 2 ft
10:32.0,E. Gordon makes 2-pt shot from 2 ft,2,41-37,,
10:20.0,,,41-39,2,E. Turner makes 2-pt shot from 2 ft
10:20.0,,,41-39,,Shooting foul by C. Brewer (drawn by E. Turner)
10:20.0,,,41-40,1,E. Turner makes free throw 1 of 1
10:20.0,,,41-39,,M. Harkless enters the game for S. Napier
10:12.0,,,41-40,,Personal foul by E. Turner (drawn by E. Gordon)
10:03.0,Shooting foul by C. McCollum (drawn by P. Beverley),,41-40,,
10:03.0,P. Beverley makes free throw 1 of 2,1,42-40,,
10:03.0,P. Beverley misses free throw 2 of 2,,42-40,,
10:03.0,,,42-40,,Defensive rebound by M. Harkless
9:53.0,,,42-42,2,E. Turner makes 2-pt shot from 11 ft
9:37.0,N. Hilario makes 2-pt shot from 1 ft,2,44-42,,
9:16.0,,,44-42,,M. Leonard misses 3-pt shot from 24 ft
9:15.0,Defensive rebound by E. Gordon,,44-42,,
9:08.0,E. Gordon misses 2-pt shot from 10 ft,,44-42,,
9:06.0,Offensive rebound by E. Gordon,,44-42,,
9:03.0,S. Dekker misses 2-pt shot from 23 ft,,44-42,,
9:03.0,,,44-42,,Defensive rebound by E. Turner
8:57.0,Violation by S. Dekker (kicked ball),,44-42,,
8:57.0,Official timeout,,44-42,,
8:50.0,,,44-42,,A. Crabbe misses 2-pt shot from 16 ft
8:49.0,Defensive rebound by N. Hilario,,44-42,,
8:33.0,N. Hilario misses 2-pt shot from 16 ft,,44-42,,
8:32.0,,,44-42,,Defensive rebound by C. McCollum
8:15.0,,,44-44,2,C. McCollum makes 2-pt shot from 23 ft
8:03.0,Turnover by S. Dekker (lost ball; steal by C. McCollum),,44-44,,
7:57.0,,,44-44,,C. McCollum misses 2-pt shot from 1 ft (block by N. Hilario)
7:56.0,Defensive rebound by P. Beverley,,44-44,,
7:44.0,S. Dekker makes 2-pt shot at rim (assist by E. Gordon),2,46-44,,
7:24.0,,,46-44,,E. Turner misses 2-pt shot from 14 ft
7:24.0,Defensive rebound by C. Brewer,,46-44,,
7:16.0,E. Gordon misses 3-pt shot from 23 ft,,46-44,,
7:15.0,,,46-44,,Defensive rebound by A. Crabbe
7:07.0,,,46-47,3,C. McCollum makes 3-pt shot from 24 ft (assist by M. Leonard)
6:47.0,P. Beverley misses 3-pt shot from 25 ft,,46-47,,
6:46.0,,,46-47,,Defensive rebound by M. Leonard
6:34.0,,,46-50,3,A. Crabbe makes 3-pt shot from 25 ft (assist by E. Turner)
6:33.0,Houston full timeout,,46-50,,
6:33.0,T. Ariza enters the game for P. Beverley,,46-50,,
6:33.0,R. Anderson enters the game for S. Dekker,,46-50,,
6:33.0,C. Capela enters the game for N. Hilario,,46-50,,
6:33.0,J. Harden enters the game for C. Brewer,,46-50,,
6:20.0,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden),2,48-50,,
6:08.0,,,48-50,,C. McCollum misses 2-pt shot from 10 ft
6:07.0,,,48-50,,Offensive rebound by M. Harkless
6:05.0,,,48-52,2,M. Harkless makes 2-pt shot at rim
5:50.0,J. Harden misses 2-pt shot from 2 ft,,48-52,,
5:49.0,,,48-52,,Defensive rebound by E. Turner
5:41.0,,,48-52,,A. Crabbe misses 3-pt shot from 23 ft
5:40.0,Defensive rebound by C. Capela,,48-52,,
5:32.0,Shooting foul by C. McCollum (drawn by T. Ariza),,48-52,,
5:32.0,T. Ariza misses free throw 1 of 2,,48-52,,
5:32.0,Offensive rebound by Team,,48-52,,
5:32.0,T. Ariza misses free throw 2 of 2,,48-52,,
5:32.0,,,48-52,,D. Lillard enters the game for C. McCollum
5:32.0,,,48-52,,M. Plumlee enters the game for M. Leonard
5:31.0,,,48-52,,Defensive rebound by E. Turner
5:26.0,,,48-52,,Turnover by E. Turner (bad pass)
5:14.0,J. Harden makes 2-pt shot from 11 ft,2,50-52,,
4:56.0,,,50-52,,E. Turner misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by C. Capela,,50-52,,
4:36.0,E. Gordon misses 2-pt shot from 4 ft,,50-52,,
4:36.0,Offensive rebound by C. Capela,,50-52,,
4:33.0,C. Capela makes 2-pt shot from 2 ft,2,52-52,,
4:18.0,,,52-52,,Turnover by D. Lillard (bad pass; steal by T. Ariza)
4:12.0,R. Anderson misses 3-pt shot from 26 ft,,52-52,,
4:11.0,,,52-52,,Defensive rebound by M. Plumlee
4:01.0,,,52-52,,Turnover by D. Lillard (bad pass)
3:51.0,,,52-52,,Personal foul by A. Crabbe (drawn by J. Harden)
3:51.0,J. Harden makes free throw 1 of 2,1,53-52,,
3:51.0,J. Harden makes free throw 2 of 2,1,54-52,,
3:51.0,,,53-52,,E. Davis enters the game for A. Crabbe
3:51.0,,,53-52,,C. McCollum enters the game for E. Turner
3:36.0,,,54-52,,Turnover by C. McCollum (bad pass; steal by R. Anderson)
3:27.0,J. Harden makes 3-pt shot from 25 ft,3,57-52,,
3:26.0,,,57-52,,Portland full timeout
3:06.0,,,57-52,,C. McCollum misses 2-pt shot from 1 ft
3:06.0,,,57-52,,Offensive rebound by Team
3:06.0,P. Beverley enters the game for E. Gordon,,57-52,,
3:02.0,,,57-52,,C. McCollum misses 3-pt shot from 24 ft (block by P. Beverley)
3:02.0,,,57-52,,Offensive rebound by Team
3:02.0,,,57-52,,Turnover by Team (shot clock)
3:02.0,,,57-52,,Technical foul by C. McCollum
3:02.0,J. Harden makes technical free throw,1,58-52,,
2:52.0,,,58-52,,Shooting block foul by M. Plumlee (drawn by R. Anderson)
2:52.0,R. Anderson makes free throw 1 of 2,1,59-52,,
2:52.0,R. Anderson makes free throw 2 of 2,1,60-52,,
2:35.0,,,60-52,,D. Lillard misses 2-pt shot from 3 ft
2:35.0,,,60-52,,Offensive rebound by M. Plumlee
2:35.0,,,60-54,2,M. Plumlee makes 2-pt shot at rim
2:10.0,J. Harden misses 2-pt shot from 2 ft,,60-54,,
2:08.0,,,60-54,,Defensive rebound by D. Lillard
2:07.0,,,60-56,2,M. Harkless makes 2-pt shot from 1 ft (assist by C. McCollum)
2:07.0,,,60-56,,Shooting foul by P. Beverley (drawn by M. Harkless)
2:07.0,,,60-57,1,M. Harkless makes free throw 1 of 1
1:52.0,T. Ariza makes 3-pt shot from 23 ft (assist by R. Anderson),3,63-57,,
1:42.0,Personal foul by T. Ariza (drawn by D. Lillard),,63-57,,
1:31.0,,,63-57,,M. Plumlee misses 2-pt shot from 6 ft
1:30.0,,,63-57,,Offensive rebound by M. Plumlee
1:24.0,,,63-60,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Plumlee)
1:11.0,J. Harden misses 3-pt shot from 25 ft,,63-60,,
1:10.0,,,63-60,,Defensive rebound by E. Davis
0:59.0,,,63-60,,D. Lillard misses 3-pt shot from 25 ft
0:58.0,,,63-60,,Offensive rebound by M. Plumlee
0:57.0,,,63-60,,Shooting foul by J. Harden (drawn by M. Plumlee)
0:57.0,,,63-60,,M. Plumlee misses free throw 1 of 2
0:57.0,,,63-60,,Offensive rebound by Team
0:57.0,,,63-60,,M. Plumlee misses free throw 2 of 2
0:56.0,Defensive rebound by R. Anderson,,63-60,,
0:44.0,Shooting foul by E. Davis (drawn by J. Harden),,63-60,,
0:44.0,J. Harden makes free throw 1 of 2,1,64-60,,
0:44.0,J. Harden makes free throw 2 of 2,1,65-60,,
0:44.0,,,64-60,,A. Crabbe enters the game for E. Davis
0:35.0,,,65-60,,Shooting foul by C. Capela (drawn by D. Lillard)
0:35.0,,,65-61,1,D. Lillard makes free throw 1 of 2
0:35.0,,,65-62,1,D. Lillard makes free throw 2 of 2
0:35.0,,,65-61,,E. Davis enters the game for M. Plumlee
0:35.0,,,65-61,,E. Turner enters the game for C. McCollum
0:27.0,J. Harden misses 3-pt shot from 24 ft,,65-62,,
0:27.0,,,65-62,,Defensive rebound by M. Harkless
0:14.0,,,65-62,,Portland full timeout
0:14.0,,,65-62,,C. McCollum enters the game for E. Davis
0:14.0,C. Brewer enters the game for R. Anderson,,65-62,,
0:03.0,,,65-62,,C. McCollum misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by Team,,65-62,,
0:00.0,J. Harden misses 3-pt shot from 45 ft,,65-62,,
0:00.0,Offensive rebound by Team,,65-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,65-62,,Shooting foul by P. Beverley (drawn by C. McCollum)
11:45.0,,,65-63,1,C. McCollum makes free throw 1 of 2
11:45.0,,,65-64,1,C. McCollum makes free throw 2 of 2
11:22.0,C. Capela misses 2-pt shot from 1 ft,,65-64,,
11:20.0,Offensive rebound by J. Harden,,65-64,,
11:20.0,J. Harden makes 2-pt shot from 1 ft,2,67-64,,
11:12.0,,,67-64,,C. McCollum misses 3-pt shot from 24 ft
11:11.0,,,67-64,,Offensive rebound by M. Plumlee
11:00.0,,,67-66,2,C. McCollum makes 2-pt shot from 7 ft
10:43.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,69-66,,
10:28.0,,,69-68,2,M. Harkless makes 2-pt shot at rim (assist by M. Plumlee)
10:12.0,P. Beverley misses 2-pt shot from 1 ft,,69-68,,
10:11.0,,,69-68,,Defensive rebound by D. Lillard
10:01.0,,,69-68,,D. Lillard misses 2-pt shot from 7 ft
10:01.0,Defensive rebound by C. Capela,,69-68,,
9:54.0,Shooting foul by E. Davis (drawn by C. Capela),,69-68,,
9:54.0,C. Capela makes free throw 1 of 2,1,70-68,,
9:54.0,C. Capela misses free throw 2 of 2,,70-68,,
9:53.0,,,70-68,,Defensive rebound by M. Plumlee
9:38.0,,,70-71,3,M. Harkless makes 3-pt shot from 25 ft (assist by M. Plumlee)
9:20.0,R. Anderson makes 2-pt shot from 19 ft,2,72-71,,
9:02.0,,,72-71,,Turnover by D. Lillard (bad pass)
8:50.0,J. Harden makes 3-pt shot from 24 ft,3,75-71,,
8:27.0,,,75-73,2,D. Lillard makes 2-pt shot from 17 ft
8:06.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,78-73,,
7:46.0,,,78-75,2,M. Plumlee makes 2-pt shot at rim (assist by E. Davis)
7:38.0,R. Anderson makes 3-pt shot from 24 ft (assist by T. Ariza),3,81-75,,
7:21.0,,,81-75,,M. Harkless misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by P. Beverley,,81-75,,
7:13.0,J. Harden makes 2-pt shot from 2 ft,2,83-75,,
7:12.0,,,83-75,,Portland full timeout
7:12.0,,,83-75,,E. Turner enters the game for E. Davis
6:52.0,,,83-75,,Turnover by D. Lillard (bad pass; steal by J. Harden)
6:48.0,Turnover by J. Harden (bad pass; steal by D. Lillard),,83-75,,
6:29.0,,,83-75,,E. Turner misses 2-pt shot from 12 ft (block by J. Harden)
6:28.0,Defensive rebound by C. Capela,,83-75,,
6:22.0,,,83-75,,Personal foul by E. Turner (drawn by J. Harden)
6:22.0,E. Gordon enters the game for P. Beverley,,83-75,,
6:13.0,,,83-75,,Personal foul by M. Harkless (drawn by R. Anderson)
6:01.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,85-75,,
5:42.0,Loose ball foul by T. Ariza (drawn by D. Lillard),,85-75,,
5:30.0,,,85-77,2,E. Turner makes 2-pt shot from 3 ft
5:16.0,C. Capela misses 2-pt shot from 3 ft,,85-77,,
5:16.0,,,85-77,,Defensive rebound by E. Turner
5:08.0,,,85-77,,C. McCollum misses 3-pt shot from 24 ft
5:07.0,Defensive rebound by R. Anderson,,85-77,,
5:00.0,Turnover by J. Harden (bad pass),,85-77,,
4:50.0,,,85-79,2,C. McCollum makes 2-pt shot from 10 ft (assist by M. Plumlee)
4:33.0,E. Gordon misses 2-pt shot from 1 ft,,85-79,,
4:31.0,Offensive rebound by R. Anderson,,85-79,,
4:27.0,Turnover by R. Anderson (lost ball; steal by M. Harkless),,85-79,,
4:11.0,,,85-82,3,E. Turner makes 3-pt shot from 22 ft (assist by C. McCollum)
4:11.0,Houston full timeout,,85-82,,
4:11.0,S. Dekker enters the game for R. Anderson,,85-82,,
4:11.0,N. Hilario enters the game for C. Capela,,85-82,,
4:11.0,,,85-82,,A. Crabbe enters the game for D. Lillard
3:56.0,Turnover by J. Harden (bad pass; steal by M. Harkless),,85-82,,
3:37.0,,,85-85,3,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Plumlee)
3:21.0,E. Gordon makes 2-pt shot from 22 ft,2,87-85,,
3:06.0,,,87-85,,Turnover by M. Plumlee (offensive goaltending)
3:06.0,P. Beverley enters the game for J. Harden,,87-85,,
3:06.0,C. Brewer enters the game for T. Ariza,,87-85,,
2:52.0,N. Hilario misses 2-pt shot from 1 ft,,87-85,,
2:52.0,,,87-85,,Defensive rebound by A. Crabbe
2:40.0,,,87-85,,E. Turner misses 2-pt shot from 2 ft
2:40.0,Defensive rebound by Team,,87-85,,
2:40.0,,,87-85,,Personal foul by M. Harkless (drawn by P. Beverley)
2:30.0,E. Gordon makes 3-pt shot from 27 ft,3,90-85,,
2:08.0,,,90-85,,C. McCollum misses 2-pt shot from 3 ft (block by N. Hilario)
2:07.0,Defensive rebound by E. Gordon,,90-85,,
2:01.0,E. Gordon makes 3-pt shot from 25 ft (assist by C. Brewer),3,93-85,,
1:40.0,,,93-87,2,M. Harkless makes 2-pt shot from 5 ft (assist by E. Turner)
1:40.0,,,93-87,,Shooting foul by N. Hilario (drawn by M. Harkless)
1:40.0,,,93-88,1,M. Harkless makes free throw 1 of 1
1:20.0,Turnover by N. Hilario (3 sec),,93-88,,
1:20.0,,,93-88,,D. Lillard enters the game for C. McCollum
1:20.0,,,93-88,,E. Davis enters the game for M. Plumlee
1:20.0,,,93-88,,J. Layman enters the game for M. Harkless
1:03.0,Personal foul by N. Hilario (drawn by E. Davis),,93-88,,
1:03.0,,,93-88,,E. Davis misses free throw 1 of 2
1:03.0,,,93-88,,Offensive rebound by Team
1:03.0,,,93-89,1,E. Davis makes free throw 2 of 2
0:50.0,P. Beverley misses 2-pt shot from 2 ft,,93-89,,
0:50.0,,,93-89,,Defensive rebound by E. Turner
0:45.0,,,93-91,2,E. Turner makes 2-pt shot at rim
0:45.0,,,93-91,,Shooting foul by S. Dekker (drawn by E. Turner)
0:45.0,,,93-91,,E. Turner misses free throw 1 of 1
0:45.0,Defensive rebound by S. Dekker,,93-91,,
0:31.0,Shooting foul by E. Davis (drawn by E. Gordon),,93-91,,
0:31.0,E. Gordon misses free throw 1 of 2,,93-91,,
0:31.0,Offensive rebound by Team,,93-91,,
0:31.0,E. Gordon makes free throw 2 of 2,1,94-91,,
0:27.0,,,94-91,,Shooting foul by N. Hilario (drawn by D. Lillard)
0:27.0,,,94-92,1,D. Lillard makes free throw 1 of 2
0:27.0,,,94-93,1,D. Lillard makes free throw 2 of 2
0:04.0,N. Hilario makes 2-pt shot from 3 ft (assist by E. Gordon),2,96-93,,
0:00.0,,,96-93,,D. Lillard misses 3-pt shot from 36 ft
0:00.0,,,96-93,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,Turnover by S. Dekker (traveling),,96-93,,
11:33.0,,,96-95,2,E. Davis makes 2-pt shot at rim (assist by J. Layman)
11:16.0,N. Hilario makes 2-pt shot from 2 ft (assist by E. Gordon),2,98-95,,
10:54.0,,,98-95,,E. Turner misses 2-pt shot from 9 ft
10:54.0,Defensive rebound by N. Hilario,,98-95,,
10:42.0,E. Gordon makes 3-pt shot from 25 ft,3,101-95,,
10:19.0,,,101-95,,Offensive charge foul by A. Crabbe
10:19.0,,,101-95,,Turnover by A. Crabbe (offensive foul)
10:11.0,E. Gordon makes 3-pt shot from 26 ft,3,104-95,,
9:44.0,,,104-95,,A. Crabbe misses 2-pt shot from 5 ft
9:43.0,Defensive rebound by N. Hilario,,104-95,,
9:30.0,C. Brewer misses 2-pt shot from 2 ft,,104-95,,
9:28.0,,,104-95,,Defensive rebound by A. Crabbe
9:19.0,,,104-95,,E. Turner misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by C. Brewer,,104-95,,
9:10.0,P. Beverley misses 3-pt shot from 24 ft,,104-95,,
9:10.0,,,104-95,,Defensive rebound by E. Turner
9:03.0,Personal foul by N. Hilario (drawn by D. Lillard),,104-95,,
9:03.0,,,104-95,,C. McCollum enters the game for E. Turner
9:03.0,,,104-95,,M. Harkless enters the game for J. Layman
8:54.0,,,104-95,,D. Lillard misses 3-pt shot from 29 ft
8:54.0,Defensive rebound by E. Gordon,,104-95,,
8:50.0,C. Brewer misses 2-pt shot at rim,,104-95,,
8:49.0,,,104-95,,Defensive rebound by Team
8:49.0,Official timeout,,104-95,,
8:49.0,C. Capela enters the game for N. Hilario,,104-95,,
8:49.0,J. Harden enters the game for P. Beverley,,104-95,,
8:49.0,,,104-95,,M. Plumlee enters the game for E. Davis
8:29.0,Personal foul by E. Gordon (drawn by D. Lillard),,104-95,,
8:24.0,,,104-98,3,D. Lillard makes 3-pt shot from 27 ft (assist by C. McCollum)
8:11.0,Turnover by J. Harden (bad pass; steal by C. McCollum),,104-98,,
8:05.0,,,104-100,2,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum)
7:49.0,S. Dekker misses 3-pt shot from 24 ft,,104-100,,
7:48.0,,,104-100,,Defensive rebound by Team
7:39.0,,,104-100,,D. Lillard misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by C. Capela,,104-100,,
7:29.0,R. Anderson enters the game for S. Dekker,,104-100,,
7:29.0,T. Ariza enters the game for C. Brewer,,104-100,,
7:14.0,C. Capela makes 2-pt shot at rim (assist by E. Gordon),2,106-100,,
6:53.0,,,106-100,,M. Harkless misses 2-pt shot from 2 ft (block by C. Capela)
6:52.0,Defensive rebound by T. Ariza,,106-100,,
6:49.0,Shooting foul by C. McCollum (drawn by J. Harden),,106-100,,
6:49.0,J. Harden makes free throw 1 of 2,1,107-100,,
6:49.0,J. Harden makes free throw 2 of 2,1,108-100,,
6:32.0,,,108-100,,D. Lillard misses 2-pt shot from 4 ft
6:31.0,Defensive rebound by R. Anderson,,108-100,,
6:17.0,J. Harden misses 3-pt shot from 24 ft,,108-100,,
6:17.0,,,108-100,,Defensive rebound by D. Lillard
6:09.0,,,108-100,,Turnover by M. Plumlee (bad pass; steal by T. Ariza)
6:00.0,T. Ariza makes 3-pt shot from 24 ft (assist by R. Anderson),3,111-100,,
6:00.0,,,111-100,,Portland full timeout
5:45.0,,,111-100,,C. McCollum misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by R. Anderson,,111-100,,
5:38.0,Turnover by J. Harden (lost ball; steal by A. Crabbe),,111-100,,
5:38.0,Personal foul by J. Harden (drawn by A. Crabbe),,111-100,,
5:29.0,,,111-100,,Shooting foul by T. Ariza (drawn by D. Lillard)
5:29.0,,,111-101,1,D. Lillard makes free throw 1 of 2
5:29.0,,,111-102,1,D. Lillard makes free throw 2 of 2
5:29.0,P. Beverley enters the game for E. Gordon,,111-101,,
5:14.0,,,111-102,,Personal foul by M. Plumlee (drawn by J. Harden)
4:59.0,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza),3,114-102,,
4:48.0,,,114-104,2,D. Lillard makes 2-pt shot from 3 ft
4:37.0,J. Harden makes 2-pt shot from 1 ft,2,116-104,,
4:19.0,,,116-104,,C. McCollum misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by Team,,116-104,,
4:08.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,118-104,,
4:08.0,,,118-104,,Portland full timeout
3:52.0,,,118-107,3,M. Harkless makes 3-pt shot from 25 ft (assist by C. McCollum)
3:44.0,C. Capela misses 2-pt shot from 2 ft (block by M. Plumlee),,118-107,,
3:43.0,Offensive rebound by C. Capela,,118-107,,
3:35.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,120-107,,
3:14.0,,,120-109,2,D. Lillard makes 2-pt shot from 21 ft (assist by C. McCollum)
