time,San Antonio,pts.away,score,pts.home,Minnesota
6:45.0,K. Anderson misses 3-pt shot from 24 ft,,5-12,,
6:44.0,,,5-12,,Defensive rebound by R. Rubio
6:34.0,,,5-12,,Shooting foul by P. Mills (drawn by G. Dieng)
6:34.0,,,5-14,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
6:34.0,,,5-15,1,G. Dieng makes free throw 1 of 1
6:23.0,J. Simmons misses 2-pt shot from 5 ft,,5-15,,
6:22.0,,,5-15,,Defensive rebound by K. Towns
6:20.0,,,5-15,,Turnover by K. Towns (bad pass; steal by D. Lee)
6:16.0,D. Lee misses 2-pt shot from 18 ft,,5-15,,
6:15.0,,,5-15,,Defensive rebound by A. Wiggins
6:08.0,,,5-15,,Offensive foul by A. Wiggins
6:08.0,,,5-15,,Turnover by A. Wiggins (offensive foul)
5:46.0,D. Dedmon makes 2-pt shot from 18 ft,2,7-15,,
5:20.0,,,7-15,,A. Wiggins misses 2-pt shot from 18 ft
5:19.0,Defensive rebound by K. Anderson,,7-15,,
5:10.0,P. Mills makes 2-pt shot from 19 ft (assist by D. Dedmon),2,9-15,,
4:49.0,,,9-15,,K. Towns misses 2-pt shot from 8 ft
4:48.0,Defensive rebound by D. Lee,,9-15,,
4:32.0,P. Mills misses 2-pt shot from 20 ft,,9-15,,
4:31.0,,,9-15,,Defensive rebound by R. Rubio
4:16.0,,,9-15,,K. Towns misses 2-pt shot from 12 ft
4:15.0,Defensive rebound by D. Lee,,9-15,,
4:09.0,P. Mills misses 3-pt shot from 25 ft,,9-15,,
4:07.0,Offensive rebound by P. Mills,,9-15,,
3:50.0,J. Simmons misses 2-pt shot from 17 ft,,9-15,,
3:49.0,,,9-15,,Defensive rebound by A. Wiggins
3:41.0,,,9-15,,R. Rubio misses 2-pt shot from 20 ft
3:40.0,,,9-15,,Offensive rebound by K. Towns
3:36.0,,,9-15,,A. Wiggins misses 3-pt shot from 27 ft
3:34.0,Defensive rebound by D. Dedmon,,9-15,,
3:29.0,San Antonio full timeout,,9-15,,
3:29.0,,,9-15,,C. Aldrich enters the game for G. Dieng
3:29.0,,,9-15,,S. Muhammad enters the game for A. Wiggins
3:24.0,Shooting foul by S. Muhammad (drawn by K. Anderson),,9-15,,
3:24.0,K. Anderson makes free throw 1 of 2,1,10-15,,
3:24.0,K. Anderson makes free throw 2 of 2,1,11-15,,
3:07.0,,,11-18,3,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Towns)
2:51.0,,,11-18,,Personal foul by R. Rubio
2:51.0,,,11-18,,Minnesota full timeout
2:51.0,,,11-18,,K. Dunn enters the game for R. Rubio
2:37.0,J. Simmons makes 2-pt shot from 1 ft,2,13-18,,
2:34.0,,,13-18,,Technical foul by Team
2:34.0,P. Mills makes technical free throw,1,14-18,,
2:34.0,L. Aldridge enters the game for D. Lee,,14-18,,
2:34.0,K. Leonard enters the game for J. Simmons,,14-18,,
2:24.0,,,14-18,,K. Towns misses 2-pt shot from 17 ft
2:23.0,Defensive rebound by K. Anderson,,14-18,,
2:18.0,,,14-18,,Personal foul by Z. LaVine (drawn by K. Leonard)
2:06.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Leonard),3,17-18,,
1:44.0,,,17-18,,S. Muhammad misses 3-pt shot from 24 ft
1:43.0,,,17-18,,Offensive rebound by C. Aldrich
1:38.0,,,17-18,,S. Muhammad misses 2-pt shot from 11 ft
1:37.0,,,17-18,,Offensive rebound by Team
1:25.0,,,17-18,,K. Towns misses 2-pt shot from 6 ft
1:24.0,Defensive rebound by D. Dedmon,,17-18,,
1:14.0,P. Mills makes 2-pt shot from 21 ft,2,19-18,,
1:02.0,,,19-18,,Turnover by K. Towns (bad pass; steal by L. Aldridge)
0:56.0,K. Anderson misses 2-pt shot at rim,,19-18,,
0:55.0,,,19-18,,Defensive rebound by K. Towns
0:38.0,Personal foul by K. Anderson (drawn by K. Dunn),,19-18,,
0:32.0,,,19-20,2,K. Dunn makes 2-pt shot from 20 ft (assist by K. Towns)
0:16.0,L. Aldridge misses 2-pt shot from 19 ft,,19-20,,
0:15.0,,,19-20,,Defensive rebound by Z. LaVine
0:01.0,,,19-22,2,Z. LaVine makes 2-pt shot from 16 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,19-24,2,C. Aldrich makes 2-pt shot from 1 ft (assist by K. Dunn)
11:24.0,Turnover by L. Aldridge (traveling),,19-24,,
11:09.0,,,19-24,,C. Aldrich misses 2-pt shot from 1 ft
11:07.0,,,19-24,,Offensive rebound by S. Muhammad
11:05.0,,,19-26,2,S. Muhammad makes 2-pt shot from 4 ft
10:55.0,Turnover by N. Laprovittola (step out of bounds),,19-26,,
10:41.0,,,19-29,3,Z. LaVine makes 3-pt shot from 24 ft (assist by C. Aldrich)
10:21.0,K. Leonard makes 2-pt shot from 17 ft,2,21-29,,
10:07.0,,,21-29,,Z. LaVine misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by D. Green,,21-29,,
9:54.0,P. Gasol makes 2-pt shot from 8 ft,2,23-29,,
9:41.0,,,23-32,3,K. Dunn makes 3-pt shot from 24 ft
9:23.0,K. Leonard makes 2-pt shot from 18 ft,2,25-32,,
9:10.0,Personal foul by N. Laprovittola (drawn by K. Dunn),,25-32,,
9:10.0,,,25-32,,A. Wiggins enters the game for Z. LaVine
9:03.0,,,25-32,,Turnover by S. Muhammad (traveling)
8:50.0,,,25-32,,Personal foul by K. Dunn (drawn by K. Leonard)
8:50.0,San Antonio full timeout,,25-32,,
8:37.0,P. Gasol makes 2-pt shot from 10 ft,2,27-32,,
8:21.0,,,27-32,,S. Muhammad misses 2-pt shot from 9 ft
8:19.0,,,27-32,,Offensive rebound by K. Dunn
8:19.0,,,27-34,2,K. Dunn makes 2-pt shot from 1 ft
7:59.0,P. Gasol makes 3-pt shot from 25 ft (assist by K. Leonard),3,30-34,,
7:37.0,,,30-34,,N. Bjelica misses 3-pt shot from 26 ft
7:36.0,,,30-34,,Offensive rebound by A. Wiggins
7:31.0,,,30-36,2,A. Wiggins makes 2-pt shot from 16 ft
7:21.0,,,30-36,,Personal foul by A. Wiggins (drawn by K. Leonard)
7:21.0,,,30-36,,G. Dieng enters the game for C. Aldrich
7:21.0,J. Simmons enters the game for D. Green,,30-36,,
7:21.0,D. Dedmon enters the game for P. Gasol,,30-36,,
7:15.0,K. Leonard makes 2-pt shot from 15 ft (assist by N. Laprovittola),2,32-36,,
6:59.0,Personal foul by J. Simmons (drawn by S. Muhammad),,32-36,,
6:59.0,,,32-36,,K. Towns enters the game for N. Bjelica
6:49.0,,,32-36,,Turnover by G. Dieng (bad pass; steal by L. Aldridge)
6:39.0,Turnover by N. Laprovittola (bad pass; steal by K. Towns),,32-36,,
6:27.0,,,32-36,,K. Towns misses 2-pt shot from 2 ft
6:26.0,,,32-36,,Offensive rebound by G. Dieng
6:25.0,,,32-38,2,G. Dieng makes 2-pt shot from 1 ft
6:24.0,San Antonio full timeout,,32-38,,
6:24.0,P. Mills enters the game for N. Laprovittola,,32-38,,
6:24.0,,,32-38,,R. Rubio enters the game for K. Dunn
6:07.0,K. Leonard makes 2-pt shot from 6 ft,2,34-38,,
5:48.0,,,34-38,,A. Wiggins misses 2-pt shot from 1 ft
5:45.0,Defensive rebound by D. Dedmon,,34-38,,
5:37.0,,,34-38,,Violation by R. Rubio (kicked ball)
5:37.0,K. Anderson enters the game for K. Leonard,,34-38,,
5:22.0,J. Simmons misses 2-pt shot from 6 ft,,34-38,,
5:21.0,,,34-38,,Defensive rebound by G. Dieng
5:12.0,,,34-38,,S. Muhammad misses 2-pt shot from 1 ft (block by J. Simmons)
5:11.0,,,34-38,,Offensive rebound by Team
5:11.0,P. Gasol enters the game for L. Aldridge,,34-38,,
5:11.0,,,34-38,,Z. LaVine enters the game for S. Muhammad
4:56.0,,,34-38,,A. Wiggins misses 2-pt shot from 18 ft
4:54.0,Defensive rebound by P. Mills,,34-38,,
4:37.0,P. Gasol misses 2-pt shot from 8 ft,,34-38,,
4:36.0,,,34-38,,Defensive rebound by R. Rubio
4:23.0,,,34-38,,Z. LaVine misses 2-pt shot from 20 ft
4:22.0,Defensive rebound by J. Simmons,,34-38,,
4:00.0,Turnover by P. Mills (lost ball; steal by R. Rubio),,34-38,,
3:55.0,,,34-40,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
3:41.0,Turnover by P. Gasol (lost ball),,34-40,,
3:29.0,,,34-40,,R. Rubio misses 2-pt shot from 11 ft
3:27.0,,,34-40,,Offensive rebound by G. Dieng
3:23.0,,,34-42,2,R. Rubio makes 2-pt shot from 11 ft (assist by G. Dieng)
3:12.0,J. Simmons misses 2-pt shot from 18 ft,,34-42,,
3:11.0,Offensive rebound by Team,,34-42,,
3:11.0,,,34-42,,Loose ball foul by K. Towns (drawn by D. Dedmon)
3:11.0,K. Leonard enters the game for J. Simmons,,34-42,,
2:57.0,K. Leonard makes 2-pt shot from 18 ft,2,36-42,,
2:41.0,,,36-42,,K. Towns misses 2-pt shot from 8 ft
2:39.0,Defensive rebound by K. Anderson,,36-42,,
2:34.0,D. Dedmon makes 2-pt shot from 1 ft (assist by K. Anderson),2,38-42,,
2:16.0,,,38-42,,Shooting foul by D. Dedmon (drawn by K. Towns)
2:16.0,,,38-42,,Minnesota full timeout
2:16.0,,,38-43,1,K. Towns makes free throw 1 of 2
2:16.0,,,38-44,1,K. Towns makes free throw 2 of 2
1:58.0,P. Gasol makes 3-pt shot from 23 ft (assist by P. Mills),3,41-44,,
1:38.0,,,41-44,,K. Towns misses 2-pt shot from 22 ft
1:37.0,Defensive rebound by D. Dedmon,,41-44,,
1:30.0,K. Leonard misses 3-pt shot from 25 ft,,41-44,,
1:28.0,,,41-44,,Defensive rebound by G. Dieng
1:16.0,,,41-44,,Turnover by Z. LaVine (discontinued dribble)
0:54.0,K. Leonard makes 2-pt shot from 11 ft,2,43-44,,
0:46.0,,,43-46,2,Z. LaVine makes 2-pt shot from 18 ft
0:35.0,P. Gasol misses 3-pt shot from 24 ft,,43-46,,
0:33.0,,,43-46,,Defensive rebound by K. Towns
0:11.0,,,43-46,,R. Rubio misses 3-pt shot from 24 ft
0:08.0,Defensive rebound by Team,,43-46,,
0:08.0,D. Green enters the game for K. Anderson,,43-46,,
0:08.0,L. Aldridge enters the game for D. Dedmon,,43-46,,
0:08.0,,,43-46,,K. Dunn enters the game for G. Dieng
0:05.0,,,43-46,,Personal take foul by K. Dunn
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,43-46,,K. Towns misses 2-pt shot from 5 ft
11:42.0,Defensive rebound by D. Green,,43-46,,
11:29.0,L. Aldridge makes 2-pt shot from 15 ft,2,45-46,,
11:11.0,Personal foul by N. Laprovittola (drawn by K. Towns),,45-46,,
11:02.0,,,45-48,2,G. Dieng makes 2-pt shot from 9 ft
10:42.0,N. Laprovittola makes 3-pt shot from 23 ft (assist by D. Green),3,48-48,,
10:26.0,,,48-48,,G. Dieng misses 2-pt shot from 5 ft
10:25.0,Defensive rebound by P. Gasol,,48-48,,
10:24.0,,,48-48,,Personal foul by G. Dieng (drawn by P. Gasol)
10:16.0,,,48-48,,Violation by G. Dieng (kicked ball)
10:08.0,P. Gasol misses 2-pt shot from 15 ft,,48-48,,
10:07.0,,,48-48,,Defensive rebound by R. Rubio
10:06.0,Personal foul by N. Laprovittola (drawn by R. Rubio),,48-48,,
9:55.0,Violation by D. Green (kicked ball),,48-48,,
9:44.0,,,48-48,,R. Rubio misses 2-pt shot from 19 ft
9:42.0,,,48-48,,Offensive rebound by K. Towns
9:34.0,,,48-48,,Turnover by R. Rubio (bad pass; steal by K. Leonard)
9:28.0,N. Laprovittola makes 2-pt shot from 23 ft (assist by K. Leonard),2,50-48,,
9:06.0,,,50-50,2,G. Dieng makes 2-pt shot from 15 ft (assist by A. Wiggins)
8:45.0,L. Aldridge misses 2-pt shot from 16 ft,,50-50,,
8:44.0,,,50-50,,Defensive rebound by K. Towns
8:35.0,,,50-52,2,Z. LaVine makes 2-pt shot from 15 ft
8:18.0,,,50-52,,Shooting block foul by G. Dieng (drawn by K. Leonard)
8:18.0,K. Leonard makes free throw 1 of 2,1,51-52,,
8:18.0,K. Leonard makes free throw 2 of 2,1,52-52,,
7:59.0,,,52-52,,Minnesota full timeout
7:56.0,,,52-52,,A. Wiggins misses 2-pt shot from 18 ft
7:54.0,Defensive rebound by P. Gasol,,52-52,,
7:41.0,Turnover by N. Laprovittola (lost ball),,52-52,,
7:24.0,,,52-52,,Shooting foul by P. Gasol (drawn by A. Wiggins)
7:24.0,,,52-52,,A. Wiggins misses free throw 1 of 2
7:24.0,,,52-52,,Offensive rebound by Team
7:24.0,,,52-53,1,A. Wiggins makes free throw 2 of 2
7:15.0,,,52-53,,Violation by G. Dieng (kicked ball)
7:15.0,P. Mills enters the game for N. Laprovittola,,52-53,,
7:08.0,P. Mills misses 2-pt shot from 19 ft,,52-53,,
7:07.0,,,52-53,,Defensive rebound by K. Towns
6:46.0,,,52-53,,Z. LaVine misses 3-pt shot from 27 ft
6:44.0,Defensive rebound by P. Gasol,,52-53,,
6:25.0,P. Mills misses 3-pt shot from 24 ft,,52-53,,
6:24.0,,,52-53,,Defensive rebound by G. Dieng
6:16.0,,,52-53,,R. Rubio misses 2-pt shot from 10 ft
6:15.0,Defensive rebound by L. Aldridge,,52-53,,
6:09.0,Shooting foul by R. Rubio (drawn by K. Leonard),,52-53,,
6:09.0,K. Leonard makes free throw 1 of 2,1,53-53,,
6:09.0,K. Leonard makes free throw 2 of 2,1,54-53,,
6:09.0,D. Dedmon enters the game for P. Gasol,,53-53,,
5:52.0,,,54-53,,Z. LaVine misses 2-pt shot from 9 ft
5:51.0,Defensive rebound by P. Mills,,54-53,,
5:45.0,D. Green makes 3-pt shot from 24 ft (assist by P. Mills),3,57-53,,
5:37.0,,,57-53,,Minnesota full timeout
5:32.0,,,57-55,2,A. Wiggins makes 2-pt shot from 14 ft (assist by R. Rubio)
5:15.0,K. Leonard makes 2-pt shot from 17 ft (assist by D. Green),2,59-55,,
5:01.0,Personal foul by K. Leonard (drawn by A. Wiggins),,59-55,,
4:58.0,,,59-55,,Shooting foul by L. Aldridge (drawn by Z. LaVine)
4:58.0,,,59-56,1,Z. LaVine makes free throw 1 of 2
4:58.0,,,59-56,,Z. LaVine misses free throw 2 of 2
4:57.0,Defensive rebound by K. Leonard,,59-56,,
4:34.0,L. Aldridge makes 2-pt shot from 18 ft,2,61-56,,
4:14.0,,,61-56,,Turnover by A. Wiggins (bad pass)
4:14.0,J. Simmons enters the game for D. Green,,61-56,,
4:02.0,Turnover by L. Aldridge (lost ball; steal by G. Dieng),,61-56,,
3:51.0,Personal foul by J. Simmons (drawn by G. Dieng),,61-56,,
3:51.0,,,61-56,,G. Dieng misses free throw 1 of 2
3:51.0,,,61-56,,Offensive rebound by Team
3:51.0,San Antonio full timeout,,61-56,,
3:51.0,,,61-56,,G. Dieng misses free throw 2 of 2
3:51.0,,,61-56,,S. Muhammad enters the game for Z. LaVine
3:50.0,Defensive rebound by D. Dedmon,,61-56,,
3:29.0,P. Mills misses 3-pt shot from 24 ft,,61-56,,
3:28.0,,,61-56,,Defensive rebound by S. Muhammad
3:13.0,,,61-58,2,G. Dieng makes 2-pt shot from 4 ft
2:57.0,K. Leonard makes 2-pt shot from 20 ft,2,63-58,,
2:38.0,,,63-58,,Turnover by A. Wiggins (lost ball)
2:38.0,D. Lee enters the game for L. Aldridge,,63-58,,
2:38.0,,,63-58,,C. Aldrich enters the game for G. Dieng
2:38.0,,,63-58,,K. Dunn enters the game for R. Rubio
2:18.0,K. Leonard makes 2-pt shot from 12 ft,2,65-58,,
1:58.0,,,65-58,,C. Aldrich misses 2-pt shot from 4 ft
1:56.0,Defensive rebound by D. Dedmon,,65-58,,
1:51.0,D. Lee makes 2-pt shot from 1 ft (assist by P. Mills),2,67-58,,
1:42.0,,,67-58,,Minnesota full timeout
1:42.0,,,67-58,,N. Bjelica enters the game for K. Towns
1:34.0,Violation by D. Dedmon (def goaltending),,67-58,,
1:34.0,,,67-60,2,N. Bjelica makes 2-pt shot from 8 ft
1:14.0,P. Mills makes 3-pt shot from 24 ft (assist by D. Lee),3,70-60,,
1:02.0,,,70-60,,Shooting foul by D. Dedmon (drawn by K. Dunn)
1:02.0,,,70-61,1,K. Dunn makes free throw 1 of 2
1:02.0,,,70-62,1,K. Dunn makes free throw 2 of 2
0:42.0,Jump ball: C. Aldrich vs. P. Mills (K. Dunn gains possession),,,,Jump ball: C. Aldrich vs. P. Mills (K. Dunn gains possession)
0:42.0,Turnover by P. Mills (lost ball; steal by C. Aldrich),,70-62,,
0:31.0,,,70-64,2,K. Dunn makes 2-pt shot from 18 ft (assist by N. Bjelica)
0:10.0,P. Mills makes 2-pt shot from 2 ft (assist by K. Leonard),2,72-64,,
0:00.0,,,72-64,,N. Bjelica misses 2-pt shot from 6 ft
0:00.0,,,72-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,P. Mills misses 3-pt shot from 24 ft,,72-64,,
11:35.0,,,72-64,,Defensive rebound by S. Muhammad
11:14.0,,,72-64,,K. Dunn misses 2-pt shot from 19 ft
11:13.0,Defensive rebound by K. Anderson,,72-64,,
11:05.0,Shooting foul by K. Dunn (drawn by D. Dedmon),,72-64,,
11:05.0,D. Dedmon misses free throw 1 of 2,,72-64,,
11:05.0,Offensive rebound by Team,,72-64,,
11:05.0,D. Dedmon makes free throw 2 of 2,1,73-64,,
10:50.0,,,73-64,,Z. LaVine misses 2-pt shot from 8 ft
10:48.0,Defensive rebound by K. Anderson,,73-64,,
10:42.0,J. Simmons makes 3-pt shot from 24 ft (assist by K. Anderson),3,76-64,,
10:28.0,Personal block foul by K. Anderson (drawn by S. Muhammad),,76-64,,
10:28.0,N. Laprovittola enters the game for P. Mills,,76-64,,
10:23.0,,,76-64,,S. Muhammad misses 2-pt shot from 2 ft (block by K. Anderson)
10:21.0,Defensive rebound by D. Dedmon,,76-64,,
10:01.0,D. Lee misses 2-pt shot from 5 ft,,76-64,,
10:00.0,Offensive rebound by D. Dedmon,,76-64,,
9:48.0,Turnover by D. Lee (bad pass),,76-64,,
9:38.0,,,76-66,2,K. Dunn makes 2-pt shot from 2 ft
9:24.0,K. Anderson makes 2-pt shot from 10 ft,2,78-66,,
9:14.0,Personal foul by N. Laprovittola (drawn by K. Dunn),,78-66,,
9:01.0,,,78-69,3,N. Bjelica makes 3-pt shot from 23 ft (assist by K. Dunn)
8:50.0,San Antonio full timeout,,78-69,,
8:50.0,K. Leonard enters the game for J. Simmons,,78-69,,
8:50.0,L. Aldridge enters the game for D. Dedmon,,78-69,,
8:46.0,,,78-69,,Personal foul by N. Bjelica (drawn by L. Aldridge)
8:40.0,,,78-69,,Personal foul by N. Bjelica (drawn by L. Aldridge)
8:40.0,,,78-69,,A. Wiggins enters the game for Z. LaVine
8:34.0,,,78-69,,Violation by K. Dunn (kicked ball)
8:26.0,N. Laprovittola makes 3-pt shot from 24 ft (assist by K. Anderson),3,81-69,,
8:09.0,,,81-69,,Turnover by K. Dunn (bad pass; steal by L. Aldridge)
8:00.0,K. Leonard misses 2-pt shot from 6 ft,,81-69,,
7:59.0,Offensive rebound by Team,,81-69,,
7:59.0,,,81-69,,G. Dieng enters the game for C. Aldrich
7:59.0,,,81-69,,K. Towns enters the game for N. Bjelica
7:57.0,L. Aldridge makes 2-pt shot from 20 ft (assist by N. Laprovittola),2,83-69,,
7:42.0,,,83-71,2,K. Dunn makes 2-pt shot from 1 ft
7:25.0,,,83-71,,Violation by G. Dieng (kicked ball)
7:18.0,Offensive foul by L. Aldridge,,83-71,,
7:18.0,Turnover by L. Aldridge (offensive foul),,83-71,,
7:18.0,P. Gasol enters the game for D. Lee,,83-71,,
7:07.0,,,83-71,,K. Towns misses 3-pt shot from 25 ft
7:05.0,,,83-71,,Offensive rebound by Team
7:05.0,,,83-71,,Turnover by K. Dunn (bad pass)
6:49.0,K. Leonard misses 2-pt shot from 8 ft,,83-71,,
6:48.0,,,83-71,,Defensive rebound by K. Towns
6:36.0,,,83-71,,K. Towns misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by K. Anderson,,83-71,,
6:28.0,Shooting foul by A. Wiggins (drawn by K. Leonard),,83-71,,
6:28.0,K. Leonard makes free throw 1 of 2,1,84-71,,
6:28.0,K. Leonard misses free throw 2 of 2,,84-71,,
6:28.0,,,84-71,,R. Rubio enters the game for K. Dunn
6:28.0,,,84-71,,Z. LaVine enters the game for S. Muhammad
6:27.0,,,84-71,,Defensive rebound by K. Towns
6:18.0,,,84-71,,Shooting foul by P. Gasol (drawn by Z. LaVine)
6:18.0,,,84-72,1,Z. LaVine makes free throw 1 of 2
6:18.0,,,84-73,1,Z. LaVine makes free throw 2 of 2
6:18.0,P. Mills enters the game for N. Laprovittola,,84-72,,
6:07.0,Turnover by K. Leonard (step out of bounds),,84-73,,
5:54.0,,,84-73,,Z. LaVine misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by P. Gasol,,84-73,,
5:32.0,Shooting foul by R. Rubio (drawn by K. Anderson),,84-73,,
5:32.0,San Antonio full timeout,,84-73,,
5:32.0,K. Anderson makes free throw 1 of 2,1,85-73,,
5:32.0,K. Anderson makes free throw 2 of 2,1,86-73,,
5:18.0,,,86-76,3,Z. LaVine makes 3-pt shot from 23 ft (assist by R. Rubio)
5:03.0,Shooting foul by K. Towns (drawn by K. Leonard),,86-76,,
5:03.0,K. Leonard makes free throw 1 of 2,1,87-76,,
5:03.0,K. Leonard makes free throw 2 of 2,1,88-76,,
5:03.0,D. Green enters the game for K. Anderson,,87-76,,
4:52.0,,,88-76,,Shooting foul by D. Green (drawn by K. Towns)
4:52.0,,,88-77,1,K. Towns makes free throw 1 of 2
4:52.0,,,88-78,1,K. Towns makes free throw 2 of 2
4:33.0,K. Leonard makes 3-pt shot from 25 ft,3,91-78,,
4:20.0,,,91-78,,Turnover by A. Wiggins (lost ball; steal by K. Leonard)
4:14.0,P. Mills misses 3-pt shot from 23 ft,,91-78,,
4:11.0,,,91-78,,Defensive rebound by K. Towns
4:03.0,,,91-80,2,Z. LaVine makes 2-pt shot from 1 ft (assist by K. Towns)
3:40.0,D. Green misses 3-pt shot from 23 ft,,91-80,,
3:39.0,,,91-80,,Defensive rebound by Z. LaVine
3:29.0,,,91-80,,Offensive foul by G. Dieng
3:29.0,,,91-80,,Turnover by G. Dieng (offensive foul)
3:11.0,P. Mills makes 2-pt shot from 19 ft,2,93-80,,
2:52.0,,,93-80,,R. Rubio misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by P. Gasol,,93-80,,
2:25.0,K. Leonard makes 3-pt shot from 25 ft (assist by P. Gasol),3,96-80,,
2:11.0,,,96-80,,Turnover by Z. LaVine (bad pass; steal by P. Mills)
2:07.0,D. Green makes 2-pt shot from 2 ft (assist by P. Mills),2,98-80,,
1:58.0,,,98-80,,Minnesota full timeout
1:58.0,K. Anderson enters the game for K. Leonard,,98-80,,
1:58.0,B. Forbes enters the game for P. Mills,,98-80,,
1:58.0,J. Simmons enters the game for P. Gasol,,98-80,,
1:58.0,N. Laprovittola enters the game for D. Green,,98-80,,
1:58.0,D. Bertans enters the game for L. Aldridge,,98-80,,
1:53.0,,,98-82,2,A. Wiggins makes 2-pt shot from 5 ft
1:53.0,,,98-82,,Shooting foul by J. Simmons (drawn by A. Wiggins)
1:53.0,,,98-82,,A. Wiggins misses free throw 1 of 1
1:52.0,Defensive rebound by J. Simmons,,98-82,,
1:44.0,B. Forbes misses 3-pt shot from 23 ft,,98-82,,
1:43.0,,,98-82,,Defensive rebound by K. Towns
1:40.0,,,98-84,2,Z. LaVine makes 2-pt shot at rim (assist by K. Towns)
1:33.0,San Antonio full timeout,,98-84,,
1:20.0,J. Simmons misses 2-pt shot from 4 ft,,98-84,,
1:19.0,,,98-84,,Defensive rebound by A. Wiggins
1:10.0,,,98-84,,K. Towns misses 2-pt shot from 6 ft
1:09.0,,,98-84,,Offensive rebound by Team
1:06.0,Personal foul by B. Forbes (drawn by G. Dieng),,98-84,,
1:06.0,,,98-85,1,G. Dieng makes free throw 1 of 2
1:06.0,,,98-85,,G. Dieng misses free throw 2 of 2
